GCCSA_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
59499,128,48,44,88,53,31,85,55,46,105,62,38,103,287,216,500,60,53,109,42,49,89,54,46,103,49,44,92,51,36,84,256,218,474,60,25,88,70,57,124,51,37,95,46,26,72,40,28,63,273,176,442,26,23,51,23,21,41,30,18,42,22,16,37,9,8,18,108,83,191,19,6,23,12,5,17,9,6,14,3,3,9,6,3,5,43,24,72,9,15,22,7,8,8,3,6,4,0,3,3,0,0,0,3532,2415,5950
59799,7,6,0,5,4,0,4,7,0,7,0,0,5,27,0,27,4,0,3,5,0,5,3,0,3,0,0,0,3,3,3,17,3,15,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,408,26,434
5GPER,23976,11408,11994,23402,10909,11482,22390,10620,11245,21866,10339,11049,21391,54954,58065,113020,10390,10891,21277,9669,10682,20354,9503,10364,19864,9327,10188,19515,9294,9643,18939,48183,51757,99944,9021,9429,18447,8606,9174,17782,8299,9007,17297,8525,8792,17316,8685,9235,17919,43125,45643,88770,6890,7187,14076,6455,6842,13297,6399,6754,13152,5521,5999,11525,5598,5958,11551,30857,32742,63597,4926,5683,10611,4772,5339,10113,4534,5160,9692,4211,4968,9181,3865,4579,8446,22310,25731,48038,14794,19170,33960,8756,13330,22090,3234,6691,9925,648,1823,2468,32,134,165,963536,980326,1943858
5RWAU,7839,3730,3612,7340,3818,3539,7358,3650,3359,7004,3585,3222,6806,18852,17496,36346,3627,3342,6972,3291,3101,6387,3251,3005,6256,3136,2931,6068,3072,2938,6014,16378,15326,31706,3178,2853,6028,2837,2705,5537,2833,2489,5317,2775,2429,5210,2882,2564,5447,14502,13039,27537,2214,2052,4269,2059,1903,3967,2054,1865,3923,1731,1682,3410,1823,1717,3546,9883,9230,19120,1543,1445,2991,1442,1507,2949,1341,1348,2692,1263,1233,2493,1103,1162,2263,6692,6701,13398,4001,4596,8599,2240,2852,5084,775,1333,2108,135,384,519,4,30,38,270936,253230,524167
69499,11,9,10,15,7,3,8,4,3,12,0,4,4,28,25,55,5,6,8,0,6,13,5,7,9,7,3,17,5,7,12,24,30,58,8,8,13,11,10,22,5,9,8,3,3,7,6,3,12,34,31,62,9,6,10,0,3,3,0,0,3,7,0,5,0,0,3,12,13,22,0,0,0,4,3,6,0,3,6,0,0,0,0,0,0,4,3,7,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,524,393,912
69799,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,21,68
6GHOB,3238,1521,1617,3138,1436,1659,3099,1480,1517,2998,1407,1582,2987,7380,8083,15459,1404,1512,2919,1332,1432,2763,1259,1437,2692,1390,1430,2820,1323,1461,2790,6706,7280,13984,1268,1381,2647,1251,1339,2590,1147,1202,2354,1223,1266,2490,1307,1402,2711,6201,6594,12795,979,1127,2102,924,1044,1965,911,1061,1970,813,912,1722,758,865,1622,4378,5006,9384,757,875,1633,708,778,1491,654,746,1399,596,730,1328,545,714,1263,3263,3846,7113,2128,2849,4976,1334,2006,3343,467,1084,1552,99,248,345,3,30,37,107930,114422,222356
6RTAS,4577,2082,2315,4405,2149,2197,4344,2183,2146,4330,2029,2173,4204,10664,11196,21863,2209,2140,4351,2045,2062,4106,1964,2151,4106,1980,2123,4098,2071,1999,4073,10258,10475,20730,2049,2046,4100,1944,2063,4006,1910,2034,3944,1908,1961,3868,2128,2044,4168,9943,10145,20085,1667,1682,3347,1558,1673,3227,1601,1471,3076,1377,1305,2681,1302,1388,2687,7505,7517,15015,1158,1238,2391,1112,1158,2274,1011,1068,2075,948,1037,1989,840,930,1768,5065,5422,10489,3212,3795,7012,1706,2520,4224,615,1221,1838,110,285,397,9,24,33,140977,145646,286627
79499,38,23,31,51,20,31,51,24,16,40,22,10,25,110,100,215,19,26,48,19,21,42,21,23,45,29,26,54,22,16,46,118,107,223,29,10,43,21,24,47,23,6,36,12,21,32,29,4,32,119,67,189,16,15,28,12,6,22,11,6,14,8,0,8,13,8,17,56,30,86,6,9,8,5,0,5,4,3,8,8,0,8,0,0,5,24,8,30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1332,1157,2489
79799,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,14,70
7GDAR,1758,876,788,1661,814,709,1517,750,689,1441,683,714,1390,4048,3728,7777,752,621,1376,719,579,1298,639,610,1252,655,551,1211,620,509,1134,3388,2879,6266,538,507,1049,538,455,989,503,414,917,487,379,861,471,382,857,2539,2136,4674,368,306,669,341,255,591,283,261,544,241,216,458,257,219,472,1482,1253,2740,260,218,473,209,180,382,135,136,273,147,147,297,110,129,236,860,803,1660,387,418,805,202,245,441,59,91,149,11,19,32,0,0,0,71889,64939,136828
7RNTE,1099,460,485,948,469,502,975,442,516,957,489,423,909,2439,2455,4895,489,512,1004,418,412,829,382,353,741,370,326,699,331,309,643,2002,1911,3913,317,316,635,296,255,556,262,227,492,219,194,415,249,165,409,1344,1160,2504,186,202,391,175,134,304,135,124,256,136,128,264,139,113,250,774,698,1470,123,97,217,124,111,232,66,52,122,69,61,132,57,57,115,443,375,820,181,262,444,94,130,226,21,47,66,3,11,19,0,0,0,45287,44157,89443
89499,3,7,5,10,3,0,6,0,4,3,7,8,12,20,22,41,3,0,3,4,3,7,4,7,13,4,4,12,3,0,3,26,15,36,3,0,3,3,3,3,3,0,3,3,0,3,0,0,4,13,5,18,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,4,7,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,0,3,3,0,0,0,0,0,0,0,0,0,312,228,538
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4771,2243,2363,4602,2106,2308,4418,2100,2265,4369,2002,2159,4160,10781,11541,22320,1949,2164,4111,1789,2037,3826,1828,1905,3734,1812,1973,3787,1710,1939,3657,9086,10024,19110,1648,1876,3525,1686,1762,3445,1606,1789,3396,1588,1791,3376,1676,1861,3537,8198,9073,17265,1410,1466,2873,1182,1364,2542,1102,1307,2409,1013,1159,2172,1022,1136,2158,5728,6428,12157,859,1064,1921,858,948,1801,793,896,1694,744,869,1619,644,848,1493,3895,4623,8520,2540,3294,5834,1554,2253,3798,621,1255,1878,135,287,422,14,39,52,195432,201425,396857
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,7,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,55
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
9OTER,71,47,33,79,35,38,73,40,37,77,36,38,71,195,184,377,37,33,70,29,27,64,36,31,68,32,32,68,29,28,60,169,157,328,43,27,74,45,33,81,25,27,58,22,15,35,27,18,49,165,120,286,20,24,43,20,20,33,20,12,32,26,17,42,10,12,23,91,86,178,20,14,30,10,9,23,22,15,31,10,14,18,3,6,12,66,54,122,26,38,68,20,16,34,3,10,14,0,4,4,0,0,0,2432,2090,4523
