GCCSA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
3GBRI,164,20,26,29,74280,74523,2949,197,97,56,82239,85533,58607,3215,2826,141,104277,169060,94091,6591,9734,378,45070,155864,92339,7588,17655,922,27489,145989,79815,5568,18269,2053,13030,118736,61463,3337,12063,3866,5408,86138,27923,1099,3847,4970,2014,39855,7431,240,730,4625,656,13676,424795,27845,65242,17032,354467,889380,271,32,21,29,71702,72056,5668,445,174,68,78855,85209,73819,5077,4332,316,90631,174171,98773,8747,14077,1042,39425,162065,93371,9094,25244,2948,22411,153071,77425,6146,25196,7014,10264,126053,53273,3198,16720,14496,4376,92065,19869,765,5283,19704,2024,47651,3856,142,1307,18307,1070,24673,426328,33655,92354,63919,320762,937019,439,54,45,58,145983,146581,8619,640,270,123,161093,170741,132424,8290,7155,457,194905,343233,192867,15340,23810,1421,84491,317932,185708,16680,42899,3864,49904,299059,157246,11713,43469,9069,23301,244790,114740,6538,28783,18360,9781,178208,47791,1865,9131,24674,4044,87505,11281,382,2036,22925,1724,38357,851120,61497,157593,80956,675227,1826402
3RQLD,167,39,34,29,76191,76455,2744,226,91,55,70078,73189,49091,2992,2554,168,92701,147501,84653,6800,9964,364,48532,150306,95356,9120,21318,1179,34593,161566,95094,7525,25887,2781,19104,150381,83322,5089,19197,5598,8109,121315,40395,1760,6257,7229,2983,58621,9957,311,1092,5810,901,18069,460766,33855,86388,23205,353190,957411,222,43,21,55,72496,72830,5008,476,123,78,66104,71787,63065,4913,4129,357,81197,153661,91880,9427,14842,1199,41034,158382,99181,10938,29433,3391,26456,169397,94737,7810,31255,8952,12543,155306,72985,3977,20837,18864,4462,121125,28039,1073,6645,25811,1737,63300,5040,182,1513,21478,845,29061,460161,38827,108804,80186,306871,994854,385,77,59,86,148682,149284,7756,700,216,131,136180,144979,112153,7900,6678,523,173896,301158,176530,16220,24807,1566,89567,308690,194534,20059,50749,4570,61057,330959,189830,15337,57144,11732,31648,305688,156306,9064,40037,24464,12569,242444,68433,2825,12905,33044,4714,121922,14995,498,2609,27288,1739,47131,920924,72686,195192,103393,660059,1952257
49499,0,0,0,0,95,95,3,0,0,0,161,161,40,15,10,0,282,349,35,38,28,0,180,280,53,33,62,0,136,282,79,32,63,16,49,239,86,11,57,8,13,168,15,3,7,13,3,43,4,0,0,5,3,13,311,141,220,40,920,1627,0,0,0,0,74,80,4,3,0,0,91,99,38,9,4,0,164,209,40,20,16,0,70,140,68,34,44,0,50,192,89,22,34,6,19,164,65,5,11,10,6,97,8,0,0,3,5,21,0,0,0,7,0,7,311,86,110,27,487,1016,0,0,0,0,170,173,4,7,0,0,254,266,70,27,14,3,448,556,70,61,38,0,251,421,117,61,101,0,192,474,172,50,98,16,71,403,148,19,67,15,21,271,21,3,9,19,11,59,4,0,3,11,3,22,621,227,327,69,1410,2648
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
4GADE,111,13,30,21,40317,40489,1378,75,49,28,43958,45495,30332,1379,1355,72,54922,88071,49284,3182,4903,173,25442,82983,50889,4342,10442,577,19192,85442,48698,3287,12233,1346,10117,75675,41112,1850,7886,2545,3625,57017,22279,626,2575,3861,1114,30457,6921,180,556,4309,398,12371,251008,14933,40036,12933,199090,517997,160,11,23,25,38678,38894,2923,173,65,37,40850,44039,39188,2358,2253,195,46251,90237,50856,4418,7247,582,21170,84275,51675,5151,14978,1785,15044,88637,48530,3612,17192,4587,8130,82047,37710,1782,11471,9825,3010,63808,16649,530,3954,15829,1080,38044,3657,125,1101,16247,670,21797,251344,18150,58283,49106,174892,551769,270,22,56,41,78998,79385,4304,246,111,65,84808,89535,69517,3740,3609,271,101169,178301,100142,7596,12152,754,46609,167253,102560,9494,25423,2361,34242,174077,97225,6895,29424,5934,18247,157723,78819,3628,19364,12370,6639,120817,38932,1154,6529,19683,2198,68502,10580,307,1658,20556,1069,34170,502347,33086,98319,62040,373982,1069769
4RSAU,41,4,3,5,10880,10933,402,27,10,8,9113,9562,6634,408,272,30,12514,19858,11331,955,1224,60,7356,20921,14820,1384,3411,187,6589,26390,17838,1440,4811,582,3581,28251,17232,938,3388,1144,1426,24131,8484,294,1037,1577,554,11942,2218,71,169,1326,174,3954,78998,5512,14330,4915,52191,155949,48,3,6,4,10131,10195,700,67,8,11,7844,8629,8336,626,424,53,9953,19391,12111,1167,1710,182,5702,20866,15442,1554,3964,623,4364,25939,18139,1180,4759,1536,1932,27537,15556,589,2980,3774,733,23633,6189,151,886,5275,251,12753,1147,25,215,4799,138,6336,77666,5368,14949,16259,41040,155286,92,9,11,7,21011,21132,1105,99,19,21,16955,18193,14971,1034,701,82,22467,39251,23436,2116,2930,242,13057,41789,30259,2937,7371,811,10953,52332,35975,2616,9571,2119,5510,55791,32783,1531,6367,4923,2154,47762,14670,441,1928,6850,809,24701,3368,96,382,6123,311,10292,156666,10881,29278,21179,93233,311230
59499,0,0,0,0,80,84,5,0,0,0,254,254,84,35,17,4,636,773,128,56,61,0,357,606,117,80,152,11,279,638,214,41,164,15,101,540,201,45,94,11,25,375,30,3,9,4,3,58,3,0,0,3,3,12,782,268,499,43,1740,3336,0,0,0,0,65,65,10,0,0,0,235,242,98,15,10,0,419,534,75,25,25,8,174,305,107,30,70,8,112,325,257,29,94,23,37,442,164,4,61,15,3,254,23,0,3,7,0,37,0,0,0,12,0,11,732,109,263,71,1058,2220,0,0,0,0,153,151,10,3,0,0,486,503,180,47,23,4,1052,1306,199,81,85,8,538,910,224,112,220,13,391,957,476,75,255,35,137,977,368,48,161,29,27,633,60,3,12,11,5,98,4,0,0,11,4,23,1514,375,760,112,2794,5559
59799,0,0,0,0,0,0,3,0,0,0,14,17,42,3,0,0,74,124,61,3,4,0,49,120,60,4,8,0,22,94,29,0,6,0,3,43,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,199,10,29,0,169,408,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,3,3,0,0,6,0,0,8,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,26,0,0,0,0,0,0,3,0,0,0,18,20,41,3,0,0,81,127,62,3,3,0,49,127,62,4,16,0,21,105,34,0,6,0,3,43,3,0,3,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,206,12,34,0,182,434
5GPER,150,18,31,25,61182,61400,2368,116,57,41,65769,68351,54230,2355,2146,130,94343,153198,85539,4820,7190,278,37657,135474,83832,6105,14163,757,23199,128061,70509,4480,15298,1644,11204,103140,54111,2673,9892,2995,4324,73986,27178,843,3375,4255,1454,37102,7384,203,634,4004,455,12680,385296,21614,52780,14113,299581,773386,226,25,20,14,58446,58729,4987,304,119,41,59629,65083,69011,3846,3501,261,76866,153484,88376,6489,10664,833,30770,137133,83046,7117,20261,2322,17888,130632,68927,4841,21606,6031,8414,109824,46885,2484,14066,11817,3138,78385,19904,713,5155,17821,1310,44899,3711,129,1223,16277,635,21972,385063,25952,76618,55428,257084,800146,372,45,47,33,119632,120129,7356,422,171,82,125393,133434,123239,6201,5646,391,171203,306680,173908,11308,17857,1109,68424,272610,166880,13221,34425,3075,41085,258693,139441,9323,36906,7679,19618,212965,100995,5151,23955,14810,7459,152368,47076,1560,8527,22080,2765,82007,11087,331,1851,20278,1094,34652,770357,47568,129401,69549,556668,1573536
5RWAU,73,8,12,3,15541,15633,658,50,19,11,13197,13936,12262,775,519,43,23267,36864,21156,1665,2060,82,12355,37316,23086,2211,4737,289,9005,39332,22123,1761,5972,693,4683,35231,16801,1058,3758,1158,1613,24386,7435,283,1095,1312,571,10696,1794,66,149,1014,131,3157,105377,7877,18333,4593,80366,216557,103,12,3,4,13963,14085,1023,95,19,17,11293,12444,14395,972,721,105,18002,34190,20116,1712,2347,239,9662,34084,21219,2128,5324,709,6490,35869,20628,1522,5984,1837,2847,32821,14118,732,3235,3338,843,22272,5161,178,985,4695,282,11297,844,24,204,3419,105,4595,97608,7367,18830,14357,63483,201648,177,16,16,6,29505,29712,1675,147,42,27,24489,26382,26656,1750,1242,145,41264,71057,41267,3378,4409,323,22018,71401,44303,4334,10065,1003,15497,75202,42751,3285,11960,2529,7531,68053,30922,1789,6998,4491,2454,46655,12595,454,2083,5998,857,21993,2635,91,353,4438,237,7752,202985,15252,37167,18959,143841,418207
69499,0,0,0,0,34,34,4,0,0,0,57,56,19,3,3,0,91,120,11,16,7,0,61,93,10,7,27,0,27,77,19,5,12,0,18,52,19,3,16,0,6,48,5,0,0,0,0,8,0,0,0,0,0,0,87,37,62,6,298,481,0,0,0,0,33,33,0,0,0,0,32,29,11,3,0,0,50,69,8,9,6,0,32,54,15,6,18,0,20,59,21,5,18,3,11,56,17,4,11,4,3,38,3,0,3,3,0,5,0,0,0,0,0,0,81,32,60,12,174,350,0,0,0,0,62,62,3,0,0,0,87,90,28,5,3,0,144,183,20,20,15,0,88,147,28,17,46,0,53,135,41,13,30,3,22,113,37,4,23,4,8,84,4,0,3,4,0,12,0,0,0,0,0,3,162,61,124,20,468,835
