GCCSA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
3GBRI,22072,4088,5035,6197,6400,6430,3957,2348,72083,12,7,25,3,0,15,8,12,4,380,470,20356,13618,31120,6571,7517,8252,8219,8123,4997,3939,112709,22619,8374,9588,1740,1559,1111,811,715,367,1092,47976,12384,10110,15410,2345,2352,1982,1619,1543,861,778,49391,736,845,2047,346,435,567,381,381,344,205,6290,96,60,119,16,22,9,9,14,6,15,379,13219,11018,17575,2706,2810,2563,2009,1940,1207,994,56052,31,15,14,0,4,3,5,0,0,259,329,35864,19409,27180,4444,4370,3683,2827,2658,1575,2350,104362,37197,7969,7370,1039,902,591,487,383,182,1157,57269,15917,5512,6086,842,783,601,448,390,231,487,31296,2251,1007,1449,242,290,335,262,253,236,310,6638,131,48,44,8,3,14,6,3,4,15,284,18303,6570,7576,1093,1073,944,719,647,474,814,38217,44,5,15,5,0,0,0,0,0,163,241,55552,14542,14965,2138,1975,1536,1206,1029,654,2128,95718,37447,3276,2414,382,331,263,196,181,103,989,45577,15730,1963,1416,205
3RQLD,9527,1824,2460,2837,3139,3333,1845,1486,31063,14,9,13,0,0,5,10,9,4,99,155,9988,6525,16649,3673,4290,4401,4518,4716,2589,2544,59887,17029,6778,7438,1345,1264,976,784,618,326,1078,37635,4365,4641,8388,1160,1444,1081,1026,936,405,463,23899,195,338,869,175,199,227,213,187,127,166,2700,36,37,48,9,8,15,6,11,0,13,176,4597,5019,9307,1344,1646,1322,1243,1132,529,647,26774,26,4,19,0,0,0,0,3,3,114,174,21646,11802,16761,2694,2912,2299,2033,1749,857,1840,64589,33090,6767,6907,1031,897,635,483,406,199,1400,51823,7823,2905,3875,534,538,365,343,243,137,373,17140,631,354,595,112,103,142,112,94,96,137,2373,64,19,28,3,9,7,3,0,0,10,144,8516,3277,4497,647,648,505,453,335,235,526,19653,59,6,10,0,0,0,0,0,0,87,163,41658,10053,11418,1681,1545,1149,936,748,438,2015,71640,38629,3741,2896,470,438,315,249,226,107,1255,48325,8202,1142,942,132
49499,13,3,3,3,15,30,16,9,96,0,0,0,0,0,0,0,0,0,3,3,9,6,15,4,3,7,16,45,30,15,159,14,3,4,0,0,0,0,0,0,0,23,3,3,4,0,0,0,4,0,5,0,26,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,0,6,6,37,0,0,0,0,0,0,0,0,0,6,6,19,9,14,0,0,0,3,0,11,12,68,40,3,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,41,6,6,0,0,0,0,0,0,6,59,54,0,6,0,0,0,0,0,0,3,66,4,0,3,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,13576,2242,2856,3258,3442,3852,2165,862,39588,10,6,12,0,0,0,0,0,0,83,114,7821,5370,15741,2793,3467,3750,3866,4303,2453,1306,50874,7666,2035,2880,493,654,410,362,314,168,392,15370,6059,4514,9723,1296,1544,1408,1160,1304,709,406,28123,507,537,1270,288,363,451,323,301,246,143,4430,38,36,73,8,4,16,8,11,8,15,211,6606,5091,11067,1588,1921,1871,1491,1613,957,558,32763,10,0,11,0,0,3,3,0,0,62,94,14288,7129,13954,2079,2575,2287,1856,1922,1130,1011,48221,20887,2441,3260,401,384,234,177,163,64,641,28651,8565,2367,3136,396,424,304,266,216,110,292,16082,1642,613,1209,253,265,286,188,189,164,206,5005,59,14,27,7,4,4,0,0,3,11,130,10273,2998,4360,651,695,590,455,405,273,503,21213,28,6,4,0,0,3,0,0,0,73,114,31190,5441,7627,1051,1081,826,634,571,335,1214,49976,27963,860,617,87,88,67,46,41,25,640,30444,10896,697,485,79
4RSAU,685,149,207,221,256,340,144,189,2422,0,0,0,0,0,0,0,0,0,79,80,472,285,973,223,287,281,317,399,178,317,3740,1025,248,345,52,68,43,32,28,12,91,1943,207,235,689,116,146,126,101,92,29,36,1774,16,28,100,22,39,31,35,23,9,14,314,0,4,4,0,0,0,0,0,0,0,15,224,265,792,136,189,158,135,113,41,54,2097,0,0,0,0,0,0,0,0,0,47,45,1255,515,1141,183,254,195,162,140,51,188,4093,4117,317,317,36,32,24,26,20,6,185,5084,429,177,247,51,48,47,35,19,7,35,1101,32,29,83,21,51,18,9,10,11,21,278,6,0,3,0,0,0,0,0,0,0,18,470,208,331,69,100,70,42,34,17,54,1394,8,0,0,0,0,0,0,0,0,49,55,4589,524,647,99,138,94,66,58,21,291,6529,6418,183,111,17,17,16,11,9,11,237,7031,736,63,52,17
59499,26,4,4,8,31,44,49,32,220,0,0,0,0,0,0,0,0,0,17,20,42,17,53,17,21,22,46,70,85,60,428,50,6,17,5,5,8,0,0,3,4,92,10,9,4,0,3,4,0,0,3,8,45,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,10,10,4,0,3,7,0,0,3,6,50,0,0,0,0,0,0,0,0,0,15,16,60,20,25,3,7,14,0,0,3,21,164,89,7,21,4,0,3,7,0,0,8,135,17,0,9,0,0,0,0,0,0,3,27,5,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,22,0,9,0,0,0,0,0,7,3,36,0,0,0,0,0,0,0,0,0,31,31,109,7,26,4,4,5,5,3,4,39,203,148,6,12,4,9,3,3,3,3,15,205,14,3,3,0
59799,4,0,9,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,15,5,7,0,8,0,0,3,47,14,3,5,0,0,0,0,5,0,3,35,0,0,3,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,17,5,10,0,3,0,0,3,3,3,45,15,11,4,0,0,0,0,0,0,8,34,4,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,11,4,0,3,0,3,3,0,8,42,10,3,3,0,0,0,0,0,0,4,13,3,0,0,0
5GPER,24012,4835,6237,6759,6587,6146,3523,1984,75375,17,8,21,3,8,4,12,9,3,359,451,22189,13952,35619,9229,11315,10210,9030,8110,4461,3635,127751,23993,7497,12050,2712,2982,1877,1352,970,457,1151,55045,11633,9184,18713,3241,4140,3119,2552,2029,920,755,56274,718,824,2379,359,530,511,384,426,235,265,6638,66,79,107,32,26,28,19,18,8,21,396,12417,10092,21203,3625,4699,3648,2949,2469,1165,1041,63306,27,13,15,3,6,3,3,6,0,284,357,36435,17600,33267,6332,7687,5532,4302,3444,1626,2476,118705,47245,9458,11095,1840,1879,1112,705,475,224,1404,75444,15148,5252,8622,1198,1419,915,575,509,230,501,34362,2030,847,1699,252,307,286,241,218,219,329,6428,110,48,71,10,12,5,6,3,3,18,285,17285,6145,10395,1458,1739,1209,817,730,450,846,41082,61,10,5,4,4,0,4,3,0,230,328,64598,15619,21501,3298,3619,2321,1528,1207,678,2485,116855,52339,3758,3199,578,518,383,256,233,115,1147,62530,17372,2049,1716,248
5RWAU,1784,509,605,674,659,697,387,370,6428,4,0,3,0,0,3,3,0,0,249,267,2152,1161,3759,1208,1375,1130,1047,979,506,907,14223,3948,1342,1839,351,381,241,166,124,47,326,8756,614,798,2271,407,528,441,277,241,88,133,5797,39,32,136,22,36,37,27,26,14,18,388,7,10,19,3,5,3,4,0,4,3,60,655,830,2425,435,566,480,310,272,107,158,6241,9,7,6,3,3,3,0,0,0,143,177,4614,2182,4276,785,953,725,475,395,157,627,15183,8970,1270,1541,292,303,179,134,81,25,459,13259,997,549,1231,206,211,154,82,85,26,79,3619,99,35,123,8,33,23,11,15,13,25,377,10,7,17,3,0,0,0,0,0,9,51,1104,586,1370,223,244,177,95,97,39,112,4042,11,3,10,0,0,0,0,0,0,105,132,10085,1860,2921,518,551,358,224,179,61,675,17435,10389,671,704,138,154,65,51,41,23,382,12631,1165,171,253,45
69499,3,0,3,3,3,7,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,10,3,7,35,7,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,14,0,0,0,0,0,0,0,0,6,19,13,3,0,0,0,0,0,0,0,0,19,3,0,0,0
69799,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
6GHOB,898,193,301,342,397,407,202,94,3290,0,0,0,0,0,0,0,0,0,7,12,669,409,1137,267,359,422,474,485,241,147,4610,1066,336,274,46,45,41,27,25,18,51,1934,286,371,564,70,97,79,85,92,42,40,1733,13,21,52,20,19,32,31,26,37,13,255,0,3,5,0,0,7,0,0,0,3,18,298,395,624,91,111,113,115,122,75,52,2003,0,0,0,0,0,0,0,0,0,3,3,1364,731,901,141,157,158,140,146,90,112,3940,2298,257,201,34,37,17,19,17,9,73,2961,513,180,223,30,23,17,16,13,10,17,1043,25,29,48,18,23,22,17,25,14,11,239,3,3,0,0,0,0,0,0,0,0,10,546,211,275,54,51,36,36,36,19,30,1293,3,0,0,0,0,0,0,0,0,11,10,2842,468,478,85,84,58,55,45,29,116,4264,3062,128,76,13,5,11,7,6,5,55,3373,677,57,49,12
6RTAS,427,107,144,164,190,214,146,75,1657,0,0,0,0,0,0,0,0,0,5,6,461,217,635,155,205,206,230,259,184,127,2684,1019,302,271,44,38,27,28,33,17,52,1845,154,194,328,53,69,47,49,56,42,22,1008,3,12,43,20,20,49,26,10,13,9,206,7,3,0,0,0,0,0,0,0,0,9,163,203,375,74,87,94,78,67,50,35,1221,4,0,0,0,0,0,0,0,0,3,10,1184,508,646,124,128,125,109,96,71,88,3074,2678,282,233,29,23,19,24,21,12,130,3449,377,147,183,24,28,24,14,27,9,15,834,23,13,40,19,11,15,21,3,9,6,168,0,0,0,0,0,0,0,0,0,0,3,395,162,229,36,34,36,37,29,18,22,1006,8,0,0,0,0,0,0,0,0,0,9,3075,438,465,72,60,62,60,53,33,154,4469,4288,147,119,13,16,12,12,12,0,143,4750,522,66,47,14
79499,3,0,0,4,12,20,9,3,49,0,0,0,0,0,0,0,0,0,0,0,10,3,6,4,5,7,18,32,14,7,113,10,8,5,0,0,0,0,0,0,0,29,0,0,9,3,0,0,0,0,3,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,4,14,0,0,0,0,0,0,0,0,0,0,0,13,6,8,3,0,0,0,0,7,3,45,20,3,3,0,0,0,0,0,0,0,28,4,0,3,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,24,3,11,3,0,0,0,0,0,4,43,44,6,3,0,0,0,0,0,0,0,56,3,0,0,0
79799,0,0,0,0,0,0,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,9,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1735,383,427,564,587,688,374,200,5601,0,0,0,0,3,0,0,0,0,24,29,910,513,2396,642,719,777,728,840,443,322,8288,1021,323,393,79,101,67,76,71,40,69,2250,641,501,1504,227,314,268,230,211,119,100,4113,47,40,146,20,27,46,35,24,19,10,424,15,4,15,0,0,0,0,3,0,0,40,706,542,1666,247,342,324,264,242,141,106,4579,4,0,0,0,0,0,0,0,0,15,23,1725,863,2060,329,440,387,347,317,184,195,6855,1862,214,281,50,59,40,29,27,14,93,2659,1101,271,523,88,102,83,70,57,41,55,2378,132,29,103,10,17,18,11,8,10,17,361,5,0,6,3,0,3,0,0,0,0,21,1236,309,634,100,119,98,80,68,44,77,2760,3,0,3,0,0,0,0,0,0,18,27,3096,517,917,150,171,142,109,89,60,189,5443,1920,83,91,25,13,13,23,14,10,74,2273,1085,82,95,8
7RNTE,474,87,113,115,140,159,88,73,1411,0,0,0,0,0,0,0,0,0,8,8,249,162,655,147,188,180,207,239,134,109,2263,306,119,121,38,31,33,49,48,31,27,804,100,153,418,63,66,56,41,45,17,27,980,8,5,17,0,3,3,0,0,0,5,43,0,0,3,0,0,0,0,0,0,0,9,107,161,439,65,66,59,41,45,17,32,1039,0,0,0,0,0,0,0,0,0,7,9,411,279,557,97,100,98,85,92,50,69,1849,654,108,87,27,30,27,23,47,17,38,1051,184,118,166,36,30,24,21,17,9,24,629,22,3,15,3,0,0,0,3,4,15,68,0,0,5,0,0,0,0,0,0,0,7,205,129,183,37,33,27,21,20,18,45,703,0,0,0,0,0,0,0,0,0,3,5,864,233,264,62,64,57,43,65,29,88,1762,770,62,66,14,15,16,20,17,10,35,1035,203,27,36,4
89499,3,4,0,0,3,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,3,0,3,4,5,0,31,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,15,7,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,4,24,8,0,3,0,0,0,0,0,0,0,7,4,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,4793,895,1051,1173,1411,1506,842,317,15572,0,3,0,0,0,3,0,0,0,35,37,3806,2432,5559,1132,1311,1399,1655,1747,981,491,20520,3283,710,622,165,138,113,158,154,80,158,5588,2703,3036,3344,544,516,487,525,497,240,165,12045,84,136,305,47,58,68,72,77,43,38,933,23,15,20,0,0,3,6,0,4,3,74,2800,3188,3669,593,572,559,597,575,290,206,13051,3,4,3,0,0,0,0,0,0,22,35,6089,3905,4294,758,713,671,757,727,364,393,18673,5604,471,426,132,137,63,62,47,23,134,7090,4228,1176,1006,179,162,108,126,96,51,115,7242,255,151,208,34,34,47,51,33,29,58,905,24,9,3,0,0,0,0,0,0,0,46,4509,1325,1217,215,204,150,183,131,83,173,8191,5,0,4,0,0,0,0,0,0,16,27,10123,1799,1646,346,340,213,240,177,107,317,15306,6012,182,125,35,25,31,8,34,19,114,6589,4364,307,185,20
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,26,3,4,3,8,12,9,9,117,0,0,0,0,0,0,0,0,0,89,89,44,16,34,8,3,3,6,12,6,102,246,12,4,11,0,0,3,4,0,0,3,44,57,19,22,0,7,0,5,3,8,12,129,8,3,3,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,62,18,27,0,9,4,3,3,8,12,148,0,0,0,0,0,0,0,0,0,62,62,75,26,39,3,8,5,9,4,8,73,251,69,9,9,0,0,0,0,0,4,4,93,70,17,12,9,0,6,3,4,0,8,122,22,0,8,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,3,94,12,17,9,0,6,3,3,0,14,163,0,0,0,0,0,0,0,0,0,31,31,165,20,25,7,0,9,5,3,4,51,287,65,15,9,0,3,0,3,3,0,8,102,57,0,3,0
