GCCSA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
3GBRI,42,277,700,3872,1862,1538,597,271,106,9269,11,72,96,320,251,211,231,97,59,1355,3,74,281,920,514,347,120,37,15,2305,418,2372,4327,14494,5520,3955,2615,1381,602,35688,3676,6434,8620,20208,9027,7896,6350,4419,3564,70195,72050,144286,157266,336237,153071,126053,92065,47651,24673,1153351,10,189,759,1416,278,133,63,20,5,2875,134302,245398,228039,402974,184667,155239,111420,53285,23488,1538813,51,193,216,1122,187,108,24,6,0,1899,0,13,153,849,502,426,191,103,19,2251,8,54,106,555,366,283,105,57,27,1564,102,340,534,2203,865,634,321,116,55,5164,10,47,88,579,299,217,167,55,18,1481,333,1268,9294,15885,3932,2801,1522,823,314,36175,0,10,57,340,386,380,366,338,66,1939,29,196,127,321,125,152,210,93,39,1293,571,5131,6147,17181,19336,15094,15283,8378,2967,90086,37,288,744,3830,1909,1548,744,317,60,9470,33,173,313,1276,529,306,280,130,54,3089,32,181,493,1951,1363,1198,2537,984,400,9149
3RQLD,17,114,172,866,215,142,63,11,4,1595,3,63,78,299,250,227,230,139,47,1341,10,101,277,732,454,332,140,53,13,2107,244,1136,1918,7376,3221,2771,2217,1246,598,20718,4524,9067,10810,24730,13933,13200,11137,6741,3873,98018,72221,155225,144621,312046,169397,155306,121125,63300,29061,1222294,3,56,131,234,48,24,4,0,0,501,135292,275712,234448,432649,229709,216247,162712,79742,31059,1797567,15,81,74,534,121,31,4,0,0,865,0,6,42,311,222,175,112,64,3,940,12,44,36,200,98,52,16,3,0,462,103,331,477,2228,854,771,557,201,69,5582,6,25,37,292,148,80,101,33,4,736,125,524,2047,4702,1678,921,498,235,94,10831,0,11,32,154,239,314,377,412,75,1613,26,94,44,219,114,176,257,147,69,1148,398,4020,5059,14179,17449,15704,19099,10413,3536,89863,20,176,303,1103,641,484,252,123,26,3126,19,88,285,917,423,347,377,165,48,2671,28,162,495,1733,1476,1671,3095,1908,575,11148
49499,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,0,3,0,0,0,23,3,10,11,35,39,19,14,0,0,143,43,68,181,351,192,164,97,21,7,1129,0,0,0,3,0,0,0,0,0,7,76,94,274,637,319,254,174,36,10,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,39,26,40,14,3,8,142,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,11,0,0,4,4,0,4,3,0,0,21
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,28,191,666,2988,1586,1376,474,230,82,7637,3,48,74,179,226,240,196,163,79,1211,7,49,90,242,123,72,22,13,0,615,267,1386,2264,6638,2543,1914,1698,1324,878,18923,1568,2777,3705,8760,4706,4733,4207,3110,2047,35623,36906,73146,82930,174511,88637,82047,63808,38044,21797,661823,49,502,1746,2520,646,274,89,13,4,5847,69697,125857,126919,228325,114312,99715,68869,32721,17828,884250,63,265,129,1191,127,50,16,3,0,1848,0,6,111,678,409,414,170,113,20,1920,23,93,199,1197,657,543,285,104,34,3128,45,125,157,753,339,303,146,45,29,1948,7,23,32,254,125,123,98,41,9,710,224,928,6960,10899,2094,1523,817,356,130,23919,3,7,55,393,368,492,534,537,147,2533,33,161,83,389,107,179,253,144,68,1410,263,2873,3809,9567,17490,17308,14940,10233,4311,80795,5,35,82,414,204,164,98,37,3,1051,12,60,96,347,250,163,126,78,27,1150,16,99,214,816,835,1175,2855,1316,912,8242
4RSAU,3,12,13,115,32,4,12,0,0,197,0,6,3,18,32,59,52,32,10,215,0,14,25,59,21,32,3,4,0,155,20,95,73,326,179,202,206,174,68,1344,541,1165,1210,2916,2120,2322,2080,1240,828,14431,10211,22211,18828,40253,25939,27537,23633,12753,6336,187706,0,12,83,235,95,30,3,0,0,466,19495,41957,35030,67104,41384,42798,34524,16904,7215,306411,0,25,3,85,7,0,0,0,0,121,0,0,0,9,12,8,6,7,0,50,4,3,7,29,14,0,3,0,0,63,3,10,18,90,42,45,45,9,8,266,0,0,0,8,13,8,5,3,0,36,4,43,79,360,112,47,16,3,3,666,0,0,0,10,32,54,110,107,24,328,0,0,0,21,3,7,12,12,0,47,17,231,251,997,3032,4076,4345,2709,794,16458,0,9,11,56,30,21,5,3,0,143,0,3,13,46,39,28,48,19,8,205,3,8,23,119,167,326,682,347,181,1853
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,13,36,7,5,0,0,0,62,20,21,52,133,45,74,47,3,3,406,79,120,315,840,325,442,254,37,11,2415,0,0,0,0,0,0,0,0,0,0,115,187,347,1275,609,571,352,53,10,3512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,3,0,0,0,26,0,0,0,3,0,0,0,0,0,4,3,3,15,13,3,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,3,3,35,95,72,88,68,12,3,378,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,29,0,0,13,14,3,3,12,0,0,50
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,0,3,11,8,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,10,122,42,20,3,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,5,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
5GPER,53,219,808,3652,1553,1300,479,233,79,8374,7,136,182,650,595,435,386,221,97,2713,21,264,704,2010,935,663,250,71,18,4933,413,2382,4039,14929,4890,3595,2320,1240,647,34443,3220,5412,7040,18776,7818,7086,5837,4412,3058,62660,61672,118507,123812,290619,130632,109824,78385,44899,21972,980326,32,234,1245,2419,504,237,82,29,7,4784,113116,186994,167154,292514,124934,106511,70329,35934,15809,1113290,51,219,188,1503,213,124,56,12,4,2375,0,13,172,1012,541,520,214,88,26,2591,23,36,83,501,215,182,64,21,15,1146,75,379,444,1854,784,626,294,121,47,4621,5,61,86,540,296,273,167,59,11,1504,284,1370,4749,12275,3582,2068,907,452,225,25911,3,26,101,745,572,893,941,791,232,4300,33,303,116,551,211,277,335,170,78,2071,916,8888,11663,35209,37096,28303,25208,14578,5108,166965,3,49,69,407,203,156,69,26,6,995,37,173,262,1650,475,240,203,106,31,3183,28,208,484,2204,1328,1038,2210,805,374,8675
5RWAU,8,20,35,189,47,39,11,3,0,351,5,7,13,69,80,74,66,26,15,359,3,77,103,367,158,137,51,10,4,913,30,163,156,1078,531,452,299,154,78,2944,1306,2606,2347,6890,3731,3417,2443,1439,661,24838,16823,34759,26527,68275,35869,32821,22272,11297,4595,253230,0,20,82,172,43,10,3,0,0,331,31327,60509,44826,96689,49160,45539,29467,13562,4782,375860,4,26,12,130,30,11,0,0,0,207,0,3,4,32,9,12,7,5,3,84,0,8,10,55,22,20,0,0,0,107,5,42,51,338,148,122,52,17,11,790,0,0,3,51,21,20,5,3,0,107,15,45,205,566,191,71,14,13,5,1122,0,0,7,30,29,70,61,48,7,247,3,6,0,68,3,18,26,9,0,138,68,732,809,4418,5842,5530,5575,2897,906,26788,0,30,20,156,53,42,21,9,0,333,6,19,70,298,72,65,56,18,5,603,5,34,99,525,300,296,714,188,73,2224
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,8,0,5,4,9,12,9,4,0,0,38,20,22,62,123,59,56,38,5,0,393,0,0,0,0,0,0,0,0,0,0,41,32,119,236,99,73,58,11,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,14,10,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6
