GCCSA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
3GBRI,79980,3130,24,24,3181,117,83272,5061,18904,902,94,19904,26,24989,101,2111,1286,32,3424,5,3524,49,104,6,60,173,3,224,5209,21116,2190,186,23501,33,28739,105,32,4,0,37,134,277,85296,24283,2219,216,26716,279,112291,83482,2561,30,26,2617,108,86209,4231,15678,796,90,16564,24,20814,82,1702,1342,16,3063,3,3151,47,83,9,52,139,3,183,4355,17466,2144,161,19767,27,24152,122,23,4,0,26,150,305,87964,20048,2178,191,22416,289,110664,46935,1224,14,14,1253,62,48246,1941,7651,481,43,8173,6,10123,45,915,898,8,1820,3,1873,23,42,7,32,82,0,109,2016,8609,1389,86,10081,12,12106,63,12,0,0,12,85,165,49013,9846,1398,95,11345,166,60517,29163,684,13,14,714,39,29910,1163,4492,333,22,4851,8,6015,29,572,622,5,1199,0,1236,15,23,4,14,41,0,54,1204,5086,961,48,6091,9,7304,33,5,0,0,5,38,73,30402,5777,982,58,6813,82,37294,37523,882,21,18
3RQLD,86984,1861,22,22,1898,175,89058,3811,8576,310,37,8920,16,12751,95,776,454,8,1236,0,1335,46,45,0,35,82,7,131,3955,9404,758,79,10237,22,14211,188,15,0,0,19,172,373,91122,11282,783,100,12161,368,103643,92955,1698,21,22,1740,200,94897,3362,7609,314,26,7946,11,11326,77,589,412,5,1014,0,1093,43,70,0,39,114,0,153,3489,8268,730,73,9071,11,12566,177,15,0,0,15,152,340,96616,9978,752,90,10821,370,107808,53420,895,20,11,928,106,54455,1639,3886,179,6,4070,12,5721,52,294,278,0,574,0,620,22,36,0,31,69,0,89,1708,4210,455,36,4706,12,6430,108,11,0,0,11,98,222,55241,5117,475,49,5640,218,61102,33193,542,12,11,564,73,33826,1069,2245,110,7,2365,8,3439,24,185,192,0,374,0,402,5,13,0,11,17,0,28,1103,2441,301,20,2757,8,3867,66,3,0,0,3,60,130,34369,2983,314,27,3324,131,37826,41110,636,10,14
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,38833,1536,16,22,1569,53,40459,2296,12385,589,77,13046,0,15342,36,1609,922,17,2541,3,2580,29,63,9,35,112,0,141,2368,14055,1515,124,15692,6,18066,59,19,0,0,26,72,159,41265,15612,1532,147,17286,138,58685,39254,1285,33,6,1321,52,40628,1952,9947,459,50,10461,4,12419,44,1285,1007,3,2293,3,2343,18,59,11,27,95,0,107,2007,11290,1477,83,12852,5,14864,63,23,0,0,23,89,173,41327,12598,1508,92,14197,148,55672,22139,654,14,3,675,26,22844,954,4908,274,25,5204,0,6168,16,640,702,0,1347,3,1361,14,30,6,19,55,0,72,984,5576,988,48,6608,7,7601,44,11,0,0,10,37,83,23167,6244,995,56,7291,69,30523,14301,383,11,13,410,16,14726,567,2892,154,17,3065,8,3643,9,448,459,9,915,0,924,4,16,0,14,35,0,33,580,3360,619,32,4011,6,4600,17,4,0,0,4,22,48,14900,3746,630,45,4424,46,19368,19712,543,12,10
4RSAU,13529,133,0,8,136,36,13701,301,759,29,3,788,0,1098,8,94,48,0,151,0,152,4,3,0,0,3,0,9,319,861,79,7,941,0,1259,46,0,0,0,0,64,110,13890,993,80,16,1081,103,15072,14389,130,3,5,141,41,14569,256,708,20,5,729,0,990,0,62,67,3,131,0,132,3,3,0,4,8,0,12,266,767,91,8,870,0,1135,40,0,0,0,0,42,86,14692,902,95,19,1010,89,15792,8274,72,5,3,79,12,8369,155,392,18,0,414,0,569,0,32,48,0,85,0,87,0,0,0,3,3,0,4,156,432,68,3,498,0,663,13,0,0,0,0,31,41,8441,507,71,5,580,46,9073,5287,45,0,0,45,18,5353,89,243,6,3,255,0,344,0,9,27,0,33,0,35,3,4,0,3,7,0,4,91,259,34,7,296,0,387,12,0,0,0,0,13,21,5391,305,34,10,344,33,5764,6869,62,0,0
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,62144,2634,35,20,2690,81,64916,5214,21350,734,102,22182,21,27413,123,2439,1279,20,3739,0,3856,49,120,11,49,186,0,236,5378,23912,2020,169,26108,22,31505,87,44,4,5,54,114,246,67607,26594,2058,197,28848,213,96667,63128,2123,20,13,2153,85,65360,4271,17673,628,94,18395,23,22693,92,1934,1258,11,3199,5,3297,42,91,16,43,142,0,183,4408,19690,1901,148,21743,25,26176,118,30,0,0,35,77,229,67650,21845,1923,163,23932,188,91767,35207,1073,16,4,1086,43,36341,2032,8853,328,39,9221,8,11262,51,966,899,13,1874,0,1920,20,52,9,23,86,0,108,2104,9874,1235,70,11179,8,13293,42,11,0,0,16,35,93,37361,10951,1249,78,12280,87,49725,21772,573,12,13,593,25,22394,1249,5281,240,26,5545,0,6793,37,566,585,4,1152,3,1189,9,33,6,8,53,0,59,1289,5876,830,34,6741,8,8038,38,6,0,0,6,20,64,23101,6453,845,46,7344,52,30495,29928,831,9,13
5RWAU,20140,339,3,8,343,56,20545,906,2166,45,9,2218,13,3141,23,118,63,3,185,0,204,7,11,3,18,33,0,45,929,2291,114,29,2439,16,3387,48,3,0,0,0,54,99,21123,2635,118,40,2784,121,24030,20935,346,4,3,349,51,21328,709,2138,35,5,2175,6,2893,12,95,83,0,184,0,194,7,13,4,9,28,0,34,723,2246,123,21,2389,6,3119,71,0,0,4,5,50,126,21721,2587,125,26,2741,103,24570,11476,142,0,0,149,28,11651,355,1125,33,5,1162,6,1522,7,35,43,0,81,0,91,7,8,0,9,20,0,25,363,1172,72,19,1265,6,1633,40,0,0,3,3,31,74,11878,1317,71,18,1411,65,13358,6546,104,0,0,109,17,6669,188,713,13,0,726,3,922,10,29,33,0,65,0,71,4,3,0,7,15,0,18,203,747,51,6,805,3,1006,23,0,0,0,3,17,47,6769,852,56,6,912,34,7720,7914,115,0,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,7974,160,3,0,165,14,8153,310,731,20,7,756,4,1068,3,72,62,0,133,0,143,0,0,0,0,0,0,0,319,801,82,7,891,4,1214,3,0,0,0,0,19,24,8299,965,85,7,1056,34,9391,8300,162,3,0,171,15,8484,279,534,28,0,562,3,839,3,62,64,0,124,0,129,0,0,0,0,0,0,0,281,596,95,0,687,3,973,12,0,0,0,0,9,19,8592,761,92,4,856,24,9478,4686,79,0,0,79,7,4771,98,243,14,0,264,0,360,3,37,44,0,82,0,90,0,0,0,0,0,0,0,103,281,58,0,344,0,446,9,0,0,0,0,0,9,4795,356,58,0,421,8,5225,2906,45,0,0,45,12,2960,58,135,14,0,147,0,205,3,15,21,0,37,0,41,3,0,0,0,0,0,3,59,150,33,0,183,0,248,6,0,0,0,0,3,9,2979,195,33,0,232,11,3221,3913,61,3,4
6RTAS,9902,82,0,12,92,27,10014,240,391,10,3,409,0,644,7,54,105,0,158,0,165,4,0,0,0,0,0,8,248,450,120,5,571,0,822,27,6,0,0,6,20,46,10174,530,115,15,668,45,10886,10973,94,3,3,101,27,11099,218,271,15,7,294,4,512,3,37,96,0,127,0,133,3,3,0,0,3,0,8,222,312,112,7,428,4,651,30,0,0,0,0,16,42,11225,402,116,11,527,49,11798,6414,57,0,0,63,19,6490,95,157,7,0,157,0,253,7,21,63,0,86,0,89,0,0,0,0,4,0,3,103,175,73,0,249,0,344,25,0,0,0,0,10,32,6534,234,73,3,304,29,6871,4036,26,0,0,31,13,4079,57,102,6,0,103,0,163,0,7,48,0,55,0,58,0,0,0,0,0,0,3,61,111,51,0,165,0,224,17,0,0,0,0,10,30,4115,136,51,0,193,21,4335,5313,44,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,4847,191,4,3,194,9,5047,488,1617,46,9,1666,3,2162,8,155,81,0,236,4,251,0,8,0,10,15,0,15,499,1784,127,21,1925,3,2434,6,0,0,0,0,15,24,5354,1973,124,24,2117,28,7503,4311,183,3,0,189,3,4500,347,1273,55,6,1339,4,1681,6,117,82,0,208,0,216,3,7,0,9,10,0,19,357,1402,141,12,1555,8,1919,4,0,0,0,0,14,21,4671,1584,145,14,1743,22,6437,2217,93,7,0,96,3,2317,184,670,31,3,707,0,890,8,64,44,0,109,0,114,3,7,0,5,14,0,15,189,741,77,8,827,0,1016,3,0,0,0,0,3,6,2404,836,82,8,927,10,3338,1339,49,3,0,53,3,1394,97,430,23,0,445,0,546,5,38,34,0,74,0,80,0,0,0,3,5,0,4,106,462,59,4,524,0,633,0,0,0,0,0,3,3,1444,513,59,4,576,6,2025,1639,56,0,0
7RNTE,1913,75,0,0,79,3,1994,146,2373,44,12,2430,3,2578,7,48,70,0,123,0,126,6,5,0,36,40,0,45,160,2424,122,47,2588,3,2756,5,0,0,0,0,48,48,2081,2505,124,43,2672,48,4802,1836,94,0,0,98,4,1939,105,2483,55,9,2549,3,2653,3,49,75,3,120,0,125,0,7,0,29,38,0,40,105,2540,126,42,2707,3,2818,5,0,0,0,0,38,37,1949,2632,131,42,2808,45,4797,869,31,0,0,31,3,906,48,1345,34,3,1387,0,1438,7,34,35,0,71,0,80,3,3,0,23,26,0,26,59,1384,74,22,1482,0,1538,3,0,0,0,0,22,23,932,1421,74,22,1519,25,2475,511,25,0,0,25,0,535,38,841,19,3,862,0,899,0,18,29,0,50,0,54,0,4,0,3,8,0,8,37,864,53,7,921,0,959,0,0,0,0,0,21,19,548,889,53,7,948,24,1520,483,16,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,14047,714,3,0,723,12,14781,1096,5166,144,29,5339,0,6444,11,329,128,0,460,0,469,11,28,0,13,43,0,56,1120,5526,269,47,5843,0,6961,14,3,0,0,3,10,29,15181,6251,275,46,6566,26,21780,13373,543,4,3,557,12,13938,885,4279,125,24,4424,5,5319,11,232,127,0,359,0,369,5,22,3,3,24,0,33,908,4533,253,29,4811,5,5725,15,10,0,0,6,17,36,14293,5080,263,31,5377,36,19703,7198,234,4,0,237,6,7445,425,1880,77,7,1968,0,2389,3,134,78,0,215,0,222,5,6,0,0,8,0,15,429,2021,153,10,2190,0,2623,6,3,0,0,3,7,23,7635,2263,159,17,2432,20,10086,4373,149,0,0,149,5,4531,278,1085,46,7,1143,0,1421,4,68,46,3,115,0,120,0,3,0,3,6,0,6,282,1156,99,14,1263,0,1551,3,0,0,0,0,4,13,4666,1304,99,14,1413,11,6091,6094,192,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,68,8,0,0,15,0,78,8,96,6,0,103,0,108,0,13,4,0,16,0,16,0,0,0,0,3,0,3,8,104,5,0,114,0,124,0,0,0,0,0,0,0,81,121,5,3,128,0,206,66,9,0,0,15,0,78,16,95,7,0,101,0,119,0,7,7,0,10,0,10,0,0,0,0,0,0,0,16,108,9,0,115,0,135,0,0,0,0,0,3,3,86,116,9,0,123,3,216,30,10,0,0,10,0,40,3,48,0,0,47,0,47,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,51,0,0,48,0,57,0,0,0,0,0,0,3,34,62,0,0,63,0,100,22,0,0,0,0,0,22,0,41,3,0,40,0,44,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,41,4,0,44,0,44,0,0,0,0,0,0,0,23,44,4,0,44,0,70,11,0,0,0
