GCCSA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
3GBRI,360,3598,51,4000,64917,5607,74523,3345,2825,124,6287,72659,6589,85533,41471,4603,1123,47188,108053,13818,169060,77488,3389,2139,83014,61692,11154,155864,43305,4832,1158,49299,86422,10270,145989,6964,11019,199,18181,92220,8335,118736,1189,12203,84,13474,65591,7075,86138,172,2469,13,2654,32473,4726,39855,37,138,3,174,10997,2499,13676,174320,45072,4890,224276,595022,70082,889380,815,5964,89,6869,60188,5000,72056,7362,5396,461,13225,66269,5715,85209,62871,7924,3183,73982,88486,11707,174171,93396,5835,4870,104099,48938,9039,162065,40517,12178,1899,54593,89674,8805,153071,3216,26336,300,29853,88333,7868,126053,763,19370,123,20264,64444,7360,92065,182,2986,19,3187,38170,6287,47651,56,192,3,250,19195,5226,24673,209181,86192,10940,306316,563698,67002,937019,1178,9561,132,10871,125099,10609,146581,10706,8225,585,19515,138928,12300,170741,104335,12526,4306,121167,196541,25520,343233,170879,9230,7007,187112,110628,20193,317932,83818,17013,3057,103886,176090,19080,299059,10177,37353,498,48032,180554,16204,244790,1957,31571,207,33737,130034,14434,178208,350,5456,30,5844,70646,11011,87505,94,327,4,426
3RQLD,472,3524,49,4046,64131,8283,76455,4133,2670,142,6947,58604,7633,73189,42953,4491,1242,48683,83005,15813,147501,73281,3650,2129,79061,56570,14676,150306,42049,5785,1183,49023,96988,15553,161566,7344,12038,231,19609,116524,14255,150381,1341,10579,82,11998,96488,12830,121315,233,2080,12,2326,48141,8152,58621,69,107,0,180,14294,3603,18069,171881,44927,5065,221868,634745,100799,957411,1110,6229,98,7446,58044,7337,72830,9301,4887,473,14662,50761,6371,71787,66061,7192,3664,76918,64111,12632,153661,91217,5823,4946,101984,44673,11726,158382,39442,14445,1877,55758,100531,13104,169397,3125,28398,312,31840,110769,12699,155306,726,17152,107,17984,90815,12321,121125,209,2594,22,2827,50608,9865,63300,84,204,6,289,22591,6177,29061,211271,86923,11515,309704,592917,92232,994854,1589,9752,147,11489,122174,15621,149284,13434,7562,615,21610,109363,14002,144979,109012,11683,4901,125594,147118,28445,301158,164499,9474,7076,181045,101240,26406,308690,81493,20235,3063,104786,197523,28656,330959,10464,40435,546,51445,227294,26952,305688,2066,27729,186,29990,187305,25152,242444,441,4672,37,5150,98754,18018,121922,149,312,6,463
49499,0,3,0,3,70,19,95,7,0,0,12,112,34,161,62,15,0,70,204,71,349,53,8,3,64,128,81,280,18,5,0,27,155,103,282,8,10,0,17,165,58,239,0,11,0,11,122,36,168,0,3,0,3,33,3,43,0,0,0,0,10,0,13,151,60,7,210,1004,409,1627,4,9,0,17,50,14,80,20,11,0,30,56,13,99,37,6,0,48,127,36,209,38,15,3,54,49,35,140,16,19,0,30,112,49,192,0,8,0,15,127,25,164,0,14,0,16,68,17,97,0,0,0,0,17,0,21,0,0,0,0,7,0,7,111,83,5,201,615,202,1016,8,8,0,15,119,31,173,24,11,0,43,171,55,266,97,23,0,121,326,111,556,92,20,6,117,185,120,421,33,27,3,57,263,150,474,9,21,0,26,290,87,403,0,26,0,26,191,49,271,0,3,0,3,52,5,59,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,186,1679,13,1880,35863,2742,40489,1268,1439,60,2774,40128,2592,45495,20737,2527,522,23787,58799,5480,88071,41937,1760,1146,44845,33253,4885,82983,24704,2578,618,27905,52464,5068,85442,4225,7174,104,11498,59662,4510,75675,685,9800,51,10538,42464,4014,57017,139,2181,15,2332,24927,3191,30457,46,127,4,174,10539,1657,12371,93928,29265,2536,125731,358111,34152,517997,371,2973,38,3381,33058,2446,38894,2977,2761,146,5888,35882,2265,44039,32918,4355,1583,38856,46625,4757,90237,49862,2944,2668,55475,24863,3935,84275,22730,6636,997,30365,54012,4264,88637,2013,17999,196,20204,57435,4412,82047,521,15352,77,15949,43261,4587,63808,151,2481,16,2649,31065,4330,38044,61,170,5,232,18515,3044,21797,111608,55671,5726,173003,344714,34049,551769,553,4654,54,5260,68923,5190,79385,4249,4205,208,8665,76010,4866,89535,53656,6879,2103,62643,105426,10238,178301,91805,4705,3813,100323,58113,8818,167253,47438,9216,1617,58268,106479,9334,174077,6240,25169,298,31706,117100,8918,157723,1206,25154,124,26488,85723,8608,120817,284,4662,32,4981,55999,7520,68502,104,297,10,413
4RSAU,79,513,4,603,9013,1320,10933,654,410,27,1092,7542,924,9562,6580,656,180,7417,10328,2113,19858,10391,598,386,11371,7463,2092,20921,6052,1160,187,7404,16636,2356,26390,1085,2629,38,3749,22131,2372,28251,211,2310,16,2536,19204,2398,24131,34,395,0,432,9885,1629,11942,34,22,3,60,3175,715,3954,25123,8685,841,34656,105376,15919,155949,148,1031,13,1193,7901,1106,10195,1387,772,77,2234,5738,656,8629,9514,1002,646,11160,6917,1317,19391,12242,897,751,13891,5645,1330,20866,5128,2813,285,8229,15931,1784,25939,447,5715,46,6218,19210,2114,27537,136,3278,16,3427,17945,2254,23633,35,451,4,496,10360,1900,12753,32,41,6,79,5071,1185,6336,29071,16005,1853,46929,94707,13648,155286,222,1546,21,1796,16918,2419,21132,2036,1178,112,3325,13280,1584,18193,16092,1656,826,18577,17246,3433,39251,22630,1495,1137,25260,13101,3420,41789,11185,3975,471,15635,32566,4141,52332,1535,8347,88,9966,41337,4489,55791,350,5593,28,5964,37151,4651,47762,75,845,4,926,20251,3526,24701,74,63,7,139
59499,0,4,0,8,56,26,84,4,10,0,15,183,64,254,67,23,5,96,452,224,773,99,12,8,109,282,211,606,46,3,0,54,339,241,638,8,6,0,17,396,122,540,3,11,0,12,283,82,375,0,0,0,0,44,9,58,0,0,0,0,11,0,12,233,73,10,318,2046,972,3336,4,3,0,3,47,19,65,6,6,0,15,171,62,242,52,15,0,67,315,149,534,60,14,0,67,134,102,305,15,18,0,33,193,101,325,3,36,0,35,319,81,442,0,11,0,10,197,49,254,0,5,0,5,26,14,37,0,0,0,0,6,5,11,142,93,5,241,1398,581,2220,3,3,0,10,97,41,151,14,12,4,29,351,123,503,119,38,7,165,772,373,1306,154,23,7,178,415,313,910,66,24,0,87,528,345,957,13,40,0,52,717,200,977,3,22,0,25,476,133,633,0,5,0,3,70,23,98,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,16,3,17,13,0,0,16,80,26,124,25,0,0,28,77,18,120,9,0,0,9,70,17,94,0,0,0,0,29,5,43,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0,3,0,3,51,3,0,59,277,70,408,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,3,6,0,0,0,0,3,0,3,0,0,0,0,3,3,8,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,8,26,0,0,0,0,0,0,0,0,0,0,0,15,3,20,12,0,0,17,87,29,127,25,0,0,28,80,18,127,9,0,0,16,75,15,105,0,0,0,0,37,5,43,0,0,0,0,4,0,8,0,0,0,0,3,0,3,0,0,0,0
5GPER,271,2791,29,3091,53742,4558,61400,2142,2181,82,4399,58391,5558,68351,34107,3868,709,38684,100172,14345,153198,66010,2514,1485,70012,54301,11164,135474,37802,3675,814,42293,75986,9785,128061,6189,8735,168,15093,80370,7673,103140,1022,10579,60,11665,56074,6250,73986,169,2351,13,2531,29946,4626,37102,39,129,3,167,10095,2412,12680,147758,36823,3359,187937,519087,66363,773386,538,4620,49,5212,49407,4112,58729,5255,4236,240,9732,50812,4537,65083,54600,6691,2626,63918,78486,11082,153484,80562,4675,4269,89499,39481,8144,137133,35746,9722,1527,46993,75934,7706,130632,2918,23596,271,26780,76032,7008,109824,691,17525,129,18347,53455,6580,78385,182,2913,15,3107,35470,6322,44899,48,162,7,214,17072,4694,21972,180539,74126,9136,263808,476153,60182,800146,812,7416,81,8305,103151,8669,120129,7396,6416,326,14131,109199,10100,133434,88708,10557,3337,102605,178656,25423,306680,146568,7189,5754,159515,93786,19312,272610,73551,13398,2342,89286,151920,17484,258693,9107,32333,440,41876,156406,14685,212965,1715,28105,189,30006,109529,12835,152368,350,5263,28,5638,65422,10944,82007,83,285,6,380
5RWAU,114,867,14,988,12391,2244,15633,946,606,38,1584,10514,1839,13936,10190,1109,319,11614,19526,5722,36864,16849,936,565,18348,13794,5178,37316,9121,1369,265,10762,23590,4982,39332,1520,2545,51,4115,26982,4138,35231,221,1913,14,2146,19344,2893,24386,48,305,0,356,8630,1709,10696,30,25,3,52,2476,630,3157,39033,9669,1262,49972,137257,29333,216557,253,1424,28,1707,10496,1885,14085,2043,1030,148,3229,7889,1329,12444,15040,1668,1082,17782,12830,3577,34190,18954,1454,1268,21681,9277,3122,34084,7477,3371,366,11219,21211,3442,35869,614,6041,63,6716,22918,3185,32821,155,2984,16,3155,16525,2588,22272,51,470,7,535,8790,1976,11297,22,32,0,52,3586,954,4595,44614,18476,2986,66081,113518,22057,201648,371,2288,41,2698,22885,4126,29712,2991,1633,185,4810,18405,3166,26382,25230,2772,1398,29399,32359,9292,71057,35805,2393,1833,40029,23067,8301,71401,16601,4743,636,21982,44799,8423,75202,2134,8588,111,10833,49898,7318,68053,370,4900,35,5306,35865,5486,46655,103,776,7,886,17417,3688,21993,50,53,3,101
69499,0,0,0,3,27,3,34,3,0,0,3,34,19,56,17,3,0,24,65,34,120,14,3,0,20,49,22,93,5,0,0,9,46,20,77,3,0,0,3,39,7,52,0,0,0,0,36,12,48,0,0,0,0,4,6,8,0,0,0,0,0,0,0,46,13,0,63,302,122,481,0,0,0,0,25,7,33,10,0,0,9,21,7,29,11,4,3,21,36,9,69,19,4,0,21,29,5,54,6,0,0,5,40,17,59,0,12,0,12,45,8,56,0,5,0,5,30,9,38,0,0,0,0,5,0,5,0,0,0,0,0,0,0,39,22,6,70,231,58,350,0,0,0,3,56,9,62,9,3,0,13,55,20,90,33,9,3,42,96,43,183,35,9,0,40,77,30,147,9,3,0,17,90,35,135,3,10,0,14,80,15,113,0,5,0,5,70,18,84,0,0,0,0,9,4,12,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,11,4,15,3,0,0,3,3,3,5,3,0,0,3,6,0,10,0,0,0,0,6,0,8,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,41,6,49,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,21,4,23,3,0,0,3,3,3,5,7,0,0,7,10,0,15,0,0,0,0,12,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
6GHOB,38,305,0,345,6043,500,6880,306,244,10,562,6016,507,7088,3741,432,124,4293,8563,1092,13947,6693,315,219,7223,5069,885,13171,4049,488,132,4667,8631,986,14285,780,1313,35,2130,10908,1040,14085,123,1491,3,1620,8044,925,10584,17,337,0,351,4400,640,5388,6,20,0,24,1620,253,1906,15745,4949,520,21213,59295,6829,87329,92,569,3,657,5496,530,6684,720,473,39,1229,5289,431,6952,5541,750,357,6649,7071,821,14541,8211,589,567,9367,4276,768,14411,3796,1268,199,5267,9218,831,15312,311,3275,30,3610,10757,990,15358,74,2424,14,2510,8120,969,11598,31,443,0,474,5311,918,6703,14,23,0,40,2836,489,3368,18781,9810,1215,29807,58367,6753,94929,127,871,7,1007,11533,1026,13565,1026,716,52,1796,11302,944,14042,9275,1182,480,10940,15639,1910,28485,14901,899,786,16588,9345,1652,27577,7844,1757,335,9935,17845,1814,29598,1090,4585,63,5740,21662,2034,29440,197,3921,13,4130,16159,1898,22183,44,783,0,824,9713,1554,12093,15,48,0,66
6RTAS,67,367,4,439,7670,941,9049,578,298,16,886,6648,606,8144,4842,495,164,5503,7710,1048,14256,7820,390,227,8435,5758,1137,15328,4701,765,121,5590,12448,1486,19526,873,1671,26,2571,16672,1681,20926,154,1338,10,1501,14067,1874,17444,24,268,0,295,6812,1175,8281,24,20,0,40,1968,434,2440,19072,5613,569,25258,79755,10380,115389,132,696,16,847,6697,859,8395,1166,616,57,1841,5226,519,7579,7172,816,450,8441,5646,991,15080,9527,683,491,10705,5003,1060,16761,4191,1963,168,6323,13080,1365,20777,325,3910,24,4263,15784,1619,21667,112,2168,15,2286,13442,1926,17663,34,337,0,370,7381,1466,9219,23,28,0,49,3317,681,4046,22677,11226,1225,35127,75581,10486,121201,196,1065,19,1281,14364,1806,17443,1740,913,73,2728,11878,1120,15724,12015,1313,614,13944,13359,2039,29338,17347,1078,717,19138,10761,2189,32094,8892,2732,291,11913,25529,2849,40297,1200,5581,56,6834,32461,3297,42594,267,3505,19,3791,27515,3803,35104,57,604,5,669,14193,2642,17500,46,48,0,93
79499,0,0,0,0,17,4,16,0,3,0,0,60,37,98,12,7,0,25,105,94,219,30,9,0,38,99,84,215,13,3,0,17,135,103,257,7,8,0,10,163,55,229,0,3,0,3,135,36,174,0,0,0,0,18,11,20,0,0,0,0,0,0,0,70,30,0,95,723,416,1240,0,0,0,0,12,0,17,0,3,0,3,47,39,85,28,7,0,40,117,80,239,42,3,0,47,69,68,180,17,5,0,17,112,75,203,0,4,0,4,159,44,212,0,3,0,3,80,24,105,0,0,0,0,9,3,10,0,0,0,0,0,0,0,81,34,0,114,599,329,1043,0,0,0,3,29,8,32,3,3,0,10,108,74,183,42,16,0,61,221,173,457,74,12,0,82,162,145,396,30,7,0,34,243,181,461,7,13,0,13,325,99,438,0,10,0,10,215,58,278,0,0,0,0,24,9,38,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,5,23,0,0,0,0,12,7,16,0,0,0,0,4,3,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,38,18,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,17,3,30,0,0,0,0,12,10,19,0,0,0,0,4,3,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7GDAR,17,204,4,235,3213,597,4039,199,171,0,377,3986,833,5198,2718,324,49,3090,8541,2415,14046,4451,212,94,4752,4921,1800,11472,2259,288,68,2615,5959,1515,10094,486,496,16,1000,5350,1085,7434,87,374,4,462,2978,580,4021,17,68,0,84,981,182,1246,3,7,0,4,222,45,273,10240,2141,239,12619,36155,9056,57821,45,337,3,384,2689,483,3560,493,264,14,772,3011,566,4355,4186,491,192,4865,6399,1552,12810,5195,338,233,5771,3483,1056,10315,1894,664,103,2659,5245,951,8858,190,1153,13,1350,4449,808,6612,36,606,3,645,2320,423,3393,12,84,0,104,944,183,1226,0,3,0,6,297,54,356,12054,3945,560,16561,28830,6083,51481,69,542,12,618,5899,1082,7600,694,439,16,1148,6999,1405,9555,6903,815,236,7956,14944,3961,26858,9648,549,329,10523,8407,2862,21789,4156,953,170,5282,11206,2467,18951,678,1647,26,2355,9798,1893,14042,125,981,8,1105,5302,1004,7413,26,152,0,187,1924,361,2470,4,9,0,8
7RNTE,103,522,46,666,2017,730,3420,398,407,117,924,1897,730,3544,1956,592,300,2848,3451,1399,7695,2000,440,257,2691,2452,998,6143,1032,566,152,1752,3126,996,5881,239,453,35,727,2968,745,4439,47,208,14,266,1468,383,2119,13,35,3,54,445,125,624,0,0,0,7,90,23,116,5787,3219,927,9933,17924,6132,33985,187,619,74,883,1545,596,3023,767,464,207,1435,1389,529,3357,2807,716,485,4015,2807,1167,7988,2357,662,416,3429,2010,848,6283,939,986,190,2121,3028,865,6009,130,842,63,1041,2673,655,4366,32,312,22,364,1197,295,1852,12,74,10,98,436,113,639,0,11,0,15,139,38,192,7232,4686,1474,13396,15218,5107,33722,289,1140,121,1554,3559,1330,6446,1169,869,321,2362,3284,1254,6905,4762,1313,783,6865,6257,2563,15691,4352,1098,671,6118,4467,1844,12427,1971,1551,347,3871,6153,1864,11887,367,1297,98,1767,5642,1400,8810,83,517,32,627,2667,677,3969,23,113,11,146,878,243,1266,8,9,0,19
89499,0,0,0,0,10,3,16,0,3,0,3,32,6,36,7,0,0,8,50,8,63,12,3,0,12,29,22,67,4,0,0,4,24,16,43,3,0,0,5,25,15,38,0,0,0,0,15,3,15,0,0,0,0,3,0,5,0,0,0,0,0,0,0,19,9,0,32,181,82,297,0,4,0,6,9,4,20,0,3,0,3,28,8,42,5,4,0,11,25,3,44,5,0,0,4,28,9,40,7,0,0,7,13,5,26,0,11,3,14,16,8,34,0,0,0,0,11,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,3,20,22,3,41,141,31,209,0,4,0,6,23,10,35,0,4,0,4,57,9,79,12,5,0,17,76,16,108,14,3,3,20,58,26,107,6,3,0,13,41,20,68,3,8,3,13,40,24,78,0,0,0,0,21,3,24,0,0,0,0,4,0,8,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,30,600,3,632,10959,755,12350,288,412,17,719,14031,1079,15829,6720,784,160,7660,22303,2411,32368,14361,512,393,15270,11746,1859,28875,8023,651,216,8899,14489,1576,24959,1396,1950,35,3380,15286,1195,19870,209,2630,15,2860,10063,1004,13929,44,608,3,650,5059,729,6436,9,35,0,43,1874,399,2316,31083,8182,848,40115,105819,11000,156932,71,990,4,1065,10368,688,12124,746,826,33,1608,12948,969,15525,10479,1396,508,12387,19199,2054,33639,16818,911,861,18587,9368,1467,29423,7272,1554,340,9157,15460,1336,25955,582,4462,55,5098,15174,1289,21558,148,4164,31,4335,10091,1076,15503,46,739,0,785,6200,936,7913,13,53,0,63,2894,877,3839,36164,15090,1841,53094,101700,10689,165485,101,1585,12,1699,21332,1444,24468,1029,1239,58,2327,26981,2045,31354,17198,2177,669,20044,41505,4467,66008,31182,1420,1257,33855,21114,3327,58298,15295,2206,557,18057,29948,2911,50915,1973,6416,92,8484,30457,2484,41426,362,6793,46,7196,20149,2079,29428,86,1348,5,1440,11260,1663,14352,13,92,3,111
99499,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,0,4,0,0,0,0,3,0,4,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,18,4,30,0,0,0,0,0,4,3,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,3,0,9,0,0,0,0,10,0,11,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
