GCCSA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
3GBRI,18166,85746,66318,553892,9694,733813,99,498,250,6188,124,7161,87960,2052,3399,5489,698,99593,4030,788,378,1194,55,6452,17219,5485,3370,9090,293,35462,199516,78195,58079,495512,10899,842199,23364,652,3764,547,259,28587,7864,1255,939,4638,117,14808,24915,9461,6636,93909,1533,136453,7197,2568,1138,6855,219,17967,4147,814,393,1175,48,6570,50541,1351,1023,976,341,54231,44864,20412,14253,197050,2906,279484,19920,7517,3341,27498,620,58895,13913,66,400,134,53,14568,2172,703,339,1576,36,4823,1102,166,102,189,8,1569,2239,1026,566,2643,59,6530,25130,2629,1860,936,444,31007,21662,6372,5042,2044,289,35411,8069,1597,1091,4205,148,15109,5007,657,578,1866,73,8185,51489,19971,14759,145974,2393,234584,3706,370,241,371,44,4735,12167,1156,932,401,66,14726,8967,804,639,2048,100,12563,6442,376,290,304,42,7452,1527,245,88,93,18,1971,22704,477,752,355,225,24508,6425,1552,1056,6742,108,15885,181902,17703,15656,26467,2504,244232,7932,1224,964,11974,126128,148222,723337,158956,120730,1115505,152278,2270800
3RQLD,13815,77682,63262,742467,14430,911660,109,707,324,28190,382,29717,25539,1205,1678,7690,404,36509,3381,671,311,1245,60,5673,17618,4754,3346,9030,335,35079,191185,70642,55604,616695,14619,948744,18938,466,3672,772,335,24180,7089,1053,890,5245,183,14460,25622,8970,6749,115850,2113,159307,4101,1642,746,4961,122,11576,3520,686,295,971,76,5550,17640,705,471,826,138,19783,38067,16390,12182,213305,3765,283710,20949,8278,3823,38534,923,72517,6819,38,241,100,47,7246,1107,398,209,1123,20,2859,602,109,66,199,3,976,3836,1504,889,5218,116,11562,17302,2151,1641,1137,298,22530,19305,5984,4480,2207,282,32263,6032,1130,799,3596,117,11684,3447,517,449,1549,54,6018,47860,17916,13688,168328,3175,250975,1755,245,120,314,31,2466,9788,885,774,434,65,11939,5926,773,511,2794,106,10108,2340,187,128,273,14,2945,1058,187,66,134,13,1463,3300,125,230,86,46,3791,6252,1421,962,6604,196,15438,100785,14464,13909,42590,2113,173860,5737,1293,1078,19548,176390,204054,498673,143332,113304,1454144,210272,2419724
49499,25,79,58,653,33,843,0,0,0,44,0,44,62,0,0,3,0,67,3,0,0,4,0,3,30,6,4,7,0,43,226,97,67,525,21,937,20,3,0,0,0,22,12,0,4,6,0,17,46,16,3,107,3,176,8,5,0,11,0,27,3,0,0,0,0,7,35,0,0,0,4,36,60,16,17,124,4,215,23,8,0,21,3,59,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,13,11,0,0,0,0,12,12,0,0,3,0,16,9,3,0,12,0,22,9,0,0,0,0,9,48,12,15,113,9,198,3,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,16,7,0,0,6,0,14,155,19,10,34,8,214,9,0,0,34,564,610,706,166,110,1252,631,2863
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3
4GADE,10751,46149,33773,303718,6103,400485,43,248,112,3036,87,3526,46364,837,1284,1407,325,50216,4454,716,370,1446,60,7042,9960,3176,2032,4990,153,20315,122129,46059,35997,272385,6625,483198,11135,295,1391,262,151,13232,2677,522,373,2519,61,6156,16314,6543,4494,60279,1058,88691,19459,3639,1618,10139,355,35205,3070,607,246,962,52,4936,29867,571,410,399,188,31444,19825,8176,5553,69748,1272,104573,42195,10009,4275,30324,1073,87874,3816,53,160,153,27,4206,2811,677,322,1102,50,4960,952,131,94,341,15,1521,2858,804,499,1893,73,6130,1180,410,231,226,40,2092,2731,1346,863,494,46,5484,10353,1580,990,3581,165,16669,4140,382,325,820,51,5718,25115,9623,7439,62912,1222,106312,4341,416,232,543,55,5588,3169,357,334,159,24,4041,3272,321,260,783,48,4684,3175,156,138,100,24,3596,809,101,42,72,12,1030,18276,535,533,263,183,19790,4734,1019,705,3309,92,9849,97242,8483,6196,12222,1213,125363,4236,529,466,5748,57388,68359,458106,91001,65325,607386,73896,1295714
4RSAU,1556,9903,7772,136640,3173,159042,14,86,29,4391,76,4600,1429,46,86,410,17,1988,635,123,43,320,11,1130,3036,781,603,1636,73,6129,24220,9640,8056,110419,2877,155220,2153,39,348,57,38,2641,497,72,74,730,16,1394,3636,1742,1267,33762,646,41055,1463,257,131,1032,69,2955,371,106,25,155,19,671,1373,67,52,90,17,1590,3297,1528,1076,23275,477,29648,2759,960,370,3859,123,8073,132,4,23,20,4,181,86,39,14,122,3,261,38,6,9,12,0,67,234,85,62,281,12,676,675,110,122,120,24,1059,658,295,188,148,18,1306,844,191,127,824,36,2019,236,34,43,134,4,445,5285,2139,1740,24267,478,33916,172,23,20,48,4,272,530,50,57,16,6,657,397,64,25,220,16,718,175,19,14,14,3,229,132,12,11,18,4,176,393,26,33,15,7,480,846,233,158,983,21,2239,7494,1263,885,3065,170,12878,657,163,155,3627,24195,28801,54740,17920,13973,260570,30867,378074
59499,41,167,117,1354,37,1716,0,0,0,63,6,70,127,0,0,11,0,134,7,0,0,4,0,14,74,8,8,26,0,116,650,131,106,825,35,1752,20,0,0,0,0,25,32,0,0,5,0,40,94,20,13,102,5,231,3,3,0,6,0,13,3,0,0,0,0,7,41,4,5,0,0,42,155,24,11,301,4,501,72,13,4,50,0,139,11,0,0,0,0,11,0,0,3,0,0,3,0,3,0,3,0,10,3,0,3,0,0,13,58,4,0,0,0,65,53,8,10,0,0,72,21,0,0,9,0,29,7,0,0,3,0,12,157,26,34,234,3,459,0,3,0,0,0,4,32,3,0,3,0,35,9,0,0,5,0,16,0,0,0,0,0,0,3,0,0,0,0,4,10,0,0,0,0,10,29,0,3,7,0,34,296,35,17,73,4,426,22,0,0,23,1519,1561,1619,277,198,2263,1587,5950
59799,5,9,7,48,0,72,0,0,0,0,0,0,9,0,0,0,0,9,3,0,0,0,0,3,4,0,0,0,0,3,80,7,11,69,3,169,3,0,0,0,0,5,0,0,0,0,0,0,10,3,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,27,3,3,22,0,54,7,0,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,3,4,0,0,0,0,4,21,3,4,23,0,49,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,8,36,5,0,3,0,43,4,0,0,0,73,73,193,18,21,128,76,434
5GPER,20617,84847,67022,369324,7430,549235,104,340,192,3879,78,4600,91209,1859,3031,2448,674,99229,8606,1979,1018,5119,151,16875,20638,5114,3341,8034,272,37392,289892,76533,60817,286477,8781,722500,25858,344,1782,212,245,28445,9091,853,690,2322,119,13075,22458,5027,3968,23216,626,55298,6149,1906,939,4395,159,13548,2923,459,301,626,35,4350,60417,1698,1228,1228,360,64933,64677,15233,11213,85233,1908,178256,44583,13473,6471,38118,1134,103773,7271,90,245,75,42,7716,1953,356,226,358,32,2913,5978,880,542,1715,81,9197,1912,623,323,1002,48,3901,17605,1490,1036,453,296,20879,16046,4688,3080,1065,234,25119,11410,1536,1234,3076,156,17417,3865,304,379,620,34,5196,66278,16469,12672,70344,1692,167460,5125,383,255,335,60,6161,21736,1442,1306,371,143,24999,7282,578,490,1454,79,9886,6659,382,256,197,32,7523,1889,182,110,84,18,2279,19524,317,612,194,155,20790,11321,1760,1237,3821,166,18304,192965,14481,13728,14959,2108,238239,8138,989,782,5883,116638,132434,883843,149159,115761,657057,138046,1943858
5RWAU,3381,20694,16768,164566,3603,209014,24,233,97,15444,249,16050,3209,157,239,653,54,4312,669,219,110,663,17,1678,4741,1359,988,2348,89,9529,51017,18996,15623,117642,3442,206721,6132,59,544,163,88,6987,1403,168,157,720,31,2482,4857,1318,1207,9873,257,17510,476,234,90,730,18,1550,360,84,53,131,9,635,3255,162,134,227,34,3816,9690,3304,2615,29275,678,45555,5140,2283,957,10336,299,19010,523,12,41,14,4,597,142,24,20,38,5,231,326,55,39,218,11,651,237,119,59,210,11,644,5123,537,422,261,158,6502,3891,1350,853,410,102,6597,1686,340,258,967,32,3283,479,55,74,170,15,791,11871,4155,3255,26268,633,46188,220,23,16,57,10,326,3323,230,262,107,32,3955,835,96,86,452,18,1481,435,27,35,28,6,534,98,22,9,23,0,146,788,19,42,17,15,881,1754,415,274,1269,45,3745,17422,2564,2478,5300,337,28106,1312,300,282,3833,48500,54229,115500,35430,28237,288527,56471,524167
69499,3,25,14,279,19,337,0,0,0,3,0,5,24,0,0,0,0,28,0,0,0,0,0,3,7,0,0,3,0,17,61,17,7,213,14,314,3,0,0,0,0,3,8,0,0,9,0,8,13,3,4,27,0,44,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,14,6,7,69,0,91,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,3,0,0,0,0,0,0,7,3,4,52,0,71,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,10,33,0,3,13,0,52,0,0,0,12,163,170,145,35,29,517,190,912
69799,0,4,0,13,0,20,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,6,9,5,0,16,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,3,24,11,3,36,4,68
6GHOB,732,7479,5065,76119,1530,90922,0,36,14,589,6,651,4088,119,175,362,29,4778,325,95,26,173,10,637,1780,662,432,1351,34,4259,12763,7505,4980,71789,1721,98766,681,38,214,29,3,964,420,90,66,451,14,1045,2054,713,453,5170,114,8505,879,212,92,580,26,1788,217,106,27,138,5,496,1520,82,62,112,6,1785,2374,1690,946,20958,408,26378,1317,583,191,1874,56,4020,371,14,29,20,3,430,99,45,9,43,0,198,17,16,5,6,0,43,102,52,14,108,4,277,198,70,54,84,10,414,475,288,209,169,9,1142,1079,318,121,656,15,2192,258,46,33,101,3,436,3075,1774,1170,14833,256,21098,124,27,8,36,0,196,388,72,58,31,0,543,377,51,29,134,0,597,176,14,5,13,3,210,53,10,7,12,0,88,270,12,13,17,0,309,551,166,81,623,11,1430,8250,1557,957,2258,116,13133,309,79,69,1788,11472,13717,37350,13849,9011,147160,14988,222356
6RTAS,812,7502,5542,112647,2604,129109,0,29,11,953,18,1015,1615,75,110,504,25,2329,161,64,10,96,4,330,2675,814,610,1841,59,6008,15955,7124,5239,96997,2652,127970,866,12,256,50,16,1199,340,54,43,427,9,878,2086,760,453,6383,157,9840,234,103,34,209,15,601,244,100,37,105,8,492,891,75,61,84,8,1114,2626,1353,935,23812,502,29222,857,529,130,1750,51,3327,217,4,30,22,4,274,65,16,9,43,0,128,21,5,0,9,0,35,147,55,30,138,3,380,326,115,83,101,13,634,668,285,230,170,16,1366,608,177,83,405,18,1289,248,30,17,103,9,407,3768,1695,1187,19296,423,26371,68,17,3,14,3,100,425,41,37,33,0,539,257,39,31,171,8,501,165,15,7,10,0,197,42,16,3,4,0,66,147,12,15,0,3,188,695,148,105,599,23,1571,6549,1106,884,2168,109,10815,342,121,84,3111,16528,20185,36244,13197,9554,205737,21899,286627
79499,10,69,38,738,53,912,0,0,0,60,5,62,11,0,3,4,0,16,4,0,0,0,0,4,21,3,0,3,0,30,186,46,34,317,10,592,9,0,0,0,0,10,18,0,3,4,0,24,39,3,3,50,0,96,0,0,0,0,0,3,0,0,0,0,0,4,9,0,0,0,0,8,32,15,3,101,4,157,6,5,0,10,3,28,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,9,0,0,0,0,10,20,4,0,0,0,23,7,0,0,4,0,10,3,0,0,0,0,3,49,15,6,94,3,166,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,3,0,16,84,12,3,29,0,133,5,0,0,103,593,705,438,107,60,1208,673,2489
79799,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,10,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,5,0,0,0,4,11,51,0,0,17,4,70
7GDAR,1172,4326,4160,34408,786,44859,5,105,48,1874,58,2098,4073,230,284,812,48,5451,109,46,16,82,6,260,809,302,183,520,18,1830,8634,3418,3040,23611,557,39259,5086,72,445,144,72,5815,453,48,59,224,8,796,1344,483,402,3746,72,6044,2162,587,236,850,47,3889,174,34,20,46,3,277,3175,58,50,61,25,3365,2509,923,743,8965,152,13283,992,404,183,1497,46,3128,329,7,20,17,3,369,70,9,5,24,0,115,29,9,4,10,0,53,89,53,13,138,4,296,656,124,89,86,9,969,719,230,192,106,11,1264,292,63,41,227,8,629,158,16,35,80,0,288,2160,808,724,6797,104,10597,74,11,3,14,4,111,356,54,23,35,5,467,573,34,33,105,9,749,540,26,8,30,0,609,68,4,0,14,0,86,1003,21,58,18,15,1114,311,60,65,302,6,744,12188,925,1193,1602,206,16118,557,72,56,818,15390,16897,42539,8034,7247,61819,17191,136828
7RNTE,284,1477,1284,16176,431,19654,10,71,41,34818,474,35403,516,21,27,191,10,766,33,8,7,18,0,61,324,88,59,176,7,651,3130,1172,993,9527,276,15101,947,19,103,24,25,1116,182,22,7,106,3,327,674,165,137,1582,40,2594,62,39,9,75,4,189,35,8,5,27,0,83,1117,9,9,16,4,1160,836,295,244,3569,79,5019,347,116,50,459,15,986,96,3,3,3,0,102,20,3,0,13,0,48,11,0,0,8,0,15,18,18,3,44,0,94,509,57,51,39,8,664,344,87,72,39,5,547,124,31,19,61,3,239,57,3,3,29,0,85,868,314,256,2701,77,4214,18,3,0,0,0,19,137,24,7,19,3,186,116,5,6,35,7,165,131,10,3,6,0,151,13,0,0,6,0,19,191,0,4,0,0,202,89,21,15,100,0,235,3108,322,299,808,70,4609,167,31,29,819,10741,11790,11653,2622,2164,60981,12026,89443
89499,11,24,16,99,3,157,0,0,0,7,0,7,24,3,0,0,0,26,0,0,0,0,0,4,3,0,0,0,0,5,21,26,5,97,8,161,4,0,0,3,0,8,0,0,0,0,0,0,6,0,3,14,0,21,0,0,0,0,0,4,3,0,0,0,0,3,10,0,0,0,0,10,9,5,4,34,0,56,3,0,0,9,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,0,0,0,7,4,0,0,0,0,5,3,0,0,0,0,7,3,3,8,23,0,39,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,38,0,3,5,3,54,3,0,0,3,97,104,147,43,27,220,110,538
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3014,15420,12581,94922,1193,127124,12,72,36,928,16,1059,20042,457,913,893,141,22445,2884,449,225,1023,42,4617,2726,1055,718,1954,42,6491,23249,13920,10708,82747,1252,131873,4245,95,485,94,39,4954,1252,230,198,873,18,2578,4825,1679,1226,9725,154,17611,2456,528,276,1492,26,4780,911,238,164,417,17,1747,13810,258,254,159,59,14543,5360,3908,2928,38885,473,51554,5127,1628,797,5295,125,12968,2559,38,117,47,16,2780,764,223,95,288,24,1391,750,106,58,164,11,1085,630,227,162,613,12,1642,565,159,120,109,17,977,1308,593,461,262,20,2650,2432,422,356,958,21,4183,1104,125,135,275,20,1657,6423,3804,2949,26620,323,40120,1251,203,73,178,9,1711,1172,159,130,65,3,1526,1952,250,155,391,37,2777,2330,106,113,65,6,2624,384,45,21,38,6,495,4530,83,193,89,40,4932,1052,362,235,1392,20,3058,36812,3938,3731,4877,393,49754,1204,149,106,1466,20367,23296,133155,29071,23095,187736,23796,396857
99499,0,0,0,11,0,14,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,6,18,0,3,16,11,55
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
9OTER,32,123,124,779,21,1087,0,0,0,87,3,98,428,11,19,23,12,492,0,0,3,0,0,5,25,10,3,7,0,45,315,103,106,406,14,938,65,0,5,0,0,71,10,0,0,3,0,16,39,12,7,36,5,89,0,0,0,0,0,3,5,0,0,0,0,5,19,4,0,0,0,22,62,15,11,115,5,205,15,5,3,18,3,45,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,4,3,3,8,0,22,36,3,3,3,0,42,59,13,26,3,0,107,3,0,0,3,0,10,3,0,0,0,0,3,91,14,14,97,0,215,0,0,0,0,0,0,17,0,0,0,0,18,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,3,0,0,8,368,172,167,599,35,1340,31,0,13,52,675,764,1389,321,339,1713,757,4523
