GCCSA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
3GBRI,162160,241433,73200,7594,484381,95164,23393,602947,5472,2428,3090,313,11302,13386,1037,25725,12206,10500,8682,1122,32510,16051,4940,53503,17676,12928,11770,1436,43810,29435,5974,79224,7005,2886,2844,601,13339,19111,3133,35582,8026,2756,1910,732,13421,12816,4125,30362,11088,3054,1513,691,16341,12654,4551,33551,35,19,25,6,87,69,27,184,26151,8720,6292,2029,43191,44651,11838,99677,379,69,104,14,563,1443,62,2070,319,69,74,9,470,1107,47,1626,35,34,15,0,84,86,9,176,165,201,118,16,495,225,68,787,898,379,300,34,1612,2856,186,4661,655,498,257,34,1440,1309,214,2959,207546,263950,91815,11117,574438,173424,41605,789464
3RQLD,207542,227871,77390,6420,519226,124891,22588,666707,11347,4778,5934,571,22632,25352,2274,50253,10979,7699,7646,604,26930,15151,3420,45505,22329,12478,13581,1175,49558,40505,5694,95759,6353,3166,4520,498,14533,20820,2556,37910,5700,1824,2163,291,9970,9294,2314,21576,9825,2545,1894,294,14559,10420,2433,27416,38,23,20,0,75,116,10,200,21914,7556,8594,1075,39140,40649,7315,87105,1806,243,213,30,2296,4347,225,6864,655,106,132,12,902,1638,126,2666,292,195,82,7,579,557,42,1179,411,313,135,16,883,470,88,1444,3172,863,556,71,4665,7011,486,12156,1399,1008,394,29,2834,2599,215,5646,256358,249773,100516,8777,615423,215655,36293,867368
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,100996,130629,44605,4159,280393,76221,11635,368244,12784,8117,7055,906,28862,30310,2936,62108,5418,4313,2503,439,12676,6365,1843,20886,18205,12433,9558,1343,41542,36676,4779,83001,5283,3244,2068,415,11012,15941,1675,28620,799,396,191,83,1473,2072,433,3974,1499,400,237,124,2254,2600,761,5622,14,16,4,3,44,42,7,93,7598,4059,2501,633,14784,20655,2872,38308,119,29,16,0,168,300,10,483,58,14,11,0,95,207,9,307,9,13,4,0,27,29,3,62,124,117,59,15,312,159,57,527,313,180,96,13,606,697,74,1383,370,337,138,17,857,579,72,1509,127484,147638,56892,6166,338181,134833,19439,492448
4RSAU,43752,34565,12383,950,91655,34044,2856,128558,1946,1020,1527,110,4604,6141,354,11111,129,63,44,0,237,139,22,401,2073,1086,1568,111,4848,6282,379,11510,482,152,210,37,876,2608,108,3590,16,0,3,0,23,40,0,65,11,3,4,0,11,17,0,31,3,3,0,0,3,3,0,10,509,153,210,37,914,2669,106,3691,217,23,15,3,252,443,17,714,119,14,11,3,143,218,13,379,30,16,5,0,53,113,4,174,122,75,33,0,227,132,11,373,483,126,60,12,684,905,50,1637,264,193,71,5,538,392,19,946,47087,36127,14306,1114,98639,44290,3418,146344
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,144706,212890,58271,6550,422416,90986,17429,530833,19509,13221,8533,1307,42570,34685,4190,81447,8488,5864,2579,542,17475,8834,2399,28705,27995,19084,11117,1850,60046,43516,6588,110149,3839,1524,1072,256,6687,9348,1087,17119,2981,923,517,228,4648,5771,992,11414,5618,1442,594,292,7944,7523,1359,16833,9,8,3,0,20,33,3,52,12450,3892,2185,773,19298,22680,3441,45419,246,29,41,4,318,657,24,1003,159,23,34,3,223,365,17,606,34,36,11,0,80,33,3,119,137,147,53,9,338,133,36,517,575,242,135,12,962,1186,83,2234,414,368,123,17,918,630,98,1636,186134,236471,71821,9212,503642,159002,27644,690280
5RWAU,48470,50862,16160,1445,116937,33796,4251,154990,2153,1062,1114,131,4459,5909,389,10755,488,322,151,18,981,580,104,1658,2642,1381,1266,151,5438,6486,487,12408,702,265,209,23,1208,1959,150,3312,55,10,10,0,87,92,9,182,45,14,7,0,68,68,5,140,10,0,4,0,15,19,0,31,814,291,229,26,1369,2131,162,3661,666,91,60,3,825,1410,50,2283,293,29,17,5,347,431,14,799,119,65,26,4,215,216,24,451,167,123,50,4,343,176,30,555,1250,304,155,21,1731,2242,112,4089,390,272,86,18,763,549,36,1343,53573,53117,17896,1654,126238,45207,5050,176495
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,20520,22050,9358,710,52635,17628,2357,72613,449,191,343,33,1019,1833,175,3028,476,235,210,33,955,898,216,2071,923,434,554,69,1976,2734,390,5099,944,384,576,74,1976,3322,409,5708,198,41,37,18,297,525,110,931,134,34,21,10,199,368,65,623,14,11,4,0,26,36,3,62,1291,463,642,100,2500,4252,586,7335,29,3,4,0,31,32,0,65,22,6,3,0,31,45,3,80,4,9,0,0,15,21,0,35,41,48,17,0,101,50,22,171,93,61,26,0,184,147,20,356,48,41,24,0,118,90,20,224,22880,23046,10606,878,57405,24851,3371,85630
6RTAS,32066,27260,11276,791,71387,26380,2614,100385,754,228,425,49,1453,3520,198,5172,259,164,103,18,543,493,76,1112,1014,395,523,66,1998,4010,273,6282,544,183,310,34,1071,2277,140,3485,17,6,8,0,29,107,15,152,20,3,3,0,28,159,3,191,8,12,11,0,29,62,6,103,589,203,334,34,1158,2609,169,3927,64,16,17,0,95,164,6,261,56,12,8,0,74,140,13,223,23,10,0,0,32,31,3,70,80,53,33,3,163,106,23,286,222,88,53,7,361,440,40,848,121,98,38,3,259,223,26,504,34001,28035,12226,906,75163,33666,3120,111949
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,7129,11933,3116,310,22485,3534,1220,27239,636,508,305,44,1490,967,169,2629,564,503,190,27,1282,565,170,2016,1197,1007,499,66,2773,1530,337,4646,900,769,400,53,2124,1453,261,3843,553,318,115,22,999,561,191,1755,1524,753,189,46,2520,1427,506,4450,4,0,0,0,10,3,0,11,2984,1833,710,125,5651,3446,963,10062,211,42,18,0,277,212,15,509,30,12,0,0,42,62,3,115,19,18,3,4,44,26,9,78,44,42,9,3,100,40,13,150,308,108,36,8,465,345,43,850,65,57,13,7,143,103,9,256,11681,14950,4371,513,31515,8957,2574,43043
7RNTE,3740,6315,2358,407,12825,2491,548,15862,556,542,279,43,1425,986,109,2517,139,148,60,9,363,270,50,688,702,692,344,57,1786,1257,155,3206,194,112,71,17,399,607,90,1093,17,8,6,4,42,81,13,136,8,3,7,0,19,41,3,61,3,0,0,0,9,10,0,17,228,122,84,23,458,742,102,1308,206,49,15,3,271,377,16,664,24,3,3,0,28,60,0,91,62,34,8,9,119,108,4,229,74,103,40,0,218,105,21,345,365,185,69,13,633,648,42,1323,80,64,23,0,172,135,11,315,5113,7384,2884,500,15881,5269,864,22013
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,25336,40425,10022,866,76644,15810,3067,95520,3062,2485,1505,153,7209,6050,612,13872,2942,2665,1240,163,7015,3276,1119,11408,6011,5150,2745,321,14222,9326,1734,25278,1048,466,302,61,1880,2363,357,4597,1904,823,338,111,3171,3333,805,7314,2944,796,287,109,4142,4236,927,9303,32,23,15,3,69,108,10,191,5931,2107,940,280,9259,10045,2105,21404,0,4,3,0,5,24,0,34,13,6,9,0,28,65,15,104,0,0,0,0,0,6,0,9,7,17,7,0,36,12,0,47,19,32,24,0,67,106,15,187,57,38,18,0,116,126,25,271,37355,47747,13744,1467,100308,35413,6938,142664
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
