GCCSA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
3GBRI,33564,9973,7064,4142,4392,6039,3531,1159,362,70221,14326,4912,1794,1340,1530,2440,2263,668,205,29481,7686,9278,7134,4766,4772,6376,6841,3343,914,51119,3271,6013,5617,4186,4881,7201,15721,10367,2997,60251,3080,6339,6558,4466,5270,6791,11879,6771,2709,53866,2972,8309,8594,5258,5349,6516,9142,4407,1212,51762,1794,10141,14008,8870,8085,7894,6689,2937,874,61286,1047,9940,21415,14669,13398,11132,6048,1811,511,79969,433,7369,24417,19229,17010,13112,5615,1366,425,88984,140,3493,18134,15469,13323,9406,3154,669,173,63953,70,1410,14491,15616,13470,8772,2268,429,128,56665,25,643,9095,11938,10307,6149,1454,281,81,39964,28,520,12145,20696,18484,10039,2101,426,140,64578,66,216,4186,13095,14572,7987,2183,554,175,43036,6016,6966,14401,12121,11149,8878,7255,4670,2777,74237,74523,85533,169060,155864,145989,118736,86138,39855,13676,889380,27561,10131,15249,13542,11741,13800,5041,1584,660,99310,17856,5181,4586,5250,4515,5370,2929,882,312,46878,9745,10072,9912,8854,7979,10642,8762,3863,1263,71089,3879,7424,9365,8378,8657,11377,19509,10736,3533,82855
3RQLD,30120,5761,4636,3848,5028,7521,4287,1505,419,63123,15215,3134,1438,1419,1945,3276,2852,951,300,30539,7290,7449,7266,6019,6953,9935,10242,4924,1228,61306,3415,4186,4926,4834,6817,10935,24094,15929,4094,79223,3723,4917,5480,5240,7156,10268,18334,10526,3585,69227,3623,7114,7369,6091,7346,9511,12622,6038,1558,61266,2110,9507,12551,9885,10458,10888,8838,3896,1059,69199,1230,9171,18227,15173,15884,14328,7655,2256,644,84567,546,6626,20186,18396,18765,15492,7122,1839,536,89503,179,3431,14352,14210,14018,10599,3619,800,210,61413,88,1666,11377,13692,13806,9463,2544,586,159,53370,55,880,7511,10229,10047,6725,1616,330,111,37510,36,922,11489,16940,16899,9814,2272,503,148,59020,81,319,4010,8674,9664,6372,2185,655,182,32143,8743,8098,16682,15658,16787,15262,13035,7886,3844,106000,76455,73189,147501,150306,161566,150381,121315,58621,18069,957411,24388,5290,12273,11688,12266,15823,5451,1781,757,89714,18294,3405,4799,5414,4927,6231,3246,1102,375,47797,9024,8039,10715,10453,10670,14962,11904,5047,1501,82306,4149,5902,9915,10309,11502,15911,27967,14762,4395,104804
49499,30,18,33,15,19,23,14,3,0,157,13,10,5,12,9,11,4,0,0,67,25,37,66,82,56,42,8,4,3,326,6,14,21,23,34,29,39,12,0,168,3,14,20,22,26,18,37,11,0,152,3,13,21,11,16,20,22,3,0,110,0,16,36,8,12,8,7,3,0,99,0,7,34,12,9,9,3,0,0,84,0,8,26,17,13,8,7,0,0,83,0,3,10,4,12,4,0,0,0,38,0,0,3,11,7,5,0,0,0,26,0,0,5,0,3,5,3,0,0,20,0,0,8,8,12,7,0,0,0,30,3,0,3,3,4,0,3,0,0,19,7,25,44,41,59,43,23,5,3,256,95,161,349,280,282,239,168,43,13,1627,22,15,23,19,15,26,3,3,0,119,10,8,6,3,10,18,4,0,0,55,23,13,26,35,35,27,9,0,0,179,3,4,23,17,23,19,32,3,3,138
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,20102,6496,4234,2624,2650,3327,1832,662,335,42260,8582,3933,1371,916,1193,1666,1309,502,170,19645,3825,6567,5557,3969,4345,5198,4334,2587,854,37240,1388,3503,3651,3070,3976,5421,10548,8367,2845,42772,1329,3432,4005,3217,4107,4909,8038,5259,2480,36784,1178,4348,5265,3682,3863,4442,6133,3224,1128,33275,560,4751,8566,5749,5696,5267,4513,2383,901,38395,281,4556,11871,9236,8888,7454,4361,1608,613,48870,114,2941,12992,10809,10515,8682,4169,1165,470,51861,39,1232,8626,8044,7566,5734,2280,490,184,34198,21,478,6592,7678,7088,5221,1503,322,125,29030,23,173,3931,5821,5624,3944,1043,219,93,20864,13,179,4320,8693,8928,5735,1412,299,108,29681,38,114,1275,4235,5503,3894,1441,381,161,17048,2996,2801,5816,5222,5500,4777,4095,2990,1890,36085,40489,45495,88071,82983,85442,75675,57017,30457,12371,517997,16479,5691,8040,6322,5617,7655,2817,1027,609,54263,10409,3833,2828,2971,2692,3439,2242,763,307,29489,4990,6851,6455,5896,5872,7600,6167,3496,1303,48632,1681,4222,5495,5283,5983,7958,14156,9243,3610,57629
4RSAU,4430,499,460,524,780,1207,607,191,77,8771,2156,388,217,236,467,701,497,175,50,4890,933,1066,1335,1169,1596,2313,2152,1095,253,11917,458,535,806,853,1513,2470,5354,3430,950,16378,566,696,763,966,1545,2237,3846,2055,812,13482,461,1045,1066,1083,1496,1974,2590,1271,359,11346,285,1449,1934,1671,2094,2129,1872,957,265,12658,134,1324,2825,2416,2863,2841,1538,496,139,14583,68,790,2850,2750,3145,3160,1377,363,119,14620,15,395,1747,1847,2229,1903,644,112,32,8928,17,181,1327,1595,1925,1641,378,96,24,7183,6,95,860,1213,1390,1032,252,39,17,4905,0,86,1136,1721,1953,1320,297,72,31,6626,12,43,298,696,827,728,304,78,40,3017,1384,975,2227,2181,2568,2600,2411,1508,793,16638,10933,9562,19858,20921,26390,28251,24131,11942,3954,155949,3832,422,1141,1157,1436,2391,756,250,93,11480,2652,422,791,783,776,1200,644,211,72,7546,1133,1100,1862,1863,2125,3129,2439,1050,325,15025,449,859,1676,1657,2272,3249,6202,3259,1006,20629
59499,34,39,69,49,47,45,17,6,0,293,13,15,12,14,27,17,10,0,0,104,15,45,88,109,125,74,38,0,0,503,7,13,35,52,56,66,63,19,0,313,0,19,26,23,39,37,70,12,3,225,0,21,26,16,13,25,43,3,0,153,0,19,53,16,21,27,23,0,0,162,0,9,51,35,34,28,14,3,0,184,0,11,55,38,24,19,11,3,0,160,0,3,39,25,24,19,3,0,0,112,0,8,32,29,23,15,5,0,0,106,0,3,35,20,19,16,3,0,0,91,0,8,62,52,48,28,14,0,0,204,0,3,38,35,33,19,3,0,0,130,15,43,149,95,114,96,59,14,0,590,84,254,773,606,638,540,375,58,12,3336,21,37,65,28,27,65,12,3,0,249,3,10,19,15,16,31,7,0,0,106,15,30,53,72,60,62,23,3,0,312,6,12,25,29,42,40,77,11,0,243
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,10,0,3,3,3,0,0,0,0,0,17,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,3,3,0,0,27,0,0,7,6,6,3,0,0,0,24,0,4,40,20,17,6,0,0,0,90,0,0,27,59,40,14,0,0,0,140,0,3,27,21,23,6,0,0,0,78,0,17,124,120,94,43,8,3,3,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,29804,8776,6853,4175,4439,5671,3488,1220,318,64740,12218,4547,1681,1062,1229,1950,1859,714,212,25478,5220,7407,5852,3743,3899,4958,5713,3201,893,40884,2378,4762,4274,2751,3330,4722,11728,9312,2649,45913,2284,4663,4681,3043,3275,4381,8883,5829,2106,39151,2121,5862,6201,3719,3734,4546,7583,3989,1162,38921,1179,6461,8941,5357,4919,5066,5525,2769,847,41063,691,6929,14991,9412,8733,7683,5182,1618,604,55838,332,5930,20484,14306,12864,10613,5207,1355,480,71558,103,3094,16104,12772,11091,8227,3103,644,214,55361,41,1723,14373,12996,11795,8132,2334,466,135,51996,17,853,10208,11246,9969,6703,1674,294,106,41076,18,1029,16981,22851,20703,12390,2679,495,142,77286,51,383,6703,16337,17559,9976,2575,574,177,54335,4931,5927,14858,11709,10517,8124,6460,4622,2628,69778,61400,68351,153198,135474,128061,103140,73986,37102,12680,773386,25211,7767,18645,17460,12857,14048,5297,1789,628,103709,15085,4736,5266,5706,4104,4585,2792,1066,380,43713,6767,8025,8979,8299,7092,8656,7679,3980,1317,60781,2456,5707,7760,7446,6993,8581,15550,10160,3139,67806
5RWAU,6265,993,875,801,1007,1634,935,250,92,12848,2542,406,309,298,393,633,578,179,52,5386,1090,1074,1619,1345,1472,1994,1933,910,193,11637,649,590,828,911,1245,1985,4489,2768,666,14141,742,637,768,795,1208,1807,3285,1757,533,11537,783,1070,1140,1009,1289,1804,2326,1061,275,10759,519,1536,1778,1415,1629,1953,1815,763,218,11618,311,1590,2853,2309,2674,2676,1503,411,121,14446,179,1346,3604,3421,3604,3266,1453,335,125,17331,64,749,2921,2936,3064,2414,816,192,47,13208,40,638,2855,3048,3292,2477,641,128,32,13149,20,449,2594,2905,2935,2096,429,89,25,11549,31,684,5757,6615,6310,3842,675,112,23,24041,27,236,3004,4053,3880,2294,585,131,36,14242,2368,1939,5954,5449,5317,4361,2943,1603,721,30649,15633,13936,36864,37316,39332,35231,24386,10696,3157,216557,5135,883,3662,3071,2721,3597,1117,302,139,20611,3095,493,1466,1483,1126,1293,652,203,78,9886,1257,1197,2668,2634,2414,2969,2137,916,257,16450,631,923,2295,2327,2386,3010,5075,2527,716,19890
69499,10,4,8,5,0,4,0,0,0,34,8,0,3,3,0,0,3,0,0,18,11,18,14,20,18,7,4,0,0,95,0,5,3,11,12,7,13,0,0,55,3,7,6,13,7,8,11,3,0,49,0,0,7,8,0,3,4,0,0,27,0,4,11,5,8,3,0,0,0,34,0,4,8,5,3,3,3,0,0,32,0,3,7,6,3,0,0,0,0,23,0,0,5,3,3,5,0,0,0,16,0,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,6,0,11,24,16,12,7,4,3,0,85,34,56,120,93,77,52,48,8,0,481,13,4,7,6,3,5,4,0,0,38,0,3,0,0,3,4,3,0,0,16,9,6,7,5,16,9,8,0,0,68,0,3,6,7,6,10,7,0,0,47
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,5,0,6,15,5,10,8,4,0,0,49,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,3178,708,555,270,334,474,274,95,19,5901,1483,564,223,145,157,279,222,65,10,3140,688,1146,886,598,628,842,762,388,118,6046,242,545,655,542,673,1055,1843,1300,367,7218,269,561,675,586,763,918,1436,952,399,6557,232,734,993,602,688,897,1159,614,216,6147,130,834,1314,921,894,1003,915,475,162,6657,56,734,1992,1409,1413,1409,866,324,112,8318,9,457,2045,1716,1686,1645,869,266,88,8777,3,154,1321,1400,1317,1084,412,100,45,5828,5,55,945,1277,1348,1076,274,71,33,5082,0,28,526,969,1059,723,146,41,15,3499,3,20,532,1257,1481,985,244,63,28,4605,8,15,161,537,799,621,240,52,24,2446,572,533,1139,957,1044,1067,928,593,261,7100,6880,7088,13947,13171,14285,14085,10584,5388,1906,87329,2489,585,862,656,685,1141,379,141,47,6982,1861,497,385,414,380,600,376,105,48,4670,853,1024,1012,850,838,1245,1100,553,196,7675,296,691,963,911,1001,1545,2461,1404,474,9745
6RTAS,3853,604,397,366,497,960,464,148,47,7332,1723,420,202,198,298,554,369,119,21,3911,846,1089,1020,964,1251,1873,1729,740,156,9665,361,547,615,741,1207,2030,4148,2499,591,12742,441,624,697,755,1239,1687,2788,1565,539,10335,390,918,854,903,1032,1507,1839,816,252,8508,232,1212,1492,1282,1645,1692,1256,579,166,9559,98,1005,2229,1813,2239,2111,994,328,85,10897,48,581,2143,2035,2456,2107,894,215,64,10549,13,261,1392,1430,1643,1292,392,82,25,6536,7,112,893,1274,1498,1154,258,60,22,5290,5,52,535,903,1078,740,149,22,10,3501,0,35,532,1061,1223,870,210,48,6,3985,12,23,162,405,622,578,211,63,21,2082,1020,648,1097,1200,1592,1758,1744,994,428,10479,9049,8144,14256,15328,19526,20926,17444,8281,2440,115389,3045,426,805,869,1209,1920,527,138,65,9009,2105,440,518,630,722,926,435,124,33,5938,1085,1123,1446,1493,1661,2584,1820,688,210,12108,462,740,1315,1447,1901,2876,4688,2288,619,16331
79499,3,14,3,7,13,20,3,0,0,57,0,0,7,3,4,8,3,0,0,28,3,11,19,30,32,28,7,0,0,142,0,5,17,28,35,26,41,3,0,152,0,6,11,11,25,22,38,3,0,111,3,10,7,10,13,7,21,3,0,64,3,16,16,4,13,16,7,0,0,70,0,11,25,11,13,19,10,0,0,84,0,5,15,7,6,20,3,0,0,58,0,4,8,14,12,3,6,0,0,46,0,0,8,7,0,4,4,0,0,28,0,0,3,12,6,3,0,0,0,18,0,0,16,9,16,4,0,0,0,41,0,0,6,7,13,3,0,0,0,34,4,26,69,55,65,45,37,8,0,301,16,98,219,215,257,229,174,20,0,1240,4,3,18,13,19,31,4,0,0,87,0,0,7,5,8,9,0,0,0,27,0,12,16,24,21,18,13,0,0,103,0,3,23,28,30,32,22,6,0,152
79799,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,0,0,0,18,0,4,23,16,11,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,1559,331,313,203,215,313,217,51,9,3211,611,99,82,52,66,82,94,25,3,1119,315,220,231,166,174,218,253,121,17,1712,166,210,200,165,175,270,458,235,44,1919,147,208,264,192,194,251,414,176,51,1891,184,286,377,219,231,255,292,115,32,1994,135,412,566,356,319,344,258,76,14,2480,152,691,1101,749,624,502,267,56,12,4155,84,779,1830,1177,934,680,319,61,15,5872,22,522,1582,1070,907,599,206,32,8,4945,17,270,1371,1131,944,633,166,29,3,4578,4,98,936,985,950,541,126,15,3,3657,4,137,1758,1889,1654,965,199,27,5,6639,3,65,999,1274,1145,679,154,27,4,4341,644,860,2448,1844,1574,1098,585,202,55,9311,4039,5198,14046,11472,10094,7434,4021,1246,273,57821,1291,359,1214,887,529,587,242,64,15,5185,682,126,254,231,132,111,93,31,10,1660,356,240,399,322,289,312,278,99,23,2326,136,221,467,348,315,328,501,225,54,2607
7RNTE,1103,205,211,133,128,170,92,29,8,2076,455,337,529,340,258,144,56,22,3,2151,432,765,1321,976,782,441,275,95,15,5095,83,114,280,265,278,261,269,112,21,1685,55,96,216,192,173,176,229,105,26,1275,100,178,292,260,221,178,148,41,7,1430,95,246,352,230,236,198,110,29,3,1501,64,262,479,295,337,245,104,24,0,1815,22,192,646,427,425,335,109,21,0,2184,5,129,532,379,408,318,83,5,0,1862,9,77,423,390,373,272,58,6,0,1614,0,27,259,307,327,286,65,0,0,1272,3,33,399,531,533,426,66,7,3,1995,3,3,98,201,277,190,54,6,3,830,991,875,1660,1197,1126,806,397,130,23,7198,3420,3544,7695,6143,5881,4439,2119,624,116,33985,848,154,321,231,204,212,75,21,7,2077,438,266,486,345,297,162,61,28,6,2090,496,902,1508,1110,848,621,303,127,31,5936,88,211,513,424,375,323,313,121,29,2408
89499,5,9,8,6,5,0,3,0,0,42,0,0,3,0,0,0,0,0,0,11,4,0,3,12,7,8,0,0,0,33,0,3,5,7,10,5,0,0,0,27,0,3,5,4,7,3,3,0,0,25,0,0,7,0,0,6,0,0,0,17,0,3,3,0,3,0,0,0,0,13,0,6,6,9,0,0,0,0,0,17,0,3,4,3,0,0,0,0,0,15,0,3,3,3,0,0,0,0,0,7,0,0,0,0,4,3,0,0,0,12,0,0,3,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,5,0,0,0,9,3,3,7,15,7,14,0,0,0,57,16,36,63,67,43,38,15,5,0,297,6,3,3,0,0,0,3,0,0,20,0,3,0,3,3,0,0,0,0,9,5,5,4,8,0,4,0,0,0,32,0,6,0,0,7,7,0,0,0,20
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5510,2249,1218,615,510,691,428,165,62,11439,2737,924,327,206,205,253,227,98,35,5011,1138,1571,803,578,487,594,687,440,115,6429,425,1056,710,497,552,687,1202,947,279,6352,434,1178,966,661,599,646,1000,632,239,6354,563,1460,1365,754,633,676,995,579,191,7225,356,1572,1840,1073,837,908,1054,572,175,8382,231,1727,2986,1707,1385,1447,1328,678,211,11695,101,1577,4393,2539,1926,1978,1616,582,210,14915,18,832,4459,2560,1893,1742,1169,327,117,13119,8,317,3928,3235,2426,1700,951,254,96,12918,8,99,2448,2717,2045,1403,611,132,54,9520,14,82,3483,6879,6153,3529,992,201,81,21410,12,37,946,2933,3691,2385,669,137,49,10858,790,1131,2494,1920,1630,1225,1006,700,405,11295,12350,15829,32368,28875,24959,19870,13929,6436,2316,156932,4685,2063,2510,1845,1271,1628,774,248,107,15134,3255,949,721,719,545,662,646,246,75,7815,1523,1789,1244,1005,820,1137,1335,742,203,9799,532,1302,1133,1010,845,1199,1905,1261,395,9583
99499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,4,3,3,6,0,0,21,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,37,3,4,10,7,8,11,3,0,90,12,3,0,5,3,5,6,0,0,36,12,3,3,6,7,18,19,11,3,82,0,0,5,8,6,12,31,20,0,93,3,3,8,4,10,17,22,16,9,94,6,13,5,18,28,25,21,3,6,122,5,5,20,22,33,35,17,9,3,140,3,16,24,37,32,31,17,3,0,156,0,10,34,31,38,27,19,0,0,155,0,3,22,21,27,21,18,0,0,120,0,7,15,21,25,28,13,3,0,112,0,0,18,27,28,22,8,0,0,100,0,3,22,38,49,35,12,0,0,153,0,0,7,13,7,11,10,0,0,43,27,60,139,97,75,57,38,15,4,515,101,134,329,345,371,359,255,95,28,2013,35,6,25,20,27,48,14,3,0,175,21,0,7,10,10,13,8,0,0,74,6,3,11,13,20,23,24,11,0,122,3,0,16,15,24,26,45,24,3,160
