GCCSA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
3GBRI,217362,432808,4566,26528,25604,120037,7519,34886,149085,579100,186778,760551,12819,53705,22671,76917,44428,140932,79916,271550,266696,1032101,1388,6659,6763,24540,3535,12832,39125,106349,50814,150385,3846,12401,9652,21709,32009,69462,45514,103567,96326,253957,11119,23430,591505,1742295
3RQLD,264087,520758,4409,24740,24331,112000,8806,40292,143001,558571,180545,735614,9775,39733,18347,58460,43132,133558,71255,231754,251804,967364,1363,6440,7424,26498,4328,15962,46487,127877,59601,176780,3234,10202,9091,19607,33059,70537,45381,100340,104978,277122,8773,18435,629644,1783676
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,130851,258999,1986,11240,14078,64766,3134,13979,79254,303062,98446,393049,8618,35839,14502,49743,26873,84684,49999,170266,148447,563314,670,3036,4120,14414,1643,5739,21544,56346,27970,79529,2798,8773,6954,15522,20697,44071,30451,68367,58427,147899,6168,12989,343888,983197
4RSAU,47730,93978,599,3303,3774,17270,1104,4887,20076,79684,25549,105148,1511,6063,2722,8552,6514,20034,10743,34655,36293,139797,215,978,1132,3978,543,1950,6418,17572,8307,24471,443,1378,1353,2888,4600,9682,6398,13942,14707,38416,1109,2348,99845,274537
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,193034,379001,3641,20485,22881,105246,5927,26524,132849,506396,165302,658655,12899,53064,20895,70996,39422,122799,73213,246856,238521,905509,966,4571,5313,18628,2261,8101,28582,76607,37123,107906,3617,11503,8218,18454,25603,54494,37436,84447,74556,192351,9214,19579,515328,1496436
5RWAU,54809,107006,937,5140,4930,22291,1984,9127,32729,128129,40581,164690,1765,7000,3118,9512,8147,24798,13035,41310,53618,205998,250,1199,1352,4885,924,3662,8838,24807,11370,34559,476,1472,1437,3014,5509,11763,7415,16245,18789,50800,1653,3610,128867,367416
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,23355,46103,352,1955,2263,10399,588,2642,12796,49243,15998,64241,1010,4132,2206,7275,3946,12174,7165,23581,23160,87821,118,529,847,2902,335,1164,4674,12225,5978,16819,405,1264,1229,2630,3268,6888,4900,10780,10877,27598,883,1844,58276,163366
6RTAS,34494,68013,488,2647,2995,13804,887,3956,14959,58458,19330,78871,1231,4979,2324,7386,5239,16120,8795,28488,28122,107363,151,668,969,3374,415,1445,5401,14381,6927,19867,389,1184,1198,2556,4031,8431,5617,12161,12544,32029,903,1867,76066,209275
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,12298,24180,251,1380,1344,6198,468,2141,9564,36515,11627,46236,549,2224,956,3042,2013,6325,3521,11593,15144,57834,53,254,321,1161,192,725,2054,5564,2624,7706,141,436,404,863,1433,3093,1977,4392,4605,12092,515,1120,32561,95221
7RNTE,5841,11882,205,1453,654,3373,799,4929,5613,22957,7274,32705,161,727,281,876,952,3302,1395,4902,8667,37605,82,467,196,817,478,2605,1993,6181,2746,10074,62,197,170,363,987,2648,1212,3211,3960,13290,502,1308,18964,64082
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,38438,75817,554,3092,4423,20003,865,3784,28803,109833,34638,136712,2226,9121,4541,15281,6598,20429,13368,44839,48008,181547,174,800,1011,3463,366,1266,5369,13872,6922,19402,664,2048,1758,3821,4780,10148,7208,16022,14129,35425,1461,3054,102036,295841
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,443,869,3,28,39,164,20,91,273,1072,330,1351,7,41,27,73,65,205,100,314,430,1666,3,9,9,30,9,29,54,147,70,225,3,15,17,35,53,119,74,170,145,392,13,29,1023,2947
