GCCSA_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
3GBRI,2810,7585,10465,9540,9826,10611,17921,12369,6627,87756,2444,9904,15656,14037,13094,10889,10685,5190,2949,84858,1334,10405,17819,15193,14793,10656,6492,2576,1055,80324,591,8909,19945,15944,15780,10912,4362,1507,704,78654,191,5827,20961,16529,16198,10772,3251,1025,497,75259,69,2234,14816,12361,11428,6685,1673,407,182,49848,39,789,10597,11617,10621,6175,1172,298,148,41463,15,234,5293,7052,6518,3546,724,205,88,23681,18,148,5631,9434,8211,4045,923,307,142,28867,59,129,1319,4288,3983,1972,795,384,189,13120,5434,6234,12551,10040,9726,8599,7828,6317,6321,73056,72056,85209,174171,162065,153071,126053,92065,47651,24673,937019,61129,20100,22313,17689,16128,19840,8568,2749,1016,169534,32181,10096,6379,6589,6047,7812,5186,1556,519,76360,17433,19349,17054,13620,12754,17011,15600,7210,2173,122203,7152,13440,14979,12570,13535,18583,35226,21095,6528,143111,5894,13922,17027,14002,15101,17398,29797,19142,9336,141624,5417,18217,24255,19300,18446,17400,19830,9599,4157,136624,3128,20546,31823,24059,22874,18547,13184,5510,1928,141601,1637,18853,41365,30612,29180,22046,10411,3318,1212,158626
3RQLD,3431,6743,11014,11785,13030,14682,23830,16279,8000,108794,3182,9891,16984,17154,17451,14944,13701,6374,3241,102928,1598,10559,18266,17681,18407,13658,7620,3230,1151,92173,647,7342,17095,16135,17890,12744,4931,1824,753,79366,250,4483,15168,14649,16204,11418,3682,1340,588,67780,71,1774,9769,9783,10176,6619,1800,472,183,40643,26,699,6588,8487,9336,5922,1269,353,131,32807,16,284,3109,4651,5214,3234,821,261,102,17695,21,241,3291,5061,5515,3415,944,324,101,18908,76,145,947,2350,2489,1713,962,447,174,9296,7659,6992,13718,12794,14332,14040,12998,9709,7595,99831,72830,71787,153661,158382,169397,155306,121125,63300,29061,994854,54505,11055,16910,15534,17290,23343,9738,3286,1176,152838,33511,6545,6243,6836,6871,9501,6098,2054,677,78340,16318,15493,17976,16470,17619,24906,22149,9972,2727,143617,7560,10080,14844,15144,18317,26844,52064,30685,8482,184025,7154,11657,16486,17027,20194,24947,42165,26805,11584,178025,6799,16999,24354,23243,24799,24458,26328,12413,4800,164192,3706,20069,30825,27563,28871,24541,16460,7125,2216,161377,1879,16513,35322,31312,33768,27071,12584,4082,1399,163930
49499,3,11,21,6,17,9,11,0,3,89,3,8,28,13,13,9,8,0,0,93,0,14,16,6,8,4,5,0,0,61,0,3,10,8,9,12,3,0,0,41,0,3,15,8,7,10,3,0,0,46,0,0,3,6,4,3,0,0,0,19,0,0,3,0,6,0,0,0,0,17,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,9,12,26,18,43,19,10,5,4,141,80,99,209,140,192,164,97,21,7,1016,52,32,60,31,30,47,14,6,0,275,16,24,8,20,17,30,10,0,0,126,56,56,94,114,88,67,21,4,3,507,8,20,42,35,58,51,75,21,3,312,7,20,43,29,41,24,55,11,3,246,11,19,52,23,27,34,35,3,0,200,4,24,59,21,22,17,15,3,0,160,0,14,49,20,20,21,9,0,0,126
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,1148,4167,6183,5801,6939,7681,12759,10071,6299,61041,787,5048,9178,8500,8481,7545,7455,3944,2640,53572,379,4504,9643,8612,8828,6865,4398,2153,1080,46469,178,3686,10552,8734,9599,7171,3138,1112,709,44869,57,2265,10326,8514,9568,7221,2232,713,466,41355,21,787,6983,5911,6133,4205,1132,290,167,25627,11,257,4846,5210,5241,3817,812,223,158,20576,8,59,2180,3253,3501,2568,517,160,81,12327,8,59,1750,3455,3761,2427,594,211,105,12375,43,54,447,1371,1644,1130,553,296,196,5754,2693,2560,5326,4439,4762,4775,4827,4345,4064,37794,38894,44039,90237,84275,88637,82047,63808,38044,21797,551769,36576,12185,12272,8947,8267,10985,4647,1687,952,96523,18989,7769,4198,3885,3886,5108,3553,1257,477,49133,8820,13422,12011,9864,10219,12796,10501,6079,2157,85874,3066,7725,9149,8359,9962,13374,24703,17609,6450,100397,2475,7606,10182,9013,11045,12594,20793,15327,8780,97824,1969,9392,14437,12180,12350,11992,13593,7165,3770,86846,943,9259,18212,14364,14521,12133,8915,4543,1976,84864,456,8243,22420,17967,18480,14624,7503,2717,1321,93734
4RSAU,401,933,1676,1988,2431,2871,4658,3364,1923,20238,297,1333,2408,2532,3063,2768,2573,1221,704,16901,155,1214,2286,2493,2880,2373,1589,768,233,13983,59,768,2048,2135,2724,2217,860,361,154,11326,27,491,1495,1723,2344,1848,596,239,115,8881,10,244,1099,1009,1346,1007,298,75,28,5110,4,61,732,859,1036,819,220,78,25,3830,0,25,318,523,686,616,136,33,16,2356,4,24,255,452,594,496,162,51,15,2056,10,16,101,212,262,261,149,74,35,1119,1160,720,1493,1478,1972,2295,2341,1748,1581,14800,10195,8629,19391,20866,25939,27537,23633,12753,6336,155286,8260,918,1605,1680,2217,3601,1367,435,169,20258,4810,809,1009,1015,1246,1897,1141,384,120,12436,2071,2169,3200,3026,3718,5441,4594,2146,578,26942,907,1393,2485,2515,3782,5716,11561,6689,1963,37004,966,1627,2436,2950,3983,5108,8505,5413,2737,33719,757,2377,3478,3617,4557,4743,5162,2491,1056,28249,439,2658,4223,4161,4972,4498,3460,1722,499,26639,195,2095,4871,4552,5593,5059,2401,857,294,25913
59499,3,18,32,18,33,32,41,5,0,181,3,27,33,12,15,38,27,0,0,162,3,25,48,8,22,26,8,3,0,142,3,18,42,13,16,23,0,0,0,113,0,12,40,20,9,14,9,0,0,100,0,3,14,3,6,6,0,0,0,42,0,3,15,14,8,9,0,0,0,48,0,4,12,5,4,5,0,0,0,36,0,0,14,12,8,5,0,0,0,43,0,3,3,3,0,5,0,0,0,15,12,50,116,42,62,71,53,7,4,421,65,242,534,305,325,442,254,37,11,2220,54,70,132,76,71,109,26,7,0,545,18,25,36,33,42,48,12,3,0,212,31,75,137,184,187,131,62,6,0,820,8,29,65,80,97,109,145,28,6,554,8,30,64,42,65,68,115,15,3,407,3,45,61,32,35,63,70,3,0,310,3,46,104,28,41,57,25,3,0,302,4,23,95,46,45,51,21,6,0,293
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,3,6,3,8,7,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,3,0,0,0,0,13
5GPER,1709,5504,8293,7953,7742,8103,13708,10630,5303,68947,1543,6629,12017,11168,10463,8880,8828,4396,2311,66238,859,6889,12608,11184,11228,8330,5345,2455,1053,59949,376,6331,14823,11894,12627,8829,3698,1398,765,60739,151,4632,16982,12158,13396,9753,2944,963,492,61467,37,2395,12732,9107,9574,6360,1619,361,144,42329,29,807,9866,8086,8193,5241,1187,303,128,33839,11,287,5821,5790,5891,3724,801,197,100,22620,11,228,6268,8012,8097,4880,1038,303,137,28972,41,104,1594,3909,3868,2155,809,397,171,13046,4453,5038,11826,8960,8516,7692,7084,6508,5903,65982,58729,65083,153484,137133,130632,109824,78385,44899,21972,800146,55020,16541,25499,21637,17291,19718,8783,3006,946,168449,27302,9282,6953,6768,5334,6529,4650,1779,591,69196,11985,15431,14829,12039,10985,13611,13390,7180,2215,101667,4836,10470,12039,10199,10323,13306,27276,19475,5791,113726,3992,10165,12970,11004,11016,12487,22598,16458,7413,108097,3662,12494,18218,14890,14198,13424,16415,8385,3472,105159,2038,13352,21550,16536,16143,13394,10874,5223,1901,101017,1069,13255,29817,21305,21363,16512,8879,3017,1372,116581
5RWAU,663,1011,2228,2312,2454,2654,3858,2635,1130,18949,638,1510,2908,3132,3233,2786,2213,1025,466,17911,340,1627,3058,3052,3282,2661,1509,643,224,16405,195,1282,2834,2949,3487,2500,908,409,126,14693,87,927,2915,2872,3325,2488,763,286,86,13742,30,568,1950,1965,2187,1493,380,100,24,8695,13,260,1653,1577,1840,1326,291,75,24,7063,7,136,1061,1134,1322,957,158,57,23,4845,8,110,1282,1506,1734,1101,245,70,18,6069,15,49,413,663,646,476,230,78,23,2602,1965,1469,3819,3407,3709,3500,2733,1977,1258,23842,14085,12444,34190,34084,35869,32821,22272,11297,4595,201648,11393,1876,4534,3877,3729,5227,2045,552,227,33459,5632,897,1776,1783,1516,1922,1227,379,131,15268,2348,2275,4287,3978,3888,4968,4072,1833,451,28087,1276,1516,3121,3236,3636,4996,9565,5294,1385,34024,1405,1644,2995,3111,3671,4455,7139,4394,1666,30482,1422,2580,4040,4147,4527,4588,4537,2091,740,28670,863,3160,4833,4470,4913,4614,3324,1404,442,28025,503,2875,5689,5256,6164,5176,2411,824,239,29137
69499,0,0,4,9,7,10,10,0,0,41,3,3,8,5,0,3,3,0,0,29,0,3,3,3,4,3,0,0,0,13,0,0,5,0,3,0,0,0,0,11,0,0,3,4,3,3,0,0,0,14,0,0,3,4,0,3,0,0,0,13,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,6,10,8,15,9,7,0,0,52,33,29,69,54,59,56,38,5,0,350,20,9,12,12,4,12,0,0,0,68,4,3,4,3,4,6,3,0,0,36,23,23,24,23,29,15,9,0,0,156,0,7,13,19,14,18,18,0,0,102,7,8,9,20,20,13,21,4,0,94,3,7,11,14,9,10,6,0,0,52,0,6,15,6,12,3,0,0,0,49,0,3,12,4,9,3,3,0,0,44
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,4,3,0,0,18,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3
6GHOB,283,700,1112,1077,1211,1551,2340,1855,989,11113,181,908,1722,1626,1475,1496,1482,771,479,10138,82,787,1663,1579,1486,1324,897,441,203,8454,40,647,1685,1555,1589,1353,618,248,131,7868,19,412,1701,1479,1790,1379,390,149,90,7406,0,151,1138,1096,1199,873,174,48,29,4720,0,37,736,919,1037,714,132,50,16,3639,0,17,342,600,685,463,81,32,21,2238,0,10,242,574,771,451,85,43,26,2192,6,22,74,234,267,171,75,49,27,926,575,467,907,845,890,1045,1005,825,592,7156,6684,6952,14541,14411,15312,15358,11598,6703,3368,94929,5666,1292,1417,931,1022,1614,651,235,65,12886,3347,1062,607,556,536,885,596,171,60,7810,1541,2169,1899,1445,1464,2087,1867,936,311,13726,535,1236,1623,1451,1679,2605,4304,2704,840,16968,551,1265,1788,1662,1972,2468,3771,2803,1388,17677,412,1646,2716,2231,2167,2394,2640,1383,690,16284,210,1619,2976,2499,2380,2333,1820,908,365,15114,95,1375,3670,2966,3004,2771,1489,572,244,16187
6RTAS,352,858,1416,1603,2041,2400,3700,2675,1359,16410,306,1107,1923,2156,2321,2113,1946,911,542,13323,113,1104,1931,1920,2312,1684,1093,470,188,10822,29,617,1521,1628,2095,1513,616,277,106,8397,11,351,1368,1428,1812,1457,394,170,61,7054,3,145,759,869,1071,792,209,46,15,3913,0,47,501,644,951,690,120,34,21,3010,0,5,264,425,554,426,77,21,13,1780,0,12,170,332,497,355,90,24,10,1488,10,23,62,158,214,190,115,52,26,848,876,586,1075,1160,1436,1740,1823,1303,773,10762,8395,7579,15080,16761,20777,21667,17663,9219,4046,121201,6896,1032,1199,1237,1707,2882,997,288,110,16342,3827,859,725,832,1012,1483,806,247,55,9850,1931,2218,2468,2455,2910,4453,3545,1430,361,21776,825,1286,1929,2183,3108,4905,8833,4789,1207,29074,795,1482,2118,2355,3279,4091,6484,4239,1900,26751,694,2029,2773,3055,3355,3619,3786,1730,796,21834,343,2313,3427,3204,3957,3381,2355,1049,361,20386,127,1615,3753,3440,4334,3629,1604,603,191,19299
79499,0,8,18,25,26,27,17,0,0,120,0,7,12,11,4,16,15,0,0,68,8,10,21,9,9,12,10,0,0,76,0,7,18,8,4,11,3,0,0,45,0,3,8,7,4,4,0,0,0,33,0,0,6,3,3,5,0,0,0,29,0,0,6,6,6,8,0,0,0,25,0,0,3,6,3,0,0,0,0,9,0,0,3,4,0,3,0,0,0,14,0,0,0,0,3,0,0,0,0,9,0,23,72,37,46,38,18,3,0,247,17,85,239,180,203,212,105,10,0,1043,3,18,24,17,31,48,6,0,0,144,0,0,10,13,8,13,5,0,0,56,3,23,35,53,56,48,23,4,0,246,0,10,42,63,62,66,64,11,0,311,0,9,24,42,52,45,51,5,0,230,7,17,19,18,14,24,34,3,0,132,8,28,36,13,19,28,13,0,0,145,0,17,35,14,18,24,11,0,0,130
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
7GDAR,128,268,510,395,310,343,464,255,78,2751,135,355,776,581,466,414,302,146,45,3216,139,542,977,702,612,431,246,71,14,3743,103,650,1259,924,784,514,228,41,12,4511,41,566,1653,1084,1026,665,195,37,16,5279,5,258,1349,905,850,523,119,13,5,4034,3,104,1057,911,759,447,80,15,0,3384,4,45,588,681,664,379,64,9,0,2422,3,19,591,912,838,518,77,11,3,2971,3,15,127,293,295,205,43,16,0,1003,520,580,1597,1140,991,833,466,186,78,6389,3560,4355,12810,10315,8858,6612,3393,1226,356,51481,2856,687,1522,1089,741,899,454,111,28,8389,1291,232,330,282,195,196,187,49,11,2778,663,455,632,486,470,534,534,218,43,4039,302,427,663,517,488,601,961,460,102,4522,274,477,778,581,501,595,877,429,129,4645,325,644,1153,798,693,672,595,258,76,5205,271,960,1544,1059,929,768,511,153,35,6223,252,1345,2359,1672,1406,1019,494,97,19,8667
7RNTE,77,160,328,315,292,266,234,118,45,1832,71,179,486,414,322,235,130,55,10,1907,84,236,486,329,324,222,103,30,4,1816,46,237,568,368,373,239,74,21,3,1929,22,207,640,438,511,349,80,11,5,2273,5,77,466,354,399,255,48,9,0,1617,6,31,368,340,364,236,35,4,0,1380,0,21,169,220,288,251,26,0,0,978,0,6,190,274,306,224,30,4,0,1039,4,7,35,69,89,57,20,0,0,272,840,658,1422,1053,1015,716,312,104,44,6169,3023,3357,7988,6283,6009,4366,1852,639,192,33722,1954,355,531,365,340,384,166,48,7,4150,893,601,1015,684,553,304,117,46,11,4240,926,1666,2829,2090,1625,1059,573,216,43,11029,175,330,796,689,652,586,590,230,52,4087,134,259,548,508,468,442,464,224,69,3107,174,356,781,683,546,408,276,92,23,3335,176,484,836,564,559,424,212,55,12,3313,112,504,1047,666,710,488,181,44,3,3746
89499,0,3,0,3,0,0,0,0,0,19,0,3,4,4,0,0,3,0,0,14,0,7,5,0,0,3,0,0,0,15,0,0,5,4,0,3,0,0,0,11,0,3,0,5,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,11,0,0,3,3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,3,0,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,8,6,5,3,6,0,0,0,28,20,42,44,40,26,34,9,4,3,209,15,13,14,6,8,3,4,0,0,57,0,3,3,3,3,0,0,0,0,19,14,5,13,23,9,9,0,0,0,67,0,10,5,8,18,6,3,0,0,42,0,7,11,3,4,3,10,0,0,40,0,4,8,4,0,6,6,0,0,26,3,9,5,3,3,3,0,0,0,28,0,6,9,8,4,3,0,0,0,31
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,403,1238,1342,1094,968,1259,2006,1420,688,10409,432,1413,2024,1493,1217,1399,1764,884,397,11031,270,1424,2213,1755,1432,1485,1488,678,276,11021,166,1490,2814,2111,1909,1731,1247,486,207,12157,77,1663,4143,2698,2400,2019,1091,370,178,14626,16,815,4844,2921,2479,1820,650,202,92,13843,9,228,3896,3211,2938,1840,512,146,61,12848,3,57,1974,2386,2003,1197,292,81,42,8037,8,40,2304,4396,4240,2125,432,99,52,13700,14,22,296,1171,1451,768,209,109,45,4092,747,1033,2168,1611,1434,1305,1142,948,1016,11394,12124,15525,33639,29423,25955,21558,15503,7913,3839,165485,10192,4311,3734,2465,1776,2313,1202,409,166,26571,5994,1868,1048,925,745,922,874,342,108,12826,2665,3358,2049,1584,1313,1729,2021,1183,321,16226,956,2358,1842,1503,1397,1883,3108,2212,675,15937,834,2418,2312,1750,1567,1901,3006,2051,924,16766,992,2876,3395,2243,1853,2079,2762,1461,595,18254,629,2996,4053,2825,2270,2390,2540,1250,449,19398,398,3219,5804,3812,3294,3175,2573,1167,414,23850
99499,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,0,5,4,4,6,0,0,30,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,10,7,19,16,25,29,22,21,10,150,0,4,26,35,28,36,16,9,3,153,0,10,28,31,38,24,10,7,0,152,0,12,14,35,28,19,14,0,0,119,0,7,18,27,27,23,7,0,0,113,0,0,8,18,14,18,3,3,0,64,0,0,11,16,17,14,3,0,0,58,0,0,5,11,9,12,3,0,0,47,0,3,12,9,15,13,0,0,0,52,0,0,3,4,4,0,0,0,0,14,26,8,35,27,45,47,29,13,4,241,107,63,240,290,332,340,210,91,29,1702,78,13,30,30,28,60,29,5,0,269,30,3,7,21,15,20,11,3,3,112,20,5,20,21,27,47,44,28,3,207,3,4,23,21,30,41,73,48,7,246,12,6,25,19,36,39,53,32,16,237,7,16,33,49,56,56,38,10,8,282,8,20,46,57,69,57,30,13,3,296,3,20,43,68,57,53,25,3,0,280
