GCCSA_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
3GBRI,33627,6300,670,277,28007,5637,74523,33412,13256,1732,761,29657,6717,85533,59808,44620,8043,3270,39113,14201,169060,47405,52687,12719,5165,26246,11645,155864,42520,49477,11830,4776,26632,10758,145989,30625,37650,11117,5184,25409,8754,118736,14650,23347,11636,6999,21839,7669,86138,5214,8362,4899,3553,12565,5270,39855,1572,1878,933,780,5751,2768,13676,268841,237571,63568,30758,215222,73424,889380,33962,8869,1165,514,22530,5017,72056,31349,20051,4419,3386,20196,5810,85209,39457,53053,21639,24684,23344,11995,174171,20905,53303,32849,31433,14264,9313,162065,20214,56262,31688,20634,15222,9044,153071,15101,40990,26319,18594,16844,8191,126053,7092,20780,19758,18466,18026,7945,92065,4177,8304,7213,7097,13912,6948,47651,2543,2872,1563,1173,10956,5575,24673,174798,264495,146609,125978,155300,69846,937019,67588,15173,1835,787,50541,10657,146581,64764,33306,6150,4144,49854,12528,170741,99262,97678,29678,27952,62458,26202,343233,68315,105994,45560,36596,40509,20956,317932,62741,105739,43519,25411,41852,19801,299059,45728,78641,37437,23781,42254,16948,244790,21742,44128,31394,25465,39865,15619,178208,9392,16669,12105,10648,26479,12217,87505,4108,4747,2491,1955
3RQLD,32720,6712,829,384,27497,8311,76455,26222,12433,1948,1016,23641,7930,73189,47478,39391,8227,4085,31957,16358,147501,42341,47445,12501,6154,26545,15322,150306,43251,50693,13503,6399,31284,16433,161566,34742,44219,14176,7839,34116,15291,150381,18565,29801,15494,10997,32443,14014,121315,6969,11313,6649,5748,18757,9192,58621,1860,2229,1207,1062,7767,3937,18069,254145,244233,74543,43678,234006,106798,957411,32420,9375,1414,700,21504,7419,72830,22681,18958,4748,4416,14383,6607,71787,27390,45550,22093,28569,17042,13018,153661,17305,49727,33095,32960,13144,12152,158382,20572,60016,34773,23299,17149,13586,169397,17005,47839,31466,24560,21059,13383,155306,8189,24375,24796,25837,24486,13440,121125,5015,9967,8633,10283,18546,10862,63300,2714,3135,1771,1536,13302,6604,29061,153287,268948,162778,152160,160618,97063,994854,65146,16093,2245,1080,48996,15727,149284,48904,31386,6696,5434,38027,14534,144979,74870,84941,30321,32653,49000,29376,301158,59642,97174,45597,39117,39691,27471,308690,63818,110707,48276,29701,48438,30027,330959,51745,92053,45647,32396,55170,28678,305688,26760,54174,40286,36838,56926,27458,242444,11978,21282,15279,16032,37298,20047,121922,4575,5367,2977,2597
49499,29,6,0,0,38,18,95,40,14,4,3,68,38,161,76,40,6,9,141,73,349,44,36,8,10,100,85,280,39,42,4,15,78,104,282,38,38,14,12,76,61,239,12,40,14,3,62,39,168,4,8,7,0,21,3,43,0,0,0,0,9,3,13,283,223,51,54,600,419,1627,19,20,0,3,21,14,80,17,16,7,7,32,20,99,48,40,12,11,53,36,209,24,28,11,17,21,37,140,39,44,18,9,40,48,192,18,46,16,16,36,28,164,8,18,13,7,30,20,97,3,6,0,0,6,8,21,0,0,0,0,10,0,7,180,214,88,73,251,206,1016,51,25,3,0,62,28,173,59,30,14,8,103,56,266,132,80,20,24,199,110,556,67,68,15,27,126,124,421,75,83,25,25,119,151,474,59,88,34,28,115,87,403,22,58,33,12,90,58,271,7,10,7,0,24,16,59,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,17389,3057,306,103,16887,2736,40489,17232,6922,986,375,17309,2668,45495,30536,24400,4573,1865,21018,5682,88071,24015,28751,7317,2988,14744,5172,82983,23819,29810,7199,2868,16412,5334,85442,19388,24634,6968,3073,16811,4804,75675,10003,16305,7614,3920,14792,4379,57017,4206,6570,3800,2517,9862,3508,30457,1356,1795,908,731,5733,1844,12371,147948,142239,39677,18449,133560,36116,517997,18240,4407,515,230,13021,2478,38894,16432,10450,2089,1593,11116,2358,44039,19247,28320,11885,13603,12261,4925,90237,9752,27651,18106,17077,7556,4126,84275,10700,33112,19653,11521,9241,4412,88637,9662,28071,17520,10841,11332,4629,82047,4635,14604,14461,12115,12929,5062,63808,3221,6725,6068,5474,11659,4893,38044,2051,2732,1581,1082,11019,3333,21797,93933,156073,91872,73532,100147,36211,551769,35631,7463,830,330,29907,5218,79385,33668,17367,3079,1971,28428,5018,89535,49782,52714,16456,15465,33283,10603,178301,33761,56398,25425,20068,22300,9296,167253,34519,62929,26848,14389,25653,9743,174077,29051,52708,24484,13913,28141,9436,157723,14635,30907,22073,16038,27725,9439,120817,7424,13300,9866,7995,21521,8396,68502,3404,4530,2490,1815
4RSAU,4671,965,122,58,3798,1322,10933,3362,1818,336,166,2908,972,9562,5996,5720,1364,716,3820,2238,19858,5462,6681,2062,1026,3498,2191,20921,6800,8333,2443,1186,5116,2509,26390,6587,8289,2800,1547,6469,2571,28251,3632,5884,3263,2387,6247,2716,24131,1374,2245,1497,1277,3704,1847,11942,424,527,298,278,1636,798,3954,38308,40457,14173,8652,37196,17156,155949,4554,1369,218,109,2828,1122,10195,2391,2542,802,727,1438,728,8629,2612,5662,3275,4741,1715,1381,19391,1679,6316,4819,5057,1575,1412,20866,2490,9172,5987,3888,2514,1891,25939,2520,8266,6222,4712,3607,2214,27537,1359,4465,5175,5418,4736,2479,23633,844,1914,1956,2188,3763,2084,12753,547,697,460,381,2973,1276,6336,18999,40405,28924,27213,25159,14590,155286,9218,2333,341,169,6626,2441,21132,5750,4358,1142,889,4347,1698,18193,8610,11384,4639,5457,5533,3621,39251,7147,12995,6877,6081,5078,3605,41789,9287,17503,8425,5075,7634,4404,52332,9102,16547,9028,6262,10074,4781,55791,4994,10345,8441,7807,10990,5191,47762,2214,4164,3451,3470,7468,3933,24701,973,1219,756,654
59499,19,12,4,0,31,26,84,62,33,5,3,91,64,254,159,81,25,12,275,221,773,76,70,31,21,198,214,606,81,62,24,13,207,249,638,94,86,23,10,195,127,540,64,55,32,18,123,84,375,5,3,9,3,24,12,58,0,0,0,0,6,4,12,564,404,152,72,1145,1002,3336,15,5,0,3,21,19,65,54,33,9,6,78,69,242,126,72,32,27,130,152,534,56,49,15,24,51,99,305,47,57,28,17,68,101,325,67,114,49,30,94,89,442,25,60,36,20,64,49,254,3,5,3,7,10,14,37,0,0,0,0,6,5,11,401,394,177,140,520,594,2220,40,15,4,3,52,41,151,115,63,16,8,173,133,503,281,154,51,36,402,372,1306,132,121,45,43,248,318,910,130,121,52,29,275,350,957,164,195,76,45,281,213,977,90,116,73,35,187,135,633,10,6,7,9,32,26,98,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,12,7,17,6,9,0,7,67,28,124,8,12,3,4,76,18,120,12,5,0,0,63,17,94,3,4,0,0,27,5,43,3,0,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0,3,0,3,30,28,6,9,257,74,408,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,3,6,0,3,0,0,0,0,3,0,0,0,0,3,3,8,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,8,26,0,0,0,0,0,0,0,0,0,0,0,12,5,20,7,15,0,7,71,27,127,8,12,0,4,83,18,127,12,5,4,0,70,15,105,3,4,0,0,31,5,43,3,0,0,0,0,0,8,0,0,0,0,3,0,3,0,0,0,0
5GPER,26808,5022,459,205,24362,4541,61400,25640,9723,1270,534,25515,5657,68351,52585,38013,6652,2658,38667,14619,153198,40053,42633,9936,4388,27010,11451,135474,36663,40850,9429,4024,26960,10126,128061,26508,31957,8699,4048,23924,8005,103140,12929,20811,9002,5069,19466,6705,73986,4988,8101,4321,3014,11614,5055,37102,1414,1877,1021,745,5044,2578,12680,227606,198999,50787,24685,202564,68745,773386,27381,7072,820,338,18989,4134,58729,24162,15119,3125,2403,15635,4636,65083,32933,45056,18660,23959,21578,11303,153484,15384,41080,27643,31490,13122,8421,137133,15032,45695,28476,20087,13451,7887,130632,12055,35158,23399,16863,15133,7212,109824,5630,17599,16591,15814,15696,7061,78385,3776,7996,6810,6859,12591,6859,44899,2148,2747,1588,1239,9318,4938,21972,138491,217518,127107,119061,135509,62451,800146,54189,12097,1275,547,43346,8674,120129,49802,24840,4399,2939,41148,10296,133434,85519,83067,25307,26618,60246,25922,306680,55436,83706,37578,35880,40136,19872,272610,51693,86549,37908,24113,40417,18014,258693,38565,67115,32092,20915,39056,15222,212965,18555,38411,25596,20882,35158,13770,152368,8767,16097,11137,9879,24208,11911,82007,3561,4623,2607,1983
5RWAU,6409,1478,177,92,5244,2235,15633,4615,2414,403,203,4380,1918,13936,10416,8810,1893,969,8894,5881,36864,9472,10531,2765,1503,7643,5399,37316,9512,11136,2988,1550,8906,5245,39332,7780,9585,3098,1788,8548,4436,35231,3700,5889,2976,2232,6418,3177,24386,1308,1993,1240,1111,3119,1920,10696,361,451,237,221,1213,671,3157,53575,52289,15770,9672,54372,30883,216557,6128,1882,311,171,3667,1923,14085,3337,3412,1052,971,2267,1400,12444,5011,9316,4898,7695,3597,3681,34190,3158,9710,7005,8292,2669,3253,34084,3738,11810,7481,5512,3715,3616,35869,3082,9480,6922,5619,4354,3368,32821,1362,4181,4582,5345,4032,2763,22272,834,1735,1638,2019,2942,2129,11297,416,578,354,308,1939,1006,4595,27066,52102,34243,35924,29179,23134,201648,12532,3366,486,266,8911,4152,29712,7954,5828,1456,1174,6654,3321,26382,15422,18127,6793,8659,12498,9563,71057,12626,20245,9769,9795,10312,8652,71401,13248,22946,10471,7057,12616,8859,75202,10865,19066,10015,7404,12899,7799,68053,5066,10067,7556,7578,10449,5942,46655,2139,3730,2876,3133,6066,4053,21993,782,1030,590,531
69499,7,4,0,0,12,3,34,12,4,3,0,22,18,56,28,16,0,0,39,34,120,18,11,4,0,34,22,93,12,12,4,4,27,20,77,9,16,0,3,16,7,52,9,5,3,3,15,11,48,0,0,0,0,3,6,8,0,0,0,0,0,0,0,88,72,17,11,164,123,481,8,8,0,0,12,3,33,3,7,5,3,15,7,29,12,16,10,9,16,12,69,17,14,4,8,10,7,54,11,18,3,5,10,13,59,13,16,10,3,14,4,56,6,6,3,3,10,9,38,0,3,0,0,3,0,5,0,0,0,0,0,0,0,60,81,33,28,85,58,350,18,9,3,0,31,6,62,18,11,5,3,35,21,90,37,33,7,9,51,41,183,33,24,10,10,39,29,147,21,30,11,6,37,37,135,16,26,7,8,37,13,113,9,15,6,11,22,17,84,0,0,0,0,9,4,12,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,9,4,15,0,0,0,0,3,3,5,0,0,0,3,8,0,10,0,0,0,0,4,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,31,3,49,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,18,0,0,0,0,0,0,0,0,0,0,3,5,0,8,4,0,0,0,14,4,23,0,0,0,0,3,3,5,3,0,0,3,8,0,15,0,0,0,0,5,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
6GHOB,2905,481,52,27,2900,512,6880,2820,1128,172,77,2366,518,7088,4702,4062,812,328,2914,1127,13947,3748,4746,1272,483,1992,924,13171,3929,5157,1291,519,2342,1051,14285,3452,4659,1409,608,2874,1091,14085,1750,2883,1449,870,2648,982,10584,727,1113,663,512,1665,712,5388,235,305,150,137,795,283,1906,24273,24539,7273,3567,20487,7194,87329,3074,715,110,54,2205,532,6684,2462,1765,389,317,1578,443,6952,2880,4768,2099,2202,1739,851,14541,1649,4916,3199,2694,1155,786,14411,1847,5889,3366,1835,1513,858,15312,1783,5328,3134,1988,2082,1042,15358,787,2595,2559,2252,2358,1050,11598,526,1194,1010,991,1976,1002,6703,330,462,261,177,1577,552,3368,15345,27628,16142,12519,16175,7120,94929,5976,1194,157,82,5101,1045,13565,5283,2889,564,400,3944,964,14042,7584,8826,2912,2530,4653,1978,28485,5402,9658,4476,3182,3149,1710,27577,5779,11046,4659,2356,3851,1910,29598,5231,9985,4542,2588,4954,2135,29440,2541,5480,4004,3123,5008,2029,22183,1257,2310,1671,1500,3641,1713,12093,560,771,417,321
6RTAS,3644,738,83,49,3543,990,9049,2910,1438,260,131,2761,645,8144,4454,4250,1016,506,2916,1123,14256,3997,5096,1539,797,2671,1218,15328,5006,6157,1781,930,4020,1640,19526,4645,6016,2163,1285,4969,1845,20926,2381,4167,2387,1761,4683,2062,17444,918,1427,968,862,2791,1309,8281,262,288,184,158,1058,493,2440,28217,29584,10386,6480,29414,11317,115389,3542,1064,173,94,2648,873,8395,2115,2187,608,624,1497,555,7579,2145,4534,2609,3360,1405,1036,15080,1498,5020,3846,3846,1464,1093,16761,2168,7108,4529,3226,2294,1448,20777,2097,6326,4656,3681,3151,1754,21667,996,3313,3492,3929,3839,2095,17663,651,1333,1331,1434,2848,1625,9219,381,458,256,236,1968,748,4046,15593,31332,21498,20424,21125,11226,121201,7186,1804,260,143,6191,1865,17443,5027,3622,863,746,4256,1205,15724,6599,8782,3627,3868,4317,2156,29338,5494,10123,5384,4641,4136,2311,32094,7173,13270,6302,4152,6310,3090,40297,6748,12343,6820,4967,8123,3595,42594,3377,7483,5882,5683,8530,4151,35104,1573,2754,2301,2298,5640,2933,17500,637,741,443,396
79499,7,5,0,0,4,3,16,18,16,0,0,26,35,98,31,28,11,9,55,102,219,30,28,14,3,47,95,215,36,28,3,5,66,112,257,31,43,13,7,71,63,229,30,37,9,9,53,40,174,0,4,0,0,7,11,20,0,0,0,0,0,0,0,186,182,49,30,322,456,1240,0,6,0,0,3,0,17,11,7,0,0,27,40,85,44,20,16,12,50,94,239,19,28,23,12,24,80,180,28,37,12,4,30,88,203,33,58,26,15,34,49,212,10,24,12,14,24,19,105,0,3,0,0,6,5,10,0,0,0,0,0,0,0,145,180,85,62,198,375,1043,6,12,0,0,5,3,32,35,19,0,4,49,74,183,68,49,19,24,108,198,457,45,49,31,17,73,170,396,66,68,17,9,104,198,461,62,101,39,16,101,117,438,43,63,27,20,75,56,278,0,6,3,3,9,13,38,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,5,23,0,0,0,0,12,5,16,0,0,0,0,4,3,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,20,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,17,3,30,0,0,0,0,12,11,19,0,0,0,0,4,3,9,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7GDAR,1631,388,38,21,1355,606,4039,1610,808,118,54,1743,855,5198,4205,3237,579,222,3361,2451,14046,2966,3204,797,360,2306,1839,11472,2485,2941,701,340,2047,1568,10094,1668,2070,553,289,1705,1136,7434,635,991,395,259,1138,609,4021,137,236,123,98,460,195,1246,40,40,14,11,115,51,273,15371,13924,3326,1661,14224,9318,57821,1465,453,68,28,1051,498,3560,1295,1119,269,202,886,584,4355,2666,3765,1439,1653,1736,1559,12810,1347,3282,1822,1605,1150,1106,10315,1213,3224,1493,908,1042,979,8858,835,2232,1097,678,922,848,6612,308,780,623,522,693,456,3393,112,224,171,141,382,194,1226,41,37,22,5,187,58,356,9286,15121,7003,5746,8039,6290,51481,3092,843,101,46,2402,1106,7600,2907,1933,390,259,2626,1446,9555,6869,6999,2018,1867,5093,4013,26858,4311,6485,2622,1962,3454,2947,21789,3703,6169,2198,1254,3085,2546,18951,2503,4308,1654,971,2627,1984,14042,942,1775,1013,781,1825,1071,7413,253,453,294,237,837,389,2470,78,79,40,22
7RNTE,1102,479,107,28,963,738,3420,1054,631,183,68,864,742,3544,2149,1843,514,227,1528,1438,7695,1560,1618,529,228,1149,1058,6143,1510,1510,457,191,1173,1036,5881,1014,1139,324,143,1036,775,4439,350,453,158,106,647,403,2119,97,114,48,35,202,134,624,14,11,7,3,55,21,116,8856,7797,2332,1028,7626,6350,33985,963,562,174,54,632,633,3023,963,785,315,169,570,560,3357,1764,2139,998,841,1024,1224,7988,1105,1792,993,732,756,908,6283,1104,1839,871,465,839,892,6009,788,1249,633,347,683,670,4366,282,391,242,185,452,310,1852,89,99,52,57,227,115,639,22,14,16,8,85,39,192,7077,8875,4289,2857,5263,5352,33722,2069,1040,281,83,1595,1378,6446,2015,1415,494,240,1437,1301,6905,3919,3981,1515,1064,2553,2662,15691,2664,3409,1523,953,1909,1967,12427,2616,3354,1330,655,2008,1930,11887,1803,2395,955,496,1719,1443,8810,633,839,397,289,1098,714,3969,189,215,97,90,430,243,1266,38,30,25,13
89499,7,0,0,0,3,3,16,14,3,0,0,9,3,36,24,6,3,0,21,9,63,10,9,4,0,21,22,67,7,4,3,0,15,18,43,5,4,3,0,14,15,38,6,3,0,0,3,4,15,0,0,0,0,3,0,5,0,0,0,0,0,0,0,73,39,7,3,92,82,297,8,4,0,0,7,4,20,16,4,0,0,9,8,42,16,12,3,0,4,3,44,11,5,5,0,9,9,40,3,18,0,0,7,5,26,3,12,4,0,8,6,34,4,4,0,0,4,0,9,0,0,0,0,4,0,4,0,0,0,0,3,0,3,61,53,7,5,47,30,209,12,4,0,0,11,10,35,30,13,0,0,20,14,79,42,20,3,0,27,15,108,20,20,9,3,32,30,107,10,24,3,0,19,18,68,10,16,3,0,18,21,78,7,3,3,0,7,7,24,0,0,0,0,3,3,8,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,6013,1055,72,34,4427,753,12350,6451,2713,261,95,5212,1092,15829,11912,9779,1518,549,6178,2434,32368,8524,10805,2759,887,3997,1908,28875,7173,9775,2373,669,3382,1586,24959,4993,7537,2285,744,3085,1217,19870,2685,4810,1971,838,2548,1071,13929,998,1760,845,468,1592,779,6436,334,416,227,135,796,413,2316,49097,48642,12309,4425,31206,11248,156932,6186,1549,150,53,3502,681,12124,6204,3790,610,358,3585,981,15525,8207,11756,4152,3787,3705,2035,33639,3864,10765,6364,4724,2203,1516,29423,3552,10817,5661,2621,1967,1341,25955,2826,8115,4621,2459,2221,1317,21558,1260,4348,3755,2753,2260,1122,15503,748,1749,1460,1190,1802,970,7913,420,555,305,232,1399,923,3839,33262,53434,27076,18171,22641,10897,165485,12201,2604,217,87,7926,1438,24468,12658,6504,871,452,8795,2075,31354,20120,21539,5669,4336,9879,4466,66008,12382,21568,9121,5613,6203,3421,58298,10726,20592,8034,3289,5344,2925,50915,7823,15648,6905,3205,5306,2533,41426,3944,9157,5734,3589,4813,2191,29428,1745,3502,2306,1662,3395,1747,14352,753,972,533,367
99499,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,4,0,3,0,0,0,0,4,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,8,4,30,0,0,0,0,0,4,3,0,0,0,0,5,4,10,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,3,0,0,3,0,9,0,0,0,0,3,0,11,0,3,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0
