GCCSA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
3GBRI,11,24,190,619,1583,1765,7415,6232,886,922,670,536,547,320,342,22068,0,50,166,480,406,1119,1130,1728,363,529,350,240,205,197,117,7087,0,0,16,64,270,770,1019,1332,297,224,274,323,345,240,265,5436,0,4,31,194,87,104,121,34,3,12,7,6,9,3,14,644,0,8,3,120,69,119,177,133,40,33,28,18,33,23,46,859,319,5426,13063,23257,11558,10990,15146,14624,2460,2396,1810,1534,1509,764,3030,107896,4,99,213,971,700,937,1822,1424,402,392,393,433,508,365,255,8919,3,6,13,301,4768,4398,1843,2055,396,457,610,503,479,290,593,16731,0,6,49,66,547,450,1617,1248,135,105,97,89,100,74,72,4659,144,1361,2900,8673,8036,15193,21136,19051,3887,4599,5477,5141,5768,4426,4049,109835,899,14473,25845,48614,53866,75828,108987,111172,21836,23594,24110,23005,24063,16518,19776,592593
3RQLD,8,35,230,525,1138,1189,5372,5751,682,821,593,557,536,288,298,18013,0,27,117,216,113,249,258,705,140,292,106,112,146,92,83,2658,0,3,8,47,217,570,924,1126,219,213,249,263,301,159,232,4524,0,0,27,107,32,46,58,15,0,0,0,6,0,4,3,306,0,8,17,167,87,112,82,72,3,23,7,11,16,10,31,632,391,7067,14800,22902,10308,9888,13515,13358,1926,2095,1733,1578,1601,917,3418,105487,6,104,268,1121,705,996,1481,1298,319,292,283,343,351,257,250,8064,0,3,5,65,358,339,302,743,108,117,167,199,153,94,132,2788,0,9,60,93,442,347,1389,1245,122,129,91,103,77,47,50,4203,161,1592,3648,7717,5316,6287,8959,9335,2031,2393,2746,2808,3289,2100,2887,61267,1092,17287,29571,47354,42317,47964,69642,70903,13457,14759,13787,13735,13827,8524,15872,420086
49499,0,0,0,3,0,0,9,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,31,18,15,4,6,0,0,0,0,20,21,15,171,0,0,0,0,0,3,0,0,0,0,0,0,3,6,3,11,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,12,13,0,5,4,8,21,18,20,116,0,20,41,50,45,39,35,54,12,9,16,34,82,91,71,605
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
4GADE,7,20,138,279,381,453,1604,1513,247,272,200,110,141,123,99,5587,0,19,50,131,216,267,334,910,243,451,278,125,268,163,57,3520,0,0,10,14,302,465,502,458,81,109,88,96,118,60,125,2417,3,43,57,115,30,38,37,10,8,3,5,0,0,0,9,368,0,15,35,136,39,67,81,71,5,5,14,13,6,7,12,508,284,5604,20200,30240,7643,6572,7367,8988,1396,1653,1032,848,761,399,2526,95504,3,27,109,509,371,458,766,538,117,174,152,151,170,123,93,3760,0,0,4,136,4345,3828,1424,1530,280,314,406,395,478,355,444,13932,0,4,46,31,72,81,301,332,48,66,55,28,44,37,15,1173,92,2495,2550,4188,3718,5816,9911,11314,2402,2601,3213,2942,3193,2490,1786,58706,747,20021,42202,47136,26453,30062,39169,55235,9986,11773,12410,12468,14059,9051,10283,341062
4RSAU,3,7,40,50,57,33,222,277,61,87,43,38,32,27,26,1008,0,0,9,11,18,9,11,59,11,60,30,11,18,3,7,268,0,0,0,3,13,36,61,134,20,19,44,27,18,10,19,418,0,0,4,9,0,0,0,0,0,0,0,0,0,0,3,17,0,3,0,26,14,21,5,0,0,3,0,0,0,0,3,77,55,1507,5345,7543,1288,842,702,777,87,165,101,82,72,44,836,19435,0,9,19,118,58,80,114,87,17,12,13,22,20,3,25,589,0,0,0,11,44,42,35,85,9,6,12,32,28,30,54,394,0,0,7,7,18,7,51,127,15,18,19,12,8,3,14,313,18,331,541,659,296,230,348,648,234,205,205,171,266,136,378,4656,144,3689,8441,10037,3121,2411,3003,4184,862,1006,966,922,1013,503,2122,42430
59499,0,0,0,0,7,4,18,8,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,42,96,33,51,20,24,9,3,11,20,36,43,52,446,0,0,0,0,0,3,0,0,0,4,0,3,4,3,3,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,9,0,0,11,14,18,16,15,21,4,5,3,19,29,40,41,242,0,42,75,143,109,141,125,137,35,51,50,82,128,158,211,1484
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,11,13,0,3,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,5,0,0,0,22,0,0,0,10,11,16,31,26,8,17,0,17,9,3,18,168
5GPER,13,39,285,730,2604,3323,9351,11069,1766,1906,1313,1004,854,461,548,35262,14,96,101,374,349,978,974,1810,387,671,560,373,255,203,134,7286,0,6,9,71,440,838,1166,1895,316,342,352,338,356,209,238,6584,7,109,155,876,361,650,353,187,17,37,29,24,19,29,97,2952,0,14,9,123,84,178,304,175,57,45,51,17,26,16,39,1138,539,5967,14620,46580,23326,25401,26462,27844,5846,6700,4876,3711,2846,1359,5117,201207,7,65,182,840,730,966,1446,1310,368,413,324,355,367,233,275,7885,0,7,9,86,4055,4005,1613,1958,367,446,636,514,515,308,610,15131,0,10,85,108,1039,904,2365,3193,348,500,330,253,273,139,138,9684,100,1554,2506,9401,6246,12062,18488,21442,3940,5222,5222,5012,5211,3403,3012,102807,1233,19361,29802,78872,62622,86094,107541,136513,29698,35697,29815,26072,24658,14467,20096,702545
5RWAU,3,7,65,160,330,301,1347,2032,363,369,217,208,133,54,101,5694,3,21,10,14,16,34,41,144,32,24,42,31,32,16,47,509,0,0,0,5,44,111,225,345,67,60,77,65,92,37,87,1209,3,21,12,22,16,18,5,3,0,0,0,0,0,0,8,105,0,0,0,9,6,9,13,13,3,3,3,5,4,0,3,61,148,1736,3760,10134,3662,2891,2697,2683,602,647,462,349,276,127,1181,31341,0,14,50,238,158,154,210,170,54,57,51,70,61,39,40,1377,0,0,0,5,96,141,78,115,14,26,51,29,41,12,80,706,0,0,31,34,206,164,487,587,92,86,87,50,56,34,33,1946,18,306,461,1142,647,726,1071,1712,359,498,487,423,471,245,614,9182,274,4319,5988,14404,9160,8928,11351,16181,3769,4337,3507,2836,2757,1423,4266,93497
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,4,6,4,3,0,0,0,3,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,0,21,0,7,7,16,10,12,12,13,3,7,4,11,13,14,14,139
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,3,0,3,3,0,0,0,6,18
6GHOB,3,9,46,63,112,114,197,169,34,17,10,15,15,17,14,820,0,3,9,8,7,30,25,39,12,23,3,3,11,9,9,197,0,0,0,3,12,37,72,119,13,23,22,23,14,11,16,370,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,3,12,4,4,3,0,0,0,0,0,0,34,44,898,1791,2915,1043,668,774,514,119,92,81,66,48,49,301,9410,0,7,28,119,76,99,206,120,31,24,30,41,34,21,18,859,0,0,0,5,29,27,27,33,11,17,25,16,34,22,7,253,0,0,3,9,21,18,35,39,0,3,0,4,3,0,0,139,11,215,302,472,291,466,676,828,227,233,355,299,289,222,171,5058,109,2075,3381,4710,2733,2741,3611,3763,818,942,1127,1235,1338,986,1100,30671
6RTAS,3,0,36,50,82,96,157,178,21,22,11,6,13,5,17,705,0,0,6,7,14,13,12,45,3,27,26,7,11,17,7,195,0,0,0,0,12,24,57,54,9,11,23,6,13,10,8,236,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,6,10,7,3,0,0,0,0,0,0,0,35,47,1328,2589,4476,1393,833,696,560,91,61,43,56,44,14,480,12703,0,5,24,153,97,90,128,116,13,28,18,19,34,17,18,766,0,0,0,3,9,6,10,28,3,13,10,8,29,8,5,149,0,3,7,7,24,14,40,29,0,4,3,4,0,5,0,146,10,179,364,519,272,277,410,634,196,175,283,287,180,164,197,4141,89,2552,4197,6410,3326,2620,2939,2838,614,643,790,815,805,604,1172,30416
79499,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,24,6,8,14,3,0,0,3,11,18,11,8,138,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,3,0,0,10,17,11,9,67,0,15,23,51,35,35,30,29,15,7,15,26,57,33,31,402
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,33,11,53
