GCCSA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
3GBRI,14976,13780,28756,69851,65541,135392,18308,17893,36200,11593,11626,23219,99757,95060,194812,41979,39769,81747,16738,15765,32502,15458,15367,30827,74177,70902,145082,3972,4539,8511,3160,5954,9116,4060,3360,7412,5416,9605,15017,135,165,298,16734,23614,40356,32110,39253,71361,11894,14256,26150,3328,4565,7895,10671,16710,27384,164,234,400,58163,75026,133192,3344,4332,7680,4214,8053,12270,118,141,260,7678,12528,20209,75585,73312,148893,347073,364219,711298
3RQLD,14430,13416,27845,73078,67812,140890,18689,18935,37626,13603,13315,26915,105374,100053,205429,48361,45930,94292,15575,14989,30563,14098,13980,28080,78036,74901,152933,2352,2936,5288,1996,4413,6407,4364,4061,8422,5171,10858,16028,170,180,353,14057,22446,36500,13841,20084,33921,6186,10030,16218,2235,3985,6222,7397,15656,23050,128,196,328,29781,49946,79730,2235,2975,5214,3737,7958,11693,141,155,295,6112,11087,17196,108367,100956,209324,356154,372812,728963
49499,5,8,8,28,30,55,0,3,5,0,5,8,29,43,76,34,38,70,0,0,0,4,6,15,39,47,86,4,5,12,7,10,20,0,4,3,3,7,10,0,0,0,21,24,43,22,12,35,16,19,33,0,3,3,7,9,12,0,0,0,40,38,81,11,10,21,7,3,13,0,0,0,18,11,29,403,220,625,552,393,946
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,8147,7807,15950,36381,33913,70299,11052,10862,21917,9056,9029,18091,56491,53811,110303,19275,18067,37340,8442,8705,17154,9240,9000,18238,36954,35773,72730,2356,2363,4714,2206,3558,5765,2570,1992,4560,4015,6475,10493,94,98,197,11235,14488,25721,18292,21820,40112,7323,8463,15785,1785,2239,4024,5173,8424,13604,99,170,269,32673,41118,73792,1564,1963,3526,2195,3867,6065,69,89,157,3828,5918,9752,36621,37288,73906,185956,196189,382147
4RSAU,2266,2064,4333,12614,11558,24172,2214,2059,4276,2269,2218,4489,17098,15832,32931,7781,7527,15309,1159,1175,2330,1332,1473,2802,10273,10173,20446,296,394,687,218,610,826,792,718,1511,861,1686,2543,33,32,62,2191,3437,5624,528,1119,1647,272,672,943,108,234,337,533,1411,1942,6,25,32,1445,3460,4908,224,269,495,354,846,1201,13,13,25,587,1130,1717,16924,14980,31905,50780,51088,101862
59499,14,7,17,51,51,96,13,3,16,13,14,26,72,70,139,21,26,49,0,3,7,3,3,7,27,35,61,5,7,9,14,10,28,3,3,11,14,14,30,0,0,0,34,40,67,27,34,61,25,14,38,4,3,8,9,19,25,0,0,0,67,70,128,8,10,20,14,11,27,0,0,0,28,16,43,982,607,1592,1215,838,2049
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,3,0,3,70,8,75,87,6,94
5GPER,12205,11574,23779,57961,53607,111571,14684,14481,29164,11725,11689,23411,84374,79777,164145,34324,32324,66647,14189,14269,28459,15156,15211,30367,63669,61803,125478,4782,4214,8996,3460,5134,8597,4724,2700,7420,4959,7852,12806,179,144,319,18096,20045,38142,24179,27701,51880,9073,10979,20054,2928,3855,6785,7897,12554,20458,165,255,419,44241,55346,99590,2641,3014,5649,3517,6622,10137,104,116,221,6261,9745,16011,71713,66209,137920,300562,304500,605065
5RWAU,3427,3024,6451,17077,16241,33319,3833,3849,7678,2305,2297,4602,23212,22392,45601,11126,10354,21475,2725,2875,5600,2194,2208,4397,16047,15431,31475,622,670,1295,284,662,951,1250,984,2234,1300,2742,4045,48,56,99,3507,5113,8618,546,1012,1555,432,972,1399,150,383,532,1077,2487,3567,12,20,31,2212,4875,7087,358,402,762,526,1153,1675,31,25,51,908,1583,2492,32399,25654,58057,81707,78068,159783
69499,3,3,4,8,12,18,3,0,4,3,0,8,9,17,24,4,6,13,0,3,3,0,3,3,4,12,20,3,9,8,0,0,0,0,4,7,0,0,0,0,0,0,3,9,13,5,8,17,12,3,17,0,0,0,0,6,3,0,0,0,20,21,39,0,0,0,3,3,5,0,0,0,3,3,5,119,61,181,165,121,285
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,7
6GHOB,858,848,1705,6911,6278,13188,2044,2151,4189,1089,1073,2159,10039,9503,19542,3875,3432,7309,1652,1816,3471,1265,1251,2520,6801,6499,13303,620,628,1254,279,467,749,577,354,935,634,952,1589,15,23,36,2136,2428,4569,2306,2596,4905,1253,1331,2580,233,333,561,1000,1946,2948,16,19,34,4801,6223,11028,173,222,399,320,602,923,14,14,28,513,835,1344,7455,7502,14955,32609,33837,66449
6RTAS,1075,949,2023,9280,8736,18022,1968,1911,3879,1174,1130,2305,12428,11780,24207,5454,5194,10649,1584,1574,3156,1175,1143,2319,8209,7914,16128,940,994,1940,304,561,871,711,527,1245,709,1241,1950,26,18,45,2697,3347,6040,1325,1597,2924,649,873,1525,138,243,379,697,1627,2331,12,25,32,2818,4366,7185,227,286,513,302,612,920,12,12,28,539,914,1455,11438,11749,23186,39198,41027,80226
79499,3,0,3,22,25,48,3,0,5,3,6,10,32,35,62,5,7,11,0,0,0,0,0,3,7,3,13,17,5,27,3,0,6,3,0,3,3,3,8,0,0,0,25,11,39,3,0,3,0,7,8,0,0,0,6,3,10,0,0,0,12,13,18,9,14,16,4,4,7,0,0,0,10,14,22,449,379,822,527,450,986
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,13,16,7,23
7GDAR,1021,991,2009,4092,3863,7961,795,679,1471,881,861,1737,5769,5399,11171,2521,2377,4901,606,588,1193,873,947,1819,3995,3912,7912,104,90,193,103,138,242,244,196,435,436,724,1161,19,14,31,908,1160,2067,697,824,1521,601,912,1514,209,347,552,889,1804,2691,14,21,32,2404,3907,6309,121,127,254,275,624,892,16,15,28,409,764,1171,9828,7034,16864,24331,23178,47501
7RNTE,851,845,1691,3718,3436,7156,591,565,1151,403,414,815,4710,4416,9124,1724,1598,3325,475,397,879,531,555,1089,2736,2555,5285,52,32,86,39,67,106,94,77,170,182,377,559,12,9,16,376,562,941,30,102,138,97,179,276,36,86,124,361,807,1165,8,5,15,533,1185,1715,81,70,146,106,191,294,6,4,16,197,262,460,7350,6291,13636,16754,16108,32855
89499,3,0,5,11,12,20,0,0,3,0,0,0,11,12,16,3,4,3,0,0,0,0,0,0,5,4,6,0,0,0,0,0,5,0,3,3,0,0,0,0,0,0,3,5,7,18,13,28,10,8,18,0,4,4,3,3,6,0,0,0,29,31,62,0,3,3,0,0,0,0,0,0,0,6,6,76,25,105,123,84,211
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3113,2791,5901,10717,10000,20711,4220,3904,8121,2002,1964,3969,16936,15869,32804,6904,6694,13599,3292,3074,6370,2066,2139,4207,12269,11915,24183,597,606,1205,590,777,1370,1182,760,1943,1438,2157,3589,29,24,51,3831,4319,8156,8132,8992,17126,3376,3121,6496,765,973,1737,3683,5091,8774,43,51,93,15997,18230,34230,459,439,894,740,1489,2228,14,20,39,1214,1948,3163,11723,11300,23021,65071,66374,131450
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,7,6,16
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,44,31,79,176,163,345,0,0,0,4,0,4,177,163,344,113,127,240,0,0,3,0,9,6,118,130,247,0,0,0,3,4,6,8,0,10,9,8,17,0,0,0,19,14,36,0,4,5,3,7,4,0,0,0,8,11,25,0,0,0,13,22,33,7,0,9,0,9,13,0,3,3,11,10,25,543,252,796,924,635,1562
