GCCSA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
3GBRI,307,1378,2579,158,401,1644,6463,79,2101,149,128,56,19,2535,601,8660,1412,439,400,108,11622,1826,5126,2463,894,879,128,11314,2356,1919,2652,316,602,87,7937,11298,2399,5000,560,2392,134,21782,41551,1979,11082,562,1639,314,57125,73675,635,13920,424,1247,348,90249,28814,103,5393,107,394,95,34905,9950,33,1994,32,156,32,12195,3892,18,824,12,58,14,4823,1732,18,422,0,35,8,2215,838,10,207,4,13,0,1077,1187,8,380,6,43,7,1628,2431,1473,1767,367,480,365,6881,180552,25863,50233,4016,8791,3300,272751
3RQLD,473,2309,4326,374,5822,4113,17420,162,2592,429,306,877,53,4426,1588,9141,3289,863,1547,176,16609,7502,5882,5788,1199,1669,262,22291,9070,1779,6180,446,1103,172,18744,23580,1927,9536,476,2599,267,38378,45840,1338,13667,316,1989,359,63511,50601,430,12522,272,1331,304,65469,19861,63,4097,58,399,91,24564,6148,31,1373,18,146,21,7732,2395,22,549,14,63,5,3054,988,10,242,4,34,5,1287,475,8,120,3,14,0,618,591,15,270,0,56,12,939,2392,1456,2361,316,1704,455,8684,171663,27001,64760,4661,19352,6297,293727
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,176,1643,1925,256,184,1063,5246,61,4809,168,534,73,80,5720,458,8086,1451,980,268,116,11361,1609,4357,2566,1579,332,81,10521,2388,1650,2780,544,309,52,7721,11077,2084,6584,591,1109,121,21574,25216,1474,11288,379,1099,164,39612,18289,394,6663,109,436,81,25972,4730,45,1600,42,90,28,6532,1440,30,490,15,53,15,2034,584,21,189,6,15,6,826,265,21,101,4,17,0,404,133,17,51,3,4,3,212,171,59,84,0,10,6,336,963,1355,1174,427,261,211,4389,67555,26038,37106,5472,4264,2022,142460
4RSAU,74,595,1214,148,891,1028,3943,68,1540,236,222,122,39,2231,944,2340,1486,320,687,67,5848,3063,1654,2338,311,725,85,8170,2114,513,1719,82,279,36,4748,4486,290,1774,66,231,49,6900,3299,92,1128,34,109,18,4677,879,27,261,6,39,14,1215,88,14,51,0,11,0,163,26,3,14,0,8,0,57,7,3,7,0,7,0,27,5,3,6,0,3,0,22,0,4,0,0,3,0,14,17,13,25,5,8,0,61,225,456,437,125,313,87,1645,15274,7555,10705,1306,3447,1427,39717
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,231,1103,3113,164,283,1705,6602,41,1327,178,199,51,30,1829,297,7815,1386,491,245,96,10335,715,3849,2138,930,370,79,8076,1084,1464,2073,224,219,42,5119,4608,1338,3674,182,803,71,10666,19509,1091,10019,189,1056,145,32008,40980,479,17112,159,1527,227,60482,19004,82,7071,43,517,82,26810,6566,29,2173,17,125,13,8919,2761,21,877,6,41,15,3719,1470,13,449,3,28,12,1974,775,13,202,3,22,9,1021,1313,12,471,4,52,5,1861,1291,1073,1749,243,410,244,5007,100638,19710,52694,2861,5750,2770,184428
5RWAU,180,1450,1383,325,4372,1643,9351,36,847,142,192,430,22,1667,259,3155,1003,344,1580,49,6382,886,2196,1379,386,1166,73,6088,968,890,1375,83,731,35,4085,2478,989,2018,103,858,41,6492,5586,632,3020,86,724,46,10102,6146,219,2322,34,400,47,9162,1838,61,531,14,158,14,2618,635,27,167,4,57,3,896,313,15,86,3,51,3,477,208,7,62,3,30,0,308,87,0,35,0,17,0,138,185,8,89,0,62,3,349,502,816,573,103,1082,77,3150,20309,11317,14186,1678,11720,2068,61273
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,35,299,328,26,32,249,969,9,664,47,40,12,12,780,146,1351,355,216,55,27,2146,700,983,722,239,88,32,2765,773,443,707,82,50,18,2076,2104,321,1509,57,153,25,4171,3427,135,2128,51,188,16,5948,2280,44,1099,27,73,6,3528,664,8,272,10,14,4,968,198,4,79,0,4,0,292,51,0,31,0,4,0,89,24,3,6,0,4,0,38,4,0,0,0,0,0,13,14,6,16,0,3,0,41,134,206,174,44,41,33,629,10570,4467,7474,797,720,418,24448
6RTAS,53,343,769,79,474,610,2327,44,657,137,95,64,14,1009,495,1453,935,275,209,54,3421,1873,1181,1667,342,268,74,5402,1711,598,1588,128,186,33,4248,3519,217,2116,33,200,43,6130,2846,52,1431,30,144,24,4517,823,25,317,17,35,5,1218,120,14,60,4,0,0,196,17,4,29,0,0,0,50,9,4,8,0,0,0,19,3,0,8,0,3,0,11,0,0,3,0,0,3,9,9,10,14,0,3,0,40,160,256,284,56,189,47,988,11667,4818,9355,1063,1772,913,29588
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,43,479,182,41,223,172,1139,0,487,11,20,7,6,518,21,531,70,44,29,8,699,44,298,82,35,30,6,494,75,86,135,7,91,0,389,184,152,174,9,756,6,1280,863,103,389,13,325,12,1708,2227,101,951,17,168,21,3486,2526,92,1002,3,128,13,3766,1806,20,537,0,61,7,2421,978,3,248,0,25,5,1261,438,0,90,0,18,3,551,181,10,51,0,9,0,238,203,0,58,0,28,3,294,202,153,142,18,296,28,841,9785,2518,4122,205,2181,286,19096
7RNTE,68,2335,90,668,1513,484,5149,3,732,8,78,249,6,1075,14,750,41,113,275,6,1206,22,401,76,58,256,7,828,46,115,71,66,68,0,371,158,107,99,19,249,3,642,324,53,164,7,79,7,639,635,61,260,6,70,3,1031,465,25,185,4,47,4,728,193,9,62,0,18,0,287,73,4,23,0,5,0,104,31,3,15,0,3,0,54,8,3,3,0,0,0,15,3,0,7,0,17,0,29,53,658,68,139,511,38,1464,2116,5257,1171,1163,3370,563,13639
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,44,560,482,57,57,295,1494,6,1287,17,46,12,7,1374,54,2553,157,91,49,19,2930,146,1259,335,126,49,9,1923,146,524,278,42,80,8,1081,596,604,435,62,481,7,2190,3298,545,1286,112,674,10,5920,9499,575,3375,45,417,41,13954,5664,142,2182,8,197,22,8214,2179,21,695,6,71,7,2981,681,10,281,3,30,0,1001,297,4,119,0,11,0,438,151,0,63,0,8,0,227,214,19,95,3,13,0,342,301,489,305,48,99,47,1285,23285,8581,10100,653,2251,471,45346
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,3,21,23,18,58,34,151,0,12,8,0,13,0,32,16,14,34,0,4,0,73,20,31,32,0,3,0,88,9,20,10,0,0,0,41,16,0,9,0,4,0,31,5,5,12,0,12,0,39,6,3,16,0,3,0,23,3,0,6,0,11,0,18,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,3,11,9,18,0,50,84,116,164,26,132,38,552
