GCCSA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
3GBRI,3194,65413,5911,74523,3690,74919,6921,85533,9382,145230,14454,169060,13379,130551,11937,155864,16194,118952,10837,145989,16044,93992,8706,118736,10219,68310,7616,86138,4354,30306,5188,39855,1187,9722,2766,13676,77644,737403,74339,889380,3542,63240,5273,72056,4830,74365,6011,85209,14930,146800,12441,174171,21909,130328,9831,162065,27009,116681,9384,153071,26429,91246,8376,126053,14819,69271,7977,92065,4835,35902,6908,47651,836,18257,5583,24673,119145,746093,71781,937019,6739,128654,11187,146581,8521,149289,12938,170741,24310,292027,26892,343233,35290,260877,21769,317932,43200,235640,20218,299059,42474,185241,17078,244790,25036,137577,15586,178208,9197,66208,12099,87505,2019,27983,8355,38357,196784,1483489,146122,1826402
3RQLD,3062,64695,8696,76455,3316,61815,8055,73189,8609,122352,16542,147501,12636,122205,15469,150306,16549,128571,16444,161566,17905,117533,14949,150381,12179,95475,13661,121315,5771,43817,9027,58621,1479,12628,3966,18069,81514,769079,106812,957411,3604,61531,7694,72830,4297,60754,6742,71787,14395,125828,13434,153661,21762,124050,12575,158382,28428,127069,13903,169397,30363,111567,13374,155306,17693,90125,13312,121125,6361,46049,10896,63300,1152,21247,6659,29061,128048,768218,98586,994854,6666,126222,16394,149284,7613,122565,14796,144979,23006,248179,29976,301158,34403,246251,28042,308690,44975,255639,30347,330959,48260,229099,28323,305688,29870,185595,26974,242444,12131,89865,19923,121922,2634,33870,10625,47131,209560,1537294,205400,1952257
49499,4,70,18,95,13,115,39,161,26,254,73,349,35,164,88,280,31,147,108,282,23,160,54,239,18,118,36,168,4,31,3,43,3,10,0,13,143,1066,421,1627,4,55,19,80,11,74,20,99,24,149,36,209,16,83,38,140,30,110,51,192,21,121,28,164,17,64,17,97,3,10,3,21,0,8,0,7,127,676,215,1016,9,130,36,173,17,187,61,266,47,403,110,556,48,244,126,421,60,260,159,474,48,278,80,403,28,183,50,271,4,40,9,59,3,13,3,22,265,1740,638,2648
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
4GADE,1753,35789,2946,40489,2289,40437,2771,45495,5590,76588,5897,88071,7926,69777,5278,82983,10996,69059,5388,85442,11762,59185,4723,75675,7279,45371,4369,57017,3350,23603,3501,30457,1175,9368,1828,12371,52123,429177,36695,517997,1922,34355,2610,38894,2894,38715,2425,44039,8918,76172,5147,90237,12565,67396,4313,84275,17364,66722,4556,88637,19349,57962,4738,82047,10582,48156,5070,63808,3836,29311,4892,38044,796,17645,3361,21797,78226,436429,37114,551769,3674,70148,5562,79385,5183,79154,5199,89535,14505,152754,11041,178301,20491,137172,9588,167253,28358,135775,9942,174077,31113,117152,9466,157723,17857,93521,9439,120817,7189,52918,8392,68502,1968,27013,5189,34170,130351,865607,73809,1069769
4RSAU,491,9050,1394,10933,499,8082,981,9562,1378,16244,2233,19858,2044,16667,2210,20921,3064,20843,2479,26390,3700,22039,2517,28251,2644,18877,2614,24131,1204,8925,1813,11942,296,2861,803,3954,15317,123585,17049,155949,601,8444,1154,10195,667,7245,716,8629,2234,15701,1452,19391,3289,16099,1482,20866,4923,19063,1950,25939,5890,19436,2213,27537,3491,17629,2510,23633,1237,9395,2130,12753,229,4801,1302,6336,22567,117812,14908,155286,1090,17494,2547,21132,1168,15328,1695,18193,3612,31948,3691,39251,5335,32764,3688,41789,7990,39907,4434,52332,9590,41473,4734,55791,6133,36506,5123,47762,2437,18320,3944,24701,524,7663,2098,10292,37881,241399,31953,311230
59499,3,58,22,84,11,183,63,254,23,531,219,773,25,365,215,606,35,355,247,638,45,365,130,540,9,286,85,375,4,41,9,58,0,9,3,12,154,2188,990,3336,0,43,19,65,10,172,62,242,21,363,149,534,23,178,104,305,19,204,100,325,37,314,80,442,17,189,54,254,3,21,13,37,0,7,6,11,135,1491,597,2220,0,103,48,151,22,356,129,503,48,891,370,1306,45,541,316,910,51,561,350,957,81,683,212,977,30,468,137,633,11,64,27,98,0,13,11,23,294,3679,1583,5559
59799,0,0,0,0,0,16,0,17,0,94,26,124,4,98,20,120,3,72,16,94,0,36,5,43,0,4,0,8,0,3,0,3,0,3,0,3,17,320,72,408,0,0,0,0,0,4,0,3,0,6,3,6,0,3,0,3,0,3,3,8,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,26,0,0,0,0,0,15,3,20,0,96,29,127,4,103,20,127,4,80,19,105,0,41,5,43,0,4,0,8,0,3,0,3,0,3,0,3,13,338,77,434
5GPER,2286,54286,4818,61400,2861,59684,5807,68351,7465,130850,14883,153198,9926,113871,11680,135474,12750,105113,10197,128061,12830,82323,7986,103140,7973,59384,6632,73986,3817,28249,5042,37102,1133,8909,2632,12680,61047,642674,69668,773386,2688,51658,4384,58729,3628,56656,4804,65083,11816,130015,11650,153484,16217,112102,8814,137133,21265,101196,8177,130632,22161,80389,7278,109824,12092,59181,7110,78385,4483,33579,6840,44899,835,16134,5001,21972,95186,640909,64056,800146,4980,105944,9204,120129,6485,116342,10611,133434,19284,260863,26536,306680,26143,225973,20490,272610,34011,206306,18374,258693,34988,162709,15261,212965,20064,118570,13736,152368,8307,61822,11878,82007,1966,25047,7637,34652,156231,1283578,133724,1573536
5RWAU,630,12689,2316,15633,667,11340,1930,13936,1908,29022,5935,36864,2589,29334,5397,37316,3284,30855,5195,39332,3508,27437,4290,35231,2217,19052,3111,24386,921,7899,1872,10696,247,2219,694,3157,15972,169844,30744,216557,751,11368,1956,14085,849,10181,1414,12444,3029,27357,3806,34190,3890,26794,3400,34084,5347,26871,3647,35869,5751,23694,3373,32821,2940,16537,2795,22272,1077,8035,2178,11297,182,3389,1022,4595,23822,154233,23593,201648,1381,24057,4273,29712,1518,21517,3346,26382,4941,56376,9740,71057,6475,56121,8794,71401,8636,57726,8840,75202,9254,51127,7663,68053,5160,35589,5913,46655,2004,15940,4056,21993,429,5609,1712,7752,39790,324075,54339,418207
69499,0,26,3,34,6,35,19,56,9,78,37,120,5,62,31,93,10,44,20,77,3,44,7,52,4,31,10,48,0,7,6,8,0,0,0,0,33,321,130,481,0,25,7,33,5,22,7,29,4,54,12,69,6,43,8,54,7,39,17,59,12,40,6,56,4,24,11,38,0,5,0,5,0,0,0,0,36,258,61,350,0,55,9,62,8,61,20,90,11,125,44,183,10,101,36,147,16,85,35,135,16,85,14,113,5,60,20,84,0,7,4,12,0,0,0,3,72,580,189,835
69799,0,0,0,0,0,4,0,6,0,15,4,15,0,3,3,5,0,12,0,10,0,3,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,39,7,49,0,0,0,0,0,4,0,4,0,3,0,3,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,18,0,0,0,0,0,8,0,8,0,21,4,23,0,3,3,5,0,11,0,15,0,8,0,12,0,3,0,7,0,0,0,0,0,0,0,0,0,56,8,73
6GHOB,277,6075,531,6880,338,6201,548,7088,843,11961,1143,13947,1173,11062,938,13171,1758,11487,1037,14285,2025,10971,1090,14085,1280,8316,990,10584,578,4092,720,5388,196,1432,279,1906,8459,71604,7267,87329,343,5785,559,6684,442,6049,465,6952,1400,12248,891,14541,1986,11579,844,14411,2903,11521,889,15312,3337,10972,1050,15358,1841,8681,1079,11598,652,5024,1026,6703,126,2688,558,3368,13027,74554,7350,94929,616,11859,1095,13565,780,12254,1012,14042,2237,24210,2035,28485,3158,22643,1782,27577,4668,23008,1927,29598,5361,21942,2134,29440,3117,16999,2066,22183,1227,9121,1743,12093,319,4120,833,5275,21486,146154,14620,182260
6RTAS,341,7693,1013,9049,396,7083,657,8144,958,12168,1132,14256,1465,12625,1232,15328,2179,15706,1635,19526,2745,16368,1812,20926,1903,13497,2049,17444,807,6165,1304,8281,178,1774,492,2440,10975,93082,11332,115389,373,7124,897,8395,511,6514,562,7579,1745,12233,1103,15080,2635,12957,1171,16761,3769,15471,1537,20777,4477,15414,1778,21667,2563,13001,2098,17663,771,6820,1631,9219,151,3161,739,4046,16995,92694,11513,121201,717,14817,1914,17443,905,13599,1220,15724,2701,24398,2232,29338,4102,25584,2409,32094,5951,31180,3170,40297,7221,31781,3586,42594,4464,26492,4148,35104,1578,12982,2938,17500,326,4939,1228,6490,27972,185775,22845,236592
79499,0,15,4,16,0,64,38,98,5,126,85,219,12,118,84,215,15,141,105,257,14,151,63,229,7,129,35,174,0,12,12,20,0,0,0,0,53,762,428,1240,0,16,0,17,3,45,40,85,10,141,86,239,16,94,67,180,16,110,77,203,19,142,50,212,9,76,24,105,0,5,5,10,0,0,0,0,75,628,343,1043,0,25,8,32,7,105,73,183,17,267,171,457,26,210,156,396,27,253,179,461,32,298,106,438,16,202,59,278,0,24,15,38,0,0,0,0,124,1388,770,2281
79799,0,0,0,0,0,4,0,4,0,18,5,23,0,12,7,16,0,5,4,11,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,33,17,61,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,3,9,0,0,0,0,0,4,0,3,0,20,3,30,0,12,10,19,0,4,4,9,0,0,5,3,0,0,0,0,0,0,0,3,0,0,0,0,5,39,27,72
7GDAR,177,3230,630,4039,189,4141,873,5198,580,11004,2467,14046,724,8875,1874,11472,737,7776,1575,10094,577,5733,1120,7434,342,3063,617,4021,113,927,203,1246,27,188,52,273,3472,44934,9414,57821,189,2848,522,3560,221,3541,587,4355,852,10364,1596,12810,1119,8061,1130,10315,1137,6734,993,8858,891,4865,853,6612,454,2460,482,3393,113,924,183,1226,14,281,61,356,4993,40078,6414,51481,366,6080,1151,7600,414,7682,1453,9555,1435,21362,4069,26858,1844,16937,3003,21789,1872,14505,2570,18951,1464,10600,1977,14042,792,5524,1103,7413,231,1847,391,2470,45,471,114,626,8460,85010,15824,109301
7RNTE,300,2315,805,3420,320,2440,788,3544,711,5449,1537,7695,623,4408,1113,6143,576,4215,1091,5881,368,3287,780,4439,160,1548,412,2119,52,437,134,624,9,88,21,116,3113,24187,6685,33985,312,2039,673,3023,400,2356,598,3357,988,5675,1326,7988,930,4373,985,6283,854,4185,966,6009,568,3107,689,4366,221,1304,326,1852,60,460,115,639,13,134,45,192,4353,23638,5734,33722,610,4353,1483,6446,715,4795,1387,6905,1701,11126,2860,15691,1554,8783,2097,12427,1432,8401,2057,11887,939,6392,1471,8810,376,2857,741,3969,112,899,251,1266,15,225,66,310,7460,47827,12414,67701
89499,0,10,3,16,0,33,6,36,5,50,12,63,6,44,22,67,10,20,16,43,3,19,19,38,0,14,4,15,0,3,0,5,0,0,0,0,28,189,81,297,3,9,4,20,0,30,8,42,4,36,3,44,3,28,9,40,6,17,3,26,6,25,10,34,0,5,0,9,0,4,0,4,0,3,0,3,20,153,32,209,3,21,10,35,4,63,9,79,6,84,15,108,9,70,30,107,10,35,23,68,11,40,22,78,3,20,4,24,0,4,0,8,0,3,0,3,49,343,118,506
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,516,11058,772,12350,645,14058,1124,15829,1810,28074,2482,32368,2630,24272,1969,28875,3266,20090,1607,24959,3081,15542,1237,19870,1969,10903,1052,13929,874,4809,760,6436,251,1650,422,2316,15046,130457,11433,156932,637,10759,725,12124,864,13655,1006,15525,2674,28853,2117,33639,3808,24021,1592,29423,4917,19655,1388,25955,4808,15389,1364,21558,2918,11418,1159,15503,1006,5901,1004,7913,217,2686,937,3839,21853,132335,11294,165485,1156,21816,1499,24468,1512,27707,2131,31354,4484,56925,4604,66008,6445,48297,3560,58298,8178,39744,2994,50915,7894,30928,2606,41426,4889,22323,2215,29428,1877,10714,1763,14352,464,4334,1361,6155,36896,262789,22726,322415
99499,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,4,0,0,0,3,0,3,0,3,0,4,0,6,0,0,0,0,0,0,0,0,3,12,3,21,0,0,0,3,0,4,0,4,0,0,0,0,4,0,0,5,0,4,0,4,0,3,0,4,0,5,0,6,0,0,0,0,0,0,0,0,5,23,4,30,0,0,4,3,0,3,4,10,0,0,0,0,3,5,0,5,0,5,0,9,3,8,0,11,0,10,0,13,0,0,0,0,0,0,0,0,5,35,8,46
99799,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
