GCCSA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
3GBRI,182209,11568,12689,1950,400,208811,252914,13703,14383,377,491,281867,100177,33004,46325,266,779,180552,12569,5629,7560,46,50,25863,32069,7027,10646,187,312,50233,1017,1345,1579,20,60,4016,4723,1450,1164,1329,119,8791,2164,466,595,37,32,3300,152718,48925,67872,1887,1348,272751,2553,2190,1801,62,57,6656,12553,2842,2924,386,662,19374,602947,79224,99677,4661,2959,789464
3RQLD,220771,19188,14893,6500,1241,262592,248387,15588,10540,1057,999,276576,98679,34221,37571,404,782,171663,14696,6580,5560,43,124,27001,44098,9554,9912,623,572,64760,1835,1464,1309,15,39,4661,12799,2085,2044,2005,423,19352,4505,696,762,221,113,6297,176604,54598,57159,3317,2045,293727,4584,2919,1076,209,125,8912,16356,3461,3432,1077,1235,25567,666707,95759,87105,12156,5646,867368
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,128613,16398,5112,640,298,151060,155312,18452,5237,186,459,179648,35645,17869,13716,116,205,67555,9865,12182,3920,15,56,26038,23208,7891,5695,140,175,37106,1803,2471,1166,9,19,5472,2598,773,668,193,39,4264,1236,503,261,12,15,2022,74356,41694,25434,485,498,142460,2657,3796,1274,16,70,7806,7314,2659,1250,60,180,11468,368244,83001,38308,1383,1509,492448
4RSAU,51139,1723,398,916,298,54472,43800,1594,170,229,226,46020,11476,2364,1329,39,63,15274,3600,3146,792,0,19,7555,9382,778,334,99,104,10705,683,439,181,0,5,1306,2747,309,134,177,83,3447,1170,146,54,31,33,1427,29050,7189,2825,348,305,39717,1396,489,99,36,17,2037,3167,509,205,117,97,4094,128558,11510,3691,1637,946,146344
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,162697,23517,5953,1215,255,193636,249657,30518,8348,283,471,289273,56370,25858,18016,111,282,100638,7506,9072,3091,8,34,19710,35245,11752,5414,123,164,52694,785,1305,743,13,16,2861,3623,1152,612,293,66,5750,1818,654,252,26,21,2770,105341,49804,28122,576,582,184428,2749,3008,1501,30,38,7319,10392,3307,1500,135,292,15620,530833,110149,45419,2234,1636,690280
5RWAU,48782,1738,309,2219,372,53415,52665,1254,194,367,258,54741,15862,3174,1145,61,63,20309,8049,2572,590,40,69,11317,12548,1066,268,203,103,14186,911,466,258,28,14,1678,9344,1085,476,641,178,11720,1728,155,59,81,43,2068,48440,8514,2800,1045,468,61273,1232,329,156,104,37,1864,3873,568,205,344,208,5197,154990,12408,3661,4089,1343,176495
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,26298,812,944,113,39,28213,28489,725,797,71,55,30136,6676,1321,2494,44,36,10570,2743,780,932,0,3,4467,5261,755,1344,63,44,7474,336,222,229,0,0,797,451,95,141,27,7,720,310,47,57,6,0,418,15784,3220,5202,149,96,24448,453,132,153,3,3,744,1598,203,234,25,34,2092,72613,5099,7335,356,224,85630
6RTAS,40060,1109,530,380,153,42230,34982,536,290,135,137,36082,8776,1483,1295,60,46,11667,2960,1256,596,3,8,4818,7798,790,616,92,58,9355,484,372,197,3,7,1063,1352,181,128,88,26,1772,742,82,58,22,6,913,22119,4166,2890,269,145,29588,713,157,42,12,10,931,2508,317,176,55,52,3110,100385,6282,3927,848,504,111949
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,5545,459,712,438,37,7193,12066,1022,1883,99,45,15110,3777,1469,4468,38,31,9785,1201,614,687,7,9,2518,2155,640,1237,50,34,4122,114,51,34,0,3,205,1326,144,580,88,41,2181,158,37,72,11,8,286,8728,2956,7086,200,129,19096,129,37,37,17,10,226,765,166,350,100,38,1420,27239,4646,10062,850,256,43043
7RNTE,2018,147,29,508,62,2760,3375,513,48,154,40,4133,1008,782,270,46,13,2116,4265,681,244,49,25,5257,741,230,89,85,35,1171,991,98,38,12,23,1163,2127,507,481,206,49,3370,426,72,22,30,12,563,9550,2363,1145,430,155,13639,247,29,8,51,9,348,676,149,81,174,44,1130,15862,3206,1308,1323,315,22013
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,31620,4906,1906,72,50,38555,42660,7688,4421,26,31,54832,7824,6017,9377,7,62,23285,4470,2469,1621,3,17,8581,4923,2434,2688,8,47,10100,231,230,179,3,17,653,1452,382,365,47,13,2251,284,112,70,0,0,471,19182,11634,14303,69,156,45346,334,387,223,0,7,952,1724,661,551,22,24,2984,95520,25278,21404,187,271,142664
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,349,14,27,3,3,401,279,11,11,0,3,299,73,0,5,3,0,84,57,26,30,0,0,116,130,16,13,3,0,164,26,0,0,0,0,26,94,16,25,0,0,132,30,0,3,0,0,38,412,58,72,10,5,552,44,0,0,3,0,48,42,4,8,3,3,58,1130,87,115,12,16,1360
