GCCSA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
3GBRI,512,387,269,160,160,87,144,6864,91,1357,1906,1018,204,168,260,234,73,123,148,190,177,109,301,6357,4,43,43,74,128,551,1394,846,192,203,206,246,373,334,416,5053,0,0,0,30,159,760,2510,3450,652,747,746,702,970,770,701,12202,0,21,48,229,175,165,142,81,24,7,22,16,14,14,30,975,16,12,363,936,1292,1683,1658,1667,314,359,427,585,679,472,307,10765,6,320,267,139,75,32,40,15,0,9,6,3,3,3,26,939,4,1749,1612,648,729,355,531,355,52,82,60,71,71,52,207,6579,99,237,868,4436,14055,17854,25627,19371,4712,4872,3751,2735,2379,1298,3757,106053,0,5,4,37,81,130,616,750,207,274,395,347,340,236,95,3504,3,6,37,228,1967,4366,3260,5240,1022,961,923,856,877,458,589,20797,7,276,145,127,806,696,317,238,53,55,58,38,63,20,85,2977,12,12,87,421,384,558,1032,749,142,173,203,269,293,287,158,4774
3RQLD,255,289,149,120,100,65,149,4440,175,1750,1908,853,180,142,211,236,53,109,118,148,163,95,420,6573,3,43,24,73,165,1186,2284,1302,262,267,250,272,323,311,536,7319,0,0,0,17,115,431,1172,1505,285,339,365,370,584,437,457,6090,6,21,48,129,84,51,29,13,6,3,5,8,9,5,16,443,23,23,309,547,570,481,588,532,92,145,136,146,180,116,169,4058,26,680,427,206,80,39,15,17,0,8,0,3,3,3,57,1554,10,2121,1802,800,770,360,625,381,53,63,46,56,64,41,214,7396,110,293,1406,6197,15302,16479,21120,15571,3916,3472,2624,1958,1593,1021,3521,94573,0,5,12,15,31,43,168,223,78,125,129,116,101,76,41,1162,4,6,37,194,1765,3090,2569,4523,1013,1178,1102,1137,1013,510,654,18805,3,185,172,118,530,338,215,211,31,41,35,39,45,7,64,2037,10,9,90,309,203,244,401,219,46,48,57,72,78,56,82,1924
49499,4,0,0,0,5,3,0,15,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,4,11,13,5,7,0,4,0,0,0,0,16,59,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,12,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,159,136,78,45,24,24,78,2895,151,4191,7929,2888,404,214,218,165,38,90,88,93,92,55,777,17398,0,23,12,26,36,153,375,285,68,57,48,70,89,99,85,1418,0,0,5,15,104,199,688,1274,250,232,174,153,180,133,108,3522,11,52,84,321,287,217,234,113,18,33,20,27,19,19,42,1495,10,10,126,489,749,1022,1088,1299,300,351,369,445,552,471,183,7465,6,435,455,194,74,39,17,10,0,4,0,0,0,0,53,1283,10,1261,2042,518,283,87,207,156,34,29,28,22,16,23,139,4863,43,95,282,1038,2062,1947,1860,1042,264,298,194,161,156,99,342,9882,0,3,12,11,16,40,327,647,239,332,500,398,469,184,79,3262,0,8,16,84,839,1836,1462,2687,479,548,555,543,599,265,267,10204,13,507,438,264,1360,1331,353,187,23,35,34,36,27,6,140,4748,3,8,66,203,240,251,440,393,72,79,122,149,169,145,64,2403
4RSAU,18,14,10,5,6,7,21,387,17,254,521,150,21,16,7,7,3,3,9,19,10,15,75,1127,0,6,0,4,0,12,25,18,5,8,4,6,11,0,8,100,0,0,0,0,11,17,16,25,3,3,8,8,16,17,14,150,4,0,0,12,7,6,3,11,3,0,0,0,0,0,3,45,6,0,17,44,34,21,39,56,16,10,5,3,13,4,13,274,0,50,33,31,3,3,0,0,0,0,0,0,0,0,6,129,7,578,672,177,88,13,62,47,4,0,7,3,3,0,48,1718,9,15,85,325,623,479,562,343,109,67,76,49,67,25,158,2991,0,0,0,0,0,3,8,23,10,26,30,25,29,4,15,177,0,0,5,11,161,201,234,556,140,180,205,212,143,75,119,2246,0,39,32,22,39,35,12,11,0,0,3,3,0,0,10,205,0,0,8,18,12,5,19,5,0,0,0,0,0,4,6,84
59499,3,3,0,0,3,9,0,49,0,0,4,0,0,0,0,0,3,0,0,3,10,4,8,33,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,18,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,0,3,3,4,4,8,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,7,0,3,0,3,0,0,0,0,0,9,4,0,34,0,0,0,22,32,36,33,43,13,17,8,6,3,4,42,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,3,0,5,0,0,3,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12
59799,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,3,3,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1796,2007,972,500,400,172,366,16115,151,4206,5359,2999,646,345,443,535,189,385,465,416,322,128,873,17461,0,24,31,53,118,503,1158,724,143,177,181,228,250,151,198,3961,0,0,0,22,253,364,1055,1768,431,437,482,428,469,264,334,6310,3,7,29,183,174,229,156,102,16,20,28,20,16,15,40,1026,56,72,423,1794,3411,6155,4445,4822,1005,1165,1153,1057,1126,734,799,28224,4,210,190,161,71,51,33,28,4,6,0,4,4,0,18,791,12,2749,960,714,722,365,562,453,98,126,109,98,71,35,217,7285,45,104,521,3004,7375,10036,10549,11940,4264,4596,2916,1795,1407,675,2092,61326,0,19,29,110,92,211,525,1146,379,545,575,617,449,304,135,5133,0,5,13,133,1038,2087,1940,7807,2236,2543,1976,1626,1661,960,594,24624,14,381,185,175,1635,1252,362,377,92,116,140,119,97,35,136,5129,44,73,238,1025,1585,2340,3632,2529,403,446,448,495,524,340,348,14465
5RWAU,166,240,115,54,34,19,69,1868,38,556,466,200,29,22,36,50,13,21,41,46,36,25,117,1714,0,4,0,6,3,17,75,66,15,13,20,18,23,5,56,322,0,0,0,0,31,19,63,111,10,23,26,23,93,61,87,534,0,3,5,18,5,20,6,5,0,0,0,3,0,0,6,73,4,12,53,114,121,132,112,126,14,23,27,29,18,15,60,865,0,27,36,24,4,0,0,4,0,0,0,0,0,0,4,108,0,689,285,188,183,81,125,101,13,15,26,13,22,4,61,1809,10,42,140,1015,2498,2855,3110,3452,995,1058,622,456,361,139,835,17588,0,3,7,9,7,9,24,78,16,38,42,29,12,11,13,297,0,3,0,14,238,353,395,1956,449,637,618,491,544,269,215,6187,0,106,31,25,117,44,33,38,6,7,3,3,7,0,14,441,5,8,24,70,69,65,102,75,5,12,7,21,3,0,30,507
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
