GCCSA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
5GPER,4,52,28,159,161,305,545,670,250,2177,63,263,987,2638,664,712,321,152,35,5839,860,3069,4783,25033,4629,3293,2932,1478,587,46667,139,738,1540,4954,1358,898,603,249,86,10569,58,399,507,3036,735,457,253,103,44,5593,70,308,456,1518,601,254,89,26,8,3328,127,1148,824,8318,1774,1567,1348,761,252,16115,47,235,369,2163,1314,2471,4689,4219,1956,17461,90,300,325,2108,630,244,167,65,21,3961,96,388,799,3986,628,288,84,33,7,6310,9,44,64,344,202,191,118,46,7,1026,229,1398,3884,10253,4056,4126,2844,1161,270,28224,0,6,14,60,80,209,259,131,25,791,31,237,502,1865,610,557,382,176,73,4431,20,240,740,2597,1515,1423,920,584,238,8279,33,118,490,1688,104,33,10,0,0,2483,28,215,213,962,745,1025,2294,1213,595,7285,734,5424,6847,22888,11408,8922,3767,1087,251,61326,19,133,176,1032,629,534,643,347,105,3615,190,599,761,2872,343,221,113,31,11,5133
5RWAU,0,0,3,11,16,35,37,35,5,133,0,9,29,154,37,40,4,3,3,273,64,189,127,1562,271,186,160,98,30,2679,29,75,70,390,126,49,33,19,12,803,0,10,14,166,19,6,5,3,0,219,0,6,11,48,21,8,3,8,0,102,9,115,97,962,186,187,191,93,29,1868,3,19,48,223,100,192,486,424,211,1714,8,31,27,186,46,16,10,5,3,322,10,20,102,360,30,13,3,0,0,534,0,0,0,20,24,13,8,4,0,73,3,24,53,357,161,162,66,38,3,865,0,0,0,4,13,28,44,13,0,108,0,4,6,61,34,28,11,7,3,164,0,13,55,172,79,56,20,20,8,425,0,15,3,109,8,0,3,0,0,142,0,21,33,225,178,311,691,230,99,1809,157,1160,1491,6285,3718,3226,1185,303,56,17588,0,8,19,132,95,109,111,51,14,539,13,41,14,179,27,11,7,7,3,297
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,7,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,4,12,27,32,74,109,118,30,399,0,11,62,110,31,43,27,4,0,298,20,81,165,734,99,49,58,29,12,1260,0,10,24,57,27,9,25,12,3,172,7,54,72,118,13,18,9,0,0,305,3,18,6,35,3,5,0,0,0,67,3,26,14,94,54,59,40,38,11,347,0,6,7,45,28,81,121,147,82,519,3,26,31,128,35,18,11,3,5,270,8,23,62,179,56,28,8,3,0,370,0,0,0,16,14,10,14,0,0,50,7,14,288,260,82,86,52,26,6,811,0,0,0,4,3,19,15,7,3,43,0,0,3,4,3,3,7,0,0,24,0,4,21,49,15,21,7,3,0,128,19,106,184,169,6,3,0,0,4,498,0,10,13,62,57,135,295,157,58,783,22,107,118,585,385,393,240,85,23,1959,0,0,3,15,19,25,53,21,7,140,6,43,27,145,8,4,0,5,0,235
6RTAS,0,3,4,3,5,13,31,22,0,82,3,6,26,53,23,33,9,4,0,160,16,42,64,357,88,65,43,29,9,716,3,15,15,64,25,13,21,5,9,170,34,119,30,40,20,3,6,0,0,255,5,0,0,22,3,0,3,0,0,31,0,17,11,66,44,60,74,48,6,329,0,3,3,22,18,52,96,94,41,326,4,8,17,63,22,11,13,3,3,139,3,23,51,108,23,14,3,3,0,220,0,0,0,4,11,3,0,0,0,27,17,23,264,147,48,59,26,8,0,599,0,0,0,0,13,19,26,12,0,71,0,0,3,13,3,10,5,0,0,34,0,31,27,82,18,3,4,3,0,165,18,105,135,47,6,3,0,0,0,315,0,9,26,90,103,240,557,288,96,1406,17,122,190,731,621,684,450,147,37,2999,0,4,0,22,27,24,71,27,10,196,10,23,12,43,10,3,3,0,0,110
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,3,0,0,7,3,0,16,0,0,0,18,12,14,17,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,16,101,117,313,143,216,206,108,20,1234,0,3,22,81,34,50,23,8,3,228,89,225,238,1691,222,137,61,23,10,2697,23,74,125,461,168,86,63,10,0,1002,7,12,6,100,7,3,0,0,0,129,0,0,0,11,0,0,0,0,0,13,13,39,46,645,37,37,39,15,5,869,0,12,19,98,30,58,73,63,12,364,31,49,13,193,66,15,6,4,0,393,10,24,37,212,27,6,0,0,0,321,0,0,6,21,6,0,0,0,0,44,8,34,35,240,102,97,66,47,0,619,0,0,0,5,8,3,5,7,0,25,0,4,3,27,11,7,0,3,0,49,3,5,15,98,30,12,3,9,0,175,10,49,197,694,23,14,3,0,0,995,0,8,4,62,42,46,86,23,3,282,31,139,218,1011,606,589,241,62,11,2896,3,7,11,61,18,14,16,7,5,132,11,29,34,194,27,17,3,0,0,312
7RNTE,0,0,0,9,0,5,7,3,0,37,0,0,4,37,5,5,0,0,0,63,25,89,33,606,77,46,10,8,0,893,0,3,10,49,18,3,3,0,0,87,0,0,3,15,4,0,0,0,0,26,0,0,3,10,4,0,0,0,0,19,0,3,10,73,13,13,19,3,0,139,3,0,7,42,12,12,30,17,7,128,0,0,8,49,9,3,0,0,0,72,0,0,21,54,3,0,0,0,0,82,0,0,0,0,4,0,0,0,0,3,0,0,7,32,17,24,0,0,0,79,0,0,0,0,3,6,0,0,0,6,0,0,5,8,8,3,0,0,0,16,0,0,0,21,3,0,0,0,0,22,3,9,15,99,3,0,0,0,0,130,0,0,7,36,13,31,26,14,8,121,38,155,169,545,307,325,112,21,3,1668,0,5,3,12,11,3,4,0,0,34,0,4,3,29,5,3,0,0,0,39
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,3,12,27,66,76,154,299,269,67,978,21,66,305,626,233,278,101,32,13,1681,218,713,805,6672,906,567,321,151,48,10405,33,129,142,642,140,96,68,31,16,1296,4,54,51,477,110,83,41,12,6,841,10,49,64,240,84,51,30,4,3,536,9,89,30,287,121,106,106,77,17,843,4,18,39,192,201,349,540,406,191,1938,22,78,114,317,122,62,40,19,10,791,20,149,404,1309,232,106,36,18,3,2283,3,16,19,127,90,64,56,19,11,400,23,99,347,854,438,355,210,87,19,2431,0,3,5,30,16,59,112,42,13,285,6,20,27,143,49,31,21,3,0,288,0,13,48,260,113,70,56,29,9,610,11,54,99,521,40,23,9,0,0,761,13,27,34,124,89,186,330,157,75,1037,52,342,540,1590,896,724,388,136,54,4722,0,8,8,58,67,84,61,39,10,331,76,203,256,1171,181,67,28,6,3,1993
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,10,0,0,0,4,0,0,3,0,0,11,0,0,0,9,0,3,0,0,0,14,0,0,11,22,0,0,0,0,0,31,0,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,5,11,5,124,69,83,71,15,0,390,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,12,3,13,75,84,92,57,26,4,362,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8
