GCCSA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
49499,1734,1129,2863,50,43,91,56,68,129,95,80,173,161,99,266,349,209,556,280,140,421,282,192,474,239,164,403,168,97,271,43,21,59,13,7,22,0,0,0,1734,1129,2863,136,114,246,4,0,4,4,0,4,141,114,249,1137,748,1886,366,235,605,1167,769,1933,196,150,347,1152,788,1941,3,4,11,42,55,90,39,42,85,20,22,42,47,49,97,462,378,845,220,130,352,291,184,475,120,61,178,96,49,143,20,10,30,0,0,0,0,0,0
49799,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,0,0,4,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,107,219
4GADE,633888,661823,1295714,39238,36906,76145,76657,73146,149800,40489,38894,79385,45495,44039,89535,88071,90237,178301,82983,84275,167253,85442,88637,174077,75675,82047,157723,57017,63808,120817,30457,38044,68502,12371,21797,34170,602530,634910,1237445,31363,26910,58272,8450,8888,17339,324,321,645,201,214,416,8977,9426,18403,434535,449707,884250,164565,176489,341062,478987,498145,977128,122891,132244,255134,536690,560730,1097418,6896,6749,13642,71117,67875,138989,31300,31434,62736,18454,20719,39174,21571,32130,53697,263372,288239,551611,89672,84793,174471,75769,79758,155530,25322,26292,51614,23610,29257,52867,4686,6050,10741,586736,614478,1201217,38904,42136,81036
4RSAU,190368,187706,378074,10628,10211,20840,23789,22211,46004,10933,10195,21132,9562,8629,18193,19858,19391,39251,20921,20866,41789,26390,25939,52332,28251,27537,55791,24131,23633,47762,11942,12753,24701,3954,6336,10292,176372,175503,351874,13999,12199,26194,7512,7520,15030,148,141,286,108,103,207,7770,7755,15530,154890,151524,306411,20682,21748,42430,166487,165980,332472,9253,9378,18630,168369,167770,336146,1850,1735,3590,21424,20036,41462,7183,7253,14438,1115,1786,2902,2277,5294,7567,46690,57277,103964,34530,31688,66211,33084,29903,62992,12234,10313,22552,11798,10548,22349,785,558,1348,168627,169071,337695,23006,17255,40265
59499,3532,2415,5950,81,79,161,120,120,237,84,65,151,254,242,503,773,534,1306,606,305,910,638,325,957,540,442,977,375,254,633,58,37,98,12,11,23,0,0,0,3532,2415,5950,324,237,563,6,6,11,7,3,12,341,247,587,2138,1378,3512,851,634,1484,2258,1559,3819,305,281,585,2133,1447,3584,9,9,17,93,88,186,26,23,53,28,37,67,71,72,145,1035,875,1909,312,183,488,715,434,1144,179,85,262,100,46,142,25,12,33,0,0,0,0,0,0
59799,408,26,434,0,0,0,0,0,0,0,0,0,17,3,20,124,6,127,120,3,127,94,8,105,43,7,43,8,0,8,3,0,3,3,0,3,397,27,418,8,5,15,3,0,3,0,0,0,0,0,0,10,0,10,177,16,193,164,9,168,288,14,309,51,3,53,250,20,272,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,199,14,215,45,0,44,84,5,84,13,0,13,8,0,8,0,0,0,0,0,0,3004,668,3668
5GPER,963536,980326,1943858,65040,61672,126713,125113,118507,243617,61400,58729,120129,68351,65083,133434,153198,153484,306680,135474,137133,272610,128061,130632,258693,103140,109824,212965,73986,78385,152368,37102,44899,82007,12680,21972,34652,907598,943036,1850635,55939,37288,93225,14970,14849,29824,394,336,728,331,332,664,15704,15518,31214,553138,560148,1113290,345029,357510,702545,709057,719772,1428821,188965,202000,390963,750315,770916,1521235,13015,12544,25558,115547,109409,224959,45854,46125,91977,24565,25479,50041,29869,44738,74607,419256,450234,869491,75083,73310,148395,150822,149341,300162,33533,32162,65691,22310,25711,48020,4724,5636,10358,870968,905217,1776178,68612,66938,135556
5RWAU,270936,253230,524167,18037,16823,34861,36347,34759,71105,15633,14085,29712,13936,12444,26382,36864,34190,71057,37316,34084,71401,39332,35869,75202,35231,32821,68053,24386,22272,46655,10696,11297,21993,3157,4595,7752,248699,236924,485631,22239,16301,38540,21135,21396,42537,365,322,686,474,473,944,21977,22198,44169,193393,182469,375860,47572,45924,93497,219403,208689,428090,21782,21956,43732,219601,209989,429591,3236,3052,6285,31884,30527,62402,9252,8893,18141,1291,1834,3123,3652,8117,11763,76852,85186,162038,25652,24289,49946,60279,50269,110543,13344,10275,23623,8940,7132,16077,1045,876,1913,219284,221838,441124,85677,44406,130082
69499,524,393,912,27,20,40,16,22,36,34,33,62,56,29,90,120,69,183,93,54,147,77,59,135,52,56,113,48,38,84,8,5,12,0,0,3,0,0,0,524,393,912,34,22,54,4,0,4,3,0,3,34,22,55,376,286,659,72,66,139,378,300,680,31,31,67,363,301,666,3,9,11,12,18,33,10,21,28,4,6,9,15,15,28,141,149,296,32,24,62,121,85,209,37,23,51,19,13,34,0,0,3,0,0,0,0,0,0
69799,49,21,68,0,0,0,0,0,0,0,0,0,6,4,8,15,3,23,5,0,5,10,3,15,8,4,12,4,3,7,0,0,0,0,0,0,46,18,65,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,16,49,15,3,18,37,18,60,9,0,10,34,19,51,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,18,11,25,8,4,10,16,4,22,0,0,0,0,0,0,0,0,0,0,0,0,471,218,691
6GHOB,107930,114422,222356,6666,6338,12995,13936,13158,27099,6880,6684,13565,7088,6952,14042,13947,14541,28485,13171,14411,27577,14285,15312,29598,14085,15358,29440,10584,11598,22183,5388,6703,12093,1906,3368,5275,101488,108149,209633,6444,6274,12719,3817,3898,7715,231,222,451,178,193,367,4225,4309,8534,86306,91182,177488,14735,15934,30671,93339,99040,192382,7984,9009,16993,95080,101548,196624,989,1045,2031,12896,12147,25047,5131,5088,10226,2589,2692,5274,3544,5371,8910,39843,44661,84508,7263,8026,15286,23030,24212,47241,5993,6233,12222,3534,3962,7498,415,430,847,98328,104578,202902,8322,8390,16715
6RTAS,140977,145646,286627,7854,7575,15434,17733,16868,34604,9049,8395,17443,8144,7579,15724,14256,15080,29338,15328,16761,32094,19526,20777,40297,20926,21667,42594,17444,17663,35104,8281,9219,17500,2440,4046,6490,130902,136557,267452,10078,9090,19171,6735,7065,13802,342,317,662,241,276,520,7319,7662,14983,114818,118475,233293,14847,15562,30416,126591,130708,257298,4866,5355,10224,126057,130448,256509,1257,1141,2403,16004,15229,31229,6108,5961,12069,1710,1936,3643,2683,5016,7701,34218,41724,75935,9896,11398,21287,41283,39170,80451,11578,10748,22319,6826,6097,12926,503,502,1003,126517,131286,257805,11595,11490,23085
79499,1332,1157,2489,45,34,81,48,76,123,16,17,32,98,85,183,219,239,457,215,180,396,257,203,461,229,212,438,174,105,278,20,10,38,0,0,0,0,0,0,1332,1157,2489,381,297,683,5,4,11,4,3,7,394,305,696,750,630,1379,191,209,402,720,642,1364,234,218,455,945,813,1750,0,0,4,33,44,84,14,9,18,18,3,21,20,16,33,304,348,654,97,78,170,262,175,434,81,60,144,80,44,124,15,7,19,0,0,0,0,0,0
79799,61,14,70,0,0,0,0,3,3,0,0,0,4,0,3,23,3,30,16,0,19,11,0,9,3,0,3,0,0,0,0,3,3,0,0,0,61,14,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,47,3,53,16,10,27,37,3,37,11,7,21,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,42,3,42,0,3,6,5,3,8,8,0,8,0,0,0,0,0,0,0,0,0,185,68,252
7GDAR,71889,64939,136828,5137,5018,10155,8931,8444,17377,4039,3560,7600,5198,4355,9555,14046,12810,26858,11472,10315,21789,10094,8858,18951,7434,6612,14042,4021,3393,7413,1246,1226,2470,273,356,626,67703,61814,129513,4189,3126,7314,5448,5080,10533,278,235,509,466,459,923,6186,5771,11960,45391,40447,85840,17484,17493,34979,48748,44199,92942,13639,14079,27712,53998,49721,103721,908,917,1822,7816,7406,15222,2514,2377,4895,890,1157,2052,2367,4279,6649,26831,28033,54868,7133,5570,12697,10336,7759,18097,2340,1911,4245,1734,1658,3390,315,359,670,59309,57794,117096,18870,11348,30210
7RNTE,45287,44157,89443,3829,3572,7398,7481,6863,14346,3420,3023,6446,3544,3357,6905,7695,7988,15691,6143,6283,12427,5881,6009,11887,4439,4366,8810,2119,1852,3969,624,639,1266,116,192,310,42233,41181,83416,3056,2971,6028,22060,22533,44595,117,109,226,373,391,764,22547,23040,45590,35530,34767,70296,4913,5057,9970,19714,18588,38304,19154,20193,39350,37382,37091,74478,746,777,1527,6212,5812,12023,1394,1264,2662,192,262,451,859,1695,2548,9866,11526,21396,3849,3887,7736,6591,5961,12547,2728,2492,5224,3631,3460,7091,769,754,1526,37323,37730,75053,15221,12295,27517
89499,312,228,538,5,6,12,10,12,22,16,20,35,36,42,79,63,44,108,67,40,107,43,26,68,38,34,78,15,9,24,5,4,8,0,3,3,0,0,0,312,228,538,13,12,29,0,0,0,0,0,0,15,12,33,209,144,351,58,65,130,190,160,355,42,41,82,208,166,372,3,0,5,10,12,20,3,13,16,17,11,29,20,21,42,120,138,257,11,10,20,63,23,86,17,10,23,8,5,12,3,0,3,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12
8ACTE,195432,201425,396857,13892,12889,26782,24610,23055,47659,12350,12124,24468,15829,15525,31354,32368,33639,66008,28875,29423,58298,24959,25955,50915,19870,21558,41426,13929,15503,29428,6436,7913,14352,2316,3839,6155,185433,191735,377168,9991,9690,19683,3075,3036,6107,88,92,183,91,93,184,3250,3220,6476,133811,135878,269693,50552,54483,105039,142856,145783,288639,41447,45140,86585,165442,170137,335575,2423,2305,4726,23144,21803,44947,9896,9967,19864,7913,8265,16177,9981,12729,22712,109826,113924,223750,7841,7692,15529,19231,22214,41446,5138,5720,10860,3423,4336,7762,615,781,1398,176694,183342,360035,18728,16989,35718
99499,21,28,55,0,0,3,0,3,3,0,3,3,6,4,10,0,0,0,4,5,5,3,4,9,3,4,11,6,6,13,0,0,0,0,0,0,0,0,0,21,28,55,3,0,3,0,0,0,0,0,0,3,0,3,14,15,24,9,17,22,20,21,40,5,10,10,16,19,39,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,16,25,0,3,3,6,10,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
99799,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,17,3,19
9OTER,2432,2090,4523,141,126,261,281,266,543,101,107,205,134,63,199,329,240,566,345,290,633,371,332,707,359,340,701,255,210,463,95,91,182,28,29,51,2289,1962,4253,143,134,273,100,110,212,4,3,13,0,0,3,110,115,226,1300,1202,2504,822,632,1452,871,812,1688,1055,1062,2118,1692,1570,3264,36,30,68,242,222,460,63,63,126,7,10,15,33,54,88,696,762,1457,136,124,258,393,355,744,91,62,151,124,75,198,67,74,144,1710,1738,3448,1086,634,1720
