GCCSA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
3GBRI,64094,804,109,21,7,0,16,7003,72056,68388,5966,2624,603,140,21,46,7424,85209,53728,12603,8699,3064,944,264,141,7046,86492,33084,18394,19354,7172,2439,782,526,5921,87680,17624,13820,26231,11507,3954,1325,984,4601,80046,13620,11965,29432,14482,4964,1664,1376,4508,82021,12120,11074,28891,14878,5297,1732,1369,4501,79858,10420,9236,26076,14756,5381,1792,1296,4242,73211,8444,7661,23419,14952,5776,1763,1159,3931,67104,6691,6272,20467,13559,5599,1653,1031,3678,58942,5138,4958,18640,12877,5517,1699,1054,3426,53313,3550,3195,12275,9674,4528,1643,1151,2731,38754,2376,1821,6954,6717,4117,1867,1422,2368,27648,1621,1303,4187,4426,3049,1564,1603,2256,20001,1886,1864,4838,4606,3184,1682,1797,4820,24673,302802,110930,232192,133300,54897,19458,14990,68446,937019
3RQLD,62408,1137,173,31,20,7,19,9023,72830,52541,7305,3386,853,161,25,49,7467,71787,39316,12934,10507,3973,1191,325,150,7111,75497,22764,15151,20140,9134,3041,1008,632,6294,78159,13035,11329,24859,12900,4897,1623,1225,5595,75472,11162,11043,28770,16011,6192,2087,1631,6015,82915,11404,10874,29530,16736,6482,2170,1698,6391,85294,10987,9946,28386,17423,7113,2286,1529,6435,84100,9828,8497,27148,18461,7653,2326,1466,6393,81760,7920,7204,24785,17092,7187,2191,1340,5817,73541,6473,6143,23287,16360,7098,2287,1374,5644,68658,4533,4096,15910,12950,6388,2335,1578,4672,52467,3003,2491,9089,8996,5656,2482,1960,3803,37488,1885,1669,5150,5672,4132,2075,2006,3217,25810,2126,2335,5658,5384,3813,2102,2300,5352,29061,259383,112166,256784,161987,71012,25331,18954,89235,994854
49499,54,10,0,0,0,0,0,15,80,60,5,7,0,0,0,0,18,99,71,10,3,0,0,0,0,27,118,46,11,9,8,0,0,0,14,93,30,3,13,4,3,3,0,20,80,13,7,7,9,0,0,0,23,61,24,12,16,6,5,3,3,35,96,21,9,23,16,6,3,0,14,91,22,5,19,9,9,0,0,13,81,9,10,32,20,4,0,0,13,82,8,4,28,9,3,3,0,5,68,0,0,5,7,0,0,0,6,27,3,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,7,370,92,180,99,33,16,11,209,1016
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,34671,309,57,20,4,3,12,3820,38894,36802,2502,1039,198,39,5,13,3435,44039,28766,6794,4167,1213,319,79,54,2931,44324,16993,10664,10827,3381,980,319,201,2551,45916,8824,7760,14824,5787,1666,529,391,2069,41853,6837,6684,16594,6999,2155,684,512,1953,42425,6940,6551,17482,7964,2383,658,555,2166,44698,6882,5957,16934,7996,2696,784,538,2156,43942,6189,5411,16724,8402,2852,764,489,2269,43097,5031,4750,15450,7953,2658,709,390,2009,38948,3869,3827,14842,8004,2647,683,413,2039,36325,2419,2293,10459,6845,2492,764,464,1750,27481,1557,1444,6500,5711,2867,1053,707,1533,21370,1041,1174,4226,4234,2541,1075,896,1479,16674,1570,1896,5458,4793,2870,1430,1225,2560,21797,168390,68026,155561,79487,29181,9547,6844,34736,551769
4RSAU,8687,143,22,6,3,0,0,1330,10195,6157,1043,533,94,30,3,7,766,8629,4357,1746,1706,629,200,50,23,700,9415,2258,1817,2973,1524,500,155,89,659,9978,1311,1216,3343,2195,714,231,142,615,9763,1284,1236,3967,2519,934,288,193,686,11099,1480,1363,4380,2935,1074,325,237,841,12640,1607,1368,4567,3114,1092,395,217,936,13304,1521,1295,5041,3292,1296,386,228,994,14052,1345,1147,5020,3245,1301,320,190,930,13492,1046,1001,4950,3381,1317,371,206,978,13245,751,624,3302,2854,1313,416,289,834,10384,452,376,1774,2024,1282,550,365,676,7494,289,233,978,1274,1024,497,439,523,5259,360,369,1169,1305,979,526,570,1058,6336,32918,14965,43742,30389,13042,4505,3200,12521,155286
59499,45,3,0,0,0,0,0,20,65,156,9,6,0,3,0,0,71,242,184,15,8,9,3,3,3,87,309,108,8,22,11,3,0,0,78,230,55,12,16,17,7,0,0,47,155,44,7,24,10,4,3,0,53,147,33,14,20,8,4,3,0,50,137,29,13,52,32,8,3,3,48,185,37,19,65,38,12,11,0,40,216,33,14,56,57,14,6,4,33,218,14,13,67,29,16,8,0,29,176,6,3,23,14,10,3,3,20,83,0,3,3,3,6,4,0,3,24,0,0,3,0,6,0,0,4,15,0,0,0,0,0,0,0,3,11,753,137,375,233,86,37,17,589,2220
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,0,0,0,0,9,26
5GPER,52009,490,61,13,3,9,13,6139,58729,52388,4408,1666,320,71,15,27,6177,65083,47427,11352,7028,2200,555,134,83,6668,75449,29620,17228,17355,5711,1637,478,244,5762,78040,14566,12408,23790,9796,2781,801,525,4204,68877,10475,9913,26110,12100,3708,1125,792,4034,68258,9573,9328,26356,12630,3953,1132,844,3894,67715,8298,7747,23859,12927,4377,1194,829,3681,62922,6807,6432,21711,13051,4570,1257,703,3534,58065,5344,5481,19395,12064,4395,1127,696,3250,51757,3852,4162,17614,11004,4130,1153,641,3085,45643,2454,2519,11244,8552,3628,1087,690,2575,32742,1660,1644,6925,6875,3841,1364,967,2453,25731,1177,1131,4234,4713,3101,1377,1120,2316,19170,1275,1509,4550,4440,3006,1446,1427,4331,21972,246916,95759,211894,116412,43763,13696,9589,62110,800146
5RWAU,11543,274,38,8,3,4,3,2206,14085,8302,1661,760,187,45,9,13,1472,12444,7555,2807,2504,1033,305,89,37,1855,16181,4805,3129,4726,2379,779,206,144,1845,18012,2599,2164,5369,3185,1186,374,263,1555,16706,2152,1956,6023,3510,1353,442,373,1563,17375,2191,1982,6002,3732,1553,523,402,1707,18083,2070,1687,5697,3986,1670,563,394,1718,17783,1699,1422,5624,4185,1886,610,390,1685,17496,1327,1180,4993,3888,1637,543,345,1415,15326,928,834,4309,3390,1530,464,290,1300,13039,579,522,2630,2451,1329,487,295,939,9230,330,299,1349,1754,1233,539,401,792,6701,216,172,712,1067,913,470,411,633,4596,229,220,764,918,783,407,459,803,4595,46523,20314,51503,35660,16198,5730,4217,21503,201648
69499,22,0,0,0,0,0,0,3,33,14,3,4,0,0,0,0,8,29,29,4,0,0,0,0,0,4,38,10,3,5,0,0,0,0,3,29,14,3,7,5,0,0,0,3,30,8,4,0,3,0,0,0,3,24,4,8,4,3,4,0,0,9,29,7,0,7,4,3,0,0,10,36,3,0,6,3,0,0,0,3,25,7,3,6,10,4,0,0,3,30,4,3,11,7,0,0,0,7,31,3,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,34,57,46,20,5,0,56,350
69799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,8,0,0,0,0,18
6GHOB,5852,95,14,0,0,0,0,720,6684,5469,604,243,64,11,3,3,571,6952,4349,1141,835,299,84,24,10,471,7212,2490,1560,1791,714,239,59,39,435,7327,1419,1238,2332,1005,366,122,83,371,6924,1278,1103,2699,1285,462,161,97,394,7482,1216,1078,2774,1391,503,167,103,403,7623,1158,1025,2790,1472,504,171,123,448,7689,1138,997,2821,1689,625,203,112,495,8083,940,825,2559,1621,604,172,103,455,7280,728,633,2384,1541,567,185,99,451,6594,477,437,1611,1243,553,164,116,400,5006,291,261,1042,974,535,244,175,329,3846,195,169,621,691,479,233,176,287,2849,269,304,743,676,496,247,241,397,3368,27271,11464,25259,14664,6021,2152,1487,6609,94929
