GCCSA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
3GBRI,47,455,912,2745,1988,1307,517,303,73,8351,205,1476,2450,8516,3927,2769,1103,283,69,20797,4,29,72,971,360,653,406,239,243,2977,37,448,516,2167,2262,2332,2183,1290,459,11691,88,399,1069,1727,602,539,260,75,17,4774,143,1669,3470,7837,4459,2422,1393,508,167,22068,3,3,19,273,314,405,329,201,61,1610,55,537,649,2750,1171,968,600,251,102,7087,162,401,1696,6553,1054,1311,640,133,22,11976,96,633,909,2723,626,302,126,15,5,5436,0,5,34,165,146,143,97,51,6,644,6,36,75,387,209,87,40,18,6,859,203,1094,1206,3067,1332,1037,749,171,60,8919,102,562,1323,6458,3577,2882,1167,463,193,16731,20,143,212,655,603,453,451,219,99,2844,4,144,586,1841,1009,742,243,71,19,4659,885,4928,8521,27419,10642,7906,5288,2698,1049,69339,7473,13127,17374,41116,18677,15948,12498,7887,5310,139400,147903,296503,317323,661160,299059,244790,178208,87505,38357,2270800
3RQLD,56,624,940,2511,1890,1142,389,146,24,7726,286,1857,2054,7457,3460,2445,996,214,43,18805,3,32,47,598,211,439,346,210,150,2037,26,312,384,1492,1668,1969,2502,1303,446,10100,36,134,249,563,390,340,154,47,15,1924,100,1563,2586,5901,3616,2225,1297,588,146,18013,0,0,13,96,200,279,299,218,53,1151,38,273,206,1117,379,297,217,98,28,2658,39,113,523,2257,223,189,115,29,9,3494,123,446,613,2085,819,323,98,22,3,4524,3,0,7,59,98,54,50,22,7,306,8,16,16,185,204,87,79,30,6,632,139,794,830,2313,1219,1257,1062,345,100,8064,37,257,326,1354,425,233,112,26,5,2788,16,131,158,606,528,436,523,281,88,2762,13,214,519,1397,943,693,304,106,24,4203,469,2361,3887,13481,5984,5423,4720,2812,1045,40177,9333,18702,22298,52726,29610,27685,22656,12847,6206,202068,148226,319243,294262,609855,330959,305688,242444,121922,47131,2419724
49499,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,22,0,0,0,0,0,21,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,0,0,11,0,0,5,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,18,35,3,7,4,0,0,75,12,21,41,115,94,60,29,6,0,374,91,129,439,978,474,403,271,59,22,2863
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3
4GADE,0,30,33,282,232,102,32,26,8,754,113,850,1301,4259,1785,1183,509,159,44,10204,7,42,93,1055,569,1208,777,507,498,4748,14,283,355,1189,1722,2254,2153,1355,525,9860,50,228,460,821,304,269,205,49,12,2403,30,508,916,1771,1133,626,399,159,52,5587,0,0,17,244,285,388,355,310,124,1719,59,404,325,1760,487,215,155,89,21,3520,22,61,230,764,109,68,35,4,0,1299,46,154,315,1419,297,132,38,14,0,2417,0,7,13,53,50,85,72,77,18,368,5,29,28,143,97,81,51,52,22,508,78,408,432,1151,595,522,403,112,49,3760,76,377,1189,5041,2990,2757,948,389,172,13932,6,98,136,392,454,492,400,314,121,2414,11,89,172,443,245,159,33,19,0,1173,540,2871,4611,12631,4937,3839,3279,2478,1430,36615,3256,5710,7489,18137,9792,9413,7895,5500,3203,70409,76145,149800,168917,345562,174077,157723,120817,68502,34170,1295714
4RSAU,0,10,0,53,59,23,5,10,0,154,36,317,220,950,327,250,106,35,6,2246,0,0,0,46,11,38,39,31,38,205,0,30,26,132,302,549,600,351,118,2117,3,0,4,22,25,19,12,3,0,84,11,116,124,325,204,115,77,28,8,1008,0,0,0,7,19,28,48,43,8,159,5,27,15,158,31,16,17,3,0,268,0,4,84,286,0,3,0,0,0,387,9,102,80,142,60,24,6,0,0,418,0,0,0,0,3,3,6,7,0,17,0,0,0,17,16,21,7,9,0,77,13,39,37,148,105,119,92,31,5,589,10,31,28,210,65,25,11,3,0,394,0,9,10,37,59,109,110,62,19,422,0,35,46,107,45,53,14,5,0,313,39,182,158,644,370,475,515,368,145,2895,1095,2384,2473,6098,4420,4811,4242,2398,1309,29228,20840,46004,39320,81032,52332,55791,47762,24701,10292,378074
59499,0,0,0,0,0,0,0,0,0,3,0,0,0,14,3,3,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,6,12,3,12,4,0,0,43,0,0,0,3,0,3,0,0,0,12,0,0,5,22,6,9,5,0,0,44,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,10,18,0,0,0,0,0,31,3,3,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,8,11,3,3,3,0,0,29,0,0,3,3,0,0,0,0,0,8,0,0,0,4,0,4,0,0,0,7,0,0,0,3,4,0,4,0,0,9,0,0,23,79,25,25,13,0,0,164,28,36,113,352,151,160,100,13,5,956,161,237,656,2216,957,977,633,98,23,5950
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,11,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,16,0,0,3,44,15,8,0,0,0,67,0,0,20,250,105,43,8,3,3,434
5GPER,13,171,165,592,358,154,24,16,3,1491,419,3493,3725,10491,3914,1758,645,142,27,24624,8,92,131,1592,550,1316,688,423,324,5129,117,1240,1506,5236,4433,4373,3483,1999,636,23033,161,1049,2132,4553,2243,2370,1276,564,133,14465,219,3230,5703,12117,6954,3919,2019,828,273,35262,0,0,28,394,317,466,376,270,102,1954,80,679,612,3276,1026,724,542,246,98,7286,48,55,381,2996,190,165,93,11,0,3938,172,848,1075,2903,880,498,163,33,11,6584,5,27,111,792,545,611,507,285,61,2952,12,42,111,555,221,94,57,30,10,1138,211,1011,951,2450,1209,1090,703,190,73,7885,118,462,1424,6141,3057,2453,946,395,144,15131,25,286,396,1409,1197,907,837,429,174,5657,27,546,1400,3788,1906,1348,494,150,36,9684,865,4932,8048,27852,9640,7042,4710,2456,1047,66589,6746,11183,14519,40317,16905,14506,11343,7804,4699,128025,126713,243617,253558,579291,258693,212965,152368,82007,34652,1943858
5RWAU,4,75,47,205,139,62,8,5,0,542,141,933,741,2755,1031,430,143,20,0,6187,0,9,14,123,30,77,72,63,55,441,7,58,96,540,606,686,591,313,80,2970,9,27,36,160,116,93,42,21,4,507,44,597,760,1979,1243,590,319,126,29,5694,0,0,0,14,9,31,39,19,13,127,7,60,25,256,81,40,30,11,3,509,4,4,96,591,3,4,0,0,0,706,41,175,176,484,227,75,14,8,3,1209,0,0,0,22,10,22,24,21,4,105,0,3,0,30,17,7,3,0,0,61,25,96,83,435,230,245,186,53,14,1377,13,37,63,343,127,80,26,4,0,706,5,14,24,155,165,175,141,61,24,754,10,139,208,744,383,313,120,17,10,1946,56,330,318,2126,1052,898,691,331,137,5934,2759,5322,5007,16356,8609,7730,5100,2829,1095,54809,34861,71105,56089,142455,75202,68053,46655,21993,7752,524167
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,13,0,5,14,44,21,13,14,3,0,116,40,36,153,329,135,113,84,12,3,912
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,10,32,15,12,7,0,0,68
