GCCSA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
3GBRI,3207,3144,6353,68751,65193,133944,3891,3715,7603,75846,72050,147903,3225,3138,6370,71998,68271,140262,3739,3552,7294,78962,74960,153928,3153,2924,6077,66869,63212,130088,3238,3185,6416,73259,69317,142581,2973,2889,5864,68077,65762,133842,3469,3405,6872,74523,72056,146581,2701,2602,5309,77872,77663,155532,4961,4944,9901,85533,85209,170741,2032,2045,4078,76955,79161,156115,5178,5285,10466,84171,86492,170661,1700,1656,3353,78021,81104,159124,5167,4916,10087,84890,87680,172568,1416,1520,2936,71449,74546,145995,4399,3984,8382,77269,80046,157315,1454,1606,3069,72763,76375,149136,4378,4037,8414,78597,82021,160613,1329,1516,2848,70231,74436,144665,4447,3903,8353,76005,79858,155861,1146,1273,2424,64776,68208,132989,4063,3725,7788,69989,73211,143199,878,1030,1905,58895,62655,121552,3635,3429,7064,63409,67104,130519,675,767,1439,51404,54971,106382,3249,3206,6454,55331,58942,114276,909,1220,2134,130336,153165,283503,8424,10003,18422,139673,164393,304063,26813,27347,54158,1028414,1064716,2093128,62232,61288,123517,1117452,1153351,2270800
3RQLD,7921,7541,15468,63040,59845,122886,5045,4832,9870,76005,72221,148226,8448,8036,16481,69976,66147,136121,5271,5042,10316,83696,79226,162920,7727,7515,15245,67628,63722,131349,4962,4769,9723,80321,76005,156319,6889,6605,13497,64665,61415,126076,4899,4809,9715,76455,72830,149284,5611,5475,11080,61406,60714,122118,6171,5607,11775,73189,71787,144979,4445,4613,9059,62145,65020,127172,6642,5860,12502,73236,75497,148732,3748,4134,7885,63974,68512,132487,6548,5516,12059,74265,78159,152423,3420,3727,7153,62257,66670,128929,6005,5069,11071,71682,75472,147156,3527,3888,7415,68652,73526,142179,6444,5498,11946,78620,82915,161537,3313,3792,7098,70978,75640,146617,6777,5862,12640,81063,85294,166356,2972,3237,6210,70755,75010,145766,6777,5852,12627,80501,84100,164603,2411,2709,5122,69784,73337,143128,6619,5711,12337,78817,81760,160585,1759,2015,3777,64136,66220,130360,5665,5305,10969,71564,73541,145106,2676,3349,6032,179597,193093,372694,15733,17038,32775,198009,213487,411492,64873,66649,131520,1038999,1068880,2107878,93554,86775,180324,1197426,1222294,2419724
49499,7,4,13,36,33,70,3,3,6,50,43,91,0,3,3,26,27,50,7,3,9,35,37,67,0,3,9,22,24,46,3,3,10,29,34,60,15,10,21,75,62,131,7,5,11,95,80,173,12,22,31,135,70,210,17,10,22,161,99,266,15,6,22,157,95,248,13,14,33,187,118,304,18,11,30,128,71,202,17,4,22,164,93,259,15,11,25,107,64,172,16,7,24,136,80,221,18,15,31,110,42,158,15,7,21,141,61,205,8,10,25,105,60,169,23,25,49,142,96,238,12,4,17,109,77,184,22,8,30,143,91,235,6,4,11,95,68,166,20,8,24,122,81,207,8,0,8,90,69,166,20,10,36,114,82,198,5,4,5,196,117,308,27,10,38,220,129,351,141,114,249,1400,886,2279,202,130,328,1734,1129,2863
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,6,0,3
4GADE,1124,1002,2124,36386,34282,70670,1728,1623,3351,39238,36906,76145,1091,1072,2162,36652,35284,71937,1627,1544,3173,39373,37897,77270,991,972,1965,34797,32925,67720,1497,1344,2847,37283,35243,72533,1052,1016,2062,37863,36274,74140,1573,1603,3172,40489,38894,79385,844,873,1718,42594,41212,83811,2056,1947,4006,45495,44039,89535,730,748,1476,40616,41491,82108,2144,2082,4223,43487,44324,87807,566,597,1162,41804,43269,85074,2218,2049,4263,44579,45916,90495,439,498,935,38758,39595,78357,1995,1753,3746,41184,41853,83037,458,555,1010,39383,40180,79564,1956,1690,3651,41800,42425,84217,426,530,954,40727,42308,83039,2092,1862,3956,43247,44698,87943,362,451,815,39784,41616,81402,2047,1871,3923,42190,43942,86131,315,391,707,37948,40742,78689,2046,1962,4008,40311,43097,83406,267,274,538,33317,36904,70224,1785,1769,3554,35369,38948,74316,332,444,774,93962,115934,209901,5539,7269,12813,99844,123645,223491,8977,9426,18403,594606,622014,1216624,30307,30379,60689,633888,661823,1295714
4RSAU,855,797,1649,9128,8802,17932,642,617,1255,10628,10211,20840,923,877,1801,10401,9576,19976,700,651,1350,12027,11104,23131,854,844,1693,10222,9605,19821,696,662,1356,11767,11107,22869,755,712,1461,9557,8898,18454,626,591,1216,10933,10195,21132,629,631,1262,8316,7452,15761,617,547,1168,9562,8629,18193,567,554,1128,8615,8291,16911,646,566,1214,9833,9415,19247,525,511,1039,8858,8869,17727,639,591,1235,10026,9978,19997,392,416,810,8750,8797,17542,652,552,1206,9792,9763,19557,443,460,901,9979,10003,19977,715,636,1343,11130,11099,22227,453,495,945,11450,11378,22826,894,768,1662,12796,12640,25436,436,427,862,12224,12064,24282,944,810,1752,13594,13304,26897,327,349,675,12956,12755,25710,953,947,1903,14234,14052,28286,233,270,501,12821,12360,25178,965,864,1826,14019,13492,27505,376,418,802,36765,39222,75989,2884,3077,5959,40026,42723,82752,7770,7755,15530,170028,168067,338096,12565,11879,24445,190368,187706,378074
59499,8,18,27,55,48,104,12,18,30,81,79,161,6,9,16,56,51,109,7,8,17,66,72,134,9,14,20,36,29,61,9,6,11,54,46,102,13,14,29,60,53,113,11,5,12,84,65,151,20,27,44,197,179,379,35,38,79,254,242,503,27,25,61,293,236,528,68,48,112,391,309,698,37,18,60,285,163,446,62,44,105,382,230,607,31,21,47,234,117,347,37,21,57,294,155,449,53,32,85,215,100,318,38,16,50,313,147,458,41,35,72,227,94,320,45,16,56,314,137,453,37,18,52,239,135,376,45,31,77,324,185,505,24,9,31,223,173,394,37,38,75,287,216,500,18,8,23,200,185,391,29,25,57,256,218,474,11,9,15,368,253,618,66,46,115,444,309,747,341,247,587,2691,1806,4497,502,363,867,3532,2415,5950
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,18,7,3,5,17,3,20,3,0,3,30,3,34,10,0,7,43,4,47,0,0,0,57,4,64,19,0,14,74,3,78,0,0,0,47,3,51,10,0,10,63,3,60,0,0,0,55,4,59,6,0,6,59,4,65,0,0,0,44,4,47,7,3,12,54,7,60,0,0,0,40,0,37,3,0,3,43,0,44,0,0,0,19,0,26,5,0,3,27,0,27,0,0,0,15,3,16,0,0,0,17,3,15,0,0,0,6,0,6,0,0,0,9,0,9,10,0,10,328,18,351,65,7,76,408,26,434
5GPER,1840,1746,3585,59790,56773,116565,3408,3155,6558,65040,61672,126713,1800,1782,3579,60300,57082,117383,3048,2818,5869,65142,61685,126833,1769,1727,3492,55510,52546,108053,2688,2550,5237,59965,56820,116781,1718,1581,3299,56825,54482,111304,2853,2669,5520,61400,58729,120129,1609,1442,3054,62615,59724,122344,4120,3916,8039,68351,65083,133434,1424,1207,2634,67853,69305,137152,5611,4936,10549,74881,75449,150329,1107,1021,2129,71674,72329,144004,5529,4694,10220,78313,78040,156352,860,835,1696,63412,64448,127862,4482,3592,8071,68747,68877,137621,823,863,1688,61755,63853,125610,4148,3544,7693,66728,68258,134986,770,873,1642,61559,63483,125040,4153,3359,7517,66480,67715,134195,640,699,1344,57110,58989,116104,3834,3229,7057,61581,62922,124498,512,608,1113,51048,54381,105433,3396,3074,6473,54954,58065,113020,355,455,808,44837,48478,93317,2995,2822,5820,48183,51757,99944,482,676,1156,115513,135357,250869,7773,9230,17000,123769,145260,269027,15704,15518,31214,889811,911224,1801031,58028,53585,111612,963536,980326,1943858
5RWAU,2488,2306,4792,14080,13189,27265,1468,1325,2796,18037,16823,34861,2603,2461,5059,15009,14252,29260,1461,1406,2868,19070,18117,37183,2405,2395,4798,13546,13033,26584,1327,1219,2544,17282,16644,33920,2118,1972,4088,12307,11041,23351,1203,1070,2270,15633,14085,29712,1837,1715,3555,10827,9613,20442,1271,1108,2379,13936,12444,26382,1754,1694,3447,13728,12937,26672,2169,1548,3717,17657,16181,33831,1531,1595,3131,15367,14829,30193,2318,1586,3904,19206,18012,37225,1323,1375,2701,14827,13921,28749,2048,1404,3449,18201,16706,34902,1342,1297,2644,15665,14666,30331,2106,1409,3520,19115,17375,36491,1186,1376,2562,16434,15175,31605,2121,1531,3650,19738,18083,37816,1029,1194,2221,16462,15055,31511,2111,1538,3648,19602,17783,37385,852,951,1796,15985,15014,31000,2019,1536,3551,18852,17496,36346,630,724,1351,14179,13324,27503,1569,1270,2847,16378,15326,31706,884,1138,2019,33748,33438,67186,3606,3586,7195,38244,38164,76405,21977,22198,44169,222160,209496,431657,26799,21536,48341,270936,253230,524167
69499,3,0,3,20,12,38,0,0,0,27,20,40,0,0,0,7,9,18,0,0,0,7,12,21,0,0,0,8,10,13,0,0,0,8,9,20,3,3,9,23,31,52,3,0,0,34,33,62,7,4,6,45,22,69,8,3,12,56,29,90,3,3,5,51,32,80,16,5,15,66,38,103,0,0,0,43,23,66,9,3,10,55,29,79,5,0,9,42,32,72,6,0,6,53,30,80,3,0,3,33,21,55,6,0,6,36,24,65,3,3,3,29,20,56,3,5,9,37,29,67,3,3,4,26,24,57,7,3,7,38,36,69,0,0,0,23,29,48,6,0,7,28,25,55,0,0,0,23,26,50,3,3,4,24,30,58,4,3,6,41,41,81,10,9,18,52,44,100,34,22,55,418,338,755,68,33,104,524,393,912
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,6,4,8,0,0,0,11,0,11,0,0,0,8,0,14,0,0,0,8,4,12,0,0,3,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,7,0,0,0,9,0,7,0,0,0,5,0,9,0,0,0,5,3,4,0,0,0,5,3,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,4,0,3,0,0,0,4,3,7,0,0,0,46,16,63,3,3,4,49,21,68
6GHOB,471,424,897,5862,5598,11453,331,317,645,6666,6338,12995,509,498,1003,6293,5997,12289,359,338,695,7158,6830,13986,473,464,931,5980,5568,11544,328,298,630,6780,6330,13108,450,392,839,6118,5936,12054,319,354,671,6880,6684,13565,400,358,750,6324,6225,12544,366,377,743,7088,6952,14042,301,357,660,6263,6478,12742,420,376,793,6986,7212,14194,278,323,603,6293,6626,12918,391,381,771,6959,7327,14289,206,235,432,5877,6357,12234,328,336,665,6403,6924,13329,196,237,430,6203,6881,13080,371,364,734,6767,7482,14249,223,244,469,6516,7020,13533,420,356,779,7160,7623,14785,186,228,416,6543,7068,13609,393,392,786,7121,7689,14811,196,192,389,6757,7447,14201,427,444,871,7380,8083,15459,140,135,276,6147,6746,12895,416,388,809,6706,7280,13984,199,230,431,16436,19922,36357,1250,1512,2762,17882,21667,39549,4225,4309,8534,97589,103875,201462,6113,6238,12351,107930,114422,222356
6RTAS,760,773,1538,6646,6327,12970,452,479,928,7854,7575,15434,916,868,1784,7589,7118,14708,522,497,1020,9025,8483,17506,833,796,1625,7364,7060,14428,514,525,1035,8706,8389,17095,811,726,1535,7721,7185,14906,515,494,1008,9049,8395,17443,573,582,1156,7052,6540,13592,524,457,976,8144,7579,15724,450,464,916,6116,6430,12544,470,470,942,7037,7362,14396,371,492,860,6400,6779,13177,453,455,907,7219,7725,14943,329,437,765,6288,6957,13250,442,458,903,7067,7851,14916,364,436,803,7360,7971,15336,533,505,1038,8263,8914,17180,417,498,908,8391,9152,17544,632,566,1197,9440,10212,19651,342,417,757,9051,9505,18555,692,639,1335,10084,10558,20644,336,407,737,9590,10068,19653,741,727,1471,10664,11196,21863,310,278,580,9238,9511,18747,721,683,1403,10258,10475,20730,515,506,1022,25479,27963,53445,2168,2460,4630,28160,30929,59096,7319,7662,14983,124277,128569,252850,9383,9412,18791,140977,145646,286627
79499,3,5,9,32,25,54,9,4,18,45,34,81,3,0,7,21,47,70,7,11,17,31,56,93,3,4,8,14,7,23,0,5,4,19,14,30,13,9,20,3,5,14,0,0,3,16,17,32,34,26,60,45,44,93,16,12,32,98,85,183,29,26,60,67,67,132,26,38,61,122,129,251,30,32,69,56,59,112,12,17,32,98,106,206,42,34,74,44,38,80,13,11,26,97,83,179,46,48,98,55,35,91,18,10,27,122,95,213,60,51,112,53,40,88,20,10,24,131,99,225,55,39,89,59,50,109,17,22,31,126,104,233,31,21,55,60,69,130,14,14,29,110,100,215,20,12,32,81,85,168,15,17,28,118,107,223,18,3,18,144,94,240,36,17,56,196,117,311,394,305,696,733,664,1402,204,181,387,1332,1157,2489
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,3,0,0,0,7,4,10,0,0,0,8,4,11,0,0,0,12,3,13,4,0,4,14,3,17,0,0,0,10,0,10,0,0,0,10,0,7,0,0,0,7,0,7,5,0,5,11,0,11,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,47,7,61,11,4,15,61,14,70
7GDAR,616,567,1188,4021,3963,7984,495,488,984,5137,5018,10155,672,619,1289,3661,3427,7085,440,405,843,4774,4455,9223,672,633,1305,3113,3017,6132,370,349,720,4162,3991,8148,605,537,1141,3050,2675,5729,383,344,727,4039,3560,7600,607,462,1068,3988,3412,7393,610,481,1091,5198,4355,9555,541,442,983,5559,5237,10794,986,702,1692,7081,6389,13470,479,376,859,5598,5404,11002,888,644,1530,6963,6425,13388,406,364,775,4851,4530,9378,782,507,1282,6038,5401,11436,390,381,772,4388,4068,8459,655,464,1117,5438,4911,10347,337,370,704,4333,3884,8220,694,446,1145,5367,4694,10063,276,308,588,3867,3442,7311,576,418,991,4721,4163,8886,221,236,452,3331,3108,6437,502,387,884,4048,3728,7777,173,196,373,2790,2352,5146,431,328,752,3388,2879,6266,199,277,473,4724,4205,8935,613,484,1096,5536,4970,10507,6186,5771,11960,57280,52724,110004,8420,6442,14862,71889,64939,136828
7RNTE,2288,2114,4402,1241,1237,2485,293,223,516,3829,3572,7398,2439,2281,4718,1215,1117,2328,233,222,458,3886,3621,7505,2413,2151,4563,943,899,1838,241,198,441,3595,3242,6840,2310,2155,4462,886,691,1572,227,185,410,3420,3023,6446,2204,2150,4352,1019,950,1968,326,257,579,3544,3357,6905,2009,1954,3967,1522,1685,3205,392,415,810,3921,4053,7973,1814,1888,3707,1599,1708,3307,362,344,699,3778,3934,7710,1464,1568,3037,1391,1407,2799,272,281,558,3135,3255,6392,1427,1534,2960,1331,1252,2578,254,245,499,3010,3029,6039,1253,1442,2696,1440,1367,2803,344,316,656,3035,3120,6159,998,1208,2204,1510,1397,2909,336,287,620,2849,2887,5728,716,900,1612,1413,1305,2711,312,259,565,2439,2455,4895,521,673,1196,1204,1018,2227,272,217,495,2002,1911,3913,690,1023,1715,1783,1355,3138,388,305,691,2857,2687,5546,22547,23040,45590,18493,17373,35862,4252,3743,7998,45287,44157,89443
89499,0,0,0,8,6,14,0,0,0,5,6,12,0,0,3,5,7,13,0,0,0,7,7,22,0,0,0,0,0,3,0,0,0,0,0,3,4,0,5,15,14,29,0,3,4,16,20,35,3,3,7,35,31,66,6,4,5,36,42,79,0,0,0,31,23,51,3,0,3,36,21,60,0,0,3,24,12,41,0,0,5,32,20,47,0,4,3,29,18,43,4,3,7,31,25,59,6,0,6,28,9,40,8,0,8,37,9,45,0,0,0,16,6,24,0,0,3,14,11,26,0,0,0,24,16,41,3,0,4,32,15,43,0,0,3,11,18,29,3,3,7,20,22,41,0,0,0,17,13,30,3,0,9,26,15,36,0,0,0,19,15,33,3,0,3,20,15,37,15,12,33,255,199,454,37,18,62,312,228,538
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,382,345,726,12856,12004,24864,654,543,1193,13892,12889,26782,367,304,678,12333,11451,23785,521,453,974,13221,12209,25428,318,310,623,10681,10149,20830,395,383,775,11387,10841,22234,328,344,674,11521,11269,22790,499,508,1006,12350,12124,24468,374,309,688,14570,14369,28934,884,854,1731,15829,15525,31354,281,299,578,14626,15270,29896,1007,950,1949,15913,16512,32426,205,242,454,15223,16000,31225,1028,883,1907,16461,17122,33587,183,202,382,14023,14226,28250,782,717,1495,14985,15147,30131,168,198,368,12958,13427,26388,762,656,1416,13891,14281,28167,192,171,361,12248,12591,24844,709,619,1324,13149,13377,26524,156,173,332,11026,11809,22837,632,590,1227,11813,12573,24387,110,129,237,10103,10823,20923,570,585,1153,10781,11541,22320,98,81,174,8518,9409,17931,469,534,1006,9086,10024,19110,91,113,205,21254,25547,46805,1334,1588,2927,22681,27249,49939,3250,3220,6476,181940,188355,370297,10238,9853,20084,195432,201425,396857
99499,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,4,3,0,0,3,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,5,0,0,0,4,3,5,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,0,0,0,3,6,7,0,0,0,6,5,8,0,0,0,6,8,13,3,0,3,20,29,51,0,3,3,21,28,55
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6
9OTER,5,5,14,121,108,234,8,3,15,141,126,261,14,13,20,131,111,240,13,10,23,156,130,284,18,10,24,100,122,215,14,6,22,126,135,262,6,16,20,90,76,164,9,15,25,101,107,205,9,3,10,109,53,170,19,7,20,134,63,199,4,7,7,135,80,215,19,9,29,163,95,257,9,7,11,141,120,261,21,17,34,164,144,312,8,13,19,161,124,282,10,5,13,176,137,317,8,13,19,147,128,270,13,9,22,167,148,317,6,10,21,144,133,274,13,19,35,170,162,331,5,7,14,168,145,317,24,23,50,206,174,374,7,8,19,160,145,311,23,24,45,195,184,377,7,0,9,140,138,273,18,25,43,169,157,328,10,11,19,324,281,599,44,36,82,377,330,703,110,115,226,2076,1762,3838,249,212,455,2432,2090,4523
