GCCSA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
3GBRI,3068,2170,1615,393,582,145,7972,917,506,453,92,199,28,2200,1622,1019,907,220,426,54,4248,1350,929,832,215,376,50,3745,2210,1770,1416,473,675,94,6637,2885,2788,1954,665,906,107,9309,3745,4372,2664,951,1078,145,12951,4862,6595,3065,1312,1338,195,17369,5117,7938,2799,1341,1227,178,18594,6353,10466,3341,1506,1284,213,23150,5036,8874,2291,1056,758,176,18192,8209,14522,4471,1385,1125,274,29990,3693,7318,1708,541,392,90,13748,2830,5567,1419,377,269,74,10542,5521,11046,2958,732,603,169,21041,6285,13221,3704,779,663,158,24804,2185,4534,1348,230,206,52,8546,1391,3278,1018,202,146,36,6063,2551,3740,1886,519,581,167,9449,69811,110653,39853,12993,12826,2410,248550
3RQLD,3931,1756,1324,353,532,83,7976,1132,426,392,109,186,20,2267,2290,979,857,320,458,49,4948,1895,1026,764,325,353,36,4404,3458,2165,1547,649,767,89,8676,4502,3688,2117,969,1066,114,12454,5369,5509,2503,1202,1126,126,15838,6726,7806,2913,1583,1369,174,20566,5957,8392,2667,1450,1125,153,19745,6907,10560,3185,1596,1157,171,23587,4956,8477,2108,938,661,101,17235,7908,12925,3819,1234,951,145,26976,3230,6301,1417,472,298,53,11764,2211,4164,989,251,210,39,7864,4839,9130,2462,684,466,82,17665,5068,8719,2752,618,454,77,17692,1681,2565,874,155,137,15,5433,1168,1732,630,149,110,25,3822,3481,3393,1734,584,646,120,9960,76702,99716,35049,13648,12070,1676,238867
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,1998,1280,1055,217,443,79,5080,719,348,406,73,190,25,1762,1385,824,928,179,510,55,3885,1189,787,820,209,491,55,3542,1978,1652,1521,536,891,59,6648,2476,2638,1900,807,1094,95,9006,3116,4060,2257,948,1116,126,11619,3701,6026,2451,1155,1213,165,14701,3708,6414,2116,1025,938,143,14351,4100,7162,2161,927,841,156,15342,2817,5330,1379,535,433,69,10570,3962,7433,2337,630,599,121,15077,1547,3187,784,223,189,37,5970,1049,2176,538,129,105,34,4027,2235,4457,1292,256,217,51,8507,2338,5001,1516,266,273,59,9457,829,1750,585,82,100,15,3366,487,1338,425,72,89,12,2421,1268,1688,1008,298,386,116,4756,40912,63538,25485,8573,10122,1466,150089
4RSAU,819,426,238,56,80,17,1638,324,92,78,17,58,6,576,770,299,243,96,143,18,1564,701,358,242,123,160,7,1593,1221,908,464,322,261,16,3199,1385,1391,606,397,323,33,4137,1470,1769,619,351,247,26,4482,1388,1913,645,321,244,22,4538,1069,1692,427,197,124,22,3524,893,1586,429,130,101,15,3151,501,930,232,65,40,9,1770,670,1092,296,79,49,3,2199,203,404,99,21,20,3,746,114,210,69,12,10,0,412,291,526,131,24,24,3,997,299,476,159,25,35,3,999,118,141,51,13,3,0,324,82,113,50,14,5,0,270,584,468,240,94,95,13,1494,12906,14791,5312,2358,2028,223,37618
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,3091,2127,1667,423,684,175,8163,799,419,410,98,175,22,1928,1368,866,825,235,446,45,3784,1170,875,750,217,429,36,3473,1931,1526,1355,460,708,66,6049,2324,2302,1675,636,950,119,8008,3105,3733,2268,795,1112,95,11122,3812,5035,2550,1099,1204,152,13847,3917,6030,2370,1144,1139,179,14776,5057,8195,2737,1394,1268,234,18886,4457,7840,2047,1026,793,184,16354,8430,14413,4437,1482,1336,342,30434,4271,8052,1713,603,515,119,15275,3590,6719,1556,489,325,103,12778,7018,12334,3355,916,722,200,24549,7932,15279,4705,958,801,201,29879,2846,5449,1945,331,296,89,10958,2107,4625,1553,252,217,68,8820,2340,3457,1709,437,613,157,8718,69559,109273,39628,12994,13750,2600,247807
5RWAU,887,469,227,77,107,21,1790,211,95,67,32,28,11,445,470,247,170,73,110,8,1083,428,253,139,97,95,13,1022,758,485,264,170,166,14,1856,891,756,351,225,204,21,2444,1069,1108,494,254,205,16,3154,1174,1602,557,293,230,22,3874,1103,1614,441,252,178,27,3616,1193,1997,497,278,158,26,4142,879,1598,351,172,107,18,3133,1506,2594,627,233,140,22,5108,626,1208,259,100,57,7,2255,450,798,172,59,32,4,1514,967,1685,400,105,67,13,3234,1145,1919,546,124,89,14,3838,406,561,177,32,27,3,1202,271,384,111,28,14,0,813,737,701,273,96,112,21,1941,15179,20084,6117,2701,2115,278,46477
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,357,159,137,45,72,11,780,147,69,58,17,50,3,342,308,134,136,45,95,3,730,213,149,115,51,91,4,627,449,351,225,148,164,20,1361,541,636,292,209,224,8,1920,628,940,361,240,222,19,2409,795,1121,384,273,202,17,2787,698,1188,352,202,157,16,2612,715,1243,321,175,143,24,2624,443,851,184,103,51,15,1649,583,1121,264,83,64,10,2134,188,428,82,27,20,3,749,114,222,47,15,15,0,419,304,567,167,37,37,11,1117,310,588,170,33,18,7,1129,113,204,63,5,10,4,397,52,142,30,4,3,0,237,201,263,129,49,69,8,718,7162,10375,3521,1763,1711,187,24725
6RTAS,465,266,151,39,70,9,997,233,106,78,34,46,6,499,510,249,198,84,103,18,1160,459,322,204,89,114,12,1188,771,700,367,210,219,19,2280,1001,1145,487,289,265,24,3203,1162,1511,514,321,236,15,3765,1145,1689,504,282,205,19,3841,888,1431,380,173,145,11,3032,769,1340,385,125,98,12,2726,359,703,176,41,33,11,1328,553,809,256,56,51,11,1740,182,295,76,21,12,3,586,102,170,42,12,11,0,336,241,360,108,29,24,0,755,234,379,133,20,14,0,776,107,101,24,3,5,0,246,51,86,35,4,0,0,181,409,352,185,57,70,11,1081,9640,12010,4298,1874,1717,170,29711
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,101,78,44,14,23,3,270,23,13,10,10,4,0,59,63,36,20,6,14,0,141,50,28,26,8,11,7,133,79,56,49,19,31,5,231,122,91,59,25,18,6,326,173,160,82,38,61,6,523,194,194,108,57,38,5,596,194,220,85,56,55,4,622,254,287,113,72,74,14,811,223,281,89,51,39,13,692,393,565,204,79,66,6,1310,182,319,59,50,35,6,644,179,301,66,34,16,7,596,528,810,195,78,59,13,1688,738,1257,274,111,62,13,2451,244,428,123,38,24,3,853,136,232,76,17,14,3,479,177,199,102,31,34,12,553,4053,5553,1780,799,669,132,12982
7RNTE,33,21,7,5,5,0,75,6,3,3,4,0,0,14,20,20,5,12,0,0,54,21,8,3,11,7,0,53,40,21,10,7,9,3,90,51,42,27,14,9,0,134,61,49,29,19,10,0,180,95,78,29,28,26,0,262,90,100,32,25,7,0,255,105,157,28,35,23,7,359,68,110,28,21,9,3,236,133,187,44,28,19,0,413,55,90,19,13,4,0,178,49,75,17,9,0,0,150,79,165,33,20,6,4,307,97,180,35,10,13,0,335,33,53,18,0,4,0,104,28,25,8,0,3,0,62,38,51,12,8,6,0,120,1080,1435,394,273,158,26,3370
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,570,439,309,52,79,25,1465,148,99,89,12,20,4,368,244,168,150,43,63,4,682,179,178,118,27,62,5,576,304,266,227,53,117,11,973,429,431,276,103,145,15,1401,547,649,359,135,205,20,1914,587,820,356,145,190,21,2122,728,1081,341,181,189,32,2544,923,1405,441,260,231,35,3302,834,1468,356,214,177,42,3091,1517,2720,797,300,297,43,5670,766,1608,294,165,126,17,2974,563,1288,245,96,64,11,2266,1261,2793,647,199,160,33,5096,1460,3680,915,193,178,33,6453,525,1175,377,65,50,6,2195,330,797,269,42,27,3,1470,345,604,224,64,78,22,1338,12275,21669,6786,2349,2451,389,45914
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
