GCCSA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
3GBRI,..,2182,8619,2287,2489,2115,1666,1627,748,1095,22834,..,918,5755,1798,1980,2151,1811,1518,754,706,17383,..,13,92,62,149,336,494,914,1069,401,3530,..,4,33,14,20,19,28,33,33,28,218,..,937,5883,1869,2143,2506,2334,2463,1852,1138,21123,..,3,29,4,10,8,12,8,16,60,148,..,3120,14526,4164,4643,4636,4003,4101,2622,2289,44105,4974,9065,7833,1210,1269,1118,1092,1243,1030,1033,29866,2173,4915,8128,1915,2477,3368,4149,4988,3830,1510,37453,24,106,153,103,153,346,549,896,1063,660,4059,24,37,45,15,14,20,11,29,27,37,257,2223,5060,8327,2041,2641,3728,4710,5914,4920,2208,41762,7,13,20,5,4,5,6,7,14,201,277,7204,14146,16174,3252,3919,4852,5815,7159,5961,3434,71912,12819,5566,9030,2471,2477,2046,1814,1687,1037,1217,40163,7388,7632,20526,3653,4387,5168,5482,5254,3027,1566,64082,92,364,1404,420,635,988,888,1136,913,756,7586,37,45,137,22,18,39,26,36,18,29,414,7523,8038
3RQLD,..,1621,6706,1792,1884,1591,1384,1144,717,916,17755,..,369,2857,798,1042,1068,1121,968,404,384,9008,..,7,34,25,54,127,229,413,377,217,1475,..,4,16,8,6,0,11,18,12,11,78,..,377,2903,826,1102,1194,1362,1393,794,615,10564,..,5,19,5,9,5,6,12,25,32,111,..,1996,9630,2623,2992,2787,2746,2552,1535,1566,28430,2826,5800,6148,946,979,863,851,1027,829,814,21081,646,1797,3399,762,930,1248,1654,1862,1385,765,14452,9,45,53,30,77,150,202,402,403,404,1770,3,13,11,0,9,15,14,12,5,12,103,662,1852,3468,796,1015,1404,1867,2280,1795,1183,16322,8,6,7,3,3,0,9,7,10,69,115,3486,7657,9627,1744,1999,2272,2729,3313,2639,2061,37515,7868,4008,7112,1848,1826,1557,1371,1375,745,961,28664,2055,2349,8904,1660,2147,2469,2654,2557,1378,887,27068,32,147,556,153,295,349,465,756,449,571,3781,14,18,63,7,17,22,22,20,10,25,218,2109,2507
49499,..,0,0,0,3,0,0,0,0,0,6,..,0,0,0,0,0,0,0,4,0,5,..,0,0,0,0,3,0,0,4,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,11,0,15,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,3,5,0,0,7,0,20,4,3,3,0,0,0,3,10,9,3,41,0,0,3,3,0,0,8,20,16,4,60,0,0,0,0,0,0,3,3,5,3,18,0,0,0,0,0,0,0,3,0,0,3,0,0,5,3,0,0,10,24,22,4,75,0,0,0,0,0,0,0,0,0,9,7,6,5,6,3,0,3,17,32,37,13,122,4,0,3,4,0,6,4,19,13,3,61,0,9,13,3,3,0,7,17,10,9,74,0,0,0,0,0,3,6,11,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9
49799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,..,757,2853,622,852,637,627,567,305,247,7470,..,432,3674,1087,1193,1468,1213,1224,546,353,11185,..,7,43,29,89,249,360,653,946,225,2602,..,5,20,8,8,14,9,24,12,9,110,..,441,3734,1124,1288,1731,1583,1902,1506,592,13897,..,8,9,0,0,0,3,7,12,15,57,..,1199,6602,1746,2144,2374,2211,2476,1818,853,21427,1431,2618,2855,370,333,253,294,333,335,292,9122,873,2495,5607,1287,1512,2046,2638,3193,1926,725,22307,9,51,138,70,129,321,505,723,625,304,2877,3,17,28,3,7,8,11,20,16,20,133,886,2561,5764,1364,1651,2380,3156,3938,2568,1049,25322,0,10,9,0,0,0,3,0,0,42,63,2316,5194,8628,1735,1987,2637,3449,4271,2906,1382,34504,4512,1324,2154,545,611,496,422,449,286,367,11164,3225,3821,12618,1972,2400,2734,2922,3244,1706,660,35286,38,194,894,260,439,510,503,590,443,194,4068,36,33,68,13,15,11,18,18,13,8,234,3295,4040
4RSAU,..,74,350,75,85,73,69,56,28,50,861,..,17,278,87,80,132,106,109,37,59,901,..,0,3,0,3,16,17,35,27,22,127,..,0,3,0,0,0,0,3,0,3,7,..,17,281,87,82,148,129,149,70,84,1039,..,0,0,0,0,0,0,0,0,3,8,..,90,634,161,166,219,194,203,93,141,1909,123,213,217,31,37,26,22,36,29,46,785,24,65,226,75,67,87,82,93,59,47,826,0,0,13,7,4,12,31,44,33,38,177,0,0,3,0,0,4,0,3,0,8,15,24,60,242,83,77,95,110,143,87,93,1017,0,0,0,0,0,0,0,0,0,17,16,146,275,461,118,113,127,133,175,117,152,1821,394,142,286,69,76,64,61,63,37,53,1243,72,142,614,140,178,177,177,180,84,92,1849,0,9,61,13,30,37,76,161,58,102,550,0,0,6,4,0,3,0,0,3,0,22,74,146
59499,..,0,3,0,3,0,0,0,10,5,20,..,0,0,0,0,0,3,0,3,0,5,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,6,5,15,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,3,0,4,0,15,4,30,5,8,11,7,3,3,11,21,16,7,90,0,0,4,6,0,6,10,22,21,14,81,0,0,0,0,0,0,0,3,6,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,11,31,24,16,100,0,0,0,0,0,0,0,0,0,6,6,5,14,16,11,8,8,22,51,44,27,200,30,9,28,11,13,11,13,26,35,13,193,9,10,23,4,4,8,23,42,41,14,182,0,0,3,0,0,0,8,3,4,10,34,0,0,0,0,0,0,0,0,0,4,3,8,10
59799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,8,0,7,3,4,0,4,0,0,0,24,0,0,4,0,9,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,..,2104,9949,3042,3666,2801,2176,1759,897,1045,27436,..,820,6945,2145,2887,2760,2289,1980,871,658,21353,..,9,74,56,143,300,512,904,829,356,3187,..,6,40,5,16,23,20,34,29,30,200,..,842,7054,2214,3046,3076,2826,2910,1728,1044,24736,..,3,14,0,7,10,9,16,19,46,114,..,2953,17020,5252,6719,5882,5009,4684,2637,2127,52289,4333,9205,10455,1728,1969,1416,1297,1231,832,1006,33469,1630,4454,9750,2227,2682,2880,3359,4201,2835,1098,35113,13,78,139,80,142,274,451,702,592,346,2829,16,28,72,16,20,18,13,23,24,12,253,1660,4560,9960,2323,2847,3179,3824,4935,3443,1462,38197,5,12,12,3,3,3,11,0,6,162,221,6002,13779,20433,4049,4819,4599,5126,6168,4278,2629,71883,15353,5471,11588,4387,5073,3450,2432,1953,933,1290,51926,6712,8061,22364,4370,5511,5803,5649,5054,2831,1437,67791,74,367,1511,434,680,909,906,1071,670,513,7135,39,53,132,29,47,44,35,22,22,29,446,6817,8477
5RWAU,..,266,1288,340,468,368,267,221,77,159,3453,..,45,686,240,250,342,263,257,91,87,2267,..,0,18,3,12,33,31,64,76,42,271,..,0,7,0,3,0,5,8,7,3,27,..,52,704,246,269,368,295,333,175,133,2568,..,0,4,0,3,0,3,3,5,3,32,..,320,1998,586,736,739,563,557,255,293,6045,401,781,1003,217,234,177,167,176,112,167,3438,42,215,811,180,199,183,193,262,166,154,2414,0,4,24,11,9,23,29,74,52,61,288,0,0,7,5,0,4,3,8,3,3,32,42,218,843,196,213,204,220,345,232,220,2739,0,0,0,0,0,4,0,0,0,77,85,443,999,1848,410,452,387,388,523,342,457,6254,1817,756,1975,697,769,448,387,280,123,285,7530,330,386,1690,474,560,599,575,533,291,238,5676,0,19,77,30,43,70,80,161,91,127,698,0,0,15,0,9,8,3,4,3,6,46,336,407
69499,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,4,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,4,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,3,0,13,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,3,7,0,22,0,0,0,0,0,0,3,3,0,0,12,0,0,3,0,0,3,0,7,0,0,19,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,..,97,309,74,54,55,81,49,31,32,786,..,41,186,68,70,103,76,75,40,27,684,..,0,3,6,9,23,36,49,85,39,240,..,0,0,0,0,0,4,4,3,0,8,..,45,189,72,74,120,113,130,125,65,938,..,0,0,0,0,0,0,0,0,0,3,..,142,500,146,126,178,195,176,157,98,1730,166,244,155,34,41,34,31,44,55,37,846,62,178,325,83,116,195,235,337,300,75,1914,3,5,13,5,5,26,59,58,64,36,273,0,0,3,3,0,0,3,6,3,3,24,66,185,338,88,125,218,301,403,369,117,2206,0,0,0,0,0,0,0,0,0,11,9,238,431,493,122,164,248,329,446,428,160,3058,493,124,237,74,59,82,76,79,39,46,1312,170,280,844,170,263,295,351,346,162,72,2958,3,4,55,16,36,39,47,53,35,26,322,0,0,3,0,0,0,0,3,0,0,10,176,287
6RTAS,..,82,293,69,56,57,69,54,21,43,745,..,11,131,40,48,109,82,46,24,22,518,..,0,3,3,3,42,32,41,70,39,233,..,0,3,0,0,0,3,0,3,4,15,..,11,133,42,51,153,120,90,95,70,758,..,0,0,0,0,0,0,3,0,0,4,..,90,426,111,108,209,186,145,119,111,1506,121,237,185,19,13,19,22,46,29,28,728,17,84,192,70,83,109,137,140,106,43,967,3,0,4,4,12,11,25,39,43,13,154,0,0,0,0,0,0,0,0,0,0,5,21,82,198,76,94,118,163,175,148,51,1127,0,3,0,0,0,0,0,0,0,0,5,142,322,382,92,107,143,189,221,179,88,1867,387,104,204,52,54,49,43,47,33,49,1022,76,112,395,91,132,130,137,158,111,40,1375,0,3,29,12,17,33,55,50,37,35,270,0,0,0,0,0,0,0,0,0,0,9,78,111
79499,..,0,0,0,0,0,0,0,0,0,9,..,0,0,4,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,4,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,4,0,0,0,0,0,0,11,0,3,0,0,0,0,3,10,7,0,21,0,0,0,0,0,0,3,11,4,3,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,11,11,3,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,21,11,3,54,5,3,4,3,3,10,8,18,14,4,61,4,0,3,0,0,4,9,17,9,3,44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0
79799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,..,68,304,80,121,104,114,135,64,65,1050,..,31,511,165,177,246,195,240,95,51,1718,..,0,8,3,6,15,39,91,99,38,307,..,0,3,0,0,3,0,9,5,4,20,..,31,520,163,191,260,240,343,199,92,2048,..,0,0,0,0,0,0,0,3,3,9,..,100,829,247,304,370,353,479,264,163,3107,167,185,202,42,64,73,67,88,79,56,1030,81,145,568,113,154,192,225,266,216,78,2036,3,3,6,6,9,21,19,31,29,20,149,0,0,4,3,3,0,3,0,0,0,20,89,150,588,123,166,213,239,299,249,99,2205,0,0,0,0,0,0,0,0,0,14,15,250,342,784,159,231,289,311,381,329,169,3244,572,208,656,259,290,214,140,152,70,100,2659,329,287,1650,354,397,494,518,622,330,150,5125,10,20,74,27,27,67,62,65,45,47,442,3,3,11,3,0,4,0,0,0,3,32,344,308
7RNTE,..,22,96,25,76,44,87,59,42,34,481,..,6,90,29,43,41,35,60,18,20,348,..,0,3,0,0,4,6,13,8,7,46,..,0,0,0,0,3,0,0,3,3,7,..,6,93,32,44,51,47,69,32,31,407,..,0,0,0,0,0,0,0,0,0,3,..,24,193,58,118,91,133,130,76,61,888,36,60,82,16,21,20,37,55,33,15,385,4,36,88,41,37,32,36,60,42,35,408,3,0,3,0,0,0,8,10,3,10,40,0,0,0,0,0,0,0,0,0,0,3,3,38,91,43,40,30,41,74,46,43,453,0,0,0,0,0,0,0,0,0,0,0,43,93,171,61,67,51,78,124,86,63,842,179,57,185,59,75,62,65,75,51,31,842,65,105,459,84,109,104,120,126,67,54,1287,3,3,7,3,3,8,12,31,14,21,108,0,0,5,0,0,0,7,0,3,0,18,70,106
89499,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,0,4,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,3,0,4,3,3,3,0,0,0,0,3,0,0,13,0,3,5,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,3,4,0,27,3,0,3,0,0,0,4,0,0,0,13,0,0,3,4,0,0,3,4,5,0,19,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,..,286,756,297,285,235,268,272,121,96,2616,..,201,1126,332,407,438,444,418,183,122,3671,..,3,11,5,24,46,99,170,201,51,616,..,0,11,0,3,3,3,6,10,3,33,..,204,1145,343,433,493,544,598,390,179,4321,..,0,0,0,0,0,3,3,3,3,14,..,497,1905,642,717,722,819,868,515,281,6957,810,890,510,114,119,121,125,146,132,120,3091,431,979,1377,403,501,682,1115,1536,1188,338,8548,7,20,19,24,30,56,140,239,219,91,843,3,5,3,0,0,0,3,3,3,4,36,441,1004,1400,429,536,741,1259,1770,1416,437,9428,0,3,3,0,0,0,0,0,0,11,24,1253,1900,1915,542,656,868,1389,1918,1544,565,12542,2147,513,766,239,256,229,243,240,132,145,4909,1640,1847,4532,847,957,1073,1274,1351,755,264,14528,16,57,233,46,93,93,123,154,88,49,964,5,11,24,3,7,10,9,8,3,4,74,1663,1921
99499,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,..,0,7,3,0,0,0,0,0,3,19,..,0,7,0,0,0,4,7,7,5,34,..,0,0,0,0,0,0,3,0,5,10,..,0,0,0,0,0,0,0,0,0,0,..,0,14,0,0,3,7,10,7,13,46,..,0,0,0,0,0,0,0,0,0,3,..,4,24,6,0,4,5,12,7,16,66,0,3,0,0,0,3,0,0,0,0,11,0,4,9,0,0,3,4,3,6,7,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,3,4,3,6,3,33,0,0,0,0,0,0,0,0,0,38,38,3,10,4,0,0,5,4,3,6,44,76,15,7,7,0,0,0,0,0,0,3,43,32,8,21,6,4,3,4,6,3,8,99,0,0,8,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,31,8
