GCCSA_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
3GBRI,13920,13633,27557,15115,14356,29470,15420,14412,29827,15723,14833,30556,15674,14816,30485,75846,72050,147903,15462,14877,30337,15894,15286,31188,15921,14994,30918,15873,14953,30822,15802,14860,30663,78962,74960,153928,15513,14530,30043,14798,14009,28803,14551,13944,28498,14095,13274,27368,14303,13557,27865,73259,69317,142581,14613,13854,28468,14444,13812,28261,14430,13821,28255,15328,14738,30063,15716,15831,31541,74523,72056,146581,16678,16381,33057,17137,17464,34601,17249,16892,34138,17296,17159,34461,17172,17311,34488,85533,85209,170741,17116,17347,34459,17291,17784,35073,16748,17167,33920,16639,17036,33677,16368,17166,33532,84171,86492,170661,16910,17544,34454,16924,17763,34688,17036,17693,34726,17261,17813,35077,16758,16864,33618,84890,87680,172568,16383,16657,33041,15782,16330,32113,15138,15539,30675,15055,15793,30847,14911,15722,30634,77269,80046,157315,15152,15765,30916,15391,16030,31422,15774,16359,32132,16000,16762,32761,16274,17106,33387,78597,82021,160613,16490,17450,33943,15587,16461,32052,14924,15738,30664,14674,15253,29926,14327,14957,29277,76005,79858,155861,13774,14456,28225,13827,14254,28085,14331,14834,29169,14043,14872,28908,14010,14794,28809,69989,73211,143199,13711,14326
3RQLD,13814,13035,26850,15111,14369,29480,15472,14780,30254,15656,14793,30453,15939,15245,31185,76005,72221,148226,16098,15482,31579,16470,15818,32284,16721,15866,32588,17152,16113,33263,17254,15942,33201,83696,79226,162920,16645,15883,32533,16088,15228,31317,15988,14988,30975,15729,15024,30753,15868,14879,30744,80321,76005,156319,16359,15450,31809,16190,15254,31446,15480,14686,30167,14425,13813,28243,13996,13627,27618,76455,72830,149284,14185,13744,27928,14597,14119,28715,14711,14231,28946,14858,14692,29549,14838,15004,29842,73189,71787,144979,14970,15100,30067,15020,15248,30265,14335,15043,29374,14357,15034,29388,14561,15075,29633,73236,75497,148732,14726,15511,30235,14735,15598,30335,14794,15531,30322,15155,16062,31223,14863,15450,30313,74265,78159,152423,14727,15450,30173,14382,15021,29396,14215,14997,29209,13875,14908,28784,14487,15096,29589,71682,75472,147156,14680,15598,30280,14760,15603,30367,15921,16520,32436,16350,17237,33589,16909,17954,34872,78620,82915,161537,17521,18536,36062,16353,17109,33464,16262,17027,33283,15547,16313,31858,15380,16308,31688,81063,85294,166356,15465,16177,31641,15542,16210,31757,16380,17065,33444,16569,17280,33845,16554,17369,33921,80501,84100,164603,16608,17320
49499,13,10,16,10,4,18,11,9,22,4,10,17,10,8,15,50,43,91,3,8,13,3,12,14,9,9,14,8,7,15,12,8,20,35,37,67,6,10,16,5,10,11,7,12,18,0,6,8,8,0,11,29,34,60,13,6,23,18,21,36,15,23,38,12,14,34,33,14,49,95,80,173,32,11,43,23,24,50,35,18,55,35,14,49,44,26,69,161,99,266,34,19,56,42,28,76,36,21,54,38,19,55,37,22,61,187,118,304,46,16,60,28,11,40,31,20,50,30,17,49,25,23,54,164,93,259,27,25,55,28,8,38,23,17,44,30,15,45,23,10,32,136,80,221,25,11,34,33,12,47,29,15,45,23,14,38,34,6,40,141,61,205,30,27,59,26,34,57,14,13,24,34,13,52,36,14,47,142,96,238,40,21,64,28,13,41,31,23,55,17,13,33,25,20,44,143,91,235,23,19
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,7351,6930,14284,7811,7377,15179,7908,7447,15348,8044,7494,15538,8123,7662,15786,39238,36906,76145,7764,7550,15312,8102,7464,15563,7843,7547,15386,7884,7682,15568,7782,7657,15439,39373,37897,77270,7725,7200,14920,7332,7009,14338,7466,7039,14508,7279,7039,14314,7481,6967,14452,37283,35243,72533,7597,7306,14903,7950,7447,15392,8113,7650,15762,8222,7996,16220,8611,8501,17108,40489,38894,79385,9114,8708,17821,9454,8930,18383,8929,8784,17711,9057,8824,17882,8942,8794,17732,45495,44039,89535,8807,8645,17453,8733,8973,17706,8765,8728,17496,8615,8969,17584,8566,9003,17567,43487,44324,87807,8872,9142,18011,8844,9234,18081,9148,9366,18514,8993,9136,18128,8726,9035,17761,44579,45916,90495,8626,8700,17323,8300,8462,16759,8175,8254,16433,7904,8093,15995,8188,8347,16531,41184,41853,83037,8087,7997,16087,8160,8244,16408,8239,8405,16645,8383,8690,17071,8923,9089,18012,41800,42425,84217,9103,9325,18432,8828,9072,17895,8609,8932,17539,8521,8919,17440,8189,8453,16641,43247,44698,87943,8376,8713,17093,8306,8672,16981,8564,8879,17444,8626,8846,17468,8319,8826,17146,42190,43942,86131,8589,8900
4RSAU,1906,1926,3839,2068,1986,4054,2148,2062,4212,2213,2091,4298,2285,2141,4431,10628,10211,20840,2365,2061,4424,2379,2218,4599,2456,2250,4709,2400,2240,4640,2426,2334,4760,12027,11104,23131,2326,2256,4579,2450,2252,4703,2339,2196,4536,2345,2135,4482,2301,2270,4566,11767,11107,22869,2251,2214,4468,2357,2218,4581,2326,2248,4570,2036,1859,3900,1955,1662,3618,10933,10195,21132,1897,1617,3511,1961,1637,3598,1880,1669,3549,1899,1834,3736,1926,1881,3800,9562,8629,18193,2091,1859,3954,2011,1878,3891,1934,1857,3796,1877,1877,3754,1921,1945,3862,9833,9415,19247,2030,2052,4087,2030,1943,3975,1990,2026,4015,1999,1970,3962,1977,1986,3966,10026,9978,19997,2037,2018,4054,1924,1923,3844,1938,1906,3840,1976,1976,3955,1919,1952,3871,9792,9763,19557,2101,2155,4255,2126,2055,4176,2169,2110,4276,2300,2338,4642,2431,2447,4871,11130,11099,22227,2618,2691,5312,2504,2577,5083,2601,2520,5116,2586,2428,5021,2483,2417,4901,12796,12640,25436,2505,2448,4950,2651,2528,5183,2699,2658,5358,2854,2839,5700,2883,2829,5706,13594,13304,26897,2974,2957
59499,19,20,38,17,12,32,16,21,32,15,12,26,15,17,30,81,79,161,12,15,24,15,18,28,14,17,34,14,12,22,17,15,28,66,72,134,12,11,26,13,7,24,3,13,13,11,3,13,6,10,25,54,46,102,11,8,17,11,8,18,12,14,23,17,12,36,37,29,68,84,65,151,45,38,84,40,46,81,39,45,89,61,49,108,80,64,139,254,242,503,60,61,129,67,74,140,89,51,143,76,66,143,98,54,147,391,309,698,93,70,158,89,46,136,62,46,108,69,22,98,69,41,110,382,230,607,51,25,77,63,35,96,59,29,83,62,38,100,61,32,89,294,155,449,58,31,85,51,40,92,56,27,81,77,21,100,70,29,101,313,147,458,71,35,102,69,22,91,76,30,111,43,28,69,49,21,76,314,137,453,65,37,104,53,35,93,56,37,99,69,36,110,71,41,105,324,185,505,71,60
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,8,8,0,5,3,0,3,17,3,20,4,0,4,3,4,5,10,0,10,9,0,9,13,0,13,43,4,47,17,0,17,15,0,15,19,0,19,12,5,11,19,0,19,74,3,78,11,0,11,13,0,13,13,0,13,10,3,13,12,0,12,63,3,60,15,0,15,13,0,13,11,0,11,8,4,11,7,0,7,59,4,65,11,0,11,5,0,8,5,0,5,15,3,22,5,0,7,54,7,60,13,0,13,4,0,4,5,0,5,9,0,7,9,0,9,43,0,44,7,0
5GPER,12701,11921,24625,13302,12389,25689,12948,12546,25487,13172,12415,25591,12916,12408,25324,65040,61672,126713,12995,12635,25634,13154,12350,25506,12929,12022,24956,13075,12439,25517,12977,12238,25223,65142,61685,126833,12570,11864,24434,12014,11332,23349,12118,11286,23405,11643,11333,22973,11624,11001,22626,59965,56820,116781,11990,11397,23387,11979,11618,23596,12292,11715,24001,12289,11696,23988,12849,12306,25153,61400,58729,120129,13435,12550,25981,13779,12807,26589,13672,12882,26552,13639,13345,26982,13825,13495,27321,68351,65083,133434,14398,14172,28575,15006,14783,29792,14874,15163,30039,15187,15610,30795,15416,15716,31132,74881,75449,150329,15994,16079,32074,15683,15731,31416,15596,15802,31390,15624,15470,31098,15416,14957,30376,78313,78040,156352,14756,14678,29436,14096,14010,28108,13457,13762,27223,13413,13260,26673,13019,13160,26181,68747,68877,137621,13198,13403,26605,13091,13245,26341,13032,13485,26516,13393,13650,27041,14015,14472,28484,66728,68258,134986,14251,14617,28870,13480,13642,27124,13429,13657,27087,12799,13052,25852,12515,12750,25263,66480,67715,134195,12318,12577,24896,12188,12537,24726,12514,12715,25229,12327,12697,25024,12235,12391,24617,61581,62922,124498,11683,12293
5RWAU,3368,3077,6438,3603,3430,7033,3672,3438,7105,3752,3417,7168,3645,3466,7107,18037,16823,34861,3826,3424,7255,3742,3675,7414,3801,3531,7332,3783,3735,7516,3918,3744,7666,19070,18117,37183,3696,3694,7389,3554,3368,6921,3435,3158,6595,3253,3179,6433,3338,3251,6583,17282,16644,33920,3416,3115,6526,3332,3161,6490,3403,3009,6413,2893,2541,5430,2586,2259,4845,15633,14085,29712,2618,2205,4818,2672,2344,5015,2722,2420,5139,2872,2705,5573,3055,2769,5830,13936,12444,26382,3224,2978,6201,3421,3289,6713,3574,3168,6744,3655,3265,6923,3776,3479,7255,17657,16181,33831,3926,3727,7645,3804,3616,7423,3848,3576,7420,3875,3548,7430,3762,3548,7302,19206,18012,37225,3767,3389,7161,3652,3415,7072,3618,3353,6968,3559,3307,6862,3600,3239,6846,18201,16706,34902,3558,3299,6860,3554,3433,6989,3809,3473,7280,3973,3480,7456,4220,3694,7914,19115,17375,36491,4168,3937,8103,3935,3655,7591,3968,3660,7629,3888,3470,7355,3779,3366,7149,19738,18083,37816,3935,3452,7389,3848,3506,7353,3923,3507,7424,4048,3685,7734,3848,3640,7485,19602,17783,37385,4073,3762
69499,4,0,11,5,5,10,4,0,6,8,7,7,0,9,7,27,20,40,4,0,4,0,4,4,0,0,3,3,3,4,3,4,5,7,12,21,0,0,6,4,0,3,0,4,5,0,3,3,0,3,3,8,9,20,0,3,8,5,6,4,6,7,6,8,10,19,10,13,27,34,33,62,13,3,15,6,5,10,14,4,16,12,6,22,11,8,25,56,29,90,20,9,29,15,7,19,13,8,21,5,12,16,12,6,19,66,38,103,10,3,14,12,4,15,15,3,20,5,4,15,9,7,19,55,29,79,4,4,7,9,4,14,12,7,13,15,15,31,11,4,19,53,30,80,9,8,17,4,3,9,3,3,12,6,3,10,12,7,20,36,24,65,11,6,14,8,3,16,5,9,15,5,5,10,10,6,15,37,29,67,6,3,6,9,8,11,4,11,14,6,4,12,14,7,23,38,36,69,10,6
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,4,8,4,0,4,3,0,3,0,0,0,7,0,7,0,0,0,8,0,14,0,0,0,3,4,8,3,0,3,3,0,3,0,0,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,5,3,4,0,0
6GHOB,1293,1175,2466,1336,1238,2569,1341,1261,2606,1354,1298,2648,1335,1365,2704,6666,6338,12995,1458,1348,2809,1436,1273,2709,1412,1422,2840,1436,1391,2825,1411,1393,2806,7158,6830,13986,1382,1321,2705,1404,1300,2699,1340,1203,2545,1309,1233,2544,1348,1270,2616,6780,6330,13108,1419,1318,2729,1362,1277,2641,1352,1411,2764,1376,1348,2718,1380,1338,2714,6880,6684,13565,1397,1402,2796,1447,1407,2860,1485,1368,2855,1426,1376,2797,1328,1398,2730,7088,6952,14042,1388,1470,2855,1452,1407,2867,1398,1487,2883,1373,1392,2765,1370,1448,2818,6986,7212,14194,1412,1459,2865,1376,1498,2871,1399,1481,2882,1436,1440,2874,1347,1450,2799,6959,7327,14289,1301,1473,2774,1294,1448,2746,1297,1335,2629,1281,1378,2657,1231,1293,2528,6403,6924,13329,1304,1378,2683,1315,1446,2756,1382,1504,2884,1340,1522,2862,1437,1627,3064,6767,7482,14249,1551,1603,3147,1453,1529,2981,1488,1513,3002,1394,1485,2877,1287,1488,2770,7160,7623,14785,1253,1332,2589,1347,1495,2836,1514,1623,3140,1488,1643,3129,1517,1599,3125,7121,7689,14811,1532,1709
6RTAS,1491,1383,2873,1551,1515,3068,1562,1574,3136,1625,1564,3186,1625,1543,3167,7854,7575,15434,1727,1591,3319,1718,1668,3387,1846,1706,3559,1865,1740,3609,1865,1777,3641,9025,8483,17506,1857,1736,3597,1732,1666,3393,1708,1629,3333,1634,1659,3293,1778,1703,3476,8706,8389,17095,1772,1693,3462,1915,1763,3681,1917,1773,3689,1745,1593,3333,1700,1583,3283,9049,8395,17443,1626,1551,3182,1725,1535,3264,1664,1506,3170,1566,1527,3090,1557,1456,3018,8144,7579,15724,1435,1530,2967,1469,1428,2899,1359,1411,2767,1406,1534,2943,1358,1454,2816,7037,7362,14396,1436,1508,2937,1425,1599,3033,1423,1549,2972,1475,1503,2980,1457,1570,3025,7219,7725,14943,1390,1638,3026,1397,1493,2891,1458,1585,3038,1405,1602,3005,1419,1539,2956,7067,7851,14916,1501,1555,3050,1572,1709,3288,1612,1725,3333,1727,1909,3634,1857,2013,3870,8263,8914,17180,1919,2168,4086,1929,1978,3910,1926,2076,4000,1855,2016,3877,1812,1973,3781,9440,10212,19651,1848,2032,3879,1888,1960,3853,2100,2195,4291,2076,2126,4197,2176,2254,4425,10084,10558,20644,2215,2365
79499,5,4,13,3,9,12,8,4,16,10,14,27,9,9,16,45,34,81,3,4,9,7,16,25,3,15,18,11,15,21,10,13,22,31,56,93,6,6,13,0,0,3,3,4,8,0,3,3,3,4,3,19,14,30,0,4,5,0,0,0,3,5,4,9,6,9,7,3,13,16,17,32,5,5,12,17,22,42,15,14,31,30,21,46,31,21,50,98,85,183,38,27,68,20,19,40,18,18,44,20,17,36,26,40,64,122,129,251,39,29,66,13,23,36,26,16,34,10,18,36,18,25,37,98,106,206,22,20,44,24,13,32,10,16,24,20,22,45,18,15,32,97,83,179,42,27,72,15,23,39,14,15,29,23,18,37,24,14,36,122,95,213,47,29,71,28,13,39,19,15,34,19,18,39,19,21,42,131,99,225,48,27,70,18,17,35,22,23,43,15,20,33,20,29,52,126,104,233,17,18
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,11,0,0,3,0,0,0,0,0,0,4,0,7,5,0,5,14,3,17,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,10,0,7,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0
7GDAR,1030,1027,2057,1091,1039,2123,1050,981,2026,941,1008,1955,1028,966,1997,5137,5018,10155,998,913,1907,971,880,1842,924,873,1793,947,923,1875,937,865,1800,4774,4455,9223,876,853,1728,826,782,1609,788,769,1559,848,779,1629,816,810,1627,4162,3991,8148,856,752,1614,821,777,1595,770,733,1502,806,628,1430,786,665,1450,4039,3560,7600,870,688,1559,1028,762,1789,1049,852,1902,1082,977,2054,1174,1077,2252,5198,4355,9555,1344,1222,2571,1436,1198,2635,1415,1304,2721,1450,1355,2800,1436,1311,2739,7081,6389,13470,1455,1356,2812,1421,1319,2746,1377,1237,2615,1409,1288,2696,1299,1226,2526,6963,6425,13388,1323,1134,2461,1225,1130,2358,1223,1087,2307,1125,1056,2182,1139,989,2123,6038,5401,11436,1121,1072,2196,1042,954,1994,1133,994,2127,1076,889,1971,1066,995,2062,5438,4911,10347,1232,1024,2254,1068,949,2017,1041,943,1983,989,927,1919,1037,858,1895,5367,4694,10063,947,910,1856,917,782,1703,958,814,1769,959,853,1814,936,807,1742,4721,4163,8886,929,835
7RNTE,672,619,1293,852,721,1572,760,718,1481,771,728,1501,769,781,1550,3829,3572,7398,833,760,1588,830,763,1595,819,721,1544,731,693,1422,667,688,1357,3886,3621,7505,755,681,1439,694,632,1327,711,606,1316,721,682,1404,715,641,1357,3595,3242,6840,729,655,1391,714,615,1327,657,572,1226,676,616,1298,641,566,1205,3420,3023,6446,714,642,1358,696,634,1328,722,614,1336,687,725,1405,732,743,1475,3544,3357,6905,744,855,1601,802,772,1575,785,830,1614,788,794,1583,807,803,1608,3921,4053,7973,820,849,1667,742,780,1519,744,831,1573,771,754,1524,706,720,1426,3778,3934,7710,749,757,1503,599,637,1239,606,636,1237,595,632,1223,581,600,1187,3135,3255,6392,703,669,1376,541,517,1061,620,638,1258,542,574,1115,607,624,1235,3010,3029,6039,721,678,1395,566,676,1236,573,585,1157,599,596,1189,577,594,1176,3035,3120,6159,665,672,1335,536,497,1036,544,568,1108,579,563,1140,527,587,1112,2849,2887,5728,572,526
89499,0,0,0,0,3,3,0,0,3,0,0,3,3,0,3,5,6,12,0,0,4,5,3,8,3,3,6,4,3,7,0,0,0,7,7,22,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,4,4,0,0,3,3,4,8,3,3,10,4,8,11,16,20,35,9,8,11,5,3,4,4,4,11,5,16,28,13,9,26,36,42,79,6,9,12,7,4,12,7,3,9,4,9,10,7,3,13,36,21,60,7,3,10,10,3,13,6,9,19,5,0,4,0,3,3,32,20,47,7,11,17,8,3,7,8,4,16,0,3,5,8,10,17,31,25,59,4,3,13,11,0,15,8,0,9,0,0,3,10,4,14,37,9,45,3,3,5,3,3,6,0,3,8,7,0,3,3,0,5,14,11,26,6,0,8,3,0,10,3,3,7,6,4,11,7,5,12,32,15,43,3,3
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,2663,2459,5125,2843,2641,5478,2822,2563,5379,2757,2670,5422,2813,2558,5375,13892,12889,26782,2747,2505,5249,2786,2575,5367,2647,2433,5077,2558,2384,4944,2476,2309,4785,13221,12209,25428,2518,2336,4853,2263,2217,4484,2254,2121,4374,2246,2063,4309,2112,2096,4207,11387,10841,22234,2208,2099,4307,2203,2156,4360,2339,2287,4628,2635,2625,5260,2967,2952,5914,12350,12124,24468,3039,2954,5998,3164,3058,6226,3211,3168,6376,3268,3217,6476,3151,3129,6274,15829,15525,31354,3271,3274,6549,3180,3319,6496,3189,3311,6502,3212,3312,6523,3053,3299,6349,15913,16512,32426,3288,3392,6681,3189,3490,6679,3414,3490,6903,3307,3314,6624,3260,3444,6706,16461,17122,33587,3231,3266,6497,3012,3166,6177,3070,3011,6074,2841,2838,5677,2838,2860,5694,14985,15147,30131,2768,2737,5503,2805,2785,5587,2788,2842,5629,2720,2945,5662,2808,2976,5782,13891,14281,28167,2921,2968,5884,2743,2731,5472,2568,2763,5332,2535,2515,5052,2385,2407,4789,13149,13377,26524,2372,2598,4964,2283,2482,4764,2371,2553,4920,2393,2387,4781,2399,2559,4956,11813,12573,24387,2327,2443
99499,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,4,4,0,0,3,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,13,27,46,26,24,47,35,25,63,28,21,51,35,24,60,141,126,261,32,23,52,30,28,62,30,28,54,29,27,59,32,22,58,156,130,284,33,31,68,19,24,43,17,23,43,22,26,47,28,26,60,126,135,262,14,22,40,25,17,45,23,22,44,26,13,42,16,26,42,101,107,205,21,8,28,23,11,33,38,11,49,29,15,44,26,15,47,134,63,199,25,11,38,27,15,40,23,24,51,43,27,63,42,26,67,163,95,257,40,23,59,34,30,62,27,36,62,37,31,68,35,18,54,164,144,312,41,31,70,29,22,56,51,35,79,28,26,56,35,22,58,176,137,317,33,27,56,28,22,46,38,26,65,31,40,73,41,31,76,167,148,317,45,33,76,37,33,74,26,44,72,25,25,53,34,25,64,170,162,331,34,40,76,42,36,72,39,33,65,40,28,65,53,42,96,206,174,374,33,37
