GCCSA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,25,10,8,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,0,0,0,4,7,9,14,0,36,0,3,10,41,16,10,8,8,0,99,0,6,5,30,0,3,0,0,0,51,3,34,24,49,3,6,0,0,0,118,0,0,0,0,0,3,0,0,0,4,0,0,0,3,5,0,0,0,0,16,9,47,37,113,70,71,60,23,4,426,5,3,21,51,12,6,3,0,0,109,0,6,3,15,23,23,26,20,9,123,0,3,8,12,20,12,12,0,0,74,30,107,178,577,251,200,178,139,57,1719,320,568,644,1679,985,1062,870,557,197,6889,6666,13936,13968,27117,14285,14085,10584,5388,1906,107930,0,3,13,48,13,3,3,0,0,79,5907,11909,11328,22751,12090,11870,8446,4545,2330,91182,0,3,0,26,0,0,0,0,0,30,0,0,0,11,9,6,3,3,0,41,0,0,0,5,3,0,0,0,0,11,0,6,13,89,36,32,31,3,0,218,0,3,4,21,23,15,3,3,0,70
6RTAS,0,0,0,0,0,6,10,11,0,34,0,11,4,43,13,13,0,6,0,98,0,0,4,55,0,0,0,0,0,61,3,12,21,15,5,3,0,0,0,57,0,0,0,0,0,0,7,0,0,6,0,0,0,4,11,3,6,0,0,25,9,31,26,77,53,81,72,31,3,381,5,3,8,26,9,5,0,0,0,60,0,0,0,21,30,36,58,22,11,170,0,0,8,21,13,17,12,3,0,72,18,79,124,371,200,225,232,166,65,1481,404,886,1035,2284,1725,1980,1762,932,312,11310,7854,17733,17188,29583,19526,20926,17444,8281,2440,140977,0,0,20,51,8,0,0,0,0,74,7048,15414,14107,26315,16732,16827,12594,6494,2947,118475,0,0,3,11,0,0,0,0,0,19,0,0,0,4,3,3,0,0,0,14,0,0,0,5,3,0,0,0,0,7,3,8,12,76,37,42,24,7,3,213,0,0,0,8,8,3,6,0,0,28
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,3,0,0,16,8,10,34,155,90,51,32,9,0,386,45,48,121,438,257,229,174,20,0,1332,0,0,0,0,0,0,0,0,0,0,28,56,33,193,125,132,55,9,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,44,11,3,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,0,0,0,3,6,3,3,4,0,28,11,24,24,162,51,21,11,10,4,329,9,5,8,123,4,4,0,3,0,162,20,47,47,71,21,11,3,3,0,223,0,0,0,3,5,3,0,0,0,10,0,0,0,9,10,3,0,0,0,29,12,22,24,76,41,29,29,3,0,228,4,17,40,122,62,57,20,3,0,333,0,0,5,30,16,11,9,3,0,71,3,17,25,103,39,21,5,0,0,209,47,167,182,761,368,265,201,108,20,2122,509,793,1033,3547,1400,1021,530,146,36,9013,5137,8931,9241,25525,10094,7434,4021,1246,273,71889,0,0,0,3,0,0,0,0,0,4,4242,6465,5530,12823,5178,3743,1749,539,178,40447,4,12,17,81,7,4,0,0,0,139,0,0,0,6,3,4,0,0,0,16,0,5,5,47,12,19,8,0,0,102,0,3,8,70,17,20,14,3,0,131,0,0,0,5,3,9,3,0,0,24
7RNTE,0,0,0,0,0,3,8,0,0,7,3,14,7,38,13,6,0,0,0,79,0,0,4,39,0,0,0,0,0,53,0,9,8,13,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,21,45,45,154,66,56,21,6,0,415,0,5,10,32,25,8,3,0,0,76,0,0,0,0,9,6,3,0,0,17,3,24,12,43,25,13,3,0,0,124,9,31,29,201,92,58,42,10,0,477,311,540,616,1473,773,671,336,106,18,4845,3829,7481,6962,13839,5881,4439,2119,624,116,45287,0,0,0,3,0,0,0,0,0,4,3249,6067,5453,10607,4371,3113,1328,448,128,34767,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,10,0,0,5,20,11,9,10,0,0,51,0,0,0,4,0,0,0,0,0,10
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,9,0,0,5,21,9,8,0,0,0,45,5,10,53,131,43,38,15,5,0,312,0,0,0,0,0,0,0,0,0,0,3,7,37,50,13,18,6,0,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,0,0,3,19,38,51,25,31,3,168,9,93,125,534,236,197,122,50,10,1366,7,8,36,134,21,12,4,0,0,233,18,58,101,196,32,31,12,5,0,439,0,8,7,56,33,52,25,12,0,197,0,3,17,65,25,6,10,4,0,128,56,199,191,406,186,156,107,36,4,1340,13,53,124,533,317,291,81,46,12,1468,0,10,11,57,40,53,44,28,9,246,0,15,51,120,65,33,12,0,0,300,93,429,614,2430,989,796,593,375,125,6451,621,866,1389,3750,1451,1143,928,620,299,11068,13892,24610,28175,61242,24959,19870,13929,6436,2316,195432,3,10,39,93,39,22,8,3,0,210,11800,19442,19985,39242,16738,13437,9120,4203,1915,135878,6,40,55,420,80,47,11,0,0,654,0,0,0,58,45,29,27,16,5,185,6,14,28,98,32,24,19,12,0,224,3,42,50,238,135,87,54,16,6,615,0,11,9,138,78,78,71,21,14,418
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,7,4,3,3,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,11,3,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,49,10,6,3,0,0,80,12,24,36,89,55,51,37,15,4,316,141,281,235,669,371,359,255,95,28,2432,0,0,0,0,0,0,0,0,0,0,103,223,130,277,152,152,104,50,15,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
