GCCSA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
4GADE,2796,4275,7069,1633,2159,3793,2582,9217,11806,2461,14009,16476,9362,27495,36856,10491,14523,25015,26892,12443,39331,23146,14287,37428,29946,14055,43998,28550,9033,37582,22746,7363,30109,22383,5173,27555,42161,6315,48471,28264,958,29222,17363,551,17908,10737,2515,13248,21640,435,22074,31076,3320,34393,3945,6163,10109,338181,154273,492448
4RSAU,716,1000,1718,620,704,1324,893,3462,4353,933,5112,6046,4055,10864,14921,3701,4756,8451,11277,3999,15275,8107,4046,12158,9947,3625,13565,9295,2129,11426,6282,1545,7823,6427,1040,7467,10415,1290,11708,6085,167,6256,3248,88,3331,1734,562,2295,3245,69,3311,9775,517,10298,1879,2731,4611,98639,47705,146344
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,4973,5889,10861,2300,2519,4821,3695,8936,12632,3226,13035,16264,10773,26507,37282,11449,14447,25897,28138,11989,40129,24252,14554,38806,33524,16956,50477,32988,13040,46024,28882,11318,40203,29948,8849,38796,64220,13935,78158,46283,2191,48471,31328,1390,32718,25997,6100,32098,57258,1624,58881,58620,6208,64826,5788,7155,12938,503642,186642,690280
5RWAU,1074,1345,2414,706,738,1441,1045,2759,3805,1057,4228,5286,3689,8102,11794,3596,4005,7596,9301,3563,12860,7046,3940,10986,8930,4163,13090,8807,2939,11745,7095,2577,9667,7792,2138,9927,15224,3557,18785,10430,397,10825,6927,218,7145,5051,1412,6463,9903,326,10227,16211,1155,17361,2364,2695,5056,126238,50254,176495
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,341,522,863,183,350,529,424,1514,1942,479,2527,2999,1547,5187,6731,1970,2876,4848,4500,2387,6884,4048,2635,6687,5200,2630,7829,5109,1682,6789,3983,1355,5337,3864,918,4784,7263,1020,8279,4610,155,4768,2871,87,2962,1820,379,2196,3227,56,3284,5275,674,5947,695,1277,1976,57405,28216,85630
6RTAS,493,756,1244,397,482,875,679,2742,3418,760,3986,4746,3150,8712,11862,3156,3839,6993,8863,3041,11905,6269,3197,9466,7662,2702,10368,7041,1527,8570,5082,1181,6263,4779,801,5575,7806,792,8604,4533,116,4651,2313,37,2354,1306,362,1668,2292,51,2342,7262,539,7796,1329,1929,3252,75163,36788,111949
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,160,238,401,74,87,165,132,304,443,150,658,805,408,774,1176,409,498,902,781,553,1327,866,785,1652,1338,1073,2412,1564,1001,2566,1546,891,2433,1775,808,2585,4374,1338,5710,3452,284,3734,2801,214,3020,2395,646,3040,5203,350,5549,3642,579,4224,444,447,890,31515,11527,43043
7RNTE,94,141,231,129,94,222,277,284,560,131,360,491,582,391,974,428,303,735,755,403,1159,868,501,1371,1010,621,1626,1042,579,1621,849,477,1328,907,437,1336,1876,594,2465,1425,86,1513,921,56,984,648,172,818,1130,68,1198,2136,196,2337,680,364,1044,15881,6131,22013
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,494,922,1417,239,456,701,449,1375,1826,461,2216,2675,1236,3532,4763,1381,2464,3843,2872,2516,5392,3212,3149,6361,4959,4024,8986,5597,3869,9462,5226,3767,8995,5518,2659,8179,13190,5446,18642,11353,759,12111,9127,450,9580,7630,1827,9457,17565,493,18060,9111,1377,10488,681,1045,1726,100308,42355,142664
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,4,9,15,7,8,12,10,21,26,3,25,30,21,60,78,24,43,68,50,38,84,58,34,99,98,28,127,89,20,105,67,21,88,67,16,83,124,34,156,71,4,77,42,0,42,25,10,36,59,0,59,114,3,120,24,21,42,980,383,1360
