GCCSA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
3GBRI,625,13197,45382,35763,33207,23889,8862,2395,924,164243,211,5721,32947,27832,24743,16097,4827,1072,361,113807,112,2200,25093,27237,24090,14947,3440,727,282,98129,40,878,14391,18992,16823,9700,2175,482,167,63652,43,670,17779,30129,26692,14083,3026,732,285,93445,126,344,5504,17387,18560,9962,2984,940,370,56162,11450,13207,26953,22161,20875,17472,15090,10982,9097,147292,146581,170741,343233,317932,299059,244790,178208,87505,38357,1826402
3RQLD,788,11107,35349,33049,34972,26914,10808,3177,1127,157288,250,5210,24118,23990,24186,17219,5418,1270,393,102054,118,2366,17965,22172,23143,15383,3807,936,290,86180,67,1161,10622,14881,15257,9958,2436,592,214,55202,59,1165,14782,21996,22408,13222,3213,825,252,77931,163,464,4961,11020,12153,8080,3148,1103,361,41446,16405,15093,30397,28449,31117,29301,26035,17602,11434,205826,149284,144979,301158,308690,330959,305688,242444,121922,47131,1952257
49499,0,8,43,26,20,19,8,0,0,122,0,3,14,14,12,6,0,0,0,51,0,0,6,15,12,5,3,0,0,37,0,0,9,0,5,10,3,0,0,21,0,0,7,11,11,5,0,0,0,40,3,0,3,3,4,0,0,0,0,19,11,33,71,61,100,64,34,10,7,400,173,266,556,421,474,403,271,59,22,2648
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
4GADE,171,5202,23322,19321,20081,15897,6404,1880,933,93218,66,2013,15608,13952,13703,9940,3409,781,349,59826,34,740,11431,12893,12327,9035,2316,541,286,49605,29,228,6104,9077,9129,6505,1565,375,178,33193,24,238,6066,12146,12691,8159,2003,511,216,42059,86,165,1720,5606,7155,5030,1993,680,365,22799,5687,5358,11145,9664,10261,9549,8926,7334,5951,73880,79385,89535,178301,167253,174077,157723,120817,68502,34170,1069769
4RSAU,98,1280,4345,4472,5486,5009,1972,606,232,23504,27,638,2842,2858,3581,2912,935,181,64,14038,18,242,2067,2447,2958,2457,597,179,52,11011,10,124,1178,1736,2073,1646,394,70,32,7261,4,112,1394,2177,2549,1815,462,122,48,8680,26,57,401,902,1086,984,457,152,78,4138,2547,1699,3721,3661,4536,4892,4757,3249,2370,31438,21132,18193,39251,41789,52332,55791,47762,24701,10292,311230
59499,0,21,97,57,33,35,18,3,0,258,0,11,51,23,31,25,9,0,0,154,0,7,47,35,35,25,5,0,0,153,0,7,45,24,25,27,3,0,0,130,0,10,76,64,60,36,14,0,0,246,0,5,39,41,31,26,3,0,0,153,24,95,268,136,176,168,111,20,8,1007,151,503,1306,910,957,977,633,98,23,5559
59799,0,3,6,3,0,0,0,0,0,19,0,0,4,3,4,3,0,0,0,14,0,0,10,6,3,8,3,0,0,24,0,0,6,10,6,4,0,0,0,25,0,4,43,21,20,6,0,0,0,95,0,0,27,61,42,12,0,0,0,138,0,3,28,21,20,6,0,0,0,89,0,20,127,127,105,43,8,3,3,434
5GPER,477,10561,37467,26460,26256,20365,8149,2320,971,133028,140,5489,28837,21885,20665,14582,4722,1005,363,97683,70,2525,24241,21084,19987,13381,3524,767,261,85843,31,1142,16028,17037,15859,10425,2475,493,206,63701,35,1257,23250,30865,28794,17265,3715,797,281,106259,90,486,8300,20246,21431,12134,3382,968,344,67382,9382,10967,26688,20668,19036,15814,13539,11130,8531,135758,120129,133434,306680,272610,258693,212965,152368,82007,34652,1573536
5RWAU,267,2272,6518,6289,6927,5756,2216,620,212,31080,95,1317,4876,4901,5253,3901,1194,291,73,21906,59,895,4510,4621,5130,3804,927,201,62,20209,36,585,3657,4035,4254,3059,583,144,43,16403,38,790,7034,8121,8044,4944,916,185,50,30115,46,285,3413,4718,4528,2774,817,206,60,16842,4330,3412,9769,8862,9034,7856,5671,3577,1978,54492,29712,26382,71057,71401,75202,68053,46655,21993,7752,418207
69499,0,3,12,10,5,4,0,0,0,36,0,0,3,7,7,8,0,0,0,27,0,0,7,3,0,0,0,0,0,9,0,0,5,0,0,3,0,0,0,9,0,0,7,4,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,4,7,19,37,22,27,16,16,6,0,138,62,90,183,147,135,113,84,12,3,835
69799,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,9,0,8,23,5,15,12,7,0,0,73
6GHOB,27,870,3739,3194,3474,3023,1260,416,177,16180,7,305,2455,2496,2518,1956,587,149,75,10552,5,92,1679,2190,2390,1786,410,119,50,8719,3,37,868,1563,1747,1186,224,70,34,5734,3,23,777,1829,2256,1436,324,101,48,6790,13,37,231,768,1066,794,310,98,51,3372,1150,999,2044,1802,1932,2116,1935,1420,859,14260,13565,14042,28485,27577,29598,29440,22183,12093,5275,182260
6RTAS,67,935,3514,3460,4265,3567,1290,387,126,17606,16,410,2152,2301,2717,2086,600,123,41,10449,7,158,1396,1920,2450,1844,383,97,45,8299,9,59,799,1331,1632,1165,226,44,15,5287,3,50,703,1391,1723,1221,297,71,17,5476,19,44,224,563,828,766,326,114,49,2934,1892,1231,2175,2362,3029,3501,3567,2294,1204,21247,17443,15724,29338,32094,40297,42594,35104,17500,6490,236592
79499,0,3,24,17,12,26,6,0,0,88,0,3,21,18,16,7,9,0,0,69,0,0,17,11,5,13,4,0,0,49,0,0,5,15,12,0,0,0,0,33,0,3,22,10,18,10,0,0,0,58,0,0,6,8,16,8,3,0,0,39,4,47,143,96,111,81,51,12,0,551,32,183,457,396,461,438,278,38,0,2281
79799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,5,0,0,0,25,0,3,30,19,9,3,0,3,0,72
7GDAR,120,1347,3477,2254,1954,1345,517,105,30,11149,26,783,2931,1979,1756,1122,326,44,8,8978,21,380,2426,2044,1709,1081,251,44,6,7964,7,143,1523,1662,1614,919,186,20,5,6077,6,156,2351,2798,2488,1483,279,37,10,9615,6,78,1125,1572,1440,887,197,42,4,5346,1165,1445,4046,2978,2560,1930,1046,387,131,15700,7600,9555,26858,21789,18951,14042,7413,2470,626,109301
7RNTE,47,399,1287,864,940,685,190,24,4,4455,14,207,998,736,811,570,128,17,0,3478,13,107,792,733,736,510,89,13,0,2995,0,55,424,530,617,533,87,3,0,2250,3,40,591,805,834,651,98,11,3,3039,8,8,133,272,361,241,77,3,3,1104,1833,1534,3078,2253,2138,1517,714,230,67,13370,6446,6905,15691,12427,11887,8810,3969,1266,310,67701
89499,0,9,7,3,3,3,0,0,0,27,0,4,6,7,0,3,0,0,0,21,0,0,6,5,3,8,0,0,0,20,0,0,4,0,0,3,0,0,0,8,0,0,3,0,3,3,0,0,0,13,0,0,0,3,0,4,0,0,0,9,6,9,9,26,6,20,0,3,0,88,35,79,108,107,68,78,24,8,3,506
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,171,3242,8531,5235,4323,4003,2702,953,386,29543,36,1652,9301,5483,4370,3555,1815,533,214,26966,19,549,7820,6447,5366,3545,1467,400,151,25763,9,156,4423,5103,4043,2601,905,214,99,17555,23,120,5790,11275,10392,5649,1430,299,132,35116,21,58,1248,4109,5141,3152,874,244,98,14945,1539,2167,4663,3531,3063,2531,2145,1648,1415,22691,24468,31354,66008,58298,50915,41426,29428,14352,6155,322415
99499,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,8,3,10,0,5,9,11,13,0,0,46
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
9OTER,0,16,49,55,64,58,26,0,0,273,3,8,30,40,38,42,17,0,0,188,0,6,23,32,44,36,17,5,0,171,0,0,21,42,34,32,11,0,0,151,0,4,29,48,63,41,12,0,0,204,0,0,7,13,11,13,6,0,0,58,49,70,179,124,127,102,70,30,12,755,205,199,566,633,707,701,463,182,51,3714
