SED_NAME16	AgeStudent	students
Granville	25+	4303
Hawkesbury	0-4	1254
Hawkesbury	5-14	9396
Hawkesbury	15-19	3785
Hawkesbury	20-24	1438
Hawkesbury	25+	1895
Heathcote	0-4	1484
Heathcote	5-14	9825
Heathcote	15-19	3949
Heathcote	20-24	1724
Heathcote	25+	2259
Heffron	0-4	970
Heffron	5-14	5943
Heffron	15-19	5597
Heffron	20-24	10474
Heffron	25+	8202
Holsworthy	0-4	1406
Holsworthy	5-14	11776
Holsworthy	15-19	4928
Holsworthy	20-24	2244
Holsworthy	25+	2657
Hornsby	0-4	1343
Hornsby	5-14	10431
Hornsby	15-19	4387
Hornsby	20-24	2289
Hornsby	25+	2982
Keira	0-4	1363
Keira	5-14	9768
Keira	15-19	4120
Keira	20-24	2595
Keira	25+	3075
Kiama	0-4	1205
Kiama	5-14	8102
Kiama	15-19	3227
Kiama	20-24	1108
Kiama	25+	1901
Kogarah	0-4	1113
Kogarah	5-14	8471
Kogarah	15-19	4451
Kogarah	20-24	4548
Kogarah	25+	5465
Ku-ring-gai	0-4	1331
Ku-ring-gai	5-14	11057
Ku-ring-gai	15-19	5365
Ku-ring-gai	20-24	2600
Ku-ring-gai	25+	2983
Lake Macquarie	0-4	1012
Lake Macquarie	5-14	7737
Lake Macquarie	15-19	3173
Lake Macquarie	20-24	1160
Lake Macquarie	25+	2036
Lakemba	0-4	1386
Lakemba	5-14	11695
Lakemba	15-19	4715
Lakemba	20-24	3097
Lakemba	25+	4390
Lane Cove	0-4	1352
Lane Cove	5-14	9444
Lane Cove	15-19	4247
Lane Cove	20-24	2414
Lane Cove	25+	3544
Lismore	0-4	924
Lismore	5-14	8313
Lismore	15-19	3153
Lismore	20-24	1014
Lismore	25+	2569
Liverpool	0-4	1187
Liverpool	5-14	11852
Liverpool	15-19	5069
Liverpool	20-24	2508
Liverpool	25+	3284
Londonderry	0-4	1498
Londonderry	5-14	11636
Londonderry	15-19	3879
Londonderry	20-24	1557
Londonderry	25+	2573
Macquarie Fields	0-4	1295
Macquarie Fields	5-14	11005
Macquarie Fields	15-19	4346
Macquarie Fields	20-24	2110
Macquarie Fields	25+	2974
Maitland	0-4	1340
Maitland	5-14	10296
Maitland	15-19	3539
Maitland	20-24	1303
Maitland	25+	2399
Manly	0-4	1394
Manly	5-14	9920
Manly	15-19	3318
Manly	20-24	1786
Manly	25+	3192
Maroubra	0-4	1172
Maroubra	5-14	8540
Maroubra	15-19	3826
Maroubra	20-24	3122
Maroubra	25+	3474
Miranda	0-4	1285
Miranda	5-14	8768
Miranda	15-19	3521
Miranda	20-24	1734
Miranda	25+	2063
Monaro	0-4	952
Monaro	5-14	8896
Monaro	15-19	3375
Monaro	20-24	1241
Monaro	25+	2817
Mount Druitt	0-4	1271
Mount Druitt	5-14	12531
Mount Druitt	15-19	5159
Mount Druitt	20-24	2290
Mount Druitt	25+	3148
Mulgoa	0-4	1403
Mulgoa	5-14	11255
Mulgoa	15-19	4787
Mulgoa	20-24	2024
Mulgoa	25+	2106
Murray	0-4	1148
Murray	5-14	9537
Murray	15-19	3368
Murray	20-24	641
Murray	25+	1653
Myall Lakes	0-4	940
Myall Lakes	5-14	7132
Myall Lakes	15-19	2625
Myall Lakes	20-24	521
Myall Lakes	25+	1604
Newcastle	0-4	947
Newcastle	5-14	6450
Newcastle	15-19	2506
Newcastle	20-24	2615
Newcastle	25+	3864
Newtown	0-4	593
Newtown	5-14	3872
Newtown	15-19	3030
Newtown	20-24	6709
Newtown	25+	7438
North Shore	0-4	967
North Shore	5-14	5965
North Shore	15-19	2464
North Shore	20-24	1845
North Shore	25+	3795
Northern Tablelands	0-4	1192
Northern Tablelands	5-14	9143
Northern Tablelands	15-19	3725
Northern Tablelands	20-24	1944
Northern Tablelands	25+	2580
Oatley	0-4	1105
Oatley	5-14	8574
Oatley	15-19	4202
Oatley	20-24	2443
Oatley	25+	2757
Orange	0-4	1222
Orange	5-14	9892
Orange	15-19	3491
Orange	20-24	977
Orange	25+	2370
Oxley	0-4	1014
Oxley	5-14	7905
Oxley	15-19	2779
Oxley	20-24	529
Oxley	25+	1728
Parramatta	0-4	1459
Parramatta	5-14	9829
Parramatta	15-19	4188
Parramatta	20-24	3474
Parramatta	25+	5681
Penrith	0-4	1417
Penrith	5-14	9629
Penrith	15-19	3567
Penrith	20-24	1512
Penrith	25+	2681
Pittwater	0-4	1201
Pittwater	5-14	8834
Pittwater	15-19	3404
Pittwater	20-24	1543
Pittwater	25+	1961
Port Macquarie	0-4	963
Port Macquarie	5-14	7670
Port Macquarie	15-19	2948
Port Macquarie	20-24	726
Port Macquarie	25+	2028
Port Stephens	0-4	1001
Port Stephens	5-14	8028
Port Stephens	15-19	2836
Port Stephens	20-24	860
Port Stephens	25+	1692
Prospect	0-4	1181
Prospect	5-14	10019
Prospect	15-19	3995
Prospect	20-24	2158
Prospect	25+	2718
Riverstone	0-4	1809
Riverstone	5-14	13644
Riverstone	15-19	5067
Riverstone	20-24	2391
Riverstone	25+	3047
Rockdale	0-4	1090
Rockdale	5-14	7664
Rockdale	15-19	3434
Rockdale	20-24	3297
Rockdale	25+	5013
Ryde	0-4	1249
Ryde	5-14	8341
Ryde	15-19	4254
Ryde	20-24	5483
Ryde	25+	6018
Seven Hills	0-4	1451
Seven Hills	5-14	9921
Seven Hills	15-19	3562
Seven Hills	20-24	2058
Seven Hills	25+	3254
Shellharbour	0-4	1437
Shellharbour	5-14	10061
Shellharbour	15-19	3874
Shellharbour	20-24	1340
Shellharbour	25+	2084
South Coast	0-4	964
South Coast	5-14	7097
South Coast	15-19	2369
South Coast	20-24	554
South Coast	25+	1556
Strathfield	0-4	1029
Strathfield	5-14	7892
Strathfield	15-19	4716
Strathfield	20-24	5751
Strathfield	25+	6215
Summer Hill	0-4	976
Summer Hill	5-14	6926
Summer Hill	15-19	2842
Summer Hill	20-24	3112
Summer Hill	25+	5307
Swansea	0-4	1099
Swansea	5-14	7969
Swansea	15-19	3127
Swansea	20-24	1142
Swansea	25+	1689
Sydney	0-4	559
Sydney	5-14	2740
Sydney	15-19	1867
Sydney	20-24	5306
Sydney	25+	9681
Tamworth	0-4	1318
Tamworth	5-14	9342
Tamworth	15-19	3016
Tamworth	20-24	761
Tamworth	25+	1913
Terrigal	0-4	1174
Terrigal	5-14	8962
Terrigal	15-19	3623
Terrigal	20-24	1390
Terrigal	25+	2199
The Entrance	0-4	1203
The Entrance	5-14	8600
The Entrance	15-19	3186
The Entrance	20-24	1280
The Entrance	25+	2223
Tweed	0-4	842
Tweed	5-14	7784
Tweed	15-19	2972
Tweed	20-24	939
Tweed	25+	2174
Upper Hunter	0-4	1219
Upper Hunter	5-14	9437
Upper Hunter	15-19	3180
Upper Hunter	20-24	731
Upper Hunter	25+	1668
Vaucluse	0-4	1254
Vaucluse	5-14	7635
Vaucluse	15-19	3078
Vaucluse	20-24	2139
Vaucluse	25+	3513
Wagga Wagga	0-4	1117
Wagga Wagga	5-14	9522
Wagga Wagga	15-19	3497
Wagga Wagga	20-24	1912
Wagga Wagga	25+	2737
Wakehurst	0-4	1345
Wakehurst	5-14	10215
Wakehurst	15-19	4080
Wakehurst	20-24	1849
Wakehurst	25+	2772
Wallsend	0-4	1297
Wallsend	5-14	8930
Wallsend	15-19	4060
Wallsend	20-24	3995
Wallsend	25+	3948
Willoughby	0-4	1490
Willoughby	5-14	9752
Willoughby	15-19	3756
Willoughby	20-24	2833
Willoughby	25+	4042
Wollondilly	0-4	1251
Wollondilly	5-14	9671
Wollondilly	15-19	3660
Wollondilly	20-24	1108
Wollondilly	25+	1747
Wollongong	0-4	1144
Wollongong	5-14	7695
Wollongong	15-19	3868
Wollongong	20-24	4162
Wollongong	25+	4109
Wyong	0-4	1274
Wyong	5-14	9646
Wyong	15-19	3427
Wyong	20-24	1180
Wyong	25+	2205
No usual address (NSW)	0-4	43
No usual address (NSW)	5-14	304
No usual address (NSW)	15-19	172
No usual address (NSW)	20-24	283
No usual address (NSW)	25+	430
Migratory - Offshore - Shipping (NSW)	5-14	22
Migratory - Offshore - Shipping (NSW)	15-19	5
Migratory - Offshore - Shipping (NSW)	20-24	3
Migratory - Offshore - Shipping (NSW)	25+	8
Albert Park (Southern Metropolitan)	0-4	673
Albert Park (Southern Metropolitan)	5-14	3851
Albert Park (Southern Metropolitan)	15-19	1989
Albert Park (Southern Metropolitan)	20-24	3238
Albert Park (Southern Metropolitan)	25+	4459
Altona (Western Metropolitan)	0-4	1549
Altona (Western Metropolitan)	5-14	11858
Altona (Western Metropolitan)	15-19	3952
Altona (Western Metropolitan)	20-24	2109
Altona (Western Metropolitan)	25+	3693
Bass (Eastern Victoria)	0-4	965
Bass (Eastern Victoria)	5-14	8931
Bass (Eastern Victoria)	15-19	2952
Bass (Eastern Victoria)	20-24	850
Bass (Eastern Victoria)	25+	1903
Bayswater (Eastern Metropolitan)	0-4	812
Bayswater (Eastern Metropolitan)	5-14	6507
Bayswater (Eastern Metropolitan)	15-19	2701
Bayswater (Eastern Metropolitan)	20-24	1367
Bayswater (Eastern Metropolitan)	25+	2013
Bellarine (Western Victoria)	0-4	694
Bellarine (Western Victoria)	5-14	6859
Bellarine (Western Victoria)	15-19	2555
Bellarine (Western Victoria)	20-24	883
Bellarine (Western Victoria)	25+	1537
Benambra (Northern Victoria)	0-4	885
Benambra (Northern Victoria)	5-14	7723
Benambra (Northern Victoria)	15-19	2980
Benambra (Northern Victoria)	20-24	932
Benambra (Northern Victoria)	25+	1987
Bendigo East (Northern Victoria)	0-4	767
Bendigo East (Northern Victoria)	5-14	7844
Bendigo East (Northern Victoria)	15-19	3258
Bendigo East (Northern Victoria)	20-24	1715
Bendigo East (Northern Victoria)	25+	1718
Bendigo West (Northern Victoria)	0-4	581
Bendigo West (Northern Victoria)	5-14	6285
Bendigo West (Northern Victoria)	15-19	2358
Bendigo West (Northern Victoria)	20-24	890
Bendigo West (Northern Victoria)	25+	1620
Bentleigh (Southern Metropolitan)	0-4	979
Bentleigh (Southern Metropolitan)	5-14	7883
Bentleigh (Southern Metropolitan)	15-19	3408
Bentleigh (Southern Metropolitan)	20-24	1817
Bentleigh (Southern Metropolitan)	25+	2033
Box Hill (Eastern Metropolitan)	0-4	897
Box Hill (Eastern Metropolitan)	5-14	7540
Box Hill (Eastern Metropolitan)	15-19	4111
Box Hill (Eastern Metropolitan)	20-24	3428
Box Hill (Eastern Metropolitan)	25+	3531
Brighton (Southern Metropolitan)	0-4	868
Brighton (Southern Metropolitan)	5-14	7416
Brighton (Southern Metropolitan)	15-19	3209
Brighton (Southern Metropolitan)	20-24	1750
Brighton (Southern Metropolitan)	25+	2149
Broadmeadows (Northern Metropolitan)	0-4	782
Broadmeadows (Northern Metropolitan)	5-14	8724
Broadmeadows (Northern Metropolitan)	15-19	3917
Broadmeadows (Northern Metropolitan)	20-24	2297
Broadmeadows (Northern Metropolitan)	25+	3234
Brunswick (Northern Metropolitan)	0-4	714
Brunswick (Northern Metropolitan)	5-14	5113
Brunswick (Northern Metropolitan)	15-19	2178
Brunswick (Northern Metropolitan)	20-24	3699
Brunswick (Northern Metropolitan)	25+	5550
Bulleen (Eastern Metropolitan)	0-4	689
Bulleen (Eastern Metropolitan)	5-14	5929
Bulleen (Eastern Metropolitan)	15-19	3189
Bulleen (Eastern Metropolitan)	20-24	2210
Bulleen (Eastern Metropolitan)	25+	2240
Bundoora (Northern Metropolitan)	0-4	724
Bundoora (Northern Metropolitan)	5-14	6208
Bundoora (Northern Metropolitan)	15-19	3342
Bundoora (Northern Metropolitan)	20-24	3828
Bundoora (Northern Metropolitan)	25+	3080
Buninyong (Western Victoria)	0-4	699
Buninyong (Western Victoria)	5-14	7092
Buninyong (Western Victoria)	15-19	2752
Buninyong (Western Victoria)	20-24	1672
Buninyong (Western Victoria)	25+	1786
Burwood (Southern Metropolitan)	0-4	939
Burwood (Southern Metropolitan)	5-14	7662
Burwood (Southern Metropolitan)	15-19	4155
Burwood (Southern Metropolitan)	20-24	4466
Burwood (Southern Metropolitan)	25+	3411
Carrum (South-Eastern Metropolitan)	0-4	959
Carrum (South-Eastern Metropolitan)	5-14	7374
Carrum (South-Eastern Metropolitan)	15-19	2790
Carrum (South-Eastern Metropolitan)	20-24	1114
Carrum (South-Eastern Metropolitan)	25+	2019
Caulfield (Southern Metropolitan)	0-4	1045
Caulfield (Southern Metropolitan)	5-14	6805
Caulfield (Southern Metropolitan)	15-19	2788
Caulfield (Southern Metropolitan)	20-24	2930
Caulfield (Southern Metropolitan)	25+	3397
Clarinda (South-Eastern Metropolitan)	0-4	876
Clarinda (South-Eastern Metropolitan)	5-14	6791
Clarinda (South-Eastern Metropolitan)	15-19	3399
Clarinda (South-Eastern Metropolitan)	20-24	4364
Clarinda (South-Eastern Metropolitan)	25+	3867
Cranbourne (South-Eastern Metropolitan)	0-4	1584
Cranbourne (South-Eastern Metropolitan)	5-14	13468
Cranbourne (South-Eastern Metropolitan)	15-19	4391
Cranbourne (South-Eastern Metropolitan)	20-24	1852
Cranbourne (South-Eastern Metropolitan)	25+	3303
Croydon (Eastern Metropolitan)	0-4	790
Croydon (Eastern Metropolitan)	5-14	6473
Croydon (Eastern Metropolitan)	15-19	2844
Croydon (Eastern Metropolitan)	20-24	1411
Croydon (Eastern Metropolitan)	25+	1890
Dandenong (South-Eastern Metropolitan)	0-4	702
Dandenong (South-Eastern Metropolitan)	5-14	7493
Dandenong (South-Eastern Metropolitan)	15-19	3283
Dandenong (South-Eastern Metropolitan)	20-24	2170
Dandenong (South-Eastern Metropolitan)	25+	3377
Eildon (Northern Victoria)	0-4	693
Eildon (Northern Victoria)	5-14	6576
Eildon (Northern Victoria)	15-19	2572
Eildon (Northern Victoria)	20-24	713
Eildon (Northern Victoria)	25+	1259
Eltham (Eastern Metropolitan)	0-4	821
Eltham (Eastern Metropolitan)	5-14	7392
Eltham (Eastern Metropolitan)	15-19	3258
Eltham (Eastern Metropolitan)	20-24	1670
Eltham (Eastern Metropolitan)	25+	1672
Essendon (Western Metropolitan)	0-4	746
Essendon (Western Metropolitan)	5-14	6736
Essendon (Western Metropolitan)	15-19	3043
Essendon (Western Metropolitan)	20-24	2634
Essendon (Western Metropolitan)	25+	3481
Euroa (Northern Victoria)	0-4	630
Euroa (Northern Victoria)	5-14	6640
Euroa (Northern Victoria)	15-19	2756
Euroa (Northern Victoria)	20-24	693
Euroa (Northern Victoria)	25+	1289
Evelyn (Eastern Victoria)	0-4	830
Evelyn (Eastern Victoria)	5-14	6928
Evelyn (Eastern Victoria)	15-19	3213
Evelyn (Eastern Victoria)	20-24	1133
Evelyn (Eastern Victoria)	25+	1509
Ferntree Gully (Eastern Metropolitan)	0-4	665
Ferntree Gully (Eastern Metropolitan)	5-14	5982
Ferntree Gully (Eastern Metropolitan)	15-19	3006
Ferntree Gully (Eastern Metropolitan)	20-24	1577
Ferntree Gully (Eastern Metropolitan)	25+	1850
Footscray (Western Metropolitan)	0-4	846
Footscray (Western Metropolitan)	5-14	6587
Footscray (Western Metropolitan)	15-19	3283
Footscray (Western Metropolitan)	20-24	3992
Footscray (Western Metropolitan)	25+	5365
Forest Hill (Eastern Metropolitan)	0-4	821
Forest Hill (Eastern Metropolitan)	5-14	6767
Forest Hill (Eastern Metropolitan)	15-19	3352
Forest Hill (Eastern Metropolitan)	20-24	2312
Forest Hill (Eastern Metropolitan)	25+	2255
Frankston (South-Eastern Metropolitan)	0-4	790
Frankston (South-Eastern Metropolitan)	5-14	6168
Frankston (South-Eastern Metropolitan)	15-19	2613
Frankston (South-Eastern Metropolitan)	20-24	1263
Frankston (South-Eastern Metropolitan)	25+	2014
Geelong (Western Victoria)	0-4	731
Geelong (Western Victoria)	5-14	6121
Geelong (Western Victoria)	15-19	2707
Geelong (Western Victoria)	20-24	1909
Geelong (Western Victoria)	25+	2525
Gembrook (Eastern Victoria)	0-4	973
Gembrook (Eastern Victoria)	5-14	8646
Gembrook (Eastern Victoria)	15-19	3840
Gembrook (Eastern Victoria)	20-24	1520
Gembrook (Eastern Victoria)	25+	1833
Gippsland East (Eastern Victoria)	0-4	619
Gippsland East (Eastern Victoria)	5-14	5976
Gippsland East (Eastern Victoria)	15-19	2186
Gippsland East (Eastern Victoria)	20-24	424
Gippsland East (Eastern Victoria)	25+	1135
Gippsland South (Eastern Victoria)	0-4	603
Gippsland South (Eastern Victoria)	5-14	6128
Gippsland South (Eastern Victoria)	15-19	2326
Gippsland South (Eastern Victoria)	20-24	501
Gippsland South (Eastern Victoria)	25+	1166
Hastings (Eastern Victoria)	0-4	850
Hastings (Eastern Victoria)	5-14	8039
Hastings (Eastern Victoria)	15-19	3359
Hastings (Eastern Victoria)	20-24	1223
Hastings (Eastern Victoria)	25+	1649
Hawthorn (Southern Metropolitan)	0-4	808
Hawthorn (Southern Metropolitan)	5-14	6886
Hawthorn (Southern Metropolitan)	15-19	3754
Hawthorn (Southern Metropolitan)	20-24	3868
Hawthorn (Southern Metropolitan)	25+	3733
Ivanhoe (Eastern Metropolitan)	0-4	906
Ivanhoe (Eastern Metropolitan)	5-14	6980
Ivanhoe (Eastern Metropolitan)	15-19	3099
Ivanhoe (Eastern Metropolitan)	20-24	2043
Ivanhoe (Eastern Metropolitan)	25+	2622
Kew (Southern Metropolitan)	0-4	757
Kew (Southern Metropolitan)	5-14	7777
Kew (Southern Metropolitan)	15-19	4655
Kew (Southern Metropolitan)	20-24	2979
Kew (Southern Metropolitan)	25+	2391
Keysborough (South-Eastern Metropolitan)	0-4	830
Keysborough (South-Eastern Metropolitan)	5-14	7814
Keysborough (South-Eastern Metropolitan)	15-19	3887
Keysborough (South-Eastern Metropolitan)	20-24	2494
Keysborough (South-Eastern Metropolitan)	25+	2659
Kororoit (Western Metropolitan)	0-4	1196
Kororoit (Western Metropolitan)	5-14	11131
Kororoit (Western Metropolitan)	15-19	4388
Kororoit (Western Metropolitan)	20-24	2216
Kororoit (Western Metropolitan)	25+	2939
Lara (Western Victoria)	0-4	716
Lara (Western Victoria)	5-14	7178
Lara (Western Victoria)	15-19	3358
Lara (Western Victoria)	20-24	1281
Lara (Western Victoria)	25+	1815
Lowan (Western Victoria)	0-4	573
Lowan (Western Victoria)	5-14	6171
Lowan (Western Victoria)	15-19	2353
Lowan (Western Victoria)	20-24	449
Lowan (Western Victoria)	25+	977
Macedon (Northern Victoria)	0-4	750
Macedon (Northern Victoria)	5-14	7154
Macedon (Northern Victoria)	15-19	2632
Macedon (Northern Victoria)	20-24	814
Macedon (Northern Victoria)	25+	1389
Malvern (Southern Metropolitan)	0-4	765
Malvern (Southern Metropolitan)	5-14	6123
Malvern (Southern Metropolitan)	15-19	2975
Malvern (Southern Metropolitan)	20-24	3266
Malvern (Southern Metropolitan)	25+	2699
Melbourne (Northern Metropolitan)	0-4	577
Melbourne (Northern Metropolitan)	5-14	3520
Melbourne (Northern Metropolitan)	15-19	8300
Melbourne (Northern Metropolitan)	20-24	19095
Melbourne (Northern Metropolitan)	25+	12146
Melton (Western Victoria)	0-4	1154
Melton (Western Victoria)	5-14	10263
Melton (Western Victoria)	15-19	3542
Melton (Western Victoria)	20-24	1231
Melton (Western Victoria)	25+	2307
Mildura (Northern Victoria)	0-4	779
Mildura (Northern Victoria)	5-14	7120
Mildura (Northern Victoria)	15-19	2784
Mildura (Northern Victoria)	20-24	706
Mildura (Northern Victoria)	25+	1412
Mill Park (Northern Metropolitan)	0-4	855
Mill Park (Northern Metropolitan)	5-14	8475
Mill Park (Northern Metropolitan)	15-19	3664
Mill Park (Northern Metropolitan)	20-24	1918
Mill Park (Northern Metropolitan)	25+	2199
Monbulk (Eastern Victoria)	0-4	757
Monbulk (Eastern Victoria)	5-14	7071
Monbulk (Eastern Victoria)	15-19	2989
Monbulk (Eastern Victoria)	20-24	1250
Monbulk (Eastern Victoria)	25+	1723
Mordialloc (South-Eastern Metropolitan)	0-4	950
Mordialloc (South-Eastern Metropolitan)	5-14	7678
Mordialloc (South-Eastern Metropolitan)	15-19	2992
Mordialloc (South-Eastern Metropolitan)	20-24	1527
Mordialloc (South-Eastern Metropolitan)	25+	1873
Mornington (Eastern Victoria)	0-4	837
Mornington (Eastern Victoria)	5-14	8014
Mornington (Eastern Victoria)	15-19	3175
Mornington (Eastern Victoria)	20-24	1038
Mornington (Eastern Victoria)	25+	1417
Morwell (Eastern Victoria)	0-4	571
Morwell (Eastern Victoria)	5-14	7177
Morwell (Eastern Victoria)	15-19	2766
Morwell (Eastern Victoria)	20-24	1045
Morwell (Eastern Victoria)	25+	1628
Mount Waverley (Eastern Metropolitan)	0-4	709
Mount Waverley (Eastern Metropolitan)	5-14	7249
Mount Waverley (Eastern Metropolitan)	15-19	4137
Mount Waverley (Eastern Metropolitan)	20-24	2997
Mount Waverley (Eastern Metropolitan)	25+	2628
Mulgrave (South-Eastern Metropolitan)	0-4	753
Mulgrave (South-Eastern Metropolitan)	5-14	6122
Mulgrave (South-Eastern Metropolitan)	15-19	3017
Mulgrave (South-Eastern Metropolitan)	20-24	2276
Mulgrave (South-Eastern Metropolitan)	25+	2421
Murray Plains (Northern Victoria)	0-4	605
Murray Plains (Northern Victoria)	5-14	6851
Murray Plains (Northern Victoria)	15-19	2753
Murray Plains (Northern Victoria)	20-24	519
Murray Plains (Northern Victoria)	25+	1067
Narracan (Eastern Victoria)	0-4	677
Narracan (Eastern Victoria)	5-14	7795
Narracan (Eastern Victoria)	15-19	3077
Narracan (Eastern Victoria)	20-24	883
Narracan (Eastern Victoria)	25+	1560
Narre Warren North (South-Eastern Metrop	0-4	670
Narre Warren North (South-Eastern Metrop	5-14	7833
Narre Warren North (South-Eastern Metrop	15-19	3962
Narre Warren North (South-Eastern Metrop	20-24	1964
Narre Warren North (South-Eastern Metrop	25+	2063
Narre Warren South (South-Eastern Metrop	0-4	1104
Narre Warren South (South-Eastern Metrop	5-14	12764
Narre Warren South (South-Eastern Metrop	15-19	5453
Narre Warren South (South-Eastern Metrop	20-24	2245
Narre Warren South (South-Eastern Metrop	25+	2685
Nepean (Eastern Victoria)	0-4	605
Nepean (Eastern Victoria)	5-14	5540
Nepean (Eastern Victoria)	15-19	2009
Nepean (Eastern Victoria)	20-24	630
Nepean (Eastern Victoria)	25+	1222
Niddrie (Western Metropolitan)	0-4	650
Niddrie (Western Metropolitan)	5-14	6297
Niddrie (Western Metropolitan)	15-19	2939
Niddrie (Western Metropolitan)	20-24	1587
Niddrie (Western Metropolitan)	25+	1514
Northcote (Northern Metropolitan)	0-4	848
Northcote (Northern Metropolitan)	5-14	6260
Northcote (Northern Metropolitan)	15-19	2337
Northcote (Northern Metropolitan)	20-24	2229
Northcote (Northern Metropolitan)	25+	3949
Oakleigh (Southern Metropolitan)	0-4	876
Oakleigh (Southern Metropolitan)	5-14	6127
Oakleigh (Southern Metropolitan)	15-19	4206
Oakleigh (Southern Metropolitan)	20-24	6862
Oakleigh (Southern Metropolitan)	25+	4565
Ovens Valley (Northern Victoria)	0-4	561
Ovens Valley (Northern Victoria)	5-14	6159
Ovens Valley (Northern Victoria)	15-19	2227
Ovens Valley (Northern Victoria)	20-24	518
Ovens Valley (Northern Victoria)	25+	1116
Pascoe Vale (Northern Metropolitan)	0-4	975
Pascoe Vale (Northern Metropolitan)	5-14	7067
Pascoe Vale (Northern Metropolitan)	15-19	2804
Pascoe Vale (Northern Metropolitan)	20-24	2487
Pascoe Vale (Northern Metropolitan)	25+	3711
Polwarth (Western Victoria)	0-4	683
Polwarth (Western Victoria)	5-14	7142
Polwarth (Western Victoria)	15-19	2573
Polwarth (Western Victoria)	20-24	625
Polwarth (Western Victoria)	25+	1160
Prahran (Southern Metropolitan)	0-4	565
Prahran (Southern Metropolitan)	5-14	2850
Prahran (Southern Metropolitan)	15-19	1801
