SED_NAME16	medianTotalFamilyIncome
Malvern (Southern Metropolitan)	147836
Melbourne (Northern Metropolitan)	103168
Melton (Western Victoria)	78884
Mildura (Northern Victoria)	68744
Mill Park (Northern Metropolitan)	87152
Monbulk (Eastern Victoria)	101192
Mordialloc (South-Eastern Metropolitan)	108576
Mornington (Eastern Victoria)	101036
Morwell (Eastern Victoria)	75868
Mount Waverley (Eastern Metropolitan)	96876
Mulgrave (South-Eastern Metropolitan)	81588
Murray Plains (Northern Victoria)	69056
Narracan (Eastern Victoria)	75452
Narre Warren North (South-Eastern Metrop	83200
Narre Warren South (South-Eastern Metrop	88348
Nepean (Eastern Victoria)	72748
Niddrie (Western Metropolitan)	97136
Northcote (Northern Metropolitan)	117364
Oakleigh (Southern Metropolitan)	100516
Ovens Valley (Northern Victoria)	69628
Pascoe Vale (Northern Metropolitan)	92612
Polwarth (Western Victoria)	74620
Prahran (Southern Metropolitan)	127660
Preston (Northern Metropolitan)	77324
Richmond (Northern Metropolitan)	129584
Ringwood (Eastern Metropolitan)	98904
Ripon (Western Victoria)	63232
Rowville (South-Eastern Metropolitan)	105092
Sandringham (Southern Metropolitan)	128128
Shepparton (Northern Victoria)	72800
South Barwon (Western Victoria)	98176
South-West Coast (Western Victoria)	76752
St Albans (Western Metropolitan)	61880
Sunbury (Western Metropolitan)	90636
Sydenham (Western Metropolitan)	95264
Tarneit (Western Metropolitan)	87048
Thomastown (Northern Metropolitan)	67184
Warrandyte (Eastern Metropolitan)	107276
Wendouree (Western Victoria)	78260
Werribee (Western Metropolitan)	79092
Williamstown (Western Metropolitan)	119808
Yan Yean (Northern Victoria)	99736
Yuroke (Northern Metropolitan)	83252
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Albert	93912
Algester	93652
Ashgrove	130104
Aspley	109980
Barron River	93704
Beaudesert	80288
Brisbane Central	120744
Broadwater	73684
Buderim	88452
Bulimba	132132
Bundaberg	60736
Bundamba	83980
Burdekin	80444
Burleigh	88140
Burnett	63336
Cairns	73788
Callide	65468
Caloundra	74152
Capalaba	93340
Chatsworth	118144
Clayfield	125268
Cleveland	99528
Condamine	84552
Cook	67704
Coomera	85072
Currumbin	83668
Dalrymple	74204
Everton	112996
Ferny Grove	113984
Gaven	86580
Gladstone	105196
Glass House	75868
Greenslopes	120432
Gregory	100048
Gympie	60476
Hervey Bay	56836
Hinchinbrook	79820
Inala	71604
Indooroopilly	126048
Ipswich	78104
Ipswich West	77168
Kallangur	85852
Kawana	79092
Keppel	86164
Lockyer	80184
Logan	85904
Lytton	101400
Mackay	82992
Mansfield	101764
Maroochydore	76336
Maryborough	56160
Mermaid Beach	89596
Mirani	93548
Moggill	127192
Morayfield	81120
Mount Coot-tha	135772
Mount Isa	105092
Mount Ommaney	113204
Mudgeeraba	90636
Mulgrave	75348
Mundingburra	86320
Murrumba	85956
Nanango	63492
Nicklin	73580
Noosa	76336
Nudgee	98384
Pine Rivers	94900
Pumicestone	61308
Redcliffe	76336
Redlands	91208
Rockhampton	77220
Sandgate	96564
South Brisbane	112788
Southern Downs	65520
Southport	73944
Springwood	99840
Stafford	113048
Stretton	86216
Sunnybank	73840
Surfers Paradise	84604
Thuringowa	84812
Toowoomba North	79976
Toowoomba South	80392
Townsville	87932
Warrego	76960
Waterford	73788
Whitsunday	94484
Woodridge	65936
Yeerongpilly	112164
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	110396
Ashford	93860
Bragg	127712
Bright	97760
Chaffey	65936
Cheltenham	76128
Colton	93288
Croydon	76700
Davenport	104260
Dunstan	102648
Elder	76544
Enfield	71708
Finniss	60112
Fisher	87828
Flinders	72904
Florey	74672
Frome	66456
Giles	76440
Goyder (SA)	61672
Hammond	59436
Hartley	82212
Heysen	96772
Kaurna	72748
Kavel	87620
Lee	87308
Light	79768
Little Para	61880
Mackillop	70824
Mawson	73320
Mitchell	81016
Morialta	93704
Morphett	103116
Mount Gambier	74880
Napier	64064
Newland	87360
Playford	69316
Port Adelaide	77324
Ramsay	60060
Reynell	61412
Schubert	79300
Stuart (SA)	66664
Taylor	69992
Torrens	80704
Unley	119964
Waite	110084
West Torrens	80860
Wright	87516
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany (South West)	78416
Alfred Cove (South Metropolitan)	132444
Armadale (East Metropolitan)	73320
Balcatta (North Metropolitan)	99008
Bassendean (East Metropolitan)	85644
Bateman (South Metropolitan)	110344
Belmont (East Metropolitan)	90220
Bunbury (South West)	79664
Butler (North Metropolitan)	93548
Cannington (South Metropolitan)	77584
Carine (North Metropolitan)	125892
Central Wheatbelt (Agricultural)	76336
Churchlands (North Metropolitan)	143156
Cockburn (South Metropolitan)	107952
Collie-Preston (South West)	93028
Cottesloe (North Metropolitan)	167596
Darling Range (East Metropolitan)	107744
Dawesville (South West)	77532
Eyre (Mining and Pastoral)	111488
Forrestfield (East Metropolitan)	92664
Fremantle (South Metropolitan)	116792
Geraldton (Agricultural)	87412
Girrawheen (North Metropolitan)	94848
Gosnells (East Metropolitan)	77792
Hillarys (North Metropolitan)	122876
Jandakot (South Metropolitan)	115232
Joondalup (North Metropolitan)	103844
Kalamunda (East Metropolitan)	96720
Kalgoorlie (Mining and Pastoral)	51376
Kimberley (Mining and Pastoral)	91468
Kingsley (North Metropolitan)	112372
Kwinana (South Metropolitan)	90324
Mandurah (South West)	71708
Maylands (East Metropolitan)	110240
Midland (East Metropolitan)	88608
Mirrabooka (East Metropolitan)	72956
Moore (Agricultural)	77064
Morley (East Metropolitan)	87776
Mount Lawley (East Metropolitan)	107796
Murray-Wellington (South West)	86788
Nedlands (North Metropolitan)	153660
North West Central (Mining and Pastoral)	109252
Ocean Reef (North Metropolitan)	124436
Perth (North Metropolitan)	126828
Pilbara (Mining and Pastoral)	151164
Riverton (South Metropolitan)	100932
Rockingham (South Metropolitan)	77480
Scarborough (North Metropolitan)	125164
South Perth (South Metropolitan)	123812
Southern River (South Metropolitan)	108264
Swan Hills (East Metropolitan)	106808
Vasse (South West)	82680
Victoria Park (South Metropolitan)	100048
Wagin (Agricultural)	76024
Wanneroo (North Metropolitan)	106756
Warnbro (South Metropolitan)	103220
Warren-Blackwood (South West)	71968
West Swan (East Metropolitan)	96408
Willagee (South Metropolitan)	93964
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass (Apsley)	62400
Bass (Launceston)	79352
Bass (Rosevears)	82732
Bass (Windermere)	59644
Braddon (Mersey)	65000
Braddon (Montgomery)	65520
Braddon (Murchison)	68432
Braddon (Western Tiers)	70668
Denison (Derwent)	73580
Denison (Elwick)	66768
Denison (Hobart)	103012
Denison (Huon)	84500
Denison (Nelson)	108732
Franklin (Derwent)	93444
Franklin (Huon)	75296
Franklin (Nelson)	82836
Franklin (Pembroke)	83512
Franklin (Rumney)	88348
Lyons (Apsley)	57460
Lyons (Derwent)	62764
Lyons (Rosevears)	61568
Lyons (Rumney)	69680
Lyons (Western Tiers)	66664
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Arafura	33124
Araluen	121784
Arnhem	47840
Barkly	51740
Blain	124124
Braitling	114660
Brennan	127244
Casuarina	125372
Daly	60788
Drysdale	101660
Fannie Bay	132288
Fong Lim	136604
Goyder (NT)	121264
Johnston	108992
Karama	107484
Katherine	107848
Namatjira	55380
Nelson	128960
Nhulunbuy	52624
Nightcliff	121732
Port Darwin	140296
Sanderson	118092
Spillett	132028
Stuart (NT)	37180
Wanguri	130728
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Brindabella	122512
Ginninderra	117832
Kurrajong	146432
Murrumbidgee	129480
Yerrabi	126672
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unclassified (OT)	81536
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
