SED_NAME16	Age5yr	ChildrenEverBorn	females
Balmain	40-44	2	1076
Balmain	40-44	3	298
Balmain	40-44	4	49
Balmain	40-44	5	7
Balmain	40-44	6	6
Balmain	45-49		249
Balmain	45-49	0	986
Balmain	45-49	1	512
Balmain	45-49	2	916
Balmain	45-49	3	282
Balmain	45-49	4	47
Balmain	45-49	5	10
Balmain	45-49	6	4
Balmain	50-54		239
Balmain	50-54	0	901
Balmain	50-54	1	455
Balmain	50-54	2	728
Balmain	50-54	3	257
Balmain	50-54	4	65
Balmain	50-54	5	6
Balmain	50-54	6	16
Balmain	55-59		239
Balmain	55-59	0	749
Balmain	55-59	1	354
Balmain	55-59	2	634
Balmain	55-59	3	251
Balmain	55-59	4	78
Balmain	55-59	5	25
Balmain	55-59	6	17
Balmain	60-64		186
Balmain	60-64	0	596
Balmain	60-64	1	378
Balmain	60-64	2	637
Balmain	60-64	3	294
Balmain	60-64	4	87
Balmain	60-64	5	17
Balmain	60-64	6	15
Balmain	65-69		160
Balmain	65-69	0	436
Balmain	65-69	1	323
Balmain	65-69	2	567
Balmain	65-69	3	268
Balmain	65-69	4	79
Balmain	65-69	5	28
Balmain	65-69	6	19
Balmain	70-74		131
Balmain	70-74	0	278
Balmain	70-74	1	156
Balmain	70-74	2	392
Balmain	70-74	3	193
Balmain	70-74	4	69
Balmain	70-74	5	22
Balmain	70-74	6	14
Balmain	75-79		77
Balmain	75-79	0	117
Balmain	75-79	1	93
Balmain	75-79	2	211
Balmain	75-79	3	166
Balmain	75-79	4	62
Balmain	75-79	5	35
Balmain	75-79	6	21
Balmain	80-84		64
Balmain	80-84	0	79
Balmain	80-84	1	63
Balmain	80-84	2	136
Balmain	80-84	3	100
Balmain	80-84	4	54
Balmain	80-84	5	16
Balmain	80-84	6	29
Balmain	85+		104
Balmain	85+	0	73
Balmain	85+	1	87
Balmain	85+	2	153
Balmain	85+	3	86
Balmain	85+	4	59
Balmain	85+	5	30
Balmain	85+	6	32
Bankstown	15-19		481
Bankstown	15-19	0	2297
Bankstown	15-19	1	26
Bankstown	15-19	2	3
Bankstown	20-24		379
Bankstown	20-24	0	2331
Bankstown	20-24	1	260
Bankstown	20-24	2	124
Bankstown	20-24	3	26
Bankstown	20-24	4	4
Bankstown	25-29		318
Bankstown	25-29	0	1682
Bankstown	25-29	1	624
Bankstown	25-29	2	506
Bankstown	25-29	3	208
Bankstown	25-29	4	52
Bankstown	25-29	5	12
Bankstown	25-29	6	4
Bankstown	30-34		261
Bankstown	30-34	0	849
Bankstown	30-34	1	581
Bankstown	30-34	2	772
Bankstown	30-34	3	487
Bankstown	30-34	4	191
Bankstown	30-34	5	62
Bankstown	30-34	6	33
Bankstown	35-39		223
Bankstown	35-39	0	475
Bankstown	35-39	1	422
Bankstown	35-39	2	771
Bankstown	35-39	3	549
Bankstown	35-39	4	260
Bankstown	35-39	5	99
Bankstown	35-39	6	57
Bankstown	40-44		202
Bankstown	40-44	0	369
Bankstown	40-44	1	386
Bankstown	40-44	2	835
Bankstown	40-44	3	492
Bankstown	40-44	4	264
Bankstown	40-44	5	128
Bankstown	40-44	6	80
Bankstown	45-49		221
Bankstown	45-49	0	361
Bankstown	45-49	1	385
Bankstown	45-49	2	791
Bankstown	45-49	3	480
Bankstown	45-49	4	230
Bankstown	45-49	5	102
Bankstown	45-49	6	84
Bankstown	50-54		197
Bankstown	50-54	0	338
Bankstown	50-54	1	381
Bankstown	50-54	2	779
Bankstown	50-54	3	454
Bankstown	50-54	4	241
Bankstown	50-54	5	115
Bankstown	50-54	6	101
Bankstown	55-59		171
Bankstown	55-59	0	328
Bankstown	55-59	1	378
Bankstown	55-59	2	718
Bankstown	55-59	3	438
Bankstown	55-59	4	224
Bankstown	55-59	5	110
Bankstown	55-59	6	91
Bankstown	60-64		130
Bankstown	60-64	0	254
Bankstown	60-64	1	285
Bankstown	60-64	2	617
Bankstown	60-64	3	400
Bankstown	60-64	4	186
Bankstown	60-64	5	109
Bankstown	60-64	6	83
Bankstown	65-69		138
Bankstown	65-69	0	191
Bankstown	65-69	1	179
Bankstown	65-69	2	516
Bankstown	65-69	3	337
Bankstown	65-69	4	155
Bankstown	65-69	5	83
Bankstown	65-69	6	94
Bankstown	70-74		94
Bankstown	70-74	0	100
Bankstown	70-74	1	106
Bankstown	70-74	2	359
Bankstown	70-74	3	257
Bankstown	70-74	4	129
Bankstown	70-74	5	69
Bankstown	70-74	6	86
Bankstown	75-79		93
Bankstown	75-79	0	80
Bankstown	75-79	1	84
Bankstown	75-79	2	288
Bankstown	75-79	3	182
Bankstown	75-79	4	127
Bankstown	75-79	5	61
Bankstown	75-79	6	110
Bankstown	80-84		91
Bankstown	80-84	0	64
Bankstown	80-84	1	68
Bankstown	80-84	2	224
Bankstown	80-84	3	147
Bankstown	80-84	4	114
Bankstown	80-84	5	60
Bankstown	80-84	6	122
Bankstown	85+		110
Bankstown	85+	0	88
Bankstown	85+	1	111
Bankstown	85+	2	256
Bankstown	85+	3	192
Bankstown	85+	4	123
Bankstown	85+	5	76
Bankstown	85+	6	151
Barwon	15-19		368
Barwon	15-19	0	1550
Barwon	15-19	1	54
Barwon	15-19	2	9
Barwon	20-24		265
Barwon	20-24	0	1175
Barwon	20-24	1	337
Barwon	20-24	2	165
Barwon	20-24	3	54
Barwon	20-24	4	7
Barwon	20-24	6	3
Barwon	25-29		278
Barwon	25-29	0	998
Barwon	25-29	1	399
Barwon	25-29	2	394
Barwon	25-29	3	200
Barwon	25-29	4	64
Barwon	25-29	5	23
Barwon	25-29	6	11
