SED_NAME16	Age5yr	Indigenous	Sex	persons
Ballina	40-44		M	215
Ballina	40-44	0	F	2363
Ballina	40-44	0	M	2006
Ballina	40-44	1	F	81
Ballina	40-44	1	M	68
Ballina	45-49		F	233
Ballina	45-49		M	216
Ballina	45-49	0	F	2514
Ballina	45-49	0	M	2077
Ballina	45-49	1	F	74
Ballina	45-49	1	M	64
Ballina	50-54		F	261
Ballina	50-54		M	278
Ballina	50-54	0	F	2523
Ballina	50-54	0	M	2302
Ballina	50-54	1	F	57
Ballina	50-54	1	M	40
Ballina	55-59		F	290
Ballina	55-59		M	271
Ballina	55-59	0	F	2813
Ballina	55-59	0	M	2485
Ballina	55-59	1	F	47
Ballina	55-59	1	M	49
Ballina	60-64		F	275
Ballina	60-64		M	311
Ballina	60-64	0	F	2725
Ballina	60-64	0	M	2574
Ballina	60-64	1	F	34
Ballina	60-64	1	M	34
Ballina	65+		F	739
Ballina	65+		M	620
Ballina	65+	0	F	7630
Ballina	65+	0	M	6645
Ballina	65+	1	F	74
Ballina	65+	1	M	66
Balmain	0-4		F	181
Balmain	0-4		M	178
Balmain	0-4	0	F	2305
Balmain	0-4	0	M	2326
Balmain	0-4	1	F	28
Balmain	0-4	1	M	43
Balmain	5-9		F	116
Balmain	5-9		M	167
Balmain	5-9	0	F	1885
Balmain	5-9	0	M	1963
Balmain	5-9	1	F	37
Balmain	5-9	1	M	38
Balmain	10-14		F	93
Balmain	10-14		M	111
Balmain	10-14	0	F	1341
Balmain	10-14	0	M	1466
Balmain	10-14	1	F	39
Balmain	10-14	1	M	22
Balmain	15-19		F	119
Balmain	15-19		M	115
Balmain	15-19	0	F	1555
Balmain	15-19	0	M	1291
Balmain	15-19	1	F	39
Balmain	15-19	1	M	25
Balmain	20-24		F	331
Balmain	20-24		M	304
Balmain	20-24	0	F	3700
Balmain	20-24	0	M	2996
Balmain	20-24	1	F	39
Balmain	20-24	1	M	50
Balmain	25-29		F	408
Balmain	25-29		M	395
Balmain	25-29	0	F	3843
Balmain	25-29	0	M	3455
Balmain	25-29	1	F	59
Balmain	25-29	1	M	42
Balmain	30-34		F	398
Balmain	30-34		M	393
Balmain	30-34	0	F	3840
Balmain	30-34	0	M	3543
Balmain	30-34	1	F	46
Balmain	30-34	1	M	34
Balmain	35-39		F	341
Balmain	35-39		M	347
Balmain	35-39	0	F	3552
Balmain	35-39	0	M	3351
Balmain	35-39	1	F	31
Balmain	35-39	1	M	27
Balmain	40-44		F	277
Balmain	40-44		M	295
Balmain	40-44	0	F	3243
Balmain	40-44	0	M	3121
Balmain	40-44	1	F	29
Balmain	40-44	1	M	36
Balmain	45-49		F	216
Balmain	45-49		M	248
Balmain	45-49	0	F	2751
Balmain	45-49	0	M	2673
Balmain	45-49	1	F	44
Balmain	45-49	1	M	30
Balmain	50-54		F	204
Balmain	50-54		M	207
Balmain	50-54	0	F	2425
Balmain	50-54	0	M	2213
Balmain	50-54	1	F	34
Balmain	50-54	1	M	28
Balmain	55-59		F	215
Balmain	55-59		M	178
Balmain	55-59	0	F	2095
Balmain	55-59	0	M	1849
Balmain	55-59	1	F	38
Balmain	55-59	1	M	29
Balmain	60-64		F	170
Balmain	60-64		M	168
Balmain	60-64	0	F	2014
Balmain	60-64	0	M	1635
Balmain	60-64	1	F	30
Balmain	60-64	1	M	17
Balmain	65+		F	437
Balmain	65+		M	357
Balmain	65+	0	F	4626
Balmain	65+	0	M	3780
Balmain	65+	1	F	30
Balmain	65+	1	M	25
Bankstown	0-4		F	207
Bankstown	0-4		M	206
Bankstown	0-4	0	F	3116
Bankstown	0-4	0	M	3215
Bankstown	0-4	1	F	27
Bankstown	0-4	1	M	22
Bankstown	5-9		F	180
Bankstown	5-9		M	201
Bankstown	5-9	0	F	2868
Bankstown	5-9	0	M	3000
Bankstown	5-9	1	F	19
Bankstown	5-9	1	M	28
Bankstown	10-14		F	141
Bankstown	10-14		M	161
Bankstown	10-14	0	F	2583
Bankstown	10-14	0	M	2814
Bankstown	10-14	1	F	20
Bankstown	10-14	1	M	29
Bankstown	15-19		F	149
Bankstown	15-19		M	138
Bankstown	15-19	0	F	2618
Bankstown	15-19	0	M	2734
Bankstown	15-19	1	F	44
Bankstown	15-19	1	M	29
Bankstown	20-24		F	210
Bankstown	20-24		M	173
Bankstown	20-24	0	F	2899
Bankstown	20-24	0	M	2958
Bankstown	20-24	1	F	29
Bankstown	20-24	1	M	29
Bankstown	25-29		F	202
Bankstown	25-29		M	199
Bankstown	25-29	0	F	3183
Bankstown	25-29	0	M	3087
Bankstown	25-29	1	F	22
Bankstown	25-29	1	M	10
Bankstown	30-34		F	175
Bankstown	30-34		M	206
Bankstown	30-34	0	F	3038
Bankstown	30-34	0	M	2946
Bankstown	30-34	1	F	19
Bankstown	30-34	1	M	13
Bankstown	35-39		F	167
Bankstown	35-39		M	161
Bankstown	35-39	0	F	2660
Bankstown	35-39	0	M	2674
Bankstown	35-39	1	F	16
Bankstown	35-39	1	M	6
Bankstown	40-44		F	159
Bankstown	40-44		M	133
Bankstown	40-44	0	F	2578
Bankstown	40-44	0	M	2475
Bankstown	40-44	1	F	15
Bankstown	40-44	1	M	10
Bankstown	45-49		F	176
Bankstown	45-49		M	168
Bankstown	45-49	0	F	2451
Bankstown	45-49	0	M	2395
Bankstown	45-49	1	F	23
Bankstown	45-49	1	M	16
Bankstown	50-54		F	138
Bankstown	50-54		M	172
Bankstown	50-54	0	F	2455
Bankstown	50-54	0	M	2409
Bankstown	50-54	1	F	21
Bankstown	50-54	1	M	18
Bankstown	55-59		F	144
Bankstown	55-59		M	141
Bankstown	55-59	0	F	2307
Bankstown	55-59	0	M	2369
Bankstown	55-59	1	F	16
Bankstown	55-59	1	M	12
Bankstown	60-64		F	104
Bankstown	60-64		M	125
Bankstown	60-64	0	F	1935
Bankstown	60-64	0	M	1866
Bankstown	60-64	1	F	15
Bankstown	60-64	1	M	11
Bankstown	65+		F	403
Bankstown	65+		M	353
Bankstown	65+	0	F	5495
Bankstown	65+	0	M	4743
Bankstown	65+	1	F	20
Bankstown	65+	1	M	24
Barwon	0-4		F	283
Barwon	0-4		M	273
Barwon	0-4	0	F	1560
Barwon	0-4	0	M	1562
Barwon	0-4	1	F	674
Barwon	0-4	1	M	752
Barwon	5-9		F	271
Barwon	5-9		M	258
Barwon	5-9	0	F	1722
Barwon	5-9	0	M	1686
Barwon	5-9	1	F	758
Barwon	5-9	1	M	722
Barwon	10-14		F	227
Barwon	10-14		M	227
Barwon	10-14	0	F	1359
Barwon	10-14	0	M	1475
Barwon	10-14	1	F	694
Barwon	10-14	1	M	678
Barwon	15-19		F	173
Barwon	15-19		M	190
Barwon	15-19	0	F	1233
Barwon	15-19	0	M	1392
Barwon	15-19	1	F	566
Barwon	15-19	1	M	583
Barwon	20-24		F	203
Barwon	20-24		M	214
Barwon	20-24	0	F	1297
Barwon	20-24	0	M	1311
Barwon	20-24	1	F	507
Barwon	20-24	1	M	525
Barwon	25-29		F	236
Barwon	25-29		M	223
Barwon	25-29	0	F	1669
Barwon	25-29	0	M	1595
Barwon	25-29	1	F	470
Barwon	25-29	1	M	396
Barwon	30-34		F	216
Barwon	30-34		M	218
Barwon	30-34	0	F	1653
Barwon	30-34	0	M	1537
Barwon	30-34	1	F	382
Barwon	30-34	1	M	329
Barwon	35-39		F	197
Barwon	35-39		M	206
Barwon	35-39	0	F	1489
Barwon	35-39	0	M	1488
Barwon	35-39	1	F	310
Barwon	35-39	1	M	286
Barwon	40-44		F	225
Barwon	40-44		M	228
Barwon	40-44	0	F	1574
Barwon	40-44	0	M	1601
Barwon	40-44	1	F	426
Barwon	40-44	1	M	316
Barwon	45-49		F	246
Barwon	45-49		M	254
Barwon	45-49	0	F	1718
Barwon	45-49	0	M	1826
Barwon	45-49	1	F	430
Barwon	45-49	1	M	326
Barwon	50-54		F	290
Barwon	50-54		M	301
Barwon	50-54	0	F	2094
Barwon	50-54	0	M	2175
Barwon	50-54	1	F	373
Barwon	50-54	1	M	326
Barwon	55-59		F	264
Barwon	55-59		M	347
Barwon	55-59	0	F	2186
Barwon	55-59	0	M	2365
Barwon	55-59	1	F	323
Barwon	55-59	1	M	310
Barwon	60-64		F	206
Barwon	60-64		M	269
Barwon	60-64	0	F	1969
Barwon	60-64	0	M	2207
Barwon	60-64	1	F	227
Barwon	60-64	1	M	243
Barwon	65+		F	804
Barwon	65+		M	805
Barwon	65+	0	F	6668
Barwon	65+	0	M	6359
Barwon	65+	1	F	448
Barwon	65+	1	M	384
Bathurst	0-4		F	161
Bathurst	0-4		M	166
Bathurst	0-4	0	F	1863
Bathurst	0-4	0	M	1959
Bathurst	0-4	1	F	215
Bathurst	0-4	1	M	272
Bathurst	5-9		F	177
Bathurst	5-9		M	158
Bathurst	5-9	0	F	2034
Bathurst	5-9	0	M	2179
Bathurst	5-9	1	F	240
Bathurst	5-9	1	M	246
Bathurst	10-14		F	171
Bathurst	10-14		M	174
Bathurst	10-14	0	F	1992
Bathurst	10-14	0	M	2207
Bathurst	10-14	1	F	222
Bathurst	10-14	1	M	221
Bathurst	15-19		F	226
Bathurst	15-19		M	222
Bathurst	15-19	0	F	2080
Bathurst	15-19	0	M	2248
Bathurst	15-19	1	F	180
Bathurst	15-19	1	M	193
Bathurst	20-24		F	205
Bathurst	20-24		M	248
Bathurst	20-24	0	F	1982
Bathurst	20-24	0	M	2163
Bathurst	20-24	1	F	171
Bathurst	20-24	1	M	230
Bathurst	25-29		F	155
Bathurst	25-29		M	183
Bathurst	25-29	0	F	1863
Bathurst	25-29	0	M	2051
Bathurst	25-29	1	F	151
Bathurst	25-29	1	M	207
Bathurst	30-34		F	128
Bathurst	30-34		M	146
Bathurst	30-34	0	F	1763
Bathurst	30-34	0	M	1957
Bathurst	30-34	1	F	102
Bathurst	30-34	1	M	142
Bathurst	35-39		F	142
Bathurst	35-39		M	138
Bathurst	35-39	0	F	1847
Bathurst	35-39	0	M	1830
Bathurst	35-39	1	F	101
Bathurst	35-39	1	M	108
Bathurst	40-44		F	178
Bathurst	40-44		M	178
Bathurst	40-44	0	F	2125
Bathurst	40-44	0	M	2047
Bathurst	40-44	1	F	118
Bathurst	40-44	1	M	136
Bathurst	45-49		F	176
Bathurst	45-49		M	219
Bathurst	45-49	0	F	2250
Bathurst	45-49	0	M	2278
Bathurst	45-49	1	F	102
Bathurst	45-49	1	M	100
Bathurst	50-54		F	220
Bathurst	50-54		M	204
Bathurst	50-54	0	F	2375
Bathurst	50-54	0	M	2310
Bathurst	50-54	1	F	80
Bathurst	50-54	1	M	67
Bathurst	55-59		F	199
Bathurst	55-59		M	212
Bathurst	55-59	0	F	2420
Bathurst	55-59	0	M	2374
Bathurst	55-59	1	F	78
Bathurst	55-59	1	M	56
Bathurst	60-64		F	206
Bathurst	60-64		M	190
Bathurst	60-64	0	F	2203
Bathurst	60-64	0	M	2264
Bathurst	60-64	1	F	60
Bathurst	60-64	1	M	55
Bathurst	65+		F	729
Bathurst	65+		M	656
Bathurst	65+	0	F	6939
Bathurst	65+	0	M	6265
Bathurst	65+	1	F	103
Bathurst	65+	1	M	116
Baulkham Hills	0-4		F	43
Baulkham Hills	0-4		M	65
Baulkham Hills	0-4	0	F	2415
Baulkham Hills	0-4	0	M	2491
Baulkham Hills	0-4	1	F	15
Baulkham Hills	0-4	1	M	14
Baulkham Hills	5-9		F	54
Baulkham Hills	5-9		M	69
Baulkham Hills	5-9	0	F	2829
Baulkham Hills	5-9	0	M	2954
Baulkham Hills	5-9	1	F	13
Baulkham Hills	5-9	1	M	18
Baulkham Hills	10-14		F	52
Baulkham Hills	10-14		M	45
Baulkham Hills	10-14	0	F	2426
Baulkham Hills	10-14	0	M	2587
Baulkham Hills	10-14	1	F	10
Baulkham Hills	10-14	1	M	17
Baulkham Hills	15-19		F	52
Baulkham Hills	15-19		M	54
Baulkham Hills	15-19	0	F	2446
Baulkham Hills	15-19	0	M	2674
Baulkham Hills	15-19	1	F	24
Baulkham Hills	15-19	1	M	18
Baulkham Hills	20-24		F	50
Baulkham Hills	20-24		M	54
Baulkham Hills	20-24	0	F	2278
Baulkham Hills	20-24	0	M	2509
Baulkham Hills	20-24	1	F	11
Baulkham Hills	20-24	1	M	14
Baulkham Hills	25-29		F	59
Baulkham Hills	25-29		M	49
Baulkham Hills	25-29	0	F	1861
Baulkham Hills	25-29	0	M	1916
Baulkham Hills	25-29	1	F	9
Baulkham Hills	25-29	1	M	8
Baulkham Hills	30-34		F	65
Baulkham Hills	30-34		M	53
Baulkham Hills	30-34	0	F	2457
Baulkham Hills	30-34	0	M	2135
Baulkham Hills	30-34	1	F	3
Baulkham Hills	30-34	1	M	8
Baulkham Hills	35-39		F	69
Baulkham Hills	35-39		M	54
Baulkham Hills	35-39	0	F	2991
Baulkham Hills	35-39	0	M	2618
Baulkham Hills	35-39	1	F	16
Baulkham Hills	35-39	1	M	13
Baulkham Hills	40-44		F	68
Baulkham Hills	40-44		M	78
Baulkham Hills	40-44	0	F	2969
Baulkham Hills	40-44	0	M	2856
Baulkham Hills	40-44	1	F	14
Baulkham Hills	40-44	1	M	10
Baulkham Hills	45-49		F	63
Baulkham Hills	45-49		M	57
Baulkham Hills	45-49	0	F	2898
Baulkham Hills	45-49	0	M	2598
Baulkham Hills	45-49	1	F	10
Baulkham Hills	45-49	1	M	7
Baulkham Hills	50-54		F	80
Baulkham Hills	50-54		M	68
Baulkham Hills	50-54	0	F	2646
Baulkham Hills	50-54	0	M	2605
Baulkham Hills	50-54	1	F	12
Baulkham Hills	50-54	1	M	11
Baulkham Hills	55-59		F	59
Baulkham Hills	55-59		M	62
Baulkham Hills	55-59	0	F	2612
Baulkham Hills	55-59	0	M	2357
Baulkham Hills	55-59	1	F	5
Baulkham Hills	55-59	1	M	4
Baulkham Hills	60-64		F	54
Baulkham Hills	60-64		M	55
Baulkham Hills	60-64	0	F	2350
Baulkham Hills	60-64	0	M	2150
Baulkham Hills	60-64	1	F	3
Baulkham Hills	60-64	1	M	6
Baulkham Hills	65+		F	173
Baulkham Hills	65+		M	164
Baulkham Hills	65+	0	F	5929
Baulkham Hills	65+	0	M	5421
Baulkham Hills	65+	1	F	12
Baulkham Hills	65+	1	M	5
Bega	0-4		F	91
Bega	0-4		M	97
Bega	0-4	0	F	1176
Bega	0-4	0	M	1221
Bega	0-4	1	F	172
Bega	0-4	1	M	178
Bega	5-9		F	121
Bega	5-9		M	138
Bega	5-9	0	F	1472
Bega	5-9	0	M	1595
Bega	5-9	1	F	200
Bega	5-9	1	M	195
Bega	10-14		F	134
Bega	10-14		M	142
Bega	10-14	0	F	1534
Bega	10-14	0	M	1659
Bega	10-14	1	F	196
Bega	10-14	1	M	188
Bega	15-19		F	119
Bega	15-19		M	128
Bega	15-19	0	F	1495
Bega	15-19	0	M	1507
Bega	15-19	1	F	147
Bega	15-19	1	M	169
Bega	20-24		F	83
Bega	20-24		M	94
Bega	20-24	0	F	986
Bega	20-24	0	M	1063
Bega	20-24	1	F	108
Bega	20-24	1	M	111
Bega	25-29		F	79
Bega	25-29		M	84
Bega	25-29	0	F	1040
Bega	25-29	0	M	999
Bega	25-29	1	F	73
Bega	25-29	1	M	80
Bega	30-34		F	104
Bega	30-34		M	104
Bega	30-34	0	F	1194
Bega	30-34	0	M	1143
Bega	30-34	1	F	93
Bega	30-34	1	M	76
Bega	35-39		F	101
Bega	35-39		M	98
Bega	35-39	0	F	1356
Bega	35-39	0	M	1163
Bega	35-39	1	F	78
Bega	35-39	1	M	83
Bega	40-44		F	126
Bega	40-44		M	141
Bega	40-44	0	F	1664
Bega	40-44	0	M	1494
Bega	40-44	1	F	106
Bega	40-44	1	M	73
Bega	45-49		F	150
Bega	45-49		M	172
Bega	45-49	0	F	1972
Bega	45-49	0	M	1811
Bega	45-49	1	F	78
Bega	45-49	1	M	80
Bega	50-54		F	192
Bega	50-54		M	198
Bega	50-54	0	F	2339
Bega	50-54	0	M	2096
Bega	50-54	1	F	93
Bega	50-54	1	M	71
Bega	55-59		F	213
Bega	55-59		M	227
Bega	55-59	0	F	2949
Bega	55-59	0	M	2655
Bega	55-59	1	F	91
Bega	55-59	1	M	60
Bega	60-64		F	234
Bega	60-64		M	238
Bega	60-64	0	F	3130
Bega	60-64	0	M	2942
Bega	60-64	1	F	69
Bega	60-64	1	M	54
Bega	65+		F	806
Bega	65+		M	753
Bega	65+	0	F	9281
Bega	65+	0	M	8848
Bega	65+	1	F	105
Bega	65+	1	M	88
Blacktown	0-4		F	132
Blacktown	0-4		M	141
Blacktown	0-4	0	F	3066
Blacktown	0-4	0	M	3171
Blacktown	0-4	1	F	115
Blacktown	0-4	1	M	113
Blacktown	5-9		F	114
Blacktown	5-9		M	110
Blacktown	5-9	0	F	2751
Blacktown	5-9	0	M	2927
Blacktown	5-9	1	F	91
Blacktown	5-9	1	M	121
Blacktown	10-14		F	102
Blacktown	10-14		M	91
Blacktown	10-14	0	F	2248
Blacktown	10-14	0	M	2489
Blacktown	10-14	1	F	130
Blacktown	10-14	1	M	120
Blacktown	15-19		F	104
Blacktown	15-19		M	120
Blacktown	15-19	0	F	2460
Blacktown	15-19	0	M	2608
Blacktown	15-19	1	F	96
Blacktown	15-19	1	M	120
Blacktown	20-24		F	115
Blacktown	20-24		M	150
Blacktown	20-24	0	F	2688
Blacktown	20-24	0	M	3001
Blacktown	20-24	1	F	100
Blacktown	20-24	1	M	107
Blacktown	25-29		F	144
Blacktown	25-29		M	139
Blacktown	25-29	0	F	3431
Blacktown	25-29	0	M	3285
Blacktown	25-29	1	F	77
Blacktown	25-29	1	M	68
Blacktown	30-34		F	175
Blacktown	30-34		M	186
Blacktown	30-34	0	F	3785
Blacktown	30-34	0	M	3825
Blacktown	30-34	1	F	77
Blacktown	30-34	1	M	65
Blacktown	35-39		F	138
Blacktown	35-39		M	134
Blacktown	35-39	0	F	3176
Blacktown	35-39	0	M	3367
Blacktown	35-39	1	F	52
Blacktown	35-39	1	M	37
Blacktown	40-44		F	93
Blacktown	40-44		M	123
Blacktown	40-44	0	F	2642
Blacktown	40-44	0	M	2824
Blacktown	40-44	1	F	71
Blacktown	40-44	1	M	52
Blacktown	45-49		F	93
Blacktown	45-49		M	93
Blacktown	45-49	0	F	2436
Blacktown	45-49	0	M	2473
Blacktown	45-49	1	F	69
Blacktown	45-49	1	M	45
Blacktown	50-54		F	103
Blacktown	50-54		M	124
Blacktown	50-54	0	F	2405
Blacktown	50-54	0	M	2429
Blacktown	50-54	1	F	44
Blacktown	50-54	1	M	54
Blacktown	55-59		F	101
Blacktown	55-59		M	96
Blacktown	55-59	0	F	2376
Blacktown	55-59	0	M	2283
Blacktown	55-59	1	F	44
Blacktown	55-59	1	M	43
Blacktown	60-64		F	105
Blacktown	60-64		M	96
Blacktown	60-64	0	F	2119
Blacktown	60-64	0	M	1984
Blacktown	60-64	1	F	44
Blacktown	60-64	1	M	29
Blacktown	65+		F	357
Blacktown	65+		M	285
Blacktown	65+	0	F	5265
Blacktown	65+	0	M	4358
Blacktown	65+	1	F	56
Blacktown	65+	1	M	49
Blue Mountains	0-4		F	68
Blue Mountains	0-4		M	76
Blue Mountains	0-4	0	F	1760
Blue Mountains	0-4	0	M	1867
Blue Mountains	0-4	1	F	105
Blue Mountains	0-4	1	M	77
Blue Mountains	5-9		F	94
Blue Mountains	5-9		M	83
Blue Mountains	5-9	0	F	2021
Blue Mountains	5-9	0	M	2119
Blue Mountains	5-9	1	F	124
Blue Mountains	5-9	1	M	106
Blue Mountains	10-14		F	93
Blue Mountains	10-14		M	96
Blue Mountains	10-14	0	F	1992
Blue Mountains	10-14	0	M	2136
Blue Mountains	10-14	1	F	86
Blue Mountains	10-14	1	M	115
Blue Mountains	15-19		F	85
Blue Mountains	15-19		M	78
Blue Mountains	15-19	0	F	1937
Blue Mountains	15-19	0	M	2069
Blue Mountains	15-19	1	F	91
Blue Mountains	15-19	1	M	112
Blue Mountains	20-24		F	65
Blue Mountains	20-24		M	68
Blue Mountains	20-24	0	F	1467
Blue Mountains	20-24	0	M	1578
Blue Mountains	20-24	1	F	67
Blue Mountains	20-24	1	M	65
Blue Mountains	25-29		F	72
Blue Mountains	25-29		M	63
Blue Mountains	25-29	0	F	1435
Blue Mountains	25-29	0	M	1301
Blue Mountains	25-29	1	F	58
Blue Mountains	25-29	1	M	46
Blue Mountains	30-34		F	72
Blue Mountains	30-34		M	77
Blue Mountains	30-34	0	F	1705
Blue Mountains	30-34	0	M	1628
Blue Mountains	30-34	1	F	47
Blue Mountains	30-34	1	M	45
Blue Mountains	35-39		F	80
Blue Mountains	35-39		M	92
Blue Mountains	35-39	0	F	1969
Blue Mountains	35-39	0	M	1834
Blue Mountains	35-39	1	F	52
Blue Mountains	35-39	1	M	36
Blue Mountains	40-44		F	105
Blue Mountains	40-44		M	105
Blue Mountains	40-44	0	F	2421
Blue Mountains	40-44	0	M	2128
Blue Mountains	40-44	1	F	54
Blue Mountains	40-44	1	M	52
Blue Mountains	45-49		F	123
Blue Mountains	45-49		M	127
Blue Mountains	45-49	0	F	2511
Blue Mountains	45-49	0	M	2300
Blue Mountains	45-49	1	F	51
Blue Mountains	45-49	1	M	42
Blue Mountains	50-54		F	98
Blue Mountains	50-54		M	110
Blue Mountains	50-54	0	F	2494
Blue Mountains	50-54	0	M	2204
Blue Mountains	50-54	1	F	52
Blue Mountains	50-54	1	M	43
Blue Mountains	55-59		F	137
Blue Mountains	55-59		M	129
Blue Mountains	55-59	0	F	2784
Blue Mountains	55-59	0	M	2395
Blue Mountains	55-59	1	F	36
