SED_NAME16	MotorVehicles.min	occupied_private_dwellings
Hawkesbury	0	859
Hawkesbury	1	5905
Hawkesbury	2	8840
Hawkesbury	3	4098
Hawkesbury	4	3577
Heathcote		578
Heathcote	0	1151
Heathcote	1	7846
Heathcote	2	10725
Heathcote	3	3545
Heathcote	4	2080
Heffron		1428
Heffron	0	9269
Heffron	1	18845
Heffron	2	7964
Heffron	3	1455
Heffron	4	519
Holsworthy		810
Holsworthy	0	1286
Holsworthy	1	6601
Holsworthy	2	10098
Holsworthy	3	3744
Holsworthy	4	2078
Hornsby		584
Hornsby	0	1636
Hornsby	1	9368
Hornsby	2	9832
Hornsby	3	3051
Hornsby	4	1821
Keira		887
Keira	0	2200
Keira	1	9687
Keira	2	10477
Keira	3	3225
Keira	4	1656
Kiama		835
Kiama	0	1014
Kiama	1	7992
Kiama	2	9774
Kiama	3	3440
Kiama	4	2043
Kogarah		959
Kogarah	0	4376
Kogarah	1	13112
Kogarah	2	8207
Kogarah	3	2247
Kogarah	4	1085
Ku-ring-gai		529
Ku-ring-gai	0	1538
Ku-ring-gai	1	9867
Ku-ring-gai	2	10581
Ku-ring-gai	3	2948
Ku-ring-gai	4	1262
Lake Macquarie		949
Lake Macquarie	0	1342
Lake Macquarie	1	8901
Lake Macquarie	2	9652
Lake Macquarie	3	3491
Lake Macquarie	4	1940
Lakemba		1294
Lakemba	0	3480
Lakemba	1	10545
Lakemba	2	7749
Lakemba	3	2602
Lakemba	4	1540
Lane Cove		703
Lane Cove	0	2918
Lane Cove	1	12324
Lane Cove	2	10093
Lane Cove	3	2485
Lane Cove	4	1197
Lismore		1220
Lismore	0	1673
Lismore	1	10384
Lismore	2	9868
Lismore	3	3208
Lismore	4	1640
Liverpool		1259
Liverpool	0	3071
Liverpool	1	8623
Liverpool	2	8301
Liverpool	3	3268
Liverpool	4	1877
Londonderry		1270
Londonderry	0	2424
Londonderry	1	10065
Londonderry	2	9758
Londonderry	3	3329
Londonderry	4	2081
Macquarie Fields		868
Macquarie Fields	0	1739
Macquarie Fields	1	9347
Macquarie Fields	2	9701
Macquarie Fields	3	3266
Macquarie Fields	4	1916
Maitland		867
Maitland	0	1384
Maitland	1	8578
Maitland	2	10973
Maitland	3	3599
Maitland	4	1910
Manly		758
Manly	0	2507
Manly	1	12507
Manly	2	10066
Manly	3	2381
Manly	4	989
Maroubra		1265
Maroubra	0	3828
Maroubra	1	11017
Maroubra	2	8873
Maroubra	3	2300
Maroubra	4	1073
Miranda		712
Miranda	0	1682
Miranda	1	8294
Miranda	2	10136
Miranda	3	3102
Miranda	4	1936
Monaro		1048
Monaro	0	1182
Monaro	1	8604
Monaro	2	10217
Monaro	3	3934
Monaro	4	2483
Mount Druitt		992
Mount Druitt	0	1879
Mount Druitt	1	8338
Mount Druitt	2	8936
Mount Druitt	3	3366
Mount Druitt	4	1652
Mulgoa		600
Mulgoa	0	440
Mulgoa	1	4909
Mulgoa	2	9885
Mulgoa	3	4494
Mulgoa	4	3338
Murray		1552
Murray	0	1635
Murray	1	9230
Murray	2	11038
Murray	3	3920
Murray	4	2229
Myall Lakes		1382
Myall Lakes	0	1833
Myall Lakes	1	11389
Myall Lakes	2	9581
Myall Lakes	3	2961
Myall Lakes	4	1280
Newcastle		1061
Newcastle	0	3222
Newcastle	1	11697
Newcastle	2	9956
Newcastle	3	2485
Newcastle	4	993
Newtown		1455
Newtown	0	12143
Newtown	1	14873
Newtown	2	4584
Newtown	3	748
Newtown	4	283
North Shore		768
North Shore	0	5281
North Shore	1	17118
North Shore	2	7851
North Shore	3	1494
North Shore	4	554
Northern Tablelands		1402
Northern Tablelands	0	1995
Northern Tablelands	1	9885
Northern Tablelands	2	9812
Northern Tablelands	3	3534
Northern Tablelands	4	1995
Oatley		684
Oatley	0	2185
Oatley	1	9346
Oatley	2	9050
Oatley	3	2867
Oatley	4	1464
Orange		1279
Orange	0	1759
Orange	1	9296
Orange	2	10385
Orange	3	3563
Orange	4	1918
Oxley		1371
Oxley	0	1550
Oxley	1	10399
Oxley	2	9622
Oxley	3	3173
Oxley	4	1533
Parramatta		1138
Parramatta	0	4961
Parramatta	1	14691
Parramatta	2	10105
Parramatta	3	2503
Parramatta	4	1219
Penrith		963
Penrith	0	2203
Penrith	1	9534
Penrith	2	9970
Penrith	3	3126
Penrith	4	1774
Pittwater		761
Pittwater	0	1115
Pittwater	1	7514
Pittwater	2	10438
Pittwater	3	3335
Pittwater	4	1857
Port Macquarie		1246
Port Macquarie	0	1742
Port Macquarie	1	11725
Port Macquarie	2	10342
Port Macquarie	3	2845
Port Macquarie	4	1290
Port Stephens		1165
Port Stephens	0	1074
Port Stephens	1	9295
Port Stephens	2	9709
Port Stephens	3	3217
Port Stephens	4	1829
Prospect		804
Prospect	0	1553
Prospect	1	8091
Prospect	2	9354
Prospect	3	3348
Prospect	4	1818
Riverstone		614
Riverstone	0	617
Riverstone	1	6771
Riverstone	2	12237
Riverstone	3	3785
Riverstone	4	1875
Rockdale		1163
Rockdale	0	4107
Rockdale	1	13087
Rockdale	2	8662
Rockdale	3	2310
Rockdale	4	1153
Ryde		895
Ryde	0	4216
Ryde	1	14782
Ryde	2	9652
Ryde	3	2372
Ryde	4	1089
Seven Hills		873
Seven Hills	0	2248
Seven Hills	1	10413
Seven Hills	2	10094
Seven Hills	3	3042
Seven Hills	4	1460
Shellharbour		1085
Shellharbour	0	1654
Shellharbour	1	9472
Shellharbour	2	10630
Shellharbour	3	3706
Shellharbour	4	2084
South Coast		1297
South Coast	0	1372
South Coast	1	10872
South Coast	2	9611
South Coast	3	2696
South Coast	4	1326
Strathfield		1206
Strathfield	0	5078
Strathfield	1	12807
Strathfield	2	8039
Strathfield	3	2319
Strathfield	4	1151
Summer Hill		1121
Summer Hill	0	5560
Summer Hill	1	14323
Summer Hill	2	6908
Summer Hill	3	1462
Summer Hill	4	637
Swansea		1115
Swansea	0	1544
Swansea	1	9826
Swansea	2	9956
Swansea	3	3217
Swansea	4	1709
Sydney		1654
Sydney	0	16524
Sydney	1	16444
Sydney	2	4278
Sydney	3	497
Sydney	4	217
Tamworth		1387
Tamworth	0	1642
Tamworth	1	9303
Tamworth	2	10365
Tamworth	3	3596
Tamworth	4	1971
Terrigal		781
Terrigal	0	1251
Terrigal	1	8670
Terrigal	2	10406
Terrigal	3	3529
Terrigal	4	1838
The Entrance		1044
The Entrance	0	1863
The Entrance	1	9693
The Entrance	2	9509
The Entrance	3	3011
The Entrance	4	1661
Tweed		1300
Tweed	0	1799
Tweed	1	11750
Tweed	2	10260
Tweed	3	2974
Tweed	4	1424
Upper Hunter		1064
Upper Hunter	0	1265
Upper Hunter	1	8260
Upper Hunter	2	10352
Upper Hunter	3	3943
Upper Hunter	4	2224
Vaucluse		1066
Vaucluse	0	4539
Vaucluse	1	13089
Vaucluse	2	8884
Vaucluse	3	1976
Vaucluse	4	820
Wagga Wagga		1087
Wagga Wagga	0	1578
Wagga Wagga	1	9346
Wagga Wagga	2	10388
Wagga Wagga	3	3457
Wagga Wagga	4	1824
Wakehurst		806
Wakehurst	0	1921
Wakehurst	1	9084
Wakehurst	2	10413
Wakehurst	3	3117
Wakehurst	4	1609
Wallsend		967
Wallsend	0	2202
Wallsend	1	10642
Wallsend	2	10779
Wallsend	3	3380
Wallsend	4	1648
Willoughby		751
Willoughby	0	4030
Willoughby	1	14355
Willoughby	2	9189
Willoughby	3	1910
Willoughby	4	698
Wollondilly		855
Wollondilly	0	752
Wollondilly	1	6532
Wollondilly	2	9398
Wollondilly	3	4147
Wollondilly	4	3208
Wollongong		1502
Wollongong	0	3889
Wollongong	1	12143
Wollongong	2	9305
Wollongong	3	3011
Wollongong	4	1489
Wyong		1192
Wyong	0	1754
Wyong	1	9392
Wyong	2	9448
Wyong	3	3305
Wyong	4	1881
Albert Park (Southern Metropolitan)		1012
Albert Park (Southern Metropolitan)	0	7266
Albert Park (Southern Metropolitan)	1	16747
Albert Park (Southern Metropolitan)	2	6989
Albert Park (Southern Metropolitan)	3	1034
Albert Park (Southern Metropolitan)	4	366
Altona (Western Metropolitan)		766
Altona (Western Metropolitan)	0	1303
Altona (Western Metropolitan)	1	10297
Altona (Western Metropolitan)	2	12952
Altona (Western Metropolitan)	3	3349
Altona (Western Metropolitan)	4	1536
Bass (Eastern Victoria)		1069
Bass (Eastern Victoria)	0	1208
Bass (Eastern Victoria)	1	8997
Bass (Eastern Victoria)	2	10263
Bass (Eastern Victoria)	3	3162
Bass (Eastern Victoria)	4	1545
Bayswater (Eastern Metropolitan)		685
Bayswater (Eastern Metropolitan)	0	1077
Bayswater (Eastern Metropolitan)	1	7740
Bayswater (Eastern Metropolitan)	2	9087
Bayswater (Eastern Metropolitan)	3	2787
Bayswater (Eastern Metropolitan)	4	1433
Bellarine (Western Victoria)		708
Bellarine (Western Victoria)	0	631
Bellarine (Western Victoria)	1	7251
Bellarine (Western Victoria)	2	9301
Bellarine (Western Victoria)	3	2738
Bellarine (Western Victoria)	4	1387
Benambra (Northern Victoria)		858
Benambra (Northern Victoria)	0	1060
Benambra (Northern Victoria)	1	7434
Benambra (Northern Victoria)	2	9373
Benambra (Northern Victoria)	3	3218
Benambra (Northern Victoria)	4	1744
Bendigo East (Northern Victoria)		853
Bendigo East (Northern Victoria)	0	1086
Bendigo East (Northern Victoria)	1	7394
Bendigo East (Northern Victoria)	2	9184
Bendigo East (Northern Victoria)	3	3189
Bendigo East (Northern Victoria)	4	1701
Bendigo West (Northern Victoria)		1007
Bendigo West (Northern Victoria)	0	1480
Bendigo West (Northern Victoria)	1	8210
Bendigo West (Northern Victoria)	2	8265
Bendigo West (Northern Victoria)	3	2808
Bendigo West (Northern Victoria)	4	1529
Bentleigh (Southern Metropolitan)		640
Bentleigh (Southern Metropolitan)	0	1465
Bentleigh (Southern Metropolitan)	1	7834
Bentleigh (Southern Metropolitan)	2	8841
Bentleigh (Southern Metropolitan)	3	2114
Bentleigh (Southern Metropolitan)	4	915
Box Hill (Eastern Metropolitan)		662
Box Hill (Eastern Metropolitan)	0	2372
Box Hill (Eastern Metropolitan)	1	9902
Box Hill (Eastern Metropolitan)	2	9010
Box Hill (Eastern Metropolitan)	3	2218
Box Hill (Eastern Metropolitan)	4	1037
Brighton (Southern Metropolitan)		615
Brighton (Southern Metropolitan)	0	1576
Brighton (Southern Metropolitan)	1	9211
Brighton (Southern Metropolitan)	2	9156
Brighton (Southern Metropolitan)	3	2152
Brighton (Southern Metropolitan)	4	942
Broadmeadows (Northern Metropolitan)		1199
Broadmeadows (Northern Metropolitan)	0	2066
Broadmeadows (Northern Metropolitan)	1	7713
Broadmeadows (Northern Metropolitan)	2	6997
Broadmeadows (Northern Metropolitan)	3	2485
Broadmeadows (Northern Metropolitan)	4	1270
Brunswick (Northern Metropolitan)		895
Brunswick (Northern Metropolitan)	0	5178
Brunswick (Northern Metropolitan)	1	13720
Brunswick (Northern Metropolitan)	2	6838
Brunswick (Northern Metropolitan)	3	1519
Brunswick (Northern Metropolitan)	4	600
Bulleen (Eastern Metropolitan)		602
Bulleen (Eastern Metropolitan)	0	1009
Bulleen (Eastern Metropolitan)	1	6875
Bulleen (Eastern Metropolitan)	2	9120
Bulleen (Eastern Metropolitan)	3	2838
Bulleen (Eastern Metropolitan)	4	1497
Bundoora (Northern Metropolitan)		637
Bundoora (Northern Metropolitan)	0	1463
Bundoora (Northern Metropolitan)	1	7182
Bundoora (Northern Metropolitan)	2	8153
Bundoora (Northern Metropolitan)	3	2543
Bundoora (Northern Metropolitan)	4	1275
Buninyong (Western Victoria)		872
Buninyong (Western Victoria)	0	1018
Buninyong (Western Victoria)	1	6458
Buninyong (Western Victoria)	2	8025
Buninyong (Western Victoria)	3	3175
Buninyong (Western Victoria)	4	2074
Burwood (Southern Metropolitan)		579
Burwood (Southern Metropolitan)	0	1861
Burwood (Southern Metropolitan)	1	7979
Burwood (Southern Metropolitan)	2	9170
Burwood (Southern Metropolitan)	3	2454
Burwood (Southern Metropolitan)	4	984
Carrum (South-Eastern Metropolitan)		919
Carrum (South-Eastern Metropolitan)	0	1365
Carrum (South-Eastern Metropolitan)	1	8554
Carrum (South-Eastern Metropolitan)	2	10262
Carrum (South-Eastern Metropolitan)	3	2795
Carrum (South-Eastern Metropolitan)	4	1350
Caulfield (Southern Metropolitan)		700
Caulfield (Southern Metropolitan)	0	2939
Caulfield (Southern Metropolitan)	1	10602
Caulfield (Southern Metropolitan)	2	8382
Caulfield (Southern Metropolitan)	3	1736
Caulfield (Southern Metropolitan)	4	762
Clarinda (South-Eastern Metropolitan)		945
Clarinda (South-Eastern Metropolitan)	0	2288
Clarinda (South-Eastern Metropolitan)	1	9392
Clarinda (South-Eastern Metropolitan)	2	8665
Clarinda (South-Eastern Metropolitan)	3	2609
Clarinda (South-Eastern Metropolitan)	4	1195
Cranbourne (South-Eastern Metropolitan)		946
Cranbourne (South-Eastern Metropolitan)	0	805
Cranbourne (South-Eastern Metropolitan)	1	8183
Cranbourne (South-Eastern Metropolitan)	2	13835
Cranbourne (South-Eastern Metropolitan)	3	4084
Cranbourne (South-Eastern Metropolitan)	4	1851
Croydon (Eastern Metropolitan)		601
Croydon (Eastern Metropolitan)	0	1019
Croydon (Eastern Metropolitan)	1	7317
Croydon (Eastern Metropolitan)	2	8711
Croydon (Eastern Metropolitan)	3	2622
Croydon (Eastern Metropolitan)	4	1391
Dandenong (South-Eastern Metropolitan)		1247
Dandenong (South-Eastern Metropolitan)	0	2320
Dandenong (South-Eastern Metropolitan)	1	8827
Dandenong (South-Eastern Metropolitan)	2	7791
Dandenong (South-Eastern Metropolitan)	3	2626
Dandenong (South-Eastern Metropolitan)	4	1457
Eildon (Northern Victoria)		975
Eildon (Northern Victoria)	0	626
Eildon (Northern Victoria)	1	5928
Eildon (Northern Victoria)	2	7820
Eildon (Northern Victoria)	3	3426
Eildon (Northern Victoria)	4	2371
Eltham (Eastern Metropolitan)		390
Eltham (Eastern Metropolitan)	0	543
Eltham (Eastern Metropolitan)	1	5227
Eltham (Eastern Metropolitan)	2	9048
Eltham (Eastern Metropolitan)	3	3107
Eltham (Eastern Metropolitan)	4	1944
Essendon (Western Metropolitan)		899
Essendon (Western Metropolitan)	0	3281
Essendon (Western Metropolitan)	1	10593
Essendon (Western Metropolitan)	2	7861
Essendon (Western Metropolitan)	3	1989
Essendon (Western Metropolitan)	4	950
Euroa (Northern Victoria)		1144
Euroa (Northern Victoria)	0	1051
Euroa (Northern Victoria)	1	7335
Euroa (Northern Victoria)	2	8690
Euroa (Northern Victoria)	3	3531
Euroa (Northern Victoria)	4	2433
Evelyn (Eastern Victoria)		505
Evelyn (Eastern Victoria)	0	568
Evelyn (Eastern Victoria)	1	4988
Evelyn (Eastern Victoria)	2	8165
Evelyn (Eastern Victoria)	3	3123
Evelyn (Eastern Victoria)	4	2151
Ferntree Gully (Eastern Metropolitan)		507
Ferntree Gully (Eastern Metropolitan)	0	853
Ferntree Gully (Eastern Metropolitan)	1	5926
Ferntree Gully (Eastern Metropolitan)	2	8468
Ferntree Gully (Eastern Metropolitan)	3	2941
Ferntree Gully (Eastern Metropolitan)	4	1511
Footscray (Western Metropolitan)		1247
Footscray (Western Metropolitan)	0	3912
Footscray (Western Metropolitan)	1	11917
Footscray (Western Metropolitan)	2	8557
Footscray (Western Metropolitan)	3	2328
Footscray (Western Metropolitan)	4	995
Forest Hill (Eastern Metropolitan)		504
Forest Hill (Eastern Metropolitan)	0	1153
Forest Hill (Eastern Metropolitan)	1	6692
Forest Hill (Eastern Metropolitan)	2	8922
Forest Hill (Eastern Metropolitan)	3	2454
Forest Hill (Eastern Metropolitan)	4	1132
Frankston (South-Eastern Metropolitan)		1013
Frankston (South-Eastern Metropolitan)	0	1909
Frankston (South-Eastern Metropolitan)	1	8971
Frankston (South-Eastern Metropolitan)	2	8413
Frankston (South-Eastern Metropolitan)	3	2243
Frankston (South-Eastern Metropolitan)	4	1086
Geelong (Western Victoria)		939
Geelong (Western Victoria)	0	2258
Geelong (Western Victoria)	1	10365
Geelong (Western Victoria)	2	8769
Geelong (Western Victoria)	3	2239
Geelong (Western Victoria)	4	968
Gembrook (Eastern Victoria)		601
Gembrook (Eastern Victoria)	0	640
Gembrook (Eastern Victoria)	1	6138
Gembrook (Eastern Victoria)	2	9766
Gembrook (Eastern Victoria)	3	3460
Gembrook (Eastern Victoria)	4	2266
Gippsland East (Eastern Victoria)		1159
Gippsland East (Eastern Victoria)	0	1010
Gippsland East (Eastern Victoria)	1	7435
Gippsland East (Eastern Victoria)	2	8454
Gippsland East (Eastern Victoria)	3	3078
Gippsland East (Eastern Victoria)	4	1724
Gippsland South (Eastern Victoria)		826
Gippsland South (Eastern Victoria)	0	1001
Gippsland South (Eastern Victoria)	1	6946
Gippsland South (Eastern Victoria)	2	7946
Gippsland South (Eastern Victoria)	3	2931
Gippsland South (Eastern Victoria)	4	1710
Hastings (Eastern Victoria)		777
Hastings (Eastern Victoria)	0	765
Hastings (Eastern Victoria)	1	6638
Hastings (Eastern Victoria)	2	9258
Hastings (Eastern Victoria)	3	3716
Hastings (Eastern Victoria)	4	2687
Hawthorn (Southern Metropolitan)		656
Hawthorn (Southern Metropolitan)	0	2778
Hawthorn (Southern Metropolitan)	1	10299
Hawthorn (Southern Metropolitan)	2	8402
Hawthorn (Southern Metropolitan)	3	2051
Hawthorn (Southern Metropolitan)	4	897
Ivanhoe (Eastern Metropolitan)		701
Ivanhoe (Eastern Metropolitan)	0	1761
Ivanhoe (Eastern Metropolitan)	1	8828
Ivanhoe (Eastern Metropolitan)	2	8970
Ivanhoe (Eastern Metropolitan)	3	2301
Ivanhoe (Eastern Metropolitan)	4	1004
Kew (Southern Metropolitan)		494
Kew (Southern Metropolitan)	0	1118
Kew (Southern Metropolitan)	1	7280
Kew (Southern Metropolitan)	2	8824
Kew (Southern Metropolitan)	3	2627
Kew (Southern Metropolitan)	4	1196
Keysborough (South-Eastern Metropolitan)		808
Keysborough (South-Eastern Metropolitan)	0	1266
Keysborough (South-Eastern Metropolitan)	1	6548
Keysborough (South-Eastern Metropolitan)	2	8544
Keysborough (South-Eastern Metropolitan)	3	3268
Keysborough (South-Eastern Metropolitan)	4	1557
Kororoit (Western Metropolitan)		891
Kororoit (Western Metropolitan)	0	900
Kororoit (Western Metropolitan)	1	6816
Kororoit (Western Metropolitan)	2	10643
Kororoit (Western Metropolitan)	3	3553
Kororoit (Western Metropolitan)	4	1685
Lara (Western Victoria)		1090
Lara (Western Victoria)	0	1975
Lara (Western Victoria)	1	8328
Lara (Western Victoria)	2	8178
Lara (Western Victoria)	3	2703
Lara (Western Victoria)	4	1416
Lowan (Western Victoria)		982
Lowan (Western Victoria)	0	1183
Lowan (Western Victoria)	1	7070
Lowan (Western Victoria)	2	7781
Lowan (Western Victoria)	3	3175
Lowan (Western Victoria)	4	2216
Macedon (Northern Victoria)		701
Macedon (Northern Victoria)	0	544
Macedon (Northern Victoria)	1	5129
Macedon (Northern Victoria)	2	8339
Macedon (Northern Victoria)	3	3343
Macedon (Northern Victoria)	4	2231
Malvern (Southern Metropolitan)		624
Malvern (Southern Metropolitan)	0	2201
Malvern (Southern Metropolitan)	1	8886
Malvern (Southern Metropolitan)	2	7919
Malvern (Southern Metropolitan)	3	1980
Malvern (Southern Metropolitan)	4	1026
Melbourne (Northern Metropolitan)		1890
Melbourne (Northern Metropolitan)	0	23479
Melbourne (Northern Metropolitan)	1	16258
Melbourne (Northern Metropolitan)	2	5084
Melbourne (Northern Metropolitan)	3	779
Melbourne (Northern Metropolitan)	4	269
Melton (Western Victoria)		1049
Melton (Western Victoria)	0	1179
Melton (Western Victoria)	1	8249
Melton (Western Victoria)	2	10474
Melton (Western Victoria)	3	3508
Melton (Western Victoria)	4	1946
Mildura (Northern Victoria)		1214
Mildura (Northern Victoria)	0	1497
Mildura (Northern Victoria)	1	7457
Mildura (Northern Victoria)	2	8212
Mildura (Northern Victoria)	3	2984
Mildura (Northern Victoria)	4	1880
Mill Park (Northern Metropolitan)		611
Mill Park (Northern Metropolitan)	0	700
Mill Park (Northern Metropolitan)	1	6066
Mill Park (Northern Metropolitan)	2	9135
Mill Park (Northern Metropolitan)	3	3258
Mill Park (Northern Metropolitan)	4	1931
Monbulk (Eastern Victoria)		447
Monbulk (Eastern Victoria)	0	434
Monbulk (Eastern Victoria)	1	4709
Monbulk (Eastern Victoria)	2	8397
Monbulk (Eastern Victoria)	3	3200
Monbulk (Eastern Victoria)	4	2175
Mordialloc (South-Eastern Metropolitan)		634
Mordialloc (South-Eastern Metropolitan)	0	1368
Mordialloc (South-Eastern Metropolitan)	1	8289
Mordialloc (South-Eastern Metropolitan)	2	9493
Mordialloc (South-Eastern Metropolitan)	3	2400
Mordialloc (South-Eastern Metropolitan)	4	1086
Mornington (Eastern Victoria)		708
Mornington (Eastern Victoria)	0	774
Mornington (Eastern Victoria)	1	6754
Mornington (Eastern Victoria)	2	9523
Mornington (Eastern Victoria)	3	2944
Mornington (Eastern Victoria)	4	1444
Morwell (Eastern Victoria)		1078
Morwell (Eastern Victoria)	0	1568
Morwell (Eastern Victoria)	1	8305
Morwell (Eastern Victoria)	2	8778
Morwell (Eastern Victoria)	3	3020
Morwell (Eastern Victoria)	4	1663
Mount Waverley (Eastern Metropolitan)		480
Mount Waverley (Eastern Metropolitan)	0	1027
Mount Waverley (Eastern Metropolitan)	1	7125
Mount Waverley (Eastern Metropolitan)	2	8763
Mount Waverley (Eastern Metropolitan)	3	2690
Mount Waverley (Eastern Metropolitan)	4	1101
Mulgrave (South-Eastern Metropolitan)		684
Mulgrave (South-Eastern Metropolitan)	0	1160
Mulgrave (South-Eastern Metropolitan)	1	6750
Mulgrave (South-Eastern Metropolitan)	2	8509
Mulgrave (South-Eastern Metropolitan)	3	2723
Mulgrave (South-Eastern Metropolitan)	4	1373
Murray Plains (Northern Victoria)		1141
Murray Plains (Northern Victoria)	0	1231
Murray Plains (Northern Victoria)	1	7026
Murray Plains (Northern Victoria)	2	8570
Murray Plains (Northern Victoria)	3	3254
Murray Plains (Northern Victoria)	4	1991
Narracan (Eastern Victoria)		992
Narracan (Eastern Victoria)	0	1207
Narracan (Eastern Victoria)	1	7386
Narracan (Eastern Victoria)	2	8964
Narracan (Eastern Victoria)	3	3504
Narracan (Eastern Victoria)	4	2402
Narre Warren North (South-Eastern Metrop		658
Narre Warren North (South-Eastern Metrop	0	690
Narre Warren North (South-Eastern Metrop	1	5552
Narre Warren North (South-Eastern Metrop	2	8638
Narre Warren North (South-Eastern Metrop	3	3323
Narre Warren North (South-Eastern Metrop	4	2084
Narre Warren South (South-Eastern Metrop		638
Narre Warren South (South-Eastern Metrop	0	505
Narre Warren South (South-Eastern Metrop	1	5697
Narre Warren South (South-Eastern Metrop	2	10894
Narre Warren South (South-Eastern Metrop	3	3840
Narre Warren South (South-Eastern Metrop	4	2069
Nepean (Eastern Victoria)		1155
Nepean (Eastern Victoria)	0	1044
Nepean (Eastern Victoria)	1	8318
Nepean (Eastern Victoria)	2	9177
Nepean (Eastern Victoria)	3	2572
Nepean (Eastern Victoria)	4	1146
Niddrie (Western Metropolitan)		722
Niddrie (Western Metropolitan)	0	1230
Niddrie (Western Metropolitan)	1	6806
Niddrie (Western Metropolitan)	2	8619
Niddrie (Western Metropolitan)	3	2686
Niddrie (Western Metropolitan)	4	1355
Northcote (Northern Metropolitan)		742
Northcote (Northern Metropolitan)	0	3295
Northcote (Northern Metropolitan)	1	11494
Northcote (Northern Metropolitan)	2	7375
Northcote (Northern Metropolitan)	3	1524
Northcote (Northern Metropolitan)	4	584
Oakleigh (Southern Metropolitan)		781
Oakleigh (Southern Metropolitan)	0	3202
