SED_NAME16	MaxSchoolingCompleted	adults
Cabramatta	Year 12	32713
Camden	Did not go to school	434
Camden	Year 8	2741
Camden	Year 9	4813
Camden	Year 10	19353
Camden	Year 11	4548
Camden	Year 12	31007
Campbelltown	Did not go to school	571
Campbelltown	Year 8	2896
Campbelltown	Year 9	5099
Campbelltown	Year 10	16956
Campbelltown	Year 11	4391
Campbelltown	Year 12	26972
Canterbury	Did not go to school	2107
Canterbury	Year 8	5607
Canterbury	Year 9	2992
Canterbury	Year 10	9916
Canterbury	Year 11	3089
Canterbury	Year 12	43698
Castle Hill	Did not go to school	340
Castle Hill	Year 8	1398
Castle Hill	Year 9	2790
Castle Hill	Year 10	11152
Castle Hill	Year 11	3325
Castle Hill	Year 12	40680
Cessnock	Did not go to school	151
Cessnock	Year 8	3573
Cessnock	Year 9	6924
Cessnock	Year 10	21262
Cessnock	Year 11	4582
Cessnock	Year 12	17718
Charlestown	Did not go to school	190
Charlestown	Year 8	2504
Charlestown	Year 9	5230
Charlestown	Year 10	16623
Charlestown	Year 11	3728
Charlestown	Year 12	26240
Clarence	Did not go to school	192
Clarence	Year 8	4424
Clarence	Year 9	6562
Clarence	Year 10	20964
Clarence	Year 11	4269
Clarence	Year 12	17684
Coffs Harbour	Did not go to school	349
Coffs Harbour	Year 8	3073
Coffs Harbour	Year 9	5177
Coffs Harbour	Year 10	17580
Coffs Harbour	Year 11	4494
Coffs Harbour	Year 12	23088
Coogee	Did not go to school	237
Coogee	Year 8	1226
Coogee	Year 9	1495
Coogee	Year 10	5981
Coogee	Year 11	2537
Coogee	Year 12	50671
Cootamundra	Did not go to school	215
Cootamundra	Year 8	4215
Cootamundra	Year 9	6106
Cootamundra	Year 10	19090
Cootamundra	Year 11	4044
Cootamundra	Year 12	16978
Cronulla	Did not go to school	161
Cronulla	Year 8	1383
Cronulla	Year 9	3182
Cronulla	Year 10	14410
Cronulla	Year 11	3410
Cronulla	Year 12	33913
Davidson	Did not go to school	242
Davidson	Year 8	1121
Davidson	Year 9	2157
Davidson	Year 10	6874
Davidson	Year 11	3009
Davidson	Year 12	45575
Drummoyne	Did not go to school	722
Drummoyne	Year 8	2875
Drummoyne	Year 9	2346
Drummoyne	Year 10	8615
Drummoyne	Year 11	2545
Drummoyne	Year 12	45262
Dubbo	Did not go to school	200
Dubbo	Year 8	3378
Dubbo	Year 9	5270
Dubbo	Year 10	18444
Dubbo	Year 11	4269
Dubbo	Year 12	21704
East Hills	Did not go to school	983
East Hills	Year 8	3362
East Hills	Year 9	3918
East Hills	Year 10	13663
East Hills	Year 11	3269
East Hills	Year 12	32639
Epping	Did not go to school	395
Epping	Year 8	1185
Epping	Year 9	2399
Epping	Year 10	7407
Epping	Year 11	2836
Epping	Year 12	48248
Fairfield	Did not go to school	4633
Fairfield	Year 8	7235
Fairfield	Year 9	4400
Fairfield	Year 10	11085
Fairfield	Year 11	3837
Fairfield	Year 12	33133
Gosford	Did not go to school	214
Gosford	Year 8	2721
Gosford	Year 9	5210
Gosford	Year 10	17406
Gosford	Year 11	4052
Gosford	Year 12	26260
Goulburn	Did not go to school	238
Goulburn	Year 8	2925
Goulburn	Year 9	4881
Goulburn	Year 10	17291
Goulburn	Year 11	4135
Goulburn	Year 12	25592
Granville	Did not go to school	2397
Granville	Year 8	4670
Granville	Year 9	3368
Granville	Year 10	11260
Granville	Year 11	3362
Granville	Year 12	41338
Hawkesbury	Did not go to school	221
Hawkesbury	Year 8	2550
Hawkesbury	Year 9	4764
Hawkesbury	Year 10	18843
Hawkesbury	Year 11	4153
Hawkesbury	Year 12	24178
Heathcote	Did not go to school	143
Heathcote	Year 8	1482
Heathcote	Year 9	3527
Heathcote	Year 10	16179
Heathcote	Year 11	3593
Heathcote	Year 12	32777
Heffron	Did not go to school	936
Heffron	Year 8	2693
Heffron	Year 9	1981
Heffron	Year 10	7390
Heffron	Year 11	3403
Heffron	Year 12	68234
Holsworthy	Did not go to school	1108
Holsworthy	Year 8	3387
Holsworthy	Year 9	3462
Holsworthy	Year 10	13310
Holsworthy	Year 11	3979
Holsworthy	Year 12	35547
Hornsby	Did not go to school	399
Hornsby	Year 8	1380
Hornsby	Year 9	2584
Hornsby	Year 10	10544
Hornsby	Year 11	3240
Hornsby	Year 12	42167
Keira	Did not go to school	345
Keira	Year 8	3029
Keira	Year 9	4610
Keira	Year 10	15979
Keira	Year 11	3781
Keira	Year 12	31918
Kiama	Did not go to school	157
Kiama	Year 8	2457
Kiama	Year 9	4965
Kiama	Year 10	17887
Kiama	Year 11	4101
Kiama	Year 12	23317
Kogarah	Did not go to school	1539
Kogarah	Year 8	3965
Kogarah	Year 9	2756
Kogarah	Year 10	9066
Kogarah	Year 11	3104
Kogarah	Year 12	51592
Ku-ring-gai	Did not go to school	253
Ku-ring-gai	Year 8	957
Ku-ring-gai	Year 9	2070
Ku-ring-gai	Year 10	6170
Ku-ring-gai	Year 11	2858
Ku-ring-gai	Year 12	48327
Lake Macquarie	Did not go to school	179
Lake Macquarie	Year 8	2949
Lake Macquarie	Year 9	6112
Lake Macquarie	Year 10	19517
Lake Macquarie	Year 11	4256
Lake Macquarie	Year 12	21585
Lakemba	Did not go to school	2646
Lakemba	Year 8	5458
Lakemba	Year 9	3267
Lakemba	Year 10	10529
Lakemba	Year 11	3407
Lakemba	Year 12	39837
Lane Cove	Did not go to school	370
Lane Cove	Year 8	1565
Lane Cove	Year 9	2202
Lane Cove	Year 10	7407
Lane Cove	Year 11	2809
Lane Cove	Year 12	48170
Lismore	Did not go to school	188
Lismore	Year 8	3512
Lismore	Year 9	4983
Lismore	Year 10	18249
Lismore	Year 11	4466
Lismore	Year 12	22756
Liverpool	Did not go to school	2421
Liverpool	Year 8	4940
Liverpool	Year 9	4082
Liverpool	Year 10	12377
Liverpool	Year 11	4140
Liverpool	Year 12	35578
Londonderry	Did not go to school	627
Londonderry	Year 8	4201
Londonderry	Year 9	5945
Londonderry	Year 10	20052
Londonderry	Year 11	4944
Londonderry	Year 12	27711
Macquarie Fields	Did not go to school	668
Macquarie Fields	Year 8	2943
Macquarie Fields	Year 9	4310
Macquarie Fields	Year 10	15550
Macquarie Fields	Year 11	4131
Macquarie Fields	Year 12	35125
Maitland	Did not go to school	153
Maitland	Year 8	2747
Maitland	Year 9	5895
Maitland	Year 10	20175
Maitland	Year 11	4710
Maitland	Year 12	22462
Manly	Did not go to school	143
Manly	Year 8	961
Manly	Year 9	1899
Manly	Year 10	7686
Manly	Year 11	3012
Manly	Year 12	45960
Maroubra	Did not go to school	612
Maroubra	Year 8	2721
Maroubra	Year 9	2879
Maroubra	Year 10	10086
Maroubra	Year 11	3063
Maroubra	Year 12	40847
Miranda	Did not go to school	301
Miranda	Year 8	1996
Miranda	Year 9	3346
Miranda	Year 10	13878
Miranda	Year 11	3254
Miranda	Year 12	33838
Monaro	Did not go to school	241
Monaro	Year 8	2484
Monaro	Year 9	3570
Monaro	Year 10	13553
Monaro	Year 11	3962
Monaro	Year 12	31862
Mount Druitt	Did not go to school	986
Mount Druitt	Year 8	3754
Mount Druitt	Year 9	4386
Mount Druitt	Year 10	14234
Mount Druitt	Year 11	4428
Mount Druitt	Year 12	35219
Mulgoa	Did not go to school	735
Mulgoa	Year 8	2718
Mulgoa	Year 9	3830
Mulgoa	Year 10	16970
Mulgoa	Year 11	4189
Mulgoa	Year 12	31364
Murray	Did not go to school	485
Murray	Year 8	5269
Murray	Year 9	6307
Murray	Year 10	18392
Murray	Year 11	6975
Murray	Year 12	20978
Myall Lakes	Did not go to school	161
Myall Lakes	Year 8	4086
Myall Lakes	Year 9	6945
Myall Lakes	Year 10	20541
Myall Lakes	Year 11	4050
Myall Lakes	Year 12	17583
Newcastle	Did not go to school	263
Newcastle	Year 8	2247
Newcastle	Year 9	3893
Newcastle	Year 10	13588
Newcastle	Year 11	3433
Newcastle	Year 12	32370
Newtown	Did not go to school	644
Newtown	Year 8	1763
Newtown	Year 9	1391
Newtown	Year 10	5160
Newtown	Year 11	2396
Newtown	Year 12	56248
North Shore	Did not go to school	136
North Shore	Year 8	561
North Shore	Year 9	1147
North Shore	Year 10	4568
North Shore	Year 11	2394
North Shore	Year 12	52048
Northern Tablelands	Did not go to school	231
Northern Tablelands	Year 8	4165
Northern Tablelands	Year 9	5506
Northern Tablelands	Year 10	17277
Northern Tablelands	Year 11	4075
Northern Tablelands	Year 12	25127
Oatley	Did not go to school	659
Oatley	Year 8	2637
Oatley	Year 9	3192
Oatley	Year 10	10672
Oatley	Year 11	3056
Oatley	Year 12	39017
Orange	Did not go to school	236
Orange	Year 8	3752
Orange	Year 9	5418
Orange	Year 10	18529
Orange	Year 11	4264
Orange	Year 12	23092
Oxley	Did not go to school	175
Oxley	Year 8	4086
Oxley	Year 9	6562
Oxley	Year 10	19321
Oxley	Year 11	4206
Oxley	Year 12	18391
Parramatta	Did not go to school	1350
Parramatta	Year 8	2560
Parramatta	Year 9	2937
Parramatta	Year 10	9919
Parramatta	Year 11	3277
Parramatta	Year 12	57083
Penrith	Did not go to school	258
Penrith	Year 8	2715
Penrith	Year 9	4846
Penrith	Year 10	17998
Penrith	Year 11	4257
Penrith	Year 12	27951
Pittwater	Did not go to school	106
Pittwater	Year 8	1130
Pittwater	Year 9	2485
Pittwater	Year 10	11228
Pittwater	Year 11	3468
Pittwater	Year 12	36058
Port Macquarie	Did not go to school	138
Port Macquarie	Year 8	3140
Port Macquarie	Year 9	6016
Port Macquarie	Year 10	19406
Port Macquarie	Year 11	4593
Port Macquarie	Year 12	22300
Port Stephens	Did not go to school	186
Port Stephens	Year 8	2655
Port Stephens	Year 9	5986
Port Stephens	Year 10	19677
Port Stephens	Year 11	4438
Port Stephens	Year 12	20041
Prospect	Did not go to school	1693
Prospect	Year 8	4891
Prospect	Year 9	3684
Prospect	Year 10	12736
Prospect	Year 11	3280
Prospect	Year 12	34650
Riverstone	Did not go to school	482
Riverstone	Year 8	1982
Riverstone	Year 9	2856
Riverstone	Year 10	11783
Riverstone	Year 11	3529
Riverstone	Year 12	42994
Rockdale	Did not go to school	1070
Rockdale	Year 8	3850
Rockdale	Year 9	2698
Rockdale	Year 10	10463
Rockdale	Year 11	3257
Rockdale	Year 12	45242
Ryde	Did not go to school	856
Ryde	Year 8	2444
Ryde	Year 9	2428
Ryde	Year 10	8198
Ryde	Year 11	2725
Ryde	Year 12	57428
Seven Hills	Did not go to school	572
Seven Hills	Year 8	2596
Seven Hills	Year 9	3408
Seven Hills	Year 10	12597
Seven Hills	Year 11	3298
Seven Hills	Year 12	40310
Shellharbour	Did not go to school	374
Shellharbour	Year 8	3814
Shellharbour	Year 9	6327
Shellharbour	Year 10	22213
Shellharbour	Year 11	4911
Shellharbour	Year 12	22889
South Coast	Did not go to school	163
South Coast	Year 8	3505
South Coast	Year 9	6302
South Coast	Year 10	19201
South Coast	Year 11	4027
South Coast	Year 12	18836
Strathfield	Did not go to school	1370
Strathfield	Year 8	3283
Strathfield	Year 9	2286
Strathfield	Year 10	7463
Strathfield	Year 11	2816
Strathfield	Year 12	57384
Summer Hill	Did not go to school	1298
Summer Hill	Year 8	3905
Summer Hill	Year 9	1967
Summer Hill	Year 10	7148
Summer Hill	Year 11	2600
Summer Hill	Year 12	46521
Swansea	Did not go to school	129
Swansea	Year 8	3037
Swansea	Year 9	6629
Swansea	Year 10	21306
Swansea	Year 11	4252
Swansea	Year 12	19233
Sydney	Did not go to school	588
Sydney	Year 8	1096
Sydney	Year 9	1316
Sydney	Year 10	4667
Sydney	Year 11	2713
Sydney	Year 12	66973
Tamworth	Did not go to school	241
Tamworth	Year 8	3753
Tamworth	Year 9	5911
Tamworth	Year 10	19381
Tamworth	Year 11	4195
Tamworth	Year 12	21267
Terrigal	Did not go to school	120
Terrigal	Year 8	1813
Terrigal	Year 9	4275
Terrigal	Year 10	16076
Terrigal	Year 11	3881
Terrigal	Year 12	29308
The Entrance	Did not go to school	132
The Entrance	Year 8	2672
The Entrance	Year 9	5156
The Entrance	Year 10	18350
The Entrance	Year 11	4292
The Entrance	Year 12	23790
Tweed	Did not go to school	154
Tweed	Year 8	3279
Tweed	Year 9	5128
Tweed	Year 10	19175
Tweed	Year 11	4947
Tweed	Year 12	24507
Upper Hunter	Did not go to school	158
Upper Hunter	Year 8	3540
Upper Hunter	Year 9	5969
Upper Hunter	Year 10	20452
Upper Hunter	Year 11	4640
Upper Hunter	Year 12	19134
Vaucluse	Did not go to school	129
Vaucluse	Year 8	760
Vaucluse	Year 9	1377
Vaucluse	Year 10	4720
Vaucluse	Year 11	2423
Vaucluse	Year 12	50315
Wagga Wagga	Did not go to school	254
Wagga Wagga	Year 8	3135
Wagga Wagga	Year 9	5070
Wagga Wagga	Year 10	17476
Wagga Wagga	Year 11	4608
Wagga Wagga	Year 12	25171
Wakehurst	Did not go to school	428
Wakehurst	Year 8	1929
Wakehurst	Year 9	2846
Wakehurst	Year 10	11602
Wakehurst	Year 11	3516
Wakehurst	Year 12	39086
Wallsend	Did not go to school	299
Wallsend	Year 8	2991
Wallsend	Year 9	5908
Wallsend	Year 10	18049
Wallsend	Year 11	4100
Wallsend	Year 12	30465
Willoughby	Did not go to school	428
Willoughby	Year 8	1375
Willoughby	Year 9	1660
Willoughby	Year 10	5572
Willoughby	Year 11	2550
Willoughby	Year 12	53061
Wollondilly	Did not go to school	174
Wollondilly	Year 8	2228
Wollondilly	Year 9	4610
Wollondilly	Year 10	18766
Wollondilly	Year 11	4205
Wollondilly	Year 12	24727
Wollongong	Did not go to school	931
Wollongong	Year 8	4966
Wollongong	Year 9	4792
Wollongong	Year 10	16619
Wollongong	Year 11	4065
Wollongong	Year 12	32309
Wyong	Did not go to school	279
Wyong	Year 8	3384
Wyong	Year 9	6013
Wyong	Year 10	20226
Wyong	Year 11	4613
Wyong	Year 12	21065
No usual address (NSW)	Did not go to school	65
No usual address (NSW)	Year 8	420
No usual address (NSW)	Year 9	731
No usual address (NSW)	Year 10	2159
No usual address (NSW)	Year 11	633
No usual address (NSW)	Year 12	4169
Migratory - Offshore - Shipping (NSW)	Did not go to school	4
Migratory - Offshore - Shipping (NSW)	Year 8	27
Migratory - Offshore - Shipping (NSW)	Year 9	35
Migratory - Offshore - Shipping (NSW)	Year 10	93
Migratory - Offshore - Shipping (NSW)	Year 11	22
Migratory - Offshore - Shipping (NSW)	Year 12	125
Albert Park (Southern Metropolitan)	Did not go to school	355
Albert Park (Southern Metropolitan)	Year 8	1566
Albert Park (Southern Metropolitan)	Year 9	1325
Albert Park (Southern Metropolitan)	Year 10	3814
Albert Park (Southern Metropolitan)	Year 11	4211
Albert Park (Southern Metropolitan)	Year 12	48477
Altona (Western Metropolitan)	Did not go to school	705
Altona (Western Metropolitan)	Year 8	3170
Altona (Western Metropolitan)	Year 9	3246
Altona (Western Metropolitan)	Year 10	8328
Altona (Western Metropolitan)	Year 11	7075
Altona (Western Metropolitan)	Year 12	43332
Bass (Eastern Victoria)	Did not go to school	273
Bass (Eastern Victoria)	Year 8	3434
Bass (Eastern Victoria)	Year 9	4955
Bass (Eastern Victoria)	Year 10	11565
Bass (Eastern Victoria)	Year 11	8802
Bass (Eastern Victoria)	Year 12	23195
Bayswater (Eastern Metropolitan)	Did not go to school	335
Bayswater (Eastern Metropolitan)	Year 8	2269
Bayswater (Eastern Metropolitan)	Year 9	3193
Bayswater (Eastern Metropolitan)	Year 10	8064
Bayswater (Eastern Metropolitan)	Year 11	7104
Bayswater (Eastern Metropolitan)	Year 12	26495
Bellarine (Western Victoria)	Did not go to school	130
Bellarine (Western Victoria)	Year 8	2496
Bellarine (Western Victoria)	Year 9	3400
Bellarine (Western Victoria)	Year 10	8461
Bellarine (Western Victoria)	Year 11	8003
Bellarine (Western Victoria)	Year 12	22190
Benambra (Northern Victoria)	Did not go to school	207
Benambra (Northern Victoria)	Year 8	2851
Benambra (Northern Victoria)	Year 9	3990
Benambra (Northern Victoria)	Year 10	11625
Benambra (Northern Victoria)	Year 11	7992
Benambra (Northern Victoria)	Year 12	20370
Bendigo East (Northern Victoria)	Did not go to school	225
Bendigo East (Northern Victoria)	Year 8	2806
Bendigo East (Northern Victoria)	Year 9	4065
Bendigo East (Northern Victoria)	Year 10	9486
Bendigo East (Northern Victoria)	Year 11	7756
Bendigo East (Northern Victoria)	Year 12	22382
Bendigo West (Northern Victoria)	Did not go to school	269
Bendigo West (Northern Victoria)	Year 8	3125
Bendigo West (Northern Victoria)	Year 9	4232
Bendigo West (Northern Victoria)	Year 10	9320
Bendigo West (Northern Victoria)	Year 11	7117
Bendigo West (Northern Victoria)	Year 12	19885
Bentleigh (Southern Metropolitan)	Did not go to school	334
Bentleigh (Southern Metropolitan)	Year 8	2263
Bentleigh (Southern Metropolitan)	Year 9	1964
Bentleigh (Southern Metropolitan)	Year 10	4663
Bentleigh (Southern Metropolitan)	Year 11	4580
Bentleigh (Southern Metropolitan)	Year 12	32113
Box Hill (Eastern Metropolitan)	Did not go to school	531
Box Hill (Eastern Metropolitan)	Year 8	2035
Box Hill (Eastern Metropolitan)	Year 9	2186
Box Hill (Eastern Metropolitan)	Year 10	4315
Box Hill (Eastern Metropolitan)	Year 11	4808
Box Hill (Eastern Metropolitan)	Year 12	40533
Brighton (Southern Metropolitan)	Did not go to school	188
Brighton (Southern Metropolitan)	Year 8	1262
Brighton (Southern Metropolitan)	Year 9	1469
Brighton (Southern Metropolitan)	Year 10	3707
Brighton (Southern Metropolitan)	Year 11	4283
Brighton (Southern Metropolitan)	Year 12	36572
Broadmeadows (Northern Metropolitan)	Did not go to school	2397
Broadmeadows (Northern Metropolitan)	Year 8	7045
Broadmeadows (Northern Metropolitan)	Year 9	3935
Broadmeadows (Northern Metropolitan)	Year 10	6610
Broadmeadows (Northern Metropolitan)	Year 11	4795
Broadmeadows (Northern Metropolitan)	Year 12	25931
Brunswick (Northern Metropolitan)	Did not go to school	951
Brunswick (Northern Metropolitan)	Year 8	3575
Brunswick (Northern Metropolitan)	Year 9	1434
Brunswick (Northern Metropolitan)	Year 10	3387
Brunswick (Northern Metropolitan)	Year 11	3498
Brunswick (Northern Metropolitan)	Year 12	44507
Bulleen (Eastern Metropolitan)	Did not go to school	725
Bulleen (Eastern Metropolitan)	Year 8	3486
Bulleen (Eastern Metropolitan)	Year 9	2215
Bulleen (Eastern Metropolitan)	Year 10	4826
Bulleen (Eastern Metropolitan)	Year 11	4496
Bulleen (Eastern Metropolitan)	Year 12	33432
Bundoora (Northern Metropolitan)	Did not go to school	619
Bundoora (Northern Metropolitan)	Year 8	3006
Bundoora (Northern Metropolitan)	Year 9	2700
Bundoora (Northern Metropolitan)	Year 10	5801
Bundoora (Northern Metropolitan)	Year 11	5238
Bundoora (Northern Metropolitan)	Year 12	30664
Buninyong (Western Victoria)	Did not go to school	137
Buninyong (Western Victoria)	Year 8	2653
Buninyong (Western Victoria)	Year 9	3939
Buninyong (Western Victoria)	Year 10	8825
Buninyong (Western Victoria)	Year 11	7322
Buninyong (Western Victoria)	Year 12	20370
Burwood (Southern Metropolitan)	Did not go to school	472
Burwood (Southern Metropolitan)	Year 8	1950
Burwood (Southern Metropolitan)	Year 9	1913
Burwood (Southern Metropolitan)	Year 10	3987
Burwood (Southern Metropolitan)	Year 11	4249
Burwood (Southern Metropolitan)	Year 12	39076
Carrum (South-Eastern Metropolitan)	Did not go to school	243
Carrum (South-Eastern Metropolitan)	Year 8	2400
Carrum (South-Eastern Metropolitan)	Year 9	3689
Carrum (South-Eastern Metropolitan)	Year 10	9494
Carrum (South-Eastern Metropolitan)	Year 11	7752
Carrum (South-Eastern Metropolitan)	Year 12	26537
Caulfield (Southern Metropolitan)	Did not go to school	299
Caulfield (Southern Metropolitan)	Year 8	1528
Caulfield (Southern Metropolitan)	Year 9	1350
Caulfield (Southern Metropolitan)	Year 10	3183
Caulfield (Southern Metropolitan)	Year 11	3495
Caulfield (Southern Metropolitan)	Year 12	40548
Clarinda (South-Eastern Metropolitan)	Did not go to school	1924
Clarinda (South-Eastern Metropolitan)	Year 8	5124
Clarinda (South-Eastern Metropolitan)	Year 9	2697
Clarinda (South-Eastern Metropolitan)	Year 10	5739
Clarinda (South-Eastern Metropolitan)	Year 11	4624
Clarinda (South-Eastern Metropolitan)	Year 12	37694
Cranbourne (South-Eastern Metropolitan)	Did not go to school	1005
Cranbourne (South-Eastern Metropolitan)	Year 8	3408
Cranbourne (South-Eastern Metropolitan)	Year 9	4741
Cranbourne (South-Eastern Metropolitan)	Year 10	11794
Cranbourne (South-Eastern Metropolitan)	Year 11	8724
Cranbourne (South-Eastern Metropolitan)	Year 12	37572
Croydon (Eastern Metropolitan)	Did not go to school	338
Croydon (Eastern Metropolitan)	Year 8	2374
Croydon (Eastern Metropolitan)	Year 9	2971
Croydon (Eastern Metropolitan)	Year 10	7408
Croydon (Eastern Metropolitan)	Year 11	6935
Croydon (Eastern Metropolitan)	Year 12	25044
Dandenong (South-Eastern Metropolitan)	Did not go to school	3071
Dandenong (South-Eastern Metropolitan)	Year 8	5664
Dandenong (South-Eastern Metropolitan)	Year 9	3404
Dandenong (South-Eastern Metropolitan)	Year 10	7508
Dandenong (South-Eastern Metropolitan)	Year 11	5466
Dandenong (South-Eastern Metropolitan)	Year 12	29910
Eildon (Northern Victoria)	Did not go to school	117
Eildon (Northern Victoria)	Year 8	2542
Eildon (Northern Victoria)	Year 9	3956
Eildon (Northern Victoria)	Year 10	9291
Eildon (Northern Victoria)	Year 11	7604
Eildon (Northern Victoria)	Year 12	19493
Eltham (Eastern Metropolitan)	Did not go to school	130
Eltham (Eastern Metropolitan)	Year 8	1613
Eltham (Eastern Metropolitan)	Year 9	2370
Eltham (Eastern Metropolitan)	Year 10	5897
Eltham (Eastern Metropolitan)	Year 11	6506
Eltham (Eastern Metropolitan)	Year 12	29195
Essendon (Western Metropolitan)	Did not go to school	711
Essendon (Western Metropolitan)	Year 8	2612
Essendon (Western Metropolitan)	Year 9	1879
Essendon (Western Metropolitan)	Year 10	4382
Essendon (Western Metropolitan)	Year 11	4762
Essendon (Western Metropolitan)	Year 12	36942
Euroa (Northern Victoria)	Did not go to school	145
Euroa (Northern Victoria)	Year 8	3791
Euroa (Northern Victoria)	Year 9	5120
Euroa (Northern Victoria)	Year 10	10932
Euroa (Northern Victoria)	Year 11	8631
Euroa (Northern Victoria)	Year 12	18521
Evelyn (Eastern Victoria)	Did not go to school	233
Evelyn (Eastern Victoria)	Year 8	2143
Evelyn (Eastern Victoria)	Year 9	3554
Evelyn (Eastern Victoria)	Year 10	8782
Evelyn (Eastern Victoria)	Year 11	7902
Evelyn (Eastern Victoria)	Year 12	21005
Ferntree Gully (Eastern Metropolitan)	Did not go to school	363
Ferntree Gully (Eastern Metropolitan)	Year 8	2095
Ferntree Gully (Eastern Metropolitan)	Year 9	2948
Ferntree Gully (Eastern Metropolitan)	Year 10	6772
Ferntree Gully (Eastern Metropolitan)	Year 11	6235
Ferntree Gully (Eastern Metropolitan)	Year 12	26749
Footscray (Western Metropolitan)	Did not go to school	1893
Footscray (Western Metropolitan)	Year 8	5056
Footscray (Western Metropolitan)	Year 9	2731
Footscray (Western Metropolitan)	Year 10	5909
Footscray (Western Metropolitan)	Year 11	4640
Footscray (Western Metropolitan)	Year 12	42035
Forest Hill (Eastern Metropolitan)	Did not go to school	647
Forest Hill (Eastern Metropolitan)	Year 8	2549
Forest Hill (Eastern Metropolitan)	Year 9	2318
Forest Hill (Eastern Metropolitan)	Year 10	5196
Forest Hill (Eastern Metropolitan)	Year 11	4838
Forest Hill (Eastern Metropolitan)	Year 12	31446
Frankston (South-Eastern Metropolitan)	Did not go to school	219
Frankston (South-Eastern Metropolitan)	Year 8	2496
Frankston (South-Eastern Metropolitan)	Year 9	3648
Frankston (South-Eastern Metropolitan)	Year 10	8807
Frankston (South-Eastern Metropolitan)	Year 11	7024
Frankston (South-Eastern Metropolitan)	Year 12	23431
Geelong (Western Victoria)	Did not go to school	266
Geelong (Western Victoria)	Year 8	3069
Geelong (Western Victoria)	Year 9	3550
Geelong (Western Victoria)	Year 10	7555
Geelong (Western Victoria)	Year 11	7460
Geelong (Western Victoria)	Year 12	26222
Gembrook (Eastern Victoria)	Did not go to school	163
Gembrook (Eastern Victoria)	Year 8	2162
Gembrook (Eastern Victoria)	Year 9	3696
Gembrook (Eastern Victoria)	Year 10	9464
Gembrook (Eastern Victoria)	Year 11	8167
Gembrook (Eastern Victoria)	Year 12	26596
Gippsland East (Eastern Victoria)	Did not go to school	154
Gippsland East (Eastern Victoria)	Year 8	3509
Gippsland East (Eastern Victoria)	Year 9	4835
Gippsland East (Eastern Victoria)	Year 10	10590
Gippsland East (Eastern Victoria)	Year 11	8123
Gippsland East (Eastern Victoria)	Year 12	16459
Gippsland South (Eastern Victoria)	Did not go to school	167
Gippsland South (Eastern Victoria)	Year 8	3063
Gippsland South (Eastern Victoria)	Year 9	4138
Gippsland South (Eastern Victoria)	Year 10	9454
Gippsland South (Eastern Victoria)	Year 11	8112
Gippsland South (Eastern Victoria)	Year 12	16268
Hastings (Eastern Victoria)	Did not go to school	185
Hastings (Eastern Victoria)	Year 8	2613
Hastings (Eastern Victoria)	Year 9	4661
Hastings (Eastern Victoria)	Year 10	11772
Hastings (Eastern Victoria)	Year 11	9267
Hastings (Eastern Victoria)	Year 12	22836
Hawthorn (Southern Metropolitan)	Did not go to school	227
Hawthorn (Southern Metropolitan)	Year 8	1118
Hawthorn (Southern Metropolitan)	Year 9	1260
Hawthorn (Southern Metropolitan)	Year 10	2730
Hawthorn (Southern Metropolitan)	Year 11	3569
Hawthorn (Southern Metropolitan)	Year 12	42633
Ivanhoe (Eastern Metropolitan)	Did not go to school	456
Ivanhoe (Eastern Metropolitan)	Year 8	2615
