SED_NAME16	Age5yr	Indigenous	persons
Blue Mountains	55-59		263
Blue Mountains	55-59	0	5181
Blue Mountains	55-59	1	82
Blue Mountains	60-64		248
Blue Mountains	60-64	0	5108
Blue Mountains	60-64	1	53
Blue Mountains	65+		767
Blue Mountains	65+	0	13186
Blue Mountains	65+	1	97
Cabramatta	0-4		197
Cabramatta	0-4	0	4521
Cabramatta	0-4	1	82
Cabramatta	5-9		209
Cabramatta	5-9	0	4883
Cabramatta	5-9	1	79
Cabramatta	10-14		231
Cabramatta	10-14	0	5098
Cabramatta	10-14	1	62
Cabramatta	15-19		226
Cabramatta	15-19	0	5763
Cabramatta	15-19	1	69
Cabramatta	20-24		245
Cabramatta	20-24	0	6227
Cabramatta	20-24	1	66
Cabramatta	25-29		204
Cabramatta	25-29	0	5534
Cabramatta	25-29	1	39
Cabramatta	30-34		223
Cabramatta	30-34	0	5151
Cabramatta	30-34	1	29
Cabramatta	35-39		201
Cabramatta	35-39	0	4591
Cabramatta	35-39	1	34
Cabramatta	40-44		191
Cabramatta	40-44	0	4946
Cabramatta	40-44	1	29
Cabramatta	45-49		226
Cabramatta	45-49	0	5478
Cabramatta	45-49	1	31
Cabramatta	50-54		208
Cabramatta	50-54	0	5520
Cabramatta	50-54	1	34
Cabramatta	55-59		233
Cabramatta	55-59	0	5498
Cabramatta	55-59	1	25
Cabramatta	60-64		178
Cabramatta	60-64	0	4595
Cabramatta	60-64	1	18
Cabramatta	65+		432
Cabramatta	65+	0	10147
Cabramatta	65+	1	40
Camden	0-4		323
Camden	0-4	0	6584
Camden	0-4	1	238
Camden	5-9		310
Camden	5-9	0	6473
Camden	5-9	1	273
Camden	10-14		262
Camden	10-14	0	6055
Camden	10-14	1	247
Camden	15-19		249
Camden	15-19	0	5541
Camden	15-19	1	238
Camden	20-24		290
Camden	20-24	0	5076
Camden	20-24	1	186
Camden	25-29		291
Camden	25-29	0	5776
Camden	25-29	1	126
Camden	30-34		326
Camden	30-34	0	6331
Camden	30-34	1	144
Camden	35-39		315
Camden	35-39	0	6057
Camden	35-39	1	108
Camden	40-44		285
Camden	40-44	0	6401
Camden	40-44	1	131
Camden	45-49		267
Camden	45-49	0	5614
Camden	45-49	1	102
Camden	50-54		253
Camden	50-54	0	4915
Camden	50-54	1	86
Camden	55-59		189
Camden	55-59	0	4295
Camden	55-59	1	81
Camden	60-64		172
Camden	60-64	0	3727
Camden	60-64	1	48
Camden	65+		586
Camden	65+	0	9152
Camden	65+	1	78
Campbelltown	0-4		319
Campbelltown	0-4	0	4821
Campbelltown	0-4	1	469
Campbelltown	5-9		351
Campbelltown	5-9	0	5037
Campbelltown	5-9	1	480
Campbelltown	10-14		319
Campbelltown	10-14	0	4619
Campbelltown	10-14	1	498
Campbelltown	15-19		296
Campbelltown	15-19	0	4844
Campbelltown	15-19	1	415
Campbelltown	20-24		355
Campbelltown	20-24	0	5302
Campbelltown	20-24	1	355
Campbelltown	25-29		326
Campbelltown	25-29	0	5135
Campbelltown	25-29	1	250
Campbelltown	30-34		327
Campbelltown	30-34	0	5264
Campbelltown	30-34	1	196
Campbelltown	35-39		311
Campbelltown	35-39	0	4615
Campbelltown	35-39	1	208
Campbelltown	40-44		251
Campbelltown	40-44	0	4589
Campbelltown	40-44	1	200
Campbelltown	45-49		238
Campbelltown	45-49	0	4254
Campbelltown	45-49	1	175
Campbelltown	50-54		257
Campbelltown	50-54	0	4423
Campbelltown	50-54	1	122
Campbelltown	55-59		222
Campbelltown	55-59	0	4367
Campbelltown	55-59	1	126
Campbelltown	60-64		259
Campbelltown	60-64	0	4021
Campbelltown	60-64	1	97
Campbelltown	65+		657
Campbelltown	65+	0	9343
Campbelltown	65+	1	116
Canterbury	0-4		282
Canterbury	0-4	0	5007
Canterbury	0-4	1	74
Canterbury	5-9		280
Canterbury	5-9	0	4878
Canterbury	5-9	1	71
Canterbury	10-14		223
Canterbury	10-14	0	4501
Canterbury	10-14	1	67
Canterbury	15-19		245
Canterbury	15-19	0	4788
Canterbury	15-19	1	52
Canterbury	20-24		317
Canterbury	20-24	0	5619
Canterbury	20-24	1	65
Canterbury	25-29		404
Canterbury	25-29	0	6709
Canterbury	25-29	1	48
Canterbury	30-34		339
Canterbury	30-34	0	6759
Canterbury	30-34	1	38
Canterbury	35-39		330
Canterbury	35-39	0	5941
Canterbury	35-39	1	35
Canterbury	40-44		357
Canterbury	40-44	0	5842
Canterbury	40-44	1	50
Canterbury	45-49		303
Canterbury	45-49	0	5819
Canterbury	45-49	1	48
Canterbury	50-54		285
Canterbury	50-54	0	5606
Canterbury	50-54	1	27
Canterbury	55-59		242
Canterbury	55-59	0	4772
Canterbury	55-59	1	24
Canterbury	60-64		238
Canterbury	60-64	0	4070
Canterbury	60-64	1	23
Canterbury	65+		688
Canterbury	65+	0	12487
Canterbury	65+	1	52
Castle Hill	0-4		113
Castle Hill	0-4	0	4680
Castle Hill	0-4	1	43
Castle Hill	5-9		158
Castle Hill	5-9	0	6114
Castle Hill	5-9	1	48
Castle Hill	10-14		161
Castle Hill	10-14	0	6299
Castle Hill	10-14	1	67
Castle Hill	15-19		158
Castle Hill	15-19	0	5886
Castle Hill	15-19	1	64
Castle Hill	20-24		121
Castle Hill	20-24	0	4769
Castle Hill	20-24	1	43
Castle Hill	25-29		127
Castle Hill	25-29	0	3616
Castle Hill	25-29	1	13
Castle Hill	30-34		127
Castle Hill	30-34	0	4167
Castle Hill	30-34	1	24
Castle Hill	35-39		152
Castle Hill	35-39	0	5400
Castle Hill	35-39	1	17
Castle Hill	40-44		182
Castle Hill	40-44	0	6357
Castle Hill	40-44	1	20
Castle Hill	45-49		179
Castle Hill	45-49	0	6082
Castle Hill	45-49	1	31
Castle Hill	50-54		188
Castle Hill	50-54	0	5285
Castle Hill	50-54	1	16
Castle Hill	55-59		137
Castle Hill	55-59	0	4713
Castle Hill	55-59	1	13
Castle Hill	60-64		123
Castle Hill	60-64	0	4133
Castle Hill	60-64	1	9
Castle Hill	65+		377
Castle Hill	65+	0	9602
Castle Hill	65+	1	22
Cessnock	0-4		312
Cessnock	0-4	0	4569
Cessnock	0-4	1	608
Cessnock	5-9		324
Cessnock	5-9	0	4598
Cessnock	5-9	1	662
Cessnock	10-14		298
Cessnock	10-14	0	4142
Cessnock	10-14	1	610
Cessnock	15-19		260
Cessnock	15-19	0	3992
Cessnock	15-19	1	504
Cessnock	20-24		265
Cessnock	20-24	0	3875
Cessnock	20-24	1	480
Cessnock	25-29		288
Cessnock	25-29	0	4219
Cessnock	25-29	1	352
Cessnock	30-34		312
Cessnock	30-34	0	4657
Cessnock	30-34	1	325
Cessnock	35-39		225
Cessnock	35-39	0	4304
Cessnock	35-39	1	310
Cessnock	40-44		282
Cessnock	40-44	0	4508
Cessnock	40-44	1	270
Cessnock	45-49		285
Cessnock	45-49	0	4388
Cessnock	45-49	1	268
Cessnock	50-54		278
Cessnock	50-54	0	4136
Cessnock	50-54	1	223
Cessnock	55-59		306
Cessnock	55-59	0	4394
Cessnock	55-59	1	212
Cessnock	60-64		291
Cessnock	60-64	0	4136
Cessnock	60-64	1	137
Cessnock	65+		964
Cessnock	65+	0	10854
Cessnock	65+	1	212
Charlestown	0-4		141
Charlestown	0-4	0	4094
Charlestown	0-4	1	276
Charlestown	5-9		171
Charlestown	5-9	0	4325
Charlestown	5-9	1	307
Charlestown	10-14		144
Charlestown	10-14	0	4111
Charlestown	10-14	1	294
Charlestown	15-19		134
Charlestown	15-19	0	3970
Charlestown	15-19	1	257
Charlestown	20-24		130
Charlestown	20-24	0	3726
Charlestown	20-24	1	209
Charlestown	25-29		164
Charlestown	25-29	0	3652
Charlestown	25-29	1	164
Charlestown	30-34		160
Charlestown	30-34	0	4120
Charlestown	30-34	1	152
Charlestown	35-39		167
Charlestown	35-39	0	4206
Charlestown	35-39	1	127
Charlestown	40-44		174
Charlestown	40-44	0	4513
Charlestown	40-44	1	142
Charlestown	45-49		206
Charlestown	45-49	0	4677
Charlestown	45-49	1	133
Charlestown	50-54		181
Charlestown	50-54	0	4327
Charlestown	50-54	1	105
Charlestown	55-59		164
Charlestown	55-59	0	4392
Charlestown	55-59	1	83
Charlestown	60-64		145
Charlestown	60-64	0	3836
Charlestown	60-64	1	69
Charlestown	65+		548
Charlestown	65+	0	13029
Charlestown	65+	1	114
Clarence	0-4		264
Clarence	0-4	0	3007
Clarence	0-4	1	568
Clarence	5-9		312
Clarence	5-9	0	3538
Clarence	5-9	1	628
Clarence	10-14		326
Clarence	10-14	0	3482
Clarence	10-14	1	559
Clarence	15-19		358
Clarence	15-19	0	3603
Clarence	15-19	1	507
Clarence	20-24		225
Clarence	20-24	0	2558
Clarence	20-24	1	377
Clarence	25-29		220
Clarence	25-29	0	2599
Clarence	25-29	1	297
Clarence	30-34		205
Clarence	30-34	0	2557
Clarence	30-34	1	270
Clarence	35-39		269
Clarence	35-39	0	2968
Clarence	35-39	1	216
Clarence	40-44		349
Clarence	40-44	0	3572
Clarence	40-44	1	258
Clarence	45-49		323
Clarence	45-49	0	3833
Clarence	45-49	1	264
Clarence	50-54		373
Clarence	50-54	0	4591
Clarence	50-54	1	257
Clarence	55-59		452
Clarence	55-59	0	5083
Clarence	55-59	1	226
Clarence	60-64		415
Clarence	60-64	0	5305
Clarence	60-64	1	174
Clarence	65+		1340
Clarence	65+	0	16535
Clarence	65+	1	258
Coffs Harbour	0-4		254
Coffs Harbour	0-4	0	3411
Coffs Harbour	0-4	1	388
Coffs Harbour	5-9		268
Coffs Harbour	5-9	0	4021
Coffs Harbour	5-9	1	474
Coffs Harbour	10-14		240
Coffs Harbour	10-14	0	3898
Coffs Harbour	10-14	1	401
Coffs Harbour	15-19		243
Coffs Harbour	15-19	0	3670
Coffs Harbour	15-19	1	415
Coffs Harbour	20-24		272
Coffs Harbour	20-24	0	3128
Coffs Harbour	20-24	1	293
Coffs Harbour	25-29		270
Coffs Harbour	25-29	0	3236
Coffs Harbour	25-29	1	257
Coffs Harbour	30-34		247
Coffs Harbour	30-34	0	3444
Coffs Harbour	30-34	1	200
Coffs Harbour	35-39		230
Coffs Harbour	35-39	0	3377
Coffs Harbour	35-39	1	185
Coffs Harbour	40-44		259
Coffs Harbour	40-44	0	3997
Coffs Harbour	40-44	1	175
Coffs Harbour	45-49		299
Coffs Harbour	45-49	0	4179
Coffs Harbour	45-49	1	222
Coffs Harbour	50-54		327
Coffs Harbour	50-54	0	4451
Coffs Harbour	50-54	1	163
Coffs Harbour	55-59		407
Coffs Harbour	55-59	0	4811
Coffs Harbour	55-59	1	178
Coffs Harbour	60-64		338
Coffs Harbour	60-64	0	4848
Coffs Harbour	60-64	1	117
Coffs Harbour	65+		1141
Coffs Harbour	65+	0	14043
Coffs Harbour	65+	1	184
Coogee	0-4		373
Coogee	0-4	0	4755
Coogee	0-4	1	52
Coogee	5-9		306
Coogee	5-9	0	4188
Coogee	5-9	1	44
Coogee	10-14		219
Coogee	10-14	0	3309
Coogee	10-14	1	39
Coogee	15-19		268
Coogee	15-19	0	2958
Coogee	15-19	1	29
Coogee	20-24		587
Coogee	20-24	0	4646
Coogee	20-24	1	60
Coogee	25-29		885
Coogee	25-29	0	7742
Coogee	25-29	1	55
Coogee	30-34		892
Coogee	30-34	0	8533
Coogee	30-34	1	39
Coogee	35-39		690
Coogee	35-39	0	7196
Coogee	35-39	1	45
Coogee	40-44		494
Coogee	40-44	0	5928
Coogee	40-44	1	38
Coogee	45-49		486
Coogee	45-49	0	5294
Coogee	45-49	1	31
Coogee	50-54		416
Coogee	50-54	0	4387
Coogee	50-54	1	29
Coogee	55-59		322
Coogee	55-59	0	3721
Coogee	55-59	1	30
Coogee	60-64		302
Coogee	60-64	0	3064
Coogee	60-64	1	16
Coogee	65+		1120
Coogee	65+	0	9551
Coogee	65+	1	22
Cootamundra	0-4		310
Cootamundra	0-4	0	3347
Cootamundra	0-4	1	427
Cootamundra	5-9		382
Cootamundra	5-9	0	3956
Cootamundra	5-9	1	481
Cootamundra	10-14		367
Cootamundra	10-14	0	3849
Cootamundra	10-14	1	450
Cootamundra	15-19		329
Cootamundra	15-19	0	3449
Cootamundra	15-19	1	374
Cootamundra	20-24		264
Cootamundra	20-24	0	2856
Cootamundra	20-24	1	306
Cootamundra	25-29		256
Cootamundra	25-29	0	2765
Cootamundra	25-29	1	236
Cootamundra	30-34		268
Cootamundra	30-34	0	2989
Cootamundra	30-34	1	225
Cootamundra	35-39		305
Cootamundra	35-39	0	3165
Cootamundra	35-39	1	226
Cootamundra	40-44		295
Cootamundra	40-44	0	3609
Cootamundra	40-44	1	203
Cootamundra	45-49		331
Cootamundra	45-49	0	3875
Cootamundra	45-49	1	221
Cootamundra	50-54		385
Cootamundra	50-54	0	4271
Cootamundra	50-54	1	222
Cootamundra	55-59		435
Cootamundra	55-59	0	4578
Cootamundra	55-59	1	175
Cootamundra	60-64		394
Cootamundra	60-64	0	4427
Cootamundra	60-64	1	127
Cootamundra	65+		1425
Cootamundra	65+	0	14960
Cootamundra	65+	1	272
Cronulla	0-4		157
Cronulla	0-4	0	4116
Cronulla	0-4	1	69
Cronulla	5-9		181
Cronulla	5-9	0	4418
Cronulla	5-9	1	69
Cronulla	10-14		148
Cronulla	10-14	0	4380
Cronulla	10-14	1	65
Cronulla	15-19		159
Cronulla	15-19	0	4149
Cronulla	15-19	1	70
Cronulla	20-24		216
Cronulla	20-24	0	3981
Cronulla	20-24	1	67
Cronulla	25-29		264
Cronulla	25-29	0	4296
Cronulla	25-29	1	61
Cronulla	30-34		304
Cronulla	30-34	0	4351
Cronulla	30-34	1	48
Cronulla	35-39		259
Cronulla	35-39	0	4378
Cronulla	35-39	1	47
Cronulla	40-44		234
Cronulla	40-44	0	5039
Cronulla	40-44	1	43
Cronulla	45-49		237
Cronulla	45-49	0	4917
Cronulla	45-49	1	42
Cronulla	50-54		202
Cronulla	50-54	0	4771
Cronulla	50-54	1	38
Cronulla	55-59		235
Cronulla	55-59	0	4819
Cronulla	55-59	1	37
Cronulla	60-64		204
Cronulla	60-64	0	4193
Cronulla	60-64	1	25
Cronulla	65+		628
Cronulla	65+	0	11776
Cronulla	65+	1	49
Davidson	0-4		96
Davidson	0-4	0	4012
Davidson	0-4	1	12
Davidson	5-9		144
Davidson	5-9	0	5982
Davidson	5-9	1	12
Davidson	10-14		121
Davidson	10-14	0	5934
Davidson	10-14	1	17
Davidson	15-19		129
Davidson	15-19	0	5680
Davidson	15-19	1	10
Davidson	20-24		111
Davidson	20-24	0	4040
Davidson	20-24	1	8
Davidson	25-29		101
Davidson	25-29	0	2592
Davidson	25-29	1	8
Davidson	30-34		83
Davidson	30-34	0	3089
Davidson	30-34	1	9
Davidson	35-39		128
Davidson	35-39	0	4295
Davidson	35-39	1	6
Davidson	40-44		168
Davidson	40-44	0	5681
Davidson	40-44	1	14
Davidson	45-49		170
Davidson	45-49	0	6088
Davidson	45-49	1	12
Davidson	50-54		190
Davidson	50-54	0	5702
Davidson	50-54	1	6
Davidson	55-59		149
Davidson	55-59	0	4581
Davidson	55-59	1	7
Davidson	60-64		144
Davidson	60-64	0	3902
Davidson	60-64	1	4
Davidson	65+		718
Davidson	65+	0	14107
Davidson	65+	1	13
Drummoyne	0-4		256
Drummoyne	0-4	0	4733
Drummoyne	0-4	1	35
Drummoyne	5-9		196
Drummoyne	5-9	0	4254
Drummoyne	5-9	1	36
Drummoyne	10-14		158
Drummoyne	10-14	0	3590
Drummoyne	10-14	1	44
Drummoyne	15-19		171
Drummoyne	15-19	0	3428
Drummoyne	15-19	1	29
Drummoyne	20-24		253
Drummoyne	20-24	0	5021
Drummoyne	20-24	1	31
Drummoyne	25-29		418
Drummoyne	25-29	0	6344
Drummoyne	25-29	1	29
Drummoyne	30-34		450
