SED_NAME16	Age	Sex	Volunteer	adults
Baulkham Hills	15-19	F	0	1680
Baulkham Hills	15-19	F	1	755
Baulkham Hills	15-19	M		92
Baulkham Hills	15-19	M	0	1963
Baulkham Hills	15-19	M	1	689
Baulkham Hills	20-24	F		61
Baulkham Hills	20-24	F	0	1573
Baulkham Hills	20-24	F	1	701
Baulkham Hills	20-24	M		79
Baulkham Hills	20-24	M	0	1891
Baulkham Hills	20-24	M	1	600
Baulkham Hills	25-34	F		160
Baulkham Hills	25-34	F	0	3454
Baulkham Hills	25-34	F	1	849
Baulkham Hills	25-34	M		155
Baulkham Hills	25-34	M	0	3372
Baulkham Hills	25-34	M	1	654
Baulkham Hills	35-44	F		158
Baulkham Hills	35-44	F	0	4280
Baulkham Hills	35-44	F	1	1687
Baulkham Hills	35-44	M		153
Baulkham Hills	35-44	M	0	4320
Baulkham Hills	35-44	M	1	1154
Baulkham Hills	45-54	F		158
Baulkham Hills	45-54	F	0	4005
Baulkham Hills	45-54	F	1	1542
Baulkham Hills	45-54	M		156
Baulkham Hills	45-54	M	0	3892
Baulkham Hills	45-54	M	1	1288
Baulkham Hills	55-64	F		150
Baulkham Hills	55-64	F	0	3882
Baulkham Hills	55-64	F	1	1055
Baulkham Hills	55-64	M		138
Baulkham Hills	55-64	M	0	3582
Baulkham Hills	55-64	M	1	921
Baulkham Hills	65-74	F		135
Baulkham Hills	65-74	F	0	2810
Baulkham Hills	65-74	F	1	886
Baulkham Hills	65-74	M		124
Baulkham Hills	65-74	M	0	2747
Baulkham Hills	65-74	M	1	770
Baulkham Hills	75-84	F		120
Baulkham Hills	75-84	F	0	1236
Baulkham Hills	75-84	F	1	281
Baulkham Hills	75-84	M		88
Baulkham Hills	75-84	M	0	1183
Baulkham Hills	75-84	M	1	280
Baulkham Hills	85+	F		95
Baulkham Hills	85+	F	0	519
Baulkham Hills	85+	F	1	40
Baulkham Hills	85+	M		46
Baulkham Hills	85+	M	0	328
Baulkham Hills	85+	M	1	25
Bega	15-19	F		213
Bega	15-19	F	0	1195
Bega	15-19	F	1	349
Bega	15-19	M		257
Bega	15-19	M	0	1249
Bega	15-19	M	1	298
Bega	20-24	F		108
Bega	20-24	F	0	901
Bega	20-24	F	1	181
Bega	20-24	M		119
Bega	20-24	M	0	984
Bega	20-24	M	1	168
Bega	25-34	F		214
Bega	25-34	F	0	1839
Bega	25-34	F	1	520
Bega	25-34	M		235
Bega	25-34	M	0	1894
Bega	25-34	M	1	354
Bega	35-44	F		267
Bega	35-44	F	0	2173
Bega	35-44	F	1	991
Bega	35-44	M		273
Bega	35-44	M	0	2135
Bega	35-44	M	1	646
Bega	45-54	F		354
Bega	45-54	F	0	3150
Bega	45-54	F	1	1312
Bega	45-54	M		406
Bega	45-54	M	0	2979
Bega	45-54	M	1	1039
Bega	55-64	F		492
Bega	55-64	F	0	4362
Bega	55-64	F	1	1832
Bega	55-64	M		522
Bega	55-64	M	0	4233
Bega	55-64	M	1	1420
Bega	65-74	F		565
Bega	65-74	F	0	3331
Bega	65-74	F	1	1830
Bega	65-74	M		571
Bega	65-74	M	0	3715
Bega	65-74	M	1	1573
Bega	75-84	F		500
Bega	75-84	F	0	1815
Bega	75-84	F	1	684
Bega	75-84	M		431
Bega	75-84	M	0	1900
Bega	75-84	M	1	575
Bega	85+	F		321
Bega	85+	F	0	1018
Bega	85+	F	1	117
Bega	85+	M		178
Bega	85+	M	0	651
Bega	85+	M	1	92
Blacktown	15-19	F		170
Blacktown	15-19	F	0	1990
Blacktown	15-19	F	1	490
Blacktown	15-19	M		200
Blacktown	15-19	M	0	2258
Blacktown	15-19	M	1	399
Blacktown	20-24	F		160
Blacktown	20-24	F	0	2240
Blacktown	20-24	F	1	502
Blacktown	20-24	M		198
Blacktown	20-24	M	0	2668
Blacktown	20-24	M	1	395
Blacktown	25-34	F		417
Blacktown	25-34	F	0	6308
Blacktown	25-34	F	1	963
Blacktown	25-34	M		452
Blacktown	25-34	M	0	6329
Blacktown	25-34	M	1	782
Blacktown	35-44	F		313
Blacktown	35-44	F	0	4764
Blacktown	35-44	F	1	1093
Blacktown	35-44	M		361
Blacktown	35-44	M	0	5201
Blacktown	35-44	M	1	983
Blacktown	45-54	F		283
Blacktown	45-54	F	0	4091
Blacktown	45-54	F	1	784
Blacktown	45-54	M		316
Blacktown	45-54	M	0	4188
Blacktown	45-54	M	1	714
Blacktown	55-64	F		273
Blacktown	55-64	F	0	3901
Blacktown	55-64	F	1	603
Blacktown	55-64	M		273
Blacktown	55-64	M	0	3776
Blacktown	55-64	M	1	482
Blacktown	65-74	F		261
Blacktown	65-74	F	0	2408
Blacktown	65-74	F	1	377
Blacktown	65-74	M		231
Blacktown	65-74	M	0	2305
Blacktown	65-74	M	1	302
Blacktown	75-84	F		221
Blacktown	75-84	F	0	1458
Blacktown	75-84	F	1	170
Blacktown	75-84	M		154
Blacktown	75-84	M	0	1101
Blacktown	75-84	M	1	119
Blacktown	85+	F		112
Blacktown	85+	F	0	649
Blacktown	85+	F	1	23
Blacktown	85+	M		88
Blacktown	85+	M	0	373
Blacktown	85+	M	1	17
Blue Mountains	15-19	F		137
Blue Mountains	15-19	F	0	1426
Blue Mountains	15-19	F	1	554
Blue Mountains	15-19	M		144
Blue Mountains	15-19	M	0	1633
Blue Mountains	15-19	M	1	475
Blue Mountains	20-24	F		85
Blue Mountains	20-24	F	0	1170
Blue Mountains	20-24	F	1	347
Blue Mountains	20-24	M		80
Blue Mountains	20-24	M	0	1316
Blue Mountains	20-24	M	1	323
Blue Mountains	25-34	F		166
Blue Mountains	25-34	F	0	2521
Blue Mountains	25-34	F	1	707
Blue Mountains	25-34	M		165
Blue Mountains	25-34	M	0	2470
Blue Mountains	25-34	M	1	530
Blue Mountains	35-44	F		190
Blue Mountains	35-44	F	0	3039
Blue Mountains	35-44	F	1	1456
Blue Mountains	35-44	M		236
Blue Mountains	35-44	M	0	3054
Blue Mountains	35-44	M	1	962
Blue Mountains	45-54	F		250
Blue Mountains	45-54	F	0	3521
Blue Mountains	45-54	F	1	1557
Blue Mountains	45-54	M		257
Blue Mountains	45-54	M	0	3304
Blue Mountains	45-54	M	1	1268
Blue Mountains	55-64	F		282
Blue Mountains	55-64	F	0	3959
Blue Mountains	55-64	F	1	1548
Blue Mountains	55-64	M		275
Blue Mountains	55-64	M	0	3587
Blue Mountains	55-64	M	1	1289
Blue Mountains	65-74	F		333
Blue Mountains	65-74	F	0	2858
Blue Mountains	65-74	F	1	1406
Blue Mountains	65-74	M		269
Blue Mountains	65-74	M	0	2674
Blue Mountains	65-74	M	1	1136
Blue Mountains	75-84	F		219
Blue Mountains	75-84	F	0	1406
Blue Mountains	75-84	F	1	486
Blue Mountains	75-84	M		152
Blue Mountains	75-84	M	0	1165
Blue Mountains	75-84	M	1	405
Blue Mountains	85+	F		108
Blue Mountains	85+	F	0	825
Blue Mountains	85+	F	1	89
Blue Mountains	85+	M		52
Blue Mountains	85+	M	0	403
Blue Mountains	85+	M	1	59
Cabramatta	15-19	F		190
Cabramatta	15-19	F	0	2251
Cabramatta	15-19	F	1	521
Cabramatta	15-19	M		211
Cabramatta	15-19	M	0	2522
Cabramatta	15-19	M	1	368
Cabramatta	20-24	F		187
Cabramatta	20-24	F	0	2532
Cabramatta	20-24	F	1	447
Cabramatta	20-24	M		211
Cabramatta	20-24	M	0	2796
Cabramatta	20-24	M	1	366
Cabramatta	25-34	F		345
Cabramatta	25-34	F	0	4891
Cabramatta	25-34	F	1	526
Cabramatta	25-34	M		330
Cabramatta	25-34	M	0	4694
Cabramatta	25-34	M	1	394
Cabramatta	35-44	F		288
Cabramatta	35-44	F	0	4525
Cabramatta	35-44	F	1	567
Cabramatta	35-44	M		288
Cabramatta	35-44	M	0	3980
Cabramatta	35-44	M	1	341
Cabramatta	45-54	F		319
Cabramatta	45-54	F	0	4993
Cabramatta	45-54	F	1	565
Cabramatta	45-54	M		321
Cabramatta	45-54	M	0	4905
Cabramatta	45-54	M	1	397
Cabramatta	55-64	F		289
Cabramatta	55-64	F	0	4663
Cabramatta	55-64	F	1	533
Cabramatta	55-64	M		280
Cabramatta	55-64	M	0	4403
Cabramatta	55-64	M	1	361
Cabramatta	65-74	F		174
Cabramatta	65-74	F	0	2568
Cabramatta	65-74	F	1	239
Cabramatta	65-74	M		190
Cabramatta	65-74	M	0	2578
Cabramatta	65-74	M	1	244
Cabramatta	75-84	F		118
Cabramatta	75-84	F	0	1568
Cabramatta	75-84	F	1	82
Cabramatta	75-84	M		105
Cabramatta	75-84	M	0	1275
Cabramatta	75-84	M	1	69
Cabramatta	85+	F		58
Cabramatta	85+	F	0	758
Cabramatta	85+	F	1	22
Cabramatta	85+	M		57
Cabramatta	85+	M	0	503
Cabramatta	85+	M	1	16
Camden	15-19	F		189
Camden	15-19	F	0	2276
Camden	15-19	F	1	528
Camden	15-19	M		222
Camden	15-19	M	0	2388
Camden	15-19	M	1	410
Camden	20-24	F		175
Camden	20-24	F	0	2216
Camden	20-24	F	1	361
Camden	20-24	M		166
Camden	20-24	M	0	2374
Camden	20-24	M	1	256
Camden	25-34	F		362
Camden	25-34	F	0	5549
Camden	25-34	F	1	853
Camden	25-34	M		361
Camden	25-34	M	0	5279
Camden	25-34	M	1	587
Camden	35-44	F		332
Camden	35-44	F	0	5065
Camden	35-44	F	1	1405
Camden	35-44	M		346
Camden	35-44	M	0	5168
Camden	35-44	M	1	988
Camden	45-54	F		271
Camden	45-54	F	0	4416
Camden	45-54	F	1	1004
Camden	45-54	M		320
Camden	45-54	M	0	4355
Camden	45-54	M	1	859
Camden	55-64	F		240
Camden	55-64	F	0	3474
Camden	55-64	F	1	696
Camden	55-64	M		218
Camden	55-64	M	0	3341
Camden	55-64	M	1	544
Camden	65-74	F		236
Camden	65-74	F	0	2222
Camden	65-74	F	1	561
Camden	65-74	M		234
Camden	65-74	M	0	2224
Camden	65-74	M	1	434
Camden	75-84	F		196
Camden	75-84	F	0	1075
Camden	75-84	F	1	192
Camden	75-84	M		146
Camden	75-84	M	0	922
Camden	75-84	M	1	175
Camden	85+	F		174
Camden	85+	F	0	571
Camden	85+	F	1	42
Camden	85+	M		90
Camden	85+	M	0	299
Camden	85+	M	1	32
Campbelltown	15-19	F		257
Campbelltown	15-19	F	0	2067
Campbelltown	15-19	F	1	370
Campbelltown	15-19	M		263
Campbelltown	15-19	M	0	2230
Campbelltown	15-19	M	1	361
Campbelltown	20-24	F		233
Campbelltown	20-24	F	0	2356
Campbelltown	20-24	F	1	471
Campbelltown	20-24	M		250
Campbelltown	20-24	M	0	2390
Campbelltown	20-24	M	1	320
Campbelltown	25-34	F		428
Campbelltown	25-34	F	0	4748
Campbelltown	25-34	F	1	800
Campbelltown	25-34	M		398
Campbelltown	25-34	M	0	4578
Campbelltown	25-34	M	1	549
Campbelltown	35-44	F		365
Campbelltown	35-44	F	0	3963
Campbelltown	35-44	F	1	956
Campbelltown	35-44	M		364
Campbelltown	35-44	M	0	3947
Campbelltown	35-44	M	1	590
Campbelltown	45-54	F		337
Campbelltown	45-54	F	0	3863
Campbelltown	45-54	F	1	749
Campbelltown	45-54	M		299
Campbelltown	45-54	M	0	3582
Campbelltown	45-54	M	1	642
Campbelltown	55-64	F		298
Campbelltown	55-64	F	0	3781
Campbelltown	55-64	F	1	695
Campbelltown	55-64	M		294
Campbelltown	55-64	M	0	3495
Campbelltown	55-64	M	1	526
Campbelltown	65-74	F		325
Campbelltown	65-74	F	0	2639
Campbelltown	65-74	F	1	493
Campbelltown	65-74	M		281
Campbelltown	65-74	M	0	2508
Campbelltown	65-74	M	1	410
Campbelltown	75-84	F		188
Campbelltown	75-84	F	0	1088
Campbelltown	75-84	F	1	148
Campbelltown	75-84	M		145
Campbelltown	75-84	M	0	946
Campbelltown	75-84	M	1	144
Campbelltown	85+	F		127
Campbelltown	85+	F	0	371
Campbelltown	85+	F	1	22
Campbelltown	85+	M		53
Campbelltown	85+	M	0	217
Campbelltown	85+	M	1	14
Canterbury	15-19	F		176
Canterbury	15-19	F	0	1819
Canterbury	15-19	F	1	483
Canterbury	15-19	M		199
Canterbury	15-19	M	0	2025
Canterbury	15-19	M	1	379
Canterbury	20-24	F		205
Canterbury	20-24	F	0	2271
Canterbury	20-24	F	1	466
Canterbury	20-24	M		206
Canterbury	20-24	M	0	2520
Canterbury	20-24	M	1	326
Canterbury	25-34	F		482
Canterbury	25-34	F	0	5827
Canterbury	25-34	F	1	844
Canterbury	25-34	M		519
Canterbury	25-34	M	0	5978
Canterbury	25-34	M	1	653
Canterbury	35-44	F		431
Canterbury	35-44	F	0	4917
Canterbury	35-44	F	1	985
Canterbury	35-44	M		436
Canterbury	35-44	M	0	5047
Canterbury	35-44	M	1	736
Canterbury	45-54	F		392
Canterbury	45-54	F	0	4881
Canterbury	45-54	F	1	949
Canterbury	45-54	M		389
Canterbury	45-54	M	0	4744
Canterbury	45-54	M	1	733
Canterbury	55-64	F		309
Canterbury	55-64	F	0	4010
Canterbury	55-64	F	1	565
Canterbury	55-64	M		296
Canterbury	55-64	M	0	3756
Canterbury	55-64	M	1	434
Canterbury	65-74	F		269
Canterbury	65-74	F	0	2859
Canterbury	65-74	F	1	369
Canterbury	65-74	M		248
Canterbury	65-74	M	0	2690
Canterbury	65-74	M	1	280
Canterbury	75-84	F		174
Canterbury	75-84	F	0	2128
Canterbury	75-84	F	1	185
Canterbury	75-84	M		157
Canterbury	75-84	M	0	1861
Canterbury	75-84	M	1	145
Canterbury	85+	F		94
Canterbury	85+	F	0	934
Canterbury	85+	F	1	45
Canterbury	85+	M		76
Canterbury	85+	M	0	681
Canterbury	85+	M	1	27
Castle Hill	15-19	F		128
Castle Hill	15-19	F	0	2084
Castle Hill	15-19	F	1	772
Castle Hill	15-19	M		142
Castle Hill	15-19	M	0	2343
Castle Hill	15-19	M	1	638
Castle Hill	20-24	F		80
Castle Hill	20-24	F	0	1685
Castle Hill	20-24	F	1	543
Castle Hill	20-24	M		89
Castle Hill	20-24	M	0	2086
Castle Hill	20-24	M	1	447
Castle Hill	25-34	F		175
Castle Hill	25-34	F	0	3267
Castle Hill	25-34	F	1	697
Castle Hill	25-34	M		149
Castle Hill	25-34	M	0	3244
Castle Hill	25-34	M	1	541
Castle Hill	35-44	F		221
Castle Hill	35-44	F	0	4411
Castle Hill	35-44	F	1	1827
Castle Hill	35-44	M		209
Castle Hill	35-44	M	0	4286
Castle Hill	35-44	M	1	1171
Castle Hill	45-54	F		203
Castle Hill	45-54	F	0	4307
Castle Hill	45-54	F	1	1541
Castle Hill	45-54	M		234
Castle Hill	45-54	M	0	4171
Castle Hill	45-54	M	1	1329
Castle Hill	55-64	F		154
Castle Hill	55-64	F	0	3620
Castle Hill	55-64	F	1	887
Castle Hill	55-64	M		154
Castle Hill	55-64	M	0	3440
Castle Hill	55-64	M	1	864
Castle Hill	65-74	F		150
Castle Hill	65-74	F	0	2451
Castle Hill	65-74	F	1	677
Castle Hill	65-74	M		131
Castle Hill	65-74	M	0	2376
Castle Hill	65-74	M	1	575
Castle Hill	75-84	F		86
Castle Hill	75-84	F	0	1082
Castle Hill	75-84	F	1	206
Castle Hill	75-84	M		74
Castle Hill	75-84	M	0	988
Castle Hill	75-84	M	1	223
Castle Hill	85+	F		49
Castle Hill	85+	F	0	529
Castle Hill	85+	F	1	34
Castle Hill	85+	M		31
Castle Hill	85+	M	0	300
Castle Hill	85+	M	1	32
Cessnock	15-19	F		195
Cessnock	15-19	F	0	1847
Cessnock	15-19	F	1	287
Cessnock	15-19	M		237
Cessnock	15-19	M	0	1928
Cessnock	15-19	M	1	258
Cessnock	20-24	F		140
Cessnock	20-24	F	0	1867
Cessnock	20-24	F	1	250
Cessnock	20-24	M		282
Cessnock	20-24	M	0	1866
Cessnock	20-24	M	1	201
Cessnock	25-34	F		358
Cessnock	25-34	F	0	4112
Cessnock	25-34	F	1	735
Cessnock	25-34	M		636
Cessnock	25-34	M	0	3852
Cessnock	25-34	M	1	462
Cessnock	35-44	F		286
Cessnock	35-44	F	0	3572
Cessnock	35-44	F	1	1036
Cessnock	35-44	M		550
Cessnock	35-44	M	0	3746
Cessnock	35-44	M	1	702
Cessnock	45-54	F		313
Cessnock	45-54	F	0	3693
Cessnock	45-54	F	1	800
Cessnock	45-54	M		443
Cessnock	45-54	M	0	3658
Cessnock	45-54	M	1	678
Cessnock	55-64	F		351
Cessnock	55-64	F	0	3652
Cessnock	55-64	F	1	800
Cessnock	55-64	M		384
Cessnock	55-64	M	0	3696
Cessnock	55-64	M	1	589
Cessnock	65-74	F		401
