SED_NAME16	medianRent
Pilbara (Mining and Pastoral)	9828
Riverton (South Metropolitan)	20800
Rockingham (South Metropolitan)	15600
Scarborough (North Metropolitan)	20800
South Perth (South Metropolitan)	19760
Southern River (South Metropolitan)	22360
Swan Hills (East Metropolitan)	20800
Vasse (South West)	18200
Victoria Park (South Metropolitan)	18200
Wagin (Agricultural)	8476
Wanneroo (North Metropolitan)	20800
Warnbro (South Metropolitan)	19240
Warren-Blackwood (South West)	13000
West Swan (East Metropolitan)	19760
Willagee (South Metropolitan)	17160
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass (Apsley)	7800
Bass (Launceston)	13000
Bass (Rosevears)	13000
Bass (Windermere)	10400
Braddon (Mersey)	11440
Braddon (Montgomery)	10660
Braddon (Murchison)	9360
Braddon (Western Tiers)	8320
Denison (Derwent)	13000
Denison (Elwick)	12792
Denison (Hobart)	14560
Denison (Huon)	10660
Denison (Nelson)	15600
Franklin (Derwent)	16380
Franklin (Huon)	13780
Franklin (Nelson)	15340
Franklin (Pembroke)	14300
Franklin (Rumney)	13000
Lyons (Apsley)	9620
Lyons (Derwent)	10920
Lyons (Rosevears)	11180
Lyons (Rumney)	13000
Lyons (Western Tiers)	10400
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Arafura	2600
Araluen	18720
Arnhem	3120
Barkly	3900
Blain	21840
Braitling	18200
Brennan	24440
Casuarina	19760
Daly	3640
Drysdale	18200
Fannie Bay	20800
Fong Lim	24960
Goyder (NT)	19500
Johnston	19760
Karama	18200
Katherine	12948
Namatjira	4680
Nelson	20800
Nhulunbuy	2080
Nightcliff	20020
Port Darwin	26000
Sanderson	23400
Spillett	24440
Stuart (NT)	2600
Wanguri	21840
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Brindabella	19760
Ginninderra	18720
Kurrajong	20800
Murrumbidgee	18720
Yerrabi	20540
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unclassified (OT)	7280
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
