SED_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Blacktown	15-19		F	196
Blacktown	15-19		M	224
Blacktown	15-19	0	F	2289
Blacktown	15-19	0	M	2459
Blacktown	15-19	1	F	168
Blacktown	15-19	1	M	176
Blacktown	20-24		F	179
Blacktown	20-24		M	224
Blacktown	20-24	0	F	2449
Blacktown	20-24	0	M	2835
Blacktown	20-24	1	F	270
Blacktown	20-24	1	M	192
Blacktown	25-34		F	452
Blacktown	25-34		M	501
Blacktown	25-34	0	F	6376
Blacktown	25-34	0	M	6501
Blacktown	25-34	1	F	857
Blacktown	25-34	1	M	558
Blacktown	35-44		F	373
Blacktown	35-44		M	410
Blacktown	35-44	0	F	4831
Blacktown	35-44	0	M	5460
Blacktown	35-44	1	F	963
Blacktown	35-44	1	M	671
Blacktown	45-54		F	308
Blacktown	45-54		M	347
Blacktown	45-54	0	F	3932
Blacktown	45-54	0	M	4217
Blacktown	45-54	1	F	919
Blacktown	45-54	1	M	651
Blacktown	55-64		F	312
Blacktown	55-64		M	322
Blacktown	55-64	0	F	3608
Blacktown	55-64	0	M	3675
Blacktown	55-64	1	F	858
Blacktown	55-64	1	M	539
Blacktown	65-74		F	315
Blacktown	65-74		M	269
Blacktown	65-74	0	F	2324
Blacktown	65-74	0	M	2270
Blacktown	65-74	1	F	404
Blacktown	65-74	1	M	300
Blacktown	75-84		F	255
Blacktown	75-84		M	170
Blacktown	75-84	0	F	1440
Blacktown	75-84	0	M	1037
Blacktown	75-84	1	F	155
Blacktown	75-84	1	M	171
Blacktown	85+		F	128
Blacktown	85+		M	95
Blacktown	85+	0	F	624
Blacktown	85+	0	M	356
Blacktown	85+	1	F	30
Blacktown	85+	1	M	35
Blue Mountains	15-19		F	148
Blue Mountains	15-19		M	155
Blue Mountains	15-19	0	F	1847
Blue Mountains	15-19	0	M	1980
Blue Mountains	15-19	1	F	122
Blue Mountains	15-19	1	M	122
Blue Mountains	20-24		F	85
Blue Mountains	20-24		M	84
Blue Mountains	20-24	0	F	1404
Blue Mountains	20-24	0	M	1534
Blue Mountains	20-24	1	F	112
Blue Mountains	20-24	1	M	100
Blue Mountains	25-34		F	184
Blue Mountains	25-34		M	183
Blue Mountains	25-34	0	F	2831
Blue Mountains	25-34	0	M	2782
Blue Mountains	25-34	1	F	378
Blue Mountains	25-34	1	M	203
Blue Mountains	35-44		F	213
Blue Mountains	35-44		M	252
Blue Mountains	35-44	0	F	3686
Blue Mountains	35-44	0	M	3534
Blue Mountains	35-44	1	F	789
Blue Mountains	35-44	1	M	457
Blue Mountains	45-54		F	276
Blue Mountains	45-54		M	266
Blue Mountains	45-54	0	F	3863
Blue Mountains	45-54	0	M	3863
Blue Mountains	45-54	1	F	1190
Blue Mountains	45-54	1	M	697
Blue Mountains	55-64		F	313
Blue Mountains	55-64		M	303
Blue Mountains	55-64	0	F	4126
Blue Mountains	55-64	0	M	4061
Blue Mountains	55-64	1	F	1350
Blue Mountains	55-64	1	M	783
Blue Mountains	65-74		F	363
Blue Mountains	65-74		M	300
Blue Mountains	65-74	0	F	3483
Blue Mountains	65-74	0	M	3239
Blue Mountains	65-74	1	F	752
Blue Mountains	65-74	1	M	542
Blue Mountains	75-84		F	262
Blue Mountains	75-84		M	184
Blue Mountains	75-84	0	F	1651
Blue Mountains	75-84	0	M	1346
Blue Mountains	75-84	1	F	191
Blue Mountains	75-84	1	M	194
Blue Mountains	85+		F	129
Blue Mountains	85+		M	68
Blue Mountains	85+	0	F	856
Blue Mountains	85+	0	M	409
Blue Mountains	85+	1	F	44
Blue Mountains	85+	1	M	41
Cabramatta	15-19		F	218
Cabramatta	15-19		M	227
Cabramatta	15-19	0	F	2560
Cabramatta	15-19	0	M	2690
Cabramatta	15-19	1	F	184
Cabramatta	15-19	1	M	180
