SED_NAME16	persons
Bulleen (Eastern Metropolitan)	61657
Bundoora (Northern Metropolitan)	61764
Buninyong (Western Victoria)	59223
Burwood (Southern Metropolitan)	66686
Carrum (South-Eastern Metropolitan)	67718
Caulfield (Southern Metropolitan)	65552
Clarinda (South-Eastern Metropolitan)	73961
Cranbourne (South-Eastern Metropolitan)	97040
Croydon (Eastern Metropolitan)	59049
Dandenong (South-Eastern Metropolitan)	74906
Eildon (Northern Victoria)	58119
Eltham (Eastern Metropolitan)	59042
Essendon (Western Metropolitan)	67008
Euroa (Northern Victoria)	64201
Evelyn (Eastern Victoria)	57261
Ferntree Gully (Eastern Metropolitan)	57447
Footscray (Western Metropolitan)	81421
Forest Hill (Eastern Metropolitan)	59610
Frankston (South-Eastern Metropolitan)	61181
Geelong (Western Victoria)	62886
Gembrook (Eastern Victoria)	68345
Gippsland East (Eastern Victoria)	59212
Gippsland South (Eastern Victoria)	56943
Hastings (Eastern Victoria)	68282
Hawthorn (Southern Metropolitan)	65331
Ivanhoe (Eastern Metropolitan)	64148
Kew (Southern Metropolitan)	63146
Keysborough (South-Eastern Metropolitan)	70098
Kororoit (Western Metropolitan)	83732
Lara (Western Victoria)	65358
Lowan (Western Victoria)	56512
Macedon (Northern Victoria)	57672
Malvern (Southern Metropolitan)	58802
Melbourne (Northern Metropolitan)	115150
Melton (Western Victoria)	78622
Mildura (Northern Victoria)	63296
Mill Park (Northern Metropolitan)	68583
Monbulk (Eastern Victoria)	57063
Mordialloc (South-Eastern Metropolitan)	62960
Mornington (Eastern Victoria)	61529
Morwell (Eastern Victoria)	64414
Mount Waverley (Eastern Metropolitan)	62096
Mulgrave (South-Eastern Metropolitan)	62373
Murray Plains (Northern Victoria)	62512
Narracan (Eastern Victoria)	66601
Narre Warren North (South-Eastern Metrop	66222
Narre Warren South (South-Eastern Metrop	82547
Nepean (Eastern Victoria)	59120
Niddrie (Western Metropolitan)	59594
Northcote (Northern Metropolitan)	64788
Oakleigh (Southern Metropolitan)	71764
Ovens Valley (Northern Victoria)	56972
Pascoe Vale (Northern Metropolitan)	74522
Polwarth (Western Victoria)	59969
Prahran (Southern Metropolitan)	73274
Preston (Northern Metropolitan)	68149
Richmond (Northern Metropolitan)	72548
Ringwood (Eastern Metropolitan)	62070
Ripon (Western Victoria)	62546
Rowville (South-Eastern Metropolitan)	55229
Sandringham (Southern Metropolitan)	58593
Shepparton (Northern Victoria)	69152
South Barwon (Western Victoria)	69402
South-West Coast (Western Victoria)	62713
St Albans (Western Metropolitan)	75221
Sunbury (Western Metropolitan)	60566
Sydenham (Western Metropolitan)	75444
Tarneit (Western Metropolitan)	96602
Thomastown (Northern Metropolitan)	68632
Warrandyte (Eastern Metropolitan)	60281
Wendouree (Western Victoria)	57294
Werribee (Western Metropolitan)	70567
Williamstown (Western Metropolitan)	71068
Yan Yean (Northern Victoria)	79880
Yuroke (Northern Metropolitan)	89162
No usual address (Vic.)	7565
Migratory - Offshore - Shipping (Vic.)	29
Albert	69881
Algester	54310
Ashgrove	46556
Aspley	44487
Barron River	60957
Beaudesert	58081
Brisbane Central	62513
Broadwater	51599
Buderim	49957
Bulimba	52351
Bundaberg	43702
Bundamba	79568
Burdekin	48265
Burleigh	51486
Burnett	48417
Cairns	60238
Callide	46182
Caloundra	51095
Capalaba	47361
Chatsworth	51151
Clayfield	52226
Cleveland	50283
Condamine	57395
Cook	51639
Coomera	74650
Currumbin	48520
Dalrymple	48456
Everton	46194
Ferny Grove	45719
Gaven	58463
Gladstone	55616
Glass House	55380
Greenslopes	47328
Gregory	41497
Gympie	49300
Hervey Bay	53035
Hinchinbrook	52783
Inala	58495
Indooroopilly	49953
Ipswich	52119
Ipswich West	55108
Kallangur	53146
Kawana	53503
Keppel	54580
Lockyer	55221
Logan	50214
Lytton	49425
Mackay	43364
Mansfield	46906
Maroochydore	52691
Maryborough	51102
Mermaid Beach	53648
Mirani	53528
Moggill	47419
Morayfield	55741
Mount Coot-tha	46006
Mount Isa	32588
Mount Ommaney	46446
Mudgeeraba	56410
Mulgrave	52611
Mundingburra	44724
Murrumba	73389
Nanango	50313
Nicklin	51460
Noosa	52125
Nudgee	54688
Pine Rivers	53732
Pumicestone	54770
Redcliffe	49437
Redlands	51755
Rockhampton	49573
Sandgate	49956
South Brisbane	55671
Southern Downs	49115
Southport	59729
Springwood	49374
Stafford	47287
Stretton	59141
Sunnybank	54785
Surfers Paradise	58376
Thuringowa	52997
Toowoomba North	50427
Toowoomba South	51015
Townsville	49815
Warrego	41111
Waterford	64271
Whitsunday	59648
Woodridge	63578
Yeerongpilly	51391
No usual address (Qld)	12510
Migratory - Offshore - Shipping (Qld)	150
Adelaide	41805
Ashford	34637
Bragg	33953
Bright	32936
Chaffey	35064
Cheltenham	38127
Colton	34249
Croydon	35737
Davenport	34279
Dunstan	35181
Elder	35077
Enfield	39359
Finniss	33498
Fisher	34638
Flinders	33382
Florey	31919
Frome	35182
Giles	34139
Goyder (SA)	33477
Hammond	33581
Hartley	35765
Heysen	35118
Kaurna	38117
Kavel	36798
Lee	34417
Light	38397
Little Para	39183
Mackillop	32812
Mawson	34222
Mitchell	35574
Morialta	35302
Morphett	32319
Mount Gambier	34515
Napier	39789
Newland	33541
Playford	36630
Port Adelaide	40823
Ramsay	38095
Reynell	34385
Schubert	35042
Stuart (SA)	33206
Taylor	40925
Torrens	38736
Unley	34782
Waite	34428
West Torrens	36221
Wright	34427
No usual address (SA)	2863
Migratory - Offshore - Shipping (SA)	3
Albany (South West)	36583
Alfred Cove (South Metropolitan)	34913
Armadale (East Metropolitan)	45432
Balcatta (North Metropolitan)	39236
Bassendean (East Metropolitan)	37854
Bateman (South Metropolitan)	34984
Belmont (East Metropolitan)	42085
Bunbury (South West)	36051
Butler (North Metropolitan)	76256
Cannington (South Metropolitan)	46972
Carine (North Metropolitan)	34619
Central Wheatbelt (Agricultural)	34312
Churchlands (North Metropolitan)	41512
Cockburn (South Metropolitan)	48223
Collie-Preston (South West)	40028
Cottesloe (North Metropolitan)	37604
Darling Range (East Metropolitan)	62005
Dawesville (South West)	40633
Eyre (Mining and Pastoral)	51913
Forrestfield (East Metropolitan)	42877
Fremantle (South Metropolitan)	40702
Geraldton (Agricultural)	38111
Girrawheen (North Metropolitan)	48285
Gosnells (East Metropolitan)	41855
Hillarys (North Metropolitan)	33796
Jandakot (South Metropolitan)	40420
Joondalup (North Metropolitan)	36687
Kalamunda (East Metropolitan)	36602
Kalgoorlie (Mining and Pastoral)	4661
Kimberley (Mining and Pastoral)	34364
Kingsley (North Metropolitan)	33886
Kwinana (South Metropolitan)	65064
Mandurah (South West)	42036
Maylands (East Metropolitan)	41038
Midland (East Metropolitan)	40207
Mirrabooka (East Metropolitan)	45176
Moore (Agricultural)	35951
Morley (East Metropolitan)	38713
Mount Lawley (East Metropolitan)	39064
Murray-Wellington (South West)	41365
Nedlands (North Metropolitan)	40118
North West Central (Mining and Pastoral)	25574
Ocean Reef (North Metropolitan)	42119
Perth (North Metropolitan)	53199
Pilbara (Mining and Pastoral)	46532
Riverton (South Metropolitan)	37699
Rockingham (South Metropolitan)	37594
Scarborough (North Metropolitan)	40461
South Perth (South Metropolitan)	38948
Southern River (South Metropolitan)	52100
Swan Hills (East Metropolitan)	48323
Vasse (South West)	39713
Victoria Park (South Metropolitan)	47835
Wagin (Agricultural)	33266
Wanneroo (North Metropolitan)	46181
Warnbro (South Metropolitan)	61370
Warren-Blackwood (South West)	39813
West Swan (East Metropolitan)	58382
Willagee (South Metropolitan)	36718
No usual address (WA)	5950
Migratory - Offshore - Shipping (WA)	434
Bass (Apsley)	10155
Bass (Launceston)	32871
Bass (Rosevears)	23838
Bass (Windermere)	34525
Braddon (Mersey)	32439
Braddon (Montgomery)	31561
Braddon (Murchison)	32837
Braddon (Western Tiers)	215
Denison (Derwent)	9629
Denison (Elwick)	36250
Denison (Hobart)	33537
Denison (Huon)	429
Denison (Nelson)	22440
Franklin (Derwent)	3779
Franklin (Huon)	35266
Franklin (Nelson)	10910
Franklin (Pembroke)	34453
Franklin (Rumney)	20326
Lyons (Apsley)	20237
Lyons (Derwent)	24564
Lyons (Rosevears)	9765
Lyons (Rumney)	16836
Lyons (Western Tiers)	32109
No usual address (Tas.)	912
Migratory - Offshore - Shipping (Tas.)	68
Arafura	7230
Araluen	11412
Arnhem	8293
Barkly	8563
Blain	9333
Braitling	10605
Brennan	8381
Casuarina	9316
Daly	9802
Drysdale	8636
Fannie Bay	8545
Fong Lim	7990
Goyder (NT)	9487
Johnston	7651
Karama	7949
Katherine	9777
Namatjira	9233
Nelson	12140
Nhulunbuy	9529
Nightcliff	8264
Port Darwin	10200
Sanderson	8374
Spillett	9392
Stuart (NT)	7320
Wanguri	8855
No usual address (NT)	2489
Migratory - Offshore - Shipping (NT)	70
Brindabella	70424
Ginninderra	77238
Kurrajong	81591
Murrumbidgee	77652
Yerrabi	89950
No usual address (ACT)	538
Unclassified (OT)	4523
No usual address (OT)	55
Migratory - Offshore - Shipping (OT)	6
