SED_NAME16	medianMortgageRepayment
Dalrymple	16644
Everton	24000
Ferny Grove	24000
Gaven	22884
Gladstone	24000
Glass House	20796
Greenslopes	26004
Gregory	19764
Gympie	15600
Hervey Bay	17676
Hinchinbrook	20400
Inala	19200
Indooroopilly	26004
Ipswich	18000
Ipswich West	18600
Kallangur	20796
Kawana	23400
Keppel	20796
Lockyer	20796
Logan	21420
Lytton	24000
Mackay	20796
Mansfield	24000
Maroochydore	20796
Maryborough	15600
Mermaid Beach	23400
Mirani	21840
Moggill	26004
Morayfield	20796
Mount Coot-tha	27600
Mount Isa	20796
Mount Ommaney	24000
Mudgeeraba	23760
Mulgrave	18720
Mundingburra	19236
Murrumba	22668
Nanango	15600
Nicklin	20400
Noosa	21600
Nudgee	23400
Pine Rivers	21840
Pumicestone	18720
Redcliffe	20280
Redlands	24000
Rockhampton	18204
Sandgate	21600
South Brisbane	24000
Southern Downs	15600
Southport	20796
Springwood	22104
Stafford	25200
Stretton	22464
Sunnybank	20796
Surfers Paradise	22884
Thuringowa	20796
Toowoomba North	18204
Toowoomba South	18204
Townsville	20724
Warrego	15120
Waterford	19236
Whitsunday	24000
Woodridge	18204
Yeerongpilly	24000
No usual address (Qld)	
Migratory - Offshore - Shipping (Qld)	
Adelaide	22800
Ashford	20796
Bragg	24924
Bright	20796
Chaffey	12480
Cheltenham	19200
Colton	21600
Croydon	19236
Davenport	20796
Dunstan	21840
Elder	19500
Enfield	19200
Finniss	15600
Fisher	18204
Flinders	15600
Florey	17580
Frome	12600
Giles	14556
Goyder (SA)	13380
Hammond	13524
Hartley	20796
Heysen	20796
Kaurna	18204
Kavel	18696
Lee	19500
Light	18000
Little Para	15600
Mackillop	12000
Mawson	16800
Mitchell	18204
Morialta	20388
Morphett	21348
Mount Gambier	14400
Napier	15432
Newland	18204
Playford	16644
Port Adelaide	19200
Ramsay	15600
Reynell	15600
Schubert	16800
Stuart (SA)	12828
Taylor	16644
Torrens	19800
Unley	24000
Waite	23400
West Torrens	20016
Wright	18000
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Albany (South West)	19200
Alfred Cove (South Metropolitan)	30000
Armadale (East Metropolitan)	19500
Balcatta (North Metropolitan)	23676
Bassendean (East Metropolitan)	20796
Bateman (South Metropolitan)	26004
Belmont (East Metropolitan)	23400
Bunbury (South West)	19236
Butler (North Metropolitan)	24540
Cannington (South Metropolitan)	21600
Carine (North Metropolitan)	26004
Central Wheatbelt (Agricultural)	14400
Churchlands (North Metropolitan)	30000
Cockburn (South Metropolitan)	26004
Collie-Preston (South West)	21600
Cottesloe (North Metropolitan)	33804
Darling Range (East Metropolitan)	26004
Dawesville (South West)	22932
Eyre (Mining and Pastoral)	20796
Forrestfield (East Metropolitan)	23400
Fremantle (South Metropolitan)	26004
Geraldton (Agricultural)	20796
Girrawheen (North Metropolitan)	24000
Gosnells (East Metropolitan)	20796
Hillarys (North Metropolitan)	26004
Jandakot (South Metropolitan)	24600
Joondalup (North Metropolitan)	23400
Kalamunda (East Metropolitan)	23400
Kalgoorlie (Mining and Pastoral)	9528
Kimberley (Mining and Pastoral)	28596
Kingsley (North Metropolitan)	24000
Kwinana (South Metropolitan)	22908
Mandurah (South West)	21324
Maylands (East Metropolitan)	24000
Midland (East Metropolitan)	21576
Mirrabooka (East Metropolitan)	20796
Moore (Agricultural)	20400
Morley (East Metropolitan)	23400
Mount Lawley (East Metropolitan)	24000
Murray-Wellington (South West)	22104
Nedlands (North Metropolitan)	32400
North West Central (Mining and Pastoral)	20796
Ocean Reef (North Metropolitan)	26460
Perth (North Metropolitan)	26004
Pilbara (Mining and Pastoral)	31200
Riverton (South Metropolitan)	24000
Rockingham (South Metropolitan)	20484
Scarborough (North Metropolitan)	26712
South Perth (South Metropolitan)	26400
Southern River (South Metropolitan)	24960
Swan Hills (East Metropolitan)	26004
Vasse (South West)	22596
Victoria Park (South Metropolitan)	24000
Wagin (Agricultural)	12996
Wanneroo (North Metropolitan)	26004
Warnbro (South Metropolitan)	24000
Warren-Blackwood (South West)	18204
West Swan (East Metropolitan)	24960
Willagee (South Metropolitan)	24000
No usual address (WA)	
Migratory - Offshore - Shipping (WA)	
Bass (Apsley)	12996
Bass (Launceston)	15828
Bass (Rosevears)	16224
Bass (Windermere)	12996
Braddon (Mersey)	14652
Braddon (Montgomery)	13524
Braddon (Murchison)	12996
Braddon (Western Tiers)	16776
Denison (Derwent)	15600
Denison (Elwick)	15600
Denison (Hobart)	18876
Denison (Huon)	18204
Denison (Nelson)	20796
Franklin (Derwent)	18204
Franklin (Huon)	16800
Franklin (Nelson)	18204
Franklin (Pembroke)	17160
Franklin (Rumney)	17676
Lyons (Apsley)	12996
Lyons (Derwent)	14304
Lyons (Rosevears)	14400
Lyons (Rumney)	15600
Lyons (Western Tiers)	14544
No usual address (Tas.)	
Migratory - Offshore - Shipping (Tas.)	
Arafura	15864
Araluen	23400
Arnhem	28980
Barkly	14400
Blain	28596
Braitling	22884
Brennan	26004
Casuarina	26400
Daly	22356
Drysdale	24000
Fannie Bay	26004
Fong Lim	28596
Goyder (NT)	28596
Johnston	26004
Karama	23940
Katherine	20796
Namatjira	28596
Nelson	31200
Nhulunbuy	20796
Nightcliff	26004
Port Darwin	26004
Sanderson	26004
Spillett	31200
Stuart (NT)	5340
Wanguri	30000
No usual address (NT)	
Migratory - Offshore - Shipping (NT)	
Brindabella	24000
Ginninderra	24000
Kurrajong	26004
Murrumbidgee	25224
Yerrabi	25476
No usual address (ACT)	
Migratory - Offshore - Shipping (ACT)	
Unclassified (OT)	16800
No usual address (OT)	
Migratory - Offshore - Shipping (OT)	
