SED_NAME16	AustCitizen	Sex	persons
Lane Cove	1	F	34137
Lane Cove	1	M	33002
Lismore	0	F	4344
Lismore	0	M	4217
Lismore	1	F	33405
Lismore	1	M	31978
Liverpool	0	F	9785
Liverpool	0	M	9647
Liverpool	1	F	36226
Liverpool	1	M	35477
Londonderry	0	F	8217
Londonderry	0	M	8573
Londonderry	1	F	37916
Londonderry	1	M	37113
Macquarie Fields	0	F	7958
Macquarie Fields	0	M	7332
Macquarie Fields	1	F	35717
Macquarie Fields	1	M	35361
Maitland	0	F	3322
Maitland	0	M	3175
Maitland	1	F	36181
Maitland	1	M	34489
Manly	0	F	8609
Manly	0	M	8251
Manly	1	F	32378
Manly	1	M	31088
Maroubra	0	F	8686
Maroubra	0	M	10279
Maroubra	1	F	32237
Maroubra	1	M	30512
Miranda	0	F	4109
Miranda	0	M	3808
Miranda	1	F	34035
Miranda	1	M	32212
Monaro	0	F	4840
Monaro	0	M	5130
Monaro	1	F	32695
Monaro	1	M	33349
Mount Druitt	0	F	8884
Mount Druitt	0	M	8247
Mount Druitt	1	F	36216
Mount Druitt	1	M	35367
Mulgoa	0	F	4734
Mulgoa	0	M	4576
Mulgoa	1	F	36325
Mulgoa	1	M	35774
Murray	0	F	5875
Murray	0	M	6089
Murray	1	F	35493
Murray	1	M	35447
Myall Lakes	0	F	3574
Myall Lakes	0	M	3352
Myall Lakes	1	F	32994
Myall Lakes	1	M	31141
Newcastle	0	F	3845
Newcastle	0	M	3983
Newcastle	1	F	32198
Newcastle	1	M	31642
Newtown	0	F	13732
Newtown	0	M	13267
Newtown	1	F	27754
Newtown	1	M	29277
North Shore	0	F	10158
North Shore	0	M	9050
North Shore	1	F	30774
North Shore	1	M	27291
Northern Tablelands	0	F	5108
Northern Tablelands	0	M	5112
Northern Tablelands	1	F	35230
Northern Tablelands	1	M	33785
Oatley	0	F	6681
Oatley	0	M	6146
Oatley	1	F	32635
Oatley	1	M	30854
Orange	0	F	4052
Orange	0	M	3998
Orange	1	F	35559
Orange	1	M	34289
Oxley	0	F	3885
Oxley	0	M	4170
Oxley	1	F	33101
Oxley	1	M	31692
Parramatta	0	F	16817
Parramatta	0	M	17019
Parramatta	1	F	34050
Parramatta	1	M	34580
Penrith	0	F	5220
Penrith	0	M	4892
Penrith	1	F	35151
Penrith	1	M	33523
Pittwater	0	F	4752
Pittwater	0	M	4367
Pittwater	1	F	32274
Pittwater	1	M	30695
Port Macquarie	0	F	3793
Port Macquarie	0	M	3554
Port Macquarie	1	F	34148
Port Macquarie	1	M	31627
Port Stephens	0	F	3860
Port Stephens	0	M	3710
Port Stephens	1	F	32232
Port Stephens	1	M	31579
Prospect	0	F	7386
Prospect	0	M	7344
Prospect	1	F	33733
Prospect	1	M	33260
Riverstone	0	F	7363
Riverstone	0	M	7761
Riverstone	1	F	37457
Riverstone	1	M	37280
Rockdale	0	F	11269
Rockdale	0	M	11447
Rockdale	1	F	32309
Rockdale	1	M	31174
Ryde	0	F	14577
Ryde	0	M	12909
Ryde	1	F	33053
Ryde	1	M	32419
Seven Hills	0	F	8718
Seven Hills	0	M	8758
Seven Hills	1	F	33991
Seven Hills	1	M	32979
Shellharbour	0	F	4215
Shellharbour	0	M	3938
Shellharbour	1	F	37323
Shellharbour	1	M	35745
South Coast	0	F	3714
South Coast	0	M	3518
South Coast	1	F	31734
South Coast	1	M	30568
Strathfield	0	F	15858
Strathfield	0	M	16250
Strathfield	1	F	31655
Strathfield	1	M	30205
Summer Hill	0	F	9393
Summer Hill	0	M	9514
Summer Hill	1	F	31953
Summer Hill	1	M	30189
Swansea	0	F	2886
Swansea	0	M	2694
Swansea	1	F	33379
Swansea	1	M	32333
Sydney	0	F	21869
Sydney	0	M	24004
Sydney	1	F	24733
Sydney	1	M	27931
Tamworth	0	F	4253
Tamworth	0	M	4302
Tamworth	1	F	34999
Tamworth	1	M	33476
Terrigal	0	F	3819
Terrigal	0	M	3501
Terrigal	1	F	34016
Terrigal	1	M	31805
The Entrance	0	F	3845
The Entrance	0	M	3612
The Entrance	1	F	34035
The Entrance	1	M	31546
Tweed	0	F	4900
Tweed	0	M	4519
Tweed	1	F	34575
Tweed	1	M	32160
Upper Hunter	0	F	4127
Upper Hunter	0	M	4247
Upper Hunter	1	F	33338
Upper Hunter	1	M	33819
Vaucluse	0	F	10266
Vaucluse	0	M	9334
Vaucluse	1	F	31506
Vaucluse	1	M	28689
Wagga Wagga	0	F	4125
Wagga Wagga	0	M	4309
Wagga Wagga	1	F	34847
Wagga Wagga	1	M	33253
Wakehurst	0	F	6675
Wakehurst	0	M	6190
Wakehurst	1	F	33803
Wakehurst	1	M	32440
Wallsend	0	F	4785
Wallsend	0	M	4736
Wallsend	1	F	36440
Wallsend	1	M	34832
Willoughby	0	F	11252
Willoughby	0	M	9485
Willoughby	1	F	33240
Willoughby	1	M	30834
Wollondilly	0	F	3791
Wollondilly	0	M	3604
Wollondilly	1	F	34275
Wollondilly	1	M	32906
Wollongong	0	F	6984
Wollongong	0	M	7529
Wollongong	1	F	34527
Wollongong	1	M	33931
Wyong	0	F	4458
Wyong	0	M	4148
Wyong	1	F	35284
Wyong	1	M	33256
No usual address (NSW)	0	F	1930
No usual address (NSW)	0	M	3152
No usual address (NSW)	1	F	3009
No usual address (NSW)	1	M	4199
Migratory - Offshore - Shipping (NSW)	0	F	55
Migratory - Offshore - Shipping (NSW)	0	M	34
Migratory - Offshore - Shipping (NSW)	1	F	184
Migratory - Offshore - Shipping (NSW)	1	M	137
Albert Park (Southern Metropolitan)	0	F	13043
Albert Park (Southern Metropolitan)	0	M	12627
Albert Park (Southern Metropolitan)	1	F	25371
Albert Park (Southern Metropolitan)	1	M	24915
Altona (Western Metropolitan)	0	F	12049
Altona (Western Metropolitan)	0	M	11384
Altona (Western Metropolitan)	1	F	34088
Altona (Western Metropolitan)	1	M	34170
Bass (Eastern Victoria)	0	F	5288
Bass (Eastern Victoria)	0	M	4891
Bass (Eastern Victoria)	1	F	32098
Bass (Eastern Victoria)	1	M	30422
Bayswater (Eastern Metropolitan)	0	F	4805
Bayswater (Eastern Metropolitan)	0	M	4250
Bayswater (Eastern Metropolitan)	1	F	27055
Bayswater (Eastern Metropolitan)	1	M	26078
Bellarine (Western Victoria)	0	F	2954
Bellarine (Western Victoria)	0	M	2868
Bellarine (Western Victoria)	1	F	27699
Bellarine (Western Victoria)	1	M	25697
Benambra (Northern Victoria)	0	F	3146
Benambra (Northern Victoria)	0	M	3266
Benambra (Northern Victoria)	1	F	29386
Benambra (Northern Victoria)	1	M	28415
Bendigo East (Northern Victoria)	0	F	3127
Bendigo East (Northern Victoria)	0	M	2950
Bendigo East (Northern Victoria)	1	F	30020
Bendigo East (Northern Victoria)	1	M	28147
Bendigo West (Northern Victoria)	0	F	3369
Bendigo West (Northern Victoria)	0	M	3927
Bendigo West (Northern Victoria)	1	F	27317
Bendigo West (Northern Victoria)	1	M	25503
Bentleigh (Southern Metropolitan)	0	F	5317
Bentleigh (Southern Metropolitan)	0	M	4955
Bentleigh (Southern Metropolitan)	1	F	26130
Bentleigh (Southern Metropolitan)	1	M	24630
Box Hill (Eastern Metropolitan)	0	F	8689
Box Hill (Eastern Metropolitan)	0	M	7996
Box Hill (Eastern Metropolitan)	1	F	27339
Box Hill (Eastern Metropolitan)	1	M	25321
Brighton (Southern Metropolitan)	0	F	5541
Brighton (Southern Metropolitan)	0	M	4944
Brighton (Southern Metropolitan)	1	F	27358
Brighton (Southern Metropolitan)	1	M	24654
Broadmeadows (Northern Metropolitan)	0	F	8205
Broadmeadows (Northern Metropolitan)	0	M	9421
Broadmeadows (Northern Metropolitan)	1	F	27656
Broadmeadows (Northern Metropolitan)	1	M	27067
Brunswick (Northern Metropolitan)	0	F	7955
Brunswick (Northern Metropolitan)	0	M	7465
Brunswick (Northern Metropolitan)	1	F	28951
Brunswick (Northern Metropolitan)	1	M	26682
Bulleen (Eastern Metropolitan)	0	F	6218
Bulleen (Eastern Metropolitan)	0	M	5487
Bulleen (Eastern Metropolitan)	1	F	25758
Bulleen (Eastern Metropolitan)	1	M	24201
Bundoora (Northern Metropolitan)	0	F	6349
Bundoora (Northern Metropolitan)	0	M	6385
Bundoora (Northern Metropolitan)	1	F	25095
Bundoora (Northern Metropolitan)	1	M	23935
Buninyong (Western Victoria)	0	F	3305
Buninyong (Western Victoria)	0	M	3182
Buninyong (Western Victoria)	1	F	26840
Buninyong (Western Victoria)	1	M	25895
Burwood (Southern Metropolitan)	0	F	7833
Burwood (Southern Metropolitan)	0	M	7376
Burwood (Southern Metropolitan)	1	F	26914
Burwood (Southern Metropolitan)	1	M	24561
Carrum (South-Eastern Metropolitan)	0	F	5362
Carrum (South-Eastern Metropolitan)	0	M	5043
Carrum (South-Eastern Metropolitan)	1	F	29265
Carrum (South-Eastern Metropolitan)	1	M	28041
Caulfield (Southern Metropolitan)	0	F	7141
Caulfield (Southern Metropolitan)	0	M	6916
Caulfield (Southern Metropolitan)	1	F	26699
Caulfield (Southern Metropolitan)	1	M	24800
Clarinda (South-Eastern Metropolitan)	0	F	10784
Clarinda (South-Eastern Metropolitan)	0	M	11078
Clarinda (South-Eastern Metropolitan)	1	F	26162
Clarinda (South-Eastern Metropolitan)	1	M	25942
Cranbourne (South-Eastern Metropolitan)	0	F	10907
Cranbourne (South-Eastern Metropolitan)	0	M	10124
Cranbourne (South-Eastern Metropolitan)	1	F	38048
Cranbourne (South-Eastern Metropolitan)	1	M	37961
Croydon (Eastern Metropolitan)	0	F	4198
Croydon (Eastern Metropolitan)	0	M	3817
Croydon (Eastern Metropolitan)	1	F	26673
Croydon (Eastern Metropolitan)	1	M	24367
Dandenong (South-Eastern Metropolitan)	0	F	10602
Dandenong (South-Eastern Metropolitan)	0	M	13266
Dandenong (South-Eastern Metropolitan)	1	F	25231
Dandenong (South-Eastern Metropolitan)	1	M	25811
Eildon (Northern Victoria)	0	F	3387
Eildon (Northern Victoria)	0	M	3341
Eildon (Northern Victoria)	1	F	25728
Eildon (Northern Victoria)	1	M	25663
Eltham (Eastern Metropolitan)	0	F	2873
Eltham (Eastern Metropolitan)	0	M	2571
Eltham (Eastern Metropolitan)	1	F	27475
Eltham (Eastern Metropolitan)	1	M	26127
Essendon (Western Metropolitan)	0	F	6506
Essendon (Western Metropolitan)	0	M	6046
Essendon (Western Metropolitan)	1	F	28134
Essendon (Western Metropolitan)	1	M	26320
Euroa (Northern Victoria)	0	F	3774
Euroa (Northern Victoria)	0	M	3851
Euroa (Northern Victoria)	1	F	28223
Euroa (Northern Victoria)	1	M	28349
Evelyn (Eastern Victoria)	0	F	3067
Evelyn (Eastern Victoria)	0	M	2929
Evelyn (Eastern Victoria)	1	F	26038
Evelyn (Eastern Victoria)	1	M	25229
Ferntree Gully (Eastern Metropolitan)	0	F	4793
Ferntree Gully (Eastern Metropolitan)	0	M	4183
Ferntree Gully (Eastern Metropolitan)	1	F	24770
Ferntree Gully (Eastern Metropolitan)	1	M	23704
Footscray (Western Metropolitan)	0	F	10854
Footscray (Western Metropolitan)	0	M	12292
Footscray (Western Metropolitan)	1	F	29228
Footscray (Western Metropolitan)	1	M	29046
Forest Hill (Eastern Metropolitan)	0	F	6167
Forest Hill (Eastern Metropolitan)	0	M	5727
Forest Hill (Eastern Metropolitan)	1	F	24643
Forest Hill (Eastern Metropolitan)	1	M	23068
Frankston (South-Eastern Metropolitan)	0	F	5082
Frankston (South-Eastern Metropolitan)	0	M	4709
Frankston (South-Eastern Metropolitan)	1	F	26481
Frankston (South-Eastern Metropolitan)	1	M	24906
Geelong (Western Victoria)	0	F	4206
Geelong (Western Victoria)	0	M	4127
Geelong (Western Victoria)	1	F	28683
Geelong (Western Victoria)	1	M	25868
Gembrook (Eastern Victoria)	0	F	4557
Gembrook (Eastern Victoria)	0	M	4436
Gembrook (Eastern Victoria)	1	F	30179
Gembrook (Eastern Victoria)	1	M	29170
Gippsland East (Eastern Victoria)	0	F	3442
Gippsland East (Eastern Victoria)	0	M	3273
Gippsland East (Eastern Victoria)	1	F	26657
Gippsland East (Eastern Victoria)	1	M	25843
Gippsland South (Eastern Victoria)	0	F	3465
Gippsland South (Eastern Victoria)	0	M	4050
Gippsland South (Eastern Victoria)	1	F	25013
Gippsland South (Eastern Victoria)	1	M	24413
Hastings (Eastern Victoria)	0	F	3861
Hastings (Eastern Victoria)	0	M	3668
Hastings (Eastern Victoria)	1	F	30712
Hastings (Eastern Victoria)	1	M	30043
Hawthorn (Southern Metropolitan)	0	F	7000
Hawthorn (Southern Metropolitan)	0	M	6525
Hawthorn (Southern Metropolitan)	1	F	26996
Hawthorn (Southern Metropolitan)	1	M	24810
Ivanhoe (Eastern Metropolitan)	0	F	5188
Ivanhoe (Eastern Metropolitan)	0	M	4845
Ivanhoe (Eastern Metropolitan)	1	F	27873
Ivanhoe (Eastern Metropolitan)	1	M	26243
Kew (Southern Metropolitan)	0	F	6152
Kew (Southern Metropolitan)	0	M	5160
Kew (Southern Metropolitan)	1	F	26642
Kew (Southern Metropolitan)	1	M	25193
Keysborough (South-Eastern Metropolitan)	0	F	7725
Keysborough (South-Eastern Metropolitan)	0	M	7522
Keysborough (South-Eastern Metropolitan)	1	F	27575
Keysborough (South-Eastern Metropolitan)	1	M	27272
Kororoit (Western Metropolitan)	0	F	8938
Kororoit (Western Metropolitan)	0	M	9004
Kororoit (Western Metropolitan)	1	F	33027
Kororoit (Western Metropolitan)	1	M	32768
Lara (Western Victoria)	0	F	4659
Lara (Western Victoria)	0	M	5430
Lara (Western Victoria)	1	F	28431
Lara (Western Victoria)	1	M	26841
Lowan (Western Victoria)	0	F	2728
Lowan (Western Victoria)	0	M	2529
Lowan (Western Victoria)	1	F	25894
Lowan (Western Victoria)	1	M	25357
Macedon (Northern Victoria)	0	F	3288
Macedon (Northern Victoria)	0	M	3103
Macedon (Northern Victoria)	1	F	26079
Macedon (Northern Victoria)	1	M	25201
Malvern (Southern Metropolitan)	0	F	5955
Malvern (Southern Metropolitan)	0	M	5117
Malvern (Southern Metropolitan)	1	F	25011
Malvern (Southern Metropolitan)	1	M	22717
Melbourne (Northern Metropolitan)	0	F	32480
Melbourne (Northern Metropolitan)	0	M	29403
Melbourne (Northern Metropolitan)	1	F	26894
Melbourne (Northern Metropolitan)	1	M	26374
Melton (Western Victoria)	0	F	6203
Melton (Western Victoria)	0	M	5740
Melton (Western Victoria)	1	F	33926
Melton (Western Victoria)	1	M	32756
Mildura (Northern Victoria)	0	F	4396
Mildura (Northern Victoria)	0	M	4569
Mildura (Northern Victoria)	1	F	27591
Mildura (Northern Victoria)	1	M	26744
Mill Park (Northern Metropolitan)	0	F	5559
Mill Park (Northern Metropolitan)	0	M	5414
Mill Park (Northern Metropolitan)	1	F	29223
Mill Park (Northern Metropolitan)	1	M	28386
Monbulk (Eastern Victoria)	0	F	3203
Monbulk (Eastern Victoria)	0	M	3066
Monbulk (Eastern Victoria)	1	F	25449
Monbulk (Eastern Victoria)	1	M	25347
Mordialloc (South-Eastern Metropolitan)	0	F	4475
Mordialloc (South-Eastern Metropolitan)	0	M	4163
Mordialloc (South-Eastern Metropolitan)	1	F	28117
Mordialloc (South-Eastern Metropolitan)	1	M	26206
Mornington (Eastern Victoria)	0	F	3957
Mornington (Eastern Victoria)	0	M	3666
Mornington (Eastern Victoria)	1	F	28198
Mornington (Eastern Victoria)	1	M	25712
Morwell (Eastern Victoria)	0	F	4059
Morwell (Eastern Victoria)	0	M	3877
Morwell (Eastern Victoria)	1	F	28869
Morwell (Eastern Victoria)	1	M	27611
Mount Waverley (Eastern Metropolitan)	0	F	8635
Mount Waverley (Eastern Metropolitan)	0	M	7896
Mount Waverley (Eastern Metropolitan)	1	F	23117
Mount Waverley (Eastern Metropolitan)	1	M	22456
Mulgrave (South-Eastern Metropolitan)	0	F	7336
Mulgrave (South-Eastern Metropolitan)	0	M	7401
Mulgrave (South-Eastern Metropolitan)	1	F	24043
Mulgrave (South-Eastern Metropolitan)	1	M	23596
Murray Plains (Northern Victoria)	0	F	3667
Murray Plains (Northern Victoria)	0	M	3559
Murray Plains (Northern Victoria)	1	F	27933
Murray Plains (Northern Victoria)	1	M	27348
Narracan (Eastern Victoria)	0	F	3679
Narracan (Eastern Victoria)	0	M	3464
Narracan (Eastern Victoria)	1	F	30447
Narracan (Eastern Victoria)	1	M	29014
Narre Warren North (South-Eastern Metrop	0	F	5576
Narre Warren North (South-Eastern Metrop	0	M	5430
Narre Warren North (South-Eastern Metrop	1	F	27715
Narre Warren North (South-Eastern Metrop	1	M	27502
Narre Warren South (South-Eastern Metrop	0	F	8399
Narre Warren South (South-Eastern Metrop	0	M	8056
Narre Warren South (South-Eastern Metrop	1	F	32836
Narre Warren South (South-Eastern Metrop	1	M	33255
Nepean (Eastern Victoria)	0	F	3531
Nepean (Eastern Victoria)	0	M	3309
Nepean (Eastern Victoria)	1	F	27029
Nepean (Eastern Victoria)	1	M	25251
Niddrie (Western Metropolitan)	0	F	3720
Niddrie (Western Metropolitan)	0	M	3417
Niddrie (Western Metropolitan)	1	F	26935
Niddrie (Western Metropolitan)	1	M	25520
Northcote (Northern Metropolitan)	0	F	5651
Northcote (Northern Metropolitan)	0	M	5320
Northcote (Northern Metropolitan)	1	F	28330
Northcote (Northern Metropolitan)	1	M	25490
Oakleigh (Southern Metropolitan)	0	F	11625
Oakleigh (Southern Metropolitan)	0	M	11141
Oakleigh (Southern Metropolitan)	1	F	24958
Oakleigh (Southern Metropolitan)	1	M	24039
Ovens Valley (Northern Victoria)	0	F	3456
Ovens Valley (Northern Victoria)	0	M	3281
Ovens Valley (Northern Victoria)	1	F	25647
Ovens Valley (Northern Victoria)	1	M	24587
Pascoe Vale (Northern Metropolitan)	0	F	7728
Pascoe Vale (Northern Metropolitan)	0	M	8313
Pascoe Vale (Northern Metropolitan)	1	F	30203
Pascoe Vale (Northern Metropolitan)	1	M	28281
Polwarth (Western Victoria)	0	F	3099
Polwarth (Western Victoria)	0	M	3147
Polwarth (Western Victoria)	1	F	26754
Polwarth (Western Victoria)	1	M	26971
Prahran (Southern Metropolitan)	0	F	12007
Prahran (Southern Metropolitan)	0	M	11008
Prahran (Southern Metropolitan)	1	F	25980
Prahran (Southern Metropolitan)	1	M	24274
Preston (Northern Metropolitan)	0	F	8506
Preston (Northern Metropolitan)	0	M	8644
Preston (Northern Metropolitan)	1	F	26281
Preston (Northern Metropolitan)	1	M	24720
Richmond (Northern Metropolitan)	0	F	8846
Richmond (Northern Metropolitan)	0	M	8373
Richmond (Northern Metropolitan)	1	F	28362
Richmond (Northern Metropolitan)	1	M	26969
Ringwood (Eastern Metropolitan)	0	F	6032
Ringwood (Eastern Metropolitan)	0	M	5595
Ringwood (Eastern Metropolitan)	1	F	25847
Ringwood (Eastern Metropolitan)	1	M	24601
Ripon (Western Victoria)	0	F	3256
Ripon (Western Victoria)	0	M	4186
Ripon (Western Victoria)	1	F	27591
Ripon (Western Victoria)	1	M	27514
Rowville (South-Eastern Metropolitan)	0	F	3717
Rowville (South-Eastern Metropolitan)	0	M	3443
Rowville (South-Eastern Metropolitan)	1	F	24205
Rowville (South-Eastern Metropolitan)	1	M	23860
Sandringham (Southern Metropolitan)	0	F	4451
Sandringham (Southern Metropolitan)	0	M	4098
Sandringham (Southern Metropolitan)	1	F	26253
Sandringham (Southern Metropolitan)	1	M	23793
Shepparton (Northern Victoria)	0	F	5109
Shepparton (Northern Victoria)	0	M	5171
Shepparton (Northern Victoria)	1	F	29870
Shepparton (Northern Victoria)	1	M	29010
South Barwon (Western Victoria)	0	F	3807
South Barwon (Western Victoria)	0	M	4003
South Barwon (Western Victoria)	1	F	31701
South Barwon (Western Victoria)	1	M	29897
South-West Coast (Western Victoria)	0	F	3541
South-West Coast (Western Victoria)	0	M	3494
South-West Coast (Western Victoria)	1	F	28554
South-West Coast (Western Victoria)	1	M	27119
St Albans (Western Metropolitan)	0	F	9743
St Albans (Western Metropolitan)	0	M	11073
St Albans (Western Metropolitan)	1	F	27451
St Albans (Western Metropolitan)	1	M	26954
Sunbury (Western Metropolitan)	0	F	3798
Sunbury (Western Metropolitan)	0	M	3708
Sunbury (Western Metropolitan)	1	F	27130
Sunbury (Western Metropolitan)	1	M	25931
Sydenham (Western Metropolitan)	0	F	5836
Sydenham (Western Metropolitan)	0	M	5482
Sydenham (Western Metropolitan)	1	F	32395
Sydenham (Western Metropolitan)	1	M	31735
Tarneit (Western Metropolitan)	0	F	13570
Tarneit (Western Metropolitan)	0	M	13810
Tarneit (Western Metropolitan)	1	F	34074
Tarneit (Western Metropolitan)	1	M	35149
Thomastown (Northern Metropolitan)	0	F	7705
Thomastown (Northern Metropolitan)	0	M	7762
Thomastown (Northern Metropolitan)	1	F	26682
Thomastown (Northern Metropolitan)	1	M	26484
Warrandyte (Eastern Metropolitan)	0	F	5051
Warrandyte (Eastern Metropolitan)	0	M	4624
Warrandyte (Eastern Metropolitan)	1	F	25748
Warrandyte (Eastern Metropolitan)	1	M	24856
Wendouree (Western Victoria)	0	F	3040
Wendouree (Western Victoria)	0	M	2808
Wendouree (Western Victoria)	1	F	26912
Wendouree (Western Victoria)	1	M	24540
Werribee (Western Metropolitan)	0	F	7579
Werribee (Western Metropolitan)	0	M	7188
Werribee (Western Metropolitan)	1	F	28177
Werribee (Western Metropolitan)	1	M	27623
Williamstown (Western Metropolitan)	0	F	5642
Williamstown (Western Metropolitan)	0	M	5678
Williamstown (Western Metropolitan)	1	F	30594
Williamstown (Western Metropolitan)	1	M	29151
Yan Yean (Northern Victoria)	0	F	5062
Yan Yean (Northern Victoria)	0	M	4754
Yan Yean (Northern Victoria)	1	F	35455
Yan Yean (Northern Victoria)	1	M	34609
Yuroke (Northern Metropolitan)	0	F	9095
Yuroke (Northern Metropolitan)	0	M	9059
Yuroke (Northern Metropolitan)	1	F	35535
Yuroke (Northern Metropolitan)	1	M	35475
No usual address (Vic.)	0	F	1341
No usual address (Vic.)	0	M	1877
No usual address (Vic.)	1	F	1897
No usual address (Vic.)	1	M	2454
Migratory - Offshore - Shipping (Vic.)	0	M	3
Migratory - Offshore - Shipping (Vic.)	1	F	4
Migratory - Offshore - Shipping (Vic.)	1	M	25
Albert	0	F	7331
Albert	0	M	7109
Albert	1	F	28220
Albert	1	M	27223
Algester	0	F	5608
Algester	0	M	5386
Algester	1	F	22026
Algester	1	M	21293
Ashgrove	0	F	2784
Ashgrove	0	M	2698
Ashgrove	1	F	20666
Ashgrove	1	M	20413
Aspley	0	F	3031
Aspley	0	M	2871
Aspley	1	F	20039
Aspley	1	M	18548
Barron River	0	F	5520
Barron River	0	M	4985
Barron River	1	F	25481
Barron River	1	M	24972
Beaudesert	0	F	3969
Beaudesert	0	M	4107
Beaudesert	1	F	25366
Beaudesert	1	M	24632
Brisbane Central	0	F	11533
Brisbane Central	0	M	11929
Brisbane Central	1	F	18954
Brisbane Central	1	M	20096
Broadwater	0	F	6149
Broadwater	0	M	5511
Broadwater	1	F	21020
Broadwater	1	M	18923
Buderim	0	F	3625
Buderim	0	M	3447
Buderim	1	F	22625
Buderim	1	M	20257
Bulimba	0	F	4509
Bulimba	0	M	4457
Bulimba	1	F	22369
Bulimba	1	M	21010
