SED_NAME16	MaxSchoolingCompleted	Sex	persons
Dubbo	Year 9	M	2685
Dubbo	Year 10	F	8904
Dubbo	Year 10	M	9538
Dubbo	Year 11	F	2229
Dubbo	Year 11	M	2040
Dubbo	Year 12	F	12179
Dubbo	Year 12	M	9528
East Hills	Did not go to school	F	578
East Hills	Did not go to school	M	403
East Hills	Year 8	F	1818
East Hills	Year 8	M	1541
East Hills	Year 9	F	2107
East Hills	Year 9	M	1815
East Hills	Year 10	F	6870
East Hills	Year 10	M	6791
East Hills	Year 11	F	1545
East Hills	Year 11	M	1721
East Hills	Year 12	F	16950
East Hills	Year 12	M	15688
Epping	Did not go to school	F	239
Epping	Did not go to school	M	158
Epping	Year 8	F	693
Epping	Year 8	M	490
Epping	Year 9	F	1325
Epping	Year 9	M	1068
Epping	Year 10	F	4229
Epping	Year 10	M	3177
Epping	Year 11	F	1450
Epping	Year 11	M	1382
Epping	Year 12	F	24448
Epping	Year 12	M	23801
Fairfield	Did not go to school	F	2770
Fairfield	Did not go to school	M	1871
Fairfield	Year 8	F	4042
Fairfield	Year 8	M	3192
Fairfield	Year 9	F	2235
Fairfield	Year 9	M	2161
Fairfield	Year 10	F	5381
Fairfield	Year 10	M	5701
Fairfield	Year 11	F	1815
Fairfield	Year 11	M	2027
Fairfield	Year 12	F	16696
Fairfield	Year 12	M	16441
Gosford	Did not go to school	F	104
Gosford	Did not go to school	M	114
Gosford	Year 8	F	1432
Gosford	Year 8	M	1289
Gosford	Year 9	F	2731
Gosford	Year 9	M	2484
Gosford	Year 10	F	9020
Gosford	Year 10	M	8377
Gosford	Year 11	F	1948
Gosford	Year 11	M	2106
Gosford	Year 12	F	13795
Gosford	Year 12	M	12463
Goulburn	Did not go to school	F	92
Goulburn	Did not go to school	M	145
Goulburn	Year 8	F	1296
Goulburn	Year 8	M	1631
Goulburn	Year 9	F	2363
Goulburn	Year 9	M	2521
Goulburn	Year 10	F	8488
Goulburn	Year 10	M	8802
Goulburn	Year 11	F	2116
Goulburn	Year 11	M	2015
Goulburn	Year 12	F	13755
Goulburn	Year 12	M	11829
Granville	Did not go to school	F	1261
Granville	Did not go to school	M	1137
Granville	Year 8	F	2305
Granville	Year 8	M	2368
Granville	Year 9	F	1630
Granville	Year 9	M	1739
Granville	Year 10	F	5447
Granville	Year 10	M	5819
Granville	Year 11	F	1595
Granville	Year 11	M	1769
Granville	Year 12	F	20502
Granville	Year 12	M	20833
Hawkesbury	Did not go to school	F	100
Hawkesbury	Did not go to school	M	124
Hawkesbury	Year 8	F	1166
Hawkesbury	Year 8	M	1386
Hawkesbury	Year 9	F	2278
Hawkesbury	Year 9	M	2492
Hawkesbury	Year 10	F	8923
Hawkesbury	Year 10	M	9920
Hawkesbury	Year 11	F	2016
Hawkesbury	Year 11	M	2139
Hawkesbury	Year 12	F	13367
Hawkesbury	Year 12	M	10809
Heathcote	Did not go to school	F	91
Heathcote	Did not go to school	M	55
Heathcote	Year 8	F	780
Heathcote	Year 8	M	699
Heathcote	Year 9	F	1892
Heathcote	Year 9	M	1635
Heathcote	Year 10	F	8029
Heathcote	Year 10	M	8151
Heathcote	Year 11	F	1608
Heathcote	Year 11	M	1978
Heathcote	Year 12	F	17240
Heathcote	Year 12	M	15540
Heffron	Did not go to school	F	551
Heffron	Did not go to school	M	383
Heffron	Year 8	F	1491
Heffron	Year 8	M	1200
Heffron	Year 9	F	1008
Heffron	Year 9	M	977
Heffron	Year 10	F	3461
Heffron	Year 10	M	3929
Heffron	Year 11	F	1496
Heffron	Year 11	M	1910
Heffron	Year 12	F	33771
Heffron	Year 12	M	34465
Holsworthy	Did not go to school	F	665
Holsworthy	Did not go to school	M	442
Holsworthy	Year 8	F	1862
Holsworthy	Year 8	M	1522
Holsworthy	Year 9	F	1785
Holsworthy	Year 9	M	1679
Holsworthy	Year 10	F	6399
Holsworthy	Year 10	M	6907
Holsworthy	Year 11	F	1826
Holsworthy	Year 11	M	2152
Holsworthy	Year 12	F	18490
Holsworthy	Year 12	M	17050
Hornsby	Did not go to school	F	218
Hornsby	Did not go to school	M	186
Hornsby	Year 8	F	738
Hornsby	Year 8	M	644
Hornsby	Year 9	F	1330
Hornsby	Year 9	M	1257
Hornsby	Year 10	F	5393
Hornsby	Year 10	M	5146
Hornsby	Year 11	F	1576
Hornsby	Year 11	M	1663
Hornsby	Year 12	F	21626
Hornsby	Year 12	M	20539
Keira	Did not go to school	F	205
Keira	Did not go to school	M	137
Keira	Year 8	F	1713
Keira	Year 8	M	1318
Keira	Year 9	F	2474
Keira	Year 9	M	2135
Keira	Year 10	F	8062
Keira	Year 10	M	7917
Keira	Year 11	F	1754
Keira	Year 11	M	2025
Keira	Year 12	F	16593
Keira	Year 12	M	15326
Kiama	Did not go to school	F	75
Kiama	Did not go to school	M	84
Kiama	Year 8	F	1186
Kiama	Year 8	M	1276
Kiama	Year 9	F	2528
Kiama	Year 9	M	2437
Kiama	Year 10	F	9046
Kiama	Year 10	M	8839
Kiama	Year 11	F	1962
Kiama	Year 11	M	2137
Kiama	Year 12	F	12336
Kiama	Year 12	M	10978
Kogarah	Did not go to school	F	941
Kogarah	Did not go to school	M	594
Kogarah	Year 8	F	2264
Kogarah	Year 8	M	1696
Kogarah	Year 9	F	1538
Kogarah	Year 9	M	1219
Kogarah	Year 10	F	4655
Kogarah	Year 10	M	4411
Kogarah	Year 11	F	1465
Kogarah	Year 11	M	1636
Kogarah	Year 12	F	26016
Kogarah	Year 12	M	25574
Ku-ring-gai	Did not go to school	F	149
Ku-ring-gai	Did not go to school	M	98
Ku-ring-gai	Year 8	F	539
Ku-ring-gai	Year 8	M	415
Ku-ring-gai	Year 9	F	1117
Ku-ring-gai	Year 9	M	953
Ku-ring-gai	Year 10	F	3645
Ku-ring-gai	Year 10	M	2521
Ku-ring-gai	Year 11	F	1559
Ku-ring-gai	Year 11	M	1291
Ku-ring-gai	Year 12	F	25065
Ku-ring-gai	Year 12	M	23264
Lake Macquarie	Did not go to school	F	88
Lake Macquarie	Did not go to school	M	93
Lake Macquarie	Year 8	F	1440
Lake Macquarie	Year 8	M	1508
Lake Macquarie	Year 9	F	3201
Lake Macquarie	Year 9	M	2911
Lake Macquarie	Year 10	F	9862
Lake Macquarie	Year 10	M	9653
Lake Macquarie	Year 11	F	2029
Lake Macquarie	Year 11	M	2226
Lake Macquarie	Year 12	F	11480
Lake Macquarie	Year 12	M	10109
Lakemba	Did not go to school	F	1478
Lakemba	Did not go to school	M	1165
Lakemba	Year 8	F	2839
Lakemba	Year 8	M	2620
Lakemba	Year 9	F	1630
Lakemba	Year 9	M	1640
Lakemba	Year 10	F	5133
Lakemba	Year 10	M	5404
Lakemba	Year 11	F	1693
Lakemba	Year 11	M	1713
Lakemba	Year 12	F	19363
Lakemba	Year 12	M	20470
Lane Cove	Did not go to school	F	215
Lane Cove	Did not go to school	M	157
Lane Cove	Year 8	F	863
Lane Cove	Year 8	M	700
Lane Cove	Year 9	F	1116
Lane Cove	Year 9	M	1085
Lane Cove	Year 10	F	4037
Lane Cove	Year 10	M	3366
Lane Cove	Year 11	F	1266
Lane Cove	Year 11	M	1541
Lane Cove	Year 12	F	24786
Lane Cove	Year 12	M	23384
Lismore	Did not go to school	F	91
Lismore	Did not go to school	M	96
Lismore	Year 8	F	1634
Lismore	Year 8	M	1875
Lismore	Year 9	F	2367
Lismore	Year 9	M	2622
Lismore	Year 10	F	9280
Lismore	Year 10	M	8969
Lismore	Year 11	F	2319
Lismore	Year 11	M	2150
Lismore	Year 12	F	12212
Lismore	Year 12	M	10546
Liverpool	Did not go to school	F	1427
Liverpool	Did not go to school	M	995
Liverpool	Year 8	F	2753
Liverpool	Year 8	M	2184
Liverpool	Year 9	F	2089
Liverpool	Year 9	M	1992
Liverpool	Year 10	F	5936
Liverpool	Year 10	M	6441
Liverpool	Year 11	F	1940
Liverpool	Year 11	M	2193
Liverpool	Year 12	F	18345
Liverpool	Year 12	M	17229
Londonderry	Did not go to school	F	369
Londonderry	Did not go to school	M	264
Londonderry	Year 8	F	2086
Londonderry	Year 8	M	2111
Londonderry	Year 9	F	2967
Londonderry	Year 9	M	2977
Londonderry	Year 10	F	9883
Londonderry	Year 10	M	10168
Londonderry	Year 11	F	2435
Londonderry	Year 11	M	2509
Londonderry	Year 12	F	14694
Londonderry	Year 12	M	13015
Macquarie Fields	Did not go to school	F	405
Macquarie Fields	Did not go to school	M	259
Macquarie Fields	Year 8	F	1575
Macquarie Fields	Year 8	M	1366
Macquarie Fields	Year 9	F	2197
Macquarie Fields	Year 9	M	2113
Macquarie Fields	Year 10	F	7724
Macquarie Fields	Year 10	M	7818
Macquarie Fields	Year 11	F	1992
Macquarie Fields	Year 11	M	2140
Macquarie Fields	Year 12	F	18110
Macquarie Fields	Year 12	M	17015
Maitland	Did not go to school	F	67
Maitland	Did not go to school	M	83
Maitland	Year 8	F	1398
Maitland	Year 8	M	1347
Maitland	Year 9	F	3092
Maitland	Year 9	M	2796
Maitland	Year 10	F	10095
Maitland	Year 10	M	10080
Maitland	Year 11	F	2286
Maitland	Year 11	M	2423
Maitland	Year 12	F	12271
Maitland	Year 12	M	10192
Manly	Did not go to school	F	78
Manly	Did not go to school	M	66
Manly	Year 8	F	505
Manly	Year 8	M	458
Manly	Year 9	F	997
Manly	Year 9	M	906
Manly	Year 10	F	4171
Manly	Year 10	M	3518
Manly	Year 11	F	1508
Manly	Year 11	M	1496
Manly	Year 12	F	23460
Manly	Year 12	M	22504
Maroubra	Did not go to school	F	370
Maroubra	Did not go to school	M	245
Maroubra	Year 8	F	1537
Maroubra	Year 8	M	1182
Maroubra	Year 9	F	1506
Maroubra	Year 9	M	1375
Maroubra	Year 10	F	5172
Maroubra	Year 10	M	4911
Maroubra	Year 11	F	1501
Maroubra	Year 11	M	1560
Maroubra	Year 12	F	21004
Maroubra	Year 12	M	19839
Miranda	Did not go to school	F	156
Miranda	Did not go to school	M	142
Miranda	Year 8	F	1158
Miranda	Year 8	M	837
Miranda	Year 9	F	1833
Miranda	Year 9	M	1519
Miranda	Year 10	F	7221
Miranda	Year 10	M	6651
Miranda	Year 11	F	1500
Miranda	Year 11	M	1752
Miranda	Year 12	F	17568
Miranda	Year 12	M	16270
Monaro	Did not go to school	F	117
Monaro	Did not go to school	M	121
Monaro	Year 8	F	1176
Monaro	Year 8	M	1311
Monaro	Year 9	F	1683
Monaro	Year 9	M	1890
Monaro	Year 10	F	6464
Monaro	Year 10	M	7082
Monaro	Year 11	F	1877
Monaro	Year 11	M	2087
Monaro	Year 12	F	16507
Monaro	Year 12	M	15359
Mount Druitt	Did not go to school	F	613
Mount Druitt	Did not go to school	M	372
Mount Druitt	Year 8	F	2067
Mount Druitt	Year 8	M	1689
Mount Druitt	Year 9	F	2281
Mount Druitt	Year 9	M	2104
Mount Druitt	Year 10	F	7068
Mount Druitt	Year 10	M	7166
Mount Druitt	Year 11	F	2195
Mount Druitt	Year 11	M	2226
Mount Druitt	Year 12	F	18248
Mount Druitt	Year 12	M	16970
Mulgoa	Did not go to school	F	441
Mulgoa	Did not go to school	M	297
Mulgoa	Year 8	F	1391
Mulgoa	Year 8	M	1329
Mulgoa	Year 9	F	1850
Mulgoa	Year 9	M	1978
Mulgoa	Year 10	F	8086
Mulgoa	Year 10	M	8883
Mulgoa	Year 11	F	1959
Mulgoa	Year 11	M	2232
Mulgoa	Year 12	F	16626
Mulgoa	Year 12	M	14735
Murray	Did not go to school	F	217
Murray	Did not go to school	M	267
Murray	Year 8	F	2324
Murray	Year 8	M	2943
Murray	Year 9	F	2929
Murray	Year 9	M	3375
Murray	Year 10	F	8565
Murray	Year 10	M	9829
Murray	Year 11	F	3495
Murray	Year 11	M	3480
Murray	Year 12	F	11699
Murray	Year 12	M	9283
Myall Lakes	Did not go to school	F	79
Myall Lakes	Did not go to school	M	87
Myall Lakes	Year 8	F	1914
Myall Lakes	Year 8	M	2174
Myall Lakes	Year 9	F	3591
Myall Lakes	Year 9	M	3353
Myall Lakes	Year 10	F	10712
Myall Lakes	Year 10	M	9834
Myall Lakes	Year 11	F	2022
Myall Lakes	Year 11	M	2023
Myall Lakes	Year 12	F	9411
Myall Lakes	Year 12	M	8167
Newcastle	Did not go to school	F	147
Newcastle	Did not go to school	M	118
Newcastle	Year 8	F	1187
Newcastle	Year 8	M	1066
Newcastle	Year 9	F	2028
Newcastle	Year 9	M	1861
Newcastle	Year 10	F	6703
Newcastle	Year 10	M	6883
Newcastle	Year 11	F	1615
Newcastle	Year 11	M	1818
Newcastle	Year 12	F	16657
Newcastle	Year 12	M	15712
Newtown	Did not go to school	F	376
Newtown	Did not go to school	M	265
Newtown	Year 8	F	942
Newtown	Year 8	M	823
Newtown	Year 9	F	622
Newtown	Year 9	M	773
Newtown	Year 10	F	2240
Newtown	Year 10	M	2919
Newtown	Year 11	F	1033
Newtown	Year 11	M	1366
Newtown	Year 12	F	28357
Newtown	Year 12	M	27890
North Shore	Did not go to school	F	71
North Shore	Did not go to school	M	56
North Shore	Year 8	F	296
North Shore	Year 8	M	261
North Shore	Year 9	F	643
North Shore	Year 9	M	506
North Shore	Year 10	F	2839
North Shore	Year 10	M	1726
North Shore	Year 11	F	1359
North Shore	Year 11	M	1038
North Shore	Year 12	F	27467
North Shore	Year 12	M	24579
Northern Tablelands	Did not go to school	F	100
Northern Tablelands	Did not go to school	M	133
Northern Tablelands	Year 8	F	1799
Northern Tablelands	Year 8	M	2365
Northern Tablelands	Year 9	F	2600
Northern Tablelands	Year 9	M	2906
Northern Tablelands	Year 10	F	8513
Northern Tablelands	Year 10	M	8760
Northern Tablelands	Year 11	F	2137
Northern Tablelands	Year 11	M	1943
Northern Tablelands	Year 12	F	13854
Northern Tablelands	Year 12	M	11275
Oatley	Did not go to school	F	393
Oatley	Did not go to school	M	271
Oatley	Year 8	F	1501
Oatley	Year 8	M	1131
Oatley	Year 9	F	1732
Oatley	Year 9	M	1458
Oatley	Year 10	F	5782
Oatley	Year 10	M	4895
Oatley	Year 11	F	1458
Oatley	Year 11	M	1599
Oatley	Year 12	F	19935
Oatley	Year 12	M	19084
Orange	Did not go to school	F	105
Orange	Did not go to school	M	127
Orange	Year 8	F	1694
Orange	Year 8	M	2062
Orange	Year 9	F	2661
Orange	Year 9	M	2754
Orange	Year 10	F	9073
Orange	Year 10	M	9453
Orange	Year 11	F	2246
Orange	Year 11	M	2024
Orange	Year 12	F	12767
Orange	Year 12	M	10325
Oxley	Did not go to school	F	75
Oxley	Did not go to school	M	99
Oxley	Year 8	F	1908
Oxley	Year 8	M	2183
Oxley	Year 9	F	3226
Oxley	Year 9	M	3338
Oxley	Year 10	F	9774
Oxley	Year 10	M	9550
Oxley	Year 11	F	2091
Oxley	Year 11	M	2119
Oxley	Year 12	F	10095
Oxley	Year 12	M	8303
Parramatta	Did not go to school	F	720
Parramatta	Did not go to school	M	637
Parramatta	Year 8	F	1384
Parramatta	Year 8	M	1177
Parramatta	Year 9	F	1496
Parramatta	Year 9	M	1447
Parramatta	Year 10	F	4998
Parramatta	Year 10	M	4919
Parramatta	Year 11	F	1548
Parramatta	Year 11	M	1724
Parramatta	Year 12	F	28392
Parramatta	Year 12	M	28687
Penrith	Did not go to school	F	134
Penrith	Did not go to school	M	124
Penrith	Year 8	F	1469
Penrith	Year 8	M	1245
Penrith	Year 9	F	2492
Penrith	Year 9	M	2346
Penrith	Year 10	F	9085
Penrith	Year 10	M	8918
Penrith	Year 11	F	2045
Penrith	Year 11	M	2206
Penrith	Year 12	F	14794
Penrith	Year 12	M	13160
Pittwater	Did not go to school	F	51
Pittwater	Did not go to school	M	48
Pittwater	Year 8	F	594
Pittwater	Year 8	M	544
Pittwater	Year 9	F	1317
Pittwater	Year 9	M	1173
Pittwater	Year 10	F	5956
Pittwater	Year 10	M	5268
Pittwater	Year 11	F	1766
Pittwater	Year 11	M	1706
Pittwater	Year 12	F	18538
Pittwater	Year 12	M	17523
Port Macquarie	Did not go to school	F	66
Port Macquarie	Did not go to school	M	74
Port Macquarie	Year 8	F	1551
Port Macquarie	Year 8	M	1588
Port Macquarie	Year 9	F	3031
Port Macquarie	Year 9	M	2985
Port Macquarie	Year 10	F	10290
Port Macquarie	Year 10	M	9113
Port Macquarie	Year 11	F	2314
Port Macquarie	Year 11	M	2277
Port Macquarie	Year 12	F	11872
Port Macquarie	Year 12	M	10433
Port Stephens	Did not go to school	F	79
Port Stephens	Did not go to school	M	110
Port Stephens	Year 8	F	1272
Port Stephens	Year 8	M	1384
Port Stephens	Year 9	F	3111
Port Stephens	Year 9	M	2871
Port Stephens	Year 10	F	9889
Port Stephens	Year 10	M	9788
Port Stephens	Year 11	F	2134
Port Stephens	Year 11	M	2308
Port Stephens	Year 12	F	10545
Port Stephens	Year 12	M	9500
Prospect	Did not go to school	F	1050
Prospect	Did not go to school	M	638
Prospect	Year 8	F	2693
Prospect	Year 8	M	2196
Prospect	Year 9	F	1799
Prospect	Year 9	M	1889
Prospect	Year 10	F	6280
Prospect	Year 10	M	6458
Prospect	Year 11	F	1479
Prospect	Year 11	M	1802
Prospect	Year 12	F	17501
Prospect	Year 12	M	17145
Riverstone	Did not go to school	F	303
Riverstone	Did not go to school	M	178
Riverstone	Year 8	F	1071
Riverstone	Year 8	M	913
Riverstone	Year 9	F	1391
Riverstone	Year 9	M	1462
Riverstone	Year 10	F	5849
Riverstone	Year 10	M	5938
Riverstone	Year 11	F	1687
Riverstone	Year 11	M	1847
Riverstone	Year 12	F	22201
Riverstone	Year 12	M	20786
Rockdale	Did not go to school	F	652
Rockdale	Did not go to school	M	426
Rockdale	Year 8	F	2178
Rockdale	Year 8	M	1674
Rockdale	Year 9	F	1403
Rockdale	Year 9	M	1288
Rockdale	Year 10	F	5301
Rockdale	Year 10	M	5166
Rockdale	Year 11	F	1510
Rockdale	Year 11	M	1746
Rockdale	Year 12	F	22810
Rockdale	Year 12	M	22429
Ryde	Did not go to school	F	512
