SED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Granville	1	F	13909
Granville	1	M	14375
Hawkesbury	0	F	2583
Hawkesbury	0	M	2414
Hawkesbury	1	F	32542
Hawkesbury	1	M	32105
Heathcote	0	F	3904
Heathcote	0	M	3286
Heathcote	1	F	33655
Heathcote	1	M	32837
Heffron	0	F	24086
Heffron	0	M	22649
Heffron	1	F	23566
Heffron	1	M	26143
Holsworthy	0	F	19449
Holsworthy	0	M	18110
Holsworthy	1	F	21140
Holsworthy	1	M	21475
Hornsby	0	F	10958
Hornsby	0	M	9727
Hornsby	1	F	27794
Hornsby	1	M	27960
Keira	0	F	5386
Keira	0	M	4964
Keira	1	F	33044
Keira	1	M	31814
Kiama	0	F	1663
Kiama	0	M	1427
Kiama	1	F	32237
Kiama	1	M	31145
Kogarah	0	F	31286
Kogarah	0	M	29549
Kogarah	1	F	13128
Kogarah	1	M	13660
Ku-ring-gai	0	F	13107
Ku-ring-gai	0	M	11170
Ku-ring-gai	1	F	27076
Ku-ring-gai	1	M	25726
Lake Macquarie	0	F	1537
Lake Macquarie	0	M	1323
Lake Macquarie	1	F	33050
Lake Macquarie	1	M	31885
Lakemba	0	F	32155
Lakemba	0	M	33026
Lakemba	1	F	10055
Lakemba	1	M	10637
Lane Cove	0	F	12451
Lane Cove	0	M	10589
Lane Cove	1	F	27397
Lane Cove	1	M	27458
Lismore	0	F	1600
Lismore	0	M	1351
Lismore	1	F	32992
Lismore	1	M	31722
Liverpool	0	F	27355
Liverpool	0	M	25953
Liverpool	1	F	14949
Liverpool	1	M	15510
Londonderry	0	F	10468
Londonderry	0	M	9783
Londonderry	1	F	32256
Londonderry	1	M	31910
Macquarie Fields	0	F	17261
Macquarie Fields	0	M	16347
Macquarie Fields	1	F	23926
Macquarie Fields	1	M	23978
Maitland	0	F	1645
Maitland	0	M	1409
Maitland	1	F	35937
Maitland	1	M	34322
Manly	0	F	6434
Manly	0	M	5442
Manly	1	F	32060
Manly	1	M	31473
Maroubra	0	F	14462
Maroubra	0	M	12841
Maroubra	1	F	23802
Maroubra	1	M	23763
Miranda	0	F	7596
Miranda	0	M	6851
Miranda	1	F	29092
Miranda	1	M	27762
Monaro	0	F	4021
Monaro	0	M	3836
Monaro	1	F	30780
Monaro	1	M	31559
Mount Druitt	0	F	20440
Mount Druitt	0	M	19019
Mount Druitt	1	F	22181
Mount Druitt	1	M	22204
Mulgoa	0	F	11733
Mulgoa	0	M	11245
Mulgoa	1	F	27406
Mulgoa	1	M	27246
Murray	0	F	3809
Murray	0	M	3902
Murray	1	F	33722
Murray	1	M	33726
Myall Lakes	0	F	1047
Myall Lakes	0	M	902
Myall Lakes	1	F	32962
Myall Lakes	1	M	31134
Newcastle	0	F	2899
Newcastle	0	M	2629
Newcastle	1	F	30863
Newcastle	1	M	30572
Newtown	0	F	12160
Newtown	0	M	10479
Newtown	1	F	25200
Newtown	1	M	27490
North Shore	0	F	8773
North Shore	0	M	7004
North Shore	1	F	29102
North Shore	1	M	26434
Northern Tablelands	0	F	1883
Northern Tablelands	0	M	1782
Northern Tablelands	1	F	35005
Northern Tablelands	1	M	33552
Oatley	0	F	16679
Oatley	0	M	14949
Oatley	1	F	21077
Oatley	1	M	20614
Orange	0	F	1719
Orange	0	M	1575
Orange	1	F	35146
Orange	1	M	33902
Oxley	0	F	972
Oxley	0	M	746
Oxley	1	F	33121
Oxley	1	M	31833
Parramatta	0	F	28917
Parramatta	0	M	28409
Parramatta	1	F	18768
Parramatta	1	M	19833
Penrith	0	F	4975
Penrith	0	M	4323
Penrith	1	F	33153
Penrith	1	M	31974
Pittwater	0	F	3488
Pittwater	0	M	2855
Pittwater	1	F	31649
Pittwater	1	M	30420
Port Macquarie	0	F	1242
Port Macquarie	0	M	1063
Port Macquarie	1	F	34433
Port Macquarie	1	M	31932
Port Stephens	0	F	1288
Port Stephens	0	M	1171
Port Stephens	1	F	32283
Port Stephens	1	M	31560
Prospect	0	F	22486
Prospect	0	M	21692
Prospect	1	F	16784
Prospect	1	M	17099
Riverstone	0	F	17713
Riverstone	0	M	16951
Riverstone	1	F	25534
Riverstone	1	M	25478
Rockdale	0	F	23819
Rockdale	0	M	22666
Rockdale	1	F	17122
Rockdale	1	M	17268
Ryde	0	F	26176
Ryde	0	M	23716
Ryde	1	F	19490
Ryde	1	M	19744
Seven Hills	0	F	16719
Seven Hills	0	M	16423
Seven Hills	1	F	23883
Seven Hills	1	M	23270
Shellharbour	0	F	4580
Shellharbour	0	M	4086
Shellharbour	1	F	35088
Shellharbour	1	M	33724
South Coast	0	F	1594
South Coast	0	M	1377
South Coast	1	F	31441
South Coast	1	M	30302
Strathfield	0	F	29854
Strathfield	0	M	27898
Strathfield	1	F	15043
Strathfield	1	M	15713
Summer Hill	0	F	16925
Summer Hill	0	M	15437
Summer Hill	1	F	21943
Summer Hill	1	M	21670
Swansea	0	F	1219
Swansea	0	M	1022
Swansea	1	F	33347
Swansea	1	M	32402
Sydney	0	F	17401
Sydney	0	M	16331
Sydney	1	F	23126
Sydney	1	M	27332
Tamworth	0	F	1227
Tamworth	0	M	1339
Tamworth	1	F	35057
Tamworth	1	M	33418
Terrigal	0	F	2075
Terrigal	0	M	1687
Terrigal	1	F	33969
Terrigal	1	M	32003
The Entrance	0	F	2033
The Entrance	0	M	1722
The Entrance	1	F	33595
The Entrance	1	M	31462
Tweed	0	F	1841
Tweed	0	M	1443
Tweed	1	F	35014
Tweed	1	M	32718
Upper Hunter	0	F	1018
Upper Hunter	0	M	950
Upper Hunter	1	F	33688
Upper Hunter	1	M	34075
Vaucluse	0	F	8260
Vaucluse	0	M	6886
Vaucluse	1	F	29666
Vaucluse	1	M	27588
Wagga Wagga	0	F	2227
Wagga Wagga	0	M	2361
Wagga Wagga	1	F	34365
Wagga Wagga	1	M	32757
Wakehurst	0	F	8795
Wakehurst	0	M	7749
Wakehurst	1	F	29824
Wakehurst	1	M	29221
Wallsend	0	F	4837
Wallsend	0	M	4619
Wallsend	1	F	34448
Wallsend	1	M	33306
Willoughby	0	F	16296
Willoughby	0	M	13210
Willoughby	1	F	25998
Willoughby	1	M	25120
Wollondilly	0	F	2271
Wollondilly	0	M	2068
Wollondilly	1	F	33733
Wollondilly	1	M	32377
Wollongong	0	F	10516
Wollongong	0	M	10228
Wollongong	1	F	28399
Wollongong	1	M	28508
Wyong	0	F	2311
Wyong	0	M	2022
Wyong	1	F	34902
Wyong	1	M	33039
No usual address (NSW)	0	F	821
No usual address (NSW)	0	M	997
No usual address (NSW)	1	F	3038
No usual address (NSW)	1	M	4175
Migratory - Offshore - Shipping (NSW)	0	F	55
Migratory - Offshore - Shipping (NSW)	0	M	36
Migratory - Offshore - Shipping (NSW)	1	F	154
Migratory - Offshore - Shipping (NSW)	1	M	119
Albert Park (Southern Metropolitan)	0	F	10670
Albert Park (Southern Metropolitan)	0	M	9315
Albert Park (Southern Metropolitan)	1	F	23590
Albert Park (Southern Metropolitan)	1	M	23952
Altona (Western Metropolitan)	0	F	18389
Altona (Western Metropolitan)	0	M	17358
Altona (Western Metropolitan)	1	F	25475
Altona (Western Metropolitan)	1	M	25909
Bass (Eastern Victoria)	0	F	4316
Bass (Eastern Victoria)	0	M	4037
Bass (Eastern Victoria)	1	F	30697
Bass (Eastern Victoria)	1	M	29032
Bayswater (Eastern Metropolitan)	0	F	5848
Bayswater (Eastern Metropolitan)	0	M	5243
Bayswater (Eastern Metropolitan)	1	F	24408
Bayswater (Eastern Metropolitan)	1	M	23589
Bellarine (Western Victoria)	0	F	1400
Bellarine (Western Victoria)	0	M	1207
Bellarine (Western Victoria)	1	F	27627
Bellarine (Western Victoria)	1	M	25754
Benambra (Northern Victoria)	0	F	1606
Benambra (Northern Victoria)	0	M	1420
Benambra (Northern Victoria)	1	F	28993
Benambra (Northern Victoria)	1	M	28065
Bendigo East (Northern Victoria)	0	F	1491
Bendigo East (Northern Victoria)	0	M	1324
Bendigo East (Northern Victoria)	1	F	29533
Bendigo East (Northern Victoria)	1	M	27706
Bendigo West (Northern Victoria)	0	F	1424
Bendigo West (Northern Victoria)	0	M	1273
Bendigo West (Northern Victoria)	1	F	26997
Bendigo West (Northern Victoria)	1	M	25371
Bentleigh (Southern Metropolitan)	0	F	9616
Bentleigh (Southern Metropolitan)	0	M	8606
Bentleigh (Southern Metropolitan)	1	F	20491
Bentleigh (Southern Metropolitan)	1	M	19677
Box Hill (Eastern Metropolitan)	0	F	13116
Box Hill (Eastern Metropolitan)	0	M	11526
Box Hill (Eastern Metropolitan)	1	F	21433
Box Hill (Eastern Metropolitan)	1	M	20406
Brighton (Southern Metropolitan)	0	F	5376
Brighton (Southern Metropolitan)	0	M	4402
Brighton (Southern Metropolitan)	1	F	25470
Brighton (Southern Metropolitan)	1	M	23384
Broadmeadows (Northern Metropolitan)	0	F	22960
Broadmeadows (Northern Metropolitan)	0	M	23035
Broadmeadows (Northern Metropolitan)	1	F	10386
Broadmeadows (Northern Metropolitan)	1	M	10653
Brunswick (Northern Metropolitan)	0	F	11215
Brunswick (Northern Metropolitan)	0	M	10097
Brunswick (Northern Metropolitan)	1	F	23403
Brunswick (Northern Metropolitan)	1	M	21965
Bulleen (Eastern Metropolitan)	0	F	15642
Bulleen (Eastern Metropolitan)	0	M	13878
Bulleen (Eastern Metropolitan)	1	F	15003
Bulleen (Eastern Metropolitan)	1	M	14636
Bundoora (Northern Metropolitan)	0	F	10970
Bundoora (Northern Metropolitan)	0	M	10554
Bundoora (Northern Metropolitan)	1	F	18946
Bundoora (Northern Metropolitan)	1	M	18344
Buninyong (Western Victoria)	0	F	1327
Buninyong (Western Victoria)	0	M	1262
Buninyong (Western Victoria)	1	F	26797
Buninyong (Western Victoria)	1	M	25865
Burwood (Southern Metropolitan)	0	F	11533
Burwood (Southern Metropolitan)	0	M	10151
Burwood (Southern Metropolitan)	1	F	21574
Burwood (Southern Metropolitan)	1	M	20247
Carrum (South-Eastern Metropolitan)	0	F	5098
Carrum (South-Eastern Metropolitan)	0	M	4459
Carrum (South-Eastern Metropolitan)	1	F	27386
Carrum (South-Eastern Metropolitan)	1	M	26519
Caulfield (Southern Metropolitan)	0	F	9605
Caulfield (Southern Metropolitan)	0	M	8762
Caulfield (Southern Metropolitan)	1	F	22331
Caulfield (Southern Metropolitan)	1	M	21073
Clarinda (South-Eastern Metropolitan)	0	F	21297
Clarinda (South-Eastern Metropolitan)	0	M	20878
Clarinda (South-Eastern Metropolitan)	1	F	13849
Clarinda (South-Eastern Metropolitan)	1	M	14279
Cranbourne (South-Eastern Metropolitan)	0	F	17113
Cranbourne (South-Eastern Metropolitan)	0	M	16656
Cranbourne (South-Eastern Metropolitan)	1	F	29183
Cranbourne (South-Eastern Metropolitan)	1	M	28782
Croydon (Eastern Metropolitan)	0	F	4511
Croydon (Eastern Metropolitan)	0	M	4035
Croydon (Eastern Metropolitan)	1	F	24931
Croydon (Eastern Metropolitan)	1	M	22902
Dandenong (South-Eastern Metropolitan)	0	F	21327
Dandenong (South-Eastern Metropolitan)	0	M	23774
Dandenong (South-Eastern Metropolitan)	1	F	12009
Dandenong (South-Eastern Metropolitan)	1	M	12546
Eildon (Northern Victoria)	0	F	1140
Eildon (Northern Victoria)	0	M	1025
Eildon (Northern Victoria)	1	F	25951
Eildon (Northern Victoria)	1	M	25855
Eltham (Eastern Metropolitan)	0	F	3569
Eltham (Eastern Metropolitan)	0	M	3095
Eltham (Eastern Metropolitan)	1	F	25752
Eltham (Eastern Metropolitan)	1	M	24664
Essendon (Western Metropolitan)	0	F	9665
Essendon (Western Metropolitan)	0	M	8348
Essendon (Western Metropolitan)	1	F	22759
Essendon (Western Metropolitan)	1	M	21878
Euroa (Northern Victoria)	0	F	1309
Euroa (Northern Victoria)	0	M	1266
Euroa (Northern Victoria)	1	F	28111
Euroa (Northern Victoria)	1	M	28120
Evelyn (Eastern Victoria)	0	F	2480
Evelyn (Eastern Victoria)	0	M	2237
Evelyn (Eastern Victoria)	1	F	25382
Evelyn (Eastern Victoria)	1	M	24715
Ferntree Gully (Eastern Metropolitan)	0	F	8612
Ferntree Gully (Eastern Metropolitan)	0	M	7699
Ferntree Gully (Eastern Metropolitan)	1	F	19954
Ferntree Gully (Eastern Metropolitan)	1	M	19247
Footscray (Western Metropolitan)	0	F	21604
Footscray (Western Metropolitan)	0	M	21747
Footscray (Western Metropolitan)	1	F	15733
Footscray (Western Metropolitan)	1	M	16576
Forest Hill (Eastern Metropolitan)	0	F	12552
Forest Hill (Eastern Metropolitan)	0	M	11351
Forest Hill (Eastern Metropolitan)	1	F	17228
Forest Hill (Eastern Metropolitan)	1	M	16510
Frankston (South-Eastern Metropolitan)	0	F	3679
Frankston (South-Eastern Metropolitan)	0	M	3221
Frankston (South-Eastern Metropolitan)	1	F	25717
Frankston (South-Eastern Metropolitan)	1	M	24356
Geelong (Western Victoria)	0	F	3084
Geelong (Western Victoria)	0	M	2994
Geelong (Western Victoria)	1	F	27855
Geelong (Western Victoria)	1	M	25220
Gembrook (Eastern Victoria)	0	F	4137
Gembrook (Eastern Victoria)	0	M	3732
Gembrook (Eastern Victoria)	1	F	28895
Gembrook (Eastern Victoria)	1	M	28168
Gippsland East (Eastern Victoria)	0	F	1031
Gippsland East (Eastern Victoria)	0	M	903
Gippsland East (Eastern Victoria)	1	F	26605
Gippsland East (Eastern Victoria)	1	M	25815
Gippsland South (Eastern Victoria)	0	F	1198
Gippsland South (Eastern Victoria)	0	M	1039
Gippsland South (Eastern Victoria)	1	F	25068
Gippsland South (Eastern Victoria)	1	M	24426
Hastings (Eastern Victoria)	0	F	1587
Hastings (Eastern Victoria)	0	M	1459
Hastings (Eastern Victoria)	1	F	31127
Hastings (Eastern Victoria)	1	M	30451
Hawthorn (Southern Metropolitan)	0	F	8119
Hawthorn (Southern Metropolitan)	0	M	7258
Hawthorn (Southern Metropolitan)	1	F	24176
Hawthorn (Southern Metropolitan)	1	M	22496
Ivanhoe (Eastern Metropolitan)	0	F	8699
Ivanhoe (Eastern Metropolitan)	0	M	7726
Ivanhoe (Eastern Metropolitan)	1	F	22558
Ivanhoe (Eastern Metropolitan)	1	M	21680
Kew (Southern Metropolitan)	0	F	11332
Kew (Southern Metropolitan)	0	M	9661
Kew (Southern Metropolitan)	1	F	19962
Kew (Southern Metropolitan)	1	M	19192
Keysborough (South-Eastern Metropolitan)	0	F	20509
Keysborough (South-Eastern Metropolitan)	0	M	19420
Keysborough (South-Eastern Metropolitan)	1	F	13375
Keysborough (South-Eastern Metropolitan)	1	M	13893
Kororoit (Western Metropolitan)	0	F	23482
Kororoit (Western Metropolitan)	0	M	22426
Kororoit (Western Metropolitan)	1	F	15712
Kororoit (Western Metropolitan)	1	M	16126
Lara (Western Victoria)	0	F	5944
Lara (Western Victoria)	0	M	5495
Lara (Western Victoria)	1	F	24928
Lara (Western Victoria)	1	M	23677
Lowan (Western Victoria)	0	F	963
Lowan (Western Victoria)	0	M	869
Lowan (Western Victoria)	1	F	25805
Lowan (Western Victoria)	1	M	25250
Macedon (Northern Victoria)	0	F	1420
Macedon (Northern Victoria)	0	M	1330
Macedon (Northern Victoria)	1	F	25906
Macedon (Northern Victoria)	1	M	25072
Malvern (Southern Metropolitan)	0	F	7145
Malvern (Southern Metropolitan)	0	M	5980
Malvern (Southern Metropolitan)	1	F	22185
Malvern (Southern Metropolitan)	1	M	20363
Melbourne (Northern Metropolitan)	0	F	30143
Melbourne (Northern Metropolitan)	0	M	25566
Melbourne (Northern Metropolitan)	1	F	23392
Melbourne (Northern Metropolitan)	1	M	23876
Melton (Western Victoria)	0	F	6755
Melton (Western Victoria)	0	M	6310
Melton (Western Victoria)	1	F	30798
Melton (Western Victoria)	1	M	29699
Mildura (Northern Victoria)	0	F	3194
Mildura (Northern Victoria)	0	M	3155
Mildura (Northern Victoria)	1	F	26071
Mildura (Northern Victoria)	1	M	25311
Mill Park (Northern Metropolitan)	0	F	14486
Mill Park (Northern Metropolitan)	0	M	13962
Mill Park (Northern Metropolitan)	1	F	18849
Mill Park (Northern Metropolitan)	1	M	18426
Monbulk (Eastern Victoria)	0	F	2036
Monbulk (Eastern Victoria)	0	M	1757
Monbulk (Eastern Victoria)	1	F	25290
Monbulk (Eastern Victoria)	1	M	25329
Mordialloc (South-Eastern Metropolitan)	0	F	5516
Mordialloc (South-Eastern Metropolitan)	0	M	4910
Mordialloc (South-Eastern Metropolitan)	1	F	25479
Mordialloc (South-Eastern Metropolitan)	1	M	23986
Mornington (Eastern Victoria)	0	F	1914
Mornington (Eastern Victoria)	0	M	1558
Mornington (Eastern Victoria)	1	F	28760
Mornington (Eastern Victoria)	1	M	26490
Morwell (Eastern Victoria)	0	F	2211
Morwell (Eastern Victoria)	0	M	2003
Morwell (Eastern Victoria)	1	F	28169
Morwell (Eastern Victoria)	1	M	27029
Mount Waverley (Eastern Metropolitan)	0	F	16449
Mount Waverley (Eastern Metropolitan)	0	M	15196
Mount Waverley (Eastern Metropolitan)	1	F	14137
Mount Waverley (Eastern Metropolitan)	1	M	14058
Mulgrave (South-Eastern Metropolitan)	0	F	16641
Mulgrave (South-Eastern Metropolitan)	0	M	15982
Mulgrave (South-Eastern Metropolitan)	1	F	13324
Mulgrave (South-Eastern Metropolitan)	1	M	13573
Murray Plains (Northern Victoria)	0	F	1293
Murray Plains (Northern Victoria)	0	M	1317
Murray Plains (Northern Victoria)	1	F	27623
Murray Plains (Northern Victoria)	1	M	26936
Narracan (Eastern Victoria)	0	F	1502
Narracan (Eastern Victoria)	0	M	1314
Narracan (Eastern Victoria)	1	F	30270
Narracan (Eastern Victoria)	1	M	28878
Narre Warren North (South-Eastern Metrop	0	F	13453
Narre Warren North (South-Eastern Metrop	0	M	13154
Narre Warren North (South-Eastern Metrop	1	F	18479
Narre Warren North (South-Eastern Metrop	1	M	18413
Narre Warren South (South-Eastern Metrop	0	F	15924
Narre Warren South (South-Eastern Metrop	0	M	15601
Narre Warren South (South-Eastern Metrop	1	F	23420
Narre Warren South (South-Eastern Metrop	1	M	23770
Nepean (Eastern Victoria)	0	F	1894
Nepean (Eastern Victoria)	0	M	1783
Nepean (Eastern Victoria)	1	F	26553
Nepean (Eastern Victoria)	1	M	24791
Niddrie (Western Metropolitan)	0	F	10327
Niddrie (Western Metropolitan)	0	M	9130
Niddrie (Western Metropolitan)	1	F	18877
Niddrie (Western Metropolitan)	1	M	18443
Northcote (Northern Metropolitan)	0	F	8759
Northcote (Northern Metropolitan)	0	M	7738
Northcote (Northern Metropolitan)	1	F	23164
Northcote (Northern Metropolitan)	1	M	21140
Oakleigh (Southern Metropolitan)	0	F	16970
Oakleigh (Southern Metropolitan)	0	M	15798
Oakleigh (Southern Metropolitan)	1	F	17869
Oakleigh (Southern Metropolitan)	1	M	17595
Ovens Valley (Northern Victoria)	0	F	1639
Ovens Valley (Northern Victoria)	0	M	1551
Ovens Valley (Northern Victoria)	1	F	25045
Ovens Valley (Northern Victoria)	1	M	24049
Pascoe Vale (Northern Metropolitan)	0	F	15136
Pascoe Vale (Northern Metropolitan)	0	M	14713
Pascoe Vale (Northern Metropolitan)	1	F	20573
Pascoe Vale (Northern Metropolitan)	1	M	19673
Polwarth (Western Victoria)	0	F	929
Polwarth (Western Victoria)	0	M	956
Polwarth (Western Victoria)	1	F	26892
Polwarth (Western Victoria)	1	M	27030
Prahran (Southern Metropolitan)	0	F	9684
Prahran (Southern Metropolitan)	0	M	8298
Prahran (Southern Metropolitan)	1	F	24527
Prahran (Southern Metropolitan)	1	M	23321
Preston (Northern Metropolitan)	0	F	15116
Preston (Northern Metropolitan)	0	M	14610
Preston (Northern Metropolitan)	1	F	17166
Preston (Northern Metropolitan)	1	M	16328
Richmond (Northern Metropolitan)	0	F	9188
Richmond (Northern Metropolitan)	0	M	7650
Richmond (Northern Metropolitan)	1	F	24590
Richmond (Northern Metropolitan)	1	M	24320
Ringwood (Eastern Metropolitan)	0	F	8810
Ringwood (Eastern Metropolitan)	0	M	8114
Ringwood (Eastern Metropolitan)	1	F	21820
Ringwood (Eastern Metropolitan)	1	M	20951
Ripon (Western Victoria)	0	F	1003
Ripon (Western Victoria)	0	M	986
Ripon (Western Victoria)	1	F	27537
Ripon (Western Victoria)	1	M	27416
Rowville (South-Eastern Metropolitan)	0	F	7570
Rowville (South-Eastern Metropolitan)	0	M	7036
Rowville (South-Eastern Metropolitan)	1	F	19487
Rowville (South-Eastern Metropolitan)	1	M	19362
Sandringham (Southern Metropolitan)	0	F	4503
Sandringham (Southern Metropolitan)	0	M	3732
Sandringham (Southern Metropolitan)	1	F	24689
Sandringham (Southern Metropolitan)	1	M	22726
Shepparton (Northern Victoria)	0	F	4736
Shepparton (Northern Victoria)	0	M	4712
Shepparton (Northern Victoria)	1	F	27532
Shepparton (Northern Victoria)	1	M	26745
South Barwon (Western Victoria)	0	F	2837
South Barwon (Western Victoria)	0	M	2815
South Barwon (Western Victoria)	1	F	30928
South Barwon (Western Victoria)	1	M	29432
South-West Coast (Western Victoria)	0	F	1103
South-West Coast (Western Victoria)	0	M	1030
South-West Coast (Western Victoria)	1	F	28637
South-West Coast (Western Victoria)	1	M	27304
St Albans (Western Metropolitan)	0	F	24124
St Albans (Western Metropolitan)	0	M	24211
St Albans (Western Metropolitan)	1	F	10689
St Albans (Western Metropolitan)	1	M	11189
Sunbury (Western Metropolitan)	0	F	5230
Sunbury (Western Metropolitan)	0	M	4729
Sunbury (Western Metropolitan)	1	F	24038
Sunbury (Western Metropolitan)	1	M	23307
Sydenham (Western Metropolitan)	0	F	17221
Sydenham (Western Metropolitan)	0	M	16224
Sydenham (Western Metropolitan)	1	F	19249
Sydenham (Western Metropolitan)	1	M	19292
Tarneit (Western Metropolitan)	0	F	23490
Tarneit (Western Metropolitan)	0	M	23491
Tarneit (Western Metropolitan)	1	F	21633
Tarneit (Western Metropolitan)	1	M	21844
Thomastown (Northern Metropolitan)	0	F	22262
Thomastown (Northern Metropolitan)	0	M	21860
Thomastown (Northern Metropolitan)	1	F	10268
Thomastown (Northern Metropolitan)	1	M	10519
Warrandyte (Eastern Metropolitan)	0	F	10536
Warrandyte (Eastern Metropolitan)	0	M	9515
Warrandyte (Eastern Metropolitan)	1	F	19119
Warrandyte (Eastern Metropolitan)	1	M	18895
Wendouree (Western Victoria)	0	F	1655
Wendouree (Western Victoria)	0	M	1529
Wendouree (Western Victoria)	1	F	26546
Wendouree (Western Victoria)	1	M	24179
Werribee (Western Metropolitan)	0	F	10170
Werribee (Western Metropolitan)	0	M	9830
Werribee (Western Metropolitan)	1	F	23483
Werribee (Western Metropolitan)	1	M	22903
Williamstown (Western Metropolitan)	0	F	9245
Williamstown (Western Metropolitan)	0	M	8464
Williamstown (Western Metropolitan)	1	F	25022
Williamstown (Western Metropolitan)	1	M	24446
Yan Yean (Northern Victoria)	0	F	5874
Yan Yean (Northern Victoria)	0	M	5613
Yan Yean (Northern Victoria)	1	F	32538
Yan Yean (Northern Victoria)	1	M	31746
Yuroke (Northern Metropolitan)	0	F	22739
Yuroke (Northern Metropolitan)	0	M	22609
Yuroke (Northern Metropolitan)	1	F	19846
Yuroke (Northern Metropolitan)	1	M	19851
No usual address (Vic.)	0	F	692
No usual address (Vic.)	0	M	698
No usual address (Vic.)	1	F	1835
No usual address (Vic.)	1	M	2372
Migratory - Offshore - Shipping (Vic.)	0	F	4
Migratory - Offshore - Shipping (Vic.)	0	M	7
Migratory - Offshore - Shipping (Vic.)	1	M	18
Albert	0	F	2965
Albert	0	M	2619
Albert	1	F	30567
Albert	1	M	29776
Algester	0	F	7756
Algester	0	M	7145
Algester	1	F	18773
Algester	1	M	18365
Ashgrove	0	F	2131
Ashgrove	0	M	1770
Ashgrove	1	F	20339
Ashgrove	1	M	20374
Aspley	0	F	3915
Aspley	0	M	3463
Aspley	1	F	18297
Aspley	1	M	17099
Barron River	0	F	3374
Barron River	0	M	2620
Barron River	1	F	25413
Barron River	1	M	25020
Beaudesert	0	F	1141
Beaudesert	0	M	954
Beaudesert	1	F	26145
Beaudesert	1	M	25475
Brisbane Central	0	F	8699
Brisbane Central	0	M	8283
Brisbane Central	1	F	18431
Brisbane Central	1	M	19957
Broadwater	0	F	3622
Broadwater	0	M	3025
Broadwater	1	F	21388
Broadwater	1	M	19450
Buderim	0	F	1567
Buderim	0	M	1161
Buderim	1	F	23503
Buderim	1	M	21337
Bulimba	0	F	3272
Bulimba	0	M	2928
Bulimba	1	F	22059
Bulimba	1	M	20952
