SED_NAME16	FamilyComposition	families_with_children
Blacktown	Step family with other children present	20
Blue Mountains	Blended family with no other children present	352
Blue Mountains	Intact family with no other children present	7241
Blue Mountains	Intact family with other children present	72
Blue Mountains	Other couple family with other children only	48
Blue Mountains	Step family with no other children present	645
Blue Mountains	Step family with other children present	8
Cabramatta	Blended family with no other children present	300
Cabramatta	Blended family with other children present	15
Cabramatta	Intact family with no other children present	9500
Cabramatta	Intact family with other children present	276
Cabramatta	Other couple family with other children only	55
Cabramatta	Step family with no other children present	518
Cabramatta	Step family with other children present	27
Camden	Blended family with no other children present	597
Camden	Blended family with other children present	15
Camden	Intact family with no other children present	11488
Camden	Intact family with other children present	148
Camden	Other couple family with other children only	60
Camden	Step family with no other children present	841
Camden	Step family with other children present	22
Campbelltown	Blended family with no other children present	504
Campbelltown	Blended family with other children present	14
Campbelltown	Intact family with no other children present	7885
Campbelltown	Intact family with other children present	198
Campbelltown	Other couple family with other children only	84
Campbelltown	Step family with no other children present	642
Campbelltown	Step family with other children present	31
Canterbury	Blended family with no other children present	247
Canterbury	Blended family with other children present	9
Canterbury	Intact family with no other children present	10477
Canterbury	Intact family with other children present	153
Canterbury	Other couple family with other children only	29
Canterbury	Step family with no other children present	491
Canterbury	Step family with other children present	14
Castle Hill	Blended family with no other children present	358
Castle Hill	Blended family with other children present	9
Castle Hill	Intact family with no other children present	12430
Castle Hill	Intact family with other children present	148
Castle Hill	Other couple family with other children only	20
Castle Hill	Step family with no other children present	597
Castle Hill	Step family with other children present	17
Cessnock	Blended family with no other children present	526
Cessnock	Blended family with other children present	16
Cessnock	Intact family with no other children present	7153
Cessnock	Intact family with other children present	132
Cessnock	Other couple family with other children only	109
Cessnock	Step family with no other children present	733
Cessnock	Step family with other children present	27
Charlestown	Blended family with no other children present	333
Charlestown	Blended family with other children present	8
Charlestown	Intact family with no other children present	7695
Charlestown	Intact family with other children present	78
Charlestown	Other couple family with other children only	49
Charlestown	Step family with no other children present	564
Charlestown	Step family with other children present	12
Clarence	Blended family with no other children present	403
Clarence	Blended family with other children present	5
Clarence	Intact family with no other children present	5333
Clarence	Intact family with other children present	124
Clarence	Other couple family with other children only	82
Clarence	Step family with no other children present	515
Clarence	Step family with other children present	22
Coffs Harbour	Blended family with no other children present	343
Coffs Harbour	Blended family with other children present	6
Coffs Harbour	Intact family with no other children present	6050
Coffs Harbour	Intact family with other children present	103
Coffs Harbour	Other couple family with other children only	57
Coffs Harbour	Step family with no other children present	575
Coffs Harbour	Step family with other children present	8
Coogee	Blended family with no other children present	126
Coogee	Intact family with no other children present	8023
Coogee	Intact family with other children present	42
Coogee	Other couple family with other children only	15
Coogee	Step family with no other children present	397
Coogee	Step family with other children present	5
Cootamundra	Blended family with no other children present	339
Cootamundra	Blended family with other children present	5
Cootamundra	Intact family with no other children present	5839
Cootamundra	Intact family with other children present	72
Cootamundra	Other couple family with other children only	75
Cootamundra	Step family with no other children present	439
Cootamundra	Step family with other children present	12
Cronulla	Blended family with no other children present	246
Cronulla	Blended family with other children present	5
Cronulla	Intact family with no other children present	9102
Cronulla	Intact family with other children present	55
Cronulla	Other couple family with other children only	24
Cronulla	Step family with no other children present	552
Cronulla	Step family with other children present	3
Davidson	Blended family with no other children present	200
Davidson	Blended family with other children present	8
Davidson	Intact family with no other children present	11786
Davidson	Intact family with other children present	96
Davidson	Other couple family with other children only	20
Davidson	Step family with no other children present	478
Drummoyne	Blended family with no other children present	131
Drummoyne	Intact family with no other children present	9357
Drummoyne	Intact family with other children present	52
Drummoyne	Other couple family with other children only	22
Drummoyne	Step family with no other children present	418
Drummoyne	Step family with other children present	4
Dubbo	Blended family with no other children present	393
Dubbo	Blended family with other children present	11
Dubbo	Intact family with no other children present	6706
Dubbo	Intact family with other children present	106
Dubbo	Other couple family with other children only	95
Dubbo	Step family with no other children present	505
Dubbo	Step family with other children present	15
East Hills	Blended family with no other children present	302
East Hills	Blended family with other children present	3
East Hills	Intact family with no other children present	9831
East Hills	Intact family with other children present	178
East Hills	Other couple family with other children only	31
East Hills	Step family with no other children present	456
East Hills	Step family with other children present	19
Epping	Blended family with no other children present	161
Epping	Intact family with no other children present	12094
Epping	Intact family with other children present	160
Epping	Other couple family with other children only	17
Epping	Step family with no other children present	427
Epping	Step family with other children present	8
Fairfield	Blended family with no other children present	278
Fairfield	Blended family with other children present	16
Fairfield	Intact family with no other children present	10043
Fairfield	Intact family with other children present	266
Fairfield	Other couple family with other children only	38
Fairfield	Step family with no other children present	440
Fairfield	Step family with other children present	22
Gosford	Blended family with no other children present	357
Gosford	Blended family with other children present	4
Gosford	Intact family with no other children present	6482
Gosford	Intact family with other children present	69
Gosford	Other couple family with other children only	57
Gosford	Step family with no other children present	587
Gosford	Step family with other children present	8
Goulburn	Blended family with no other children present	412
Goulburn	Blended family with other children present	6
Goulburn	Intact family with no other children present	6903
Goulburn	Intact family with other children present	77
Goulburn	Other couple family with other children only	53
Goulburn	Step family with no other children present	603
Goulburn	Step family with other children present	11
Granville	Blended family with no other children present	243
Granville	Blended family with other children present	12
Granville	Intact family with no other children present	11214
Granville	Intact family with other children present	184
Granville	Other couple family with other children only	27
Granville	Step family with no other children present	441
Granville	Step family with other children present	13
Hawkesbury	Blended family with no other children present	493
Hawkesbury	Blended family with other children present	4
Hawkesbury	Intact family with no other children present	8329
Hawkesbury	Intact family with other children present	129
Hawkesbury	Other couple family with other children only	53
Hawkesbury	Step family with no other children present	699
Hawkesbury	Step family with other children present	17
Heathcote	Blended family with no other children present	341
Heathcote	Blended family with other children present	3
Heathcote	Intact family with no other children present	10213
Heathcote	Intact family with other children present	79
Heathcote	Other couple family with other children only	26
Heathcote	Step family with no other children present	608
Heathcote	Step family with other children present	9
Heffron	Blended family with no other children present	140
Heffron	Blended family with other children present	6
Heffron	Intact family with no other children present	7571
Heffron	Intact family with other children present	97
Heffron	Other couple family with other children only	26
Heffron	Step family with no other children present	399
Heffron	Step family with other children present	6
Holsworthy	Blended family with no other children present	389
Holsworthy	Blended family with other children present	5
Holsworthy	Intact family with no other children present	11741
Holsworthy	Intact family with other children present	173
Holsworthy	Other couple family with other children only	33
Holsworthy	Step family with no other children present	551
Holsworthy	Step family with other children present	12
Hornsby	Blended family with no other children present	251
Hornsby	Blended family with other children present	3
Hornsby	Intact family with no other children present	11207
Hornsby	Intact family with other children present	109
Hornsby	Other couple family with other children only	29
Hornsby	Step family with no other children present	517
Hornsby	Step family with other children present	13
Keira	Blended family with no other children present	309
Keira	Blended family with other children present	3
Keira	Intact family with no other children present	8901
Keira	Intact family with other children present	64
Keira	Other couple family with other children only	42
Keira	Step family with no other children present	502
Keira	Step family with other children present	7
Kiama	Blended family with no other children present	378
Kiama	Blended family with other children present	5
Kiama	Intact family with no other children present	6915
Kiama	Intact family with other children present	101
Kiama	Other couple family with other children only	78
Kiama	Step family with no other children present	620
Kiama	Step family with other children present	15
Kogarah	Blended family with no other children present	221
Kogarah	Blended family with other children present	6
Kogarah	Intact family with no other children present	10658
Kogarah	Intact family with other children present	188
Kogarah	Other couple family with other children only	36
Kogarah	Step family with no other children present	452
Kogarah	Step family with other children present	14
Ku-ring-gai	Blended family with no other children present	162
Ku-ring-gai	Blended family with other children present	3
Ku-ring-gai	Intact family with no other children present	11565
Ku-ring-gai	Intact family with other children present	85
Ku-ring-gai	Other couple family with other children only	17
Ku-ring-gai	Step family with no other children present	411
Ku-ring-gai	Step family with other children present	4
Lake Macquarie	Blended family with no other children present	400
Lake Macquarie	Blended family with other children present	13
Lake Macquarie	Intact family with no other children present	6465
Lake Macquarie	Intact family with other children present	109
Lake Macquarie	Other couple family with other children only	68
Lake Macquarie	Step family with no other children present	679
Lake Macquarie	Step family with other children present	21
Lakemba	Blended family with no other children present	256
Lakemba	Blended family with other children present	6
Lakemba	Intact family with no other children present	11472
Lakemba	Intact family with other children present	206
Lakemba	Other couple family with other children only	37
Lakemba	Step family with no other children present	428
Lakemba	Step family with other children present	15
Lane Cove	Blended family with no other children present	142
Lane Cove	Intact family with no other children present	10199
Lane Cove	Intact family with other children present	68
Lane Cove	Other couple family with other children only	23
Lane Cove	Step family with no other children present	396
Lismore	Blended family with no other children present	318
Lismore	Blended family with other children present	6
Lismore	Intact family with no other children present	5654
Lismore	Intact family with other children present	80
Lismore	Other couple family with other children only	57
Lismore	Step family with no other children present	508
Lismore	Step family with other children present	10
Liverpool	Blended family with no other children present	391
Liverpool	Blended family with other children present	22
Liverpool	Intact family with no other children present	11074
Liverpool	Intact family with other children present	234
Liverpool	Other couple family with other children only	52
Liverpool	Step family with no other children present	509
Liverpool	Step family with other children present	15
Londonderry	Blended family with no other children present	574
Londonderry	Blended family with other children present	23
Londonderry	Intact family with no other children present	8933
Londonderry	Intact family with other children present	221
Londonderry	Other couple family with other children only	82
Londonderry	Step family with no other children present	787
Londonderry	Step family with other children present	28
Macquarie Fields	Blended family with no other children present	444
Macquarie Fields	Blended family with other children present	17
Macquarie Fields	Intact family with no other children present	10823
Macquarie Fields	Intact family with other children present	244
Macquarie Fields	Other couple family with other children only	55
Macquarie Fields	Step family with no other children present	665
Macquarie Fields	Step family with other children present	22
Maitland	Blended family with no other children present	541
Maitland	Blended family with other children present	9
Maitland	Intact family with no other children present	8045
Maitland	Intact family with other children present	100
Maitland	Other couple family with other children only	69
Maitland	Step family with no other children present	728
Maitland	Step family with other children present	18
Manly	Blended family with no other children present	179
Manly	Intact family with no other children present	9751
Manly	Intact family with other children present	44
Manly	Other couple family with other children only	18
Manly	Step family with no other children present	468
Manly	Step family with other children present	3
Maroubra	Blended family with no other children present	245
Maroubra	Blended family with other children present	4
Maroubra	Intact family with no other children present	9112
Maroubra	Intact family with other children present	95
Maroubra	Other couple family with other children only	46
Maroubra	Step family with no other children present	457
Maroubra	Step family with other children present	9
Miranda	Blended family with no other children present	273
Miranda	Intact family with no other children present	9590
Miranda	Intact family with other children present	91
Miranda	Other couple family with other children only	24
Miranda	Step family with no other children present	511
Monaro	Blended family with no other children present	418
Monaro	Blended family with other children present	4
Monaro	Intact family with no other children present	7875
Monaro	Intact family with other children present	74
Monaro	Other couple family with other children only	50
Monaro	Step family with no other children present	627
Monaro	Step family with other children present	4
Mount Druitt	Blended family with no other children present	489
Mount Druitt	Blended family with other children present	10
Mount Druitt	Intact family with no other children present	11041
Mount Druitt	Intact family with other children present	312
Mount Druitt	Other couple family with other children only	61
Mount Druitt	Step family with no other children present	570
Mount Druitt	Step family with other children present	25
Mulgoa	Blended family with no other children present	454
Mulgoa	Blended family with other children present	8
Mulgoa	Intact family with no other children present	11440
Mulgoa	Intact family with other children present	168
Mulgoa	Other couple family with other children only	51
Mulgoa	Step family with no other children present	676
Mulgoa	Step family with other children present	22
Murray	Blended family with no other children present	353
Murray	Blended family with other children present	9
Murray	Intact family with no other children present	7417
Murray	Intact family with other children present	89
Murray	Other couple family with other children only	100
Murray	Step family with no other children present	447
Murray	Step family with other children present	4
Myall Lakes	Blended family with no other children present	326
Myall Lakes	Blended family with other children present	10
Myall Lakes	Intact family with no other children present	4812
Myall Lakes	Intact family with other children present	93
Myall Lakes	Other couple family with other children only	90
Myall Lakes	Step family with no other children present	486
Myall Lakes	Step family with other children present	13
Newcastle	Blended family with no other children present	208
Newcastle	Blended family with other children present	3
Newcastle	Intact family with no other children present	5764
Newcastle	Intact family with other children present	44
Newcastle	Other couple family with other children only	33
Newcastle	Step family with no other children present	466
Newcastle	Step family with other children present	8
Newtown	Blended family with no other children present	77
Newtown	Blended family with other children present	3
Newtown	Intact family with no other children present	4414
Newtown	Intact family with other children present	42
Newtown	Other couple family with other children only	16
Newtown	Step family with no other children present	269
Newtown	Step family with other children present	3
North Shore	Blended family with no other children present	96
North Shore	Blended family with other children present	4
North Shore	Intact family with no other children present	6921
North Shore	Intact family with other children present	22
North Shore	Other couple family with other children only	11
North Shore	Step family with no other children present	380
North Shore	Step family with other children present	3
Northern Tablelands	Blended family with no other children present	340
Northern Tablelands	Blended family with other children present	13
Northern Tablelands	Intact family with no other children present	6236
Northern Tablelands	Intact family with other children present	93
Northern Tablelands	Other couple family with other children only	89
Northern Tablelands	Step family with no other children present	491
Northern Tablelands	Step family with other children present	11
Oatley	Blended family with no other children present	215
Oatley	Blended family with other children present	3
Oatley	Intact family with no other children present	9996
Oatley	Intact family with other children present	150
Oatley	Other couple family with other children only	17
Oatley	Step family with no other children present	418
Oatley	Step family with other children present	9
Orange	Blended family with no other children present	432
Orange	Blended family with other children present	3
Orange	Intact family with no other children present	7115
Orange	Intact family with other children present	70
Orange	Other couple family with other children only	75
Orange	Step family with no other children present	524
Orange	Step family with other children present	17
Oxley	Blended family with no other children present	369
Oxley	Blended family with other children present	8
Oxley	Intact family with no other children present	5117
Oxley	Intact family with other children present	95
Oxley	Other couple family with other children only	61
Oxley	Step family with no other children present	497
Oxley	Step family with other children present	9
Parramatta	Blended family with no other children present	200
Parramatta	Blended family with other children present	4
Parramatta	Intact family with no other children present	12592
Parramatta	Intact family with other children present	152
Parramatta	Other couple family with other children only	34
Parramatta	Step family with no other children present	513
Parramatta	Step family with other children present	6
Penrith	Blended family with no other children present	462
Penrith	Blended family with other children present	11
Penrith	Intact family with no other children present	8075
Penrith	Intact family with other children present	108
Penrith	Other couple family with other children only	67
Penrith	Step family with no other children present	687
Penrith	Step family with other children present	22
Pittwater	Blended family with no other children present	265
Pittwater	Blended family with other children present	3
Pittwater	Intact family with no other children present	8721
Pittwater	Intact family with other children present	87
Pittwater	Other couple family with other children only	19
Pittwater	Step family with no other children present	559
Pittwater	Step family with other children present	9
Port Macquarie	Blended family with no other children present	301
Port Macquarie	Blended family with other children present	4
Port Macquarie	Intact family with no other children present	5547
Port Macquarie	Intact family with other children present	76
Port Macquarie	Other couple family with other children only	61
Port Macquarie	Step family with no other children present	541
Port Macquarie	Step family with other children present	11
Port Stephens	Blended family with no other children present	384
Port Stephens	Blended family with other children present	3
Port Stephens	Intact family with no other children present	6121
Port Stephens	Intact family with other children present	94
Port Stephens	Other couple family with other children only	72
Port Stephens	Step family with no other children present	573
Port Stephens	Step family with other children present	16
Prospect	Blended family with no other children present	250
Prospect	Blended family with other children present	7
Prospect	Intact family with no other children present	11230
Prospect	Intact family with other children present	198
Prospect	Other couple family with other children only	47
Prospect	Step family with no other children present	434
Prospect	Step family with other children present	5
Riverstone	Blended family with no other children present	389
Riverstone	Blended family with other children present	9
Riverstone	Intact family with no other children present	13847
Riverstone	Intact family with other children present	238
Riverstone	Other couple family with other children only	39
Riverstone	Step family with no other children present	741
Riverstone	Step family with other children present	14
Rockdale	Blended family with no other children present	192
Rockdale	Blended family with other children present	3
Rockdale	Intact family with no other children present	9121
Rockdale	Intact family with other children present	130
Rockdale	Other couple family with other children only	30
Rockdale	Step family with no other children present	466
Rockdale	Step family with other children present	4
Ryde	Blended family with no other children present	167
Ryde	Blended family with other children present	4
Ryde	Intact family with no other children present	10878
Ryde	Intact family with other children present	125
Ryde	Other couple family with other children only	23
Ryde	Step family with no other children present	425
Ryde	Step family with other children present	12
Seven Hills	Blended family with no other children present	252
Seven Hills	Blended family with other children present	5
Seven Hills	Intact family with no other children present	11140
Seven Hills	Intact family with other children present	157
Seven Hills	Other couple family with other children only	29
Seven Hills	Step family with no other children present	539
Seven Hills	Step family with other children present	19
Shellharbour	Blended family with no other children present	532
Shellharbour	Blended family with other children present	6
Shellharbour	Intact family with no other children present	8377
Shellharbour	Intact family with other children present	121
Shellharbour	Other couple family with other children only	82
Shellharbour	Step family with no other children present	818
Shellharbour	Step family with other children present	25
South Coast	Blended family with no other children present	348
South Coast	Blended family with other children present	11
South Coast	Intact family with no other children present	4924
South Coast	Intact family with other children present	91
South Coast	Other couple family with other children only	82
South Coast	Step family with no other children present	534
South Coast	Step family with other children present	18
Strathfield	Blended family with no other children present	158
Strathfield	Blended family with other children present	4
Strathfield	Intact family with no other children present	10370
Strathfield	Intact family with other children present	156
Strathfield	Other couple family with other children only	29
Strathfield	Step family with no other children present	414
Strathfield	Step family with other children present	7
Summer Hill	Blended family with no other children present	127
Summer Hill	Intact family with no other children present	7916
Summer Hill	Intact family with other children present	96
Summer Hill	Other couple family with other children only	22
Summer Hill	Step family with no other children present	389
Summer Hill	Step family with other children present	6
Swansea	Blended family with no other children present	387
Swansea	Blended family with other children present	4
Swansea	Intact family with no other children present	6569
Swansea	Intact family with other children present	93
Swansea	Other couple family with other children only	58
Swansea	Step family with no other children present	651
Swansea	Step family with other children present	17
Sydney	Blended family with no other children present	68
Sydney	Intact family with no other children present	3793
Sydney	Intact family with other children present	21
Sydney	Other couple family with other children only	21
Sydney	Step family with no other children present	265
Sydney	Step family with other children present	4
Tamworth	Blended family with no other children present	383
Tamworth	Blended family with other children present	11
Tamworth	Intact family with no other children present	6602
Tamworth	Intact family with other children present	92
Tamworth	Other couple family with other children only	65
Tamworth	Step family with no other children present	584
Tamworth	Step family with other children present	16
Terrigal	Blended family with no other children present	310
Terrigal	Blended family with other children present	10
Terrigal	Intact family with no other children present	8059
Terrigal	Intact family with other children present	67
Terrigal	Other couple family with other children only	49
Terrigal	Step family with no other children present	620
Terrigal	Step family with other children present	7
The Entrance	Blended family with no other children present	433
The Entrance	Blended family with other children present	3
The Entrance	Intact family with no other children present	6935
The Entrance	Intact family with other children present	87
The Entrance	Other couple family with other children only	51
The Entrance	Step family with no other children present	655
The Entrance	Step family with other children present	17
Tweed	Blended family with no other children present	330
Tweed	Blended family with other children present	3
Tweed	Intact family with no other children present	6317
Tweed	Intact family with other children present	77
Tweed	Other couple family with other children only	58
Tweed	Step family with no other children present	552
Tweed	Step family with other children present	6
Upper Hunter	Blended family with no other children present	419
Upper Hunter	Blended family with other children present	8
Upper Hunter	Intact family with no other children present	7189
Upper Hunter	Intact family with other children present	95
Upper Hunter	Other couple family with other children only	68
Upper Hunter	Step family with no other children present	567
Upper Hunter	Step family with other children present	16
Vaucluse	Blended family with no other children present	137
Vaucluse	Intact family with no other children present	7759
Vaucluse	Intact family with other children present	34
Vaucluse	Other couple family with other children only	3
Vaucluse	Step family with no other children present	382
Wagga Wagga	Blended family with no other children present	406
Wagga Wagga	Blended family with other children present	5
Wagga Wagga	Intact family with no other children present	7026
Wagga Wagga	Intact family with other children present	69
Wagga Wagga	Other couple family with other children only	46
Wagga Wagga	Step family with no other children present	489
Wagga Wagga	Step family with other children present	14
Wakehurst	Blended family with no other children present	257
Wakehurst	Blended family with other children present	5
Wakehurst	Intact family with no other children present	10329
Wakehurst	Intact family with other children present	84
Wakehurst	Other couple family with other children only	34
Wakehurst	Step family with no other children present	574
Wakehurst	Step family with other children present	6
Wallsend	Blended family with no other children present	397
Wallsend	Blended family with other children present	5
Wallsend	Intact family with no other children present	7728
Wallsend	Intact family with other children present	91
Wallsend	Other couple family with other children only	50
Wallsend	Step family with no other children present	645
Wallsend	Step family with other children present	19
Willoughby	Blended family with no other children present	175
Willoughby	Intact family with no other children present	10609
Willoughby	Intact family with other children present	73
Willoughby	Other couple family with other children only	28
Willoughby	Step family with no other children present	425
Willoughby	Step family with other children present	5
Wollondilly	Blended family with no other children present	461
Wollondilly	Blended family with other children present	8
Wollondilly	Intact family with no other children present	8263
Wollondilly	Intact family with other children present	124
Wollondilly	Other couple family with other children only	63
Wollondilly	Step family with no other children present	627
Wollondilly	Step family with other children present	8
Wollongong	Blended family with no other children present	297
Wollongong	Blended family with other children present	6
Wollongong	Intact family with no other children present	7253
Wollongong	Intact family with other children present	74
Wollongong	Other couple family with other children only	45
Wollongong	Step family with no other children present	537
Wollongong	Step family with other children present	8
Wyong	Blended family with no other children present	558
Wyong	Blended family with other children present	17
Wyong	Intact family with no other children present	6867
Wyong	Intact family with other children present	122
Wyong	Other couple family with other children only	83
Wyong	Step family with no other children present	793
Wyong	Step family with other children present	23
Albert Park (Southern Metropolitan)	Blended family with no other children present	76
Albert Park (Southern Metropolitan)	Intact family with no other children present	4712
Albert Park (Southern Metropolitan)	Intact family with other children present	14
Albert Park (Southern Metropolitan)	Other couple family with other children only	12
Albert Park (Southern Metropolitan)	Step family with no other children present	318
Albert Park (Southern Metropolitan)	Step family with other children present	6
Altona (Western Metropolitan)	Blended family with no other children present	404
Altona (Western Metropolitan)	Blended family with other children present	8
Altona (Western Metropolitan)	Intact family with no other children present	12541
Altona (Western Metropolitan)	Intact family with other children present	144
Altona (Western Metropolitan)	Other couple family with other children only	31
Altona (Western Metropolitan)	Step family with no other children present	632
Altona (Western Metropolitan)	Step family with other children present	14
Bass (Eastern Victoria)	Blended family with no other children present	472
Bass (Eastern Victoria)	Blended family with other children present	6
Bass (Eastern Victoria)	Intact family with no other children present	6988
Bass (Eastern Victoria)	Intact family with other children present	92
Bass (Eastern Victoria)	Other couple family with other children only	45
Bass (Eastern Victoria)	Step family with no other children present	603
Bass (Eastern Victoria)	Step family with other children present	11
Bayswater (Eastern Metropolitan)	Blended family with no other children present	245
Bayswater (Eastern Metropolitan)	Blended family with other children present	3
Bayswater (Eastern Metropolitan)	Intact family with no other children present	6898
Bayswater (Eastern Metropolitan)	Intact family with other children present	74
Bayswater (Eastern Metropolitan)	Other couple family with other children only	27
Bayswater (Eastern Metropolitan)	Step family with no other children present	513
Bayswater (Eastern Metropolitan)	Step family with other children present	16
Bellarine (Western Victoria)	Blended family with no other children present	224
Bellarine (Western Victoria)	Intact family with no other children present	5799
Bellarine (Western Victoria)	Intact family with other children present	36
Bellarine (Western Victoria)	Other couple family with other children only	29
Bellarine (Western Victoria)	Step family with no other children present	488
Bellarine (Western Victoria)	Step family with other children present	4
Benambra (Northern Victoria)	Blended family with no other children present	353
Benambra (Northern Victoria)	Blended family with other children present	3
Benambra (Northern Victoria)	Intact family with no other children present	5780
Benambra (Northern Victoria)	Intact family with other children present	46
Benambra (Northern Victoria)	Other couple family with other children only	41
Benambra (Northern Victoria)	Step family with no other children present	519
Benambra (Northern Victoria)	Step family with other children present	3
Bendigo East (Northern Victoria)	Blended family with no other children present	330
Bendigo East (Northern Victoria)	Intact family with no other children present	6016
Bendigo East (Northern Victoria)	Intact family with other children present	45
Bendigo East (Northern Victoria)	Other couple family with other children only	44
Bendigo East (Northern Victoria)	Step family with no other children present	498
Bendigo East (Northern Victoria)	Step family with other children present	6
Bendigo West (Northern Victoria)	Blended family with no other children present	267
Bendigo West (Northern Victoria)	Blended family with other children present	3
Bendigo West (Northern Victoria)	Intact family with no other children present	5087
Bendigo West (Northern Victoria)	Intact family with other children present	32
Bendigo West (Northern Victoria)	Other couple family with other children only	26
Bendigo West (Northern Victoria)	Step family with no other children present	433
Bendigo West (Northern Victoria)	Step family with other children present	11
Bentleigh (Southern Metropolitan)	Blended family with no other children present	162
Bentleigh (Southern Metropolitan)	Intact family with no other children present	8090
Bentleigh (Southern Metropolitan)	Intact family with other children present	53
Bentleigh (Southern Metropolitan)	Other couple family with other children only	23
Bentleigh (Southern Metropolitan)	Step family with no other children present	416
Bentleigh (Southern Metropolitan)	Step family with other children present	13
Box Hill (Eastern Metropolitan)	Blended family with no other children present	120
Box Hill (Eastern Metropolitan)	Intact family with no other children present	8354
Box Hill (Eastern Metropolitan)	Intact family with other children present	62
Box Hill (Eastern Metropolitan)	Other couple family with other children only	10
Box Hill (Eastern Metropolitan)	Step family with no other children present	350
Box Hill (Eastern Metropolitan)	Step family with other children present	3
Brighton (Southern Metropolitan)	Blended family with no other children present	124
Brighton (Southern Metropolitan)	Intact family with no other children present	7304
Brighton (Southern Metropolitan)	Intact family with other children present	29
Brighton (Southern Metropolitan)	Other couple family with other children only	10
Brighton (Southern Metropolitan)	Step family with no other children present	385
Brighton (Southern Metropolitan)	Step family with other children present	3
Broadmeadows (Northern Metropolitan)	Blended family with no other children present	199
Broadmeadows (Northern Metropolitan)	Blended family with other children present	3
Broadmeadows (Northern Metropolitan)	Intact family with no other children present	8431
Broadmeadows (Northern Metropolitan)	Intact family with other children present	160
Broadmeadows (Northern Metropolitan)	Other couple family with other children only	22
Broadmeadows (Northern Metropolitan)	Step family with no other children present	340
Broadmeadows (Northern Metropolitan)	Step family with other children present	11
Brunswick (Northern Metropolitan)	Blended family with no other children present	86
Brunswick (Northern Metropolitan)	Intact family with no other children present	5974
Brunswick (Northern Metropolitan)	Intact family with other children present	40
Brunswick (Northern Metropolitan)	Other couple family with other children only	10
Brunswick (Northern Metropolitan)	Step family with no other children present	266
Brunswick (Northern Metropolitan)	Step family with other children present	3
Bulleen (Eastern Metropolitan)	Blended family with no other children present	113
Bulleen (Eastern Metropolitan)	Blended family with other children present	3
Bulleen (Eastern Metropolitan)	Intact family with no other children present	7782
Bulleen (Eastern Metropolitan)	Intact family with other children present	93
Bulleen (Eastern Metropolitan)	Other couple family with other children only	23
Bulleen (Eastern Metropolitan)	Step family with no other children present	362
Bulleen (Eastern Metropolitan)	Step family with other children present	7
Bundoora (Northern Metropolitan)	Blended family with no other children present	170
Bundoora (Northern Metropolitan)	Intact family with no other children present	7075
Bundoora (Northern Metropolitan)	Intact family with other children present	80
Bundoora (Northern Metropolitan)	Other couple family with other children only	18
Bundoora (Northern Metropolitan)	Step family with no other children present	347
Bundoora (Northern Metropolitan)	Step family with other children present	8
Buninyong (Western Victoria)	Blended family with no other children present	282
Buninyong (Western Victoria)	Blended family with other children present	3
Buninyong (Western Victoria)	Intact family with no other children present	5647
Buninyong (Western Victoria)	Intact family with other children present	66
Buninyong (Western Victoria)	Other couple family with other children only	31
