SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC10017,848,18,5,0,0,866,713,3,11,0,0,723,146,8,24,0,0,180,0,0,0,0,0,0,62,3,13,0,0,74,3,0,0,0,0,3,3,0,0,0,0,8,3,0,0,0,0,4,215,10,39,0,0,267,4,0,0,0,0,4,29,0,0,0,0,37,1808,30,60,0,0,1901
SSC10018,175,0,0,0,0,178,112,0,0,0,0,119,23,3,4,0,0,28,5,0,0,0,0,3,17,0,4,0,0,21,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,6,51,3,13,0,0,62,0,0,0,0,0,0,13,0,5,3,0,18,354,3,15,6,3,378
SSC10019,5,0,0,0,0,10,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,23
SSC10020,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,19
SSC10021,88,0,0,0,0,88,113,0,0,0,3,114,20,0,0,0,0,20,0,0,0,0,0,0,13,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,40,0,0,0,0,43,0,0,0,0,0,0,3,0,0,0,0,3,252,0,0,0,3,251
SSC10022,21,0,0,0,0,21,20,0,0,0,0,20,26,0,0,0,0,26,549,223,3,0,0,774,13,0,0,0,0,13,11,6,0,0,0,13,4,0,0,0,0,4,6,4,0,0,0,6,600,230,3,0,0,835,9,6,0,0,0,11,26,14,0,0,3,41,684,245,3,0,3,939
SSC10023,16,0,0,0,0,17,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,43
SSC10024,20,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
SSC10025,1144,167,0,3,0,1312,1946,144,5,0,3,2096,309,123,5,0,0,432,48,40,0,0,0,87,147,24,0,0,0,178,11,0,0,0,0,10,5,3,0,0,0,9,10,3,0,0,0,10,516,195,8,3,3,722,10,10,0,0,0,15,66,16,0,0,3,84,3686,530,14,3,11,4237
SSC10026,688,89,0,0,19,800,781,101,3,0,0,884,182,123,18,0,0,322,98,61,0,0,0,160,96,27,0,0,0,126,3,4,0,0,3,15,3,0,0,0,0,3,7,3,0,0,0,11,387,219,18,3,9,631,6,3,0,0,26,38,46,19,0,0,6,73,1911,429,17,3,57,2424
SSC10027,547,109,14,4,0,674,420,65,3,0,0,485,187,259,64,11,0,521,0,58,12,0,0,71,61,49,0,4,0,120,0,9,0,0,0,15,3,4,0,0,0,9,3,5,0,0,0,5,254,385,82,13,3,739,3,4,0,0,0,12,17,28,3,0,0,50,1242,595,102,15,9,1961
SSC10028,126,0,0,0,0,127,101,0,0,0,0,101,7,3,0,0,0,17,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,6,249,3,0,0,0,248
SSC10029,35,0,0,0,0,35,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,67
SSC10030,37,283,131,6,3,457,57,460,705,0,3,1227,15,324,1138,4,10,1492,0,34,3,0,0,40,4,76,142,0,0,224,3,12,18,0,0,27,0,6,6,0,0,12,0,4,4,0,0,10,25,451,1307,9,14,1805,0,8,6,0,0,17,3,23,52,0,5,84,122,1224,2205,16,26,3592
SSC10031,454,3,0,0,0,455,398,9,0,0,0,403,25,0,0,0,0,27,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,5,0,0,0,0,5,9,0,0,0,0,9,901,9,0,0,0,908
SSC10032,8,0,0,0,0,8,12,0,0,0,0,12,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,35
SSC10033,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10034,9,0,0,0,0,9,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0,29
SSC10035,15,0,0,0,0,15,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30
SSC10036,754,41,21,0,0,822,869,25,27,0,3,922,141,8,29,0,0,178,3,0,3,0,0,6,62,9,10,0,3,76,3,34,55,0,0,89,7,4,9,0,0,18,3,6,4,0,0,17,216,60,105,0,4,388,8,29,4,0,0,40,33,12,11,0,3,55,1885,168,173,0,9,2228
SSC10037,8,0,0,0,0,8,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,28,0,0,0,0,31
SSC10038,164,25,344,0,0,530,104,33,379,0,0,513,42,12,709,6,4,769,0,3,19,0,0,28,15,0,93,4,0,115,5,0,5,0,0,4,3,0,7,0,0,8,0,3,9,0,0,12,64,24,839,7,6,935,0,0,5,0,0,8,17,4,32,0,0,53,343,79,1591,11,3,2031
SSC10039,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,14
SSC10040,23,0,0,0,0,27,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,3,0,49
SSC10041,34,0,0,0,0,34,29,0,0,0,0,29,8,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,70,0,0,0,0,70
SSC10042,14,0,0,0,0,14,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,25
SSC10043,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC10044,23,0,0,0,0,23,14,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,3,0,38
SSC10045,88,0,0,0,0,88,37,0,0,0,0,36,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,3,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,147,3,0,0,0,150
SSC10046,899,169,10,4,3,1088,522,60,3,0,3,587,182,103,18,0,4,309,31,10,0,0,0,42,78,35,5,0,0,123,8,12,0,0,0,24,3,3,0,0,0,7,12,3,0,0,0,10,315,176,22,0,3,520,30,5,0,0,0,42,49,17,0,0,3,65,1807,432,36,9,15,2301
SSC10047,18,0,0,0,3,15,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,33
SSC10048,9,0,0,0,0,9,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC10049,458,18,8,0,0,480,718,36,17,0,0,763,339,47,60,0,0,449,296,106,3,0,0,398,72,7,5,0,0,90,8,3,0,0,0,11,9,0,0,0,0,9,4,0,0,0,0,8,739,162,70,0,0,969,20,0,0,0,0,20,57,10,3,0,0,69,1986,223,94,0,0,2302
SSC10050,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10052,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
SSC10053,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6
SSC10054,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29
SSC10055,6,0,0,0,0,6,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,23,0,0,0,0,23
SSC10056,27,0,0,0,0,27,18,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,56
SSC10057,7,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,14,0,0,8,0,21
SSC10058,18,0,0,0,0,24,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,3,4,34
SSC10059,31,6,0,0,0,42,16,0,0,0,0,16,6,7,0,0,0,14,0,0,0,0,0,0,4,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,62,18,0,0,4,87
SSC10060,453,28,0,92,15,591,381,37,0,0,3,421,122,86,0,0,0,210,4,4,0,0,0,5,56,9,3,0,0,70,0,0,0,0,0,0,14,3,0,7,0,20,0,0,0,0,0,3,192,102,3,6,3,311,6,0,0,0,0,6,26,0,0,4,3,38,1057,171,3,109,20,1364
SSC10061,53,712,79,7,4,857,65,872,149,10,7,1099,35,528,537,32,3,1135,0,33,34,0,0,65,7,137,99,11,9,262,0,0,43,0,0,43,0,3,8,0,4,16,0,12,16,0,0,24,37,708,728,50,12,1548,3,13,4,0,0,17,3,40,30,9,5,87,163,2353,984,78,28,3602
SSC10062,161,0,0,0,3,165,156,0,0,0,0,157,22,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,37,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,0,7,366,4,0,0,4,375
SSC10063,183,5,0,0,0,186,457,11,0,0,0,472,55,0,6,4,0,70,14,0,0,0,0,14,12,0,3,3,0,18,3,0,0,0,0,3,0,0,0,0,3,3,4,0,0,0,0,4,91,0,9,9,3,109,6,0,0,0,0,7,17,0,0,0,0,17,750,17,9,13,6,788
SSC10064,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15
SSC10065,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC10066,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5
SSC10067,0,0,0,12,0,11,3,0,0,16,0,16,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,30,0,36
SSC10068,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC10069,99,0,0,0,0,101,50,0,0,0,0,48,14,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,168,3,0,3,0,177
SSC10070,39,0,0,0,0,41,21,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,68,0,0,0,3,69
SSC10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10072,189,0,0,0,0,191,163,0,0,0,0,163,18,0,0,0,0,18,0,0,0,0,0,0,21,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,48,0,0,0,3,50,5,0,0,0,0,5,11,0,0,0,0,11,409,0,0,0,4,416
SSC10073,185,0,0,0,0,188,216,4,0,0,0,223,55,0,0,0,0,57,0,0,0,0,0,0,21,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,77,4,0,0,0,84,4,0,0,0,0,4,14,0,0,0,0,15,494,5,0,0,0,507
SSC10074,11,0,0,0,0,11,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
