SSC_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SSC10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,8,10,12,3,0,77,0,0,0,0,0,0,0,0,22,23,8,10,12,3,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,22,27,13,16,14,3,0,91
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10013,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,5,0,4,0,4,0,0,15
SSC10014,131,168,74,32,55,50,29,532,21,11,13,6,8,0,0,53,13,31,6,10,7,3,0,65,106,89,54,31,38,16,9,338,3,4,0,0,0,0,0,8,271,295,143,76,108,69,33,1000,3,15,8,3,4,7,11,51,0,4,3,0,3,0,3,20,0,5,3,0,0,0,0,14,9,9,16,8,11,4,0,58,0,0,0,0,0,0,0,3,12,28,33,14,18,12,11,134,290,327,175,93,126,88,51,1137
SSC10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,6,6,0,0,0,40,0,0,0,0,0,0,0,0,15,17,6,6,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,17,9,3,6,0,0,47
SSC10016,10,21,12,11,12,7,3,78,29,32,10,11,5,3,0,100,26,25,6,12,13,0,3,90,239,237,120,75,92,42,21,829,0,0,0,0,0,0,0,3,316,321,153,103,126,54,29,1098,4,0,0,0,0,0,0,5,0,10,5,8,6,5,3,30,4,10,3,3,3,0,0,26,15,58,34,26,44,19,8,199,0,0,0,0,0,0,0,5,20,72,44,33,61,24,9,267,339,391,204,137,180,74,39,1368
SSC10017,14,26,17,14,15,3,0,85,29,38,21,10,12,3,4,114,28,29,16,9,15,3,0,96,250,255,138,86,106,51,26,907,0,0,0,0,0,0,0,0,317,342,188,120,144,57,29,1205,0,0,0,3,0,3,0,10,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,3,21,33,25,11,27,10,3,128,0,0,0,0,0,0,0,0,21,38,33,13,24,15,10,151,335,385,221,136,168,66,43,1354
SSC10018,0,3,0,0,0,0,0,4,0,4,7,0,0,0,0,7,0,3,3,3,0,0,0,7,32,43,29,13,17,3,0,141,0,0,0,0,0,0,0,3,30,54,33,18,23,3,0,165,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,11,9,8,0,0,32,0,0,0,0,0,0,0,0,0,11,14,10,8,0,0,36,32,62,48,24,27,3,0,200
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,3,0,0,0,24,0,0,0,0,0,0,0,0,6,4,8,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,6,0,0,0,26
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,3,0,0,0,0,8
SSC10021,0,0,0,0,0,3,0,4,0,3,3,0,3,0,0,9,3,3,0,3,0,0,0,11,44,55,39,20,27,5,0,189,0,0,0,0,0,0,0,0,44,60,40,23,31,9,5,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,3,10,0,3,3,0,0,25,0,0,0,0,0,0,0,0,8,6,3,7,3,0,0,28,55,72,41,28,33,9,5,247
SSC10022,18,26,15,18,15,6,3,103,9,9,3,0,3,0,0,20,7,3,4,0,0,0,0,16,35,50,19,20,17,4,0,152,0,4,0,3,0,0,0,6,73,95,50,38,39,8,5,306,3,9,8,5,15,6,4,50,9,12,15,6,12,3,0,50,0,0,5,0,0,0,0,11,92,123,78,49,45,11,0,398,11,5,3,7,0,0,0,26,116,152,109,65,67,15,7,528,187,248,153,103,105,23,12,833
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,18,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,18,5,10,10,3,6,0,0,34
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,16,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,4,6,12,0,3,0,0,22
SSC10025,23,29,17,6,23,12,5,118,48,76,36,31,47,25,3,260,45,36,21,30,37,7,11,181,648,656,375,233,324,102,32,2371,3,0,0,0,0,0,0,6,773,799,455,301,429,141,52,2944,0,4,3,6,11,0,0,31,12,3,3,7,14,3,0,42,0,8,7,3,11,8,0,34,90,167,97,69,90,24,13,546,4,0,0,0,3,0,0,8,112,187,111,89,126,38,9,661,880,981,560,388,556,177,61,3608
SSC10026,12,16,10,9,9,9,0,53,20,25,14,7,14,5,3,84,9,17,10,3,10,4,0,66,248,229,108,60,96,23,11,771,0,0,0,3,0,0,0,6,293,286,142,85,125,38,19,988,0,0,3,0,8,0,0,19,6,14,6,10,8,7,3,50,6,0,4,4,7,0,0,17,118,115,63,50,51,14,3,411,3,0,0,0,0,0,0,7,136,133,74,57,74,19,3,500,426,416,222,147,198,57,22,1484
SSC10027,20,17,10,5,8,0,3,57,16,12,5,4,13,0,0,55,10,7,10,3,7,3,0,39,163,133,76,67,67,16,5,519,0,0,0,0,0,0,0,0,211,169,96,86,90,21,8,679,0,0,0,0,0,0,0,10,7,3,7,7,3,0,0,28,0,0,0,0,0,0,0,3,18,24,19,15,30,4,0,109,0,0,3,0,0,0,0,4,23,29,35,18,29,10,3,150,233,205,130,105,124,23,11,829
SSC10028,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,3,17,23,7,12,14,3,3,83,0,0,0,0,0,0,0,0,16,30,15,15,18,3,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,3,7,0,0,25,0,0,0,0,0,0,0,0,7,7,3,3,7,0,0,25,23,38,18,16,26,5,3,123
SSC10029,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,7,4,3,0,4,0,0,22,0,0,0,0,0,0,0,0,7,7,5,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,0,3,0,0,30
SSC10030,109,57,19,17,17,18,6,238,53,25,18,8,15,5,0,126,70,32,4,3,5,3,0,113,139,98,29,21,18,15,5,317,6,0,0,0,0,0,0,9,374,212,68,47,48,35,16,801,3,6,7,3,7,5,0,24,11,9,7,3,4,0,0,34,3,3,0,0,0,3,0,9,15,14,7,6,13,0,0,55,0,0,0,0,0,0,0,0,33,33,15,12,16,8,3,130,402,243,87,62,67,45,16,935
SSC10031,16,21,14,4,19,13,0,98,10,31,14,16,17,15,8,110,17,23,16,12,11,9,3,86,87,93,62,37,57,44,33,416,0,0,0,0,0,0,0,0,130,168,111,66,104,86,47,708,0,3,3,3,6,0,0,18,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,3,3,11,8,6,5,12,6,45,0,0,0,0,0,0,0,0,4,13,5,6,16,15,8,74,138,181,120,71,116,94,59,779
SSC10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,0,0,0,0,21,0,0,0,0,0,0,0,0,5,8,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,5,17,5,0,0,0,0,26
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,19,0,0,0,0,0,0,0,0,3,4,8,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,3,3,0,0,24
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,13,0,0,0,0,3,0,0,4,4,5,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,0,0,15
SSC10036,94,133,57,35,59,21,20,425,70,73,48,26,37,11,3,280,53,84,37,16,30,8,9,239,208,258,127,81,102,39,17,839,0,3,0,0,0,0,0,4,430,548,272,164,225,89,48,1788,0,4,3,3,3,0,3,23,0,0,3,10,4,0,0,24,0,3,0,3,7,0,0,17,10,14,9,11,16,8,3,68,0,0,0,0,0,0,0,3,10,30,14,28,35,11,3,131,443,579,287,189,260,101,50,1917
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,12,0,4,0,6,0,0,0,13
SSC10038,235,128,57,53,67,36,18,595,12,14,6,8,11,3,0,55,38,14,12,10,3,3,0,76,46,35,9,10,4,6,4,123,4,0,0,0,0,0,0,3,333,191,87,75,94,48,22,849,14,19,14,14,29,31,20,143,0,13,0,0,3,3,0,27,7,9,3,7,3,0,0,30,9,5,3,3,9,0,3,37,3,0,0,0,0,0,0,4,34,52,21,19,43,40,26,235,364,239,108,98,140,88,48,1086
SSC10039,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,3,0,0,11,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,3,0,0,16
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,7,3,3,0,0,22,0,0,0,0,0,0,0,0,0,4,7,3,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,6,5,0,0,27
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,7,3,0,0,0,26,0,0,0,0,0,0,0,0,8,10,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,10,13,5,5,0,0,0,33
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,13
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,0,0,0,17
SSC10044,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,7,4,9,0,7,3,3,0,20,0,0,0,0,0,0,0,0,4,7,5,9,4,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,9,4,3,0,34
SSC10045,0,3,0,0,5,0,0,11,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,14,18,12,9,18,3,0,72,0,0,0,0,0,0,0,0,17,21,12,6,25,5,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,10,15,30,15,13,28,6,3,103
SSC10046,5,12,3,4,9,3,0,39,16,21,12,8,3,3,0,61,31,25,10,4,5,0,3,90,191,215,82,65,90,32,9,684,0,0,0,0,0,0,0,4,245,276,111,87,110,40,10,877,0,0,0,3,0,0,0,3,0,3,5,6,6,3,0,29,0,3,3,4,11,3,0,25,32,46,42,31,42,8,0,207,0,0,0,3,0,0,0,7,34,55,55,42,58,14,0,261,276,329,170,131,169,49,12,1143
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,10,3,8,6,0,0,0,0,17
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,11,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,11
SSC10049,95,117,65,41,65,34,22,442,24,26,15,14,10,8,3,105,26,37,19,7,19,3,0,113,154,157,88,54,58,17,16,542,3,10,3,6,0,4,0,25,309,350,186,121,156,60,38,1219,16,29,20,16,22,10,10,119,20,17,7,13,15,0,0,76,15,12,6,4,5,3,0,47,132,140,67,45,55,12,3,456,14,13,6,3,0,0,0,34,196,210,105,81,97,26,13,730,506,558,296,203,255,86,56,1950
