SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC10032,28,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,88,0,..,35,88
SSC10033,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,..,7,10
SSC10034,23,82,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,90,0,..,29,90
SSC10035,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,0,..,35,70
SSC10036,1885,6039,96,143,69,102,168,241,164,276,3,0,0,0,9,7,173,285,0,0,0,3,0,0,0,0,0,3,9,18,2228,6592,176,..,2408,6592
SSC10037,28,66,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,67,4,..,33,67
SSC10038,343,1146,13,41,61,211,79,249,70,177,567,1494,944,2452,13,20,1591,4138,0,3,0,0,0,0,13,17,11,23,3,26,2031,5579,123,..,2160,5579
SSC10039,12,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,51,10,..,25,51
SSC10040,44,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,3,8,0,0,49,121,3,..,51,121
SSC10041,70,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,156,18,..,91,156
SSC10042,26,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,64,15,..,37,64
SSC10043,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,52,3,..,19,52
SSC10044,38,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,38,118,14,..,53,118
SSC10045,147,407,3,10,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,150,416,5,..,155,416
SSC10046,1807,4490,378,603,53,84,432,687,36,55,0,0,0,0,0,0,36,55,7,10,0,0,0,0,0,3,9,12,15,40,2301,5287,172,..,2472,5287
SSC10047,26,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,11,33,80,3,..,36,80
SSC10048,11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,0,..,16,38
SSC10049,1986,6207,94,228,126,337,223,566,76,156,20,37,0,0,0,0,94,200,0,0,0,0,0,0,0,0,0,0,0,0,2302,6974,100,..,2399,6974
SSC10050,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,5,..,18,30
SSC10051,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,..,3,9
SSC10052,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,34,6,..,28,34
SSC10053,7,18,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,3,..,14,16
SSC10054,29,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,70,4,..,36,70
SSC10055,23,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,47,5,..,24,47
SSC10056,56,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,142,5,..,61,142
SSC10057,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,8,6,0,0,21,37,5,..,27,37
SSC10058,29,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,3,5,4,10,34,67,77,..,110,67
SSC10059,62,141,0,4,19,35,18,44,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,7,87,190,44,..,132,190
SSC10060,1057,2720,72,168,101,260,171,436,3,4,0,0,0,0,0,0,3,4,19,34,88,126,0,0,4,16,109,173,20,40,1364,3375,285,..,1645,3375
SSC10061,163,488,1525,3846,823,2153,2353,5994,299,510,201,378,458,682,19,41,984,1611,0,0,0,0,0,0,72,158,78,162,28,66,3602,8328,427,..,4027,8328
SSC10062,366,1306,4,3,0,0,4,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,21,375,1343,27,..,403,1343
SSC10063,750,2395,13,22,3,8,17,25,4,5,0,0,0,0,0,0,9,9,0,0,0,3,5,17,3,5,13,28,6,14,788,2468,44,..,833,2468
SSC10064,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,28,7,..,22,28
SSC10065,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,7,..,20,38
SSC10066,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,..,6,11
SSC10067,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,31,93,30,101,0,0,36,104,6,..,41,104
SSC10068,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,..,8,14
SSC10069,168,376,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,177,387,47,..,224,387
SSC10070,68,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,69,130,29,..,96,130
SSC10071,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,..,3,9
SSC10072,409,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,416,1324,19,..,436,1324
SSC10073,494,1284,5,12,0,0,5,12,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,507,1305,82,..,588,1305
SSC10074,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,8,..,25,49
SSC10075,78,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,207,9,..,87,207
SSC10076,193,409,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,3,8,208,425,47,..,249,425
SSC10077,13,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,6,..,19,32
SSC10078,451,1152,46,82,8,12,52,85,21,33,0,0,0,0,0,0,21,33,0,0,0,0,0,0,3,3,3,3,4,3,530,1284,51,..,581,1284
SSC10079,86,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,197,4,..,90,197
SSC10080,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,..,6,19
SSC10081,166,382,8,6,0,0,8,6,3,9,0,0,0,0,0,0,3,9,0,0,0,0,0,3,0,3,3,4,4,30,185,433,47,..,227,433
SSC10082,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,36,4,..,19,36
SSC10083,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,..,3,19
SSC10084,43,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,128,11,..,58,128
SSC10085,6590,16696,749,1354,143,235,888,1595,459,756,46,89,0,3,0,3,503,855,10,15,11,25,3,10,7,16,35,57,67,143,8089,19344,1135,..,9224,19344
SSC10086,1547,5141,304,813,136,391,441,1207,191,415,473,1060,727,1954,10,20,1402,3454,0,0,0,0,0,0,33,96,33,96,22,43,3440,9938,289,..,3728,9938
SSC10087,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,..,0,7
SSC10088,191,357,0,6,3,7,3,7,0,0,0,0,0,0,0,0,0,0,18,25,34,59,16,33,0,3,65,117,0,0,258,484,33,..,292,484
SSC10089,192,503,4,6,3,7,3,14,3,5,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4,198,525,38,..,238,525
SSC10090,803,2562,29,69,285,760,314,828,361,768,1061,2484,1035,2403,0,0,2462,5652,0,0,0,0,0,0,8,16,8,16,8,12,3593,9080,253,..,3849,9080
SSC10091,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,39,0,..,15,39
SSC10092,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,6,0,0,12,41,7,..,22,41
SSC10093,947,2917,44,99,47,149,83,244,14,27,0,0,0,0,4,8,18,35,0,0,0,0,0,0,6,12,6,12,0,5,1050,3214,81,..,1132,3214
SSC10094,138,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,299,9,..,151,299
SSC10095,80,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,11,0,0,91,222,9,..,99,222
SSC10096,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,..,4,8
SSC10097,787,2775,8,26,9,50,18,77,112,232,98,162,0,0,0,0,215,397,0,0,0,0,0,0,3,10,4,12,0,0,1022,3260,76,..,1090,3260
SSC10098,1983,6294,349,865,325,901,676,1766,1622,3659,3180,7434,848,2208,15,40,5671,13350,0,3,0,0,0,0,39,124,42,124,179,239,8546,21777,625,..,9164,21777
SSC10099,238,530,0,5,0,0,0,5,3,8,0,0,0,0,0,0,3,8,6,9,0,0,0,3,9,9,15,23,0,0,255,567,44,..,296,567
SSC10100,127,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,333,12,..,135,333
SSC10101,1182,3075,0,0,0,0,0,0,238,364,0,0,0,0,0,0,238,364,0,0,0,0,0,0,0,0,0,0,4,10,1425,3453,180,..,1608,3453
SSC10102,1394,4184,90,173,5,13,87,181,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,3,1487,4375,82,..,1570,4375
SSC10103,910,2774,24,63,100,293,129,357,9,14,0,0,33,87,3,3,50,102,0,0,0,0,0,0,8,18,8,18,4,3,1091,3250,160,..,1250,3250
SSC10104,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,75,5,..,37,75
SSC10105,209,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,211,526,24,..,228,526
SSC10106,4559,17710,186,530,836,3008,1021,3537,1614,4973,1195,4036,1343,4957,40,126,4197,14084,0,0,0,0,5,17,82,309,86,328,54,118,9919,35774,678,..,10589,35774
SSC10107,41,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,107,7,..,42,107
SSC10108,694,1967,5,16,86,190,93,201,40,70,45,89,0,0,0,0,81,163,0,0,0,0,0,0,5,15,5,15,3,8,880,2355,96,..,976,2355
SSC10109,763,2403,6,16,0,10,7,24,3,3,0,0,0,0,0,4,4,8,0,0,0,0,3,8,0,0,5,15,47,58,830,2500,61,..,888,2500
SSC10110,51,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,129,0,..,47,129
SSC10111,2663,7949,30,73,45,117,80,189,338,591,146,278,50,106,3,3,537,975,0,0,5,3,0,0,4,16,10,20,13,31,3298,9170,419,..,3715,9170
SSC10112,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,14,..,20,17
SSC10113,70,194,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,194,23,..,100,194
SSC10114,1272,3788,15,37,75,139,88,174,48,113,15,27,5,9,0,0,70,158,52,73,35,49,0,0,3,4,83,130,7,6,1518,4259,647,..,2164,4259
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10116,478,1348,46,80,53,90,98,175,49,50,0,0,0,0,0,0,49,50,0,0,0,0,0,0,0,4,3,7,8,10,638,1580,69,..,709,1580
SSC10117,33,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,116,12,..,49,116
SSC10118,131,391,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,134,391,9,..,139,391
SSC10119,70,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,177,12,..,83,177
SSC10120,65,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,68,146,14,..,79,146
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC10122,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,..,4,9
SSC10123,11,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,5,..,15,36
SSC10124,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,..,6,21
SSC10125,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,0,..,10,24
SSC10126,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,..,7,6
SSC10127,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,..,5,9
SSC10128,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,..,8,9
SSC10129,23,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,70,8,..,27,70
SSC10130,45,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,136,8,..,57,136
SSC10131,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,7,..,12,14
SSC10132,65,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,65,206,9,..,73,206
SSC10133,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,..,4,6
SSC10134,17,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55,5,..,25,55
SSC10135,9,18,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,15,26,0,..,18,26
SSC10136,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,4,..,22,41
SSC10137,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,40,0,..,11,40
SSC10138,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,40,0,..,18,40
SSC10139,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,3,..,15,32
SSC10140,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,..,10,9
SSC10141,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,..,9,10
SSC10142,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,5,17,0,0,20,38,7,..,26,38
SSC10143,163,435,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,443,13,..,177,443
SSC10144,43,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,100,14,..,64,100
SSC10145,346,877,0,0,0,0,0,0,10,23,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,5,355,906,81,..,434,906
SSC10146,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,48,5,..,23,48
SSC10147,86,222,5,9,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,231,11,..,100,231
SSC10148,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,..,4,9
SSC10149,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,..,11,10
SSC10150,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,5,..,26,45
SSC10151,30,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,85,12,..,47,85
SSC10152,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,4,..,20,36
SSC10153,1026,3050,103,265,598,1500,703,1762,511,1140,503,993,222,401,5,12,1238,2552,0,0,0,0,0,0,27,56,32,58,12,24,3008,7453,273,..,3278,7453
SSC10154,980,3100,10,13,18,48,30,64,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,10,9,10,3,11,1018,3187,71,..,1092,3187
