POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA2018,17,21,17,14,13,5,6,187,0,17,67,25,11,5,5,3,5,3,3,3,0,0,9,161,0,0,0,0,0,10,17,7,0,3,3,0,0,0,4,55,0,0,0,0,11,31,33,19,0,3,0,4,3,0,3,103,0,4,9,49,11,17,6,3,0,0,0,0,0,0,3,95,0,0,3,6,10,33,27,17,9,18,11,18,16,11,3,176,0,22,29,4,3,0,0,0,0,0,0,0,0,0,0,53,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,13,0,0,0,15,44,58,73,30,14,7,7,10,21,9,15,306,0,0,0,3,0,13,7,10,5,5,0,6,4,3,0,61,0,0,0,10,37,104,45,50,4,12,8,11,5,4,7,293,0,0,0,0,6,20,6,0,0,0,0,5,3,0,3,47,0,0,4,3,3,11,8,11,3,0,6,0,4,0,0,45
POA2019,11,10,5,0,3,7,3,124,0,14,22,14,13,3,4,3,0,0,4,0,0,0,7,75,0,0,0,0,3,3,7,3,0,0,0,0,0,0,0,19,0,0,0,0,6,7,5,3,0,0,0,0,0,0,3,24,0,0,0,13,3,3,0,0,0,0,0,0,0,0,4,26,0,0,0,4,9,8,18,13,0,0,3,5,0,4,0,64,0,9,13,11,3,0,0,0,0,0,0,0,0,0,3,37,0,3,0,0,8,4,0,7,0,0,0,0,0,0,0,20,0,0,3,23,58,47,52,36,3,5,14,9,3,9,12,273,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,19,0,0,0,8,36,65,26,33,5,0,3,11,3,0,10,211,0,0,3,0,6,3,4,5,0,0,0,0,0,0,3,20,0,0,0,3,3,4,9,0,0,0,0,0,0,0,0,21
POA2020,23,22,11,13,10,0,3,158,3,5,40,15,7,6,3,3,0,5,0,6,5,0,0,103,0,0,0,0,0,14,18,16,3,9,4,3,3,0,4,81,0,0,0,0,3,16,35,18,3,4,3,3,4,4,4,104,0,0,0,28,5,3,0,0,0,0,0,3,0,0,0,52,0,0,0,0,11,42,44,38,5,3,9,9,3,0,11,168,0,18,22,16,4,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,3,14,33,41,70,40,15,11,13,5,4,5,9,274,0,0,0,0,0,4,5,7,0,3,9,9,3,3,0,39,0,0,0,17,35,106,74,57,9,21,7,30,14,9,16,396,0,0,0,0,14,4,4,3,0,0,7,0,10,0,0,43,0,0,0,0,3,4,24,16,9,9,0,5,8,3,0,71
POA2021,13,9,14,0,8,0,0,156,0,11,16,6,10,0,4,8,3,4,11,6,7,4,8,95,0,0,0,7,0,11,11,5,0,6,4,5,0,0,3,52,0,0,0,0,6,8,10,5,3,0,3,0,0,0,0,37,0,0,0,3,3,0,3,0,0,0,0,3,0,0,0,11,0,0,0,9,27,19,4,4,0,3,0,0,0,0,0,72,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,6,3,3,3,4,3,5,0,3,5,0,4,4,3,49,0,7,13,46,95,78,97,59,29,16,21,12,21,14,11,524,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,3,11,11,14,10,9,3,10,3,4,3,3,71,0,3,0,0,15,5,4,4,0,0,4,0,0,3,0,37,0,0,4,0,4,10,15,4,0,0,3,4,0,3,6,55
POA2022,35,32,56,34,32,22,13,331,0,10,27,16,4,3,11,15,5,16,14,16,11,9,0,149,0,0,0,4,14,12,22,13,3,10,3,4,3,4,6,105,0,0,0,0,5,13,20,22,0,0,3,5,4,6,4,85,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,12,0,0,0,8,7,18,7,5,0,0,0,0,0,0,0,44,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,6,3,0,5,0,0,0,0,27,3,3,10,29,62,49,77,49,13,17,17,16,9,10,9,355,0,0,0,3,0,0,3,4,0,0,0,0,0,0,0,14,0,0,0,0,6,14,24,23,3,9,5,13,9,4,0,123,6,9,4,0,14,8,11,3,0,6,0,3,3,3,0,73,0,0,5,3,5,9,11,11,0,3,0,0,0,0,0,55
POA2023,7,6,3,4,3,3,0,71,0,8,3,8,4,5,4,3,0,0,4,3,4,0,0,62,0,0,0,0,0,3,5,7,0,0,0,0,0,0,3,26,0,0,0,0,0,5,10,3,10,0,4,0,0,6,0,33,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,11,9,3,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,3,0,3,3,0,0,0,0,0,0,0,22,0,3,8,21,30,26,53,36,15,5,11,9,3,3,5,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,16,11,11,0,5,0,4,11,5,0,65,3,18,18,0,9,0,4,5,0,0,0,0,0,0,0,63,0,0,3,6,11,0,8,5,0,7,0,0,4,4,6,57
POA2024,9,11,9,6,6,3,0,151,3,18,29,15,0,3,5,17,4,9,10,3,8,4,3,127,0,0,0,0,0,6,18,4,0,0,3,0,0,0,0,38,0,0,0,0,3,0,9,9,0,0,0,0,0,0,0,16,0,0,0,9,0,4,5,0,0,0,0,0,0,0,0,23,0,0,0,3,11,4,0,0,0,0,0,0,0,0,3,24,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,5,7,0,0,3,3,5,0,0,0,0,0,0,3,26,0,0,4,19,49,51,52,40,11,6,7,9,16,4,8,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,4,0,0,0,0,0,3,0,0,29,0,0,0,3,12,4,7,5,0,0,0,0,0,0,4,45,0,0,0,4,3,9,5,3,0,0,3,0,0,0,0,35
POA2025,4,6,3,3,3,10,0,58,0,3,7,3,3,0,3,5,0,0,4,3,3,3,4,44,0,0,0,0,4,4,0,4,0,0,3,0,0,0,0,20,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,14,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,12,0,0,0,5,10,7,3,0,0,0,0,3,0,0,0,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,3,0,0,3,8,0,0,0,0,0,0,0,27,0,0,12,22,31,33,40,20,9,6,4,10,10,5,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,14,0,5,3,0,4,0,0,48,0,7,0,0,10,4,0,0,0,0,3,0,0,0,0,25,0,0,0,9,4,5,10,3,0,0,4,3,4,0,0,42
POA2026,45,34,33,30,38,16,6,461,0,24,45,13,5,9,27,75,26,42,70,65,24,20,18,461,0,0,3,0,4,20,26,18,3,10,3,12,3,13,6,121,0,0,0,0,7,14,4,11,4,3,0,0,5,3,3,50,0,0,3,16,7,4,0,0,0,0,0,0,3,0,4,36,0,0,4,11,14,12,5,6,0,0,0,0,0,3,4,60,0,10,4,0,0,0,0,0,0,0,0,0,0,0,3,20,0,4,10,4,4,3,15,13,3,8,3,10,13,7,0,104,0,4,4,41,120,120,221,147,43,43,45,35,32,25,32,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,9,31,18,32,6,10,12,9,6,3,12,167,10,8,32,5,21,13,20,12,3,3,4,3,6,3,0,144,0,0,19,16,11,13,11,8,0,0,4,0,0,0,0,84
POA2027,8,3,4,9,7,0,3,77,7,7,12,4,6,5,3,0,4,0,0,7,4,0,4,60,0,0,0,3,0,4,16,0,3,0,0,3,0,0,3,32,0,0,0,0,3,3,3,7,0,0,0,0,0,0,3,21,0,3,0,8,0,3,0,0,0,0,0,0,0,0,0,14,0,0,3,5,13,7,12,0,0,0,0,0,0,0,3,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,4,0,0,3,0,0,0,0,22,3,6,10,31,33,39,39,20,10,6,8,3,8,9,16,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,9,6,3,0,3,0,4,0,0,4,38,6,13,15,0,3,4,6,0,0,0,0,3,0,0,0,51,0,3,0,4,9,3,8,7,3,0,4,0,0,0,3,42
POA2028,7,3,3,5,3,0,0,45,0,3,4,3,0,0,3,3,0,0,3,3,3,0,0,28,0,0,0,3,5,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,3,3,4,3,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,5,17,20,19,30,24,3,7,11,10,11,8,4,165,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,4,7,4,6,3,0,0,0,0,0,0,20,3,8,4,0,3,3,0,0,0,3,0,0,0,0,0,19,0,0,3,0,4,3,5,6,0,0,0,4,0,0,0,26
POA2029,14,3,3,3,4,0,0,84,0,12,11,13,0,6,6,9,0,3,3,0,0,0,0,73,0,0,3,0,3,8,7,0,0,3,0,3,0,0,3,37,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,20,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,9,0,0,3,4,11,6,0,0,0,0,3,0,3,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,3,3,3,3,0,0,0,0,0,0,17,4,4,7,24,36,36,42,31,9,13,4,10,7,3,7,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,14,21,7,3,0,12,0,9,3,84,0,22,17,0,6,3,0,0,0,0,0,0,0,0,3,58,0,0,0,4,7,3,3,3,0,0,3,3,0,0,0,34
POA2030,0,0,3,0,4,0,0,56,0,22,22,12,6,5,10,12,0,4,12,0,0,0,6,112,0,0,0,3,3,11,12,3,4,0,3,0,0,0,0,38,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,21,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,8,17,9,7,4,0,0,0,3,4,0,0,52,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,5,0,3,0,3,0,0,3,3,0,0,0,28,0,4,8,30,39,34,54,31,12,3,11,8,0,3,13,242,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,5,8,6,5,19,3,3,8,3,9,3,4,69,0,33,8,4,16,0,0,4,0,0,0,0,0,0,3,74,0,0,3,3,7,3,10,4,0,0,0,8,3,0,0,52
