LGA_NAME16	MaxSchoolingCompleted	adults
Central Coast (C) (NSW)	Year 9	23708
Central Coast (C) (NSW)	Year 10	81551
Central Coast (C) (NSW)	Year 11	18744
Central Coast (C) (NSW)	Year 12	107606
Central Darling (A)	Did not go to school	7
Central Darling (A)	Year 8	156
Central Darling (A)	Year 9	174
Central Darling (A)	Year 10	376
Central Darling (A)	Year 11	114
Central Darling (A)	Year 12	332
Cessnock (C)	Did not go to school	114
Cessnock (C)	Year 8	2770
Cessnock (C)	Year 9	5164
Cessnock (C)	Year 10	15465
Cessnock (C)	Year 11	3367
Cessnock (C)	Year 12	12134
Clarence Valley (A)	Did not go to school	132
Clarence Valley (A)	Year 8	2870
Clarence Valley (A)	Year 9	4488
Clarence Valley (A)	Year 10	14515
Clarence Valley (A)	Year 11	2928
Clarence Valley (A)	Year 12	12770
Cobar (A)	Did not go to school	13
Cobar (A)	Year 8	241
Cobar (A)	Year 9	327
Cobar (A)	Year 10	1122
Cobar (A)	Year 11	311
Cobar (A)	Year 12	1068
Coffs Harbour (C)	Did not go to school	349
Coffs Harbour (C)	Year 8	3073
Coffs Harbour (C)	Year 9	5177
Coffs Harbour (C)	Year 10	17580
Coffs Harbour (C)	Year 11	4494
Coffs Harbour (C)	Year 12	23088
Coolamon (A)	Did not go to school	7
Coolamon (A)	Year 8	216
Coolamon (A)	Year 9	390
Coolamon (A)	Year 10	1117
Coolamon (A)	Year 11	231
Coolamon (A)	Year 12	1000
Coonamble (A)	Did not go to school	28
Coonamble (A)	Year 8	274
Coonamble (A)	Year 9	295
Coonamble (A)	Year 10	825
Coonamble (A)	Year 11	235
Coonamble (A)	Year 12	866
Cowra (A)	Did not go to school	39
Cowra (A)	Year 8	842
Cowra (A)	Year 9	1160
Cowra (A)	Year 10	3510
Cowra (A)	Year 11	683
Cowra (A)	Year 12	2929
Cumberland (A)	Did not go to school	6512
Cumberland (A)	Year 8	11626
Cumberland (A)	Year 9	8031
Cumberland (A)	Year 10	26075
Cumberland (A)	Year 11	8007
Cumberland (A)	Year 12	98764
Dungog (A)	Did not go to school	13
Dungog (A)	Year 8	417
Dungog (A)	Year 9	702
Dungog (A)	Year 10	2642
Dungog (A)	Year 11	506
Dungog (A)	Year 12	2325
Edward River (A)	Did not go to school	41
Edward River (A)	Year 8	491
Edward River (A)	Year 9	724
Edward River (A)	Year 10	1893
Edward River (A)	Year 11	775
Edward River (A)	Year 12	2347
Eurobodalla (A)	Did not go to school	77
Eurobodalla (A)	Year 8	1810
Eurobodalla (A)	Year 9	3000
Eurobodalla (A)	Year 10	9593
Eurobodalla (A)	Year 11	2309
Eurobodalla (A)	Year 12	11587
Fairfield (C)	Did not go to school	10505
Fairfield (C)	Year 8	16582
Fairfield (C)	Year 9	9903
Fairfield (C)	Year 10	26677
Fairfield (C)	Year 11	8744
Fairfield (C)	Year 12	77619
Federation (A)	Did not go to school	26
Federation (A)	Year 8	735
Federation (A)	Year 9	980
Federation (A)	Year 10	2792
Federation (A)	Year 11	1366
Federation (A)	Year 12	3044
Forbes (A)	Did not go to school	24
Forbes (A)	Year 8	546
Forbes (A)	Year 9	762
Forbes (A)	Year 10	2366
Forbes (A)	Year 11	583
Forbes (A)	Year 12	2443
Georges River (A)	Did not go to school	1810
Georges River (A)	Year 8	5494
Georges River (A)	Year 9	5344
Georges River (A)	Year 10	17460
Georges River (A)	Year 11	5398
Georges River (A)	Year 12	79629
Gilgandra (A)	Did not go to school	9
Gilgandra (A)	Year 8	327
Gilgandra (A)	Year 9	409
Gilgandra (A)	Year 10	1130
Gilgandra (A)	Year 11	233
Gilgandra (A)	Year 12	943
Glen Innes Severn (A)	Did not go to school	27
Glen Innes Severn (A)	Year 8	621
Glen Innes Severn (A)	Year 9	734
Glen Innes Severn (A)	Year 10	2314
Glen Innes Severn (A)	Year 11	436
Glen Innes Severn (A)	Year 12	2114
Goulburn Mulwaree (A)	Did not go to school	129
Goulburn Mulwaree (A)	Year 8	1364
Goulburn Mulwaree (A)	Year 9	2177
Goulburn Mulwaree (A)	Year 10	7412
Goulburn Mulwaree (A)	Year 11	1596
Goulburn Mulwaree (A)	Year 12	8512
Greater Hume Shire (A)	Did not go to school	17
Greater Hume Shire (A)	Year 8	502
Greater Hume Shire (A)	Year 9	809
Greater Hume Shire (A)	Year 10	2475
Greater Hume Shire (A)	Year 11	815
Greater Hume Shire (A)	Year 12	2731
Griffith (C)	Did not go to school	292
Griffith (C)	Year 8	1617
Griffith (C)	Year 9	1577
Griffith (C)	Year 10	5944
Griffith (C)	Year 11	1428
Griffith (C)	Year 12	6924
Gundagai (A)	Did not go to school	29
Gundagai (A)	Year 8	691
Gundagai (A)	Year 9	951
Gundagai (A)	Year 10	3058
Gundagai (A)	Year 11	626
Gundagai (A)	Year 12	2836
Gunnedah (A)	Did not go to school	42
Gunnedah (A)	Year 8	679
Gunnedah (A)	Year 9	922
Gunnedah (A)	Year 10	3178
Gunnedah (A)	Year 11	677
Gunnedah (A)	Year 12	3092
Gwydir (A)	Did not go to school	9
Gwydir (A)	Year 8	396
Gwydir (A)	Year 9	420
Gwydir (A)	Year 10	1296
Gwydir (A)	Year 11	271
Gwydir (A)	Year 12	1285
Hawkesbury (C)	Did not go to school	181
Hawkesbury (C)	Year 8	2253
Hawkesbury (C)	Year 9	4310
Hawkesbury (C)	Year 10	16979
Hawkesbury (C)	Year 11	3716
Hawkesbury (C)	Year 12	20424
Hay (A)	Did not go to school	8
Hay (A)	Year 8	213
Hay (A)	Year 9	234
Hay (A)	Year 10	625
Hay (A)	Year 11	222
Hay (A)	Year 12	770
Hilltops (A)	Did not go to school	83
Hilltops (A)	Year 8	1078
Hilltops (A)	Year 9	1527
Hilltops (A)	Year 10	4749
Hilltops (A)	Year 11	1134
Hilltops (A)	Year 12	4706
Hornsby (A)	Did not go to school	659
Hornsby (A)	Year 8	2379
Hornsby (A)	Year 9	4471
Hornsby (A)	Year 10	16898
Hornsby (A)	Year 11	5625
Hornsby (A)	Year 12	78835
Hunters Hill (A)	Did not go to school	50
Hunters Hill (A)	Year 8	292
Hunters Hill (A)	Year 9	485
Hunters Hill (A)	Year 10	1398
Hunters Hill (A)	Year 11	584
Hunters Hill (A)	Year 12	7588
Inner West (A)	Did not go to school	2004
Inner West (A)	Year 8	6280
Inner West (A)	Year 9	3959
Inner West (A)	Year 10	15133
Inner West (A)	Year 11	5720
Inner West (A)	Year 12	107333
Inverell (A)	Did not go to school	41
Inverell (A)	Year 8	1001
Inverell (A)	Year 9	1366
Inverell (A)	Year 10	4216
Inverell (A)	Year 11	883
Inverell (A)	Year 12	4125
Junee (A)	Did not go to school	14
Junee (A)	Year 8	266
Junee (A)	Year 9	426
Junee (A)	Year 10	1419
Junee (A)	Year 11	320
Junee (A)	Year 12	1342
Kempsey (A)	Did not go to school	79
Kempsey (A)	Year 8	1840
Kempsey (A)	Year 9	2747
Kempsey (A)	Year 10	7785
Kempsey (A)	Year 11	1602
Kempsey (A)	Year 12	6386
Kiama (A)	Did not go to school	37
Kiama (A)	Year 8	613
Kiama (A)	Year 9	1200
Kiama (A)	Year 10	4829
Kiama (A)	Year 11	1139
Kiama (A)	Year 12	8612
Ku-ring-gai (A)	Did not go to school	333
Ku-ring-gai (A)	Year 8	1384
Ku-ring-gai (A)	Year 9	2999
Ku-ring-gai (A)	Year 10	8476
Ku-ring-gai (A)	Year 11	4344
Ku-ring-gai (A)	Year 12	71951
Kyogle (A)	Did not go to school	24
Kyogle (A)	Year 8	555
Kyogle (A)	Year 9	692
Kyogle (A)	Year 10	2494
Kyogle (A)	Year 11	571
Kyogle (A)	Year 12	2247
Lachlan (A)	Did not go to school	32
Lachlan (A)	Year 8	373
Lachlan (A)	Year 9	464
Lachlan (A)	Year 10	1442
Lachlan (A)	Year 11	321
Lachlan (A)	Year 12	1508
Lake Macquarie (C)	Did not go to school	446
Lake Macquarie (C)	Year 8	7723
Lake Macquarie (C)	Year 9	16445
Lake Macquarie (C)	Year 10	52598
Lake Macquarie (C)	Year 11	11214
Lake Macquarie (C)	Year 12	61835
Lane Cove (A)	Did not go to school	103
Lane Cove (A)	Year 8	415
Lane Cove (A)	Year 9	723
Lane Cove (A)	Year 10	2492
Lane Cove (A)	Year 11	1177
Lane Cove (A)	Year 12	22777
Leeton (A)	Did not go to school	41
Leeton (A)	Year 8	667
Leeton (A)	Year 9	888
Leeton (A)	Year 10	3037
Leeton (A)	Year 11	694
Leeton (A)	Year 12	2453
Lismore (C)	Did not go to school	107
Lismore (C)	Year 8	1850
Lismore (C)	Year 9	2752
Lismore (C)	Year 10	10370
Lismore (C)	Year 11	2518
Lismore (C)	Year 12	14267
Lithgow (C)	Did not go to school	49
Lithgow (C)	Year 8	1104
Lithgow (C)	Year 9	1702
Lithgow (C)	Year 10	5933
Lithgow (C)	Year 11	1184
Lithgow (C)	Year 12	4940
Liverpool (C)	Did not go to school	4141
Liverpool (C)	Year 8	9827
Liverpool (C)	Year 9	8829
Liverpool (C)	Year 10	30077
Liverpool (C)	Year 11	9275
Liverpool (C)	Year 12	82371
Liverpool Plains (A)	Did not go to school	25
Liverpool Plains (A)	Year 8	456
Liverpool Plains (A)	Year 9	664
Liverpool Plains (A)	Year 10	2066
Liverpool Plains (A)	Year 11	439
Liverpool Plains (A)	Year 12	1791
Lockhart (A)	Did not go to school	4
Lockhart (A)	Year 8	169
Lockhart (A)	Year 9	235
Lockhart (A)	Year 10	823
Lockhart (A)	Year 11	198
Lockhart (A)	Year 12	757
Maitland (C)	Did not go to school	153
Maitland (C)	Year 8	2747
Maitland (C)	Year 9	5912
Maitland (C)	Year 10	20223
Maitland (C)	Year 11	4711
Maitland (C)	Year 12	22498
Mid-Coast (A)	Did not go to school	211
Mid-Coast (A)	Year 8	5199
Mid-Coast (A)	Year 9	9023
Mid-Coast (A)	Year 10	26425
Mid-Coast (A)	Year 11	5108
Mid-Coast (A)	Year 12	22398
Mid-Western Regional (A)	Did not go to school	62
Mid-Western Regional (A)	Year 8	1198
Mid-Western Regional (A)	Year 9	1736
Mid-Western Regional (A)	Year 10	6056
Mid-Western Regional (A)	Year 11	1403
Mid-Western Regional (A)	Year 12	6312
Moree Plains (A)	Did not go to school	55
Moree Plains (A)	Year 8	687
Moree Plains (A)	Year 9	928
Moree Plains (A)	Year 10	2839
Moree Plains (A)	Year 11	750
Moree Plains (A)	Year 12	3399
Mosman (A)	Did not go to school	45
Mosman (A)	Year 8	222
Mosman (A)	Year 9	555
Mosman (A)	Year 10	1892
Mosman (A)	Year 11	1027
Mosman (A)	Year 12	17798
Murray River (A)	Did not go to school	26
Murray River (A)	Year 8	759
Murray River (A)	Year 9	1021
Murray River (A)	Year 10	2166
Murray River (A)	Year 11	1590
Murray River (A)	Year 12	3045
Murrumbidgee (A)	Did not go to school	9
Murrumbidgee (A)	Year 8	261
Murrumbidgee (A)	Year 9	292
Murrumbidgee (A)	Year 10	878
Murrumbidgee (A)	Year 11	281
Murrumbidgee (A)	Year 12	920
Muswellbrook (A)	Did not go to school	38
Muswellbrook (A)	Year 8	739
Muswellbrook (A)	Year 9	1294
Muswellbrook (A)	Year 10	4270
Muswellbrook (A)	Year 11	1044
Muswellbrook (A)	Year 12	3682
Nambucca (A)	Did not go to school	48
Nambucca (A)	Year 8	1070
Nambucca (A)	Year 9	1815
Nambucca (A)	Year 10	5297
Nambucca (A)	Year 11	1123
Nambucca (A)	Year 12	4837
Narrabri (A)	Did not go to school	34
Narrabri (A)	Year 8	698
Narrabri (A)	Year 9	980
Narrabri (A)	Year 10	3144
Narrabri (A)	Year 11	738
Narrabri (A)	Year 12	3259
Narrandera (A)	Did not go to school	30
Narrandera (A)	Year 8	354
Narrandera (A)	Year 9	492
Narrandera (A)	Year 10	1461
Narrandera (A)	Year 11	346
Narrandera (A)	Year 12	1285
Narromine (A)	Did not go to school	18
Narromine (A)	Year 8	343
Narromine (A)	Year 9	515
Narromine (A)	Year 10	1592
Narromine (A)	Year 11	347
Narromine (A)	Year 12	1613
Newcastle (C)	Did not go to school	580
Newcastle (C)	Year 8	5164
Newcastle (C)	Year 9	9571
Newcastle (C)	Year 10	31571
Newcastle (C)	Year 11	7617
Newcastle (C)	Year 12	65230
North Sydney (A)	Did not go to school	127
North Sydney (A)	Year 8	488
North Sydney (A)	Year 9	852
North Sydney (A)	Year 10	3948
North Sydney (A)	Year 11	1928
North Sydney (A)	Year 12	46624
Northern Beaches (A)	Did not go to school	751
Northern Beaches (A)	Year 8	4424
Northern Beaches (A)	Year 9	8012
Northern Beaches (A)	Year 10	33543
Northern Beaches (A)	Year 11	10904
Northern Beaches (A)	Year 12	131771
Oberon (A)	Did not go to school	13
Oberon (A)	Year 8	248
Oberon (A)	Year 9	376
Oberon (A)	Year 10	1414
Oberon (A)	Year 11	272
Oberon (A)	Year 12	1384
Orange (C)	Did not go to school	146
Orange (C)	Year 8	1774
Orange (C)	Year 9	2644
Orange (C)	Year 10	9154
Orange (C)	Year 11	2115
Orange (C)	Year 12	13101
Parkes (A)	Did not go to school	34
Parkes (A)	Year 8	780
Parkes (A)	Year 9	1087
Parkes (A)	Year 10	3748
Parkes (A)	Year 11	848
Parkes (A)	Year 12	3651
Parramatta (C)	Did not go to school	2234
Parramatta (C)	Year 8	5092
Parramatta (C)	Year 9	6707
Parramatta (C)	Year 10	22755
Parramatta (C)	Year 11	7301
Parramatta (C)	Year 12	125946
Penrith (C)	Did not go to school	927
Penrith (C)	Year 8	7063
Penrith (C)	Year 9	11663
Penrith (C)	Year 10	45345
Penrith (C)	Year 11	10687
Penrith (C)	Year 12	66656
Port Macquarie-Hastings (A)	Did not go to school	151
Port Macquarie-Hastings (A)	Year 8	3395
Port Macquarie-Hastings (A)	Year 9	6316
Port Macquarie-Hastings (A)	Year 10	20624
Port Macquarie-Hastings (A)	Year 11	4960
Port Macquarie-Hastings (A)	Year 12	23613
Port Stephens (A)	Did not go to school	174
Port Stephens (A)	Year 8	2585
Port Stephens (A)	Year 9	5827
Port Stephens (A)	Year 10	18960
Port Stephens (A)	Year 11	4288
Port Stephens (A)	Year 12	19488
Queanbeyan-Palerang Regional (A)	Did not go to school	181
Queanbeyan-Palerang Regional (A)	Year 8	1707
Queanbeyan-Palerang Regional (A)	Year 9	2430
Queanbeyan-Palerang Regional (A)	Year 10	9241
Queanbeyan-Palerang Regional (A)	Year 11	2801
Queanbeyan-Palerang Regional (A)	Year 12	24724
Randwick (C)	Did not go to school	759
Randwick (C)	Year 8	3261
Randwick (C)	Year 9	3509
Randwick (C)	Year 10	12448
Randwick (C)	Year 11	4569
Randwick (C)	Year 12	82913
Richmond Valley (A)	Did not go to school	60
Richmond Valley (A)	Year 8	1548
Richmond Valley (A)	Year 9	2067
Richmond Valley (A)	Year 10	6427
Richmond Valley (A)	Year 11	1350
Richmond Valley (A)	Year 12	4915
Rockdale (C)	Did not go to school	1487
Rockdale (C)	Year 8	5029
Rockdale (C)	Year 9	3379
Rockdale (C)	Year 10	12934
Rockdale (C)	Year 11	4089
Rockdale (C)	Year 12	57176
Ryde (C)	Did not go to school	1024
Ryde (C)	Year 8	3193
Ryde (C)	Year 9	3268
Ryde (C)	Year 10	11221
Ryde (C)	Year 11	3579
Ryde (C)	Year 12	69482
Shellharbour (C)	Did not go to school	333
Shellharbour (C)	Year 8	3171
Shellharbour (C)	Year 9	5129
Shellharbour (C)	Year 10	18732
Shellharbour (C)	Year 11	4181
Shellharbour (C)	Year 12	19018
Shoalhaven (C)	Did not go to school	217
Shoalhaven (C)	Year 8	4639
Shoalhaven (C)	Year 9	8627
Shoalhaven (C)	Year 10	26663
Shoalhaven (C)	Year 11	5708
Shoalhaven (C)	Year 12	28243
Singleton (A)	Did not go to school	37
Singleton (A)	Year 8	871
Singleton (A)	Year 9	1667
Singleton (A)	Year 10	6159
Singleton (A)	Year 11	1594
Singleton (A)	Year 12	6167
Snowy Monaro Regional (A)	Did not go to school	64
Snowy Monaro Regional (A)	Year 8	785
Snowy Monaro Regional (A)	Year 9	1152
Snowy Monaro Regional (A)	Year 10	4347
Snowy Monaro Regional (A)	Year 11	1170
Snowy Monaro Regional (A)	Year 12	7214
Snowy Valleys (A)	Did not go to school	44
Snowy Valleys (A)	Year 8	780
Snowy Valleys (A)	Year 9	1140
Snowy Valleys (A)	Year 10	3679
Snowy Valleys (A)	Year 11	974
Snowy Valleys (A)	Year 12	3546
Strathfield (A)	Did not go to school	490
Strathfield (A)	Year 8	1156
Strathfield (A)	Year 9	919
Strathfield (A)	Year 10	3031
Strathfield (A)	Year 11	1177
Strathfield (A)	Year 12	24601
Sutherland Shire (A)	Did not go to school	609
Sutherland Shire (A)	Year 8	4794
Sutherland Shire (A)	Year 9	9787
Sutherland Shire (A)	Year 10	43227
Sutherland Shire (A)	Year 11	10008
Sutherland Shire (A)	Year 12	98500
Sydney (C)	Did not go to school	1370
Sydney (C)	Year 8	3093
Sydney (C)	Year 9	3167
Sydney (C)	Year 10	11036
Sydney (C)	Year 11	5931
Sydney (C)	Year 12	143048
Tamworth Regional (A)	Did not go to school	181
Tamworth Regional (A)	Year 8	2768
Tamworth Regional (A)	Year 9	4489
Tamworth Regional (A)	Year 10	14878
Tamworth Regional (A)	Year 11	3294
Tamworth Regional (A)	Year 12	16912
Temora (A)	Did not go to school	16
Temora (A)	Year 8	367
Temora (A)	Year 9	574
Temora (A)	Year 10	1781
Temora (A)	Year 11	339
Temora (A)	Year 12	1398
Tenterfield (A)	Did not go to school	20
Tenterfield (A)	Year 8	396
Tenterfield (A)	Year 9	563
Tenterfield (A)	Year 10	1752
Tenterfield (A)	Year 11	399
Tenterfield (A)	Year 12	1665
The Hills Shire (A)	Did not go to school	656
The Hills Shire (A)	Year 8	2861
The Hills Shire (A)	Year 9	5373
The Hills Shire (A)	Year 10	21413
The Hills Shire (A)	Year 11	6434
The Hills Shire (A)	Year 12	81897
Tweed (A)	Did not go to school	199
Tweed (A)	Year 8	3996
Tweed (A)	Year 9	6117
Tweed (A)	Year 10	22811
Tweed (A)	Year 11	5921
Tweed (A)	Year 12	29064
Upper Hunter Shire (A)	Did not go to school	30
Upper Hunter Shire (A)	Year 8	707
Upper Hunter Shire (A)	Year 9	1054
Upper Hunter Shire (A)	Year 10	3576
Upper Hunter Shire (A)	Year 11	746
Upper Hunter Shire (A)	Year 12	3723
Upper Lachlan Shire (A)	Did not go to school	16
Upper Lachlan Shire (A)	Year 8	423
Upper Lachlan Shire (A)	Year 9	571
Upper Lachlan Shire (A)	Year 10	1910
Upper Lachlan Shire (A)	Year 11	422
Upper Lachlan Shire (A)	Year 12	2287
Uralla (A)	Did not go to school	13
Uralla (A)	Year 8	300
Uralla (A)	Year 9	400
Uralla (A)	Year 10	1449
Uralla (A)	Year 11	299
Uralla (A)	Year 12	1937
Wagga Wagga (C)	Did not go to school	213
Wagga Wagga (C)	Year 8	2377
Wagga Wagga (C)	Year 9	3960
Wagga Wagga (C)	Year 10	13784
Wagga Wagga (C)	Year 11	3710
Wagga Wagga (C)	Year 12	21694
Walcha (A)	Did not go to school	6
Walcha (A)	Year 8	157
Walcha (A)	Year 9	257
Walcha (A)	Year 10	748
Walcha (A)	Year 11	147
Walcha (A)	Year 12	872
Walgett (A)	Did not go to school	53
Walgett (A)	Year 8	442
Walgett (A)	Year 9	506
Walgett (A)	Year 10	1319
Walgett (A)	Year 11	375
Walgett (A)	Year 12	1422
Warren (A)	Did not go to school	14
Warren (A)	Year 8	118
Warren (A)	Year 9	203
Warren (A)	Year 10	621
Warren (A)	Year 11	123
Warren (A)	Year 12	780
Warrumbungle Shire (A)	Did not go to school	17
Warrumbungle Shire (A)	Year 8	615
Warrumbungle Shire (A)	Year 9	813
Warrumbungle Shire (A)	Year 10	2397
Warrumbungle Shire (A)	Year 11	509
Warrumbungle Shire (A)	Year 12	2278
Waverley (A)	Did not go to school	142
Waverley (A)	Year 8	802
Waverley (A)	Year 9	1098
Waverley (A)	Year 10	4258
Waverley (A)	Year 11	1990
Waverley (A)	Year 12	40994
Weddin (A)	Did not go to school	5
Weddin (A)	Year 8	226
Weddin (A)	Year 9	326
Weddin (A)	Year 10	992
Weddin (A)	Year 11	197
Weddin (A)	Year 12	928
Wentworth (A)	Did not go to school	22
Wentworth (A)	Year 8	457
Wentworth (A)	Year 9	554
Wentworth (A)	Year 10	1281
Wentworth (A)	Year 11	819
Wentworth (A)	Year 12	1588
Western Plains Regional (A)	Did not go to school	133
Western Plains Regional (A)	Year 8	2138
Western Plains Regional (A)	Year 9	3369
Western Plains Regional (A)	Year 10	11876
Western Plains Regional (A)	Year 11	2760
Western Plains Regional (A)	Year 12	14629
Willoughby (C)	Did not go to school	425
Willoughby (C)	Year 8	1314
Willoughby (C)	Year 9	1543
Willoughby (C)	Year 10	4761
Willoughby (C)	Year 11	2202
Willoughby (C)	Year 12	46166
Wingecarribee (A)	Did not go to school	109
Wingecarribee (A)	Year 8	1366
Wingecarribee (A)	Year 9	2842
Wingecarribee (A)	Year 10	10796
Wingecarribee (A)	Year 11	2749
Wingecarribee (A)	Year 12	18196
Wollondilly (A)	Did not go to school	114
Wollondilly (A)	Year 8	1462
Wollondilly (A)	Year 9	3068
Wollondilly (A)	Year 10	12948
Wollondilly (A)	Year 11	2681
Wollondilly (A)	Year 12	14659
Wollongong (C)	Did not go to school	1393
Wollongong (C)	Year 8	9520
Wollongong (C)	Year 9	12452
Wollongong (C)	Year 10	43808
Wollongong (C)	Year 11	10320
Wollongong (C)	Year 12	77418
Woollahra (A)	Did not go to school	88
Woollahra (A)	Year 8	476
Woollahra (A)	Year 9	941
Woollahra (A)	Year 10	3005
Woollahra (A)	Year 11	1680
Woollahra (A)	Year 12	34855
Yass Valley (A)	Did not go to school	28
Yass Valley (A)	Year 8	422
Yass Valley (A)	Year 9	705
Yass Valley (A)	Year 10	2838
Yass Valley (A)	Year 11	867
Yass Valley (A)	Year 12	6675
Unincorporated NSW	Year 8	47
Unincorporated NSW	Year 9	53
Unincorporated NSW	Year 10	234
Unincorporated NSW	Year 11	85
Unincorporated NSW	Year 12	347
No usual address (NSW)	Did not go to school	65
No usual address (NSW)	Year 8	420
No usual address (NSW)	Year 9	731
No usual address (NSW)	Year 10	2159
No usual address (NSW)	Year 11	633
No usual address (NSW)	Year 12	4169
Migratory - Offshore - Shipping (NSW)	Did not go to school	4
Migratory - Offshore - Shipping (NSW)	Year 8	27
Migratory - Offshore - Shipping (NSW)	Year 9	35
