LGA_NAME16	OnlyEnglishSpokenHome	persons
Tamworth Regional (A)	0	2236
Tamworth Regional (A)	1	52935
Temora (A)	0	131
Temora (A)	1	5648
Tenterfield (A)	0	163
Tenterfield (A)	1	5730
The Hills Shire (A)	0	50108
The Hills Shire (A)	1	102587
Tweed (A)	0	3845
Tweed (A)	1	81054
Upper Hunter Shire (A)	0	418
Upper Hunter Shire (A)	1	12444
Upper Lachlan Shire (A)	0	122
Upper Lachlan Shire (A)	1	6958
Uralla (A)	0	99
Uralla (A)	1	5564
Wagga Wagga (C)	0	4129
Wagga Wagga (C)	1	54708
Walcha (A)	0	44
Walcha (A)	1	2708
Walgett (A)	0	322
Walgett (A)	1	5042
Warren (A)	0	55
Warren (A)	1	2401
Warrumbungle Shire (A)	0	194
Warrumbungle Shire (A)	1	8178
Waverley (A)	0	14020
Waverley (A)	1	45870
Weddin (A)	0	46
Weddin (A)	1	3273
Wentworth (A)	0	201
Wentworth (A)	1	5843
Western Plains Regional (A)	0	2349
Western Plains Regional (A)	1	43242
Willoughby (C)	0	29904
Willoughby (C)	1	40861
Wingecarribee (A)	0	2703
Wingecarribee (A)	1	42268
Wollondilly (A)	0	2768
Wollondilly (A)	1	43229
Wollongong (C)	0	34296
Wollongong (C)	1	159289
Woollahra (A)	0	8376
Woollahra (A)	1	41035
Yass Valley (A)	0	575
Yass Valley (A)	1	14550
Unincorporated NSW	0	27
Unincorporated NSW	1	905
No usual address (NSW)	0	1822
No usual address (NSW)	1	7212
Migratory - Offshore - Shipping (NSW)	0	92
Migratory - Offshore - Shipping (NSW)	1	279
Alpine (S)	0	943
Alpine (S)	1	10386
Ararat (RC)	0	424
Ararat (RC)	1	9696
Ballarat (C)	0	5499
Ballarat (C)	1	89998
Banyule (C)	0	26429
Banyule (C)	1	89897
Bass Coast (S)	0	1578
Bass Coast (S)	1	28849
Baw Baw (S)	0	1928
Baw Baw (S)	1	43359
Bayside (C)	0	14225
Bayside (C)	1	77872
Benalla (RC)	0	393
Benalla (RC)	1	12352
Boroondara (C)	0	45581
Boroondara (C)	1	113886
Brimbank (C)	0	113457
Brimbank (C)	1	69300
Buloke (S)	0	165
Buloke (S)	1	5469
Campaspe (S)	0	1089
Campaspe (S)	1	33183
Cardinia (S)	0	10570
Cardinia (S)	1	78326
Casey (C)	0	107272
Casey (C)	1	177273
Central Goldfields (S)	0	324
Central Goldfields (S)	1	11755
Colac-Otway (S)	0	884
Colac-Otway (S)	1	18643
Corangamite (S)	0	268
Corangamite (S)	1	14519
Darebin (C)	0	54334
Darebin (C)	1	82621
East Gippsland (S)	0	1586
East Gippsland (S)	1	39559
Frankston (C)	0	15246
Frankston (C)	1	110620
Gannawarra (S)	0	207
Gannawarra (S)	1	9589
Glen Eira (C)	0	44372
Glen Eira (C)	1	89939
Glenelg (S)	0	446
Glenelg (S)	1	17547
Golden Plains (S)	0	651
Golden Plains (S)	1	19931
Greater Bendigo (C)	0	5102
Greater Bendigo (C)	1	97865
Greater Dandenong (C)	0	98023
Greater Dandenong (C)	1	45355
Greater Geelong (C)	0	24807
Greater Geelong (C)	1	194156
Greater Shepparton (C)	0	9388
Greater Shepparton (C)	1	49039
Hepburn (S)	0	716
Hepburn (S)	1	13232
Hindmarsh (S)	0	310
Hindmarsh (S)	1	5035
Hobsons Bay (C)	0	25766
Hobsons Bay (C)	1	58235
Horsham (RC)	0	746
Horsham (RC)	1	17827
Hume (C)	0	88555
Hume (C)	1	97600
Indigo (S)	0	361
Indigo (S)	1	14477
Kingston (C) (Vic.)	0	39352
Kingston (C) (Vic.)	1	104407
Knox (C)	0	38825
Knox (C)	1	109490
Latrobe (C) (Vic.)	0	4835
Latrobe (C) (Vic.)	1	62594
Loddon (S)	0	223
Loddon (S)	1	6482
Macedon Ranges (S)	0	2061
Macedon Ranges (S)	1	41018
Manningham (C)	0	49408
Manningham (C)	1	62330
Mansfield (S)	0	336
Mansfield (S)	1	7592
Maribyrnong (C)	0	34445
Maribyrnong (C)	1	42041
Maroondah (C)	0	18727
Maroondah (C)	1	87020
Melbourne (C)	0	65445
Melbourne (C)	1	55010
Melton (C)	0	43583
Melton (C)	1	82985
Mildura (RC)	0	5125
Mildura (RC)	1	44285
Mitchell (S)	0	2949
Mitchell (S)	1	34690
Moira (S)	0	1330
Moira (S)	1	25558
Monash (C)	0	91552
Monash (C)	1	82943
Moonee Valley (C)	0	34714
Moonee Valley (C)	1	75216
Moorabool (S)	0	1695
Moorabool (S)	1	28161
Moreland (C)	0	62038
Moreland (C)	1	91028
Mornington Peninsula (S)	0	8404
Mornington Peninsula (S)	1	137793
Mount Alexander (S)	0	633
Mount Alexander (S)	1	15944
Moyne (S)	0	360
Moyne (S)	1	14891
Murrindindi (S)	0	441
Murrindindi (S)	1	12155
Nillumbik (S)	0	5638
Nillumbik (S)	1	53160
Northern Grampians (S)	0	366
Northern Grampians (S)	1	10263
Port Phillip (C)	0	20762
Port Phillip (C)	1	69959
Pyrenees (S)	0	153
Pyrenees (S)	1	6125
Queenscliffe (B)	0	82
Queenscliffe (B)	1	2535
South Gippsland (S)	0	974
South Gippsland (S)	1	25510
Southern Grampians (S)	0	429
Southern Grampians (S)	1	14603
Stonnington (C)	0	24070
Stonnington (C)	1	72214
Strathbogie (S)	0	348
Strathbogie (S)	1	9106
Surf Coast (S)	0	1178
Surf Coast (S)	1	26567
Swan Hill (RC)	0	2373
Swan Hill (RC)	1	15707
Towong (S)	0	154
Towong (S)	1	5395
Wangaratta (RC)	0	1309
Wangaratta (RC)	1	24915
Warrnambool (C)	0	1459
Warrnambool (C)	1	29816
Wellington (S)	0	1617
Wellington (S)	1	37354
West Wimmera (S)	0	76
West Wimmera (S)	1	3605
Whitehorse (C)	0	59511
Whitehorse (C)	1	96242
Whittlesea (C)	0	86978
Whittlesea (C)	1	100992
Wodonga (C)	0	2367
Wodonga (C)	1	34578
Wyndham (C)	0	89171
Wyndham (C)	1	115337
Yarra (C)	0	19320
Yarra (C)	1	59569
Yarra Ranges (S)	0	10708
Yarra Ranges (S)	1	131551
Yarriambiack (S)	0	163
Yarriambiack (S)	1	5944
Unincorporated Vic	0	108
Unincorporated Vic	1	540
No usual address (Vic.)	0	1393
No usual address (Vic.)	1	4201
Migratory - Offshore - Shipping (Vic.)	0	10
Migratory - Offshore - Shipping (Vic.)	1	18
Aurukun (S)	0	1112
Aurukun (S)	1	135
Balonne (S)	0	131
Balonne (S)	1	3900
Banana (S)	0	706
Banana (S)	1	12468
Barcaldine (R)	0	67
Barcaldine (R)	1	2602
Barcoo (S)	1	250
Blackall-Tambo (R)	0	30
Blackall-Tambo (R)	1	1773
Boulia (S)	0	12
Boulia (S)	1	345
Brisbane (C)	0	253221
Brisbane (C)	1	812201
Bulloo (S)	0	8
Bulloo (S)	1	313
Bundaberg (R)	0	4042
Bundaberg (R)	1	82305
Burdekin (S)	0	1070
Burdekin (S)	1	14745
Burke (S)	0	14
Burke (S)	1	253
Cairns (R)	0	20854
Cairns (R)	1	121832
Carpentaria (S)	0	66
Carpentaria (S)	1	1714
Cassowary Coast (R)	0	2778
Cassowary Coast (R)	1	23271
Central Highlands (R) (Qld)	0	1301
Central Highlands (R) (Qld)	1	23277
Charters Towers (R)	0	277
Charters Towers (R)	1	10420
Cherbourg (S)	0	49
Cherbourg (S)	1	1171
Cloncurry (S)	0	122
Cloncurry (S)	1	2471
Cook (S)	0	378
Cook (S)	1	3148
Croydon (S)	0	4
Croydon (S)	1	213
Diamantina (S)	0	8
Diamantina (S)	1	239
Doomadgee (S)	0	76
Doomadgee (S)	1	1295
Douglas (S)	0	862
Douglas (S)	1	9280
Etheridge (S)	0	11
Etheridge (S)	1	702
Flinders (S) (Qld)	0	17
Flinders (S) (Qld)	1	1397
Fraser Coast (R)	0	3367
Fraser Coast (R)	1	90068
Gladstone (R)	0	3846
Gladstone (R)	1	53274
Gold Coast (C)	0	68148
Gold Coast (C)	1	446894
Goondiwindi (R)	0	345
Goondiwindi (R)	1	9236
Gympie (R)	0	1256
Gympie (R)	1	44326
Hinchinbrook (S)	0	787
Hinchinbrook (S)	1	9289
Hope Vale (S)	0	695
Hope Vale (S)	1	141
Ipswich (C)	0	22518
Ipswich (C)	1	158562
Isaac (R)	0	921
Isaac (R)	1	17007
Kowanyama (S)	0	56
Kowanyama (S)	1	865
Livingstone (S)	0	926
Livingstone (S)	1	31929
Lockhart River (S)	0	269
Lockhart River (S)	1	354
Lockyer Valley (R)	0	2369
Lockyer Valley (R)	1	32920
Logan (C)	0	48370
Logan (C)	1	236052
Longreach (R)	0	89
Longreach (R)	1	3244
Mackay (R)	0	6310
Mackay (R)	1	99620
McKinlay (S)	0	17
McKinlay (S)	1	717
Mapoon (S)	0	29
Mapoon (S)	1	270
Maranoa (R)	0	480
Maranoa (R)	1	10959
Mareeba (S)	0	2183
Mareeba (S)	1	16333
Moreton Bay (R)	0	29288
Moreton Bay (R)	1	371380
Mornington (S)	0	141
Mornington (S)	1	915
