LGA_NAME16	Age5yr	Indigenous	persons
Bellingen (A)	50-54	1	24
Bellingen (A)	55-59		74
Bellingen (A)	55-59	0	1043
Bellingen (A)	55-59	1	21
Bellingen (A)	60-64		66
Bellingen (A)	60-64	0	1018
Bellingen (A)	60-64	1	21
Bellingen (A)	65+		217
Bellingen (A)	65+	0	2766
Bellingen (A)	65+	1	29
Berrigan (A)	0-4		52
Berrigan (A)	0-4	0	393
Berrigan (A)	0-4	1	23
Berrigan (A)	5-9		48
Berrigan (A)	5-9	0	441
Berrigan (A)	5-9	1	19
Berrigan (A)	10-14		41
Berrigan (A)	10-14	0	394
Berrigan (A)	10-14	1	28
Berrigan (A)	15-19		44
Berrigan (A)	15-19	0	363
Berrigan (A)	15-19	1	24
Berrigan (A)	20-24		37
Berrigan (A)	20-24	0	284
Berrigan (A)	20-24	1	18
Berrigan (A)	25-29		37
Berrigan (A)	25-29	0	326
Berrigan (A)	25-29	1	10
Berrigan (A)	30-34		42
Berrigan (A)	30-34	0	326
Berrigan (A)	30-34	1	9
Berrigan (A)	35-39		29
Berrigan (A)	35-39	0	343
Berrigan (A)	35-39	1	15
Berrigan (A)	40-44		56
Berrigan (A)	40-44	0	393
Berrigan (A)	40-44	1	9
Berrigan (A)	45-49		44
Berrigan (A)	45-49	0	398
Berrigan (A)	45-49	1	8
Berrigan (A)	50-54		42
Berrigan (A)	50-54	0	424
Berrigan (A)	50-54	1	8
Berrigan (A)	55-59		49
Berrigan (A)	55-59	0	553
Berrigan (A)	55-59	1	8
Berrigan (A)	60-64		73
Berrigan (A)	60-64	0	623
Berrigan (A)	60-64	1	5
Berrigan (A)	65+		239
Berrigan (A)	65+	0	2169
Berrigan (A)	65+	1	19
Blacktown (C)	0-4		1207
Blacktown (C)	0-4	0	24525
Blacktown (C)	0-4	1	1192
Blacktown (C)	5-9		1172
Blacktown (C)	5-9	0	24297
Blacktown (C)	5-9	1	1148
Blacktown (C)	10-14		974
Blacktown (C)	10-14	0	20996
Blacktown (C)	10-14	1	1151
Blacktown (C)	15-19		1000
Blacktown (C)	15-19	0	21248
Blacktown (C)	15-19	1	1040
Blacktown (C)	20-24		1015
Blacktown (C)	20-24	0	20906
Blacktown (C)	20-24	1	911
Blacktown (C)	25-29		1095
Blacktown (C)	25-29	0	22417
Blacktown (C)	25-29	1	673
Blacktown (C)	30-34		1249
Blacktown (C)	30-34	0	26266
Blacktown (C)	30-34	1	553
Blacktown (C)	35-39		1128
Blacktown (C)	35-39	0	25549
Blacktown (C)	35-39	1	468
Blacktown (C)	40-44		1000
Blacktown (C)	40-44	0	22760
Blacktown (C)	40-44	1	495
Blacktown (C)	45-49		938
Blacktown (C)	45-49	0	20322
Blacktown (C)	45-49	1	529
Blacktown (C)	50-54		923
Blacktown (C)	50-54	0	18949
Blacktown (C)	50-54	1	406
Blacktown (C)	55-59		827
Blacktown (C)	55-59	0	17061
Blacktown (C)	55-59	1	307
Blacktown (C)	60-64		745
Blacktown (C)	60-64	0	14506
Blacktown (C)	60-64	1	259
Blacktown (C)	65+		2006
Blacktown (C)	65+	0	32355
Blacktown (C)	65+	1	400
Bland (A)	0-4		27
Bland (A)	0-4	0	288
Bland (A)	0-4	1	29
Bland (A)	5-9		35
Bland (A)	5-9	0	382
Bland (A)	5-9	1	43
Bland (A)	10-14		49
Bland (A)	10-14	0	333
Bland (A)	10-14	1	33
Bland (A)	15-19		38
Bland (A)	15-19	0	282
Bland (A)	15-19	1	19
Bland (A)	20-24		26
Bland (A)	20-24	0	218
Bland (A)	20-24	1	16
Bland (A)	25-29		25
Bland (A)	25-29	0	222
Bland (A)	25-29	1	15
Bland (A)	30-34		42
Bland (A)	30-34	0	260
Bland (A)	30-34	1	14
Bland (A)	35-39		32
Bland (A)	35-39	0	276
Bland (A)	35-39	1	8
Bland (A)	40-44		34
Bland (A)	40-44	0	316
Bland (A)	40-44	1	15
Bland (A)	45-49		39
Bland (A)	45-49	0	276
Bland (A)	45-49	1	13
Bland (A)	50-54		44
Bland (A)	50-54	0	325
Bland (A)	50-54	1	14
Bland (A)	55-59		57
Bland (A)	55-59	0	393
Bland (A)	55-59	1	12
Bland (A)	60-64		37
Bland (A)	60-64	0	350
Bland (A)	60-64	1	4
Bland (A)	65+		160
Bland (A)	65+	0	1110
Bland (A)	65+	1	14
Blayney (A)	0-4		26
Blayney (A)	0-4	0	391
Blayney (A)	0-4	1	33
Blayney (A)	5-9		31
Blayney (A)	5-9	0	461
Blayney (A)	5-9	1	40
Blayney (A)	10-14		34
Blayney (A)	10-14	0	451
Blayney (A)	10-14	1	28
Blayney (A)	15-19		42
Blayney (A)	15-19	0	391
Blayney (A)	15-19	1	32
Blayney (A)	20-24		30
Blayney (A)	20-24	0	267
Blayney (A)	20-24	1	24
Blayney (A)	25-29		21
Blayney (A)	25-29	0	333
Blayney (A)	25-29	1	17
Blayney (A)	30-34		20
Blayney (A)	30-34	0	306
Blayney (A)	30-34	1	13
Blayney (A)	35-39		31
Blayney (A)	35-39	0	366
Blayney (A)	35-39	1	4
Blayney (A)	40-44		39
Blayney (A)	40-44	0	410
Blayney (A)	40-44	1	14
Blayney (A)	45-49		41
Blayney (A)	45-49	0	451
Blayney (A)	45-49	1	17
Blayney (A)	50-54		43
Blayney (A)	50-54	0	464
Blayney (A)	50-54	1	15
Blayney (A)	55-59		37
Blayney (A)	55-59	0	482
Blayney (A)	55-59	1	5
Blayney (A)	60-64		32
Blayney (A)	60-64	0	451
Blayney (A)	60-64	1	4
Blayney (A)	65+		99
Blayney (A)	65+	0	1242
Blayney (A)	65+	1	12
Blue Mountains (C)	0-4		162
Blue Mountains (C)	0-4	0	3879
Blue Mountains (C)	0-4	1	198
Blue Mountains (C)	5-9		187
Blue Mountains (C)	5-9	0	4504
Blue Mountains (C)	5-9	1	228
Blue Mountains (C)	10-14		191
Blue Mountains (C)	10-14	0	4506
Blue Mountains (C)	10-14	1	214
Blue Mountains (C)	15-19		174
Blue Mountains (C)	15-19	0	4390
Blue Mountains (C)	15-19	1	206
Blue Mountains (C)	20-24		151
Blue Mountains (C)	20-24	0	3343
Blue Mountains (C)	20-24	1	142
Blue Mountains (C)	25-29		147
Blue Mountains (C)	25-29	0	2932
Blue Mountains (C)	25-29	1	104
Blue Mountains (C)	30-34		149
Blue Mountains (C)	30-34	0	3553
Blue Mountains (C)	30-34	1	98
Blue Mountains (C)	35-39		191
Blue Mountains (C)	35-39	0	4096
Blue Mountains (C)	35-39	1	89
Blue Mountains (C)	40-44		238
Blue Mountains (C)	40-44	0	4967
Blue Mountains (C)	40-44	1	104
Blue Mountains (C)	45-49		262
Blue Mountains (C)	45-49	0	5194
Blue Mountains (C)	45-49	1	91
Blue Mountains (C)	50-54		238
Blue Mountains (C)	50-54	0	5100
Blue Mountains (C)	50-54	1	94
Blue Mountains (C)	55-59		284
Blue Mountains (C)	55-59	0	5588
Blue Mountains (C)	55-59	1	85
Blue Mountains (C)	60-64		261
Blue Mountains (C)	60-64	0	5490
Blue Mountains (C)	60-64	1	57
Blue Mountains (C)	65+		806
Blue Mountains (C)	65+	0	14113
Blue Mountains (C)	65+	1	105
Bogan (A)	0-4		32
Bogan (A)	0-4	0	102
Bogan (A)	0-4	1	66
Bogan (A)	5-9		15
Bogan (A)	5-9	0	106
Bogan (A)	5-9	1	59
Bogan (A)	10-14		17
Bogan (A)	10-14	0	98
Bogan (A)	10-14	1	46
Bogan (A)	15-19		16
Bogan (A)	15-19	0	103
Bogan (A)	15-19	1	53
Bogan (A)	20-24		14
Bogan (A)	20-24	0	109
Bogan (A)	20-24	1	36
Bogan (A)	25-29		23
Bogan (A)	25-29	0	120
Bogan (A)	25-29	1	30
Bogan (A)	30-34		11
Bogan (A)	30-34	0	97
Bogan (A)	30-34	1	27
Bogan (A)	35-39		13
Bogan (A)	35-39	0	93
Bogan (A)	35-39	1	9
Bogan (A)	40-44		20
Bogan (A)	40-44	0	129
Bogan (A)	40-44	1	29
Bogan (A)	45-49		15
Bogan (A)	45-49	0	147
Bogan (A)	45-49	1	23
Bogan (A)	50-54		23
Bogan (A)	50-54	0	173
Bogan (A)	50-54	1	13
Bogan (A)	55-59		19
Bogan (A)	55-59	0	121
Bogan (A)	55-59	1	13
Bogan (A)	60-64		14
Bogan (A)	60-64	0	96
Bogan (A)	60-64	1	5
Bogan (A)	65+		45
Bogan (A)	65+	0	452
Bogan (A)	65+	1	28
Botany Bay (C)	0-4		150
Botany Bay (C)	0-4	0	2678
Botany Bay (C)	0-4	1	67
Botany Bay (C)	5-9		148
Botany Bay (C)	5-9	0	2450
Botany Bay (C)	5-9	1	77
Botany Bay (C)	10-14		114
Botany Bay (C)	10-14	0	2160
Botany Bay (C)	10-14	1	64
Botany Bay (C)	15-19		141
Botany Bay (C)	15-19	0	2428
Botany Bay (C)	15-19	1	81
Botany Bay (C)	20-24		250
Botany Bay (C)	20-24	0	3464
Botany Bay (C)	20-24	1	86
Botany Bay (C)	25-29		324
Botany Bay (C)	25-29	0	4012
Botany Bay (C)	25-29	1	72
Botany Bay (C)	30-34		284
Botany Bay (C)	30-34	0	4015
Botany Bay (C)	30-34	1	60
Botany Bay (C)	35-39		236
Botany Bay (C)	35-39	0	3481
Botany Bay (C)	35-39	1	33
Botany Bay (C)	40-44		200
Botany Bay (C)	40-44	0	3161
Botany Bay (C)	40-44	1	47
Botany Bay (C)	45-49		171
Botany Bay (C)	45-49	0	2823
Botany Bay (C)	45-49	1	54
Botany Bay (C)	50-54		156
Botany Bay (C)	50-54	0	2593
Botany Bay (C)	50-54	1	54
Botany Bay (C)	55-59		138
Botany Bay (C)	55-59	0	2177
Botany Bay (C)	55-59	1	43
Botany Bay (C)	60-64		120
Botany Bay (C)	60-64	0	1928
Botany Bay (C)	60-64	1	21
Botany Bay (C)	65+		339
Botany Bay (C)	65+	0	5692
Botany Bay (C)	65+	1	56
Bourke (A)	0-4		44
Bourke (A)	0-4	0	99
Bourke (A)	0-4	1	82
Bourke (A)	5-9		34
Bourke (A)	5-9	0	88
Bourke (A)	5-9	1	93
Bourke (A)	10-14		33
Bourke (A)	10-14	0	46
Bourke (A)	10-14	1	99
Bourke (A)	15-19		9
Bourke (A)	15-19	0	43
Bourke (A)	15-19	1	68
Bourke (A)	20-24		30
Bourke (A)	20-24	0	64
Bourke (A)	20-24	1	65
Bourke (A)	25-29		31
Bourke (A)	25-29	0	105
Bourke (A)	25-29	1	48
Bourke (A)	30-34		31
Bourke (A)	30-34	0	105
Bourke (A)	30-34	1	47
Bourke (A)	35-39		22
Bourke (A)	35-39	0	78
Bourke (A)	35-39	1	38
Bourke (A)	40-44		29
Bourke (A)	40-44	0	68
Bourke (A)	40-44	1	62
Bourke (A)	45-49		49
Bourke (A)	45-49	0	99
Bourke (A)	45-49	1	67
Bourke (A)	50-54		44
Bourke (A)	50-54	0	104
Bourke (A)	50-54	1	51
Bourke (A)	55-59		39
Bourke (A)	55-59	0	97
Bourke (A)	55-59	1	33
Bourke (A)	60-64		25
Bourke (A)	60-64	0	79
Bourke (A)	60-64	1	30
Bourke (A)	65+		57
Bourke (A)	65+	0	240
Bourke (A)	65+	1	52
Brewarrina (A)	0-4		7
Brewarrina (A)	0-4	0	28
Brewarrina (A)	0-4	1	86
Brewarrina (A)	5-9		7
Brewarrina (A)	5-9	0	32
Brewarrina (A)	5-9	1	102
Brewarrina (A)	10-14		12
Brewarrina (A)	10-14	0	16
Brewarrina (A)	10-14	1	86
Brewarrina (A)	15-19		4
Brewarrina (A)	15-19	0	12
Brewarrina (A)	15-19	1	73
Brewarrina (A)	20-24		10
Brewarrina (A)	20-24	0	28
Brewarrina (A)	20-24	1	85
Brewarrina (A)	25-29		15
Brewarrina (A)	25-29	0	43
Brewarrina (A)	25-29	1	95
Brewarrina (A)	30-34		8
Brewarrina (A)	30-34	0	28
Brewarrina (A)	30-34	1	46
Brewarrina (A)	35-39		5
Brewarrina (A)	35-39	0	36
Brewarrina (A)	35-39	1	40
Brewarrina (A)	40-44	0	20
Brewarrina (A)	40-44	1	57
Brewarrina (A)	45-49		7
Brewarrina (A)	45-49	0	42
Brewarrina (A)	45-49	1	86
Brewarrina (A)	50-54		17
Brewarrina (A)	50-54	0	55
Brewarrina (A)	50-54	1	69
Brewarrina (A)	55-59		10
Brewarrina (A)	55-59	0	53
Brewarrina (A)	55-59	1	62
Brewarrina (A)	60-64		10
Brewarrina (A)	60-64	0	39
Brewarrina (A)	60-64	1	50
Brewarrina (A)	65+		3
Brewarrina (A)	65+	0	94
Brewarrina (A)	65+	1	72
Broken Hill (C)	0-4		52
Broken Hill (C)	0-4	0	735
Broken Hill (C)	0-4	1	182
Broken Hill (C)	5-9		70
Broken Hill (C)	5-9	0	758
Broken Hill (C)	5-9	1	193
Broken Hill (C)	10-14		53
Broken Hill (C)	10-14	0	741
Broken Hill (C)	10-14	1	161
Broken Hill (C)	15-19		47
Broken Hill (C)	15-19	0	762
Broken Hill (C)	15-19	1	145
Broken Hill (C)	20-24		65
Broken Hill (C)	20-24	0	770
Broken Hill (C)	20-24	1	133
Broken Hill (C)	25-29		76
Broken Hill (C)	25-29	0	914
Broken Hill (C)	25-29	1	128
Broken Hill (C)	30-34		79
Broken Hill (C)	30-34	0	825
Broken Hill (C)	30-34	1	99
Broken Hill (C)	35-39		61
Broken Hill (C)	35-39	0	740
Broken Hill (C)	35-39	1	73
Broken Hill (C)	40-44		71
Broken Hill (C)	40-44	0	831
Broken Hill (C)	40-44	1	87
Broken Hill (C)	45-49		80
Broken Hill (C)	45-49	0	950
Broken Hill (C)	45-49	1	84
Broken Hill (C)	50-54		76
Broken Hill (C)	50-54	0	1097
Broken Hill (C)	50-54	1	62
Broken Hill (C)	55-59		93
Broken Hill (C)	55-59	0	1258
Broken Hill (C)	55-59	1	54
Broken Hill (C)	60-64		90
Broken Hill (C)	60-64	0	1136
Broken Hill (C)	60-64	1	36
Broken Hill (C)	65+		288
Broken Hill (C)	65+	0	3516
Broken Hill (C)	65+	1	67
Burwood (A)	0-4		89
Burwood (A)	0-4	0	1571
Burwood (A)	0-4	1	12
Burwood (A)	5-9		59
Burwood (A)	5-9	0	1502
Burwood (A)	5-9	1	12
Burwood (A)	10-14		47
Burwood (A)	10-14	0	1492
Burwood (A)	10-14	1	11
Burwood (A)	15-19		91
Burwood (A)	15-19	0	2054
Burwood (A)	15-19	1	7
Burwood (A)	20-24		231
Burwood (A)	20-24	0	4153
Burwood (A)	20-24	1	16
Burwood (A)	25-29		216
Burwood (A)	25-29	0	4390
Burwood (A)	25-29	1	9
Burwood (A)	30-34		169
Burwood (A)	30-34	0	3060
Burwood (A)	30-34	1	15
Burwood (A)	35-39		122
Burwood (A)	35-39	0	2165
Burwood (A)	35-39	1	10
Burwood (A)	40-44		106
Burwood (A)	40-44	0	1970
Burwood (A)	40-44	1	7
Burwood (A)	45-49		82
Burwood (A)	45-49	0	2015
Burwood (A)	45-49	1	7
Burwood (A)	50-54		105
Burwood (A)	50-54	0	2119
Burwood (A)	50-54	1	6
Burwood (A)	55-59		83
Burwood (A)	55-59	0	1898
Burwood (A)	55-59	1	6
Burwood (A)	60-64		76
Burwood (A)	60-64	0	1547
Burwood (A)	60-64	1	9
Burwood (A)	65+		296
Burwood (A)	65+	0	4946
Burwood (A)	65+	1	15
Byron (A)	0-4		175
Byron (A)	0-4	0	1327
Byron (A)	0-4	1	46
Byron (A)	5-9		229
Byron (A)	5-9	0	1579
Byron (A)	5-9	1	47
Byron (A)	10-14		237
Byron (A)	10-14	0	1587
Byron (A)	10-14	1	61
Byron (A)	15-19		181
Byron (A)	15-19	0	1366
Byron (A)	15-19	1	58
Byron (A)	20-24		163
Byron (A)	20-24	0	982
Byron (A)	20-24	1	49
Byron (A)	25-29		254
Byron (A)	25-29	0	1348
Byron (A)	25-29	1	44
Byron (A)	30-34		216
Byron (A)	30-34	0	1511
Byron (A)	30-34	1	23
Byron (A)	35-39		257
Byron (A)	35-39	0	1713
Byron (A)	35-39	1	28
Byron (A)	40-44		278
Byron (A)	40-44	0	2056
Byron (A)	40-44	1	51
Byron (A)	45-49		275
Byron (A)	45-49	0	2062
Byron (A)	45-49	1	44
Byron (A)	50-54		337
Byron (A)	50-54	0	2134
Byron (A)	50-54	1	24
Byron (A)	55-59		335
Byron (A)	55-59	0	2372
Byron (A)	55-59	1	29
Byron (A)	60-64		355
Byron (A)	60-64	0	2364
Byron (A)	60-64	1	23
Byron (A)	65+		670
Byron (A)	65+	0	4615
Byron (A)	65+	1	35
Cabonne (A)	0-4		56
Cabonne (A)	0-4	0	732
Cabonne (A)	0-4	1	45
Cabonne (A)	5-9		70
Cabonne (A)	5-9	0	908
Cabonne (A)	5-9	1	55
Cabonne (A)	10-14		70
Cabonne (A)	10-14	0	867
Cabonne (A)	10-14	1	82
Cabonne (A)	15-19		61
Cabonne (A)	15-19	0	767
Cabonne (A)	15-19	1	75
Cabonne (A)	20-24		38
Cabonne (A)	20-24	0	441
Cabonne (A)	20-24	1	26
Cabonne (A)	25-29		38
Cabonne (A)	25-29	0	476
Cabonne (A)	25-29	1	32
Cabonne (A)	30-34		42
Cabonne (A)	30-34	0	592
Cabonne (A)	30-34	1	14
Cabonne (A)	35-39		50
Cabonne (A)	35-39	0	614
Cabonne (A)	35-39	1	22
Cabonne (A)	40-44		69
Cabonne (A)	40-44	0	793
Cabonne (A)	40-44	1	20
Cabonne (A)	45-49		79
Cabonne (A)	45-49	0	789
Cabonne (A)	45-49	1	28
Cabonne (A)	50-54		79
Cabonne (A)	50-54	0	881
Cabonne (A)	50-54	1	32
Cabonne (A)	55-59		57
Cabonne (A)	55-59	0	891
Cabonne (A)	55-59	1	15
Cabonne (A)	60-64		50
Cabonne (A)	60-64	0	759
Cabonne (A)	60-64	1	13
Cabonne (A)	65+		182
Cabonne (A)	65+	0	2446
Cabonne (A)	65+	1	32
Camden (A)	0-4		281
Camden (A)	0-4	0	6054
Camden (A)	0-4	1	217
Camden (A)	5-9		245
Camden (A)	5-9	0	5813
Camden (A)	5-9	1	257
Camden (A)	10-14		207
Camden (A)	10-14	0	5392
Camden (A)	10-14	1	235
Camden (A)	15-19		199
Camden (A)	15-19	0	4930
Camden (A)	15-19	1	228
