LGA_NAME16	Sex	persons
Greater Hume Shire (A)	M	5187
Griffith (C)	F	12847
Griffith (C)	M	12795
Gundagai (A)	F	5624
Gundagai (A)	M	5514
Gunnedah (A)	F	6107
Gunnedah (A)	M	6105
Gwydir (A)	F	2592
Gwydir (A)	M	2657
Hawkesbury (C)	F	32635
Hawkesbury (C)	M	31952
Hay (A)	F	1461
Hay (A)	M	1480
Hilltops (A)	F	9402
Hilltops (A)	M	9088
Hornsby (A)	F	73027
Hornsby (A)	M	69634
Hunters Hill (A)	F	7016
Hunters Hill (A)	M	6987
Inner West (A)	F	93302
Inner West (A)	M	88736
Inverell (A)	F	8423
Inverell (A)	M	8061
Junee (A)	F	2720
Junee (A)	M	3574
Kempsey (A)	F	14439
Kempsey (A)	M	14447
Kiama (A)	F	10936
Kiama (A)	M	10528
Ku-ring-gai (A)	F	61394
Ku-ring-gai (A)	M	56657
Kyogle (A)	F	4411
Kyogle (A)	M	4529
Lachlan (A)	F	3099
Lachlan (A)	M	3100
Lake Macquarie (C)	F	101077
Lake Macquarie (C)	M	96294
Lane Cove (A)	F	18313
Lane Cove (A)	M	17733
Leeton (A)	F	5633
Leeton (A)	M	5530
Lismore (C)	F	22160
Lismore (C)	M	20975
Lithgow (C)	F	10401
Lithgow (C)	M	10689
Liverpool (C)	F	102975
Liverpool (C)	M	101351
Liverpool Plains (A)	F	3815
Liverpool Plains (A)	M	3870
Lockhart (A)	F	1579
Lockhart (A)	M	1537
Maitland (C)	F	39571
Maitland (C)	M	37736
Mid-Coast (A)	F	46215
Mid-Coast (A)	M	44091
Mid-Western Regional (A)	F	11975
Mid-Western Regional (A)	M	12099
Moree Plains (A)	F	6520
Moree Plains (A)	M	6636
Mosman (A)	F	15290
Mosman (A)	M	13189
Murray River (A)	F	5881
Murray River (A)	M	5795
Murrumbidgee (A)	F	1812
Murrumbidgee (A)	M	2026
Muswellbrook (A)	F	7837
Muswellbrook (A)	M	8243
Nambucca (A)	F	9794
Nambucca (A)	M	9421
Narrabri (A)	F	6559
Narrabri (A)	M	6528
Narrandera (A)	F	2953
Narrandera (A)	M	2901
Narromine (A)	F	3226
Narromine (A)	M	3214
Newcastle (C)	F	78766
Newcastle (C)	M	76642
North Sydney (A)	F	35744
North Sydney (A)	M	31910
Northern Beaches (A)	F	129370
Northern Beaches (A)	M	123507
Oberon (A)	F	2543
Oberon (A)	M	2751
Orange (C)	F	20728
Orange (C)	M	19615
Parkes (A)	F	7416
Parkes (A)	M	7190
Parramatta (C)	F	112996
Parramatta (C)	M	113158
Penrith (C)	F	99243
Penrith (C)	M	96822
Port Macquarie-Hastings (A)	F	40846
Port Macquarie-Hastings (A)	M	37697
Port Stephens (A)	F	35174
Port Stephens (A)	M	34384
Queanbeyan-Palerang Regional (A)	F	27899
Queanbeyan-Palerang Regional (A)	M	28133
Randwick (C)	F	71482
Randwick (C)	M	69179
Richmond Valley (A)	F	11489
Richmond Valley (A)	M	11318
Rockdale (C)	F	55325
Rockdale (C)	M	54079
Ryde (C)	F	59791
Ryde (C)	M	56509
Shellharbour (C)	F	35015
Shellharbour (C)	M	33444
Shoalhaven (C)	F	50364
Shoalhaven (C)	M	49284
Singleton (A)	F	11288
Singleton (A)	M	11701
Snowy Monaro Regional (A)	F	9756
Snowy Monaro Regional (A)	M	10461
Snowy Valleys (A)	F	7119
Snowy Valleys (A)	M	7278
Strathfield (A)	F	19874
Strathfield (A)	M	20434
Sutherland Shire (A)	F	111750
Sutherland Shire (A)	M	106713
Sydney (C)	F	100530
Sydney (C)	M	107852
Tamworth Regional (A)	F	30581
Tamworth Regional (A)	M	29077
Temora (A)	F	3073
Temora (A)	M	3036
Tenterfield (A)	F	3375
Tenterfield (A)	M	3253
The Hills Shire (A)	F	79791
The Hills Shire (A)	M	77451
Tweed (A)	F	47261
Tweed (A)	M	44109
Upper Hunter Shire (A)	F	7140
Upper Hunter Shire (A)	M	6970
Upper Lachlan Shire (A)	F	3785
Upper Lachlan Shire (A)	M	3917
Uralla (A)	F	3120
Uralla (A)	M	2926
Wagga Wagga (C)	F	31880
Wagga Wagga (C)	M	30504
Walcha (A)	F	1540
Walcha (A)	M	1551
Walgett (A)	F	2875
Walgett (A)	M	3235
Warren (A)	F	1366
Warren (A)	M	1366
Warrumbungle Shire (A)	F	4692
Warrumbungle Shire (A)	M	4689
Waverley (A)	F	34334
Waverley (A)	M	32485
Weddin (A)	F	1831
Weddin (A)	M	1834
Wentworth (A)	F	3288
Wentworth (A)	M	3512
Western Plains Regional (A)	F	25505
Western Plains Regional (A)	M	24566
Willoughby (C)	F	38624
Willoughby (C)	M	35686
Wingecarribee (A)	F	24988
Wingecarribee (A)	M	22894
Wollondilly (A)	F	24314
Wollondilly (A)	M	24207
Wollongong (C)	F	103087
Wollongong (C)	M	100542
Woollahra (A)	F	29009
Woollahra (A)	M	25232
Yass Valley (A)	F	8209
Yass Valley (A)	M	7931
Unincorporated NSW	F	492
Unincorporated NSW	M	569
No usual address (NSW)	F	4939
No usual address (NSW)	M	7351
Migratory - Offshore - Shipping (NSW)	F	239
Migratory - Offshore - Shipping (NSW)	M	171
Alpine (S)	F	6265
Alpine (S)	M	6074
Ararat (RC)	F	5449
Ararat (RC)	M	6152
Ballarat (C)	F	52821
Ballarat (C)	M	48864
Banyule (C)	F	62644
Banyule (C)	M	59222
Bass Coast (S)	F	16912
Bass Coast (S)	M	15897
Baw Baw (S)	F	24938
Baw Baw (S)	M	23543
Bayside (C)	F	50862
Bayside (C)	M	46229
Benalla (RC)	F	7149
Benalla (RC)	M	6720
Boroondara (C)	F	87085
Boroondara (C)	M	80145
Brimbank (C)	F	97079
Brimbank (C)	M	97239
Buloke (S)	F	3066
Buloke (S)	M	3138
Campaspe (S)	F	18765
Campaspe (S)	M	18293
Cardinia (S)	F	47773
Cardinia (S)	M	46358
Casey (C)	F	150274
Casey (C)	M	149024
Central Goldfields (S)	F	6580
Central Goldfields (S)	M	6412
Colac-Otway (S)	F	10489
Colac-Otway (S)	M	10485
Corangamite (S)	F	7970
Corangamite (S)	M	8082
Darebin (C)	F	75816
Darebin (C)	M	70903
East Gippsland (S)	F	22932
East Gippsland (S)	M	22107
Frankston (C)	F	68727
Frankston (C)	M	65418
Gannawarra (S)	F	5293
Gannawarra (S)	M	5257
Glen Eira (C)	F	72735
Glen Eira (C)	M	68140
Glenelg (S)	F	9809
Glenelg (S)	M	9749
Golden Plains (S)	F	10675
Golden Plains (S)	M	11019
Greater Bendigo (C)	F	56891
Greater Bendigo (C)	M	53587
Greater Dandenong (C)	F	74506
Greater Dandenong (C)	M	77550
Greater Geelong (C)	F	120217
Greater Geelong (C)	M	113214
Greater Shepparton (C)	F	32125
Greater Shepparton (C)	M	31713
Hepburn (S)	F	7944
Hepburn (S)	M	7382
Hindmarsh (S)	F	2872
Hindmarsh (S)	M	2848
Hobsons Bay (C)	F	45146
Hobsons Bay (C)	M	43631
Horsham (RC)	F	10067
Horsham (RC)	M	9576
Hume (C)	F	99102
Hume (C)	M	98273
Indigo (S)	F	8097
Indigo (S)	M	7859
Kingston (C) (Vic.)	F	77753
Kingston (C) (Vic.)	M	73637
Knox (C)	F	78793
Knox (C)	M	75317
Latrobe (C) (Vic.)	F	37469
Latrobe (C) (Vic.)	M	35788
Loddon (S)	F	3668
Loddon (S)	M	3848
Macedon Ranges (S)	F	23415
Macedon Ranges (S)	M	22685
Manningham (C)	F	59953
Manningham (C)	M	56306
Mansfield (S)	F	4314
Mansfield (S)	M	4272
Maribyrnong (C)	F	40883
Maribyrnong (C)	M	41405
Maroondah (C)	F	56979
Maroondah (C)	M	53398
Melbourne (C)	F	69823
Melbourne (C)	M	66137
Melton (C)	F	68549
Melton (C)	M	66890
Mildura (RC)	F	27398
Mildura (RC)	M	26481
Mitchell (S)	F	20350
Mitchell (S)	M	20570
Moira (S)	F	14598
Moira (S)	M	14514
Monash (C)	F	92890
Monash (C)	M	89722
Moonee Valley (C)	F	60280
Moonee Valley (C)	M	56394
Moorabool (S)	F	16073
Moorabool (S)	M	15744
Moreland (C)	F	83051
Moreland (C)	M	79507
Mornington Peninsula (S)	F	80125
Mornington Peninsula (S)	M	74875
Mount Alexander (S)	F	9375
Mount Alexander (S)	M	9389
Moyne (S)	F	8245
Moyne (S)	M	8255
Murrindindi (S)	F	6771
Murrindindi (S)	M	6957
Nillumbik (S)	F	31007
Nillumbik (S)	M	30266
Northern Grampians (S)	F	5785
Northern Grampians (S)	M	5652
Port Phillip (C)	F	51563
Port Phillip (C)	M	49307
Pyrenees (S)	F	3408
Pyrenees (S)	M	3831
Queenscliffe (B)	F	1527
Queenscliffe (B)	M	1325
South Gippsland (S)	F	14644
South Gippsland (S)	M	14059
Southern Grampians (S)	F	8178
Southern Grampians (S)	M	7759
Stonnington (C)	F	54462
Stonnington (C)	M	49371
Strathbogie (S)	F	5198
Strathbogie (S)	M	5074
Surf Coast (S)	F	14818
Surf Coast (S)	M	14582
Swan Hill (RC)	F	10217
Swan Hill (RC)	M	10368
Towong (S)	F	2907
Towong (S)	M	3077
Wangaratta (RC)	F	14665
Wangaratta (RC)	M	13651
Warrnambool (C)	F	17502
Warrnambool (C)	M	16157
Wellington (S)	F	21287
Wellington (S)	M	21695
West Wimmera (S)	F	1941
West Wimmera (S)	M	1966
Whitehorse (C)	F	84032
Whitehorse (C)	M	78051
Whittlesea (C)	F	99952
Whittlesea (C)	M	97541
Wodonga (C)	F	20050
Wodonga (C)	M	19296
Wyndham (C)	F	108319
Wyndham (C)	M	108806
Yarra (C)	F	44619
Yarra (C)	M	42039
Yarra Ranges (S)	F	75717
Yarra Ranges (S)	M	73819
Yarriambiack (S)	F	3305
Yarriambiack (S)	M	3366
Unincorporated Vic	F	409
Unincorporated Vic	M	473
No usual address (Vic.)	F	3238
No usual address (Vic.)	M	4331
Migratory - Offshore - Shipping (Vic.)	F	4
Migratory - Offshore - Shipping (Vic.)	M	28
Aurukun (S)	F	635
Aurukun (S)	M	632
Balonne (S)	F	2129
Balonne (S)	M	2251
Banana (S)	F	6928
Banana (S)	M	7388
Barcaldine (R)	F	1419
Barcaldine (R)	M	1449
Barcoo (S)	F	123
Barcoo (S)	M	149
Blackall-Tambo (R)	F	958
Blackall-Tambo (R)	M	944
Boulia (S)	F	201
Boulia (S)	M	228
Brisbane (C)	F	574720
Brisbane (C)	M	556440
Bulloo (S)	F	164
Bulloo (S)	M	187
Bundaberg (R)	F	47180
Bundaberg (R)	M	45716
Burdekin (S)	F	8402
Burdekin (S)	M	8673
Burke (S)	F	144
Burke (S)	M	183
Cairns (R)	F	79508
Cairns (R)	M	77390
Carpentaria (S)	F	947
Carpentaria (S)	M	1003
Cassowary Coast (R)	F	13961
Cassowary Coast (R)	M	14769
Central Highlands (R) (Qld)	F	13240
Central Highlands (R) (Qld)	M	14756
Charters Towers (R)	F	5992
Charters Towers (R)	M	5885
Cherbourg (S)	F	635
Cherbourg (S)	M	628
Cloncurry (S)	F	1327
Cloncurry (S)	M	1706
Cook (S)	F	1950
Cook (S)	M	2273
Croydon (S)	F	145
Croydon (S)	M	148
Diamantina (S)	F	142
Diamantina (S)	M	150
Doomadgee (S)	F	692
Doomadgee (S)	M	707
Douglas (S)	F	5758
Douglas (S)	M	5960
Etheridge (S)	F	369
Etheridge (S)	M	435
Flinders (S) (Qld)	F	756
Flinders (S) (Qld)	M	777
Fraser Coast (R)	F	51730
Fraser Coast (R)	M	49773
Gladstone (R)	F	29989
Gladstone (R)	M	31647
Gold Coast (C)	F	285586
Gold Coast (C)	M	270141
Goondiwindi (R)	F	5288
Goondiwindi (R)	M	5340
Gympie (R)	F	24985
Gympie (R)	M	24578
Hinchinbrook (S)	F	5332
Hinchinbrook (S)	M	5556
Hope Vale (S)	F	423
Hope Vale (S)	M	499
Ipswich (C)	F	97937
Ipswich (C)	M	95797
Isaac (R)	F	9516
Isaac (R)	M	11419
Kowanyama (S)	F	493
Kowanyama (S)	M	451
Livingstone (S)	F	17649
Livingstone (S)	M	18621
Lockhart River (S)	F	360
Lockhart River (S)	M	357
Lockyer Valley (R)	F	19309
Lockyer Valley (R)	M	19298
Logan (C)	F	153480
Logan (C)	M	149901
Longreach (R)	F	1869
Longreach (R)	M	1791
Mackay (R)	F	56713
Mackay (R)	M	58256
McKinlay (S)	F	364
McKinlay (S)	M	432
Mapoon (S)	F	157
Mapoon (S)	M	151
Maranoa (R)	F	6150
Maranoa (R)	M	6515
Mareeba (S)	F	10251
Mareeba (S)	M	11310
Moreton Bay (R)	F	217136
Moreton Bay (R)	M	208170
Mornington (S)	F	579
Mornington (S)	M	563
Mount Isa (C)	F	9012
Mount Isa (C)	M	9656
Murweh (S)	F	2180
Murweh (S)	M	2131
Napranum (S)	F	464
Napranum (S)	M	495
Noosa (S)	F	26810
Noosa (S)	M	25340
North Burnett (R)	F	5129
North Burnett (R)	M	5353
Northern Peninsula Area (R)	F	1434
Northern Peninsula Area (R)	M	1359
Palm Island (S)	F	1235
Palm Island (S)	M	1209
Paroo (S)	F	824
Paroo (S)	M	815
Pormpuraaw (S)	F	378
Pormpuraaw (S)	M	375
Quilpie (S)	F	377
Quilpie (S)	M	436
Redland (C)	F	75022
Redland (C)	M	71985
Richmond (S)	F	378
Richmond (S)	M	410
Rockhampton (R)	F	40321
Rockhampton (R)	M	39402
Scenic Rim (R)	F	20308
Scenic Rim (R)	M	19761
Somerset (R)	F	12215
Somerset (R)	M	12381
South Burnett (R)	F	16071
South Burnett (R)	M	16111
Southern Downs (R)	F	17831
Southern Downs (R)	M	17285
Sunshine Coast (R)	F	152403
Sunshine Coast (R)	M	141965
Tablelands (R)	F	12617
Tablelands (R)	M	12214
Toowoomba (R)	F	82607
Toowoomba (R)	M	78166
Torres (S)	F	1826
Torres (S)	M	1788
Torres Strait Island (R)	F	2221
Torres Strait Island (R)	M	2295
Townsville (C)	F	93402
Townsville (C)	M	93352
Weipa (T)	F	1806
Weipa (T)	M	2097
Western Downs (R)	F	16322
Western Downs (R)	M	17128
Whitsunday (R)	F	16284
Whitsunday (R)	M	17495
Winton (S)	F	538
Winton (S)	M	590
Woorabinda (S)	F	492
Woorabinda (S)	M	470
Wujal Wujal (S)	F	148
Wujal Wujal (S)	M	131
Yarrabah (S)	F	1278
Yarrabah (S)	M	1278
No usual address (Qld)	F	5572
No usual address (Qld)	M	6937
Migratory - Offshore - Shipping (Qld)	F	87
Migratory - Offshore - Shipping (Qld)	M	66
Adelaide (C)	F	10753
Adelaide (C)	M	11310
Adelaide Hills (DC)	F	19528
Adelaide Hills (DC)	M	19338
Alexandrina (DC)	F	13271
Alexandrina (DC)	M	12601
Anangu Pitjantjatjara (AC)	F	1190
Anangu Pitjantjatjara (AC)	M	1080
Barossa (DC)	F	11921
Barossa (DC)	M	11638
Barunga West (DC)	F	1234
Barunga West (DC)	M	1307
Berri and Barmera (DC)	F	5274
Berri and Barmera (DC)	M	5268
Burnside (C)	F	23185
Burnside (C)	M	20723
Campbelltown (C) (SA)	F	25775
Campbelltown (C) (SA)	M	24386
Ceduna (DC)	F	1716
Ceduna (DC)	M	1697
Charles Sturt (C)	F	57111
Charles Sturt (C)	M	54650
Clare and Gilbert Valleys (DC)	F	4531
Clare and Gilbert Valleys (DC)	M	4488
Cleve (DC)	F	843
Cleve (DC)	M	925
Coober Pedy (DC)	F	801
Coober Pedy (DC)	M	962
Copper Coast (DC)	F	7100
Copper Coast (DC)	M	7038
Elliston (DC)	F	484
Elliston (DC)	M	561
Flinders Ranges (DC)	F	836
Flinders Ranges (DC)	M	806
Franklin Harbour (DC)	F	608
Franklin Harbour (DC)	M	685
Gawler (T)	F	11937
Gawler (T)	M	11098
Goyder (DC)	F	2059
Goyder (DC)	M	2079
Grant (DC)	F	3690
Grant (DC)	M	4507
Holdfast Bay (C)	F	18514
Holdfast Bay (C)	M	16847
Kangaroo Island (DC)	F	2297
Kangaroo Island (DC)	M	2405
Karoonda East Murray (DC)	F	526
Karoonda East Murray (DC)	M	566
Kimba (DC)	F	516
Kimba (DC)	M	543
Kingston (DC) (SA)	F	1132
Kingston (DC) (SA)	M	1215
Light (RegC)	F	7290
Light (RegC)	M	7438
Lower Eyre Peninsula (DC)	F	2561
Lower Eyre Peninsula (DC)	M	2954
Loxton Waikerie (DC)	F	5747
Loxton Waikerie (DC)	M	5737
Mallala (DC)	F	4246
Mallala (DC)	M	4560
Maralinga Tjarutja (AC)	F	30
Maralinga Tjarutja (AC)	M	25
Marion (C)	F	46003
Marion (C)	M	42609
Mid Murray (DC)	F	4020
Mid Murray (DC)	M	4617
Mitcham (C)	F	33531
Mitcham (C)	M	31270
Mount Barker (DC)	F	17149
Mount Barker (DC)	M	16246
Mount Gambier (C)	F	13538
Mount Gambier (C)	M	12737
Mount Remarkable (DC)	F	1401
Mount Remarkable (DC)	M	1458
Murray Bridge (RC)	F	10381
Murray Bridge (RC)	M	10474
Naracoorte and Lucindale (DC)	F	3984
Naracoorte and Lucindale (DC)	M	4308
Northern Areas (DC)	F	2213
Northern Areas (DC)	M	2315
Norwood Payneham St Peters (C)	F	18425
Norwood Payneham St Peters (C)	M	16931
Onkaparinga (C)	F	85155
Onkaparinga (C)	M	81610
Orroroo/Carrieton (DC)	F	449
Orroroo/Carrieton (DC)	M	447
Peterborough (DC)	F	848
Peterborough (DC)	M	830
Playford (C)	F	45075
Playford (C)	M	44296
Port Adelaide Enfield (C)	F	61132
Port Adelaide Enfield (C)	M	60100
Port Augusta (C)	F	6772
Port Augusta (C)	M	7036
Port Lincoln (C)	F	7138
Port Lincoln (C)	M	6930
Port Pirie City and Dists (M)	F	8861
Port Pirie City and Dists (M)	M	8501
Prospect (C)	F	10226
Prospect (C)	M	10296
Renmark Paringa (DC)	F	4755
Renmark Paringa (DC)	M	4720
Robe (DC)	F	675
Robe (DC)	M	705
Roxby Downs (M)	F	1663
Roxby Downs (M)	M	2217
Salisbury (C)	F	69229
Salisbury (C)	M	68753
Southern Mallee (DC)	F	984
Southern Mallee (DC)	M	1047
Streaky Bay (DC)	F	976
Streaky Bay (DC)	M	1101
Tatiara (DC)	F	3139
Tatiara (DC)	M	3480
Tea Tree Gully (C)	F	49918
Tea Tree Gully (C)	M	47813
The Coorong (DC)	F	2619
The Coorong (DC)	M	2758
Tumby Bay (DC)	F	1326
Tumby Bay (DC)	M	1281
Unley (C)	F	19949
Unley (C)	M	17771
Victor Harbor (C)	F	7749
Victor Harbor (C)	M	6914
Wakefield (DC)	F	3338
Wakefield (DC)	M	3465
Walkerville (M)	F	3879
Walkerville (M)	M	3676
Wattle Range (DC)	F	5784
Wattle Range (DC)	M	5893
West Torrens (C)	F	29646
West Torrens (C)	M	28250
Whyalla (C)	F	10910
Whyalla (C)	M	10920
Wudinna (DC)	F	608
Wudinna (DC)	M	639
Yankalilla (DC)	F	2612
Yankalilla (DC)	M	2550
Yorke Peninsula (DC)	F	5357
Yorke Peninsula (DC)	M	5704
Unincorporated SA	F	1370
Unincorporated SA	M	2154
No usual address (SA)	F	1129
No usual address (SA)	M	1734
Migratory - Offshore - Shipping (SA)	M	6
Albany (C)	F	18528
Albany (C)	M	18051
Armadale (C)	F	40002
Armadale (C)	M	39594
Ashburton (S)	F	3600
Ashburton (S)	M	9427
Augusta-Margaret River (S)	F	7133
Augusta-Margaret River (S)	M	7131
Bassendean (T)	F	7663
Bassendean (T)	M	7427
Bayswater (C)	F	32501
Bayswater (C)	M	32178
Belmont (C)	F	19437
Belmont (C)	M	20248
Beverley (S)	F	854
Beverley (S)	M	889
Boddington (S)	F	868
Boddington (S)	M	982
Boyup Brook (S)	F	850
Boyup Brook (S)	M	858
Bridgetown-Greenbushes (S)	F	2394
Bridgetown-Greenbushes (S)	M	2263
Brookton (S)	F	482
Brookton (S)	M	492
Broome (S)	F	8098
Broome (S)	M	8117
Broomehill-Tambellup (S)	F	564
Broomehill-Tambellup (S)	M	579
Bruce Rock (S)	F	449
Bruce Rock (S)	M	482
Bunbury (C)	F	16275
Bunbury (C)	M	15645
Busselton (C)	F	18787
Busselton (C)	M	17908
Cambridge (T)	F	13657
Cambridge (T)	M	13123
Canning (C)	F	44887
Canning (C)	M	45294
Capel (S)	F	8733
Capel (S)	M	8387
Carnamah (S)	F	260
Carnamah (S)	M	294
Carnarvon (S)	F	2641
Carnarvon (S)	M	2889
Chapman Valley (S)	F	708
Chapman Valley (S)	M	716
Chittering (S)	F	2695
Chittering (S)	M	2781
Claremont (T)	F	5185
Claremont (T)	M	4875
Cockburn (C)	F	52908
Cockburn (C)	M	51565
Collie (S)	F	4363
Collie (S)	M	4435
Coolgardie (S)	F	1680
Coolgardie (S)	M	1931
Coorow (S)	F	466
Coorow (S)	M	570
Corrigin (S)	F	545
Corrigin (S)	M	599
Cottesloe (T)	F	3858
Cottesloe (T)	M	3736
Cranbrook (S)	F	524
Cranbrook (S)	M	558
Cuballing (S)	F	402
Cuballing (S)	M	463
Cue (S)	F	81
Cue (S)	M	107
Cunderdin (S)	F	648
Cunderdin (S)	M	803
Dalwallinu (S)	F	648
Dalwallinu (S)	M	782
Dandaragan (S)	F	1516
Dandaragan (S)	M	1698
Dardanup (S)	F	7093
Dardanup (S)	M	6938
Denmark (S)	F	2949
Denmark (S)	M	2904
Derby-West Kimberley (S)	F	3828
Derby-West Kimberley (S)	M	3899
Donnybrook-Balingup (S)	F	2972
Donnybrook-Balingup (S)	M	2899
Dowerin (S)	F	344
Dowerin (S)	M	347
Dumbleyung (S)	F	325
Dumbleyung (S)	M	351
Dundas (S)	F	348
Dundas (S)	M	420
East Fremantle (T)	F	3834
East Fremantle (T)	M	3539
East Pilbara (S)	F	3527
East Pilbara (S)	M	7060
Esperance (S)	F	7070
Esperance (S)	M	7165
Exmouth (S)	F	1296
Exmouth (S)	M	1428
Fremantle (C)	F	14928
Fremantle (C)	M	13965
Gingin (S)	F	2511
Gingin (S)	M	2702
Gnowangerup (S)	F	558
Gnowangerup (S)	M	654
Goomalling (S)	F	518
Goomalling (S)	M	515
Gosnells (C)	F	58066
Gosnells (C)	M	60000
Greater Geraldton (C)	F	19465
Greater Geraldton (C)	M	19167
Halls Creek (S)	F	1662
Halls Creek (S)	M	1599
Harvey (S)	F	13269
Harvey (S)	M	13284
Irwin (S)	F	1772
Irwin (S)	M	1799
Jerramungup (S)	F	496
Jerramungup (S)	M	615
Joondalup (C)	F	77905
Joondalup (C)	M	76539
Kalamunda (S)	F	28995
Kalamunda (S)	M	28458
Kalgoorlie/Boulder (C)	F	14384
Kalgoorlie/Boulder (C)	M	15675
Karratha (C)	F	9533
Karratha (C)	M	11943
Katanning (S)	F	2030
Katanning (S)	M	2124
Kellerberrin (S)	F	611
Kellerberrin (S)	M	616
Kent (S)	F	247
Kent (S)	M	318
Kojonup (S)	F	980
Kojonup (S)	M	1005
Kondinin (S)	F	393
Kondinin (S)	M	478
Koorda (S)	F	198
Koorda (S)	M	217
Kulin (S)	F	362
Kulin (S)	M	403
Kwinana (C)	F	18948
Kwinana (C)	M	19970
Lake Grace (S)	F	601
Lake Grace (S)	M	663
Laverton (S)	F	368
Laverton (S)	M	790
Leonora (S)	F	526
Leonora (S)	M	883
Mandurah (C)	F	41620
Mandurah (C)	M	39188
Manjimup (S)	F	4589
Manjimup (S)	M	4664
Meekatharra (S)	F	434
Meekatharra (S)	M	632
Melville (C)	F	50782
Melville (C)	M	47299
Menzies (S)	F	177
Menzies (S)	M	311
Merredin (S)	F	1587
Merredin (S)	M	1761
Mingenew (S)	F	199
Mingenew (S)	M	257
Moora (S)	F	1170
Moora (S)	M	1259
Morawa (S)	F	352
Morawa (S)	M	401
Mosman Park (T)	F	4693
Mosman Park (T)	M	4058
Mount Magnet (S)	F	216
Mount Magnet (S)	M	262
Mount Marshall (S)	F	241
Mount Marshall (S)	M	284
Mukinbudin (S)	F	259
Mukinbudin (S)	M	295
Mundaring (S)	F	18257
Mundaring (S)	M	19900
Murchison (S)	F	69
Murchison (S)	M	87
Murray (S)	F	8335
Murray (S)	M	8365
Nannup (S)	F	641
Nannup (S)	M	685
Narembeen (S)	F	398
Narembeen (S)	M	408
Narrogin (S)	F	2642
Narrogin (S)	M	2519
Nedlands (C)	F	10688
Nedlands (C)	M	10425
Ngaanyatjarraku (S)	F	821
Ngaanyatjarraku (S)	M	784
Northam (S)	F	5387
Northam (S)	M	5723
Northampton (S)	F	1588
Northampton (S)	M	1732
Nungarin (S)	F	118
Nungarin (S)	M	132
Peppermint Grove (S)	F	943
Peppermint Grove (S)	M	692
Perenjori (S)	F	219
Perenjori (S)	M	397
Perth (C)	F	10332
Perth (C)	M	11463
Pingelly (S)	F	566
Pingelly (S)	M	582
Plantagenet (S)	F	2467
Plantagenet (S)	M	2614
Port Hedland (T)	F	6744
Port Hedland (T)	M	7727
Quairading (S)	F	516
Quairading (S)	M	504
Ravensthorpe (S)	F	790
Ravensthorpe (S)	M	941
Rockingham (C)	F	63083
Rockingham (C)	M	62028
Sandstone (S)	F	34
Sandstone (S)	M	53
Serpentine-Jarrahdale (S)	F	13224
Serpentine-Jarrahdale (S)	M	13612
