LGA_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Blacktown (C)	0	0	1	0	1323
Blacktown (C)	0	0	1	1	803
Blacktown (C)	0	1	0	0	5657
Blacktown (C)	0	1	0	1	759
Blacktown (C)	0	1	1	0	1152
Blacktown (C)	0	1	1	1	328
Blacktown (C)	1	0	0	1	9098
Blacktown (C)	1	0	1	0	3724
Blacktown (C)	1	0	1	1	2987
Blacktown (C)	1	1	0	0	25989
Blacktown (C)	1	1	0	1	1488
Blacktown (C)	1	1	1	0	4816
Blacktown (C)	1	1	1	1	1028
Bland (A)					20
Bland (A)	0	0	0	1	81
Bland (A)	0	0	1	0	16
Bland (A)	0	0	1	1	11
Bland (A)	0	1	0	0	110
Bland (A)	0	1	0	1	3
Bland (A)	0	1	1	0	16
Bland (A)	1	0	0	1	87
Bland (A)	1	0	1	0	34
Bland (A)	1	0	1	1	27
Bland (A)	1	1	0	0	321
Bland (A)	1	1	0	1	16
Bland (A)	1	1	1	0	60
Bland (A)	1	1	1	1	12
Blayney (A)					22
Blayney (A)	0	0	0	1	101
Blayney (A)	0	0	1	0	29
Blayney (A)	0	0	1	1	6
Blayney (A)	0	1	0	0	125
Blayney (A)	0	1	0	1	7
Blayney (A)	0	1	1	0	25
Blayney (A)	1	0	0	1	140
Blayney (A)	1	0	1	0	59
Blayney (A)	1	0	1	1	36
Blayney (A)	1	1	0	0	438
Blayney (A)	1	1	0	1	24
Blayney (A)	1	1	1	0	94
Blayney (A)	1	1	1	1	13
Blue Mountains (C)					221
Blue Mountains (C)	0	0	0	1	1175
Blue Mountains (C)	0	0	1	0	365
Blue Mountains (C)	0	0	1	1	136
Blue Mountains (C)	0	1	0	0	1148
Blue Mountains (C)	0	1	0	1	107
Blue Mountains (C)	0	1	1	0	229
Blue Mountains (C)	0	1	1	1	30
Blue Mountains (C)	1	0	0	1	1762
Blue Mountains (C)	1	0	1	0	868
Blue Mountains (C)	1	0	1	1	475
Blue Mountains (C)	1	1	0	0	4713
Blue Mountains (C)	1	1	0	1	219
Blue Mountains (C)	1	1	1	0	961
Blue Mountains (C)	1	1	1	1	151
Bogan (A)					10
Bogan (A)	0	0	0	1	40
Bogan (A)	0	0	1	0	11
Bogan (A)	0	1	0	0	52
Bogan (A)	0	1	0	1	3
Bogan (A)	0	1	1	0	4
Bogan (A)	0	1	1	1	3
Bogan (A)	1	0	0	1	48
Bogan (A)	1	0	1	0	20
Bogan (A)	1	0	1	1	13
Bogan (A)	1	1	0	0	139
Bogan (A)	1	1	0	1	12
Bogan (A)	1	1	1	0	25
Bogan (A)	1	1	1	1	8
Botany Bay (C)					339
Botany Bay (C)	0	0	0	1	852
Botany Bay (C)	0	0	1	0	204
Botany Bay (C)	0	0	1	1	86
Botany Bay (C)	0	1	0	0	569
Botany Bay (C)	0	1	0	1	61
Botany Bay (C)	0	1	1	0	100
Botany Bay (C)	0	1	1	1	21
Botany Bay (C)	1	0	0	1	1035
Botany Bay (C)	1	0	1	0	434
Botany Bay (C)	1	0	1	1	320
Botany Bay (C)	1	1	0	0	3232
Botany Bay (C)	1	1	0	1	129
Botany Bay (C)	1	1	1	0	440
Botany Bay (C)	1	1	1	1	78
Bourke (A)					11
Bourke (A)	0	0	0	1	45
Bourke (A)	0	0	1	0	4
Bourke (A)	0	0	1	1	3
Bourke (A)	0	1	0	0	67
Bourke (A)	0	1	0	1	9
Bourke (A)	0	1	1	0	4
Bourke (A)	1	0	0	1	26
Bourke (A)	1	0	1	0	8
Bourke (A)	1	0	1	1	13
Bourke (A)	1	1	0	0	135
Bourke (A)	1	1	0	1	10
Bourke (A)	1	1	1	0	21
Brewarrina (A)					16
Brewarrina (A)	0	0	0	1	36
Brewarrina (A)	0	0	1	0	5
Brewarrina (A)	0	1	0	0	86
Brewarrina (A)	0	1	0	1	7
Brewarrina (A)	0	1	1	0	8
Brewarrina (A)	1	0	0	1	18
Brewarrina (A)	1	0	1	0	3
Brewarrina (A)	1	0	1	1	3
Brewarrina (A)	1	1	0	0	68
Brewarrina (A)	1	1	0	1	4
Brewarrina (A)	1	1	1	0	12
Brewarrina (A)	1	1	1	1	3
Broken Hill (C)					75
Broken Hill (C)	0	0	0	1	361
Broken Hill (C)	0	0	1	0	64
Broken Hill (C)	0	0	1	1	23
Broken Hill (C)	0	1	0	0	479
Broken Hill (C)	0	1	0	1	41
Broken Hill (C)	0	1	1	0	77
Broken Hill (C)	0	1	1	1	16
Broken Hill (C)	1	0	0	1	371
Broken Hill (C)	1	0	1	0	78
Broken Hill (C)	1	0	1	1	46
Broken Hill (C)	1	1	0	0	761
Broken Hill (C)	1	1	0	1	72
Broken Hill (C)	1	1	1	0	117
Broken Hill (C)	1	1	1	1	38
Burwood (A)					289
Burwood (A)	0	0	0	1	586
Burwood (A)	0	0	1	0	209
Burwood (A)	0	0	1	1	60
Burwood (A)	0	1	0	0	346
Burwood (A)	0	1	0	1	18
Burwood (A)	0	1	1	0	77
Burwood (A)	0	1	1	1	11
Burwood (A)	1	0	0	1	817
Burwood (A)	1	0	1	0	492
Burwood (A)	1	0	1	1	268
Burwood (A)	1	1	0	0	1975
Burwood (A)	1	1	0	1	63
Burwood (A)	1	1	1	0	363
Burwood (A)	1	1	1	1	39
Byron (A)					96
Byron (A)	0	0	0	1	469
Byron (A)	0	0	1	0	220
Byron (A)	0	0	1	1	52
Byron (A)	0	1	0	0	690
Byron (A)	0	1	0	1	25
Byron (A)	0	1	1	0	100
Byron (A)	0	1	1	1	16
Byron (A)	1	0	0	1	474
Byron (A)	1	0	1	0	218
Byron (A)	1	0	1	1	102
Byron (A)	1	1	0	0	1696
Byron (A)	1	1	0	1	76
Byron (A)	1	1	1	0	271
Byron (A)	1	1	1	1	29
Cabonne (A)					37
Cabonne (A)	0	0	0	1	143
Cabonne (A)	0	0	1	0	34
Cabonne (A)	0	0	1	1	10
Cabonne (A)	0	1	0	0	182
Cabonne (A)	0	1	0	1	13
Cabonne (A)	0	1	1	0	30
Cabonne (A)	0	1	1	1	3
Cabonne (A)	1	0	0	1	278
Cabonne (A)	1	0	1	0	126
Cabonne (A)	1	0	1	1	64
Cabonne (A)	1	1	0	0	858
Cabonne (A)	1	1	0	1	43
Cabonne (A)	1	1	1	0	191
Cabonne (A)	1	1	1	1	32
Camden (A)					216
Camden (A)	0	0	0	1	1022
Camden (A)	0	0	1	0	251
Camden (A)	0	0	1	1	171
Camden (A)	0	1	0	0	1128
Camden (A)	0	1	0	1	131
Camden (A)	0	1	1	0	225
Camden (A)	0	1	1	1	59
Camden (A)	1	0	0	1	2062
Camden (A)	1	0	1	0	715
Camden (A)	1	0	1	1	637
Camden (A)	1	1	0	0	6542
Camden (A)	1	1	0	1	466
Camden (A)	1	1	1	0	1088
Camden (A)	1	1	1	1	238
Campbelltown (C) (NSW)					660
Campbelltown (C) (NSW)	0	0	0	1	3353
Campbelltown (C) (NSW)	0	0	1	0	654
Campbelltown (C) (NSW)	0	0	1	1	392
Campbelltown (C) (NSW)	0	1	0	0	3449
Campbelltown (C) (NSW)	0	1	0	1	439
Campbelltown (C) (NSW)	0	1	1	0	627
Campbelltown (C) (NSW)	0	1	1	1	175
Campbelltown (C) (NSW)	1	0	0	1	4650
Campbelltown (C) (NSW)	1	0	1	0	1433
Campbelltown (C) (NSW)	1	0	1	1	1197
Campbelltown (C) (NSW)	1	1	0	0	9920
Campbelltown (C) (NSW)	1	1	0	1	800
Campbelltown (C) (NSW)	1	1	1	0	1884
Campbelltown (C) (NSW)	1	1	1	1	495
Canada Bay (A)					517
Canada Bay (A)	0	0	0	1	1279
Canada Bay (A)	0	0	1	0	443
Canada Bay (A)	0	0	1	1	130
Canada Bay (A)	0	1	0	0	900
Canada Bay (A)	0	1	0	1	56
Canada Bay (A)	0	1	1	0	148
Canada Bay (A)	0	1	1	1	8
Canada Bay (A)	1	0	0	1	1927
Canada Bay (A)	1	0	1	0	920
Canada Bay (A)	1	0	1	1	572
Canada Bay (A)	1	1	0	0	6309
Canada Bay (A)	1	1	0	1	116
Canada Bay (A)	1	1	1	0	824
Canada Bay (A)	1	1	1	1	73
Canterbury-Bankstown (A)					1884
Canterbury-Bankstown (A)	0	0	0	1	6873
Canterbury-Bankstown (A)	0	0	1	0	1639
Canterbury-Bankstown (A)	0	0	1	1	831
Canterbury-Bankstown (A)	0	1	0	0	4765
Canterbury-Bankstown (A)	0	1	0	1	514
Canterbury-Bankstown (A)	0	1	1	0	1083
Canterbury-Bankstown (A)	0	1	1	1	289
Canterbury-Bankstown (A)	1	0	0	1	9803
Canterbury-Bankstown (A)	1	0	1	0	3680
Canterbury-Bankstown (A)	1	0	1	1	2852
Canterbury-Bankstown (A)	1	1	0	0	23138
Canterbury-Bankstown (A)	1	1	0	1	1196
Canterbury-Bankstown (A)	1	1	1	0	4608
Canterbury-Bankstown (A)	1	1	1	1	1058
Carrathool (A)					10
Carrathool (A)	0	0	0	1	39
Carrathool (A)	0	0	1	0	4
Carrathool (A)	0	1	0	0	35
Carrathool (A)	0	1	1	0	3
Carrathool (A)	1	0	0	1	47
Carrathool (A)	1	0	1	0	17
Carrathool (A)	1	0	1	1	9
Carrathool (A)	1	1	0	0	168
Carrathool (A)	1	1	0	1	9
Carrathool (A)	1	1	1	0	32
Carrathool (A)	1	1	1	1	8
Central Coast (C) (NSW)					1195
Central Coast (C) (NSW)	0	0	0	1	6370
Central Coast (C) (NSW)	0	0	1	0	1460
Central Coast (C) (NSW)	0	0	1	1	703
Central Coast (C) (NSW)	0	1	0	0	6265
Central Coast (C) (NSW)	0	1	0	1	695
Central Coast (C) (NSW)	0	1	1	0	1141
Central Coast (C) (NSW)	0	1	1	1	227
Central Coast (C) (NSW)	1	0	0	1	7568
Central Coast (C) (NSW)	1	0	1	0	2742
Central Coast (C) (NSW)	1	0	1	1	2039
Central Coast (C) (NSW)	1	1	0	0	18638
Central Coast (C) (NSW)	1	1	0	1	1249
Central Coast (C) (NSW)	1	1	1	0	3422
Central Coast (C) (NSW)	1	1	1	1	656
Central Darling (A)					4
Central Darling (A)	0	0	0	1	42
Central Darling (A)	0	0	1	0	4
Central Darling (A)	0	0	1	1	4
Central Darling (A)	0	1	0	0	41
Central Darling (A)	0	1	0	1	4
Central Darling (A)	0	1	1	0	6
Central Darling (A)	1	0	0	1	27
Central Darling (A)	1	0	1	0	7
Central Darling (A)	1	0	1	1	4
Central Darling (A)	1	1	0	0	79
Central Darling (A)	1	1	0	1	9
Central Darling (A)	1	1	1	0	13
Cessnock (C)					211
Cessnock (C)	0	0	0	1	1001
Cessnock (C)	0	0	1	0	192
Cessnock (C)	0	0	1	1	86
Cessnock (C)	0	1	0	0	1403
Cessnock (C)	0	1	0	1	153
Cessnock (C)	0	1	1	0	185
Cessnock (C)	0	1	1	1	43
Cessnock (C)	1	0	0	1	1277
Cessnock (C)	1	0	1	0	317
Cessnock (C)	1	0	1	1	289
Cessnock (C)	1	1	0	0	3063
Cessnock (C)	1	1	0	1	246
Cessnock (C)	1	1	1	0	531
Cessnock (C)	1	1	1	1	140
Clarence Valley (A)					188
Clarence Valley (A)	0	0	0	1	829
Clarence Valley (A)	0	0	1	0	190
Clarence Valley (A)	0	0	1	1	91
Clarence Valley (A)	0	1	0	0	1049
Clarence Valley (A)	0	1	0	1	105
Clarence Valley (A)	0	1	1	0	163
Clarence Valley (A)	0	1	1	1	30
Clarence Valley (A)	1	0	0	1	971
Clarence Valley (A)	1	0	1	0	327
Clarence Valley (A)	1	0	1	1	168
Clarence Valley (A)	1	1	0	0	2116
Clarence Valley (A)	1	1	0	1	182
Clarence Valley (A)	1	1	1	0	482
Clarence Valley (A)	1	1	1	1	103
Cobar (A)					18
Cobar (A)	0	0	0	1	62
Cobar (A)	0	0	1	0	12
Cobar (A)	0	0	1	1	3
Cobar (A)	0	1	0	0	84
Cobar (A)	0	1	1	0	6
Cobar (A)	0	1	1	1	3
Cobar (A)	1	0	0	1	53
Cobar (A)	1	0	1	0	24
Cobar (A)	1	0	1	1	20
Cobar (A)	1	1	0	0	294
Cobar (A)	1	1	0	1	11
Cobar (A)	1	1	1	0	48
Cobar (A)	1	1	1	1	6
Coffs Harbour (C)					210
Coffs Harbour (C)	0	0	0	1	1255
Coffs Harbour (C)	0	0	1	0	314
Coffs Harbour (C)	0	0	1	1	126
Coffs Harbour (C)	0	1	0	0	1525
Coffs Harbour (C)	0	1	0	1	142
Coffs Harbour (C)	0	1	1	0	293
Coffs Harbour (C)	0	1	1	1	49
Coffs Harbour (C)	1	0	0	1	1399
Coffs Harbour (C)	1	0	1	0	527
Coffs Harbour (C)	1	0	1	1	295
Coffs Harbour (C)	1	1	0	0	3862
Coffs Harbour (C)	1	1	0	1	225
Coffs Harbour (C)	1	1	1	0	724
Coffs Harbour (C)	1	1	1	1	111
Coolamon (A)					22
Coolamon (A)	0	0	0	1	43
Coolamon (A)	0	0	1	0	3
Coolamon (A)	0	0	1	1	7
Coolamon (A)	0	1	0	0	71
Coolamon (A)	0	1	0	1	3
Coolamon (A)	0	1	1	0	15
Coolamon (A)	0	1	1	1	3
Coolamon (A)	1	0	0	1	91
Coolamon (A)	1	0	1	0	21
Coolamon (A)	1	0	1	1	15
Coolamon (A)	1	1	0	0	219
Coolamon (A)	1	1	0	1	9
Coolamon (A)	1	1	1	0	70
Coolamon (A)	1	1	1	1	16
Coonamble (A)					19
Coonamble (A)	0	0	0	1	71
Coonamble (A)	0	0	1	0	7
Coonamble (A)	0	0	1	1	6
Coonamble (A)	0	1	0	0	110
Coonamble (A)	0	1	0	1	16
Coonamble (A)	0	1	1	0	17
Coonamble (A)	1	0	0	1	60
Coonamble (A)	1	0	1	0	21
Coonamble (A)	1	0	1	1	8
Coonamble (A)	1	1	0	0	156
Coonamble (A)	1	1	0	1	16
Coonamble (A)	1	1	1	0	27
Coonamble (A)	1	1	1	1	11
Cowra (A)					66
Cowra (A)	0	0	0	1	175
Cowra (A)	0	0	1	0	44
Cowra (A)	0	0	1	1	14
Cowra (A)	0	1	0	0	233
Cowra (A)	0	1	0	1	24
Cowra (A)	0	1	1	0	38
Cowra (A)	0	1	1	1	6
Cowra (A)	1	0	0	1	277
Cowra (A)	1	0	1	0	72
Cowra (A)	1	0	1	1	55
Cowra (A)	1	1	0	0	579
Cowra (A)	1	1	0	1	44
Cowra (A)	1	1	1	0	114
Cowra (A)	1	1	1	1	19
Cumberland (A)					1317
Cumberland (A)	0	0	0	1	3722
Cumberland (A)	0	0	1	0	801
Cumberland (A)	0	0	1	1	480
Cumberland (A)	0	1	0	0	2623
Cumberland (A)	0	1	0	1	277
Cumberland (A)	0	1	1	0	525
Cumberland (A)	0	1	1	1	170
Cumberland (A)	1	0	0	1	5428
Cumberland (A)	1	0	1	0	2059
Cumberland (A)	1	0	1	1	1681
Cumberland (A)	1	1	0	0	15680
Cumberland (A)	1	1	0	1	736
Cumberland (A)	1	1	1	0	2661
Cumberland (A)	1	1	1	1	698
Dungog (A)					23
Dungog (A)	0	0	0	1	132
Dungog (A)	0	0	1	0	25
Dungog (A)	0	0	1	1	11
Dungog (A)	0	1	0	0	141
Dungog (A)	0	1	0	1	17
Dungog (A)	0	1	1	0	17
Dungog (A)	0	1	1	1	6
Dungog (A)	1	0	0	1	224
Dungog (A)	1	0	1	0	83
Dungog (A)	1	0	1	1	47
Dungog (A)	1	1	0	0	485
Dungog (A)	1	1	0	1	33
Dungog (A)	1	1	1	0	113
Dungog (A)	1	1	1	1	20
Edward River (A)					31
Edward River (A)	0	0	0	1	127
Edward River (A)	0	0	1	0	32
Edward River (A)	0	0	1	1	11
Edward River (A)	0	1	0	0	151
Edward River (A)	0	1	0	1	13
Edward River (A)	0	1	1	0	23
Edward River (A)	0	1	1	1	3
Edward River (A)	1	0	0	1	134
Edward River (A)	1	0	1	0	60
Edward River (A)	1	0	1	1	32
Edward River (A)	1	1	0	0	448
Edward River (A)	1	1	0	1	30
Edward River (A)	1	1	1	0	77
Edward River (A)	1	1	1	1	15
Eurobodalla (A)					110
Eurobodalla (A)	0	0	0	1	600
Eurobodalla (A)	0	0	1	0	134
Eurobodalla (A)	0	0	1	1	51
Eurobodalla (A)	0	1	0	0	661
Eurobodalla (A)	0	1	0	1	56
Eurobodalla (A)	0	1	1	0	116
Eurobodalla (A)	0	1	1	1	19
Eurobodalla (A)	1	0	0	1	655
Eurobodalla (A)	1	0	1	0	217
Eurobodalla (A)	1	0	1	1	92
Eurobodalla (A)	1	1	0	0	1417
Eurobodalla (A)	1	1	0	1	112
Eurobodalla (A)	1	1	1	0	262
Eurobodalla (A)	1	1	1	1	52
Fairfield (C)					1203
Fairfield (C)	0	0	0	1	4913
Fairfield (C)	0	0	1	0	1155
Fairfield (C)	0	0	1	1	655
Fairfield (C)	0	1	0	0	3604
Fairfield (C)	0	1	0	1	452
Fairfield (C)	0	1	1	0	875
Fairfield (C)	0	1	1	1	215
Fairfield (C)	1	0	0	1	7052
Fairfield (C)	1	0	1	0	2233
Fairfield (C)	1	0	1	1	2199
Fairfield (C)	1	1	0	0	10405
Fairfield (C)	1	1	0	1	864
Fairfield (C)	1	1	1	0	2798
Fairfield (C)	1	1	1	1	764
Federation (A)					36
Federation (A)	0	0	0	1	153
Federation (A)	0	0	1	0	35
Federation (A)	0	0	1	1	20
Federation (A)	0	1	0	0	191
Federation (A)	0	1	0	1	17
Federation (A)	0	1	1	0	35
Federation (A)	0	1	1	1	4
Federation (A)	1	0	0	1	211
Federation (A)	1	0	1	0	75
Federation (A)	1	0	1	1	55
Federation (A)	1	1	0	0	602
Federation (A)	1	1	0	1	37
Federation (A)	1	1	1	0	116
Federation (A)	1	1	1	1	23
Forbes (A)					41
Forbes (A)	0	0	0	1	149
Forbes (A)	0	0	1	0	28
Forbes (A)	0	0	1	1	16
Forbes (A)	0	1	0	0	177
Forbes (A)	0	1	0	1	7
Forbes (A)	0	1	1	0	31
Forbes (A)	0	1	1	1	7
Forbes (A)	1	0	0	1	168
Forbes (A)	1	0	1	0	53
Forbes (A)	1	0	1	1	34
Forbes (A)	1	1	0	0	495
Forbes (A)	1	1	0	1	41
Forbes (A)	1	1	1	0	91
Forbes (A)	1	1	1	1	15
Georges River (A)					872
Georges River (A)	0	0	0	1	2495
Georges River (A)	0	0	1	0	844
Georges River (A)	0	0	1	1	324
Georges River (A)	0	1	0	0	1592
Georges River (A)	0	1	0	1	129
Georges River (A)	0	1	1	0	334
Georges River (A)	0	1	1	1	56
Georges River (A)	1	0	0	1	3976
Georges River (A)	1	0	1	0	2127
Georges River (A)	1	0	1	1	1242
Georges River (A)	1	1	0	0	9827
Georges River (A)	1	1	0	1	370
Georges River (A)	1	1	1	0	1801
Georges River (A)	1	1	1	1	247
Gilgandra (A)					26
Gilgandra (A)	0	0	0	1	55
Gilgandra (A)	0	0	1	0	13
Gilgandra (A)	0	0	1	1	3
Gilgandra (A)	0	1	0	0	91
Gilgandra (A)	0	1	0	1	16
Gilgandra (A)	0	1	1	0	19
Gilgandra (A)	0	1	1	1	4
Gilgandra (A)	1	0	0	1	70
Gilgandra (A)	1	0	1	0	34
Gilgandra (A)	1	0	1	1	7
Gilgandra (A)	1	1	0	0	197
Gilgandra (A)	1	1	0	1	14
Gilgandra (A)	1	1	1	0	45
Gilgandra (A)	1	1	1	1	4
Glen Innes Severn (A)					31
Glen Innes Severn (A)	0	0	0	1	121
Glen Innes Severn (A)	0	0	1	0	32
Glen Innes Severn (A)	0	0	1	1	4
Glen Innes Severn (A)	0	1	0	0	166
Glen Innes Severn (A)	0	1	0	1	19
Glen Innes Severn (A)	0	1	1	0	29
Glen Innes Severn (A)	0	1	1	1	7
Glen Innes Severn (A)	1	0	0	1	132
Glen Innes Severn (A)	1	0	1	0	59
Glen Innes Severn (A)	1	0	1	1	28
Glen Innes Severn (A)	1	1	0	0	398
Glen Innes Severn (A)	1	1	0	1	22
Glen Innes Severn (A)	1	1	1	0	69
Glen Innes Severn (A)	1	1	1	1	10
Goulburn Mulwaree (A)					108
Goulburn Mulwaree (A)	0	0	0	1	488
Goulburn Mulwaree (A)	0	0	1	0	122
Goulburn Mulwaree (A)	0	0	1	1	40
Goulburn Mulwaree (A)	0	1	0	0	579
Goulburn Mulwaree (A)	0	1	0	1	57
Goulburn Mulwaree (A)	0	1	1	0	92
Goulburn Mulwaree (A)	0	1	1	1	14
Goulburn Mulwaree (A)	1	0	0	1	650
Goulburn Mulwaree (A)	1	0	1	0	175
Goulburn Mulwaree (A)	1	0	1	1	125
Goulburn Mulwaree (A)	1	1	0	0	1557
Goulburn Mulwaree (A)	1	1	0	1	120
Goulburn Mulwaree (A)	1	1	1	0	283
Goulburn Mulwaree (A)	1	1	1	1	62
Greater Hume Shire (A)					18
Greater Hume Shire (A)	0	0	0	1	123
Greater Hume Shire (A)	0	0	1	0	28
Greater Hume Shire (A)	0	0	1	1	12
Greater Hume Shire (A)	0	1	0	0	142
Greater Hume Shire (A)	0	1	0	1	16
Greater Hume Shire (A)	0	1	1	0	31
Greater Hume Shire (A)	1	0	0	1	191
Greater Hume Shire (A)	1	0	1	0	87
Greater Hume Shire (A)	1	0	1	1	56
Greater Hume Shire (A)	1	1	0	0	622
Greater Hume Shire (A)	1	1	0	1	41
Greater Hume Shire (A)	1	1	1	0	128
Greater Hume Shire (A)	1	1	1	1	30
Griffith (C)					103
Griffith (C)	0	0	0	1	335
Griffith (C)	0	0	1	0	58
Griffith (C)	0	0	1	1	26
Griffith (C)	0	1	0	0	392
Griffith (C)	0	1	0	1	52
Griffith (C)	0	1	1	0	54
Griffith (C)	0	1	1	1	14
Griffith (C)	1	0	0	1	578
Griffith (C)	1	0	1	0	171
Griffith (C)	1	0	1	1	128
Griffith (C)	1	1	0	0	1604
Griffith (C)	1	1	0	1	114
Griffith (C)	1	1	1	0	301
Griffith (C)	1	1	1	1	69
Gundagai (A)					47
Gundagai (A)	0	0	0	1	160
Gundagai (A)	0	0	1	0	26
Gundagai (A)	0	0	1	1	9
Gundagai (A)	0	1	0	0	188
Gundagai (A)	0	1	0	1	11
Gundagai (A)	0	1	1	0	37
Gundagai (A)	0	1	1	1	5
Gundagai (A)	1	0	0	1	185
Gundagai (A)	1	0	1	0	72
Gundagai (A)	1	0	1	1	35
Gundagai (A)	1	1	0	0	554
Gundagai (A)	1	1	0	1	42
Gundagai (A)	1	1	1	0	112
Gundagai (A)	1	1	1	1	23
Gunnedah (A)					52
Gunnedah (A)	0	0	0	1	160
Gunnedah (A)	0	0	1	0	35
Gunnedah (A)	0	0	1	1	8
Gunnedah (A)	0	1	0	0	247
Gunnedah (A)	0	1	0	1	33
Gunnedah (A)	0	1	1	0	30
Gunnedah (A)	0	1	1	1	3
Gunnedah (A)	1	0	0	1	258
Gunnedah (A)	1	0	1	0	82
Gunnedah (A)	1	0	1	1	43
Gunnedah (A)	1	1	0	0	744
Gunnedah (A)	1	1	0	1	35
Gunnedah (A)	1	1	1	0	117
Gunnedah (A)	1	1	1	1	26
Gwydir (A)					16
Gwydir (A)	0	0	0	1	75
Gwydir (A)	0	0	1	0	8
Gwydir (A)	0	1	0	0	84
Gwydir (A)	0	1	0	1	4
Gwydir (A)	0	1	1	0	9
Gwydir (A)	0	1	1	1	5
