LGA_NAME16	Age	HoursHousekeeping	Sex	adults
Albury (C)	55-64		F	263
Albury (C)	55-64		M	257
Albury (C)	55-64	0	F	470
Albury (C)	55-64	0	M	666
Albury (C)	55-64	<5	F	346
Albury (C)	55-64	<5	M	795
Albury (C)	55-64	5-14	F	1104
Albury (C)	55-64	5-14	M	933
Albury (C)	55-64	15-29	F	697
Albury (C)	55-64	15-29	M	294
Albury (C)	55-64	30+	F	444
Albury (C)	55-64	30+	M	102
Albury (C)	65-74		F	273
Albury (C)	65-74		M	252
Albury (C)	65-74	0	F	580
Albury (C)	65-74	0	M	654
Albury (C)	65-74	<5	F	193
Albury (C)	65-74	<5	M	404
Albury (C)	65-74	5-14	F	541
Albury (C)	65-74	5-14	M	629
Albury (C)	65-74	15-29	F	517
Albury (C)	65-74	15-29	M	248
Albury (C)	65-74	30+	F	467
Albury (C)	65-74	30+	M	139
Albury (C)	75-84		F	323
Albury (C)	75-84		M	199
Albury (C)	75-84	0	F	568
Albury (C)	75-84	0	M	427
Albury (C)	75-84	<5	F	124
Albury (C)	75-84	<5	M	152
Albury (C)	75-84	5-14	F	237
Albury (C)	75-84	5-14	M	231
Albury (C)	75-84	15-29	F	209
Albury (C)	75-84	15-29	M	131
Albury (C)	75-84	30+	F	192
Albury (C)	75-84	30+	M	107
Albury (C)	85+		F	165
Albury (C)	85+		M	111
Albury (C)	85+	0	F	428
Albury (C)	85+	0	M	213
Albury (C)	85+	<5	F	68
Albury (C)	85+	<5	M	57
Albury (C)	85+	5-14	F	95
Albury (C)	85+	5-14	M	58
Albury (C)	85+	15-29	F	42
Albury (C)	85+	15-29	M	25
Albury (C)	85+	30+	F	42
Albury (C)	85+	30+	M	12
Armidale Regional (A)	15-19		F	142
Armidale Regional (A)	15-19		M	150
Armidale Regional (A)	15-19	0	F	360
Armidale Regional (A)	15-19	0	M	475
Armidale Regional (A)	15-19	<5	F	574
Armidale Regional (A)	15-19	<5	M	497
Armidale Regional (A)	15-19	5-14	F	204
Armidale Regional (A)	15-19	5-14	M	120
Armidale Regional (A)	15-19	15-29	F	23
Armidale Regional (A)	15-19	15-29	M	15
Armidale Regional (A)	15-19	30+	F	6
Armidale Regional (A)	15-19	30+	M	6
Armidale Regional (A)	20-24		F	151
Armidale Regional (A)	20-24		M	147
Armidale Regional (A)	20-24	0	F	298
Armidale Regional (A)	20-24	0	M	460
Armidale Regional (A)	20-24	<5	F	453
Armidale Regional (A)	20-24	<5	M	471
Armidale Regional (A)	20-24	5-14	F	390
Armidale Regional (A)	20-24	5-14	M	248
Armidale Regional (A)	20-24	15-29	F	76
Armidale Regional (A)	20-24	15-29	M	34
Armidale Regional (A)	20-24	30+	F	59
Armidale Regional (A)	20-24	30+	M	17
Armidale Regional (A)	25-34		F	141
Armidale Regional (A)	25-34		M	143
Armidale Regional (A)	25-34	0	F	265
Armidale Regional (A)	25-34	0	M	386
Armidale Regional (A)	25-34	<5	F	307
Armidale Regional (A)	25-34	<5	M	541
Armidale Regional (A)	25-34	5-14	F	508
Armidale Regional (A)	25-34	5-14	M	497
Armidale Regional (A)	25-34	15-29	F	255
Armidale Regional (A)	25-34	15-29	M	87
Armidale Regional (A)	25-34	30+	F	283
Armidale Regional (A)	25-34	30+	M	49
Armidale Regional (A)	35-44		F	128
Armidale Regional (A)	35-44		M	125
Armidale Regional (A)	35-44	0	F	154
Armidale Regional (A)	35-44	0	M	260
Armidale Regional (A)	35-44	<5	F	149
Armidale Regional (A)	35-44	<5	M	385
Armidale Regional (A)	35-44	5-14	F	504
Armidale Regional (A)	35-44	5-14	M	474
Armidale Regional (A)	35-44	15-29	F	354
Armidale Regional (A)	35-44	15-29	M	155
Armidale Regional (A)	35-44	30+	F	352
Armidale Regional (A)	35-44	30+	M	65
Armidale Regional (A)	45-54		F	169
Armidale Regional (A)	45-54		M	161
Armidale Regional (A)	45-54	0	F	152
Armidale Regional (A)	45-54	0	M	306
Armidale Regional (A)	45-54	<5	F	201
Armidale Regional (A)	45-54	<5	M	450
Armidale Regional (A)	45-54	5-14	F	690
Armidale Regional (A)	45-54	5-14	M	643
Armidale Regional (A)	45-54	15-29	F	414
Armidale Regional (A)	45-54	15-29	M	142
Armidale Regional (A)	45-54	30+	F	262
Armidale Regional (A)	45-54	30+	M	73
Armidale Regional (A)	55-64		F	146
Armidale Regional (A)	55-64		M	160
Armidale Regional (A)	55-64	0	F	224
Armidale Regional (A)	55-64	0	M	345
Armidale Regional (A)	55-64	<5	F	217
Armidale Regional (A)	55-64	<5	M	419
Armidale Regional (A)	55-64	5-14	F	620
Armidale Regional (A)	55-64	5-14	M	539
Armidale Regional (A)	55-64	15-29	F	380
Armidale Regional (A)	55-64	15-29	M	170
Armidale Regional (A)	55-64	30+	F	251
Armidale Regional (A)	55-64	30+	M	83
Armidale Regional (A)	65-74		F	148
Armidale Regional (A)	65-74		M	143
Armidale Regional (A)	65-74	0	F	274
Armidale Regional (A)	65-74	0	M	311
Armidale Regional (A)	65-74	<5	F	91
Armidale Regional (A)	65-74	<5	M	238
Armidale Regional (A)	65-74	5-14	F	329
Armidale Regional (A)	65-74	5-14	M	386
Armidale Regional (A)	65-74	15-29	F	302
Armidale Regional (A)	65-74	15-29	M	160
Armidale Regional (A)	65-74	30+	F	259
Armidale Regional (A)	65-74	30+	M	107
Armidale Regional (A)	75-84		F	146
Armidale Regional (A)	75-84		M	107
Armidale Regional (A)	75-84	0	F	232
Armidale Regional (A)	75-84	0	M	196
Armidale Regional (A)	75-84	<5	F	84
Armidale Regional (A)	75-84	<5	M	87
Armidale Regional (A)	75-84	5-14	F	143
Armidale Regional (A)	75-84	5-14	M	180
Armidale Regional (A)	75-84	15-29	F	146
Armidale Regional (A)	75-84	15-29	M	78
Armidale Regional (A)	75-84	30+	F	131
Armidale Regional (A)	75-84	30+	M	60
Armidale Regional (A)	85+		F	67
Armidale Regional (A)	85+		M	47
Armidale Regional (A)	85+	0	F	197
Armidale Regional (A)	85+	0	M	86
Armidale Regional (A)	85+	<5	F	42
Armidale Regional (A)	85+	<5	M	24
Armidale Regional (A)	85+	5-14	F	68
Armidale Regional (A)	85+	5-14	M	34
Armidale Regional (A)	85+	15-29	F	36
Armidale Regional (A)	85+	15-29	M	14
Armidale Regional (A)	85+	30+	F	21
Armidale Regional (A)	85+	30+	M	17
Ballina (A)	15-19		F	110
Ballina (A)	15-19		M	126
Ballina (A)	15-19	0	F	357
Ballina (A)	15-19	0	M	471
Ballina (A)	15-19	<5	F	542
Ballina (A)	15-19	<5	M	547
Ballina (A)	15-19	5-14	F	109
Ballina (A)	15-19	5-14	M	88
Ballina (A)	15-19	15-29	F	19
Ballina (A)	15-19	15-29	M	6
Ballina (A)	15-19	30+	F	4
Ballina (A)	15-19	30+	M	6
Ballina (A)	20-24		F	49
Ballina (A)	20-24		M	61
Ballina (A)	20-24	0	F	153
Ballina (A)	20-24	0	M	263
Ballina (A)	20-24	<5	F	291
Ballina (A)	20-24	<5	M	312
Ballina (A)	20-24	5-14	F	198
Ballina (A)	20-24	5-14	M	109
Ballina (A)	20-24	15-29	F	52
Ballina (A)	20-24	15-29	M	16
Ballina (A)	20-24	30+	F	42
Ballina (A)	20-24	30+	M	11
Ballina (A)	25-34		F	120
Ballina (A)	25-34		M	136
Ballina (A)	25-34	0	F	159
Ballina (A)	25-34	0	M	301
Ballina (A)	25-34	<5	F	350
Ballina (A)	25-34	<5	M	599
Ballina (A)	25-34	5-14	F	567
Ballina (A)	25-34	5-14	M	542
Ballina (A)	25-34	15-29	F	281
Ballina (A)	25-34	15-29	M	108
Ballina (A)	25-34	30+	F	373
Ballina (A)	25-34	30+	M	41
Ballina (A)	35-44		F	172
Ballina (A)	35-44		M	172
Ballina (A)	35-44	0	F	152
Ballina (A)	35-44	0	M	343
Ballina (A)	35-44	<5	F	283
Ballina (A)	35-44	<5	M	609
Ballina (A)	35-44	5-14	F	815
Ballina (A)	35-44	5-14	M	781
Ballina (A)	35-44	15-29	F	546
Ballina (A)	35-44	15-29	M	214
Ballina (A)	35-44	30+	F	488
Ballina (A)	35-44	30+	M	95
Ballina (A)	45-54		F	225
Ballina (A)	45-54		M	226
Ballina (A)	45-54	0	F	269
Ballina (A)	45-54	0	M	421
Ballina (A)	45-54	<5	F	414
Ballina (A)	45-54	<5	M	732
Ballina (A)	45-54	5-14	F	1129
Ballina (A)	45-54	5-14	M	940
Ballina (A)	45-54	15-29	F	624
Ballina (A)	45-54	15-29	M	265
Ballina (A)	45-54	30+	F	394
Ballina (A)	45-54	30+	M	122
Ballina (A)	55-64		F	266
Ballina (A)	55-64		M	279
Ballina (A)	55-64	0	F	370
Ballina (A)	55-64	0	M	581
Ballina (A)	55-64	<5	F	408
Ballina (A)	55-64	<5	M	686
Ballina (A)	55-64	5-14	F	1154
Ballina (A)	55-64	5-14	M	1019
Ballina (A)	55-64	15-29	F	762
Ballina (A)	55-64	15-29	M	299
Ballina (A)	55-64	30+	F	439
Ballina (A)	55-64	30+	M	169
Ballina (A)	65-74		F	280
Ballina (A)	65-74		M	246
Ballina (A)	65-74	0	F	498
Ballina (A)	65-74	0	M	598
Ballina (A)	65-74	<5	F	179
Ballina (A)	65-74	<5	M	435
Ballina (A)	65-74	5-14	F	623
Ballina (A)	65-74	5-14	M	789
Ballina (A)	65-74	15-29	F	648
Ballina (A)	65-74	15-29	M	407
Ballina (A)	65-74	30+	F	581
Ballina (A)	65-74	30+	M	229
Ballina (A)	75-84		F	297
Ballina (A)	75-84		M	226
Ballina (A)	75-84	0	F	438
Ballina (A)	75-84	0	M	427
Ballina (A)	75-84	<5	F	120
Ballina (A)	75-84	<5	M	167
Ballina (A)	75-84	5-14	F	326
Ballina (A)	75-84	5-14	M	300
Ballina (A)	75-84	15-29	F	285
Ballina (A)	75-84	15-29	M	175
Ballina (A)	75-84	30+	F	300
Ballina (A)	75-84	30+	M	146
Ballina (A)	85+		F	291
Ballina (A)	85+		M	167
Ballina (A)	85+	0	F	440
Ballina (A)	85+	0	M	220
Ballina (A)	85+	<5	F	102
Ballina (A)	85+	<5	M	66
Ballina (A)	85+	5-14	F	131
Ballina (A)	85+	5-14	M	97
Ballina (A)	85+	15-29	F	70
Ballina (A)	85+	15-29	M	56
Ballina (A)	85+	30+	F	70
Ballina (A)	85+	30+	M	49
Balranald (A)	15-19		F	10
Balranald (A)	15-19		M	15
Balranald (A)	15-19	0	F	10
Balranald (A)	15-19	0	M	32
Balranald (A)	15-19	<5	F	17
Balranald (A)	15-19	<5	M	22
Balranald (A)	15-19	5-14	F	14
Balranald (A)	15-19	5-14	M	7
Balranald (A)	15-19	30+	F	3
Balranald (A)	20-24		F	8
Balranald (A)	20-24		M	11
Balranald (A)	20-24	0	F	4
Balranald (A)	20-24	0	M	20
Balranald (A)	20-24	<5	F	10
Balranald (A)	20-24	<5	M	24
Balranald (A)	20-24	5-14	F	11
Balranald (A)	20-24	5-14	M	21
Balranald (A)	20-24	15-29	F	8
Balranald (A)	20-24	30+	F	5
Balranald (A)	25-34		F	22
Balranald (A)	25-34		M	11
Balranald (A)	25-34	0	F	10
Balranald (A)	25-34	0	M	16
Balranald (A)	25-34	<5	F	14
Balranald (A)	25-34	<5	M	36
Balranald (A)	25-34	5-14	F	34
Balranald (A)	25-34	5-14	M	28
Balranald (A)	25-34	15-29	F	18
Balranald (A)	25-34	15-29	M	9
Balranald (A)	25-34	30+	F	36
Balranald (A)	35-44		F	13
Balranald (A)	35-44		M	17
Balranald (A)	35-44	0	F	19
Balranald (A)	35-44	0	M	29
Balranald (A)	35-44	<5	F	12
Balranald (A)	35-44	<5	M	53
Balranald (A)	35-44	5-14	F	31
Balranald (A)	35-44	5-14	M	34
Balranald (A)	35-44	15-29	F	23
Balranald (A)	35-44	15-29	M	9
Balranald (A)	35-44	30+	F	34
Balranald (A)	35-44	30+	M	4
Balranald (A)	45-54		F	15
Balranald (A)	45-54		M	25
Balranald (A)	45-54	0	F	25
Balranald (A)	45-54	0	M	45
Balranald (A)	45-54	<5	F	10
Balranald (A)	45-54	<5	M	37
Balranald (A)	45-54	5-14	F	33
Balranald (A)	45-54	5-14	M	37
Balranald (A)	45-54	15-29	F	30
Balranald (A)	45-54	15-29	M	3
Balranald (A)	45-54	30+	F	24
Balranald (A)	55-64		F	25
Balranald (A)	55-64		M	26
Balranald (A)	55-64	0	F	34
Balranald (A)	55-64	0	M	50
Balranald (A)	55-64	<5	F	3
Balranald (A)	55-64	<5	M	48
Balranald (A)	55-64	5-14	F	48
Balranald (A)	55-64	5-14	M	52
Balranald (A)	55-64	15-29	F	40
Balranald (A)	55-64	15-29	M	7
Balranald (A)	55-64	30+	F	35
Balranald (A)	55-64	30+	M	10
Balranald (A)	65-74		F	12
Balranald (A)	65-74		M	26
Balranald (A)	65-74	0	F	18
Balranald (A)	65-74	0	M	34
Balranald (A)	65-74	<5	F	3
Balranald (A)	65-74	<5	M	14
Balranald (A)	65-74	5-14	F	15
Balranald (A)	65-74	5-14	M	23
Balranald (A)	65-74	15-29	F	19
Balranald (A)	65-74	15-29	M	10
Balranald (A)	65-74	30+	F	21
Balranald (A)	65-74	30+	M	9
Balranald (A)	75-84		F	13
Balranald (A)	75-84		M	16
Balranald (A)	75-84	0	F	26
Balranald (A)	75-84	0	M	22
Balranald (A)	75-84	<5	F	4
Balranald (A)	75-84	5-14	F	8
Balranald (A)	75-84	5-14	M	10
Balranald (A)	75-84	15-29	F	7
Balranald (A)	75-84	15-29	M	3
Balranald (A)	75-84	30+	F	7
Balranald (A)	75-84	30+	M	3
Balranald (A)	85+		F	4
Balranald (A)	85+	0	F	19
Balranald (A)	85+	0	M	3
Balranald (A)	85+	15-29	M	3
Bathurst Regional (A)	15-19		F	189
Bathurst Regional (A)	15-19		M	185
Bathurst Regional (A)	15-19	0	F	437
Bathurst Regional (A)	15-19	0	M	598
Bathurst Regional (A)	15-19	<5	F	648
Bathurst Regional (A)	15-19	<5	M	615
Bathurst Regional (A)	15-19	5-14	F	146
Bathurst Regional (A)	15-19	5-14	M	94
Bathurst Regional (A)	15-19	15-29	F	29
Bathurst Regional (A)	15-19	15-29	M	9
Bathurst Regional (A)	15-19	30+	F	15
Bathurst Regional (A)	15-19	30+	M	12
Bathurst Regional (A)	20-24		F	151
Bathurst Regional (A)	20-24		M	314
Bathurst Regional (A)	20-24	0	F	288
Bathurst Regional (A)	20-24	0	M	396
Bathurst Regional (A)	20-24	<5	F	516
Bathurst Regional (A)	20-24	<5	M	562
Bathurst Regional (A)	20-24	5-14	F	384
Bathurst Regional (A)	20-24	5-14	M	270
Bathurst Regional (A)	20-24	15-29	F	105
Bathurst Regional (A)	20-24	15-29	M	32
Bathurst Regional (A)	20-24	30+	F	99
Bathurst Regional (A)	20-24	30+	M	26
Bathurst Regional (A)	25-34		F	150
Bathurst Regional (A)	25-34		M	530
Bathurst Regional (A)	25-34	0	F	201
Bathurst Regional (A)	25-34	0	M	435
Bathurst Regional (A)	25-34	<5	F	352
Bathurst Regional (A)	25-34	<5	M	894
Bathurst Regional (A)	25-34	5-14	F	803
Bathurst Regional (A)	25-34	5-14	M	703
Bathurst Regional (A)	25-34	15-29	F	389
Bathurst Regional (A)	25-34	15-29	M	146
Bathurst Regional (A)	25-34	30+	F	511
Bathurst Regional (A)	25-34	30+	M	63
Bathurst Regional (A)	35-44		F	149
Bathurst Regional (A)	35-44		M	373
Bathurst Regional (A)	35-44	0	F	178
Bathurst Regional (A)	35-44	0	M	327
Bathurst Regional (A)	35-44	<5	F	186
Bathurst Regional (A)	35-44	<5	M	643
Bathurst Regional (A)	35-44	5-14	F	770
Bathurst Regional (A)	35-44	5-14	M	795
Bathurst Regional (A)	35-44	15-29	F	585
Bathurst Regional (A)	35-44	15-29	M	222
Bathurst Regional (A)	35-44	30+	F	570
Bathurst Regional (A)	35-44	30+	M	92
Bathurst Regional (A)	45-54		F	194
Bathurst Regional (A)	45-54		M	318
Bathurst Regional (A)	45-54	0	F	247
Bathurst Regional (A)	45-54	0	M	406
Bathurst Regional (A)	45-54	<5	F	264
Bathurst Regional (A)	45-54	<5	M	630
Bathurst Regional (A)	45-54	5-14	F	995
Bathurst Regional (A)	45-54	5-14	M	900
Bathurst Regional (A)	45-54	15-29	F	607
Bathurst Regional (A)	45-54	15-29	M	228
Bathurst Regional (A)	45-54	30+	F	358
Bathurst Regional (A)	45-54	30+	M	94
Bathurst Regional (A)	55-64		F	217
Bathurst Regional (A)	55-64		M	252
Bathurst Regional (A)	55-64	0	F	312
Bathurst Regional (A)	55-64	0	M	454
Bathurst Regional (A)	55-64	<5	F	250
Bathurst Regional (A)	55-64	<5	M	583
Bathurst Regional (A)	55-64	5-14	F	839
Bathurst Regional (A)	55-64	5-14	M	818
Bathurst Regional (A)	55-64	15-29	F	537
Bathurst Regional (A)	55-64	15-29	M	241
Bathurst Regional (A)	55-64	30+	F	368
Bathurst Regional (A)	55-64	30+	M	124
Bathurst Regional (A)	65-74		F	210
Bathurst Regional (A)	65-74		M	251
Bathurst Regional (A)	65-74	0	F	378
Bathurst Regional (A)	65-74	0	M	471
Bathurst Regional (A)	65-74	<5	F	133
Bathurst Regional (A)	65-74	<5	M	284
Bathurst Regional (A)	65-74	5-14	F	419
Bathurst Regional (A)	65-74	5-14	M	473
Bathurst Regional (A)	65-74	15-29	F	417
Bathurst Regional (A)	65-74	15-29	M	252
Bathurst Regional (A)	65-74	30+	F	393
Bathurst Regional (A)	65-74	30+	M	173
Bathurst Regional (A)	75-84		F	221
Bathurst Regional (A)	75-84		M	140
Bathurst Regional (A)	75-84	0	F	293
Bathurst Regional (A)	75-84	0	M	254
Bathurst Regional (A)	75-84	<5	F	80
Bathurst Regional (A)	75-84	<5	M	118
Bathurst Regional (A)	75-84	5-14	F	203
Bathurst Regional (A)	75-84	5-14	M	175
Bathurst Regional (A)	75-84	15-29	F	146
Bathurst Regional (A)	75-84	15-29	M	98
Bathurst Regional (A)	75-84	30+	F	196
Bathurst Regional (A)	75-84	30+	M	89
Bathurst Regional (A)	85+		F	150
Bathurst Regional (A)	85+		M	64
Bathurst Regional (A)	85+	0	F	248
Bathurst Regional (A)	85+	0	M	109
Bathurst Regional (A)	85+	<5	F	61
Bathurst Regional (A)	85+	<5	M	38
Bathurst Regional (A)	85+	5-14	F	70
Bathurst Regional (A)	85+	5-14	M	48
Bathurst Regional (A)	85+	15-29	F	39
Bathurst Regional (A)	85+	15-29	M	25
Bathurst Regional (A)	85+	30+	F	28
Bathurst Regional (A)	85+	30+	M	18
Bega Valley (A)	15-19		F	131
Bega Valley (A)	15-19		M	140
Bega Valley (A)	15-19	0	F	227
Bega Valley (A)	15-19	0	M	315
Bega Valley (A)	15-19	<5	F	391
Bega Valley (A)	15-19	<5	M	388
Bega Valley (A)	15-19	5-14	F	104
Bega Valley (A)	15-19	5-14	M	62
Bega Valley (A)	15-19	15-29	F	16
Bega Valley (A)	15-19	15-29	M	9
Bega Valley (A)	15-19	30+	F	10
Bega Valley (A)	15-19	30+	M	10
Bega Valley (A)	20-24		F	43
Bega Valley (A)	20-24		M	59
Bega Valley (A)	20-24	0	F	85
Bega Valley (A)	20-24	0	M	175
Bega Valley (A)	20-24	<5	F	164
Bega Valley (A)	20-24	<5	M	227
Bega Valley (A)	20-24	5-14	F	173
Bega Valley (A)	20-24	5-14	M	107
Bega Valley (A)	20-24	15-29	F	59
Bega Valley (A)	20-24	15-29	M	29
Bega Valley (A)	20-24	30+	F	45
Bega Valley (A)	20-24	30+	M	11
Bega Valley (A)	25-34		F	111
Bega Valley (A)	25-34		M	111
Bega Valley (A)	25-34	0	F	96
Bega Valley (A)	25-34	0	M	234
Bega Valley (A)	25-34	<5	F	204
Bega Valley (A)	25-34	<5	M	371
Bega Valley (A)	25-34	5-14	F	371
Bega Valley (A)	25-34	5-14	M	338
Bega Valley (A)	25-34	15-29	F	226
Bega Valley (A)	25-34	15-29	M	88
Bega Valley (A)	25-34	30+	F	291
Bega Valley (A)	25-34	30+	M	49
Bega Valley (A)	35-44		F	118
Bega Valley (A)	35-44		M	128
Bega Valley (A)	35-44	0	F	100
Bega Valley (A)	35-44	0	M	208
Bega Valley (A)	35-44	<5	F	141
Bega Valley (A)	35-44	<5	M	384
Bega Valley (A)	35-44	5-14	F	542
Bega Valley (A)	35-44	5-14	M	470
Bega Valley (A)	35-44	15-29	F	372
Bega Valley (A)	35-44	15-29	M	167
Bega Valley (A)	35-44	30+	F	389
Bega Valley (A)	35-44	30+	M	95
Bega Valley (A)	45-54		F	214
Bega Valley (A)	45-54		M	230
Bega Valley (A)	45-54	0	F	211
Bega Valley (A)	45-54	0	M	353
Bega Valley (A)	45-54	<5	F	271
Bega Valley (A)	45-54	<5	M	518
Bega Valley (A)	45-54	5-14	F	880
Bega Valley (A)	45-54	5-14	M	742
Bega Valley (A)	45-54	15-29	F	529
Bega Valley (A)	45-54	15-29	M	244
Bega Valley (A)	45-54	30+	F	338
Bega Valley (A)	45-54	30+	M	118
Bega Valley (A)	55-64		F	260
Bega Valley (A)	55-64		M	276
Bega Valley (A)	55-64	0	F	353
Bega Valley (A)	55-64	0	M	521
Bega Valley (A)	55-64	<5	F	302
Bega Valley (A)	55-64	<5	M	602
Bega Valley (A)	55-64	5-14	F	993
Bega Valley (A)	55-64	5-14	M	976
Bega Valley (A)	55-64	15-29	F	743
Bega Valley (A)	55-64	15-29	M	374
Bega Valley (A)	55-64	30+	F	521
Bega Valley (A)	55-64	30+	M	234
Bega Valley (A)	65-74		F	274
Bega Valley (A)	65-74		M	284
Bega Valley (A)	65-74	0	F	392
Bega Valley (A)	65-74	0	M	502
Bega Valley (A)	65-74	<5	F	152
Bega Valley (A)	65-74	<5	M	361
Bega Valley (A)	65-74	5-14	F	542
Bega Valley (A)	65-74	5-14	M	724
Bega Valley (A)	65-74	15-29	F	602
Bega Valley (A)	65-74	15-29	M	401
Bega Valley (A)	65-74	30+	F	544
Bega Valley (A)	65-74	30+	M	288
Bega Valley (A)	75-84		F	245
Bega Valley (A)	75-84		M	224
Bega Valley (A)	75-84	0	F	353
Bega Valley (A)	75-84	0	M	314
Bega Valley (A)	75-84	<5	F	94
Bega Valley (A)	75-84	<5	M	163
Bega Valley (A)	75-84	5-14	F	203
Bega Valley (A)	75-84	5-14	M	245
Bega Valley (A)	75-84	15-29	F	176
Bega Valley (A)	75-84	15-29	M	151
Bega Valley (A)	75-84	30+	F	236
Bega Valley (A)	75-84	30+	M	147
Bega Valley (A)	85+		F	136
Bega Valley (A)	85+		M	74
Bega Valley (A)	85+	0	F	276
Bega Valley (A)	85+	0	M	135
Bega Valley (A)	85+	<5	F	55
Bega Valley (A)	85+	<5	M	51
Bega Valley (A)	85+	5-14	F	72
Bega Valley (A)	85+	5-14	M	53
Bega Valley (A)	85+	15-29	F	42
Bega Valley (A)	85+	15-29	M	34
Bega Valley (A)	85+	30+	F	37
Bega Valley (A)	85+	30+	M	30
Bellingen (A)	15-19		F	40
Bellingen (A)	15-19		M	63
Bellingen (A)	15-19	0	F	75
Bellingen (A)	15-19	0	M	122
Bellingen (A)	15-19	<5	F	149
Bellingen (A)	15-19	<5	M	153
Bellingen (A)	15-19	5-14	F	51
Bellingen (A)	15-19	5-14	M	45
Bellingen (A)	15-19	15-29	F	13
Bellingen (A)	15-19	15-29	M	4
Bellingen (A)	20-24		F	12
Bellingen (A)	20-24		M	16
Bellingen (A)	20-24	0	F	37
Bellingen (A)	20-24	0	M	42
Bellingen (A)	20-24	<5	F	35
Bellingen (A)	20-24	<5	M	82
Bellingen (A)	20-24	5-14	F	61
Bellingen (A)	20-24	5-14	M	41
Bellingen (A)	20-24	15-29	F	20
Bellingen (A)	20-24	15-29	M	14
Bellingen (A)	20-24	30+	F	19
Bellingen (A)	20-24	30+	M	5
Bellingen (A)	25-34		F	28
Bellingen (A)	25-34		M	26
Bellingen (A)	25-34	0	F	32
Bellingen (A)	25-34	0	M	81
Bellingen (A)	25-34	<5	F	63
Bellingen (A)	25-34	<5	M	126
Bellingen (A)	25-34	5-14	F	140
Bellingen (A)	25-34	5-14	M	155
Bellingen (A)	25-34	15-29	F	86
Bellingen (A)	25-34	15-29	M	44
Bellingen (A)	25-34	30+	F	135
Bellingen (A)	25-34	30+	M	30
Bellingen (A)	35-44		F	45
Bellingen (A)	35-44		M	57
Bellingen (A)	35-44	0	F	35
Bellingen (A)	35-44	0	M	87
Bellingen (A)	35-44	<5	F	60
Bellingen (A)	35-44	<5	M	143
Bellingen (A)	35-44	5-14	F	222
Bellingen (A)	35-44	5-14	M	220
Bellingen (A)	35-44	15-29	F	161
Bellingen (A)	35-44	15-29	M	82
Bellingen (A)	35-44	30+	F	177
Bellingen (A)	35-44	30+	M	37
Bellingen (A)	45-54		F	59
Bellingen (A)	45-54		M	80
Bellingen (A)	45-54	0	F	58
Bellingen (A)	45-54	0	M	102
Bellingen (A)	45-54	<5	F	111
Bellingen (A)	45-54	<5	M	190
Bellingen (A)	45-54	5-14	F	372
Bellingen (A)	45-54	5-14	M	286
Bellingen (A)	45-54	15-29	F	236
Bellingen (A)	45-54	15-29	M	98
Bellingen (A)	45-54	30+	F	155
Bellingen (A)	45-54	30+	M	58
Bellingen (A)	55-64		F	85
Bellingen (A)	55-64		M	84
Bellingen (A)	55-64	0	F	106
Bellingen (A)	55-64	0	M	175
Bellingen (A)	55-64	<5	F	133
Bellingen (A)	55-64	<5	M	230
Bellingen (A)	55-64	5-14	F	410
Bellingen (A)	55-64	5-14	M	356
Bellingen (A)	55-64	15-29	F	242
Bellingen (A)	55-64	15-29	M	158
