LGA_NAME16	EduInstitutionType	Sex	students
Blue Mountains (C)	University or other tertiary	M	1378
Bogan (A)		F	165
Bogan (A)		M	167
Bogan (A)	Infants/Primary	F	106
Bogan (A)	Infants/Primary	M	126
Bogan (A)	Pre-school	F	36
Bogan (A)	Pre-school	M	17
Bogan (A)	Secondary	F	76
Bogan (A)	Secondary	M	66
Bogan (A)	Technical or Further Educational Institution	F	29
Bogan (A)	Technical or Further Educational Institution	M	14
Bogan (A)	University or other tertiary	F	30
Bogan (A)	University or other tertiary	M	10
Botany Bay (C)		F	2097
Botany Bay (C)		M	1953
Botany Bay (C)	Infants/Primary	F	1602
Botany Bay (C)	Infants/Primary	M	1750
Botany Bay (C)	Pre-school	F	353
Botany Bay (C)	Pre-school	M	380
Botany Bay (C)	Secondary	F	1186
Botany Bay (C)	Secondary	M	1254
Botany Bay (C)	Technical or Further Educational Institution	F	556
Botany Bay (C)	Technical or Further Educational Institution	M	456
Botany Bay (C)	University or other tertiary	F	1758
Botany Bay (C)	University or other tertiary	M	1732
Bourke (A)		F	269
Bourke (A)		M	267
Bourke (A)	Infants/Primary	F	109
Bourke (A)	Infants/Primary	M	126
Bourke (A)	Pre-school	F	33
Bourke (A)	Pre-school	M	30
Bourke (A)	Secondary	F	60
Bourke (A)	Secondary	M	39
Bourke (A)	Technical or Further Educational Institution	F	23
Bourke (A)	Technical or Further Educational Institution	M	9
Bourke (A)	University or other tertiary	F	20
Bourke (A)	University or other tertiary	M	8
Brewarrina (A)		F	81
Brewarrina (A)		M	123
Brewarrina (A)	Infants/Primary	F	82
Brewarrina (A)	Infants/Primary	M	88
Brewarrina (A)	Pre-school	F	10
Brewarrina (A)	Pre-school	M	20
Brewarrina (A)	Secondary	F	53
Brewarrina (A)	Secondary	M	31
Brewarrina (A)	Technical or Further Educational Institution	F	15
Brewarrina (A)	Technical or Further Educational Institution	M	5
Brewarrina (A)	University or other tertiary	F	15
Brewarrina (A)	University or other tertiary	M	7
Broken Hill (C)		F	871
Broken Hill (C)		M	858
Broken Hill (C)	Infants/Primary	F	621
Broken Hill (C)	Infants/Primary	M	619
Broken Hill (C)	Pre-school	F	148
Broken Hill (C)	Pre-school	M	161
Broken Hill (C)	Secondary	F	483
Broken Hill (C)	Secondary	M	483
Broken Hill (C)	Technical or Further Educational Institution	F	240
Broken Hill (C)	Technical or Further Educational Institution	M	177
Broken Hill (C)	University or other tertiary	F	190
Broken Hill (C)	University or other tertiary	M	66
Burwood (A)		F	1451
Burwood (A)		M	1341
Burwood (A)	Infants/Primary	F	1013
Burwood (A)	Infants/Primary	M	998
Burwood (A)	Pre-school	F	191
Burwood (A)	Pre-school	M	205
Burwood (A)	Secondary	F	1073
Burwood (A)	Secondary	M	938
Burwood (A)	Technical or Further Educational Institution	F	498
Burwood (A)	Technical or Further Educational Institution	M	412
Burwood (A)	University or other tertiary	F	2438
Burwood (A)	University or other tertiary	M	2277
Byron (A)		F	2259
Byron (A)		M	2136
Byron (A)	Infants/Primary	F	1141
Byron (A)	Infants/Primary	M	1185
Byron (A)	Pre-school	F	222
Byron (A)	Pre-school	M	251
Byron (A)	Secondary	F	895
Byron (A)	Secondary	M	852
Byron (A)	Technical or Further Educational Institution	F	309
Byron (A)	Technical or Further Educational Institution	M	223
Byron (A)	University or other tertiary	F	510
Byron (A)	University or other tertiary	M	299
Cabonne (A)		F	595
Cabonne (A)		M	567
Cabonne (A)	Infants/Primary	F	656
Cabonne (A)	Infants/Primary	M	663
Cabonne (A)	Pre-school	F	130
Cabonne (A)	Pre-school	M	143
Cabonne (A)	Secondary	F	514
Cabonne (A)	Secondary	M	484
Cabonne (A)	Technical or Further Educational Institution	F	138
Cabonne (A)	Technical or Further Educational Institution	M	107
Cabonne (A)	University or other tertiary	F	176
Cabonne (A)	University or other tertiary	M	67
Camden (A)		F	2351
Camden (A)		M	2017
Camden (A)	Infants/Primary	F	4017
Camden (A)	Infants/Primary	M	4200
Camden (A)	Pre-school	F	897
Camden (A)	Pre-school	M	939
Camden (A)	Secondary	F	2904
Camden (A)	Secondary	M	2930
Camden (A)	Technical or Further Educational Institution	F	705
Camden (A)	Technical or Further Educational Institution	M	757
Camden (A)	University or other tertiary	F	1739
Camden (A)	University or other tertiary	M	1048
Campbelltown (C) (NSW)		F	6467
Campbelltown (C) (NSW)		M	5380
Campbelltown (C) (NSW)	Infants/Primary	F	6989
Campbelltown (C) (NSW)	Infants/Primary	M	7472
Campbelltown (C) (NSW)	Pre-school	F	1313
Campbelltown (C) (NSW)	Pre-school	M	1433
Campbelltown (C) (NSW)	Secondary	F	5376
Campbelltown (C) (NSW)	Secondary	M	5435
Campbelltown (C) (NSW)	Technical or Further Educational Institution	F	1642
Campbelltown (C) (NSW)	Technical or Further Educational Institution	M	1456
Campbelltown (C) (NSW)	University or other tertiary	F	3568
Campbelltown (C) (NSW)	University or other tertiary	M	2784
Canada Bay (A)		F	3286
Canada Bay (A)		M	2907
Canada Bay (A)	Infants/Primary	F	2980
Canada Bay (A)	Infants/Primary	M	3060
Canada Bay (A)	Pre-school	F	644
Canada Bay (A)	Pre-school	M	735
Canada Bay (A)	Secondary	F	2103
Canada Bay (A)	Secondary	M	2130
Canada Bay (A)	Technical or Further Educational Institution	F	739
Canada Bay (A)	Technical or Further Educational Institution	M	638
Canada Bay (A)	University or other tertiary	F	3567
Canada Bay (A)	University or other tertiary	M	3070
Canterbury-Bankstown (A)		F	14257
Canterbury-Bankstown (A)		M	13451
Canterbury-Bankstown (A)	Infants/Primary	F	14444
Canterbury-Bankstown (A)	Infants/Primary	M	15437
Canterbury-Bankstown (A)	Pre-school	F	2659
Canterbury-Bankstown (A)	Pre-school	M	3019
Canterbury-Bankstown (A)	Secondary	F	11597
Canterbury-Bankstown (A)	Secondary	M	11887
Canterbury-Bankstown (A)	Technical or Further Educational Institution	F	3771
Canterbury-Bankstown (A)	Technical or Further Educational Institution	M	3381
Canterbury-Bankstown (A)	University or other tertiary	F	9919
Canterbury-Bankstown (A)	University or other tertiary	M	9676
Carrathool (A)		F	132
Carrathool (A)		M	142
Carrathool (A)	Infants/Primary	F	117
Carrathool (A)	Infants/Primary	M	120
Carrathool (A)	Pre-school	F	24
Carrathool (A)	Pre-school	M	25
Carrathool (A)	Secondary	F	71
Carrathool (A)	Secondary	M	61
Carrathool (A)	Technical or Further Educational Institution	F	19
Carrathool (A)	Technical or Further Educational Institution	M	7
Carrathool (A)	University or other tertiary	F	32
Carrathool (A)	University or other tertiary	M	6
Central Coast (C) (NSW)		F	12602
Central Coast (C) (NSW)		M	10881
Central Coast (C) (NSW)	Infants/Primary	F	13170
Central Coast (C) (NSW)	Infants/Primary	M	14032
Central Coast (C) (NSW)	Pre-school	F	3098
Central Coast (C) (NSW)	Pre-school	M	3389
Central Coast (C) (NSW)	Secondary	F	10261
Central Coast (C) (NSW)	Secondary	M	10404
Central Coast (C) (NSW)	Technical or Further Educational Institution	F	3457
Central Coast (C) (NSW)	Technical or Further Educational Institution	M	2813
Central Coast (C) (NSW)	University or other tertiary	F	6295
Central Coast (C) (NSW)	University or other tertiary	M	3971
Central Darling (A)		F	164
Central Darling (A)		M	194
Central Darling (A)	Infants/Primary	F	68
Central Darling (A)	Infants/Primary	M	44
Central Darling (A)	Pre-school	F	9
Central Darling (A)	Pre-school	M	18
Central Darling (A)	Secondary	F	35
Central Darling (A)	Secondary	M	40
Central Darling (A)	Technical or Further Educational Institution	F	12
Central Darling (A)	Technical or Further Educational Institution	M	3
Central Darling (A)	University or other tertiary	F	8
Central Darling (A)	University or other tertiary	M	7
Cessnock (C)		F	2493
Cessnock (C)		M	3000
Cessnock (C)	Infants/Primary	F	2404
Cessnock (C)	Infants/Primary	M	2542
Cessnock (C)	Pre-school	F	528
Cessnock (C)	Pre-school	M	544
Cessnock (C)	Secondary	F	1676
Cessnock (C)	Secondary	M	1681
Cessnock (C)	Technical or Further Educational Institution	F	569
Cessnock (C)	Technical or Further Educational Institution	M	418
Cessnock (C)	University or other tertiary	F	654
Cessnock (C)	University or other tertiary	M	314
Clarence Valley (A)		F	2270
Clarence Valley (A)		M	2478
Clarence Valley (A)	Infants/Primary	F	1836
Clarence Valley (A)	Infants/Primary	M	1972
Clarence Valley (A)	Pre-school	F	358
Clarence Valley (A)	Pre-school	M	401
Clarence Valley (A)	Secondary	F	1412
Clarence Valley (A)	Secondary	M	1491
Clarence Valley (A)	Technical or Further Educational Institution	F	646
Clarence Valley (A)	Technical or Further Educational Institution	M	417
Clarence Valley (A)	University or other tertiary	F	456
Clarence Valley (A)	University or other tertiary	M	204
Cobar (A)		F	292
Cobar (A)		M	328
Cobar (A)	Infants/Primary	F	208
Cobar (A)	Infants/Primary	M	205
Cobar (A)	Pre-school	F	46
Cobar (A)	Pre-school	M	36
Cobar (A)	Secondary	F	116
Cobar (A)	Secondary	M	130
Cobar (A)	Technical or Further Educational Institution	F	63
Cobar (A)	Technical or Further Educational Institution	M	40
Cobar (A)	University or other tertiary	F	45
Cobar (A)	University or other tertiary	M	12
Coffs Harbour (C)		F	3351
Coffs Harbour (C)		M	2991
Coffs Harbour (C)	Infants/Primary	F	2983
Coffs Harbour (C)	Infants/Primary	M	3044
Coffs Harbour (C)	Pre-school	F	644
Coffs Harbour (C)	Pre-school	M	728
Coffs Harbour (C)	Secondary	F	2255
Coffs Harbour (C)	Secondary	M	2313
Coffs Harbour (C)	Technical or Further Educational Institution	F	1044
Coffs Harbour (C)	Technical or Further Educational Institution	M	648
Coffs Harbour (C)	University or other tertiary	F	1119
Coffs Harbour (C)	University or other tertiary	M	558
Coolamon (A)		F	249
Coolamon (A)		M	253
Coolamon (A)	Infants/Primary	F	181
Coolamon (A)	Infants/Primary	M	219
Coolamon (A)	Pre-school	F	35
Coolamon (A)	Pre-school	M	36
Coolamon (A)	Secondary	F	158
Coolamon (A)	Secondary	M	157
Coolamon (A)	Technical or Further Educational Institution	F	37
Coolamon (A)	Technical or Further Educational Institution	M	24
Coolamon (A)	University or other tertiary	F	76
Coolamon (A)	University or other tertiary	M	18
Coonamble (A)		F	335
Coonamble (A)		M	341
Coonamble (A)	Infants/Primary	F	147
Coonamble (A)	Infants/Primary	M	154
Coonamble (A)	Pre-school	F	34
Coonamble (A)	Pre-school	M	43
Coonamble (A)	Secondary	F	94
Coonamble (A)	Secondary	M	89
Coonamble (A)	Technical or Further Educational Institution	F	35
Coonamble (A)	Technical or Further Educational Institution	M	18
Coonamble (A)	University or other tertiary	F	38
Coonamble (A)	University or other tertiary	M	5
Cowra (A)		F	631
Cowra (A)		M	609
Cowra (A)	Infants/Primary	F	489
Cowra (A)	Infants/Primary	M	476
Cowra (A)	Pre-school	F	92
Cowra (A)	Pre-school	M	106
Cowra (A)	Secondary	F	355
Cowra (A)	Secondary	M	335
Cowra (A)	Technical or Further Educational Institution	F	149
Cowra (A)	Technical or Further Educational Institution	M	93
Cowra (A)	University or other tertiary	F	100
Cowra (A)	University or other tertiary	M	49
Cumberland (A)		F	8838
Cumberland (A)		M	8741
Cumberland (A)	Infants/Primary	F	8830
Cumberland (A)	Infants/Primary	M	9300
Cumberland (A)	Pre-school	F	1663
Cumberland (A)	Pre-school	M	1865
Cumberland (A)	Secondary	F	6522
Cumberland (A)	Secondary	M	6670
Cumberland (A)	Technical or Further Educational Institution	F	2491
Cumberland (A)	Technical or Further Educational Institution	M	2391
Cumberland (A)	University or other tertiary	F	6431
Cumberland (A)	University or other tertiary	M	6783
Dungog (A)		F	402
Dungog (A)		M	379
Dungog (A)	Infants/Primary	F	345
Dungog (A)	Infants/Primary	M	402
Dungog (A)	Pre-school	F	93
Dungog (A)	Pre-school	M	96
Dungog (A)	Secondary	F	305
Dungog (A)	Secondary	M	289
Dungog (A)	Technical or Further Educational Institution	F	77
Dungog (A)	Technical or Further Educational Institution	M	59
Dungog (A)	University or other tertiary	F	115
Dungog (A)	University or other tertiary	M	57
Edward River (A)		F	509
Edward River (A)		M	483
Edward River (A)	Infants/Primary	F	338
Edward River (A)	Infants/Primary	M	364
Edward River (A)	Pre-school	F	63
Edward River (A)	Pre-school	M	71
Edward River (A)	Secondary	F	268
Edward River (A)	Secondary	M	227
Edward River (A)	Technical or Further Educational Institution	F	83
Edward River (A)	Technical or Further Educational Institution	M	59
Edward River (A)	University or other tertiary	F	69
Edward River (A)	University or other tertiary	M	43
Eurobodalla (A)		F	1879
Eurobodalla (A)		M	1775
Eurobodalla (A)	Infants/Primary	F	1180
Eurobodalla (A)	Infants/Primary	M	1257
Eurobodalla (A)	Pre-school	F	210
Eurobodalla (A)	Pre-school	M	237
Eurobodalla (A)	Secondary	F	962
Eurobodalla (A)	Secondary	M	991
Eurobodalla (A)	Technical or Further Educational Institution	F	281
Eurobodalla (A)	Technical or Further Educational Institution	M	234
Eurobodalla (A)	University or other tertiary	F	331
Eurobodalla (A)	University or other tertiary	M	132
Fairfield (C)		F	7954
Fairfield (C)		M	7053
Fairfield (C)	Infants/Primary	F	7748
Fairfield (C)	Infants/Primary	M	8200
Fairfield (C)	Pre-school	F	1230
Fairfield (C)	Pre-school	M	1337
Fairfield (C)	Secondary	F	7398
Fairfield (C)	Secondary	M	7572
Fairfield (C)	Technical or Further Educational Institution	F	2426
Fairfield (C)	Technical or Further Educational Institution	M	2212
Fairfield (C)	University or other tertiary	F	5372
Fairfield (C)	University or other tertiary	M	4511
Federation (A)		F	641
Federation (A)		M	611
Federation (A)	Infants/Primary	F	494
Federation (A)	Infants/Primary	M	451
Federation (A)	Pre-school	F	92
Federation (A)	Pre-school	M	112
Federation (A)	Secondary	F	332
Federation (A)	Secondary	M	339
Federation (A)	Technical or Further Educational Institution	F	135
Federation (A)	Technical or Further Educational Institution	M	93
Federation (A)	University or other tertiary	F	122
Federation (A)	University or other tertiary	M	47
Forbes (A)		F	483
Forbes (A)		M	486
Forbes (A)	Infants/Primary	F	414
Forbes (A)	Infants/Primary	M	424
Forbes (A)	Pre-school	F	113
Forbes (A)	Pre-school	M	100
Forbes (A)	Secondary	F	338
Forbes (A)	Secondary	M	336
Forbes (A)	Technical or Further Educational Institution	F	96
Forbes (A)	Technical or Further Educational Institution	M	74
Forbes (A)	University or other tertiary	F	94
Forbes (A)	University or other tertiary	M	26
Georges River (A)		F	4654
Georges River (A)		M	4245
Georges River (A)	Infants/Primary	F	5185
Georges River (A)	Infants/Primary	M	5398
Georges River (A)	Pre-school	F	1074
Georges River (A)	Pre-school	M	1172
Georges River (A)	Secondary	F	4579
Georges River (A)	Secondary	M	4704
Georges River (A)	Technical or Further Educational Institution	F	1437
Georges River (A)	Technical or Further Educational Institution	M	1327
Georges River (A)	University or other tertiary	F	5748
Georges River (A)	University or other tertiary	M	5634
Gilgandra (A)		F	208
Gilgandra (A)		M	219
Gilgandra (A)	Infants/Primary	F	167
Gilgandra (A)	Infants/Primary	M	181
Gilgandra (A)	Pre-school	F	46
Gilgandra (A)	Pre-school	M	56
Gilgandra (A)	Secondary	F	117
Gilgandra (A)	Secondary	M	106
Gilgandra (A)	Technical or Further Educational Institution	F	30
Gilgandra (A)	Technical or Further Educational Institution	M	21
Gilgandra (A)	University or other tertiary	F	40
Gilgandra (A)	University or other tertiary	M	12
Glen Innes Severn (A)		F	545
Glen Innes Severn (A)		M	637
Glen Innes Severn (A)	Infants/Primary	F	316
Glen Innes Severn (A)	Infants/Primary	M	338
Glen Innes Severn (A)	Pre-school	F	58
Glen Innes Severn (A)	Pre-school	M	62
Glen Innes Severn (A)	Secondary	F	256
Glen Innes Severn (A)	Secondary	M	222
Glen Innes Severn (A)	Technical or Further Educational Institution	F	94
Glen Innes Severn (A)	Technical or Further Educational Institution	M	65
Glen Innes Severn (A)	University or other tertiary	F	70
Glen Innes Severn (A)	University or other tertiary	M	40
Goulburn Mulwaree (A)		F	1298
Goulburn Mulwaree (A)		M	1765
Goulburn Mulwaree (A)	Infants/Primary	F	1124
Goulburn Mulwaree (A)	Infants/Primary	M	1264
Goulburn Mulwaree (A)	Pre-school	F	268
Goulburn Mulwaree (A)	Pre-school	M	267
Goulburn Mulwaree (A)	Secondary	F	813
Goulburn Mulwaree (A)	Secondary	M	902
Goulburn Mulwaree (A)	Technical or Further Educational Institution	F	334
Goulburn Mulwaree (A)	Technical or Further Educational Institution	M	277
Goulburn Mulwaree (A)	University or other tertiary	F	401
Goulburn Mulwaree (A)	University or other tertiary	M	216
Greater Hume Shire (A)		F	449
Greater Hume Shire (A)		M	405
Greater Hume Shire (A)	Infants/Primary	F	509
Greater Hume Shire (A)	Infants/Primary	M	539
Greater Hume Shire (A)	Pre-school	F	107
Greater Hume Shire (A)	Pre-school	M	125
Greater Hume Shire (A)	Secondary	F	403
Greater Hume Shire (A)	Secondary	M	403
Greater Hume Shire (A)	Technical or Further Educational Institution	F	92
Greater Hume Shire (A)	Technical or Further Educational Institution	M	84
Greater Hume Shire (A)	University or other tertiary	F	116
Greater Hume Shire (A)	University or other tertiary	M	47
Griffith (C)		F	1486
Griffith (C)		M	1414
Griffith (C)	Infants/Primary	F	1109
Griffith (C)	Infants/Primary	M	1120
Griffith (C)	Pre-school	F	226
Griffith (C)	Pre-school	M	268
Griffith (C)	Secondary	F	789
Griffith (C)	Secondary	M	848
Griffith (C)	Technical or Further Educational Institution	F	251
Griffith (C)	Technical or Further Educational Institution	M	225
Griffith (C)	University or other tertiary	F	231
Griffith (C)	University or other tertiary	M	156
Gundagai (A)		F	480
Gundagai (A)		M	495
Gundagai (A)	Infants/Primary	F	439
Gundagai (A)	Infants/Primary	M	493
Gundagai (A)	Pre-school	F	86
Gundagai (A)	Pre-school	M	106
Gundagai (A)	Secondary	F	321
Gundagai (A)	Secondary	M	325
Gundagai (A)	Technical or Further Educational Institution	F	117
Gundagai (A)	Technical or Further Educational Institution	M	65
Gundagai (A)	University or other tertiary	F	102
Gundagai (A)	University or other tertiary	M	37
Gunnedah (A)		F	612
Gunnedah (A)		M	552
Gunnedah (A)	Infants/Primary	F	520
Gunnedah (A)	Infants/Primary	M	538
Gunnedah (A)	Pre-school	F	153
Gunnedah (A)	Pre-school	M	148
Gunnedah (A)	Secondary	F	322
Gunnedah (A)	Secondary	M	344
Gunnedah (A)	Technical or Further Educational Institution	F	141
Gunnedah (A)	Technical or Further Educational Institution	M	74
Gunnedah (A)	University or other tertiary	F	129
Gunnedah (A)	University or other tertiary	M	53
Gwydir (A)		F	277
Gwydir (A)		M	320
Gwydir (A)	Infants/Primary	F	192
Gwydir (A)	Infants/Primary	M	226
Gwydir (A)	Pre-school	F	50
Gwydir (A)	Pre-school	M	45
Gwydir (A)	Secondary	F	133
Gwydir (A)	Secondary	M	123
Gwydir (A)	Technical or Further Educational Institution	F	33
Gwydir (A)	Technical or Further Educational Institution	M	23
Gwydir (A)	University or other tertiary	F	27
Gwydir (A)	University or other tertiary	M	10
Hawkesbury (C)		F	2302
Hawkesbury (C)		M	2138
Hawkesbury (C)	Infants/Primary	F	2747
Hawkesbury (C)	Infants/Primary	M	2947
Hawkesbury (C)	Pre-school	F	610
Hawkesbury (C)	Pre-school	M	715
Hawkesbury (C)	Secondary	F	2263
Hawkesbury (C)	Secondary	M	2186
Hawkesbury (C)	Technical or Further Educational Institution	F	703
Hawkesbury (C)	Technical or Further Educational Institution	M	708
Hawkesbury (C)	University or other tertiary	F	1391
Hawkesbury (C)	University or other tertiary	M	776
Hay (A)		F	197
Hay (A)		M	188
Hay (A)	Infants/Primary	F	111
Hay (A)	Infants/Primary	M	129
Hay (A)	Pre-school	F	22
Hay (A)	Pre-school	M	15
Hay (A)	Secondary	F	92
Hay (A)	Secondary	M	82
Hay (A)	Technical or Further Educational Institution	F	15
Hay (A)	Technical or Further Educational Institution	M	15
Hay (A)	University or other tertiary	F	19
Hay (A)	University or other tertiary	M	13
Hilltops (A)		F	825
Hilltops (A)		M	753
Hilltops (A)	Infants/Primary	F	818
Hilltops (A)	Infants/Primary	M	833
Hilltops (A)	Pre-school	F	163
Hilltops (A)	Pre-school	M	179
Hilltops (A)	Secondary	F	595
Hilltops (A)	Secondary	M	591
Hilltops (A)	Technical or Further Educational Institution	F	214
Hilltops (A)	Technical or Further Educational Institution	M	125
Hilltops (A)	University or other tertiary	F	199
Hilltops (A)	University or other tertiary	M	72
Hornsby (A)		F	3543
Hornsby (A)		M	2994
Hornsby (A)	Infants/Primary	F	6491
Hornsby (A)	Infants/Primary	M	6829
Hornsby (A)	Pre-school	F	1325
Hornsby (A)	Pre-school	M	1447
Hornsby (A)	Secondary	F	5559
Hornsby (A)	Secondary	M	5604
Hornsby (A)	Technical or Further Educational Institution	F	1313
Hornsby (A)	Technical or Further Educational Institution	M	1209
Hornsby (A)	University or other tertiary	F	4638
Hornsby (A)	University or other tertiary	M	3983
Hunters Hill (A)		F	436
Hunters Hill (A)		M	411
Hunters Hill (A)	Infants/Primary	F	604
Hunters Hill (A)	Infants/Primary	M	633
Hunters Hill (A)	Pre-school	F	122
Hunters Hill (A)	Pre-school	M	144
Hunters Hill (A)	Secondary	F	461
Hunters Hill (A)	Secondary	M	988
Hunters Hill (A)	Technical or Further Educational Institution	F	76
Hunters Hill (A)	Technical or Further Educational Institution	M	58
Hunters Hill (A)	University or other tertiary	F	427
Hunters Hill (A)	University or other tertiary	M	384
Inner West (A)		F	7969
Inner West (A)		M	7812
Inner West (A)	Infants/Primary	F	5736
Inner West (A)	Infants/Primary	M	6070
Inner West (A)	Pre-school	F	1332
Inner West (A)	Pre-school	M	1406
Inner West (A)	Secondary	F	3707
Inner West (A)	Secondary	M	3945
Inner West (A)	Technical or Further Educational Institution	F	1701
Inner West (A)	Technical or Further Educational Institution	M	1497
Inner West (A)	University or other tertiary	F	7777
Inner West (A)	University or other tertiary	M	6111
Inverell (A)		F	857
Inverell (A)		M	787
Inverell (A)	Infants/Primary	F	686
Inverell (A)	Infants/Primary	M	723
Inverell (A)	Pre-school	F	134
Inverell (A)	Pre-school	M	177
Inverell (A)	Secondary	F	523
Inverell (A)	Secondary	M	536
