LGA_NAME16	MotorVehicles.min	occupied_private_dwellings
Cabonne (A)	0	163
Cabonne (A)	1	1134
Cabonne (A)	2	1797
Cabonne (A)	3	826
Cabonne (A)	4	564
Camden (A)		604
Camden (A)	0	554
Camden (A)	1	5370
Camden (A)	2	10860
Camden (A)	3	4087
Camden (A)	4	2602
Campbelltown (C) (NSW)		1749
Campbelltown (C) (NSW)	0	3808
Campbelltown (C) (NSW)	1	17761
Campbelltown (C) (NSW)	2	17309
Campbelltown (C) (NSW)	3	6018
Campbelltown (C) (NSW)	4	3336
Canada Bay (A)		855
Canada Bay (A)	0	3246
Canada Bay (A)	1	13847
Canada Bay (A)	2	10566
Canada Bay (A)	3	2454
Canada Bay (A)	4	1135
Canterbury-Bankstown (A)		4256
Canterbury-Bankstown (A)	0	12183
Canterbury-Bankstown (A)	1	40067
Canterbury-Bankstown (A)	2	33847
Canterbury-Bankstown (A)	3	11358
Canterbury-Bankstown (A)	4	6050
Carrathool (A)		56
Carrathool (A)	0	41
Carrathool (A)	1	277
Carrathool (A)	2	341
Carrathool (A)	3	165
Carrathool (A)	4	104
Central Coast (C) (NSW)		4810
Central Coast (C) (NSW)	0	8388
Central Coast (C) (NSW)	1	44315
Central Coast (C) (NSW)	2	42414
Central Coast (C) (NSW)	3	13703
Central Coast (C) (NSW)	4	7415
Central Darling (A)		53
Central Darling (A)	0	97
Central Darling (A)	1	218
Central Darling (A)	2	119
Central Darling (A)	3	52
Central Darling (A)	4	64
Cessnock (C)		853
Cessnock (C)	0	1002
Cessnock (C)	1	6329
Cessnock (C)	2	7133
Cessnock (C)	3	2584
Cessnock (C)	4	1463
Clarence Valley (A)		881
Clarence Valley (A)	0	1131
Clarence Valley (A)	1	7488
Clarence Valley (A)	2	6889
Clarence Valley (A)	3	2194
Clarence Valley (A)	4	1022
Cobar (A)		85
Cobar (A)	0	108
Cobar (A)	1	530
Cobar (A)	2	614
Cobar (A)	3	214
Cobar (A)	4	91
Coffs Harbour (C)		1134
Coffs Harbour (C)	0	1643
Coffs Harbour (C)	1	10188
Coffs Harbour (C)	2	9812
Coffs Harbour (C)	3	2862
Coffs Harbour (C)	4	1395
Coolamon (A)		82
Coolamon (A)	0	48
Coolamon (A)	1	436
Coolamon (A)	2	511
Coolamon (A)	3	251
Coolamon (A)	4	156
Coonamble (A)		85
Coonamble (A)	0	131
Coonamble (A)	1	461
Coonamble (A)	2	414
Coonamble (A)	3	177
Coonamble (A)	4	98
Cowra (A)		222
Cowra (A)	0	307
Cowra (A)	1	1672
Cowra (A)	2	1715
Cowra (A)	3	548
Cowra (A)	4	349
Cumberland (A)		2851
Cumberland (A)	0	7544
Cumberland (A)	1	24400
Cumberland (A)	2	19778
Cumberland (A)	3	6323
Cumberland (A)	4	3612
Dungog (A)		108
Dungog (A)	0	87
Dungog (A)	1	879
Dungog (A)	2	1285
Dungog (A)	3	529
Dungog (A)	4	357
Edward River (A)		186
Edward River (A)	0	220
Edward River (A)	1	1121
Edward River (A)	2	1239
Edward River (A)	3	405
Edward River (A)	4	199
Eurobodalla (A)		698
Eurobodalla (A)	0	749
Eurobodalla (A)	1	6033
Eurobodalla (A)	2	5349
Eurobodalla (A)	3	1553
Eurobodalla (A)	4	654
Fairfield (C)		2354
Fairfield (C)	0	5932
Fairfield (C)	1	18540
Fairfield (C)	2	17831
Fairfield (C)	3	7976
Fairfield (C)	4	4552
Federation (A)		261
Federation (A)	0	229
Federation (A)	1	1739
Federation (A)	2	1762
Federation (A)	3	573
Federation (A)	4	288
Forbes (A)		171
Forbes (A)	0	200
Forbes (A)	1	1091
Forbes (A)	2	1296
Forbes (A)	3	485
Forbes (A)	4	261
Georges River (A)		1433
Georges River (A)	0	5619
Georges River (A)	1	19367
Georges River (A)	2	15369
Georges River (A)	3	4546
Georges River (A)	4	2340
Gilgandra (A)		75
Gilgandra (A)	0	108
Gilgandra (A)	1	506
Gilgandra (A)	2	517
Gilgandra (A)	3	237
Gilgandra (A)	4	145
Glen Innes Severn (A)		169
Glen Innes Severn (A)	0	262
Glen Innes Severn (A)	1	1289
Glen Innes Severn (A)	2	1092
Glen Innes Severn (A)	3	409
Glen Innes Severn (A)	4	215
Goulburn Mulwaree (A)		479
Goulburn Mulwaree (A)	0	804
Goulburn Mulwaree (A)	1	3645
Goulburn Mulwaree (A)	2	3749
Goulburn Mulwaree (A)	3	1456
Goulburn Mulwaree (A)	4	810
Greater Hume Shire (A)		150
Greater Hume Shire (A)	0	109
Greater Hume Shire (A)	1	1043
Greater Hume Shire (A)	2	1387
Greater Hume Shire (A)	3	621
Greater Hume Shire (A)	4	392
Griffith (C)		397
Griffith (C)	0	488
Griffith (C)	1	2563
Griffith (C)	2	3218
Griffith (C)	3	1154
Griffith (C)	4	661
Gundagai (A)		218
Gundagai (A)	0	283
Gundagai (A)	1	1565
Gundagai (A)	2	1491
Gundagai (A)	3	509
Gundagai (A)	4	290
Gunnedah (A)		239
Gunnedah (A)	0	226
Gunnedah (A)	1	1461
Gunnedah (A)	2	1641
Gunnedah (A)	3	615
Gunnedah (A)	4	352
Gwydir (A)		93
Gwydir (A)	0	105
Gwydir (A)	1	613
Gwydir (A)	2	661
Gwydir (A)	3	333
Gwydir (A)	4	177
Hawkesbury (C)		647
Hawkesbury (C)	0	824
Hawkesbury (C)	1	5502
Hawkesbury (C)	2	7926
Hawkesbury (C)	3	3493
Hawkesbury (C)	4	2925
Hay (A)		80
Hay (A)	0	66
Hay (A)	1	352
Hay (A)	2	378
Hay (A)	3	137
Hay (A)	4	88
Hilltops (A)		348
Hilltops (A)	0	385
Hilltops (A)	1	2320
Hilltops (A)	2	2482
Hilltops (A)	3	993
Hilltops (A)	4	534
Hornsby (A)		1011
Hornsby (A)	0	2958
Hornsby (A)	1	16536
Hornsby (A)	2	17916
Hornsby (A)	3	5543
Hornsby (A)	4	3050
Hunters Hill (A)		130
Hunters Hill (A)	0	372
Hunters Hill (A)	1	1411
Hunters Hill (A)	2	1851
Hunters Hill (A)	3	507
Hunters Hill (A)	4	310
Inner West (A)		2332
Inner West (A)	0	11931
Inner West (A)	1	33604
Inner West (A)	2	16655
Inner West (A)	3	3114
Inner West (A)	4	1165
Inverell (A)		310
Inverell (A)	0	412
Inverell (A)	1	2077
Inverell (A)	2	2124
Inverell (A)	3	756
Inverell (A)	4	443
Junee (A)		118
Junee (A)	0	98
Junee (A)	1	579
Junee (A)	2	679
Junee (A)	3	289
Junee (A)	4	162
Kempsey (A)		570
Kempsey (A)	0	658
Kempsey (A)	1	3868
Kempsey (A)	2	3653
Kempsey (A)	3	1272
Kempsey (A)	4	631
Kiama (A)		207
Kiama (A)	0	307
Kiama (A)	1	2388
Kiama (A)	2	3221
Kiama (A)	3	1031
Kiama (A)	4	565
Ku-ring-gai (A)		710
Ku-ring-gai (A)	0	1526
Ku-ring-gai (A)	1	12277
Ku-ring-gai (A)	2	16831
Ku-ring-gai (A)	3	4982
Ku-ring-gai (A)	4	2142
Kyogle (A)		171
Kyogle (A)	0	165
Kyogle (A)	1	1353
Kyogle (A)	2	1248
Kyogle (A)	3	390
Kyogle (A)	4	207
Lachlan (A)		142
Lachlan (A)	0	131
Lachlan (A)	1	708
Lachlan (A)	2	764
Lachlan (A)	3	288
Lachlan (A)	4	169
Lake Macquarie (C)		2451
Lake Macquarie (C)	0	4186
Lake Macquarie (C)	1	24083
Lake Macquarie (C)	2	27986
Lake Macquarie (C)	3	9419
Lake Macquarie (C)	4	4943
Lane Cove (A)		289
Lane Cove (A)	0	1154
Lane Cove (A)	1	6275
Lane Cove (A)	2	4484
Lane Cove (A)	3	951
Lane Cove (A)	4	373
Leeton (A)		200
Leeton (A)	0	200
Leeton (A)	1	1182
Leeton (A)	2	1446
Leeton (A)	3	533
Leeton (A)	4	308
Lismore (C)		640
Lismore (C)	0	1053
Lismore (C)	1	6005
Lismore (C)	2	5698
Lismore (C)	3	1905
Lismore (C)	4	894
Lithgow (C)		391
Lithgow (C)	0	703
Lithgow (C)	1	2698
Lithgow (C)	2	2538
Lithgow (C)	3	954
Lithgow (C)	4	574
Liverpool (C)		2354
Liverpool (C)	0	4542
Liverpool (C)	1	16907
Liverpool (C)	2	21475
Liverpool (C)	3	8460
Liverpool (C)	4	5053
Liverpool Plains (A)		122
Liverpool Plains (A)	0	178
Liverpool Plains (A)	1	988
Liverpool Plains (A)	2	974
Liverpool Plains (A)	3	410
Liverpool Plains (A)	4	236
Lockhart (A)		50
Lockhart (A)	0	36
Lockhart (A)	1	330
Lockhart (A)	2	427
Lockhart (A)	3	161
Lockhart (A)	4	131
Maitland (C)		871
Maitland (C)	0	1387
Maitland (C)	1	8593
Maitland (C)	2	10989
Maitland (C)	3	3614
Maitland (C)	4	1923
Mid-Coast (A)		1730
Mid-Coast (A)	0	2104
Mid-Coast (A)	1	14350
Mid-Coast (A)	2	12490
Mid-Coast (A)	3	3822
Mid-Coast (A)	4	1737
Mid-Western Regional (A)		461
Mid-Western Regional (A)	0	427
Mid-Western Regional (A)	1	2716
Mid-Western Regional (A)	2	3330
Mid-Western Regional (A)	3	1208
Mid-Western Regional (A)	4	632
Moree Plains (A)		322
Moree Plains (A)	0	371
Moree Plains (A)	1	1428
Moree Plains (A)	2	1553
Moree Plains (A)	3	555
Moree Plains (A)	4	317
Mosman (A)		252
Mosman (A)	0	1111
Mosman (A)	1	5043
Mosman (A)	2	3476
Mosman (A)	3	824
Mosman (A)	4	327
Murray River (A)		231
Murray River (A)	0	203
Murray River (A)	1	1400
Murray River (A)	2	1751
Murray River (A)	3	559
Murray River (A)	4	326
Murrumbidgee (A)		73
Murrumbidgee (A)	0	56
Murrumbidgee (A)	1	402
Murrumbidgee (A)	2	484
Murrumbidgee (A)	3	201
Murrumbidgee (A)	4	141
Muswellbrook (A)		251
Muswellbrook (A)	0	386
Muswellbrook (A)	1	1908
Muswellbrook (A)	2	2173
Muswellbrook (A)	3	686
Muswellbrook (A)	4	360
Nambucca (A)		371
Nambucca (A)	0	478
Nambucca (A)	1	3190
Nambucca (A)	2	2553
Nambucca (A)	3	737
Nambucca (A)	4	346
Narrabri (A)		231
Narrabri (A)	0	260
Narrabri (A)	1	1401
Narrabri (A)	2	1637
Narrabri (A)	3	691
Narrabri (A)	4	414
Narrandera (A)		127
Narrandera (A)	0	132
Narrandera (A)	1	709
Narrandera (A)	2	741
Narrandera (A)	3	272
Narrandera (A)	4	166
Narromine (A)		137
Narromine (A)	0	139
Narromine (A)	1	712
Narromine (A)	2	779
Narromine (A)	3	364
Narromine (A)	4	191
Newcastle (C)		2018
Newcastle (C)	0	5550
Newcastle (C)	1	22573
Newcastle (C)	2	21177
Newcastle (C)	3	6006
Newcastle (C)	4	2651
North Sydney (A)		691
North Sydney (A)	0	5194
North Sydney (A)	1	16330
North Sydney (A)	2	6503
North Sydney (A)	3	990
North Sydney (A)	4	359
Northern Beaches (A)		2508
Northern Beaches (A)	0	5764
Northern Beaches (A)	1	30833
Northern Beaches (A)	2	34013
Northern Beaches (A)	3	9849
Northern Beaches (A)	4	4975
Oberon (A)		85
Oberon (A)	0	72
Oberon (A)	1	524
Oberon (A)	2	697
Oberon (A)	3	306
Oberon (A)	4	190
Orange (C)		633
Orange (C)	0	1012
Orange (C)	1	5287
Orange (C)	2	5489
Orange (C)	3	1597
Orange (C)	4	715
Parkes (A)		267
Parkes (A)	0	386
Parkes (A)	1	1787
Parkes (A)	2	1807
Parkes (A)	3	664
Parkes (A)	4	387
Parramatta (C)		2207
Parramatta (C)	0	8001
Parramatta (C)	1	31427
Parramatta (C)	2	24921
Parramatta (C)	3	6375
Parramatta (C)	4	2895
Penrith (C)		2168
Penrith (C)	0	3869
Penrith (C)	1	19705
Penrith (C)	2	23636
Penrith (C)	3	8655
Penrith (C)	4	5637
Port Macquarie-Hastings (A)		1319
Port Macquarie-Hastings (A)	0	1847
Port Macquarie-Hastings (A)	1	12077
Port Macquarie-Hastings (A)	2	10969
Port Macquarie-Hastings (A)	3	3184
Port Macquarie-Hastings (A)	4	1462
Port Stephens (A)		1126
Port Stephens (A)	0	1047
Port Stephens (A)	1	8924
Port Stephens (A)	2	9428
Port Stephens (A)	3	3142
Port Stephens (A)	4	1776
Queanbeyan-Palerang Regional (A)		642
Queanbeyan-Palerang Regional (A)	0	831
Queanbeyan-Palerang Regional (A)	1	6225
Queanbeyan-Palerang Regional (A)	2	7572
Queanbeyan-Palerang Regional (A)	3	2870
Queanbeyan-Palerang Regional (A)	4	1890
Randwick (C)		1965
Randwick (C)	0	9074
Randwick (C)	1	21468
Randwick (C)	2	13505
Randwick (C)	3	3077
Randwick (C)	4	1283
Richmond Valley (A)		415
Richmond Valley (A)	0	553
Richmond Valley (A)	1	3109
Richmond Valley (A)	2	3053
Richmond Valley (A)	3	937
Richmond Valley (A)	4	474
Rockdale (C)		1393
Rockdale (C)	0	5117
Rockdale (C)	1	16452
Rockdale (C)	2	10693
Rockdale (C)	3	2908
Rockdale (C)	4	1381
Ryde (C)		1096
Ryde (C)	0	4818
Ryde (C)	1	17727
Ryde (C)	2	12780
Ryde (C)	3	3298
Ryde (C)	4	1546
Shellharbour (C)		859
Shellharbour (C)	0	1255
Shellharbour (C)	1	7496
Shellharbour (C)	2	8867
Shellharbour (C)	3	3183
Shellharbour (C)	4	1979
Shoalhaven (C)		1753
Shoalhaven (C)	0	1874
Shoalhaven (C)	1	14766
Shoalhaven (C)	2	13592
Shoalhaven (C)	3	4097
Shoalhaven (C)	4	2098
Singleton (A)		241
Singleton (A)	0	288
Singleton (A)	1	2146
Singleton (A)	2	3078
Singleton (A)	3	1248
Singleton (A)	4	742
Snowy Monaro Regional (A)		411
Snowy Monaro Regional (A)	0	359
Snowy Monaro Regional (A)	1	2383
Snowy Monaro Regional (A)	2	2689
Snowy Monaro Regional (A)	3	1076
Snowy Monaro Regional (A)	4	597
Snowy Valleys (A)		255
Snowy Valleys (A)	0	269
Snowy Valleys (A)	1	1745
Snowy Valleys (A)	2	1999
Snowy Valleys (A)	3	742
Snowy Valleys (A)	4	383
Strathfield (A)		534
Strathfield (A)	0	1751
Strathfield (A)	1	5139
Strathfield (A)	2	3514
Strathfield (A)	3	1151
Strathfield (A)	4	585
Sutherland Shire (A)		1980
Sutherland Shire (A)	0	4325
Sutherland Shire (A)	1	24010
Sutherland Shire (A)	2	30491
Sutherland Shire (A)	3	9654
Sutherland Shire (A)	4	5900
Sydney (C)		3633
Sydney (C)	0	33330
Sydney (C)	1	36925
Sydney (C)	2	9799
Sydney (C)	3	1228
Sydney (C)	4	509
Tamworth Regional (A)		1050
Tamworth Regional (A)	0	1305
Tamworth Regional (A)	1	7214
Tamworth Regional (A)	2	8036
Tamworth Regional (A)	3	2692
Tamworth Regional (A)	4	1442
Temora (A)		110
Temora (A)	0	161
Temora (A)	1	758
Temora (A)	2	834
Temora (A)	3	307
Temora (A)	4	182
Tenterfield (A)		136
Tenterfield (A)	0	148
Tenterfield (A)	1	1000
Tenterfield (A)	2	896
Tenterfield (A)	3	302
Tenterfield (A)	4	204
The Hills Shire (A)		866
The Hills Shire (A)	0	992
The Hills Shire (A)	1	11135
The Hills Shire (A)	2	21610
The Hills Shire (A)	3	8063
The Hills Shire (A)	4	5169
Tweed (A)		1574
Tweed (A)	0	2104
Tweed (A)	1	13777
Tweed (A)	2	12293
Tweed (A)	3	3577
Tweed (A)	4	1758
Upper Hunter Shire (A)		257
Upper Hunter Shire (A)	0	254
Upper Hunter Shire (A)	1	1614
Upper Hunter Shire (A)	2	1915
Upper Hunter Shire (A)	3	758
Upper Hunter Shire (A)	4	363
Upper Lachlan Shire (A)		116
Upper Lachlan Shire (A)	0	78
Upper Lachlan Shire (A)	1	753
Upper Lachlan Shire (A)	2	1115
Upper Lachlan Shire (A)	3	477
Upper Lachlan Shire (A)	4	372
Uralla (A)		120
Uralla (A)	0	87
Uralla (A)	1	673
Uralla (A)	2	865
Uralla (A)	3	311
Uralla (A)	4	230
Wagga Wagga (C)		851
Wagga Wagga (C)	0	1324
Wagga Wagga (C)	1	7641
Wagga Wagga (C)	2	8464
Wagga Wagga (C)	3	2724
Wagga Wagga (C)	4	1397
Walcha (A)		59
Walcha (A)	0	48
Walcha (A)	1	326
Walcha (A)	2	433
Walcha (A)	3	201
Walcha (A)	4	122
Walgett (A)		173
Walgett (A)	0	291
Walgett (A)	1	801
Walgett (A)	2	614
Walgett (A)	3	255
Walgett (A)	4	150
Warren (A)		63
Warren (A)	0	59
Warren (A)	1	310
Warren (A)	2	363
Warren (A)	3	139
Warren (A)	4	74
Warrumbungle Shire (A)		190
Warrumbungle Shire (A)	0	229
Warrumbungle Shire (A)	1	1145
Warrumbungle Shire (A)	2	1205
Warrumbungle Shire (A)	3	455
Warrumbungle Shire (A)	4	293
Waverley (A)		952
Waverley (A)	0	4667
Waverley (A)	1	11404
Waverley (A)	2	6466
Waverley (A)	3	1243
Waverley (A)	4	427
Weddin (A)		67
Weddin (A)	0	80
Weddin (A)	1	448
Weddin (A)	2	512
Weddin (A)	3	202
Weddin (A)	4	140
Wentworth (A)		121
Wentworth (A)	0	164
Wentworth (A)	1	670
Wentworth (A)	2	950
Wentworth (A)	3	324
Wentworth (A)	4	190
Western Plains Regional (A)		750
Western Plains Regional (A)	0	1101
Western Plains Regional (A)	1	5833
Western Plains Regional (A)	2	6378
Western Plains Regional (A)	3	2262
Western Plains Regional (A)	4	1148
Willoughby (C)		655
Willoughby (C)	0	3714
Willoughby (C)	1	11617
Willoughby (C)	2	7791
Willoughby (C)	3	1751
Willoughby (C)	4	636
Wingecarribee (A)		635
Wingecarribee (A)	0	638
Wingecarribee (A)	1	5958
Wingecarribee (A)	2	6779
Wingecarribee (A)	3	2367
Wingecarribee (A)	4	1384
Wollondilly (A)		491
Wollondilly (A)	0	367
Wollondilly (A)	1	3032
Wollondilly (A)	2	5721
Wollondilly (A)	3	2954
Wollondilly (A)	4	2532
Wollongong (C)		2857
Wollongong (C)	0	6751
Wollongong (C)	1	26328
Wollongong (C)	2	25522
Wollongong (C)	3	8247
Wollongong (C)	4	4248
Woollahra (A)		710
Woollahra (A)	0	2901
Woollahra (A)	1	9362
Woollahra (A)	2	6162
Woollahra (A)	3	1371
Woollahra (A)	4	602
Yass Valley (A)		166
Yass Valley (A)	0	141
Yass Valley (A)	1	1245
Yass Valley (A)	2	2203
Yass Valley (A)	3	1072
Yass Valley (A)	4	692
Unincorporated NSW		23
Unincorporated NSW	0	30
Unincorporated NSW	1	113
Unincorporated NSW	2	76
Unincorporated NSW	3	36
Unincorporated NSW	4	46
Alpine (S)		241
Alpine (S)	0	185
Alpine (S)	1	1646
Alpine (S)	2	1754
Alpine (S)	3	627
Alpine (S)	4	376
Ararat (RC)		209
Ararat (RC)	0	281
Ararat (RC)	1	1424
Ararat (RC)	2	1462
Ararat (RC)	3	575
Ararat (RC)	4	350
Ballarat (C)		1488
Ballarat (C)	0	2564
Ballarat (C)	1	13811
Ballarat (C)	2	14178
Ballarat (C)	3	4232
Ballarat (C)	4	2174
Banyule (C)		1218
Banyule (C)	0	2702
Banyule (C)	1	15561
Banyule (C)	2	17650
Banyule (C)	3	4879
Banyule (C)	4	2415
Bass Coast (S)		640
Bass Coast (S)	0	710
Bass Coast (S)	1	5069
Bass Coast (S)	2	4810
Bass Coast (S)	3	1349
Bass Coast (S)	4	591
Baw Baw (S)		655
Baw Baw (S)	0	644
Baw Baw (S)	1	5222
Baw Baw (S)	2	6806
Baw Baw (S)	3	2597
Baw Baw (S)	4	1676
Bayside (C)		893
Bayside (C)	0	1814
Bayside (C)	1	11968
Bayside (C)	2	14822
Bayside (C)	3	3843
Bayside (C)	4	1698
Benalla (RC)		241
Benalla (RC)	0	334
Benalla (RC)	1	1909
Benalla (RC)	2	1970
Benalla (RC)	3	725
Benalla (RC)	4	419
Boroondara (C)		1416
Boroondara (C)	0	4687
Boroondara (C)	1	21980
Boroondara (C)	2	22792
Boroondara (C)	3	6226
Boroondara (C)	4	2751
Brimbank (C)		2718
Brimbank (C)	0	4325
Brimbank (C)	1	19535
Brimbank (C)	2	22172
Brimbank (C)	3	8440
Brimbank (C)	4	4367
Buloke (S)		130
Buloke (S)	0	134
Buloke (S)	1	771
Buloke (S)	2	815
Buloke (S)	3	338
Buloke (S)	4	271
Campaspe (S)		654
Campaspe (S)	0	668
Campaspe (S)	1	4112
Campaspe (S)	2	5232
Campaspe (S)	3	1984
Campaspe (S)	4	1208
Cardinia (S)		926
Cardinia (S)	0	869
Cardinia (S)	1	8535
Cardinia (S)	2	12965
Cardinia (S)	3	4670
Cardinia (S)	4	3048
Casey (C)		2887
Casey (C)	0	2850
Casey (C)	1	24304
Casey (C)	2	40342
Casey (C)	3	13904
Casey (C)	4	7842
Central Goldfields (S)		293
Central Goldfields (S)	0	368
Central Goldfields (S)	1	1940
Central Goldfields (S)	2	1822
Central Goldfields (S)	3	632
Central Goldfields (S)	4	386
Colac-Otway (S)		364
Colac-Otway (S)	0	416
Colac-Otway (S)	1	2679
Colac-Otway (S)	2	2871
Colac-Otway (S)	3	1056
Colac-Otway (S)	4	620
Corangamite (S)		280
Corangamite (S)	0	259
Corangamite (S)	1	1743
Corangamite (S)	2	2150
Corangamite (S)	3	913
Corangamite (S)	4	672
Darebin (C)		2019
Darebin (C)	0	7042
Darebin (C)	1	23775
Darebin (C)	2	16201
Darebin (C)	3	3954
Darebin (C)	4	1744
East Gippsland (S)		942
East Gippsland (S)	0	818
East Gippsland (S)	1	5917
East Gippsland (S)	2	6556
East Gippsland (S)	3	2198
East Gippsland (S)	4	1123
Frankston (C)		1869
Frankston (C)	0	2941
Frankston (C)	1	17008
Frankston (C)	2	19230
Frankston (C)	3	5661
Frankston (C)	4	2974
Gannawarra (S)		215
Gannawarra (S)	0	211
Gannawarra (S)	1	1285
Gannawarra (S)	2	1505
Gannawarra (S)	3	608
Gannawarra (S)	4	404
Glen Eira (C)		1428
Glen Eira (C)	0	4774
Glen Eira (C)	1	21019
Glen Eira (C)	2	18943
Glen Eira (C)	3	4247
Glen Eira (C)	4	1890
Glenelg (S)		371
Glenelg (S)	0	353
Glenelg (S)	1	2438
Glenelg (S)	2	2671
Glenelg (S)	3	1128
Glenelg (S)	4	682
Golden Plains (S)		246
Golden Plains (S)	0	77
Golden Plains (S)	1	1242
Golden Plains (S)	2	3045
Golden Plains (S)	3	1479
Golden Plains (S)	4	1098
Greater Bendigo (C)		1666
Greater Bendigo (C)	0	2281
Greater Bendigo (C)	1	13566
Greater Bendigo (C)	2	15673
Greater Bendigo (C)	3	5365
Greater Bendigo (C)	4	2817
Greater Dandenong (C)		2279
Greater Dandenong (C)	0	4197
Greater Dandenong (C)	1	17171
Greater Dandenong (C)	2	16202
Greater Dandenong (C)	3	5822
Greater Dandenong (C)	4	2887
Greater Geelong (C)		3146
Greater Geelong (C)	0	5432
Greater Geelong (C)	1	30491
Greater Geelong (C)	2	33332
Greater Geelong (C)	3	9748
Greater Geelong (C)	4	4847
Greater Shepparton (C)		988
Greater Shepparton (C)	0	1274
Greater Shepparton (C)	1	7281
Greater Shepparton (C)	2	8331
Greater Shepparton (C)	3	3005
Greater Shepparton (C)	4	1701
Hepburn (S)		320
Hepburn (S)	0	232
Hepburn (S)	1	1897
Hepburn (S)	2	2198
Hepburn (S)	3	842
Hepburn (S)	4	539
Hindmarsh (S)		113
Hindmarsh (S)	0	121
Hindmarsh (S)	1	708
Hindmarsh (S)	2	767
Hindmarsh (S)	3	344
Hindmarsh (S)	4	266
Hobsons Bay (C)		1050
Hobsons Bay (C)	0	2464
Hobsons Bay (C)	1	12395
Hobsons Bay (C)	2	11949
Hobsons Bay (C)	3	3138
Hobsons Bay (C)	4	1507
Horsham (RC)		294
Horsham (RC)	0	481
Horsham (RC)	1	2548
Horsham (RC)	2	2798
Horsham (RC)	3	1000
Horsham (RC)	4	598
Hume (C)		2108
Hume (C)	0	2827
Hume (C)	1	17784
Hume (C)	2	23785
Hume (C)	3	8601
Hume (C)	4	5018
Indigo (S)		216
Indigo (S)	0	177
Indigo (S)	1	1584
Indigo (S)	2	2320
Indigo (S)	3	975
Indigo (S)	4	621
Kingston (C) (Vic.)		1695
Kingston (C) (Vic.)	0	3579
Kingston (C) (Vic.)	1	20224
Kingston (C) (Vic.)	2	21943
Kingston (C) (Vic.)	3	5858
Kingston (C) (Vic.)	4	2740
Knox (C)		1393
Knox (C)	0	2004
Knox (C)	1	15392
Knox (C)	2	22466
Knox (C)	3	7975
Knox (C)	4	4424
Latrobe (C) (Vic.)		1305
Latrobe (C) (Vic.)	0	2061
Latrobe (C) (Vic.)	1	9859
Latrobe (C) (Vic.)	2	9841
Latrobe (C) (Vic.)	3	3341
Latrobe (C) (Vic.)	4	1810
