LGA_NAME16	AustCitizen	persons
Gannawarra (S)	1	9605
Glen Eira (C)	0	28700
Glen Eira (C)	1	112175
Glenelg (S)	0	2110
Glenelg (S)	1	17447
Golden Plains (S)	0	1849
Golden Plains (S)	1	19839
Greater Bendigo (C)	0	11159
Greater Bendigo (C)	1	99318
Greater Dandenong (C)	0	44745
Greater Dandenong (C)	1	107305
Greater Geelong (C)	0	29725
Greater Geelong (C)	1	203704
Greater Shepparton (C)	0	10096
Greater Shepparton (C)	1	53741
Hepburn (S)	0	2061
Hepburn (S)	1	13269
Hindmarsh (S)	0	583
Hindmarsh (S)	1	5138
Hobsons Bay (C)	0	15892
Hobsons Bay (C)	1	72886
Horsham (RC)	0	1549
Horsham (RC)	1	18093
Hume (C)	0	37859
Hume (C)	1	159517
Indigo (S)	0	1517
Indigo (S)	1	14435
Kingston (C) (Vic.)	0	25146
Kingston (C) (Vic.)	1	126243
Knox (C)	0	22593
Knox (C)	1	131517
Latrobe (C) (Vic.)	0	9085
Latrobe (C) (Vic.)	1	64172
Loddon (S)	0	1039
Loddon (S)	1	6477
Macedon Ranges (S)	0	4906
Macedon Ranges (S)	1	41194
Manningham (C)	0	20952
Manningham (C)	1	95303
Mansfield (S)	0	996
Mansfield (S)	1	7588
Maribyrnong (C)	0	21354
Maribyrnong (C)	1	60934
Maroondah (C)	0	15774
Maroondah (C)	1	94602
Melbourne (C)	0	74568
Melbourne (C)	1	61391
Melton (C)	0	22884
Melton (C)	1	112559
Mildura (RC)	0	7272
Mildura (RC)	1	46606
Mitchell (S)	0	5235
Mitchell (S)	1	35683
Moira (S)	0	3499
Moira (S)	1	25613
Monash (C)	0	52203
Monash (C)	1	130415
Moonee Valley (C)	0	18791
Moonee Valley (C)	1	97880
Moorabool (S)	0	3501
Moorabool (S)	1	28317
Moreland (C)	0	34974
Moreland (C)	1	127584
Mornington Peninsula (S)	0	18277
Mornington Peninsula (S)	1	136722
Mount Alexander (S)	0	2838
Mount Alexander (S)	1	15923
Moyne (S)	0	1852
Moyne (S)	1	14643
Murrindindi (S)	0	1669
Murrindindi (S)	1	12063
Nillumbik (S)	0	5750
Nillumbik (S)	1	55523
Northern Grampians (S)	0	1169
Northern Grampians (S)	1	10270
Port Phillip (C)	0	27369
Port Phillip (C)	1	73494
Pyrenees (S)	0	1154
Pyrenees (S)	1	6084
Queenscliffe (B)	0	324
Queenscliffe (B)	1	2529
South Gippsland (S)	0	3291
South Gippsland (S)	1	25412
Southern Grampians (S)	0	1480
Southern Grampians (S)	1	14464
Stonnington (C)	0	24920
Stonnington (C)	1	78912
Strathbogie (S)	0	1171
Strathbogie (S)	1	9103
Surf Coast (S)	0	2980
Surf Coast (S)	1	26417
Swan Hill (RC)	0	3758
Swan Hill (RC)	1	16826
Towong (S)	0	611
Towong (S)	1	5374
Wangaratta (RC)	0	2750
Wangaratta (RC)	1	25560
Warrnambool (C)	0	3867
Warrnambool (C)	1	29788
Wellington (S)	0	5717
Wellington (S)	1	37266
West Wimmera (S)	0	294
West Wimmera (S)	1	3609
Whitehorse (C)	0	37374
Whitehorse (C)	1	124704
Whittlesea (C)	0	36355
Whittlesea (C)	1	161136
Wodonga (C)	0	3997
Wodonga (C)	1	35354
Wyndham (C)	0	56983
Wyndham (C)	1	160139
Yarra (C)	0	19712
Yarra (C)	1	66945
Yarra Ranges (S)	0	16523
Yarra Ranges (S)	1	133014
Yarriambiack (S)	0	647
Yarriambiack (S)	1	6027
Unincorporated Vic	0	329
Unincorporated Vic	1	547
No usual address (Vic.)	0	3210
No usual address (Vic.)	1	4355
Migratory - Offshore - Shipping (Vic.)	0	2
Migratory - Offshore - Shipping (Vic.)	1	27
Aurukun (S)	0	36
Aurukun (S)	1	1233
Balonne (S)	0	492
Balonne (S)	1	3885
Banana (S)	0	1823
Banana (S)	1	12496
Barcaldine (R)	0	273
Barcaldine (R)	1	2592
Barcoo (S)	0	26
Barcoo (S)	1	241
Blackall-Tambo (R)	0	149
Blackall-Tambo (R)	1	1754
Boulia (S)	0	88
Boulia (S)	1	338
Brisbane (C)	0	235385
Brisbane (C)	1	895770
Bulloo (S)	0	50
Bulloo (S)	1	303
Bundaberg (R)	0	11119
Bundaberg (R)	1	81778
Burdekin (S)	0	1764
Burdekin (S)	1	15310
Burke (S)	0	66
Burke (S)	1	262
Cairns (R)	0	29837
Cairns (R)	1	127064
Carpentaria (S)	0	223
Carpentaria (S)	1	1735
Cassowary Coast (R)	0	4360
Cassowary Coast (R)	1	24366
Central Highlands (R) (Qld)	0	5214
Central Highlands (R) (Qld)	1	22785
Charters Towers (R)	0	1466
Charters Towers (R)	1	10410
Cherbourg (S)	0	14
Cherbourg (S)	1	1255
Cloncurry (S)	0	607
Cloncurry (S)	1	2425
Cook (S)	0	861
Cook (S)	1	3365
Croydon (S)	0	90
Croydon (S)	1	204
Diamantina (S)	0	55
Diamantina (S)	1	236
Doomadgee (S)	0	41
Doomadgee (S)	1	1364
Douglas (S)	0	2712
Douglas (S)	1	9002
Etheridge (S)	0	100
Etheridge (S)	1	699
Flinders (S) (Qld)	0	173
Flinders (S) (Qld)	1	1363
Fraser Coast (R)	0	12782
Fraser Coast (R)	1	88722
Gladstone (R)	0	9534
Gladstone (R)	1	52106
Gold Coast (C)	0	121869
Gold Coast (C)	1	433852
Goondiwindi (R)	0	1397
Goondiwindi (R)	1	9233
Gympie (R)	0	5936
Gympie (R)	1	43623
Hinchinbrook (S)	0	1035
Hinchinbrook (S)	1	9850
Hope Vale (S)	0	28
Hope Vale (S)	1	890
Ipswich (C)	0	33321
Ipswich (C)	1	160412
Isaac (R)	0	4315
Isaac (R)	1	16625
Kowanyama (S)	0	12
Kowanyama (S)	1	932
Livingstone (S)	0	5024
Livingstone (S)	1	31248
Lockhart River (S)	0	33
Lockhart River (S)	1	679
Lockyer Valley (R)	0	5803
Lockyer Valley (R)	1	32806
Logan (C)	0	62168
Logan (C)	1	241218
Longreach (R)	0	453
Longreach (R)	1	3207
Mackay (R)	0	15528
Mackay (R)	1	99441
McKinlay (S)	0	102
McKinlay (S)	1	694
Mapoon (S)	0	2
Mapoon (S)	1	308
Maranoa (R)	0	1736
Maranoa (R)	1	10930
Mareeba (S)	0	4239
Mareeba (S)	1	17318
Moreton Bay (R)	0	62349
Moreton Bay (R)	1	362953
Mornington (S)	0	65
Mornington (S)	1	1078
Mount Isa (C)	0	4074
Mount Isa (C)	1	14597
Murweh (S)	0	473
Murweh (S)	1	3834
Napranum (S)	0	12
Napranum (S)	1	945
Noosa (S)	0	7280
Noosa (S)	1	44869
North Burnett (R)	0	1709
North Burnett (R)	1	8769
Northern Peninsula Area (R)	0	112
Northern Peninsula Area (R)	1	2684
Palm Island (S)	0	58
Palm Island (S)	1	2388
Paroo (S)	0	157
Paroo (S)	1	1483
Pormpuraaw (S)	0	22
Pormpuraaw (S)	1	727
Quilpie (S)	0	66
Quilpie (S)	1	747
Redland (C)	0	19545
Redland (C)	1	127465
Richmond (S)	0	90
Richmond (S)	1	701
Rockhampton (R)	0	9527
Rockhampton (R)	1	70199
Scenic Rim (R)	0	5305
Scenic Rim (R)	1	34767
Somerset (R)	0	3310
Somerset (R)	1	21287
South Burnett (R)	0	3410
South Burnett (R)	1	28776
Southern Downs (R)	0	3493
Southern Downs (R)	1	31617
Sunshine Coast (R)	0	41317
Sunshine Coast (R)	1	253050
Tablelands (R)	0	3038
Tablelands (R)	1	21789
Toowoomba (R)	0	19866
Toowoomba (R)	1	140913
Torres (S)	0	560
Torres (S)	1	3050
Torres Strait Island (R)	0	199
Torres Strait Island (R)	1	4315
Townsville (C)	0	26098
Townsville (C)	1	160659
Weipa (T)	0	561
Weipa (T)	1	3344
Western Downs (R)	0	4945
Western Downs (R)	1	28499
Whitsunday (R)	0	7177
Whitsunday (R)	1	26601
Winton (S)	0	141
Winton (S)	1	993
Woorabinda (S)	0	35
Woorabinda (S)	1	927
Wujal Wujal (S)	0	9
Wujal Wujal (S)	1	273
Yarrabah (S)	0	22
Yarrabah (S)	1	2537
No usual address (Qld)	0	4460
No usual address (Qld)	1	8050
Migratory - Offshore - Shipping (Qld)	0	34
Migratory - Offshore - Shipping (Qld)	1	116
Adelaide (C)	0	9568
Adelaide (C)	1	12495
Adelaide Hills (DC)	0	3521
Adelaide Hills (DC)	1	35342
Alexandrina (DC)	0	2659
Alexandrina (DC)	1	23214
Anangu Pitjantjatjara (AC)	0	185
Anangu Pitjantjatjara (AC)	1	2091
Barossa (DC)	0	2079
Barossa (DC)	1	21479
Barunga West (DC)	0	227
Barunga West (DC)	1	2317
Berri and Barmera (DC)	0	1079
Berri and Barmera (DC)	1	9466
Burnside (C)	0	7501
Burnside (C)	1	36410
Campbelltown (C) (SA)	0	8628
Campbelltown (C) (SA)	1	41536
Ceduna (DC)	0	464
Ceduna (DC)	1	2944
Charles Sturt (C)	0	16212
Charles Sturt (C)	1	95547
Clare and Gilbert Valleys (DC)	0	866
Clare and Gilbert Valleys (DC)	1	8157
Cleve (DC)	0	142
Cleve (DC)	1	1629
Coober Pedy (DC)	0	418
Coober Pedy (DC)	1	1344
Copper Coast (DC)	0	1457
Copper Coast (DC)	1	12682
Elliston (DC)	0	85
Elliston (DC)	1	960
Flinders Ranges (DC)	0	134
Flinders Ranges (DC)	1	1509
Franklin Harbour (DC)	0	177
Franklin Harbour (DC)	1	1121
Gawler (T)	0	2510
Gawler (T)	1	20524
Goyder (DC)	0	409
Goyder (DC)	1	3727
Grant (DC)	0	1124
Grant (DC)	1	7079
Holdfast Bay (C)	0	5186
Holdfast Bay (C)	1	30174
Kangaroo Island (DC)	0	676
Kangaroo Island (DC)	1	4026
Karoonda East Murray (DC)	0	90
Karoonda East Murray (DC)	1	1000
Kimba (DC)	0	89
Kimba (DC)	1	972
Kingston (DC) (SA)	0	205
Kingston (DC) (SA)	1	2144
Light (RegC)	0	1202
Light (RegC)	1	13534
Lower Eyre Peninsula (DC)	0	666
Lower Eyre Peninsula (DC)	1	4844
Loxton Waikerie (DC)	0	1041
Loxton Waikerie (DC)	1	10446
Mallala (DC)	0	926
Mallala (DC)	1	7875
Maralinga Tjarutja (AC)	0	11
Maralinga Tjarutja (AC)	1	48
Marion (C)	0	14033
Marion (C)	1	74585
Mid Murray (DC)	0	1117
Mid Murray (DC)	1	7525
Mitcham (C)	0	8150
Mitcham (C)	1	56655
Mount Barker (DC)	0	3151
Mount Barker (DC)	1	30246
Mount Gambier (C)	0	2577
Mount Gambier (C)	1	23699
Mount Remarkable (DC)	0	284
Mount Remarkable (DC)	1	2580
Murray Bridge (RC)	0	3311
Murray Bridge (RC)	1	17547
Naracoorte and Lucindale (DC)	0	1140
Naracoorte and Lucindale (DC)	1	7151
Northern Areas (DC)	0	391
Northern Areas (DC)	1	4133
Norwood Payneham St Peters (C)	0	6911
Norwood Payneham St Peters (C)	1	28451
Onkaparinga (C)	0	19800
Onkaparinga (C)	1	146966
Orroroo/Carrieton (DC)	0	88
Orroroo/Carrieton (DC)	1	807
Peterborough (DC)	0	192
Peterborough (DC)	1	1486
Playford (C)	0	12965
Playford (C)	1	76407
Port Adelaide Enfield (C)	0	23904
Port Adelaide Enfield (C)	1	97326
Port Augusta (C)	0	2040
Port Augusta (C)	1	11768
Port Lincoln (C)	0	1511
Port Lincoln (C)	1	12553
Port Pirie City and Dists (M)	0	1556
Port Pirie City and Dists (M)	1	15808
Prospect (C)	0	3383
Prospect (C)	1	17144
Renmark Paringa (DC)	0	1186
Renmark Paringa (DC)	1	8289
Robe (DC)	0	150
Robe (DC)	1	1228
Roxby Downs (M)	0	605
Roxby Downs (M)	1	3279
Salisbury (C)	0	22209
Salisbury (C)	1	115770
Southern Mallee (DC)	0	292
Southern Mallee (DC)	1	1735
Streaky Bay (DC)	0	194
Streaky Bay (DC)	1	1880
Tatiara (DC)	0	966
Tatiara (DC)	1	5654
Tea Tree Gully (C)	0	11107
Tea Tree Gully (C)	1	86627
The Coorong (DC)	0	519
The Coorong (DC)	1	4861
Tumby Bay (DC)	0	170
Tumby Bay (DC)	1	2440
Unley (C)	0	5937
Unley (C)	1	31784
Victor Harbor (C)	0	1486
Victor Harbor (C)	1	13179
Wakefield (DC)	0	705
Wakefield (DC)	1	6096
Walkerville (M)	0	1165
Walkerville (M)	1	6385
Wattle Range (DC)	0	976
Wattle Range (DC)	1	10701
West Torrens (C)	0	11374
West Torrens (C)	1	46527
Whyalla (C)	0	2932
Whyalla (C)	1	18896
Wudinna (DC)	0	123
Wudinna (DC)	1	1127
Yankalilla (DC)	0	610
Yankalilla (DC)	1	4549
Yorke Peninsula (DC)	0	824
Yorke Peninsula (DC)	1	10232
Unincorporated SA	0	679
Unincorporated SA	1	2845
No usual address (SA)	0	922
No usual address (SA)	1	1941
Migratory - Offshore - Shipping (SA)	0	-3
Migratory - Offshore - Shipping (SA)	1	6
Albany (C)	0	4919
Albany (C)	1	31664
Armadale (C)	0	16771
Armadale (C)	1	62831
Ashburton (S)	0	4170
Ashburton (S)	1	8856
Augusta-Margaret River (S)	0	2458
Augusta-Margaret River (S)	1	11800
Bassendean (T)	0	2540
Bassendean (T)	1	12552
Bayswater (C)	0	14734
Bayswater (C)	1	49943
Belmont (C)	0	12721
Belmont (C)	1	26961
Beverley (S)	0	308
Beverley (S)	1	1437
Boddington (S)	0	301
Boddington (S)	1	1543
Boyup Brook (S)	0	204
Boyup Brook (S)	1	1497
Bridgetown-Greenbushes (S)	0	635
Bridgetown-Greenbushes (S)	1	4025
Brookton (S)	0	154
Brookton (S)	1	821
Broome (S)	0	3224
Broome (S)	1	12998
Broomehill-Tambellup (S)	0	181
Broomehill-Tambellup (S)	1	963
Bruce Rock (S)	0	136
Bruce Rock (S)	1	794
Bunbury (C)	0	5665
Bunbury (C)	1	26254
Busselton (C)	0	5099
Busselton (C)	1	31587
Cambridge (T)	0	4293
Cambridge (T)	1	22490
Canning (C)	0	27635
Canning (C)	1	62549
Capel (S)	0	2449
Capel (S)	1	14674
Carnamah (S)	0	91
Carnamah (S)	1	457
Carnarvon (S)	0	1256
Carnarvon (S)	1	4272
Chapman Valley (S)	0	241
Chapman Valley (S)	1	1181
Chittering (S)	0	823
Chittering (S)	1	4649
Claremont (T)	0	1921
Claremont (T)	1	8133
Cockburn (C)	0	21267
Cockburn (C)	1	83206
Collie (S)	0	1130
Collie (S)	1	7668
Coolgardie (S)	0	914
Coolgardie (S)	1	2696
Coorow (S)	0	122
Coorow (S)	1	914
Corrigin (S)	0	171
Corrigin (S)	1	975
Cottesloe (T)	0	1253
Cottesloe (T)	1	6344
Cranbrook (S)	0	191
Cranbrook (S)	1	898
Cuballing (S)	0	163
Cuballing (S)	1	700
Cue (S)	0	63
Cue (S)	1	131
Cunderdin (S)	0	278
Cunderdin (S)	1	1179
Dalwallinu (S)	0	322
Dalwallinu (S)	1	1107
Dandaragan (S)	0	482
Dandaragan (S)	1	2731
Dardanup (S)	0	1972
Dardanup (S)	1	12061
Denmark (S)	0	850
Denmark (S)	1	4995
Derby-West Kimberley (S)	0	1157
Derby-West Kimberley (S)	1	6573
Donnybrook-Balingup (S)	0	888
Donnybrook-Balingup (S)	1	4982
Dowerin (S)	0	66
Dowerin (S)	1	624
Dumbleyung (S)	0	111
Dumbleyung (S)	1	560
Dundas (S)	0	240
Dundas (S)	1	532
East Fremantle (T)	0	1044
East Fremantle (T)	1	6332
East Pilbara (S)	0	3226
East Pilbara (S)	1	7365
Esperance (S)	0	2385
Esperance (S)	1	11851
Exmouth (S)	0	462
Exmouth (S)	1	2266
Fremantle (C)	0	5700
Fremantle (C)	1	23193
Gingin (S)	0	920
Gingin (S)	1	4297
Gnowangerup (S)	0	241
Gnowangerup (S)	1	974
Goomalling (S)	0	140
Goomalling (S)	1	893
Gosnells (C)	0	30654
Gosnells (C)	1	87419
Greater Geraldton (C)	0	5938
Greater Geraldton (C)	1	32696
Halls Creek (S)	0	527
Halls Creek (S)	1	2742
Harvey (S)	0	4241
Harvey (S)	1	22312
Irwin (S)	0	403
Irwin (S)	1	3166
Jerramungup (S)	0	227
Jerramungup (S)	1	882
Joondalup (C)	0	24868
Joondalup (C)	1	129577
Kalamunda (S)	0	9402
Kalamunda (S)	1	48047
Kalgoorlie/Boulder (C)	0	7746
Kalgoorlie/Boulder (C)	1	22313
Karratha (C)	0	5382
Karratha (C)	1	16091
Katanning (S)	0	988
Katanning (S)	1	3163
Kellerberrin (S)	0	172
Kellerberrin (S)	1	1052
Kent (S)	0	109
Kent (S)	1	450
Kojonup (S)	0	353
Kojonup (S)	1	1632
Kondinin (S)	0	131
Kondinin (S)	1	742
Koorda (S)	0	41
Koorda (S)	1	373
Kulin (S)	0	105
Kulin (S)	1	660
Kwinana (C)	0	10189
Kwinana (C)	1	28729
Lake Grace (S)	0	184
Lake Grace (S)	1	1084
Laverton (S)	0	342
Laverton (S)	1	811
Leonora (S)	0	481
Leonora (S)	1	930
Mandurah (C)	0	14593
Mandurah (C)	1	66220
Manjimup (S)	0	1256
Manjimup (S)	1	7994
Meekatharra (S)	0	295
Meekatharra (S)	1	772
Melville (C)	0	16889
Melville (C)	1	81194
Menzies (S)	0	112
Menzies (S)	1	378
Merredin (S)	0	559
Merredin (S)	1	2791
Mingenew (S)	0	55
Mingenew (S)	1	400
Moora (S)	0	361
Moora (S)	1	2067
Morawa (S)	0	98
Morawa (S)	1	652
Mosman Park (T)	0	1824
Mosman Park (T)	1	6933
Mount Magnet (S)	0	159
Mount Magnet (S)	1	323
Mount Marshall (S)	0	79
Mount Marshall (S)	1	448
Mukinbudin (S)	0	66
Mukinbudin (S)	1	489
Mundaring (S)	0	6496
Mundaring (S)	1	31661
Murchison (S)	0	47
Murchison (S)	1	106
Murray (S)	0	2396
Murray (S)	1	14302
Nannup (S)	0	191
Nannup (S)	1	1137
Narembeen (S)	0	125
Narembeen (S)	1	684
Narrogin (S)	0	848
Narrogin (S)	1	4314
Nedlands (C)	0	3090
Nedlands (C)	1	18031
Ngaanyatjarraku (S)	0	153
Ngaanyatjarraku (S)	1	1453
Northam (S)	0	2096
Northam (S)	1	9016
Northampton (S)	0	450
Northampton (S)	1	2869
Nungarin (S)	0	31
Nungarin (S)	1	226
Peppermint Grove (S)	0	257
Peppermint Grove (S)	1	1379
Perenjori (S)	0	121
Perenjori (S)	1	496
Perth (C)	0	11468
Perth (C)	1	10329
Pingelly (S)	0	177
Pingelly (S)	1	969
Plantagenet (S)	0	830
Plantagenet (S)	1	4249
Port Hedland (T)	0	4015
Port Hedland (T)	1	10454
Quairading (S)	0	176
Quairading (S)	1	843
Ravensthorpe (S)	0	363
Ravensthorpe (S)	1	1370
Rockingham (C)	0	26623
Rockingham (C)	1	98491
Sandstone (S)	0	18
Sandstone (S)	1	71
Serpentine-Jarrahdale (S)	0	4821
Serpentine-Jarrahdale (S)	1	22012
Shark Bay (S)	0	167
Shark Bay (S)	1	779
South Perth (C)	0	9857
