LGA_NAME16	AustCitizen	Sex	persons
Mid-Coast (A)	0	M	4230
Mid-Coast (A)	1	F	41697
Mid-Coast (A)	1	M	39861
Mid-Western Regional (A)	0	F	1531
Mid-Western Regional (A)	0	M	1527
Mid-Western Regional (A)	1	F	10444
Mid-Western Regional (A)	1	M	10572
Moree Plains (A)	0	F	943
Moree Plains (A)	0	M	981
Moree Plains (A)	1	F	5577
Moree Plains (A)	1	M	5655
Mosman (A)	0	F	3085
Mosman (A)	0	M	2734
Mosman (A)	1	F	12205
Mosman (A)	1	M	10455
Murray River (A)	0	F	610
Murray River (A)	0	M	599
Murray River (A)	1	F	5271
Murray River (A)	1	M	5196
Murrumbidgee (A)	0	F	263
Murrumbidgee (A)	0	M	291
Murrumbidgee (A)	1	F	1549
Murrumbidgee (A)	1	M	1735
Muswellbrook (A)	0	F	883
Muswellbrook (A)	0	M	1128
Muswellbrook (A)	1	F	6954
Muswellbrook (A)	1	M	7115
Nambucca (A)	0	F	989
Nambucca (A)	0	M	984
Nambucca (A)	1	F	8805
Nambucca (A)	1	M	8437
Narrabri (A)	0	F	860
Narrabri (A)	0	M	821
Narrabri (A)	1	F	5699
Narrabri (A)	1	M	5707
Narrandera (A)	0	F	379
Narrandera (A)	0	M	369
Narrandera (A)	1	F	2574
Narrandera (A)	1	M	2532
Narromine (A)	0	F	364
Narromine (A)	0	M	359
Narromine (A)	1	F	2862
Narromine (A)	1	M	2855
Newcastle (C)	0	F	8624
Newcastle (C)	0	M	8741
Newcastle (C)	1	F	70142
Newcastle (C)	1	M	67901
North Sydney (A)	0	F	9233
North Sydney (A)	0	M	8157
North Sydney (A)	1	F	26511
North Sydney (A)	1	M	23753
Northern Beaches (A)	0	F	21364
Northern Beaches (A)	0	M	19993
Northern Beaches (A)	1	F	108006
Northern Beaches (A)	1	M	103514
Oberon (A)	0	F	355
Oberon (A)	0	M	505
Oberon (A)	1	F	2188
Oberon (A)	1	M	2246
Orange (C)	0	F	2155
Orange (C)	0	M	2128
Orange (C)	1	F	18573
Orange (C)	1	M	17487
Parkes (A)	0	F	835
Parkes (A)	0	M	801
Parkes (A)	1	F	6581
Parkes (A)	1	M	6389
Parramatta (C)	0	F	33095
Parramatta (C)	0	M	34026
Parramatta (C)	1	F	79901
Parramatta (C)	1	M	79132
Penrith (C)	0	F	13533
Penrith (C)	0	M	13530
Penrith (C)	1	F	85710
Penrith (C)	1	M	83292
Port Macquarie-Hastings (A)	0	F	4023
Port Macquarie-Hastings (A)	0	M	3801
Port Macquarie-Hastings (A)	1	F	36823
Port Macquarie-Hastings (A)	1	M	33896
Port Stephens (A)	0	F	3747
Port Stephens (A)	0	M	3609
Port Stephens (A)	1	F	31427
Port Stephens (A)	1	M	30775
Queanbeyan-Palerang Regional (A)	0	F	3633
Queanbeyan-Palerang Regional (A)	0	M	3700
Queanbeyan-Palerang Regional (A)	1	F	24266
Queanbeyan-Palerang Regional (A)	1	M	24433
Randwick (C)	0	F	19773
Randwick (C)	0	M	21332
Randwick (C)	1	F	51709
Randwick (C)	1	M	47847
Richmond Valley (A)	0	F	1096
Richmond Valley (A)	0	M	1087
Richmond Valley (A)	1	F	10393
Richmond Valley (A)	1	M	10231
Rockdale (C)	0	F	14368
Rockdale (C)	0	M	14524
Rockdale (C)	1	F	40957
Rockdale (C)	1	M	39555
Ryde (C)	0	F	16072
Ryde (C)	0	M	14259
Ryde (C)	1	F	43719
Ryde (C)	1	M	42250
Shellharbour (C)	0	F	3559
Shellharbour (C)	0	M	3298
Shellharbour (C)	1	F	31456
Shellharbour (C)	1	M	30146
Shoalhaven (C)	0	F	5314
Shoalhaven (C)	0	M	5747
Shoalhaven (C)	1	F	45050
Shoalhaven (C)	1	M	43537
Singleton (A)	0	F	1268
Singleton (A)	0	M	1281
Singleton (A)	1	F	10020
Singleton (A)	1	M	10420
Snowy Monaro Regional (A)	0	F	1238
Snowy Monaro Regional (A)	0	M	1461
Snowy Monaro Regional (A)	1	F	8518
Snowy Monaro Regional (A)	1	M	9000
Snowy Valleys (A)	0	F	894
Snowy Valleys (A)	0	M	1037
Snowy Valleys (A)	1	F	6225
Snowy Valleys (A)	1	M	6241
Strathfield (A)	0	F	6511
Strathfield (A)	0	M	7162
Strathfield (A)	1	F	13363
Strathfield (A)	1	M	13272
Sutherland Shire (A)	0	F	11194
Sutherland Shire (A)	0	M	10334
Sutherland Shire (A)	1	F	100556
Sutherland Shire (A)	1	M	96379
Sydney (C)	0	F	45412
Sydney (C)	0	M	46439
Sydney (C)	1	F	55118
Sydney (C)	1	M	61413
Tamworth Regional (A)	0	F	3302
Tamworth Regional (A)	0	M	3371
Tamworth Regional (A)	1	F	27279
Tamworth Regional (A)	1	M	25706
Temora (A)	0	F	214
Temora (A)	0	M	210
Temora (A)	1	F	2859
Temora (A)	1	M	2826
Tenterfield (A)	0	F	438
Tenterfield (A)	0	M	407
Tenterfield (A)	1	F	2937
Tenterfield (A)	1	M	2846
The Hills Shire (A)	0	F	11633
The Hills Shire (A)	0	M	10476
The Hills Shire (A)	1	F	68158
The Hills Shire (A)	1	M	66975
Tweed (A)	0	F	5830
Tweed (A)	0	M	5409
Tweed (A)	1	F	41431
Tweed (A)	1	M	38700
Upper Hunter Shire (A)	0	F	931
Upper Hunter Shire (A)	0	M	917
Upper Hunter Shire (A)	1	F	6209
Upper Hunter Shire (A)	1	M	6053
Upper Lachlan Shire (A)	0	F	378
Upper Lachlan Shire (A)	0	M	402
Upper Lachlan Shire (A)	1	F	3407
Upper Lachlan Shire (A)	1	M	3515
Uralla (A)	0	F	257
Uralla (A)	0	M	241
Uralla (A)	1	F	2863
Uralla (A)	1	M	2685
Wagga Wagga (C)	0	F	3245
Wagga Wagga (C)	0	M	3463
Wagga Wagga (C)	1	F	28635
Wagga Wagga (C)	1	M	27041
Walcha (A)	0	F	206
Walcha (A)	0	M	194
Walcha (A)	1	F	1334
Walcha (A)	1	M	1357
Walgett (A)	0	F	446
Walgett (A)	0	M	483
Walgett (A)	1	F	2429
Walgett (A)	1	M	2752
Warren (A)	0	F	176
Warren (A)	0	M	161
Warren (A)	1	F	1190
Warren (A)	1	M	1205
Warrumbungle Shire (A)	0	F	596
Warrumbungle Shire (A)	0	M	589
Warrumbungle Shire (A)	1	F	4096
Warrumbungle Shire (A)	1	M	4100
Waverley (A)	0	F	9804
Waverley (A)	0	M	9242
Waverley (A)	1	F	24530
Waverley (A)	1	M	23243
Weddin (A)	0	F	204
Weddin (A)	0	M	198
Weddin (A)	1	F	1627
Weddin (A)	1	M	1636
Wentworth (A)	0	F	393
Wentworth (A)	0	M	437
Wentworth (A)	1	F	2895
Wentworth (A)	1	M	3075
Western Plains Regional (A)	0	F	3042
Western Plains Regional (A)	0	M	3494
Western Plains Regional (A)	1	F	22463
Western Plains Regional (A)	1	M	21072
Willoughby (C)	0	F	10460
Willoughby (C)	0	M	8871
Willoughby (C)	1	F	28164
Willoughby (C)	1	M	26815
Wingecarribee (A)	0	F	2842
Wingecarribee (A)	0	M	2697
Wingecarribee (A)	1	F	22146
Wingecarribee (A)	1	M	20197
Wollondilly (A)	0	F	2173
Wollondilly (A)	0	M	2153
Wollondilly (A)	1	F	22141
Wollondilly (A)	1	M	22054
Wollongong (C)	0	F	13305
Wollongong (C)	0	M	13752
Wollongong (C)	1	F	89782
Wollongong (C)	1	M	86790
Woollahra (A)	0	F	6179
Woollahra (A)	0	M	5307
Woollahra (A)	1	F	22830
Woollahra (A)	1	M	19925
Yass Valley (A)	0	F	714
Yass Valley (A)	0	M	724
Yass Valley (A)	1	F	7495
Yass Valley (A)	1	M	7207
Unincorporated NSW	0	F	75
Unincorporated NSW	0	M	85
Unincorporated NSW	1	F	417
Unincorporated NSW	1	M	484
No usual address (NSW)	0	F	1930
No usual address (NSW)	0	M	3152
No usual address (NSW)	1	F	3009
No usual address (NSW)	1	M	4199
Migratory - Offshore - Shipping (NSW)	0	F	55
Migratory - Offshore - Shipping (NSW)	0	M	34
Migratory - Offshore - Shipping (NSW)	1	F	184
Migratory - Offshore - Shipping (NSW)	1	M	137
Alpine (S)	0	F	795
Alpine (S)	0	M	747
Alpine (S)	1	F	5470
Alpine (S)	1	M	5327
Ararat (RC)	0	F	625
Ararat (RC)	0	M	1284
Ararat (RC)	1	F	4824
Ararat (RC)	1	M	4868
Ballarat (C)	0	F	5444
Ballarat (C)	0	M	5120
Ballarat (C)	1	F	47377
Ballarat (C)	1	M	43744
Banyule (C)	0	F	8673
Banyule (C)	0	M	7981
Banyule (C)	1	F	53971
Banyule (C)	1	M	51241
Bass Coast (S)	0	F	1993
Bass Coast (S)	0	M	1906
Bass Coast (S)	1	F	14919
Bass Coast (S)	1	M	13991
Baw Baw (S)	0	F	2636
Baw Baw (S)	0	M	2446
Baw Baw (S)	1	F	22302
Baw Baw (S)	1	M	21097
Bayside (C)	0	F	7422
Bayside (C)	0	M	6721
Bayside (C)	1	F	43440
Bayside (C)	1	M	39508
Benalla (RC)	0	F	769
Benalla (RC)	0	M	685
Benalla (RC)	1	F	6380
Benalla (RC)	1	M	6035
Boroondara (C)	0	F	16307
Boroondara (C)	0	M	14475
Boroondara (C)	1	F	70778
Boroondara (C)	1	M	65670
Brimbank (C)	0	F	21442
Brimbank (C)	0	M	22728
Brimbank (C)	1	F	75637
Brimbank (C)	1	M	74511
Buloke (S)	0	F	338
Buloke (S)	0	M	362
Buloke (S)	1	F	2728
Buloke (S)	1	M	2776
Campaspe (S)	0	F	1961
Campaspe (S)	0	M	1781
Campaspe (S)	1	F	16804
Campaspe (S)	1	M	16512
Cardinia (S)	0	F	6519
Cardinia (S)	0	M	6249
Cardinia (S)	1	F	41254
Cardinia (S)	1	M	40109
Casey (C)	0	F	29508
Casey (C)	0	M	28620
Casey (C)	1	F	120766
Casey (C)	1	M	120404
Central Goldfields (S)	0	F	635
Central Goldfields (S)	0	M	624
Central Goldfields (S)	1	F	5945
Central Goldfields (S)	1	M	5788
Colac-Otway (S)	0	F	1130
Colac-Otway (S)	0	M	1158
Colac-Otway (S)	1	F	9359
Colac-Otway (S)	1	M	9327
Corangamite (S)	0	F	852
Corangamite (S)	0	M	847
Corangamite (S)	1	F	7118
Corangamite (S)	1	M	7235
Darebin (C)	0	F	16284
Darebin (C)	0	M	16129
Darebin (C)	1	F	59532
Darebin (C)	1	M	54774
East Gippsland (S)	0	F	2723
East Gippsland (S)	0	M	2564
East Gippsland (S)	1	F	20209
East Gippsland (S)	1	M	19543
Frankston (C)	0	F	10352
Frankston (C)	0	M	9719
Frankston (C)	1	F	58375
Frankston (C)	1	M	55699
Gannawarra (S)	0	F	485
Gannawarra (S)	0	M	456
Gannawarra (S)	1	F	4808
Gannawarra (S)	1	M	4801
Glen Eira (C)	0	F	14816
Glen Eira (C)	0	M	13884
Glen Eira (C)	1	F	57919
Glen Eira (C)	1	M	54256
Glenelg (S)	0	F	1059
Glenelg (S)	0	M	1049
Glenelg (S)	1	F	8750
Glenelg (S)	1	M	8700
Golden Plains (S)	0	F	936
Golden Plains (S)	0	M	922
Golden Plains (S)	1	F	9739
Golden Plains (S)	1	M	10097
Greater Bendigo (C)	0	F	5678
Greater Bendigo (C)	0	M	5478
Greater Bendigo (C)	1	F	51213
Greater Bendigo (C)	1	M	48109
Greater Dandenong (C)	0	F	21091
Greater Dandenong (C)	0	M	23661
Greater Dandenong (C)	1	F	53415
Greater Dandenong (C)	1	M	53889
Greater Geelong (C)	0	F	14484
Greater Geelong (C)	0	M	15246
Greater Geelong (C)	1	F	105733
Greater Geelong (C)	1	M	97968
Greater Shepparton (C)	0	F	4880
Greater Shepparton (C)	0	M	5220
Greater Shepparton (C)	1	F	27245
Greater Shepparton (C)	1	M	26493
Hepburn (S)	0	F	1097
Hepburn (S)	0	M	962
Hepburn (S)	1	F	6847
Hepburn (S)	1	M	6420
Hindmarsh (S)	0	F	306
Hindmarsh (S)	0	M	274
Hindmarsh (S)	1	F	2566
Hindmarsh (S)	1	M	2574
Hobsons Bay (C)	0	F	7964
Hobsons Bay (C)	0	M	7929
Hobsons Bay (C)	1	F	37182
Hobsons Bay (C)	1	M	35702
Horsham (RC)	0	F	798
Horsham (RC)	0	M	753
Horsham (RC)	1	F	9269
Horsham (RC)	1	M	8823
Hume (C)	0	F	18579
Hume (C)	0	M	19281
Hume (C)	1	F	80523
Hume (C)	1	M	78992
Indigo (S)	0	F	684
Indigo (S)	0	M	841
Indigo (S)	1	F	7413
Indigo (S)	1	M	7018
Kingston (C) (Vic.)	0	F	12863
Kingston (C) (Vic.)	0	M	12285
Kingston (C) (Vic.)	1	F	64890
Kingston (C) (Vic.)	1	M	61352
Knox (C)	0	F	11930
Knox (C)	0	M	10666
Knox (C)	1	F	66863
Knox (C)	1	M	64651
Latrobe (C) (Vic.)	0	F	4649
Latrobe (C) (Vic.)	0	M	4435
Latrobe (C) (Vic.)	1	F	32820
Latrobe (C) (Vic.)	1	M	31353
Loddon (S)	0	F	499
Loddon (S)	0	M	540
Loddon (S)	1	F	3169
Loddon (S)	1	M	3308
Macedon Ranges (S)	0	F	2507
Macedon Ranges (S)	0	M	2399
Macedon Ranges (S)	1	F	20908
Macedon Ranges (S)	1	M	20286
Manningham (C)	0	F	11092
Manningham (C)	0	M	9864
Manningham (C)	1	F	48861
Manningham (C)	1	M	46442
Mansfield (S)	0	F	505
Mansfield (S)	0	M	495
Mansfield (S)	1	F	3809
Mansfield (S)	1	M	3777
Maribyrnong (C)	0	F	10151
Maribyrnong (C)	0	M	11200
Maribyrnong (C)	1	F	30732
Maribyrnong (C)	1	M	30205
Maroondah (C)	0	F	8182
Maroondah (C)	0	M	7590
Maroondah (C)	1	F	48797
Maroondah (C)	1	M	45808
Melbourne (C)	0	F	39147
Melbourne (C)	0	M	35417
Melbourne (C)	1	F	30676
Melbourne (C)	1	M	30720
Melton (C)	0	F	11617
Melton (C)	0	M	11262
Melton (C)	1	F	56932
Melton (C)	1	M	55628
Mildura (RC)	0	F	3588
Mildura (RC)	0	M	3683
Mildura (RC)	1	F	23810
Mildura (RC)	1	M	22798
Mitchell (S)	0	F	2680
Mitchell (S)	0	M	2560
Mitchell (S)	1	F	17670
Mitchell (S)	1	M	18010
Moira (S)	0	F	1770
Moira (S)	0	M	1731
Moira (S)	1	F	12828
Moira (S)	1	M	12783
Monash (C)	0	F	26785
Monash (C)	0	M	25411
Monash (C)	1	F	66105
Monash (C)	1	M	64311
Moonee Valley (C)	0	F	9751
Moonee Valley (C)	0	M	9043
Moonee Valley (C)	1	F	50529
Moonee Valley (C)	1	M	47351
Moorabool (S)	0	F	1793
Moorabool (S)	0	M	1704
Moorabool (S)	1	F	14280
Moorabool (S)	1	M	14040
Moreland (C)	0	F	17140
Moreland (C)	0	M	17835
Moreland (C)	1	F	65911
Moreland (C)	1	M	61672
Mornington Peninsula (S)	0	F	9476
Mornington Peninsula (S)	0	M	8797
Mornington Peninsula (S)	1	F	70649
Mornington Peninsula (S)	1	M	66078
Mount Alexander (S)	0	F	1140
Mount Alexander (S)	0	M	1702
Mount Alexander (S)	1	F	8235
Mount Alexander (S)	1	M	7687
Moyne (S)	0	F	929
Moyne (S)	0	M	936
Moyne (S)	1	F	7316
Moyne (S)	1	M	7319
Murrindindi (S)	0	F	823
Murrindindi (S)	0	M	843
Murrindindi (S)	1	F	5948
Murrindindi (S)	1	M	6114
Nillumbik (S)	0	F	2937
Nillumbik (S)	0	M	2815
Nillumbik (S)	1	F	28070
Nillumbik (S)	1	M	27451
Northern Grampians (S)	0	F	629
Northern Grampians (S)	0	M	537
Northern Grampians (S)	1	F	5156
Northern Grampians (S)	1	M	5115
Port Phillip (C)	0	F	13817
Port Phillip (C)	0	M	13561
Port Phillip (C)	1	F	37746
Port Phillip (C)	1	M	35746
Pyrenees (S)	0	F	394
Pyrenees (S)	0	M	758
Pyrenees (S)	1	F	3014
Pyrenees (S)	1	M	3073
Queenscliffe (B)	0	F	161
Queenscliffe (B)	0	M	160
Queenscliffe (B)	1	F	1366
Queenscliffe (B)	1	M	1165
South Gippsland (S)	0	F	1731
South Gippsland (S)	0	M	1557
South Gippsland (S)	1	F	12913
South Gippsland (S)	1	M	12502
Southern Grampians (S)	0	F	774
Southern Grampians (S)	0	M	698
Southern Grampians (S)	1	F	7404
Southern Grampians (S)	1	M	7061
Stonnington (C)	0	F	13222
Stonnington (C)	0	M	11702
Stonnington (C)	1	F	41240
Stonnington (C)	1	M	37669
Strathbogie (S)	0	F	602
Strathbogie (S)	0	M	567
Strathbogie (S)	1	F	4596
Strathbogie (S)	1	M	4507
Surf Coast (S)	0	F	1465
Surf Coast (S)	0	M	1515
Surf Coast (S)	1	F	13353
Surf Coast (S)	1	M	13067
Swan Hill (RC)	0	F	1782
Swan Hill (RC)	0	M	1980
Swan Hill (RC)	1	F	8435
Swan Hill (RC)	1	M	8388
Towong (S)	0	F	290
Towong (S)	0	M	320
Towong (S)	1	F	2617
Towong (S)	1	M	2757
Wangaratta (RC)	0	F	1414
Wangaratta (RC)	0	M	1341
Wangaratta (RC)	1	F	13251
Wangaratta (RC)	1	M	12310
Warrnambool (C)	0	F	1961
Warrnambool (C)	0	M	1915
Warrnambool (C)	1	F	15541
Warrnambool (C)	1	M	14242
Wellington (S)	0	F	2492
Wellington (S)	0	M	3225
Wellington (S)	1	F	18795
Wellington (S)	1	M	18470
West Wimmera (S)	0	F	158
West Wimmera (S)	0	M	143
West Wimmera (S)	1	F	1783
West Wimmera (S)	1	M	1823
Whitehorse (C)	0	F	19289
Whitehorse (C)	0	M	18087
Whitehorse (C)	1	F	64743
Whitehorse (C)	1	M	59964
Whittlesea (C)	0	F	18264
Whittlesea (C)	0	M	18090
Whittlesea (C)	1	F	81688
Whittlesea (C)	1	M	79451
Wodonga (C)	0	F	2034
Wodonga (C)	0	M	1958
Wodonga (C)	1	F	18016
Wodonga (C)	1	M	17338
Wyndham (C)	0	F	28853
Wyndham (C)	0	M	28132
Wyndham (C)	1	F	79466
Wyndham (C)	1	M	80674
Yarra (C)	0	F	10150
Yarra (C)	0	M	9571
Yarra (C)	1	F	34469
Yarra (C)	1	M	32468
Yarra Ranges (S)	0	F	8492
Yarra Ranges (S)	0	M	8032
Yarra Ranges (S)	1	F	67225
Yarra Ranges (S)	1	M	65787
Yarriambiack (S)	0	F	341
Yarriambiack (S)	0	M	307
Yarriambiack (S)	1	F	2964
Yarriambiack (S)	1	M	3059
