LGA_NAME16	persons
Whitsunday (R)	33778
Winton (S)	1134
Woorabinda (S)	962
Wujal Wujal (S)	282
Yarrabah (S)	2559
No usual address (Qld)	12510
Migratory - Offshore - Shipping (Qld)	150
Adelaide (C)	22063
Adelaide Hills (DC)	38863
Alexandrina (DC)	25873
Anangu Pitjantjatjara (AC)	2276
Barossa (DC)	23558
Barunga West (DC)	2544
Berri and Barmera (DC)	10545
Burnside (C)	43911
Campbelltown (C) (SA)	50164
Ceduna (DC)	3408
Charles Sturt (C)	111759
Clare and Gilbert Valleys (DC)	9023
Cleve (DC)	1771
Coober Pedy (DC)	1762
Copper Coast (DC)	14139
Elliston (DC)	1045
Flinders Ranges (DC)	1643
Franklin Harbour (DC)	1298
Gawler (T)	23034
Goyder (DC)	4136
Grant (DC)	8203
Holdfast Bay (C)	35360
Kangaroo Island (DC)	4702
Karoonda East Murray (DC)	1090
Kimba (DC)	1061
Kingston (DC) (SA)	2349
Light (RegC)	14736
Lower Eyre Peninsula (DC)	5510
Loxton Waikerie (DC)	11487
Mallala (DC)	8801
Maralinga Tjarutja (AC)	59
Marion (C)	88618
Mid Murray (DC)	8642
Mitcham (C)	64805
Mount Barker (DC)	33397
Mount Gambier (C)	26276
Mount Remarkable (DC)	2864
Murray Bridge (RC)	20858
Naracoorte and Lucindale (DC)	8291
Northern Areas (DC)	4524
Norwood Payneham St Peters (C)	35362
Onkaparinga (C)	166766
Orroroo/Carrieton (DC)	895
Peterborough (DC)	1678
Playford (C)	89372
Port Adelaide Enfield (C)	121230
Port Augusta (C)	13808
Port Lincoln (C)	14064
Port Pirie City and Dists (M)	17364
Prospect (C)	20527
Renmark Paringa (DC)	9475
Robe (DC)	1378
Roxby Downs (M)	3884
Salisbury (C)	137979
Southern Mallee (DC)	2027
Streaky Bay (DC)	2074
Tatiara (DC)	6620
Tea Tree Gully (C)	97734
The Coorong (DC)	5380
Tumby Bay (DC)	2610
Unley (C)	37721
Victor Harbor (C)	14665
Wakefield (DC)	6801
