LGA_NAME16	Age	NeedsAssistance	Sex	persons
Armidale Regional (A)	25-34	0	F	1588
Armidale Regional (A)	25-34	0	M	1515
Armidale Regional (A)	25-34	1	F	32
Armidale Regional (A)	25-34	1	M	35
Armidale Regional (A)	35-44		F	126
Armidale Regional (A)	35-44		M	114
Armidale Regional (A)	35-44	0	F	1465
Armidale Regional (A)	35-44	0	M	1306
Armidale Regional (A)	35-44	1	F	44
Armidale Regional (A)	35-44	1	M	42
Armidale Regional (A)	45-54		F	165
Armidale Regional (A)	45-54		M	143
Armidale Regional (A)	45-54	0	F	1660
Armidale Regional (A)	45-54	0	M	1550
Armidale Regional (A)	45-54	1	F	62
Armidale Regional (A)	45-54	1	M	75
Armidale Regional (A)	55-64		F	141
Armidale Regional (A)	55-64		M	153
Armidale Regional (A)	55-64	0	F	1596
Armidale Regional (A)	55-64	0	M	1480
Armidale Regional (A)	55-64	1	F	97
Armidale Regional (A)	55-64	1	M	80
Armidale Regional (A)	65-74		F	105
Armidale Regional (A)	65-74		M	108
Armidale Regional (A)	65-74	0	F	1188
Armidale Regional (A)	65-74	0	M	1132
Armidale Regional (A)	65-74	1	F	103
Armidale Regional (A)	65-74	1	M	111
Armidale Regional (A)	75-84		F	82
Armidale Regional (A)	75-84		M	63
Armidale Regional (A)	75-84	0	F	634
Armidale Regional (A)	75-84	0	M	525
Armidale Regional (A)	75-84	1	F	179
Armidale Regional (A)	75-84	1	M	118
Armidale Regional (A)	85+		F	37
Armidale Regional (A)	85+		M	16
Armidale Regional (A)	85+	0	F	174
Armidale Regional (A)	85+	0	M	121
Armidale Regional (A)	85+	1	F	216
Armidale Regional (A)	85+	1	M	78
Ballina (A)	0-4		F	74
Ballina (A)	0-4		M	53
Ballina (A)	0-4	0	F	912
Ballina (A)	0-4	0	M	996
Ballina (A)	0-4	1	F	16
Ballina (A)	0-4	1	M	14
Ballina (A)	5-14		F	151
Ballina (A)	5-14		M	142
Ballina (A)	5-14	0	F	2091
Ballina (A)	5-14	0	M	2280
Ballina (A)	5-14	1	F	50
Ballina (A)	5-14	1	M	135
Ballina (A)	15-19		F	64
Ballina (A)	15-19		M	78
Ballina (A)	15-19	0	F	1044
Ballina (A)	15-19	0	M	1121
Ballina (A)	15-19	1	F	25
Ballina (A)	15-19	1	M	50
Ballina (A)	20-24		F	55
Ballina (A)	20-24		M	57
Ballina (A)	20-24	0	F	706
Ballina (A)	20-24	0	M	682
Ballina (A)	20-24	1	F	27
Ballina (A)	20-24	1	M	40
Ballina (A)	25-34		F	120
Ballina (A)	25-34		M	134
Ballina (A)	25-34	0	F	1686
Ballina (A)	25-34	0	M	1546
Ballina (A)	25-34	1	F	43
Ballina (A)	25-34	1	M	54
Ballina (A)	35-44		F	176
Ballina (A)	35-44		M	169
Ballina (A)	35-44	0	F	2223
Ballina (A)	35-44	0	M	1985
Ballina (A)	35-44	1	F	54
Ballina (A)	35-44	1	M	54
Ballina (A)	45-54		F	213
Ballina (A)	45-54		M	216
Ballina (A)	45-54	0	F	2734
Ballina (A)	45-54	0	M	2405
Ballina (A)	45-54	1	F	115
Ballina (A)	45-54	1	M	82
Ballina (A)	55-64		F	263
Ballina (A)	55-64		M	257
Ballina (A)	55-64	0	F	2977
Ballina (A)	55-64	0	M	2652
Ballina (A)	55-64	1	F	158
Ballina (A)	55-64	1	M	127
Ballina (A)	65-74		F	212
Ballina (A)	65-74		M	206
Ballina (A)	65-74	0	F	2441
Ballina (A)	65-74	0	M	2299
Ballina (A)	65-74	1	F	148
Ballina (A)	65-74	1	M	194
Ballina (A)	75-84		F	185
Ballina (A)	75-84		M	136
Ballina (A)	75-84	0	F	1338
Ballina (A)	75-84	0	M	1101
Ballina (A)	75-84	1	F	244
Ballina (A)	75-84	1	M	197
Ballina (A)	85+		F	196
Ballina (A)	85+		M	101
Ballina (A)	85+	0	F	428
Ballina (A)	85+	0	M	340
Ballina (A)	85+	1	F	481
Ballina (A)	85+	1	M	214
Balranald (A)	0-4		F	5
Balranald (A)	0-4		M	3
Balranald (A)	0-4	0	F	60
Balranald (A)	0-4	0	M	73
Balranald (A)	5-14		F	22
Balranald (A)	5-14		M	10
Balranald (A)	5-14	0	F	141
Balranald (A)	5-14	0	M	154
Balranald (A)	5-14	1	F	3
Balranald (A)	5-14	1	M	3
Balranald (A)	15-19		F	8
Balranald (A)	15-19		M	7
Balranald (A)	15-19	0	F	50
Balranald (A)	15-19	0	M	63
Balranald (A)	15-19	1	M	4
Balranald (A)	20-24		F	9
Balranald (A)	20-24		M	6
Balranald (A)	20-24	0	F	47
Balranald (A)	20-24	0	M	70
Balranald (A)	25-34		F	15
Balranald (A)	25-34		M	14
Balranald (A)	25-34	0	F	116
Balranald (A)	25-34	0	M	87
Balranald (A)	25-34	1	F	3
Balranald (A)	35-44		F	13
Balranald (A)	35-44		M	17
Balranald (A)	35-44	0	F	112
Balranald (A)	35-44	0	M	121
Balranald (A)	35-44	1	F	5
Balranald (A)	35-44	1	M	7
Balranald (A)	45-54		F	8
Balranald (A)	45-54		M	19
Balranald (A)	45-54	0	F	125
Balranald (A)	45-54	0	M	131
Balranald (A)	45-54	1	F	4
Balranald (A)	45-54	1	M	4
Balranald (A)	55-64		F	25
Balranald (A)	55-64		M	21
Balranald (A)	55-64	0	F	155
Balranald (A)	55-64	0	M	167
Balranald (A)	55-64	1	F	5
Balranald (A)	55-64	1	M	9
Balranald (A)	65-74		F	4
Balranald (A)	65-74		M	15
Balranald (A)	65-74	0	F	73
Balranald (A)	65-74	0	M	91
Balranald (A)	65-74	1	F	3
Balranald (A)	65-74	1	M	7
Balranald (A)	75-84		F	8
Balranald (A)	75-84		M	8
Balranald (A)	75-84	0	F	49
Balranald (A)	75-84	0	M	34
Balranald (A)	75-84	1	F	17
Balranald (A)	75-84	1	M	7
Balranald (A)	85+		F	4
Balranald (A)	85+	0	F	10
Balranald (A)	85+	0	M	10
Balranald (A)	85+	1	F	6
Balranald (A)	85+	1	M	6
Bathurst Regional (A)	0-4		F	72
Bathurst Regional (A)	0-4		M	93
Bathurst Regional (A)	0-4	0	F	1136
Bathurst Regional (A)	0-4	0	M	1220
Bathurst Regional (A)	0-4	1	F	9
Bathurst Regional (A)	0-4	1	M	22
Bathurst Regional (A)	5-14		F	147
Bathurst Regional (A)	5-14		M	132
Bathurst Regional (A)	5-14	0	F	2487
Bathurst Regional (A)	5-14	0	M	2611
Bathurst Regional (A)	5-14	1	F	59
Bathurst Regional (A)	5-14	1	M	138
Bathurst Regional (A)	15-19		F	134
Bathurst Regional (A)	15-19		M	131
Bathurst Regional (A)	15-19	0	F	1287
Bathurst Regional (A)	15-19	0	M	1312
Bathurst Regional (A)	15-19	1	F	38
Bathurst Regional (A)	15-19	1	M	74
Bathurst Regional (A)	20-24		F	155
Bathurst Regional (A)	20-24		M	312
Bathurst Regional (A)	20-24	0	F	1348
Bathurst Regional (A)	20-24	0	M	1261
Bathurst Regional (A)	20-24	1	F	38
Bathurst Regional (A)	20-24	1	M	31
Bathurst Regional (A)	25-34		F	156
Bathurst Regional (A)	25-34		M	499
Bathurst Regional (A)	25-34	0	F	2207
Bathurst Regional (A)	25-34	0	M	2210
Bathurst Regional (A)	25-34	1	F	42
Bathurst Regional (A)	25-34	1	M	64
Bathurst Regional (A)	35-44		F	157
Bathurst Regional (A)	35-44		M	368
Bathurst Regional (A)	35-44	0	F	2210
Bathurst Regional (A)	35-44	0	M	2002
Bathurst Regional (A)	35-44	1	F	68
Bathurst Regional (A)	35-44	1	M	76
Bathurst Regional (A)	45-54		F	195
Bathurst Regional (A)	45-54		M	294
Bathurst Regional (A)	45-54	0	F	2377
Bathurst Regional (A)	45-54	0	M	2185
Bathurst Regional (A)	45-54	1	F	102
Bathurst Regional (A)	45-54	1	M	97
Bathurst Regional (A)	55-64		F	201
Bathurst Regional (A)	55-64		M	221
Bathurst Regional (A)	55-64	0	F	2204
Bathurst Regional (A)	55-64	0	M	2105
Bathurst Regional (A)	55-64	1	F	116
Bathurst Regional (A)	55-64	1	M	150
Bathurst Regional (A)	65-74		F	167
Bathurst Regional (A)	65-74		M	191
Bathurst Regional (A)	65-74	0	F	1644
Bathurst Regional (A)	65-74	0	M	1583
Bathurst Regional (A)	65-74	1	F	136
Bathurst Regional (A)	65-74	1	M	142
Bathurst Regional (A)	75-84		F	141
Bathurst Regional (A)	75-84		M	88
Bathurst Regional (A)	75-84	0	F	785
Bathurst Regional (A)	75-84	0	M	680
Bathurst Regional (A)	75-84	1	F	205
Bathurst Regional (A)	75-84	1	M	112
Bathurst Regional (A)	85+		F	115
Bathurst Regional (A)	85+		M	43
Bathurst Regional (A)	85+	0	F	238
Bathurst Regional (A)	85+	0	M	163
Bathurst Regional (A)	85+	1	F	244
Bathurst Regional (A)	85+	1	M	90
Bega Valley (A)	0-4		F	57
Bega Valley (A)	0-4		M	52
Bega Valley (A)	0-4	0	F	649
Bega Valley (A)	0-4	0	M	684
Bega Valley (A)	0-4	1	F	4
Bega Valley (A)	0-4	1	M	19
Bega Valley (A)	5-14		F	135
Bega Valley (A)	5-14		M	145
Bega Valley (A)	5-14	0	F	1668
Bega Valley (A)	5-14	0	M	1741
Bega Valley (A)	5-14	1	F	38
Bega Valley (A)	5-14	1	M	63
Bega Valley (A)	15-19		F	57
Bega Valley (A)	15-19		M	60
Bega Valley (A)	15-19	0	F	803
Bega Valley (A)	15-19	0	M	816
Bega Valley (A)	15-19	1	F	20
Bega Valley (A)	15-19	1	M	35
Bega Valley (A)	20-24		F	47
Bega Valley (A)	20-24		M	54
Bega Valley (A)	20-24	0	F	514
Bega Valley (A)	20-24	0	M	532
Bega Valley (A)	20-24	1	F	11
Bega Valley (A)	20-24	1	M	27
Bega Valley (A)	25-34		F	113
Bega Valley (A)	25-34		M	105
Bega Valley (A)	25-34	0	F	1143
Bega Valley (A)	25-34	0	M	1044
Bega Valley (A)	25-34	1	F	34
Bega Valley (A)	25-34	1	M	41
Bega Valley (A)	35-44		F	134
Bega Valley (A)	35-44		M	118
Bega Valley (A)	35-44	0	F	1471
Bega Valley (A)	35-44	0	M	1289
Bega Valley (A)	35-44	1	F	52
Bega Valley (A)	35-44	1	M	46
Bega Valley (A)	45-54		F	211
Bega Valley (A)	45-54		M	205
Bega Valley (A)	45-54	0	F	2135
Bega Valley (A)	45-54	0	M	1900
Bega Valley (A)	45-54	1	F	104
Bega Valley (A)	45-54	1	M	96
Bega Valley (A)	55-64		F	246
Bega Valley (A)	55-64		M	240
Bega Valley (A)	55-64	0	F	2760
Bega Valley (A)	55-64	0	M	2569
Bega Valley (A)	55-64	1	F	157
Bega Valley (A)	55-64	1	M	184
Bega Valley (A)	65-74		F	189
Bega Valley (A)	65-74		M	192
Bega Valley (A)	65-74	0	F	2175
Bega Valley (A)	65-74	0	M	2196
Bega Valley (A)	65-74	1	F	139
Bega Valley (A)	65-74	1	M	178
Bega Valley (A)	75-84		F	118
Bega Valley (A)	75-84		M	117
Bega Valley (A)	75-84	0	F	978
Bega Valley (A)	75-84	0	M	963
Bega Valley (A)	75-84	1	F	201
Bega Valley (A)	75-84	1	M	164
Bega Valley (A)	85+		F	78
Bega Valley (A)	85+		M	33
Bega Valley (A)	85+	0	F	262
Bega Valley (A)	85+	0	M	230
Bega Valley (A)	85+	1	F	280
Bega Valley (A)	85+	1	M	116
Bellingen (A)	0-4		F	20
Bellingen (A)	0-4		M	19
Bellingen (A)	0-4	0	F	281
Bellingen (A)	0-4	0	M	287
Bellingen (A)	5-14		F	67
Bellingen (A)	5-14		M	65
Bellingen (A)	5-14	0	F	722
Bellingen (A)	5-14	0	M	691
Bellingen (A)	5-14	1	F	15
Bellingen (A)	5-14	1	M	32
Bellingen (A)	15-19		F	20
Bellingen (A)	15-19		M	28
Bellingen (A)	15-19	0	F	310
Bellingen (A)	15-19	0	M	349
Bellingen (A)	15-19	1	F	3
Bellingen (A)	15-19	1	M	6
Bellingen (A)	20-24		F	15
Bellingen (A)	20-24		M	13
Bellingen (A)	20-24	0	F	176
Bellingen (A)	20-24	0	M	175
Bellingen (A)	20-24	1	F	3
Bellingen (A)	20-24	1	M	10
Bellingen (A)	25-34		F	37
Bellingen (A)	25-34		M	47
Bellingen (A)	25-34	0	F	436
Bellingen (A)	25-34	0	M	404
Bellingen (A)	25-34	1	F	9
Bellingen (A)	25-34	1	M	11
Bellingen (A)	35-44		F	55
Bellingen (A)	35-44		M	51
Bellingen (A)	35-44	0	F	628
Bellingen (A)	35-44	0	M	561
Bellingen (A)	35-44	1	F	16
Bellingen (A)	35-44	1	M	12
Bellingen (A)	45-54		F	77
Bellingen (A)	45-54		M	74
Bellingen (A)	45-54	0	F	881
Bellingen (A)	45-54	0	M	721
Bellingen (A)	45-54	1	F	46
Bellingen (A)	45-54	1	M	29
Bellingen (A)	55-64		F	71
Bellingen (A)	55-64		M	74
Bellingen (A)	55-64	0	F	1027
Bellingen (A)	55-64	0	M	945
Bellingen (A)	55-64	1	F	62
Bellingen (A)	55-64	1	M	62
Bellingen (A)	65-74		F	69
Bellingen (A)	65-74		M	54
Bellingen (A)	65-74	0	F	734
Bellingen (A)	65-74	0	M	745
Bellingen (A)	65-74	1	F	58
Bellingen (A)	65-74	1	M	68
Bellingen (A)	75-84		F	44
Bellingen (A)	75-84		M	37
Bellingen (A)	75-84	0	F	360
Bellingen (A)	75-84	0	M	346
Bellingen (A)	75-84	1	F	75
Bellingen (A)	75-84	1	M	61
Bellingen (A)	85+		F	15
Bellingen (A)	85+		M	3
Bellingen (A)	85+	0	F	91
Bellingen (A)	85+	0	M	78
Bellingen (A)	85+	1	F	125
Bellingen (A)	85+	1	M	52
Berrigan (A)	0-4		F	24
Berrigan (A)	0-4		M	26
Berrigan (A)	0-4	0	F	196
Berrigan (A)	0-4	0	M	213
Berrigan (A)	0-4	1	M	8
Berrigan (A)	5-14		F	43
Berrigan (A)	5-14		M	51
Berrigan (A)	5-14	0	F	426
Berrigan (A)	5-14	0	M	417
Berrigan (A)	5-14	1	F	11
Berrigan (A)	5-14	1	M	25
Berrigan (A)	15-19		F	25
Berrigan (A)	15-19		M	25
Berrigan (A)	15-19	0	F	172
Berrigan (A)	15-19	0	M	189
Berrigan (A)	15-19	1	F	3
Berrigan (A)	15-19	1	M	10
Berrigan (A)	20-24		F	15
Berrigan (A)	20-24		M	19
Berrigan (A)	20-24	0	F	128
Berrigan (A)	20-24	0	M	156
Berrigan (A)	20-24	1	F	3
Berrigan (A)	20-24	1	M	4
Berrigan (A)	25-34		F	41
Berrigan (A)	25-34		M	44
Berrigan (A)	25-34	0	F	329
Berrigan (A)	25-34	0	M	322
Berrigan (A)	25-34	1	F	8
Berrigan (A)	25-34	1	M	6
Berrigan (A)	35-44		F	50
Berrigan (A)	35-44		M	40
Berrigan (A)	35-44	0	F	386
Berrigan (A)	35-44	0	M	347
Berrigan (A)	35-44	1	F	12
Berrigan (A)	35-44	1	M	13
Berrigan (A)	45-54		F	54
Berrigan (A)	45-54		M	41
Berrigan (A)	45-54	0	F	419
Berrigan (A)	45-54	0	M	390
Berrigan (A)	45-54	1	F	22
Berrigan (A)	45-54	1	M	17
Berrigan (A)	55-64		F	61
Berrigan (A)	55-64		M	63
Berrigan (A)	55-64	0	F	575
Berrigan (A)	55-64	0	M	529
Berrigan (A)	55-64	1	F	25
Berrigan (A)	55-64	1	M	46
Berrigan (A)	65-74		F	67
Berrigan (A)	65-74		M	65
Berrigan (A)	65-74	0	F	551
Berrigan (A)	65-74	0	M	587
Berrigan (A)	65-74	1	F	46
Berrigan (A)	65-74	1	M	59
Berrigan (A)	75-84		F	28
Berrigan (A)	75-84		M	36
Berrigan (A)	75-84	0	F	286
Berrigan (A)	75-84	0	M	286
Berrigan (A)	75-84	1	F	51
Berrigan (A)	75-84	1	M	53
Berrigan (A)	85+		F	23
Berrigan (A)	85+		M	12
Berrigan (A)	85+	0	F	75
Berrigan (A)	85+	0	M	75
Berrigan (A)	85+	1	F	85
Berrigan (A)	85+	1	M	46
Blacktown (C)	0-4		F	787
Blacktown (C)	0-4		M	852
Blacktown (C)	0-4	0	F	12323
Blacktown (C)	0-4	0	M	12590
Blacktown (C)	0-4	1	F	137
Blacktown (C)	0-4	1	M	237
Blacktown (C)	5-14		F	1299
Blacktown (C)	5-14		M	1310
Blacktown (C)	5-14	0	F	22209
Blacktown (C)	5-14	0	M	23229
Blacktown (C)	5-14	1	F	502
Blacktown (C)	5-14	1	M	1183
Blacktown (C)	15-19		F	572
Blacktown (C)	15-19		M	653
Blacktown (C)	15-19	0	F	10430
Blacktown (C)	15-19	0	M	11015
Blacktown (C)	15-19	1	F	227
Blacktown (C)	15-19	1	M	400
Blacktown (C)	20-24		F	558
Blacktown (C)	20-24		M	761
Blacktown (C)	20-24	0	F	10313
Blacktown (C)	20-24	0	M	10722
Blacktown (C)	20-24	1	F	182
Blacktown (C)	20-24	1	M	290
Blacktown (C)	25-34		F	1453
Blacktown (C)	25-34		M	1747
Blacktown (C)	25-34	0	F	25132
Blacktown (C)	25-34	0	M	23106
Blacktown (C)	25-34	1	F	373
Blacktown (C)	25-34	1	M	428
Blacktown (C)	35-44		F	1352
Blacktown (C)	35-44		M	1656
Blacktown (C)	35-44	0	F	23689
Blacktown (C)	35-44	0	M	23672
Blacktown (C)	35-44	1	F	557
Blacktown (C)	35-44	1	M	487
Blacktown (C)	45-54		F	1128
Blacktown (C)	45-54		M	1355
Blacktown (C)	45-54	0	F	19071
Blacktown (C)	45-54	0	M	18706
Blacktown (C)	45-54	1	F	1019
Blacktown (C)	45-54	1	M	794
Blacktown (C)	55-64		F	1009
Blacktown (C)	55-64		M	993
Blacktown (C)	55-64	0	F	14864
Blacktown (C)	55-64	0	M	14312
Blacktown (C)	55-64	1	F	1422
Blacktown (C)	55-64	1	M	1110
Blacktown (C)	65-74		F	767
Blacktown (C)	65-74		M	663
Blacktown (C)	65-74	0	F	8765
Blacktown (C)	65-74	0	M	8338
Blacktown (C)	65-74	1	F	1619
Blacktown (C)	65-74	1	M	1385
Blacktown (C)	75-84		F	411
Blacktown (C)	75-84		M	298
Blacktown (C)	75-84	0	F	3198
Blacktown (C)	75-84	0	M	2957
Blacktown (C)	75-84	1	F	1736
Blacktown (C)	75-84	1	M	1076
Blacktown (C)	85+		F	175
Blacktown (C)	85+		M	126
Blacktown (C)	85+	0	F	635
Blacktown (C)	85+	0	M	493
Blacktown (C)	85+	1	F	1494
Blacktown (C)	85+	1	M	632
Bland (A)	0-4		F	17
Bland (A)	0-4		M	17
Bland (A)	0-4	0	F	164
Bland (A)	0-4	0	M	154
Bland (A)	0-4	1	F	3
Bland (A)	5-14		F	44
Bland (A)	5-14		M	43
Bland (A)	5-14	0	F	393
Bland (A)	5-14	0	M	382
Bland (A)	5-14	1	F	3
Bland (A)	5-14	1	M	10
Bland (A)	15-19		F	20
Bland (A)	15-19		M	19
Bland (A)	15-19	0	F	150
Bland (A)	15-19	0	M	146
Bland (A)	15-19	1	F	4
Bland (A)	15-19	1	M	3
Bland (A)	20-24		F	22
Bland (A)	20-24		M	11
Bland (A)	20-24	0	F	103
Bland (A)	20-24	0	M	132
Bland (A)	20-24	1	F	3
Bland (A)	20-24	1	M	4
Bland (A)	25-34		F	40
Bland (A)	25-34		M	45
Bland (A)	25-34	0	F	251
Bland (A)	25-34	0	M	248
Bland (A)	25-34	1	F	3
Bland (A)	25-34	1	M	4
Bland (A)	35-44		F	39
Bland (A)	35-44		M	38
Bland (A)	35-44	0	F	293
Bland (A)	35-44	0	M	286
Bland (A)	35-44	1	F	6
Bland (A)	35-44	1	M	10
Bland (A)	45-54		F	45
Bland (A)	45-54		M	36
Bland (A)	45-54	0	F	287
Bland (A)	45-54	0	M	307
Bland (A)	45-54	1	F	17
Bland (A)	45-54	1	M	15
Bland (A)	55-64		F	49
Bland (A)	55-64		M	60
Bland (A)	55-64	0	F	341
Bland (A)	55-64	0	M	366
Bland (A)	55-64	1	F	21
Bland (A)	55-64	1	M	31
Bland (A)	65-74		F	44
Bland (A)	65-74		M	43
Bland (A)	65-74	0	F	243
Bland (A)	65-74	0	M	263
Bland (A)	65-74	1	F	18
Bland (A)	65-74	1	M	27
Bland (A)	75-84		F	42
Bland (A)	75-84		M	33
Bland (A)	75-84	0	F	178
Bland (A)	75-84	0	M	143
Bland (A)	75-84	1	F	24
Bland (A)	75-84	1	M	27
Bland (A)	85+		F	43
Bland (A)	85+		M	21
Bland (A)	85+	0	F	59
Bland (A)	85+	0	M	42
Bland (A)	85+	1	F	33
Bland (A)	85+	1	M	12
Blayney (A)	0-4		F	18
Blayney (A)	0-4		M	13
Blayney (A)	0-4	0	F	198
Blayney (A)	0-4	0	M	222
Blayney (A)	0-4	1	M	3
Blayney (A)	5-14		F	34
Blayney (A)	5-14		M	27
Blayney (A)	5-14	0	F	469
Blayney (A)	5-14	0	M	492
Blayney (A)	5-14	1	F	13
Blayney (A)	5-14	1	M	23
Blayney (A)	15-19		F	11
Blayney (A)	15-19		M	20
Blayney (A)	15-19	0	F	205
Blayney (A)	15-19	0	M	202
Blayney (A)	15-19	1	F	9
Blayney (A)	15-19	1	M	13
Blayney (A)	20-24		F	16
Blayney (A)	20-24		M	15
Blayney (A)	20-24	0	F	145
Blayney (A)	20-24	0	M	138
Blayney (A)	20-24	1	F	3
Blayney (A)	20-24	1	M	4
Blayney (A)	25-34		F	19
Blayney (A)	25-34		M	32
Blayney (A)	25-34	0	F	341
Blayney (A)	25-34	0	M	298
Blayney (A)	25-34	1	F	14
Blayney (A)	25-34	1	M	4
Blayney (A)	35-44		F	46
Blayney (A)	35-44		M	31
Blayney (A)	35-44	0	F	412
Blayney (A)	35-44	0	M	358
Blayney (A)	35-44	1	F	9
Blayney (A)	35-44	1	M	7
Blayney (A)	45-54		F	37
Blayney (A)	45-54		M	53
Blayney (A)	45-54	0	F	458
Blayney (A)	45-54	0	M	459
Blayney (A)	45-54	1	F	12
Blayney (A)	45-54	1	M	13
Blayney (A)	55-64		F	35
Blayney (A)	55-64		M	46
Blayney (A)	55-64	0	F	431
Blayney (A)	55-64	0	M	447
Blayney (A)	55-64	1	F	21
Blayney (A)	55-64	1	M	32
Blayney (A)	65-74		F	26
Blayney (A)	65-74		M	34
Blayney (A)	65-74	0	F	318
Blayney (A)	65-74	0	M	337
Blayney (A)	65-74	1	F	28
Blayney (A)	65-74	1	M	28
Blayney (A)	75-84		F	16
Blayney (A)	75-84		M	23
Blayney (A)	75-84	0	F	156
Blayney (A)	75-84	0	M	152
Blayney (A)	75-84	1	F	48
Blayney (A)	75-84	1	M	35
Blayney (A)	85+		F	4
Blayney (A)	85+		M	11
Blayney (A)	85+	0	F	49
Blayney (A)	85+	0	M	41
Blayney (A)	85+	1	F	42
Blayney (A)	85+	1	M	19
Blue Mountains (C)	0-4		F	96
Blue Mountains (C)	0-4		M	97
Blue Mountains (C)	0-4	0	F	1952
Blue Mountains (C)	0-4	0	M	2017
Blue Mountains (C)	0-4	1	F	19
Blue Mountains (C)	0-4	1	M	45
Blue Mountains (C)	5-14		F	188
Blue Mountains (C)	5-14		M	198
Blue Mountains (C)	5-14	0	F	4457
Blue Mountains (C)	5-14	0	M	4530
Blue Mountains (C)	5-14	1	F	135
Blue Mountains (C)	5-14	1	M	325
Blue Mountains (C)	15-19		F	103
Blue Mountains (C)	15-19		M	96
Blue Mountains (C)	15-19	0	F	2141
Blue Mountains (C)	15-19	0	M	2263
Blue Mountains (C)	15-19	1	F	71
Blue Mountains (C)	15-19	1	M	100
Blue Mountains (C)	20-24		F	80
Blue Mountains (C)	20-24		M	84
Blue Mountains (C)	20-24	0	F	1628
Blue Mountains (C)	20-24	0	M	1742
Blue Mountains (C)	20-24	1	F	42
Blue Mountains (C)	20-24	1	M	52
Blue Mountains (C)	25-34		F	173
Blue Mountains (C)	25-34		M	174
Blue Mountains (C)	25-34	0	F	3334
Blue Mountains (C)	25-34	0	M	3127
Blue Mountains (C)	25-34	1	F	89
Blue Mountains (C)	25-34	1	M	100
Blue Mountains (C)	35-44		F	247
Blue Mountains (C)	35-44		M	256
Blue Mountains (C)	35-44	0	F	4695
Blue Mountains (C)	35-44	0	M	4261
Blue Mountains (C)	35-44	1	F	114
Blue Mountains (C)	35-44	1	M	109
Blue Mountains (C)	45-54		F	293
Blue Mountains (C)	45-54		M	276
Blue Mountains (C)	45-54	0	F	5290
Blue Mountains (C)	45-54	0	M	4777
Blue Mountains (C)	45-54	1	F	179
