LGA_NAME16	BornAust	persons
Penrith (C)	1	141876
Port Macquarie-Hastings (A)	0	8960
Port Macquarie-Hastings (A)	1	63862
Port Stephens (A)	0	7680
Port Stephens (A)	1	56262
Queanbeyan-Palerang Regional (A)	0	9680
Queanbeyan-Palerang Regional (A)	1	41998
Randwick (C)	0	57601
Randwick (C)	1	72379
Richmond Valley (A)	0	1292
Richmond Valley (A)	1	19421
Rockdale (C)	0	51214
Rockdale (C)	1	50635
Ryde (C)	0	54679
Ryde (C)	1	56433
Shellharbour (C)	0	11410
Shellharbour (C)	1	52953
Shoalhaven (C)	0	12771
Shoalhaven (C)	1	78741
Singleton (A)	0	1812
Singleton (A)	1	19291
Snowy Monaro Regional (A)	0	2587
Snowy Monaro Regional (A)	1	15637
Snowy Valleys (A)	0	1206
Snowy Valleys (A)	1	11711
Strathfield (A)	0	22710
Strathfield (A)	1	14801
Sutherland Shire (A)	0	39482
Sutherland Shire (A)	1	169667
Sydney (C)	0	99761
Sydney (C)	1	82098
Tamworth Regional (A)	0	4048
Tamworth Regional (A)	1	50479
Temora (A)	0	287
Temora (A)	1	5383
Tenterfield (A)	0	507
Tenterfield (A)	1	5262
The Hills Shire (A)	0	55249
The Hills Shire (A)	1	96977
Tweed (A)	0	13348
Tweed (A)	1	70497
Upper Hunter Shire (A)	0	1057
Upper Hunter Shire (A)	1	11559
Upper Lachlan Shire (A)	0	516
Upper Lachlan Shire (A)	1	6433
Uralla (A)	0	394
Uralla (A)	1	5137
Wagga Wagga (C)	0	5846
Wagga Wagga (C)	1	52510
Walcha (A)	0	153
Walcha (A)	1	2545
Walgett (A)	0	558
Walgett (A)	1	4715
Warren (A)	0	120
Warren (A)	1	2275
Warrumbungle Shire (A)	0	553
Warrumbungle Shire (A)	1	7657
Waverley (A)	0	26028
Waverley (A)	1	33569
Weddin (A)	0	207
Weddin (A)	1	3082
Wentworth (A)	0	360
Wentworth (A)	1	5650
Western Plains Regional (A)	0	3607
Western Plains Regional (A)	1	42080
Willoughby (C)	0	33849
Willoughby (C)	1	36692
Wingecarribee (A)	0	7607
Wingecarribee (A)	1	36901
Wollondilly (A)	0	5729
Wollondilly (A)	1	39803
Wollongong (C)	0	43917
Wollongong (C)	1	147934
Woollahra (A)	0	17647
Woollahra (A)	1	31550
Yass Valley (A)	0	1664
Yass Valley (A)	1	13312
Unincorporated NSW	0	86
Unincorporated NSW	1	839
No usual address (NSW)	0	3012
No usual address (NSW)	1	7028
Migratory - Offshore - Shipping (NSW)	0	142
Migratory - Offshore - Shipping (NSW)	1	232
Alpine (S)	0	1700
Alpine (S)	1	9423
Ararat (RC)	0	1106
Ararat (RC)	1	9546
Ballarat (C)	0	9655
Ballarat (C)	1	85068
Banyule (C)	0	28609
Banyule (C)	1	87093
Bass Coast (S)	0	4740
Bass Coast (S)	1	25155
Baw Baw (S)	0	5253
Baw Baw (S)	1	39415
Bayside (C)	0	24830
Bayside (C)	1	66948
Benalla (RC)	0	1094
Benalla (RC)	1	11455
Boroondara (C)	0	51744
Boroondara (C)	1	107415
Brimbank (C)	0	93001
Brimbank (C)	1	87161
Buloke (S)	0	344
Buloke (S)	1	5200
Campaspe (S)	0	2506
Campaspe (S)	1	31242
Cardinia (S)	0	17845
Cardinia (S)	1	70374
Casey (C)	0	114422
Casey (C)	1	168029
Central Goldfields (S)	0	1160
Central Goldfields (S)	1	10650
Colac-Otway (S)	0	1808
Colac-Otway (S)	1	17452
Corangamite (S)	0	1018
Corangamite (S)	1	13538
Darebin (C)	0	48845
Darebin (C)	1	86911
East Gippsland (S)	0	4883
East Gippsland (S)	1	35616
Frankston (C)	0	28846
Frankston (C)	1	95936
Gannawarra (S)	0	548
Gannawarra (S)	1	9121
Glen Eira (C)	0	51751
Glen Eira (C)	1	82030
Glenelg (S)	0	1491
Glenelg (S)	1	16172
Golden Plains (S)	0	2021
Golden Plains (S)	1	18227
Greater Bendigo (C)	0	8817
Greater Bendigo (C)	1	93321
Greater Dandenong (C)	0	87766
Greater Dandenong (C)	1	54480
Greater Geelong (C)	0	37981
Greater Geelong (C)	1	179938
Greater Shepparton (C)	0	9501
Greater Shepparton (C)	1	48491
Hepburn (S)	0	2024
Hepburn (S)	1	11648
Hindmarsh (S)	0	472
Hindmarsh (S)	1	4775
Hobsons Bay (C)	0	27099
Hobsons Bay (C)	1	56174
Horsham (RC)	0	1188
Horsham (RC)	1	17213
Hume (C)	0	70535
Hume (C)	1	113841
Indigo (S)	0	1362
Indigo (S)	1	13457
Kingston (C) (Vic.)	0	47248
Kingston (C) (Vic.)	1	95781
Knox (C)	0	46505
Knox (C)	1	100918
Latrobe (C) (Vic.)	0	9111
Latrobe (C) (Vic.)	1	57394
Loddon (S)	0	616
Loddon (S)	1	5973
Macedon Ranges (S)	0	5735
Macedon Ranges (S)	1	36794
Manningham (C)	0	46376
Manningham (C)	1	64768
Mansfield (S)	0	948
Mansfield (S)	1	6802
Maribyrnong (C)	0	32989
Maribyrnong (C)	1	43130
Maroondah (C)	0	25600
Maroondah (C)	1	79652
Melbourne (C)	0	75797
Melbourne (C)	1	44444
Melton (C)	0	40613
Melton (C)	1	86029
Mildura (RC)	0	5810
Mildura (RC)	1	42733
Mitchell (S)	0	4718
Mitchell (S)	1	32354
Moira (S)	0	2673
Moira (S)	1	23747
Monash (C)	0	89590
Monash (C)	1	84068
Moonee Valley (C)	0	32265
Moonee Valley (C)	1	76902
Moorabool (S)	0	3921
Moorabool (S)	1	25635
Moreland (C)	0	55227
Moreland (C)	1	96296
Mornington Peninsula (S)	0	27624
Mornington Peninsula (S)	1	116942
Mount Alexander (S)	0	2156
Mount Alexander (S)	1	14846
Moyne (S)	0	1191
Moyne (S)	1	13843
Murrindindi (S)	0	1517
Murrindindi (S)	1	10866
Nillumbik (S)	0	9543
Nillumbik (S)	1	48955
Northern Grampians (S)	0	841
Northern Grampians (S)	1	9637
Port Phillip (C)	0	31877
Port Phillip (C)	1	58422
Pyrenees (S)	0	681
Pyrenees (S)	1	5864
Queenscliffe (B)	0	297
Queenscliffe (B)	1	2275
South Gippsland (S)	0	3146
South Gippsland (S)	1	22965
Southern Grampians (S)	0	1181
Southern Grampians (S)	1	13521
Stonnington (C)	0	32732
Stonnington (C)	1	63153
Strathbogie (S)	0	924
Strathbogie (S)	1	8343
Surf Coast (S)	0	3353
Surf Coast (S)	1	24170
Swan Hill (RC)	0	2394
Swan Hill (RC)	1	15364
Towong (S)	0	485
Towong (S)	1	4952
Wangaratta (RC)	0	2282
Wangaratta (RC)	1	23716
Warrnambool (C)	0	2733
Warrnambool (C)	1	28265
Wellington (S)	0	4554
Wellington (S)	1	34627
West Wimmera (S)	0	235
West Wimmera (S)	1	3400
Whitehorse (C)	0	62351
Whitehorse (C)	1	92759
Whittlesea (C)	0	70138
Whittlesea (C)	1	115305
Wodonga (C)	0	3957
Wodonga (C)	1	32683
Wyndham (C)	0	90246
Wyndham (C)	1	114544
Yarra (C)	0	25136
Yarra (C)	1	53060
Yarra Ranges (S)	0	24419
Yarra Ranges (S)	1	116547
Yarriambiack (S)	0	399
Yarriambiack (S)	1	5654
Unincorporated Vic	0	156
Unincorporated Vic	1	489
No usual address (Vic.)	0	2011
No usual address (Vic.)	1	4389
Migratory - Offshore - Shipping (Vic.)	0	6
Migratory - Offshore - Shipping (Vic.)	1	17
Aurukun (S)	0	27
Aurukun (S)	1	1218
Balonne (S)	0	263
Balonne (S)	1	3714
Banana (S)	0	1174
Banana (S)	1	11836
Barcaldine (R)	0	163
Barcaldine (R)	1	2457
Barcoo (S)	0	9
Barcoo (S)	1	240
Blackall-Tambo (R)	0	85
Blackall-Tambo (R)	1	1679
Boulia (S)	0	23
Boulia (S)	1	326
Brisbane (C)	0	346352
Brisbane (C)	1	719165
Bulloo (S)	0	22
Bulloo (S)	1	297
Bundaberg (R)	0	11108
Bundaberg (R)	1	74468
Burdekin (S)	0	1418
Burdekin (S)	1	14221
Burke (S)	0	23
Burke (S)	1	242
Cairns (R)	0	33699
Cairns (R)	1	108012
Carpentaria (S)	0	143
Carpentaria (S)	1	1592
Cassowary Coast (R)	0	3998
Cassowary Coast (R)	1	21608
Central Highlands (R) (Qld)	0	3039
Central Highlands (R) (Qld)	1	21238
Charters Towers (R)	0	664
Charters Towers (R)	1	9897
Cherbourg (S)	0	5
Cherbourg (S)	1	1247
Cloncurry (S)	0	265
Cloncurry (S)	1	2302
Cook (S)	0	575
Cook (S)	1	2977
Croydon (S)	0	11
Croydon (S)	1	197
Diamantina (S)	0	18
Diamantina (S)	1	217
Doomadgee (S)	0	23
Doomadgee (S)	1	1359
Douglas (S)	0	2352
Douglas (S)	1	7612
Etheridge (S)	0	55
Etheridge (S)	1	651
Flinders (S) (Qld)	0	75
Flinders (S) (Qld)	1	1303
Fraser Coast (R)	0	14162
Fraser Coast (R)	1	78874
Gladstone (R)	0	8921
Gladstone (R)	1	47753
Gold Coast (C)	0	157183
Gold Coast (C)	1	355007
Goondiwindi (R)	0	631
Goondiwindi (R)	1	8814
Gympie (R)	0	5342
Gympie (R)	1	39681
Hinchinbrook (S)	0	1052
Hinchinbrook (S)	1	8883
Hope Vale (S)	0	15
Hope Vale (S)	1	876
Ipswich (C)	0	39009
Ipswich (C)	1	141232
Isaac (R)	0	2098
Isaac (R)	1	15606
Kowanyama (S)	0	17
Kowanyama (S)	1	922
Livingstone (S)	0	3651
Livingstone (S)	1	29404
Lockhart River (S)	0	12
Lockhart River (S)	1	675
Lockyer Valley (R)	0	5010
Lockyer Valley (R)	1	30174
Logan (C)	0	82883
Logan (C)	1	199656
Longreach (R)	0	252
Longreach (R)	1	3032
Mackay (R)	0	13472
Mackay (R)	1	91609
McKinlay (S)	0	58
McKinlay (S)	1	669
Mapoon (S)	0	3
Mapoon (S)	1	304
Maranoa (R)	0	900
Maranoa (R)	1	10393
Mareeba (S)	0	3570
Mareeba (S)	1	15545
Moreton Bay (R)	0	83392
Moreton Bay (R)	1	316064
Mornington (S)	0	37
Mornington (S)	1	1062
Mount Isa (C)	0	3015
Mount Isa (C)	1	13314
Murweh (S)	0	297
Murweh (S)	1	3649
Napranum (S)	0	19
Napranum (S)	1	927
Noosa (S)	0	11270
Noosa (S)	1	37384
North Burnett (R)	0	982
North Burnett (R)	1	8176
Northern Peninsula Area (R)	0	80
Northern Peninsula Area (R)	1	2630
Palm Island (S)	0	47
Palm Island (S)	1	2362
Paroo (S)	0	67
Paroo (S)	1	1424
Pormpuraaw (S)	0	32
Pormpuraaw (S)	1	707
Quilpie (S)	0	49
Quilpie (S)	1	721
Redland (C)	0	33203
Redland (C)	1	106607
Richmond (S)	0	46
Richmond (S)	1	667
Rockhampton (R)	0	7494
Rockhampton (R)	1	65958
Scenic Rim (R)	0	5716
Scenic Rim (R)	1	30803
Somerset (R)	0	2977
Somerset (R)	1	19297
South Burnett (R)	0	2966
South Burnett (R)	1	26503
Southern Downs (R)	0	3639
Southern Downs (R)	1	28899
Sunshine Coast (R)	0	57556
Sunshine Coast (R)	1	218114
Tablelands (R)	0	3121
Tablelands (R)	1	19204
Toowoomba (R)	0	18807
Toowoomba (R)	1	130242
Torres (S)	0	238
Torres (S)	1	2876
Torres Strait Island (R)	0	178
Torres Strait Island (R)	1	4232
Townsville (C)	0	25588
Townsville (C)	1	146744
Weipa (T)	0	398
Weipa (T)	1	3072
Western Downs (R)	0	2388
Western Downs (R)	1	27024
Whitsunday (R)	0	5189
Whitsunday (R)	1	23857
Winton (S)	0	53
Winton (S)	1	945
Woorabinda (S)	0	14
Woorabinda (S)	1	922
Wujal Wujal (S)	0	4
Wujal Wujal (S)	1	275
Yarrabah (S)	0	7
Yarrabah (S)	1	2538
No usual address (Qld)	0	3157
No usual address (Qld)	1	7348
Migratory - Offshore - Shipping (Qld)	0	40
Migratory - Offshore - Shipping (Qld)	1	89
Adelaide (C)	0	9768
Adelaide (C)	1	10050
Adelaide Hills (DC)	0	6583
Adelaide Hills (DC)	1	30228
Alexandrina (DC)	0	4188
Alexandrina (DC)	1	19803
Anangu Pitjantjatjara (AC)	0	65
Anangu Pitjantjatjara (AC)	1	2072
Barossa (DC)	0	2693
Barossa (DC)	1	19419
Barunga West (DC)	0	199
Barunga West (DC)	1	2120
Berri and Barmera (DC)	0	1242
Berri and Barmera (DC)	1	8449
Burnside (C)	0	13389
Burnside (C)	1	28641
Campbelltown (C) (SA)	0	17102
Campbelltown (C) (SA)	1	31062
Ceduna (DC)	0	226
Ceduna (DC)	1	2781
Charles Sturt (C)	0	30790
Charles Sturt (C)	1	74780
Clare and Gilbert Valleys (DC)	0	851
Clare and Gilbert Valleys (DC)	1	7488
Cleve (DC)	0	83
Cleve (DC)	1	1561
Coober Pedy (DC)	0	458
Coober Pedy (DC)	1	1011
Copper Coast (DC)	0	1284
Copper Coast (DC)	1	11545
Elliston (DC)	0	63
Elliston (DC)	1	907
Flinders Ranges (DC)	0	114
Flinders Ranges (DC)	1	1390
Franklin Harbour (DC)	0	68
Franklin Harbour (DC)	1	1084
Gawler (T)	0	4065
Gawler (T)	1	17578
Goyder (DC)	0	409
Goyder (DC)	1	3369
Grant (DC)	0	596
Grant (DC)	1	7029
Holdfast Bay (C)	0	7904
Holdfast Bay (C)	1	25235
Kangaroo Island (DC)	0	618
Kangaroo Island (DC)	1	3571
Karoonda East Murray (DC)	0	68
Karoonda East Murray (DC)	1	931
Kimba (DC)	0	42
Kimba (DC)	1	944
Kingston (DC) (SA)	0	143
Kingston (DC) (SA)	1	2016
Light (RegC)	0	1722
Light (RegC)	1	12187
Lower Eyre Peninsula (DC)	0	358
Lower Eyre Peninsula (DC)	1	4711
Loxton Waikerie (DC)	0	932
Loxton Waikerie (DC)	1	9704
Mallala (DC)	0	1140
Mallala (DC)	1	6972
Maralinga Tjarutja (AC)	1	49
Marion (C)	0	24243
Marion (C)	1	60239
Mid Murray (DC)	0	922
Mid Murray (DC)	1	6949
Mitcham (C)	0	14643
Mitcham (C)	1	47546
Mount Barker (DC)	0	4651
Mount Barker (DC)	1	26723
Mount Gambier (C)	0	2850
Mount Gambier (C)	1	21789
Mount Remarkable (DC)	0	204
Mount Remarkable (DC)	1	2413
Murray Bridge (RC)	0	3072
Murray Bridge (RC)	1	16269
Naracoorte and Lucindale (DC)	0	1130
Naracoorte and Lucindale (DC)	1	6660
Northern Areas (DC)	0	313
Northern Areas (DC)	1	3881
Norwood Payneham St Peters (C)	0	10711
Norwood Payneham St Peters (C)	1	22889
Onkaparinga (C)	0	35313
Onkaparinga (C)	1	121930
Orroroo/Carrieton (DC)	0	68
Orroroo/Carrieton (DC)	1	735
Peterborough (DC)	0	180
Peterborough (DC)	1	1353
Playford (C)	0	18947
Playford (C)	1	63603
Port Adelaide Enfield (C)	0	40467
Port Adelaide Enfield (C)	1	73693
Port Augusta (C)	0	946
Port Augusta (C)	1	11560
Port Lincoln (C)	0	1164
Port Lincoln (C)	1	11718
Port Pirie City and Dists (M)	0	1348
Port Pirie City and Dists (M)	1	14857
Prospect (C)	0	5498
Prospect (C)	1	14044
Renmark Paringa (DC)	0	1276
Renmark Paringa (DC)	1	7359
Robe (DC)	0	117
Robe (DC)	1	1130
Roxby Downs (M)	0	506
Roxby Downs (M)	1	3004
Salisbury (C)	0	42882
Salisbury (C)	1	87490
Southern Mallee (DC)	0	219
Southern Mallee (DC)	1	1618
Streaky Bay (DC)	0	106
Streaky Bay (DC)	1	1803
Tatiara (DC)	0	668
Tatiara (DC)	1	5320
Tea Tree Gully (C)	0	23335
Tea Tree Gully (C)	1	70508
The Coorong (DC)	0	446
The Coorong (DC)	1	4503
Tumby Bay (DC)	0	136
Tumby Bay (DC)	1	2294
Unley (C)	0	9348
Unley (C)	1	26554
Victor Harbor (C)	0	2783
Victor Harbor (C)	1	10948
Wakefield (DC)	0	702
Wakefield (DC)	1	5624
Walkerville (M)	0	2080
Walkerville (M)	1	5052
Wattle Range (DC)	0	969
Wattle Range (DC)	1	9815
West Torrens (C)	0	17744
West Torrens (C)	1	37115
Whyalla (C)	0	4021
Whyalla (C)	1	16093
Wudinna (DC)	0	53
Wudinna (DC)	1	1095
Yankalilla (DC)	0	914
Yankalilla (DC)	1	3869
Yorke Peninsula (DC)	0	1026
Yorke Peninsula (DC)	1	9294
Unincorporated SA	0	337
Unincorporated SA	1	2630
No usual address (SA)	0	605
No usual address (SA)	1	1886
Migratory - Offshore - Shipping (SA)	0	3
Migratory - Offshore - Shipping (SA)	1	3
Albany (C)	0	6922
Albany (C)	1	27191
Armadale (C)	0	27554
Armadale (C)	1	46722
Ashburton (S)	0	3462
Ashburton (S)	1	7321
Augusta-Margaret River (S)	0	3015
Augusta-Margaret River (S)	1	9884
Bassendean (T)	0	4326
Bassendean (T)	1	9809
Bayswater (C)	0	25348
Bayswater (C)	1	35050
Belmont (C)	0	16075
Belmont (C)	1	19461
Beverley (S)	0	296
Beverley (S)	1	1204
Boddington (S)	0	323
Boddington (S)	1	1350
Boyup Brook (S)	0	232
Boyup Brook (S)	1	1317
Bridgetown-Greenbushes (S)	0	1058
Bridgetown-Greenbushes (S)	1	3193
Brookton (S)	0	97
Brookton (S)	1	749
Broome (S)	0	2413
Broome (S)	1	11795
Broomehill-Tambellup (S)	0	113
Broomehill-Tambellup (S)	1	880
Bruce Rock (S)	0	113
Bruce Rock (S)	1	729
Bunbury (C)	0	6574
Bunbury (C)	1	22745
Busselton (C)	0	6680
Busselton (C)	1	27225
Cambridge (T)	0	7819
Cambridge (T)	1	17550
Canning (C)	0	45346
Canning (C)	1	40310
Capel (S)	0	3736
Capel (S)	1	12280
Carnamah (S)	0	83
Carnamah (S)	1	403
Carnarvon (S)	0	955
Carnarvon (S)	1	3620
Chapman Valley (S)	0	186
Chapman Valley (S)	1	1035
Chittering (S)	0	1270
Chittering (S)	1	3649
Claremont (T)	0	2988
Claremont (T)	1	6309
Cockburn (C)	0	35738
Cockburn (C)	1	61872
Collie (S)	0	989
Collie (S)	1	6921
Coolgardie (S)	0	666
Coolgardie (S)	1	2414
Coorow (S)	0	114
Coorow (S)	1	835
Corrigin (S)	0	117
Corrigin (S)	1	893
Cottesloe (T)	0	1901
Cottesloe (T)	1	5174
Cranbrook (S)	0	175
Cranbrook (S)	1	788
Cuballing (S)	0	107
Cuballing (S)	1	626
Cue (S)	0	33
Cue (S)	1	113
Cunderdin (S)	0	245
Cunderdin (S)	1	1066
Dalwallinu (S)	0	254
Dalwallinu (S)	1	1016
Dandaragan (S)	0	435
Dandaragan (S)	1	2427
Dardanup (S)	0	2332
Dardanup (S)	1	10713
Denmark (S)	0	1328
Denmark (S)	1	3887
Derby-West Kimberley (S)	0	619
Derby-West Kimberley (S)	1	6457
Donnybrook-Balingup (S)	0	1022
Donnybrook-Balingup (S)	1	4226
Dowerin (S)	0	55
Dowerin (S)	1	576
Dumbleyung (S)	0	62
Dumbleyung (S)	1	519
Dundas (S)	0	157
Dundas (S)	1	469
East Fremantle (T)	0	1737
East Fremantle (T)	1	5122
East Pilbara (S)	0	2117
East Pilbara (S)	1	6445
Esperance (S)	0	1767
Esperance (S)	1	10694
Exmouth (S)	0	442
Exmouth (S)	1	1997
Fremantle (C)	0	8711
Fremantle (C)	1	17550
Gingin (S)	0	1231
Gingin (S)	1	3384
Gnowangerup (S)	0	171
Gnowangerup (S)	1	905
Goomalling (S)	0	100
Goomalling (S)	1	810
Gosnells (C)	0	51096
Gosnells (C)	1	60443
Greater Geraldton (C)	0	5708
Greater Geraldton (C)	1	29553
Halls Creek (S)	0	188
Halls Creek (S)	1	2687
Harvey (S)	0	5087
Harvey (S)	1	19334
Irwin (S)	0	485
Irwin (S)	1	2782
Jerramungup (S)	0	127
Jerramungup (S)	1	827
Joondalup (C)	0	58441
Joondalup (C)	1	89515
Kalamunda (S)	0	16696
Kalamunda (S)	1	37263
Kalgoorlie/Boulder (C)	0	7156
Kalgoorlie/Boulder (C)	1	19758
Karratha (C)	0	4429
Karratha (C)	1	14295
Katanning (S)	0	843
Katanning (S)	1	2720
Kellerberrin (S)	0	131
Kellerberrin (S)	1	953
Kent (S)	0	52
Kent (S)	1	433
Kojonup (S)	0	246
Kojonup (S)	1	1523
Kondinin (S)	0	121
Kondinin (S)	1	670
Koorda (S)	0	46
Koorda (S)	1	338
Kulin (S)	0	76
Kulin (S)	1	627
Kwinana (C)	0	13387
Kwinana (C)	1	22541
Lake Grace (S)	0	143
Lake Grace (S)	1	994
Laverton (S)	0	234
Laverton (S)	1	716
Leonora (S)	0	251
Leonora (S)	1	810
Mandurah (C)	0	22221
Mandurah (C)	1	52883
Manjimup (S)	0	1385
Manjimup (S)	1	6888
Meekatharra (S)	0	150
Meekatharra (S)	1	667
Melville (C)	0	33804
Melville (C)	1	59577
Menzies (S)	0	74
Menzies (S)	1	352
Merredin (S)	0	521
Merredin (S)	1	2549
Mingenew (S)	0	39
Mingenew (S)	1	372
Moora (S)	0	261
Moora (S)	1	1877
Morawa (S)	0	74
Morawa (S)	1	596
Mosman Park (T)	0	2799
Mosman Park (T)	1	5224
Mount Magnet (S)	0	60
Mount Magnet (S)	1	297
Mount Marshall (S)	0	52
Mount Marshall (S)	1	420
Mukinbudin (S)	0	62
Mukinbudin (S)	1	448
Mundaring (S)	0	9264
Mundaring (S)	1	26774
Murchison (S)	0	13
Murchison (S)	1	94
Murray (S)	0	3001
Murray (S)	1	12186
Nannup (S)	0	278
Nannup (S)	1	917
Narembeen (S)	0	105
Narembeen (S)	1	623
Narrogin (S)	0	740
Narrogin (S)	1	3770
Nedlands (C)	0	6711
Nedlands (C)	1	13437
Ngaanyatjarraku (S)	0	57
Ngaanyatjarraku (S)	1	1436
Northam (S)	0	2214
Northam (S)	1	7745
Northampton (S)	0	407
Northampton (S)	1	2509
Nungarin (S)	0	28
Nungarin (S)	1	203
Peppermint Grove (S)	0	424
Peppermint Grove (S)	1	1102
Perenjori (S)	0	80
Perenjori (S)	1	457
Perth (C)	0	11703
Perth (C)	1	6494
Pingelly (S)	0	156
Pingelly (S)	1	855
Plantagenet (S)	0	978
Plantagenet (S)	1	3626
Port Hedland (T)	0	2950
Port Hedland (T)	1	9139
Quairading (S)	0	113
Quairading (S)	1	764
Ravensthorpe (S)	0	293
Ravensthorpe (S)	1	1208
Rockingham (C)	0	39655
Rockingham (C)	1	75785
Sandstone (S)	0	11
Sandstone (S)	1	65
Serpentine-Jarrahdale (S)	0	6790
Serpentine-Jarrahdale (S)	1	18334
Shark Bay (S)	0	170
Shark Bay (S)	1	668
South Perth (C)	0	15141
South Perth (C)	1	23927
Stirling (C)	0	79361
Stirling (C)	1	116529
Subiaco (C)	0	7745
