LGA_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Blacktown (C)	1	4	22397
Blacktown (C)	1	5	10651
Blacktown (C)	1	6	7684
Bland (A)	0	1	664
Bland (A)	0	2	23
Bland (A)	1	2	789
Bland (A)	1	3	248
Bland (A)	1	4	209
Bland (A)	1	5	159
Bland (A)	1	6	81
Blayney (A)	0	1	709
Blayney (A)	0	2	43
Blayney (A)	0	3	4
Blayney (A)	1	2	920
Blayney (A)	1	3	366
Blayney (A)	1	4	335
Blayney (A)	1	5	190
Blayney (A)	1	6	93
Blue Mountains (C)	0	1	7386
Blue Mountains (C)	0	2	732
Blue Mountains (C)	0	3	80
Blue Mountains (C)	0	4	22
Blue Mountains (C)	0	5	14
Blue Mountains (C)	0	6	8
Blue Mountains (C)	1	2	9310
Blue Mountains (C)	1	3	4233
Blue Mountains (C)	1	4	4207
Blue Mountains (C)	1	5	1863
Blue Mountains (C)	1	6	783
Bogan (A)	0	1	296
Bogan (A)	0	2	17
Bogan (A)	0	3	3
Bogan (A)	1	2	323
Bogan (A)	1	3	114
Bogan (A)	1	4	110
Bogan (A)	1	5	58
Bogan (A)	1	6	40
Botany Bay (C)	0	1	3783
Botany Bay (C)	0	2	723
Botany Bay (C)	0	3	272
Botany Bay (C)	0	4	106
Botany Bay (C)	0	5	45
Botany Bay (C)	0	6	18
Botany Bay (C)	1	2	4237
Botany Bay (C)	1	3	2811
Botany Bay (C)	1	4	2828
Botany Bay (C)	1	5	1079
Botany Bay (C)	1	6	524
Bourke (A)	0	1	268
Bourke (A)	0	2	13
Bourke (A)	1	2	241
Bourke (A)	1	3	113
Bourke (A)	1	4	89
Bourke (A)	1	5	57
Bourke (A)	1	6	46
Brewarrina (A)	0	1	159
Brewarrina (A)	0	2	21
Brewarrina (A)	1	2	165
Brewarrina (A)	1	3	79
Brewarrina (A)	1	4	55
Brewarrina (A)	1	5	39
Brewarrina (A)	1	6	33
Broken Hill (C)	0	1	2532
Broken Hill (C)	0	2	167
Broken Hill (C)	0	3	13
Broken Hill (C)	0	4	3
Broken Hill (C)	1	2	2361
Broken Hill (C)	1	3	936
Broken Hill (C)	1	4	725
Broken Hill (C)	1	5	296
Broken Hill (C)	1	6	142
Burwood (A)	0	1	2397
Burwood (A)	0	2	578
Burwood (A)	0	3	369
Burwood (A)	0	4	197
Burwood (A)	0	5	84
Burwood (A)	0	6	69
Burwood (A)	1	2	2722
Burwood (A)	1	3	2042
Burwood (A)	1	4	2048
Burwood (A)	1	5	880
Burwood (A)	1	6	560
Byron (A)	0	1	3132
Byron (A)	0	2	597
Byron (A)	0	3	193
Byron (A)	0	4	67
Byron (A)	0	5	34
Byron (A)	0	6	10
Byron (A)	1	2	3449
Byron (A)	1	3	1655
Byron (A)	1	4	1486
Byron (A)	1	5	553
Byron (A)	1	6	198
Cabonne (A)	0	1	1144
Cabonne (A)	0	2	61
Cabonne (A)	0	3	8
Cabonne (A)	1	2	1598
Cabonne (A)	1	3	621
Cabonne (A)	1	4	678
Cabonne (A)	1	5	413
Cabonne (A)	1	6	164
Camden (A)	0	1	3298
Camden (A)	0	2	285
Camden (A)	0	3	51
Camden (A)	0	4	17
Camden (A)	0	5	7
Camden (A)	0	6	3
Camden (A)	1	2	6434
Camden (A)	1	3	4517
Camden (A)	1	4	5506
Camden (A)	1	5	2616
Camden (A)	1	6	1350
Campbelltown (C) (NSW)	0	1	9180
Campbelltown (C) (NSW)	0	2	939
Campbelltown (C) (NSW)	0	3	141
Campbelltown (C) (NSW)	0	4	51
Campbelltown (C) (NSW)	0	5	24
Campbelltown (C) (NSW)	0	6	12
Campbelltown (C) (NSW)	1	2	13176
Campbelltown (C) (NSW)	1	3	9299
Campbelltown (C) (NSW)	1	4	9340
Campbelltown (C) (NSW)	1	5	4483
Campbelltown (C) (NSW)	1	6	3330
Canada Bay (A)	0	1	7069
Canada Bay (A)	0	2	1281
Canada Bay (A)	0	3	515
Canada Bay (A)	0	4	177
Canada Bay (A)	0	5	54
Canada Bay (A)	0	6	33
Canada Bay (A)	1	2	9755
Canada Bay (A)	1	3	5517
Canada Bay (A)	1	4	5288
Canada Bay (A)	1	5	1743
Canada Bay (A)	1	6	679
Canterbury-Bankstown (A)	0	1	21173
Canterbury-Bankstown (A)	0	2	2288
Canterbury-Bankstown (A)	0	3	627
Canterbury-Bankstown (A)	0	4	345
Canterbury-Bankstown (A)	0	5	175
Canterbury-Bankstown (A)	0	6	144
Canterbury-Bankstown (A)	1	2	25425
Canterbury-Bankstown (A)	1	3	18859
Canterbury-Bankstown (A)	1	4	19748
Canterbury-Bankstown (A)	1	5	10585
Canterbury-Bankstown (A)	1	6	8395
Carrathool (A)	0	1	272
Carrathool (A)	0	2	30
Carrathool (A)	0	3	3
Carrathool (A)	1	2	341
Carrathool (A)	1	3	131
Carrathool (A)	1	4	116
Carrathool (A)	1	5	56
Carrathool (A)	1	6	32
Central Coast (C) (NSW)	0	1	31956
Central Coast (C) (NSW)	0	2	3102
Central Coast (C) (NSW)	0	3	424
Central Coast (C) (NSW)	0	4	124
Central Coast (C) (NSW)	0	5	50
Central Coast (C) (NSW)	0	6	19
Central Coast (C) (NSW)	1	2	37924
Central Coast (C) (NSW)	1	3	17756
Central Coast (C) (NSW)	1	4	17999
Central Coast (C) (NSW)	1	5	7934
Central Coast (C) (NSW)	1	6	3762
Central Darling (A)	0	1	228
Central Darling (A)	0	2	9
Central Darling (A)	0	3	5
Central Darling (A)	1	2	147
Central Darling (A)	1	3	77
Central Darling (A)	1	4	63
Central Darling (A)	1	5	27
Central Darling (A)	1	6	41
Cessnock (C)	0	1	4827
Cessnock (C)	0	2	460
Cessnock (C)	0	3	42
Cessnock (C)	0	4	9
Cessnock (C)	0	5	3
Cessnock (C)	1	2	6106
Cessnock (C)	1	3	3067
Cessnock (C)	1	4	2844
Cessnock (C)	1	5	1353
Cessnock (C)	1	6	648
Clarence Valley (A)	0	1	5736
Clarence Valley (A)	0	2	559
Clarence Valley (A)	0	3	47
Clarence Valley (A)	0	4	13
Clarence Valley (A)	0	5	4
Clarence Valley (A)	0	6	3
Clarence Valley (A)	1	2	7311
Clarence Valley (A)	1	3	2415
Clarence Valley (A)	1	4	1962
Clarence Valley (A)	1	5	1000
Clarence Valley (A)	1	6	556
Cobar (A)	0	1	503
Cobar (A)	0	2	34
Cobar (A)	0	3	3
Cobar (A)	1	2	544
Cobar (A)	1	3	188
Cobar (A)	1	4	203
Cobar (A)	1	5	109
Cobar (A)	1	6	55
Coffs Harbour (C)	0	1	7276
Coffs Harbour (C)	0	2	846
Coffs Harbour (C)	0	3	117
Coffs Harbour (C)	0	4	44
Coffs Harbour (C)	0	5	10
Coffs Harbour (C)	0	6	12
Coffs Harbour (C)	1	2	9151
Coffs Harbour (C)	1	3	3803
Coffs Harbour (C)	1	4	3401
Coffs Harbour (C)	1	5	1551
Coffs Harbour (C)	1	6	832
Coolamon (A)	0	1	371
Coolamon (A)	0	2	28
Coolamon (A)	0	3	3
Coolamon (A)	1	2	525
Coolamon (A)	1	3	212
Coolamon (A)	1	4	171
Coolamon (A)	1	5	115
Coolamon (A)	1	6	65
Coonamble (A)	0	1	438
Coonamble (A)	0	2	33
Coonamble (A)	1	2	443
Coonamble (A)	1	3	189
Coonamble (A)	1	4	135
Coonamble (A)	1	5	74
Coonamble (A)	1	6	60
Cowra (A)	0	1	1485
Cowra (A)	0	2	92
Cowra (A)	0	3	9
Cowra (A)	1	2	1722
Cowra (A)	1	3	628
Cowra (A)	1	4	511
Cowra (A)	1	5	243
Cowra (A)	1	6	136
Cumberland (A)	0	1	11610
Cumberland (A)	0	2	1433
Cumberland (A)	0	3	617
Cumberland (A)	0	4	459
Cumberland (A)	0	5	308
Cumberland (A)	0	6	408
Cumberland (A)	1	2	13737
Cumberland (A)	1	3	11513
Cumberland (A)	1	4	11949
Cumberland (A)	1	5	6617
Cumberland (A)	1	6	5861
Dungog (A)	0	1	779
Dungog (A)	0	2	50
Dungog (A)	0	3	5
Dungog (A)	1	2	1168
Dungog (A)	1	3	472
Dungog (A)	1	4	469
Dungog (A)	1	5	208
Dungog (A)	1	6	101
Edward River (A)	0	1	1083
Edward River (A)	0	2	75
Edward River (A)	0	3	10
Edward River (A)	0	4	3
Edward River (A)	0	5	3
Edward River (A)	0	6	3
Edward River (A)	1	2	1184
Edward River (A)	1	3	393
Edward River (A)	1	4	368
Edward River (A)	1	5	187
Edward River (A)	1	6	70
Eurobodalla (A)	0	1	4654
Eurobodalla (A)	0	2	324
Eurobodalla (A)	0	3	36
Eurobodalla (A)	0	4	9
Eurobodalla (A)	0	5	3
Eurobodalla (A)	1	2	6181
Eurobodalla (A)	1	3	1618
Eurobodalla (A)	1	4	1301
Eurobodalla (A)	1	5	579
Eurobodalla (A)	1	6	328
Fairfield (C)	0	1	9002
Fairfield (C)	0	2	954
Fairfield (C)	0	3	211
Fairfield (C)	0	4	88
Fairfield (C)	0	5	32
Fairfield (C)	0	6	31
Fairfield (C)	1	2	12434
Fairfield (C)	1	3	10321
Fairfield (C)	1	4	11084
Fairfield (C)	1	5	6745
Fairfield (C)	1	6	6276
Federation (A)	0	1	1492
Federation (A)	0	2	97
Federation (A)	0	3	9
Federation (A)	0	4	3
Federation (A)	1	2	1850
Federation (A)	1	3	542
Federation (A)	1	4	501
Federation (A)	1	5	251
Federation (A)	1	6	96
Forbes (A)	0	1	1034
Forbes (A)	0	2	72
Forbes (A)	0	3	11
Forbes (A)	1	2	1215
Forbes (A)	1	3	434
Forbes (A)	1	4	384
Forbes (A)	1	5	240
Forbes (A)	1	6	109
Georges River (A)	0	1	9325
Georges River (A)	0	2	1269
Georges River (A)	0	3	512
Georges River (A)	0	4	262
Georges River (A)	0	5	100
Georges River (A)	0	6	59
Georges River (A)	1	2	12381
Georges River (A)	1	3	8934
Georges River (A)	1	4	9351
Georges River (A)	1	5	4037
Georges River (A)	1	6	2441
Gilgandra (A)	0	1	463
Gilgandra (A)	0	2	30
Gilgandra (A)	1	2	578
Gilgandra (A)	1	3	183
Gilgandra (A)	1	4	170
Gilgandra (A)	1	5	110
Gilgandra (A)	1	6	43
Glen Innes Severn (A)	0	1	1147
Glen Innes Severn (A)	0	2	86
Glen Innes Severn (A)	0	3	4
Glen Innes Severn (A)	1	2	1229
Glen Innes Severn (A)	1	3	395
Glen Innes Severn (A)	1	4	312
Glen Innes Severn (A)	1	5	182
Glen Innes Severn (A)	1	6	67
Goulburn Mulwaree (A)	0	1	3208
Goulburn Mulwaree (A)	0	2	230
Goulburn Mulwaree (A)	0	3	27
Goulburn Mulwaree (A)	0	4	4
Goulburn Mulwaree (A)	0	5	8
Goulburn Mulwaree (A)	0	6	7
Goulburn Mulwaree (A)	1	2	3619
Goulburn Mulwaree (A)	1	3	1544
Goulburn Mulwaree (A)	1	4	1331
Goulburn Mulwaree (A)	1	5	628
Goulburn Mulwaree (A)	1	6	339
Greater Hume Shire (A)	0	1	948
Greater Hume Shire (A)	0	2	56
Greater Hume Shire (A)	0	3	7
Greater Hume Shire (A)	1	2	1321
Greater Hume Shire (A)	1	3	444
Greater Hume Shire (A)	1	4	487
Greater Hume Shire (A)	1	5	281
Greater Hume Shire (A)	1	6	147
Griffith (C)	0	1	2027
Griffith (C)	0	2	187
Griffith (C)	0	3	42
Griffith (C)	0	4	18
Griffith (C)	0	5	11
Griffith (C)	0	6	10
Griffith (C)	1	2	2604
Griffith (C)	1	3	1182
Griffith (C)	1	4	1339
Griffith (C)	1	5	723
Griffith (C)	1	6	338
Gundagai (A)	0	1	1333
Gundagai (A)	0	2	87
Gundagai (A)	0	3	4
Gundagai (A)	1	2	1626
Gundagai (A)	1	3	502
Gundagai (A)	1	4	442
Gundagai (A)	1	5	240
Gundagai (A)	1	6	115
Gunnedah (A)	0	1	1277
Gunnedah (A)	0	2	92
Gunnedah (A)	0	3	19
Gunnedah (A)	0	4	3
Gunnedah (A)	0	5	3
Gunnedah (A)	1	2	1469
Gunnedah (A)	1	3	645
Gunnedah (A)	1	4	610
Gunnedah (A)	1	5	279
Gunnedah (A)	1	6	142
Gwydir (A)	0	1	590
Gwydir (A)	0	2	44
Gwydir (A)	0	3	3
Gwydir (A)	1	2	757
Gwydir (A)	1	3	225
Gwydir (A)	1	4	194
Gwydir (A)	1	5	125
Gwydir (A)	1	6	46
Hawkesbury (C)	0	1	4389
Hawkesbury (C)	0	2	410
Hawkesbury (C)	0	3	69
Hawkesbury (C)	0	4	24
Hawkesbury (C)	0	5	5
Hawkesbury (C)	1	2	6081
Hawkesbury (C)	1	3	3602
Hawkesbury (C)	1	4	3748
Hawkesbury (C)	1	5	1909
Hawkesbury (C)	1	6	1065
Hay (A)	0	1	346
Hay (A)	0	2	19
Hay (A)	1	2	398
Hay (A)	1	3	138
Hay (A)	1	4	104
Hay (A)	1	5	66
Hay (A)	1	6	25
Hilltops (A)	0	1	2134
Hilltops (A)	0	2	164
Hilltops (A)	0	3	16
Hilltops (A)	0	4	3
Hilltops (A)	1	2	2475
Hilltops (A)	1	3	855
Hilltops (A)	1	4	792
Hilltops (A)	1	5	428
Hilltops (A)	1	6	215
Hornsby (A)	0	1	8167
Hornsby (A)	0	2	676
Hornsby (A)	0	3	151
Hornsby (A)	0	4	59
Hornsby (A)	0	5	18
Hornsby (A)	0	6	4
Hornsby (A)	1	2	12564
Hornsby (A)	1	3	8601
Hornsby (A)	1	4	10646
Hornsby (A)	1	5	4273
Hornsby (A)	1	6	1843
Hunters Hill (A)	0	1	1110
Hunters Hill (A)	0	2	73
Hunters Hill (A)	0	3	10
Hunters Hill (A)	0	4	3
Hunters Hill (A)	1	2	1288
Hunters Hill (A)	1	3	677
Hunters Hill (A)	1	4	848
Hunters Hill (A)	1	5	415
Hunters Hill (A)	1	6	137
Inner West (A)	0	1	18946
Inner West (A)	0	2	3831
Inner West (A)	0	3	1628
Inner West (A)	0	4	645
Inner West (A)	0	5	195
Inner West (A)	0	6	98
Inner West (A)	1	2	19651
Inner West (A)	1	3	10452
Inner West (A)	1	4	9375
Inner West (A)	1	5	2839
Inner West (A)	1	6	1138
Inverell (A)	0	1	1728
Inverell (A)	0	2	145
Inverell (A)	0	3	11
Inverell (A)	0	4	4
Inverell (A)	0	5	4
Inverell (A)	1	2	2142
Inverell (A)	1	3	814
Inverell (A)	1	4	702
Inverell (A)	1	5	381
Inverell (A)	1	6	188
Junee (A)	0	1	527
Junee (A)	0	2	33
Junee (A)	0	3	3
Junee (A)	0	4	3
Junee (A)	0	6	4
Junee (A)	1	2	632
Junee (A)	1	3	271
Junee (A)	1	4	229
Junee (A)	1	5	142
Junee (A)	1	6	73
Kempsey (A)	0	1	3111
Kempsey (A)	0	2	282
Kempsey (A)	0	3	29
Kempsey (A)	0	4	13
Kempsey (A)	0	5	3
Kempsey (A)	0	6	3
Kempsey (A)	1	2	3758
Kempsey (A)	1	3	1444
Kempsey (A)	1	4	1078
Kempsey (A)	1	5	556
Kempsey (A)	1	6	367
Kiama (A)	0	1	1665
Kiama (A)	0	2	158
Kiama (A)	0	3	21
Kiama (A)	0	4	5
Kiama (A)	0	5	3
Kiama (A)	1	2	2904
Kiama (A)	1	3	1072
Kiama (A)	1	4	1145
Kiama (A)	1	5	537
Kiama (A)	1	6	206
Ku-ring-gai (A)	0	1	6152
Ku-ring-gai (A)	0	2	418
Ku-ring-gai (A)	0	3	94
Ku-ring-gai (A)	0	4	48
Ku-ring-gai (A)	0	5	23
Ku-ring-gai (A)	0	6	11
Ku-ring-gai (A)	1	2	10776
Ku-ring-gai (A)	1	3	6623
Ku-ring-gai (A)	1	4	9067
Ku-ring-gai (A)	1	5	3883
Ku-ring-gai (A)	1	6	1379
Kyogle (A)	0	1	1142
Kyogle (A)	0	2	103
Kyogle (A)	0	3	9
Kyogle (A)	1	2	1275
Kyogle (A)	1	3	416
Kyogle (A)	1	4	312
Kyogle (A)	1	5	186
Kyogle (A)	1	6	88
Lachlan (A)	0	1	644
Lachlan (A)	0	2	29
Lachlan (A)	0	3	8
Lachlan (A)	1	2	743
Lachlan (A)	1	3	287
Lachlan (A)	1	4	259
Lachlan (A)	1	5	157
Lachlan (A)	1	6	80
Lake Macquarie (C)	0	1	17610
Lake Macquarie (C)	0	2	1479
Lake Macquarie (C)	0	3	210
Lake Macquarie (C)	0	4	55
Lake Macquarie (C)	0	5	7
Lake Macquarie (C)	0	6	13
Lake Macquarie (C)	1	2	24415
Lake Macquarie (C)	1	3	11307
Lake Macquarie (C)	1	4	11486
Lake Macquarie (C)	1	5	4571
Lake Macquarie (C)	1	6	1916
Lane Cove (A)	0	1	3407
Lane Cove (A)	0	2	467
Lane Cove (A)	0	3	100
Lane Cove (A)	0	4	33
Lane Cove (A)	0	5	9
Lane Cove (A)	1	2	4089
Lane Cove (A)	1	3	2162
Lane Cove (A)	1	4	2186
Lane Cove (A)	1	5	823
Lane Cove (A)	1	6	257
Leeton (A)	0	1	1092
Leeton (A)	0	2	74
Leeton (A)	0	3	15
Leeton (A)	0	4	4
Leeton (A)	1	2	1275
Leeton (A)	1	3	521
Leeton (A)	1	4	494
Leeton (A)	1	5	268
Leeton (A)	1	6	126
Lismore (C)	0	1	4754
Lismore (C)	0	2	625
Lismore (C)	0	3	101
Lismore (C)	0	4	36
Lismore (C)	0	5	9
Lismore (C)	0	6	3
Lismore (C)	1	2	5118
Lismore (C)	1	3	2270
Lismore (C)	1	4	1946
Lismore (C)	1	5	918
Lismore (C)	1	6	425
Lithgow (C)	0	1	2561
Lithgow (C)	0	2	174
Lithgow (C)	0	3	7
Lithgow (C)	0	4	3
Lithgow (C)	1	2	2567
Lithgow (C)	1	3	1038
Lithgow (C)	1	4	931
Lithgow (C)	1	5	394
Lithgow (C)	1	6	186
Liverpool (C)	0	1	9208
Liverpool (C)	0	2	821
Liverpool (C)	0	3	136
Liverpool (C)	0	4	41
Liverpool (C)	0	5	20
Liverpool (C)	0	6	11
Liverpool (C)	1	2	12559
Liverpool (C)	1	3	10765
Liverpool (C)	1	4	12945
Liverpool (C)	1	5	7119
Liverpool (C)	1	6	5161
Liverpool Plains (A)	0	1	875
Liverpool Plains (A)	0	2	71
Liverpool Plains (A)	0	3	3
Liverpool Plains (A)	1	2	1017
Liverpool Plains (A)	1	3	364
Liverpool Plains (A)	1	4	336
Liverpool Plains (A)	1	5	171
Liverpool Plains (A)	1	6	72
Lockhart (A)	0	1	313
Lockhart (A)	0	2	13
Lockhart (A)	0	3	3
Lockhart (A)	1	2	407
Lockhart (A)	1	3	120
Lockhart (A)	1	4	150
Lockhart (A)	1	5	74
Lockhart (A)	1	6	41
Maitland (C)	0	1	5948
Maitland (C)	0	2	559
Maitland (C)	0	3	83
Maitland (C)	0	4	13
Maitland (C)	0	5	4
Maitland (C)	1	2	8684
Maitland (C)	1	3	4524
Maitland (C)	1	4	4621
Maitland (C)	1	5	2013
Maitland (C)	1	6	922
Mid-Coast (A)	0	1	10798
Mid-Coast (A)	0	2	920
Mid-Coast (A)	0	3	79
Mid-Coast (A)	0	4	21
Mid-Coast (A)	0	5	5
Mid-Coast (A)	1	2	14210
Mid-Coast (A)	1	3	4289
Mid-Coast (A)	1	4	3481
Mid-Coast (A)	1	5	1606
Mid-Coast (A)	1	6	822
Mid-Western Regional (A)	0	1	2531
Mid-Western Regional (A)	0	2	217
Mid-Western Regional (A)	0	3	27
Mid-Western Regional (A)	0	4	7
Mid-Western Regional (A)	0	5	5
Mid-Western Regional (A)	1	2	2907
Mid-Western Regional (A)	1	3	1192
Mid-Western Regional (A)	1	4	1103
Mid-Western Regional (A)	1	5	546
Mid-Western Regional (A)	1	6	242
Moree Plains (A)	0	1	1339
Moree Plains (A)	0	2	118
Moree Plains (A)	0	3	12
Moree Plains (A)	1	2	1381
Moree Plains (A)	1	3	668
Moree Plains (A)	1	4	563
Moree Plains (A)	1	5	294
Moree Plains (A)	1	6	174
Mosman (A)	0	1	3242
Mosman (A)	0	2	275
Mosman (A)	0	3	42
Mosman (A)	0	4	4
Mosman (A)	1	2	3448
Mosman (A)	1	3	1548
Mosman (A)	1	4	1621
Mosman (A)	1	5	671
Mosman (A)	1	6	169
Murray River (A)	0	1	1292
Murray River (A)	0	2	77
Murray River (A)	0	3	5
Murray River (A)	0	4	3
Murray River (A)	1	2	1756
Murray River (A)	1	3	487
Murray River (A)	1	4	488
Murray River (A)	1	5	257
Murray River (A)	1	6	95
Murrumbidgee (A)	0	1	381
Murrumbidgee (A)	0	2	27
Murrumbidgee (A)	0	3	4
Murrumbidgee (A)	1	2	446
Murrumbidgee (A)	1	3	191
Murrumbidgee (A)	1	4	155
Murrumbidgee (A)	1	5	96
Murrumbidgee (A)	1	6	48
Muswellbrook (A)	0	1	1543
Muswellbrook (A)	0	2	159
Muswellbrook (A)	0	3	18
Muswellbrook (A)	0	4	7
Muswellbrook (A)	1	2	1772
Muswellbrook (A)	1	3	883
Muswellbrook (A)	1	4	830
Muswellbrook (A)	1	5	381
Muswellbrook (A)	1	6	166
Nambucca (A)	0	1	2450
Nambucca (A)	0	2	220
Nambucca (A)	0	3	20
Nambucca (A)	0	4	6
Nambucca (A)	1	2	2774
Nambucca (A)	1	3	891
Nambucca (A)	1	4	716
Nambucca (A)	1	5	386
Nambucca (A)	1	6	205
Narrabri (A)	0	1	1277
Narrabri (A)	0	2	120
Narrabri (A)	0	3	9
Narrabri (A)	0	4	3
Narrabri (A)	1	2	1527
Narrabri (A)	1	3	601
Narrabri (A)	1	4	600
Narrabri (A)	1	5	329
Narrabri (A)	1	6	154
Narrandera (A)	0	1	684
Narrandera (A)	0	2	50
Narrandera (A)	0	3	9
Narrandera (A)	1	2	708
Narrandera (A)	1	3	262
Narrandera (A)	1	4	249
Narrandera (A)	1	5	134
Narrandera (A)	1	6	59
Narromine (A)	0	1	655
Narromine (A)	0	2	46
Narromine (A)	0	3	3
Narromine (A)	1	2	802
Narromine (A)	1	3	302
Narromine (A)	1	4	251
Narromine (A)	1	5	172
Narromine (A)	1	6	91
Newcastle (C)	0	1	17490
Newcastle (C)	0	2	2538
Newcastle (C)	0	3	1006
Newcastle (C)	0	4	355
Newcastle (C)	0	5	121
Newcastle (C)	0	6	89
Newcastle (C)	1	2	17728
Newcastle (C)	1	3	8476
Newcastle (C)	1	4	7969
Newcastle (C)	1	5	3066
Newcastle (C)	1	6	1150
North Sydney (A)	0	1	10634
North Sydney (A)	0	2	1471
North Sydney (A)	0	3	451
North Sydney (A)	0	4	73
North Sydney (A)	0	5	22
North Sydney (A)	0	6	3
North Sydney (A)	1	2	10293
North Sydney (A)	1	3	3788
North Sydney (A)	1	4	2559
North Sydney (A)	1	5	615
North Sydney (A)	1	6	155
Northern Beaches (A)	0	1	19132
Northern Beaches (A)	0	2	2217
Northern Beaches (A)	0	3	597
Northern Beaches (A)	0	4	152
Northern Beaches (A)	0	5	59
Northern Beaches (A)	0	6	20
Northern Beaches (A)	1	2	25220
Northern Beaches (A)	1	3	13603
Northern Beaches (A)	1	4	17345
Northern Beaches (A)	1	5	7024
Northern Beaches (A)	1	6	2578
Oberon (A)	0	1	510
Oberon (A)	0	2	47
Oberon (A)	0	3	3
Oberon (A)	1	2	690
Oberon (A)	1	3	230
Oberon (A)	1	4	236
Oberon (A)	1	5	107
Oberon (A)	1	6	54
Orange (C)	0	1	4218
Orange (C)	0	2	364
Orange (C)	0	3	47
Orange (C)	0	4	36
Orange (C)	0	5	16
Orange (C)	0	6	3
Orange (C)	1	2	4579
Orange (C)	1	3	2052
Orange (C)	1	4	2036
Orange (C)	1	5	950
Orange (C)	1	6	448
Parkes (A)	0	1	1575
Parkes (A)	0	2	88
Parkes (A)	0	3	14
Parkes (A)	0	4	5
Parkes (A)	0	5	3
Parkes (A)	1	2	1738
Parkes (A)	1	3	699
Parkes (A)	1	4	624
Parkes (A)	1	5	353
Parkes (A)	1	6	203
Parramatta (C)	0	1	15221
Parramatta (C)	0	2	2219
Parramatta (C)	0	3	750
Parramatta (C)	0	4	335
Parramatta (C)	0	5	128
Parramatta (C)	0	6	105
Parramatta (C)	1	2	19887
Parramatta (C)	1	3	14959
Parramatta (C)	1	4	13966
Parramatta (C)	1	5	5406
Parramatta (C)	1	6	2855
Penrith (C)	0	1	12236
Penrith (C)	0	2	1367
Penrith (C)	0	3	206
Penrith (C)	0	4	57
Penrith (C)	0	5	19
Penrith (C)	0	6	6
Penrith (C)	1	2	17474
Penrith (C)	1	3	11419
Penrith (C)	1	4	11803
Penrith (C)	1	5	5611
Penrith (C)	1	6	3471
Port Macquarie-Hastings (A)	0	1	8819
Port Macquarie-Hastings (A)	0	2	805
Port Macquarie-Hastings (A)	0	3	104
Port Macquarie-Hastings (A)	0	4	33
Port Macquarie-Hastings (A)	0	5	6
Port Macquarie-Hastings (A)	1	2	11611
Port Macquarie-Hastings (A)	1	3	3780
Port Macquarie-Hastings (A)	1	4	3422
Port Macquarie-Hastings (A)	1	5	1584
Port Macquarie-Hastings (A)	1	6	692
Port Stephens (A)	0	1	6360
Port Stephens (A)	0	2	560
Port Stephens (A)	0	3	63
Port Stephens (A)	0	4	12
