LGA_NAME16	Age	Sex	persons
Bega Valley (A)	45-54	F	2450
Bega Valley (A)	45-54	M	2201
Bega Valley (A)	55-64	F	3174
Bega Valley (A)	55-64	M	2988
Bega Valley (A)	65-74	F	2504
Bega Valley (A)	65-74	M	2561
Bega Valley (A)	75-84	F	1298
Bega Valley (A)	75-84	M	1243
Bega Valley (A)	85+	F	621
Bega Valley (A)	85+	M	373
Bellingen (A)	0-4	F	304
Bellingen (A)	0-4	M	303
Bellingen (A)	5-14	F	801
Bellingen (A)	5-14	M	791
Bellingen (A)	15-19	F	335
Bellingen (A)	15-19	M	387
Bellingen (A)	20-24	F	188
Bellingen (A)	20-24	M	201
Bellingen (A)	25-34	F	488
Bellingen (A)	25-34	M	465
Bellingen (A)	35-44	F	696
Bellingen (A)	35-44	M	627
Bellingen (A)	45-54	F	1002
Bellingen (A)	45-54	M	825
Bellingen (A)	55-64	F	1161
Bellingen (A)	55-64	M	1081
Bellingen (A)	65-74	F	857
Bellingen (A)	65-74	M	864
Bellingen (A)	75-84	F	477
Bellingen (A)	75-84	M	443
Bellingen (A)	85+	F	233
Bellingen (A)	85+	M	135
Berrigan (A)	0-4	F	219
Berrigan (A)	0-4	M	249
Berrigan (A)	5-14	F	482
Berrigan (A)	5-14	M	495
Berrigan (A)	15-19	F	198
Berrigan (A)	15-19	M	223
Berrigan (A)	20-24	F	155
Berrigan (A)	20-24	M	185
Berrigan (A)	25-34	F	377
Berrigan (A)	25-34	M	373
Berrigan (A)	35-44	F	447
Berrigan (A)	35-44	M	399
Berrigan (A)	45-54	F	490
Berrigan (A)	45-54	M	447
Berrigan (A)	55-64	F	664
Berrigan (A)	55-64	M	645
Berrigan (A)	65-74	F	662
Berrigan (A)	65-74	M	713
Berrigan (A)	75-84	F	360
Berrigan (A)	75-84	M	381
Berrigan (A)	85+	F	182
Berrigan (A)	85+	M	133
Blacktown (C)	0-4	F	13245
Blacktown (C)	0-4	M	13683
Blacktown (C)	5-14	F	24010
Blacktown (C)	5-14	M	25722
Blacktown (C)	15-19	F	11229
Blacktown (C)	15-19	M	12066
Blacktown (C)	20-24	F	11060
Blacktown (C)	20-24	M	11776
Blacktown (C)	25-34	F	26964
Blacktown (C)	25-34	M	25280
Blacktown (C)	35-44	F	25591
Blacktown (C)	35-44	M	25814
Blacktown (C)	45-54	F	21208
Blacktown (C)	45-54	M	20854
Blacktown (C)	55-64	F	17289
Blacktown (C)	55-64	M	16412
Blacktown (C)	65-74	F	11152
Blacktown (C)	65-74	M	10388
Blacktown (C)	75-84	F	5348
Blacktown (C)	75-84	M	4330
Blacktown (C)	85+	F	2303
Blacktown (C)	85+	M	1248
Bland (A)	0-4	F	184
Bland (A)	0-4	M	167
Bland (A)	5-14	F	441
Bland (A)	5-14	M	435
Bland (A)	15-19	F	169
Bland (A)	15-19	M	167
Bland (A)	20-24	F	121
Bland (A)	20-24	M	143
Bland (A)	25-34	F	292
Bland (A)	25-34	M	297
Bland (A)	35-44	F	340
Bland (A)	35-44	M	341
Bland (A)	45-54	F	355
Bland (A)	45-54	M	358
Bland (A)	55-64	F	405
Bland (A)	55-64	M	452
Bland (A)	65-74	F	300
Bland (A)	65-74	M	331
Bland (A)	75-84	F	242
Bland (A)	75-84	M	204
Bland (A)	85+	F	135
Bland (A)	85+	M	76
Blayney (A)	0-4	F	212
Blayney (A)	0-4	M	235
Blayney (A)	5-14	F	520
Blayney (A)	5-14	M	540
Blayney (A)	15-19	F	227
Blayney (A)	15-19	M	231
Blayney (A)	20-24	F	166
Blayney (A)	20-24	M	156
Blayney (A)	25-34	F	378
Blayney (A)	25-34	M	331
Blayney (A)	35-44	F	466
Blayney (A)	35-44	M	396
Blayney (A)	45-54	F	508
Blayney (A)	45-54	M	521
Blayney (A)	55-64	F	488
Blayney (A)	55-64	M	526
Blayney (A)	65-74	F	371
Blayney (A)	65-74	M	393
Blayney (A)	75-84	F	216
Blayney (A)	75-84	M	210
Blayney (A)	85+	F	96
Blayney (A)	85+	M	67
Blue Mountains (C)	0-4	F	2067
Blue Mountains (C)	0-4	M	2167
Blue Mountains (C)	5-14	F	4782
Blue Mountains (C)	5-14	M	5056
Blue Mountains (C)	15-19	F	2313
Blue Mountains (C)	15-19	M	2453
Blue Mountains (C)	20-24	F	1754
Blue Mountains (C)	20-24	M	1876
Blue Mountains (C)	25-34	F	3592
Blue Mountains (C)	25-34	M	3393
Blue Mountains (C)	35-44	F	5059
Blue Mountains (C)	35-44	M	4621
Blue Mountains (C)	45-54	F	5767
Blue Mountains (C)	45-54	M	5215
Blue Mountains (C)	55-64	F	6209
Blue Mountains (C)	55-64	M	5547
Blue Mountains (C)	65-74	F	4891
Blue Mountains (C)	65-74	M	4392
Blue Mountains (C)	75-84	F	2261
Blue Mountains (C)	75-84	M	1846
Blue Mountains (C)	85+	F	1079
Blue Mountains (C)	85+	M	554
Bogan (A)	0-4	F	115
Bogan (A)	0-4	M	91
Bogan (A)	5-14	F	161
Bogan (A)	5-14	M	182
Bogan (A)	15-19	F	84
Bogan (A)	15-19	M	80
Bogan (A)	20-24	F	74
Bogan (A)	20-24	M	80
Bogan (A)	25-34	F	149
